Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND COUNTRY OF BIRTH: FISCAL YEAR 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
Ghana,"10,592","3,272",88,33,"1,425",347,115,53,219,178,479,12,344,80,11,53,56,37,157,32,165,27,36,250,19,24,15,16,3,69,448,5,69,19,22,65,181,29,10,34,D,14,16,429,30,13,10,5,3,-,D,38,"1,534"
Gibraltar,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greece,"1,054",282,55,28,37,81,17,19,9,82,9,8,37,11,11,5,7,8,3,3,3,5,21,15,4,7,D,8,-,3,D,D,10,8,3,D,10,3,D,D,D,5,D,D,6,D,-,D,-,D,D,8,200
Greenland,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Grenada,671,495,3,18,14,D,13,D,4,9,5,D,3,4,-,-,-,3,D,5,D,D,3,16,-,-,-,-,-,D,D,-,D,3,-,D,4,D,-,-,-,-,5,-,-,-,-,-,-,-,-,11,40
Guatemala,"10,341",849,"2,172",447,484,320,291,459,193,317,166,181,56,62,40,373,135,10,44,35,45,123,51,61,25,118,36,47,D,28,6,D,334,104,11,49,10,22,30,19,6,10,22,39,8,D,21,8,8,11,47,221,"2,182"
Guinea,"1,656",811,8,5,132,20,12,10,18,24,89,D,93,27,3,-,9,7,44,-,4,4,3,9,D,-,6,D,-,7,76,-,9,D,31,-,D,5,5,4,-,D,5,3,-,-,D,D,-,-,-,D,162
Guinea-Bissau,47,6,-,-,D,-,-,-,-,8,3,D,D,-,-,-,-,-,-,-,-,-,D,D,-,D,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
Guyana,"5,683","4,271",13,165,132,13,13,3,22,25,136,5,48,3,D,D,8,5,51,160,D,D,24,49,D,D,D,D,-,7,D,-,6,7,-,7,29,D,-,D,-,3,4,4,17,5,3,D,D,D,D,13,410
Haiti,"22,818","5,484",33,"8,469",196,115,41,21,21,"1,819",303,18,389,22,-,4,35,18,26,"1,387",19,16,232,29,7,28,12,15,4,23,25,D,99,337,21,26,42,38,10,8,3,15,178,33,3,5,D,5,D,5,3,245,"2,925"
Honduras,"6,884","1,111",482,"1,007",401,107,508,72,178,129,140,24,40,44,33,81,33,14,27,57,24,63,66,45,18,19,78,54,3,69,7,D,24,43,42,43,8,56,13,29,9,16,35,15,6,D,3,4,6,3,12,65,"1,515"
Hong Kong,"2,104",422,374,27,45,56,41,302,24,82,14,27,29,93,114,18,10,9,8,3,9,11,5,18,31,13,14,-,-,6,4,22,6,7,6,D,D,D,5,5,-,13,-,D,8,5,3,4,D,D,9,8,185
Hungary,"1,054",200,78,78,35,19,17,24,21,28,13,12,20,18,26,7,10,11,7,12,10,16,32,9,D,5,3,D,D,-,9,D,-,17,D,3,D,3,-,6,-,6,7,-,7,D,4,3,-,-,D,10,256
Iceland,103,20,8,D,6,D,-,D,D,4,5,D,D,D,-,D,6,-,D,10,-,-,D,3,D,D,-,-,-,D,-,-,-,-,-,-,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,5,15
India,"66,434","10,550","2,598",511,"2,711","4,106","2,164","3,323","2,538","1,574","1,769",699,"2,067","1,939","3,514",523,884,"1,234",741,263,344,148,426,735,807,422,518,240,25,629,486,20,183,340,357,174,545,253,125,446,27,467,226,271,366,126,453,57,514,4,198,383,"12,411"
Indonesia,"2,603",282,441,18,126,48,77,149,49,65,82,34,108,87,87,178,22,7,17,10,47,32,11,12,19,28,28,7,D,7,14,11,3,3,6,9,D,3,3,D,-,10,8,6,10,-,3,4,10,D,5,27,384
Iran,"12,916",487,"4,215",135,850,247,452,533,400,197,297,413,93,326,632,149,189,78,52,60,81,123,67,125,229,104,103,112,11,42,38,D,24,19,27,64,24,46,67,38,-,42,23,25,29,14,9,30,36,D,83,20,"1,450"
Iraq,"20,369",223,586,81,636,"1,054",794,129,770,225,276,"2,395",254,427,132,106,769,"2,763",129,64,239,92,107,108,309,211,306,253,24,67,180,D,23,10,88,411,D,129,152,116,-,166,138,271,108,204,D,142,6,-,-,36,"4,631"
Ireland,"1,514",415,58,21,36,73,23,88,20,148,14,18,33,53,32,7,13,11,6,19,5,5,6,17,12,7,20,D,D,14,-,5,10,23,4,D,9,D,D,4,D,4,3,D,10,D,-,4,D,D,8,11,230
Israel,"4,153","1,127",423,339,115,111,74,114,71,116,77,61,92,144,246,23,28,23,11,37,34,77,24,18,18,17,20,6,D,9,12,11,3,6,8,10,D,25,4,9,-,28,5,D,37,3,D,9,D,6,20,14,480
Italy,"2,673",584,180,263,100,65,67,93,32,103,32,57,59,39,48,10,20,36,20,24,15,24,40,12,7,14,10,9,D,17,17,5,15,17,3,6,16,5,6,12,D,12,12,6,7,4,5,8,-,11,12,20,490
Jamaica,"20,705","8,172",116,"3,849",579,175,133,30,77,354,836,24,616,25,6,54,45,46,23,497,16,30,256,202,10,15,14,20,5,46,31,6,43,330,18,17,591,18,3,22,5,31,94,28,46,29,D,8,D,D,4,172,"2,934"
Japan,"6,061",803,942,61,116,182,110,307,74,135,87,207,57,192,190,42,53,94,42,37,33,52,28,17,34,81,36,31,D,14,34,447,14,28,27,9,8,13,19,10,5,33,14,10,23,7,4,4,6,D,12,149,"1,125"
Jordan,"4,099",475,188,68,128,540,124,100,129,53,52,49,96,28,44,100,34,143,42,23,21,12,72,24,25,23,15,14,-,29,68,-,7,6,18,34,7,20,13,34,-,28,16,15,70,21,3,12,9,14,5,27,"1,021"
Kazakhstan,"1,202",288,64,27,57,36,56,31,10,23,8,23,25,37,20,9,3,10,10,13,17,13,4,7,23,21,7,D,D,8,4,D,4,D,3,D,3,5,D,3,-,5,D,-,5,5,-,7,-,-,-,13,283
Kenya,"7,043",337,138,21,215,53,188,85,520,293,294,62,196,384,25,54,107,D,516,19,79,27,13,181,39,35,32,19,6,35,203,3,18,12,46,30,10,135,19,106,-,101,8,134,23,37,3,12,D,-,D,40,"2,117"
Kiribati,6,D,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"Korea, North",49,5,4,-,D,D,-,D,D,-,4,-,-,D,4,-,D,D,-,D,3,D,-,D,-,-,-,-,D,-,-,-,-,-,-,5,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"Korea, South","20,846","3,291","4,842",110,"1,209",630,283,415,563,279,953,339,467,548,503,227,148,158,111,58,136,123,50,384,115,117,144,40,27,73,55,190,15,26,48,85,47,46,29,92,30,64,17,27,51,22,14,31,14,-,35,450,"3,115"
Kosovo,782,351,5,4,6,40,18,4,17,11,15,6,15,5,-,D,14,24,6,D,D,4,11,D,-,D,-,-,-,4,-,-,D,18,-,6,9,D,3,D,-,3,5,3,D,3,-,5,-,-,-,6,149
Kuwait,"1,044",92,61,15,46,63,53,25,50,16,23,10,21,18,9,13,11,48,11,8,D,4,4,3,3,7,5,7,-,7,6,-,D,D,7,13,-,4,13,7,-,10,3,6,11,9,D,6,D,-,D,8,300
Kyrgyzstan,648,152,13,11,34,32,13,17,8,16,3,4,20,40,12,4,D,-,4,20,3,7,D,5,14,35,D,3,D,4,D,-,D,D,-,4,4,D,D,-,-,9,5,-,D,D,-,-,D,D,D,9,128
Laos,949,4,26,4,15,9,6,17,30,12,11,16,8,16,11,9,4,7,153,D,7,4,10,-,46,6,-,D,-,5,8,8,9,3,-,20,5,8,10,-,-,D,-,4,-,-,9,-,75,-,-,19,330
Latvia,436,79,24,14,18,27,D,5,5,15,20,10,16,10,D,-,D,D,3,6,5,-,5,4,4,3,-,-,-,-,4,D,-,10,D,D,-,3,D,3,-,8,D,D,8,D,-,D,D,-,-,7,102
Lebanon,"2,879",236,306,72,91,54,131,33,75,159,47,46,28,29,20,60,32,517,19,21,16,21,33,13,10,20,17,9,4,18,3,-,36,4,5,13,D,6,D,6,-,8,14,21,57,13,D,8,6,D,6,20,510
Lesotho,17,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,6
Liberia,"4,109",353,11,6,214,36,69,15,94,85,193,10,820,16,3,11,55,29,518,D,32,11,13,128,38,18,6,10,-,85,51,D,142,8,27,9,8,22,13,7,-,16,14,64,21,13,5,19,-,-,-,3,783
Libya,315,23,8,D,23,9,21,5,7,5,5,5,12,13,8,11,-,6,6,8,17,-,D,-,6,6,-,D,4,D,8,-,D,D,D,D,D,D,-,3,-,D,-,-,3,D,D,D,-,-,D,-,72
Lithuania,924,138,27,38,15,332,D,10,8,14,20,D,23,11,11,3,D,5,7,6,6,5,14,16,4,9,-,3,-,5,-,D,D,10,D,9,7,D,D,-,-,3,4,D,D,D,-,D,-,D,D,6,133
Luxembourg,19,D,D,-,-,-,-,D,-,D,-,D,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Macau,120,28,27,-,D,7,D,23,D,6,D,D,-,D,6,-,-,-,D,-,-,-,-,D,-,-,-,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,7
Macedonia,906,311,16,27,11,148,5,D,5,7,4,4,11,3,-,D,10,28,3,D,D,6,5,D,D,D,D,D,-,D,13,-,D,13,-,-,D,D,-,-,-,3,4,-,7,D,-,-,-,-,-,17,223
Madagascar,79,6,D,-,26,D,-,3,-,D,6,3,-,-,-,3,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,D,-,D,-,-,-,D,-,-,D,D,-,-,D,-,-,-,-,-,-,-,19
Malawi,192,9,3,D,22,3,3,D,13,D,13,D,D,5,-,6,5,5,D,D,-,-,-,4,-,-,3,D,-,5,D,-,-,-,D,D,-,-,D,-,-,5,-,-,-,-,-,-,-,-,D,-,69
Malaysia,"2,605",368,133,13,33,49,91,84,158,41,120,30,39,53,80,37,49,12,30,8,18,10,13,47,16,24,29,16,-,26,26,4,4,10,118,26,5,44,17,23,-,7,24,D,6,29,4,3,D,D,-,14,609
Maldives,D,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mali,734,336,4,D,29,6,27,D,5,3,19,D,100,19,-,-,3,D,-,D,31,-,-,15,4,D,D,-,-,6,5,D,9,-,7,-,-,D,D,-,-,D,D,-,4,-,-,D,-,-,-,D,84
Malta,62,8,D,-,D,-,4,-,-,D,4,D,-,5,D,-,D,D,3,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,D,-,-,-,D,23
Marshall Islands,50,-,-,-,D,D,-,-,-,-,-,-,D,D,D,-,-,-,5,-,-,-,D,-,-,3,-,-,-,-,-,D,-,-,-,D,-,D,3,-,-,-,-,-,-,-,-,-,-,-,-,3,26
Mauritania,410,92,-,-,23,5,D,-,5,D,14,-,25,3,-,D,D,3,D,-,7,-,-,4,-,-,-,-,-,D,56,-,D,-,6,-,D,D,-,-,-,-,-,3,5,D,-,D,-,-,-,D,141
Mauritius,77,8,D,D,6,-,3,4,-,D,-,D,3,3,D,3,4,-,D,-,D,D,-,D,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,3,-,-,-,D,-,-,D,D,19
Mexico,"146,406","2,217","17,059","1,098",676,"7,716","7,919","2,461","8,023",215,"1,593","6,768",655,896,"1,422","6,724","4,669",575,557,377,"2,028","1,962",425,139,"1,227",817,"1,606","2,757","4,904",433,116,46,50,120,343,350,50,599,728,300,"3,206",218,61,21,122,24,957,"1,342","1,393",65,"1,193","4,031","43,153"
"Micronesia, Federated States",13,-,-,D,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,5
Moldova,"2,021",235,57,64,57,105,19,20,8,44,44,14,39,136,9,8,9,11,61,77,23,22,6,15,190,73,3,4,D,24,D,D,3,9,3,-,D,-,9,10,-,6,D,4,19,-,-,D,3,-,D,38,532
Monaco,D,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Mongolia,691,18,72,-,125,96,-,106,3,6,4,4,D,44,D,-,D,-,4,D,52,D,D,5,23,D,-,-,-,D,D,8,D,D,-,D,D,-,4,-,-,5,-,-,D,-,-,-,-,-,-,D,92
Montenegro,265,174,4,5,D,14,-,3,D,3,D,-,D,3,D,D,D,22,-,-,-,3,D,D,D,-,-,-,-,D,-,-,-,D,D,-,-,D,-,-,-,D,-,D,D,-,-,-,-,-,-,-,14
Montserrat,27,14,D,D,D,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,3
Morocco,"3,656",687,78,85,297,119,52,62,55,485,71,24,153,45,15,8,14,17,27,151,50,26,68,34,12,14,17,7,D,24,44,D,37,31,22,4,17,4,3,66,-,8,12,4,11,6,3,3,-,D,D,30,646
Mozambique,94,12,D,D,4,3,3,D,8,-,D,D,D,4,D,-,-,D,-,D,D,-,-,-,-,3,D,D,-,-,-,D,D,-,-,-,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,D,35
Namibia,59,3,-,D,4,D,-,-,-,3,D,-,D,4,-,-,4,D,D,-,D,-,D,D,D,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,D,18
Nauru,8,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,"11,312","1,168",219,26,873,293,298,340,725,398,378,26,128,222,113,14,111,29,147,16,357,18,13,418,92,82,135,60,D,139,82,16,52,6,11,83,93,54,119,64,D,71,29,56,67,98,-,104,D,-,18,48,"3,398"
Netherlands,"1,091",123,66,36,38,29,48,39,11,31,32,18,14,49,30,12,16,6,11,21,7,D,10,9,10,14,9,3,D,4,D,5,D,11,6,5,3,3,D,7,3,9,7,3,3,-,3,3,4,4,5,31,271
Netherlands Antilles,106,26,D,16,5,4,3,D,3,4,D,-,3,-,D,-,D,-,-,6,-,-,-,D,-,-,-,-,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,D,6,18
New Caledonia,D,-,-,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,814,75,71,19,24,20,13,50,15,14,5,16,6,30,13,10,15,4,6,-,14,9,4,7,11,10,13,D,-,6,5,8,6,8,D,8,5,D,7,-,-,4,4,-,4,-,D,D,4,-,D,35,225
Nicaragua,"3,046",176,250,"1,252",111,29,115,152,53,13,27,7,18,11,29,57,4,D,6,40,9,34,40,9,4,13,9,18,6,20,-,D,D,13,10,3,3,D,7,5,-,4,13,5,D,D,7,3,D,15,4,24,406
Niger,48,10,-,-,7,D,D,D,-,-,D,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,D,18
Nigeria,"13,575","2,020",467,131,"1,144",728,"1,460",166,868,366,917,41,410,73,30,140,121,140,247,58,61,36,55,617,62,42,66,48,28,61,84,D,106,25,251,93,32,65,6,98,-,49,49,16,52,23,33,12,20,D,5,49,"1,900"
Niue,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Norway,276,28,23,13,6,-,24,11,7,9,5,D,4,14,3,5,D,3,3,12,D,D,3,-,D,4,4,D,D,-,-,-,-,D,D,D,-,D,-,D,-,-,-,-,D,-,3,-,D,D,D,5,65
Oman,74,16,D,-,D,D,16,D,D,5,-,-,D,4,-,-,D,3,-,-,D,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
Pakistan,"14,740","3,737",494,231,"1,083",929,"1,025",351,547,225,321,44,376,190,148,169,72,239,65,102,56,28,49,388,222,23,109,64,D,30,55,12,39,58,30,20,125,65,43,63,D,63,30,28,37,28,153,17,17,3,8,60,"2,464"
Palau,10,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,3
Panama,"1,281",228,35,154,50,22,37,17,32,15,39,7,9,14,4,4,6,3,3,50,3,14,37,11,4,5,11,25,D,8,-,4,4,D,3,D,-,3,6,4,3,12,10,D,3,D,D,D,D,14,-,18,340
Papua New Guinea,21,3,-,D,-,-,-,-,D,-,-,D,-,-,D,D,-,-,-,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,6
Paraguay,467,218,7,61,30,4,7,-,D,11,3,-,-,3,D,4,4,D,D,D,3,D,D,D,D,-,D,3,D,D,D,-,-,5,-,D,D,D,3,-,-,-,5,-,-,-,-,-,-,D,D,3,68
Peru,"12,609","3,028",791,"1,842","1,140",153,233,327,219,144,260,67,85,75,81,168,52,27,41,236,98,92,155,77,49,34,50,31,6,98,22,15,23,129,33,26,190,40,150,41,14,20,58,15,28,8,20,11,6,32,30,116,"1,923"
Philippines,"57,327","4,879","8,683",632,"1,441","2,161",979,"4,095",565,255,248,"2,371",464,"1,324","1,636","1,490",588,304,243,366,167,"1,627",303,470,885,353,154,239,77,84,126,"2,737",88,104,87,99,86,101,57,74,130,136,328,24,97,26,645,85,222,10,370,"2,621","11,991"
Poland,"6,300","1,979",119,112,74,"2,128",46,32,36,55,29,19,122,29,24,14,29,92,8,21,29,19,38,22,13,9,7,11,4,6,5,6,32,79,11,D,218,9,10,7,D,8,13,38,20,8,D,5,D,-,4,41,655
Portugal,811,267,19,41,23,12,10,20,3,66,14,5,12,4,6,D,3,D,D,4,7,D,3,D,D,D,D,D,-,-,D,-,127,15,-,-,8,D,D,D,-,-,D,5,-,-,-,D,D,D,-,7,104
Qatar,141,30,8,D,9,4,3,5,5,4,5,D,-,D,D,D,-,6,-,D,3,-,D,D,-,-,-,D,D,-,D,-,-,-,D,D,-,D,-,-,-,D,D,-,-,D,D,-,D,-,D,-,35
Romania,"3,748",504,225,211,107,419,60,51,53,70,142,21,59,137,28,32,131,177,17,14,16,45,20,27,54,85,9,15,5,18,16,4,6,37,14,17,8,4,7,5,-,8,16,4,71,10,D,7,D,5,5,40,709
Russia,"9,969","2,286",636,354,386,355,157,301,123,324,158,136,270,369,196,52,56,78,103,91,123,71,95,93,155,143,39,24,D,34,60,16,39,65,30,27,33,30,23,41,D,53,25,22,70,33,8,5,5,6,16,122,"2,024"
Rwanda,592,14,4,5,15,16,25,D,48,8,11,4,4,10,D,3,19,D,5,5,13,D,3,17,-,11,3,6,-,4,5,-,D,D,5,6,-,D,17,5,-,3,-,8,D,24,-,7,-,-,D,3,244
Saint Helena,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Saint Kitts-Nevis,311,81,-,30,10,5,D,D,3,5,9,-,D,-,-,-,-,-,-,5,D,D,3,7,-,-,-,-,-,D,D,-,D,3,-,D,-,D,-,D,-,-,D,D,-,-,-,-,-,3,-,106,24
Saint Lucia,919,485,3,44,22,6,30,3,6,9,15,D,7,-,-,4,5,-,-,27,D,3,8,4,-,D,-,-,-,5,3,-,-,4,-,D,32,-,-,D,-,-,3,4,-,-,-,-,-,-,D,81,99
Saint Vincent and the Grenadines,503,332,6,23,14,D,D,-,D,8,3,D,12,D,D,D,-,-,D,9,-,-,D,3,-,-,D,D,-,3,3,D,D,D,-,-,3,-,-,-,-,-,D,-,D,D,-,-,-,-,-,7,56
Samoa,238,D,32,D,D,-,-,14,-,-,-,D,-,35,5,14,D,-,-,-,D,3,-,-,4,3,D,-,-,-,-,37,-,-,-,-,-,7,25,-,-,-,-,-,-,-,-,-,-,-,-,5,42
Sao Tome and Principe,12,D,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,"1,343",168,65,24,107,97,71,24,46,25,27,26,29,15,17,12,13,38,19,17,19,D,19,10,10,17,10,10,D,6,19,D,3,7,D,10,D,6,5,D,5,11,-,4,13,D,D,7,3,-,D,8,290
Senegal,"1,615",537,15,7,97,19,31,8,18,12,84,5,48,19,D,3,7,30,11,3,14,3,5,34,D,5,4,5,D,16,89,D,38,3,29,5,3,8,3,15,-,8,5,3,10,4,D,-,D,-,-,18,326
Serbia,704,126,31,48,57,111,6,14,10,14,4,14,20,21,12,6,10,5,4,3,D,18,5,6,-,3,D,D,-,3,6,3,-,D,5,D,D,3,D,D,-,7,D,-,D,D,-,-,D,-,D,12,99
Serbia and Montenegro 1,801,262,32,16,30,95,7,6,16,8,D,18,12,11,4,D,12,40,3,6,4,6,7,4,D,4,D,4,-,-,3,5,-,8,D,4,6,D,3,-,-,8,-,-,12,D,-,-,-,-,-,3,132
Seychelles,D,-,D,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Sierra Leone,"1,688",271,47,D,500,12,39,13,42,44,52,D,199,11,21,8,18,13,32,4,12,D,3,28,5,D,D,-,-,11,71,D,D,-,4,4,D,5,D,15,-,10,6,5,D,3,3,3,-,-,-,D,154
Singapore,712,104,71,8,26,19,38,51,26,21,11,12,22,31,49,6,10,D,3,D,7,8,3,3,-,9,9,D,-,-,D,4,-,7,4,D,D,-,D,D,-,D,3,3,4,D,D,D,-,-,D,5,116
Slovakia,528,176,30,11,15,41,4,12,8,3,9,6,6,3,6,3,4,5,4,4,D,D,4,3,4,4,4,-,D,3,D,D,D,6,D,D,D,-,3,D,-,-,6,-,5,-,-,D,-,-,D,5,113
Slovenia,86,15,D,5,4,8,D,4,D,3,4,-,-,5,-,-,D,-,D,-,D,D,D,-,-,-,-,D,D,-,-,-,D,D,D,-,D,-,D,-,-,D,D,-,3,-,-,-,-,-,-,-,14
Solomon Islands,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,"5,204",8,19,-,67,56,31,9,75,104,70,104,5,363,14,D,85,D,950,D,94,5,D,6,D,120,3,29,-,16,450,D,D,D,18,78,4,90,66,15,-,40,D,32,9,60,-,20,-,-,-,50,"2,025"
South Africa,"2,781",244,185,136,85,75,71,46,94,61,111,62,38,64,27,47,40,15,32,32,38,14,31,24,22,17,33,17,D,45,9,4,6,29,D,23,12,27,18,30,-,7,18,3,15,D,4,6,-,D,D,79,778
South Sudan,17,-,-,-,D,D,-,-,D,-,-,D,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,D,6
"Soviet Union, former","1,296",383,91,73,33,40,13,46,6,45,14,22,30,44,17,4,9,5,6,22,6,11,13,15,32,16,3,D,D,6,7,3,D,7,-,D,7,3,D,5,-,4,D,D,8,3,D,-,D,D,-,15,214
Spain,"1,842",291,109,367,57,46,53,62,38,68,21,39,25,38,37,12,7,13,9,26,14,13,21,8,6,8,13,5,3,4,3,D,13,18,3,D,D,3,5,3,3,8,5,D,D,D,D,D,3,32,D,16,299
Sri Lanka,"1,994",538,262,10,143,54,53,64,65,40,48,31,34,33,28,42,5,12,21,15,D,23,14,21,7,5,12,11,-,8,22,-,4,3,D,7,14,5,D,3,D,4,5,8,6,6,5,6,D,-,4,10,274
Sudan,"2,471",188,39,14,292,76,45,20,103,38,53,24,88,37,10,7,54,23,25,7,81,5,17,20,5,4,9,6,-,10,14,-,D,D,27,29,7,29,34,9,D,7,10,-,13,13,D,4,-,-,-,-,970
