Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND COUNTRY OF BIRTH: FISCAL YEAR 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
Algeria,"1,369",267,43,23,71,79,35,94,8,92,21,11,133,14,12,4,3,19,9,9,28,3,17,7,14,D,13,10,D,9,34,D,6,-,10,D,9,23,D,15,-,5,D,9,6,D,-,D,-,-,-,6,189
Andorra,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,187,20,4,8,7,D,16,-,6,39,4,-,3,-,D,-,3,-,-,-,D,D,D,D,D,D,D,-,-,9,-,-,12,D,-,-,-,-,-,4,-,-,D,-,D,5,-,-,-,-,-,D,29
Anguilla,23,D,-,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3
Antigua-Barbuda,337,168,D,28,4,-,4,D,D,5,9,D,3,-,-,-,D,D,-,11,-,-,4,D,-,-,D,D,-,-,3,D,3,D,D,D,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,37,39
Argentina,"4,359",584,302,"1,319",193,72,165,50,88,48,92,36,45,32,27,45,18,20,20,86,14,25,55,15,13,16,16,D,9,12,7,D,8,45,5,12,14,9,66,11,4,17,11,9,8,3,3,8,4,25,9,43,612
Armenia,"2,681",205,"1,797",14,31,21,3,36,17,56,8,10,20,55,22,19,5,12,4,9,6,33,5,4,53,5,D,-,-,6,5,D,5,4,5,3,4,D,13,D,-,3,-,D,8,D,-,-,24,-,9,D,133
Aruba,54,13,D,11,-,-,3,-,-,D,D,-,D,-,D,-,-,-,-,7,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,D,-,4,2
Australia,"2,414",349,301,44,61,61,75,115,35,55,36,44,40,101,42,25,44,14,10,11,35,35,15,14,28,32,17,6,-,7,5,34,6,18,5,20,10,14,26,5,-,8,13,7,3,5,D,-,D,D,11,45,522
Austria,407,64,39,17,22,12,7,24,9,17,17,9,5,17,5,3,4,D,3,3,D,3,4,5,D,3,D,D,-,-,3,3,-,3,D,-,-,-,D,-,-,-,D,D,D,D,-,D,D,D,D,7,81
Azerbaijan,663,157,105,9,30,26,42,21,15,12,8,11,26,19,3,4,D,5,4,D,4,7,D,8,13,3,-,D,-,3,8,-,D,D,-,6,4,D,6,-,D,4,3,3,7,D,-,-,3,-,-,D,70
Bahamas,619,30,7,257,8,3,11,5,5,6,40,D,4,D,-,5,3,D,D,32,-,-,24,3,-,D,-,D,-,5,D,-,-,4,D,4,3,-,-,3,-,D,6,D,-,-,-,-,-,-,D,4,132
Bahrain,104,14,3,3,6,13,3,5,D,D,3,-,4,D,D,D,-,6,-,D,D,D,D,-,-,D,D,-,-,-,-,D,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,D,-,20
Bangladesh,"14,705","8,026",527,356,764,119,195,72,385,201,379,19,497,36,53,76,46,863,57,131,42,24,48,57,24,21,49,13,7,9,36,3,35,77,21,16,67,17,D,46,3,26,6,10,5,16,D,D,D,-,18,19,"1,183"
Barbados,460,246,D,26,19,4,3,4,3,20,14,D,8,D,-,-,D,D,-,3,D,D,12,5,-,-,D,-,-,3,D,D,D,D,3,-,3,-,-,D,-,-,-,-,-,-,-,-,-,-,-,7,59
Belarus,"1,659",446,55,59,46,82,16,72,D,76,23,23,78,53,30,3,7,9,46,10,28,12,7,11,44,12,3,D,-,8,5,D,3,17,3,D,8,D,4,4,D,6,8,D,11,14,-,7,D,-,D,14,282
Belgium,574,98,53,30,45,18,27,15,10,19,18,7,14,6,14,D,4,D,D,D,7,7,6,4,D,3,4,D,-,D,D,-,-,6,D,D,-,D,D,D,-,D,-,-,D,3,-,-,-,D,-,8,124
Belize,847,175,248,45,8,86,41,6,22,7,7,D,4,8,D,14,4,D,4,3,D,13,10,D,D,D,4,D,-,-,D,-,-,4,-,-,D,D,4,D,-,D,-,-,-,-,D,-,-,-,D,9,98
Benin,415,69,4,D,57,50,5,4,5,3,14,D,18,6,-,D,D,5,14,D,20,-,D,3,D,D,D,D,-,6,3,-,-,D,17,D,D,D,D,3,-,-,-,-,4,-,-,D,-,-,-,6,77
Bermuda,85,10,D,D,D,-,D,D,D,3,11,-,11,D,-,D,-,-,-,D,-,-,D,3,-,-,-,-,-,-,D,-,3,D,-,-,D,-,-,-,-,-,D,D,D,D,-,-,-,-,-,3,20
Bhutan,"10,198",47,D,-,120,248,273,66,418,80,617,21,182,214,D,-,187,-,130,-,462,26,-,222,51,95,74,82,-,263,148,-,54,-,8,187,45,75,165,20,-,98,68,124,134,223,-,183,-,-,-,3,"4,782"
Bolivia,"1,948",164,97,202,798,27,51,18,20,29,14,6,5,11,7,7,6,3,7,11,14,11,22,11,6,4,7,10,3,7,6,-,66,4,D,-,D,6,15,3,4,5,7,D,D,-,D,D,D,6,D,22,215
Bosnia-Herzegovina,815,58,17,7,19,77,22,7,21,21,32,7,10,13,9,4,21,19,11,D,13,11,19,D,6,13,D,D,-,3,3,-,-,D,D,4,12,3,12,-,-,43,12,-,10,3,-,4,-,D,-,D,258
Botswana,80,11,-,D,4,D,-,D,6,5,D,-,D,-,D,D,-,D,4,-,D,-,3,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,27
Brazil,"11,441","1,742",457,"1,741",322,151,176,308,215,"1,239",457,149,138,140,71,48,63,46,40,385,41,76,132,58,30,34,57,15,3,46,24,34,135,289,18,25,39,25,90,34,3,28,40,171,15,5,6,12,12,6,22,98,"1,930"
British Virgin Islands,39,8,-,D,-,-,3,D,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,3,-,13,5
Brunei,19,5,-,-,D,D,5,D,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-
Bulgaria,"2,440",253,87,82,99,442,18,59,23,108,60,15,34,75,36,15,36,22,14,18,30,106,38,26,4,14,6,9,D,14,5,5,10,20,6,6,6,7,9,8,-,15,D,9,9,6,-,5,D,5,D,36,524
Burkina Faso,558,238,-,D,56,18,30,5,6,7,27,D,23,5,D,D,D,D,5,-,9,-,-,8,D,D,D,-,-,-,D,-,-,D,D,-,3,D,-,3,-,-,D,D,3,-,-,-,-,-,-,3,91
Burma,"17,383",442,354,68,225,224,497,436,"1,054",134,919,181,241,258,61,30,303,7,788,28,302,15,56,333,5,186,200,154,D,248,117,14,21,7,"1,129",217,69,372,183,85,-,42,257,22,32,564,8,15,D,-,D,103,"6,372"
Burundi,535,16,D,-,21,6,28,-,36,D,18,23,5,8,3,-,27,-,6,-,5,5,D,4,D,4,5,7,-,D,9,-,5,-,D,8,D,4,3,D,-,D,3,5,4,22,-,3,-,-,-,D,227
Cambodia,"2,473",31,395,12,55,46,96,58,74,285,40,51,104,169,52,67,24,D,107,9,20,10,19,D,14,39,11,7,-,21,13,D,32,14,D,6,10,6,21,-,D,D,15,5,9,-,42,9,17,-,7,26,416
Cameroon,"3,815",196,87,16,"1,209",99,154,29,193,132,174,14,56,20,18,13,42,37,123,12,26,15,11,178,7,7,21,16,7,19,54,-,D,10,18,4,3,33,4,11,3,D,4,32,7,6,4,14,-,-,D,10,663
Canada,"12,932","1,224",786,470,256,321,519,349,327,335,280,213,190,529,234,117,317,353,136,131,183,129,166,84,84,131,120,45,10,97,59,54,32,76,71,55,41,33,72,75,11,64,47,30,42,100,17,28,14,4,36,349,"3,486"
Cape Verde,"1,684",20,-,5,10,-,-,-,-,"1,108",D,D,-,D,-,-,-,-,-,5,-,-,D,-,D,-,-,-,-,-,-,-,472,10,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,D,44
Cayman Islands,44,8,-,11,D,-,D,D,-,-,D,-,-,-,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,11
Central African Republic,116,6,D,-,17,D,8,-,D,5,10,D,D,D,-,-,3,-,-,-,D,-,-,D,-,7,D,-,-,-,D,-,-,-,-,-,-,3,7,D,-,-,-,-,-,3,-,4,-,-,-,-,29
Chad,155,22,-,-,13,D,4,-,10,-,6,4,D,3,-,-,D,-,-,-,-,-,-,D,-,4,-,5,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,3,-,D,-,-,-,6,63
Chile,"1,673",277,76,282,73,41,53,27,29,29,28,19,17,19,6,8,25,5,7,36,16,18,20,8,20,7,D,4,D,12,D,D,-,9,4,4,D,6,41,10,D,-,5,-,6,-,D,5,D,15,5,11,375
"China, People's Republic","81,784","24,763","10,486",661,"2,001","2,099","1,606","6,721",854,"2,849",877,737,"1,521","1,677","2,184",755,531,505,513,283,397,608,236,576,754,514,242,134,24,216,293,728,197,146,238,204,178,211,171,265,28,327,130,131,306,140,139,112,87,79,136,636,"11,578"
Colombia,"20,931","5,053",587,"5,038",512,360,812,117,323,523,545,105,228,131,46,133,98,37,76,860,60,83,545,69,34,29,44,67,28,189,27,11,189,263,44,43,96,40,61,76,14,36,91,32,25,11,3,13,8,129,27,143,"2,817"
Comoros,10,D,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,1
"Congo, Democratic Republic","3,731",63,33,7,152,42,141,11,330,58,158,26,24,43,17,12,103,15,39,D,190,19,4,53,5,73,53,55,-,119,42,D,6,24,37,41,5,11,27,67,-,13,3,11,17,93,-,33,-,-,-,51,"1,397"
"Congo, Republic","1,461",65,13,4,72,26,62,12,131,23,73,25,13,25,D,6,31,8,10,5,37,5,D,21,8,15,4,3,-,67,13,-,-,16,13,6,-,D,10,57,-,13,D,D,D,23,D,8,4,-,-,31,493
Costa Rica,"2,020",577,58,184,43,18,46,14,32,24,48,11,42,20,7,23,18,3,11,55,17,14,43,5,12,7,9,7,D,39,6,D,4,22,-,12,3,5,D,6,D,3,7,D,4,8,D,D,D,8,3,22,508
Cote d'Ivoire,"1,760",563,26,6,169,23,29,15,60,30,99,11,83,29,D,3,11,9,40,5,17,D,7,34,5,D,6,4,-,17,6,-,26,3,18,4,4,D,3,5,-,6,D,7,13,5,D,13,D,-,-,5,329
Croatia,336,52,28,20,9,23,10,9,D,4,D,8,5,6,4,D,6,3,D,D,D,11,6,4,3,-,D,D,-,D,3,-,-,-,D,D,D,D,D,-,-,D,D,-,8,D,-,-,-,-,D,4,83
Cuba,"32,820",903,198,"21,906",41,100,573,55,167,44,172,49,31,19,D,28,208,3,20,593,23,683,"2,075",13,4,86,157,35,16,103,10,-,3,9,8,79,14,46,28,41,14,38,239,3,D,28,-,15,D,82,D,95,"3,757"
Cyprus,107,25,6,4,4,D,D,D,D,4,D,-,5,4,-,D,D,D,-,-,-,D,3,D,-,-,D,-,-,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,32
Czech Republic,677,66,48,27,20,68,7,16,14,18,27,12,6,15,15,5,6,3,-,6,11,5,24,3,D,3,3,D,D,5,D,D,D,4,-,6,3,D,D,10,-,4,D,D,5,-,-,-,-,D,D,15,176
"Czechoslovakia, former",159,22,5,5,5,19,D,6,D,5,4,D,3,D,-,D,D,3,-,-,D,D,9,D,-,3,-,D,-,-,D,-,-,-,-,D,-,-,D,D,-,D,D,-,D,-,-,-,-,-,-,4,46
Denmark,459,87,44,13,17,9,16,33,7,7,13,13,3,21,17,D,D,-,5,D,D,D,6,4,4,D,D,-,-,3,D,D,D,3,D,D,-,4,3,9,-,D,D,-,D,-,-,-,-,-,4,5,88
Djibouti,106,-,D,D,4,D,-,-,4,5,D,5,-,10,D,D,3,-,24,D,D,-,-,D,-,D,-,-,-,-,8,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,26
Dominica,125,41,D,10,4,D,3,-,-,3,4,-,3,-,-,-,-,-,-,D,-,-,D,3,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,39,8
Dominican Republic,"41,566","25,175",78,"1,856",352,92,104,23,49,"3,158",203,19,930,22,7,13,24,56,36,575,14,51,281,88,5,8,8,20,5,99,56,7,"1,037",258,63,20,177,13,7,65,4,17,40,192,29,14,D,D,D,"2,004",-,344,"3,863"
East Timor,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
