,Country,Total,NAME,ISO_A3
145,Romania,1846.0,Romania,ROU
146,Russia,5525.0,Russia,RUS
147,Rwanda,784.0,Rwanda,RWA
148,Saint Kitts and Nevis,113.0,Saint Kitts and Nevis,KNA
149,Saint Lucia,457.0,Saint Lucia,LCA
150,Saint Martin (French),9.0,Saint Martin (French),MAF
151,Saint Vincent and the Grenadines,228.0,Saint Vincent and the Grenadines,VCT
152,Samoa,130.0,Samoa,WSM
153,Saudi Arabia,1780.0,Saudi Arabia,SAU
154,Senegal,962.0,Senegal,SEN
155,Serbia,810.0,Serbia,SRB
156,Sierra Leone,1227.0,Sierra Leone,SLE
157,Singapore,799.0,Singapore,SGP
158,Sint Maarten,24.0,Sint Maarten,SXM
159,Slovakia,311.0,Slovakia,SVK
160,Slovenia,87.0,Slovenia,SVN
161,Somalia,961.0,Somalia,SOM
162,South Africa,2716.0,South Africa,ZAF
163,South Sudan,69.0,South Sudan,SSD
164,Spain,2644.0,Spain,ESP
165,Sri Lanka,1232.0,Sri Lanka,LKA
166,Sudan,871.0,Sudan,SDN
167,Suriname,117.0,Suriname,SUR
168,Sweden,788.0,Sweden,SWE
169,Switzerland,614.0,Switzerland,CHE
170,Syria,1748.0,Syria,SYR
171,Taiwan,4246.0,Taiwan,TWN
172,Tajikistan,538.0,Tajikistan,TJK
173,Tanzania,1438.0,Tanzania,TZA
174,Thailand,4037.0,Thailand,THA
175,Togo,1143.0,Togo,TGO
176,Tonga,171.0,Tonga,TON
177,Trinidad and Tobago,1852.0,Trinidad and Tobago,TTO
178,Tunisia,514.0,Tunisia,TUN
179,Turkey,4465.0,Turkey,TUR
180,Turkmenistan,161.0,Turkmenistan,TKM
181,Turks and Caicos Islands,53.0,Turks and Caicos Islands,TCA
182,Uganda,1146.0,Uganda,UGA
183,Ukraine,7578.0,Ukraine,UKR
184,United Arab Emirates,1332.0,United Arab Emirates,ARE
185,United Kingdom,9229.0,United Kingdom,GBR
186,United States,256.0,United States,USA
187,Uruguay,830.0,Uruguay,URY
188,Uzbekistan,990.0,Uzbekistan,UZB
189,Venezuela,14412.0,Venezuela,VEN
190,Vietnam,16312.0,Vietnam,VNM
191,"Virgin Islands, British",39.0,"Virgin Islands, British",VGB
192,Yemen,4345.0,Yemen,YEM
193,Zambia,361.0,Zambia,ZMB
194,Zimbabwe,737.0,Zimbabwe,ZWE
