Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Baltimore-Columbia-Towson, MD","Denver-Aurora-Lakewood, CO","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Urban Honolulu, HI","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cleveland-Elyria, OH","McAllen-Edinburg-Mission, TX","Cincinnati, OH-KY-IN","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Virginia Beach-Norfolk-Newport News, VA-NC","Milwaukee-Waukesha-West Allis, WI",Non-CBSA,Other & Unknown
East Timor,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,"10,960","6,395",262,887,163,118,368,39,81,49,81,10,19,113,31,29,4,23,196,212,71,8,36,29,8,16,20,127,12,13,8,266,D,3,D,24,12,25,9,49,7,23,10,5,6,6,35,D,D,8,3,60,974
Egypt,"11,477","3,318","1,248",153,489,211,207,224,318,241,114,34,62,260,139,340,131,67,81,212,353,28,12,98,24,56,13,30,15,43,744,22,D,-,92,48,99,6,15,10,15,26,D,87,-,20,70,17,14,32,9,69,"1,555"
El Salvador,"19,273","2,547","3,972",413,"3,062","1,599",139,924,723,531,256,150,62,66,92,393,12,90,87,51,58,61,198,193,91,43,74,137,67,22,66,32,4,D,56,80,58,57,36,19,D,30,14,18,13,14,44,25,89,27,13,179,"2,282"
Equatorial Guinea,15,D,-,-,5,4,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Eritrea,"2,002",31,53,7,281,98,23,123,82,31,120,48,17,18,160,5,4,22,45,3,D,12,34,27,55,19,13,33,18,43,11,4,-,-,9,13,18,9,3,D,10,7,12,6,-,9,D,D,D,10,15,18,415
Estonia,220,45,13,14,13,6,11,6,4,5,D,6,-,3,5,D,D,-,3,11,7,-,4,3,5,3,-,D,-,-,3,-,-,D,D,-,-,-,-,D,-,D,-,D,-,4,-,-,-,D,-,3,30
Ethiopia,"12,300",179,254,25,"2,856",279,192,278,499,220,727,183,134,139,812,30,24,105,954,23,24,63,377,182,481,157,71,72,33,222,120,15,-,D,74,6,63,33,137,21,70,52,52,21,-,67,13,D,6,21,29,108,"1,791"
Fiji,802,16,24,3,3,4,D,165,5,D,D,30,4,-,75,19,-,4,D,-,D,212,D,D,D,6,-,-,-,-,-,D,D,6,-,-,-,-,D,-,D,D,-,-,-,-,-,14,D,-,-,7,186
Finland,350,27,22,27,14,5,4,16,14,6,9,29,27,6,11,D,4,6,14,-,3,D,3,-,7,D,-,D,D,-,-,-,-,D,D,-,D,D,-,-,-,D,-,D,-,D,D,D,-,D,D,8,71
France,"4,284",937,399,333,183,123,99,322,45,178,60,153,81,68,81,17,30,54,35,46,17,23,51,22,9,27,39,17,5,12,11,27,4,11,9,19,16,13,10,8,13,8,D,7,3,11,10,3,D,8,7,28,589
French Polynesia,24,D,3,-,-,D,-,D,D,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,6,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
Gabon,167,34,3,D,23,24,3,-,4,3,5,-,-,D,D,-,-,3,D,-,-,-,-,3,D,-,3,D,-,-,-,-,-,-,-,-,-,D,-,-,D,D,-,D,-,D,-,-,D,D,D,-,40
Gambia,"1,111",345,5,D,71,4,6,4,32,10,81,D,D,11,130,-,18,4,46,D,-,-,4,17,3,4,-,10,-,24,4,-,-,-,6,22,27,-,12,5,D,D,17,D,-,7,D,D,-,3,-,13,153
Georgia,"1,240",735,82,21,34,7,20,27,6,11,14,10,6,61,9,D,4,-,7,4,6,5,3,13,8,4,-,D,3,4,D,15,-,-,-,-,-,4,D,D,-,D,D,5,-,6,-,-,-,D,D,4,89
Germany,"5,584",727,364,215,188,118,116,244,85,169,113,148,99,107,128,40,118,53,45,68,67,32,38,40,38,34,30,53,35,20,21,29,27,34,19,15,29,17,20,13,35,25,13,27,D,23,8,D,11,47,12,120,"1,502"
Ghana,"7,115","2,093",73,18,957,101,209,35,168,103,295,13,25,230,58,33,32,17,110,16,22,17,8,172,125,16,24,52,11,269,41,18,D,5,30,38,24,9,20,111,15,9,11,23,D,87,280,5,D,38,13,57,974
Gibraltar,D,D,-,-,-,-,-,D,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greece,"1,235",369,60,34,40,20,76,27,5,77,13,18,14,52,20,6,22,4,4,4,24,D,10,22,D,D,6,12,-,D,6,8,-,3,5,7,D,3,D,11,D,5,D,3,-,D,13,D,-,8,11,10,187
Greenland,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Grenada,633,466,4,17,24,8,D,D,9,7,7,-,-,8,-,-,-,-,D,6,6,-,-,6,-,-,-,D,-,-,D,D,-,-,-,3,-,-,-,-,-,D,D,-,-,-,-,-,-,5,-,9,38
Guam,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-
Guatemala,"10,238",878,"2,013",448,544,278,292,679,185,372,155,47,160,81,76,256,5,100,60,46,52,22,104,64,45,111,36,36,61,6,32,146,5,D,22,270,31,44,34,10,9,13,21,10,7,40,27,24,D,12,5,139,"2,121"
Guinea,"1,375",678,12,-,98,8,10,D,10,35,48,D,-,94,10,-,9,5,27,-,-,5,-,30,10,-,5,6,D,50,D,-,-,-,17,4,12,-,-,3,-,4,7,D,-,-,-,-,-,D,6,6,158
Guinea-Bissau,30,D,-,-,D,-,D,-,-,9,D,-,D,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,6
Guyana,"6,267","4,673",31,188,140,24,16,10,31,24,128,-,3,54,4,4,5,5,77,142,34,D,5,28,6,5,D,4,D,4,5,6,-,D,-,-,3,-,4,63,D,10,D,7,-,D,D,D,-,4,-,24,483
Haiti,"15,274","3,753",24,"5,320",157,32,68,22,36,"1,232",193,D,6,287,17,9,8,25,36,883,162,D,14,20,15,13,10,15,20,24,17,197,4,D,23,57,7,4,27,34,14,73,16,5,D,12,19,-,-,14,7,183,"2,152"
Holy See,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,"8,156","1,277",595,"1,180",508,569,100,99,264,143,171,22,34,71,61,85,17,54,37,100,104,14,62,66,23,11,128,78,82,11,28,54,D,D,39,27,82,25,37,23,11,30,18,14,8,7,7,6,D,16,4,104,"1,644"
Hong Kong,"2,278",417,350,29,61,33,48,366,43,50,13,119,29,29,133,30,7,10,12,14,5,20,17,14,3,17,12,6,8,7,D,13,D,29,5,4,7,6,11,6,5,-,D,9,D,5,6,6,6,4,3,14,232
Hungary,996,176,105,84,30,8,17,39,7,18,5,17,18,9,15,6,5,10,6,20,35,D,14,8,14,D,11,7,D,6,D,11,D,5,7,3,14,-,3,4,5,15,D,11,-,D,-,D,-,D,D,9,204
Iceland,86,14,4,D,D,D,-,D,D,3,4,4,D,3,4,D,-,-,5,4,D,-,D,D,-,-,-,-,D,D,-,3,-,-,-,-,-,-,-,4,-,-,-,D,-,-,5,-,-,-,-,D,9
India,"77,908","12,350","2,719",620,"3,163","2,694","4,659","3,845","3,288","1,853","2,433","3,965",789,"2,522","2,087",526,"1,355",868,"1,217",359,664,"1,002",164,802,383,504,736,771,361,612,303,433,9,32,479,208,657,129,317,593,448,297,170,479,23,445,330,481,560,164,356,594,"13,090"
Indonesia,"2,139",220,320,19,65,66,36,119,53,58,84,50,36,88,75,148,9,20,13,11,9,19,17,16,37,16,19,D,10,18,-,3,-,4,10,7,13,D,5,D,5,4,3,5,-,8,3,D,12,3,D,30,366
Iran,"11,615",419,"3,245",155,731,491,257,525,482,182,272,613,437,120,332,120,59,157,56,71,52,209,138,134,67,111,86,56,63,45,74,14,D,5,24,11,30,97,38,26,24,17,28,16,D,22,23,7,31,31,24,49,"1,333"
Iraq,"19,153",189,521,50,547,808,931,79,781,224,253,80,"2,480",155,394,73,"3,465",795,101,79,153,346,59,86,262,214,286,49,249,183,284,D,10,5,52,23,89,252,82,35,112,170,242,102,D,26,180,7,14,58,129,51,"3,332"
Ireland,"1,605",411,76,35,29,14,57,110,13,166,24,57,11,33,46,7,4,14,12,12,13,7,4,8,10,9,8,9,D,9,8,19,-,-,6,9,13,7,D,13,4,3,5,-,-,4,13,D,-,D,7,17,263
Israel,"3,805","1,084",430,297,87,81,82,144,47,157,54,249,43,66,75,16,14,23,22,25,28,16,84,28,20,21,12,14,8,9,17,10,-,8,9,6,8,9,8,4,12,12,D,21,3,17,3,D,4,3,9,13,388
Italy,"3,298",779,239,360,109,76,79,155,40,107,21,48,65,69,34,14,41,16,9,44,34,14,39,37,17,14,22,7,8,12,8,10,D,19,9,13,16,16,6,19,7,7,6,8,D,10,9,4,3,9,3,23,581
Jamaica,"19,026","7,352",117,"3,502",549,138,185,46,133,342,658,8,26,533,20,26,56,33,23,470,203,11,18,265,19,8,21,56,20,28,23,337,12,9,17,36,23,D,24,431,23,93,7,48,D,13,30,3,-,114,31,196,"2,686"
Japan,"5,545",772,"1,010",49,106,58,122,295,41,136,68,179,166,35,196,56,79,50,31,25,12,30,46,36,26,47,18,13,16,52,21,12,8,455,29,11,11,30,11,6,14,14,8,20,-,27,8,5,3,18,4,131,929
Jordan,"5,187",616,199,101,128,183,579,175,182,63,61,31,79,100,42,141,154,65,28,33,104,37,16,21,40,28,33,43,32,96,48,5,9,-,30,9,62,13,23,3,61,22,46,67,3,43,21,9,6,7,60,50,"1,180"
Kazakhstan,"1,221",265,72,51,64,71,38,20,6,29,14,31,30,21,39,7,9,8,9,12,5,36,9,10,10,17,6,5,5,6,D,4,-,-,6,D,D,3,3,D,4,12,-,14,-,4,D,-,-,17,-,15,227
Kenya,"5,884",306,112,12,161,181,60,67,439,261,215,25,46,142,292,50,28,75,617,37,9,40,21,115,48,45,22,40,14,121,35,3,8,3,30,13,80,19,96,7,106,16,17,8,D,13,100,10,D,17,15,58,"1,626"
Kiribati,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D
"Korea, North",142,15,27,D,6,D,5,5,3,4,-,8,D,5,5,D,-,6,D,-,-,D,-,D,4,D,D,D,D,-,-,-,-,5,-,-,D,D,D,-,D,-,D,-,-,D,-,-,-,-,-,3,21
"Korea, South","20,423","3,288","4,670",109,"1,012",375,684,500,483,335,912,532,325,497,618,209,151,115,87,74,40,108,138,274,108,162,142,66,46,54,79,30,19,194,49,17,95,79,60,31,43,39,34,47,20,45,29,17,20,70,23,293,"2,976"
Kosovo,758,333,7,15,16,9,35,-,14,14,13,D,6,12,5,-,28,10,D,4,8,-,3,D,8,-,4,D,D,-,4,14,D,-,-,D,D,6,D,5,D,5,6,-,-,3,-,-,-,D,8,8,138
Kuwait,"1,057",121,53,26,43,43,68,28,42,24,24,12,11,25,17,15,33,14,10,7,21,11,4,10,4,13,6,8,8,24,5,6,-,D,D,4,5,12,8,D,7,D,3,16,-,10,15,3,D,6,13,14,198
Kyrgyzstan,707,177,33,10,22,7,80,20,6,11,10,10,6,31,22,4,D,D,4,16,10,13,D,3,D,15,5,-,D,4,-,D,-,D,D,5,-,-,3,D,-,D,-,-,-,14,-,-,-,5,-,9,138
Laos,806,4,23,6,15,10,15,12,14,7,4,D,16,9,16,10,4,5,143,D,10,30,6,5,3,14,-,13,D,9,10,-,-,13,-,18,-,8,6,6,D,-,-,D,-,D,3,4,48,-,24,20,236
Latvia,384,81,20,29,8,D,24,15,D,11,9,5,5,10,15,-,4,5,5,3,5,5,D,4,6,4,5,-,-,-,D,D,D,D,D,-,D,-,D,-,D,D,D,3,-,D,-,D,-,-,5,10,67
Lebanon,"3,245",214,379,71,109,161,99,30,80,186,30,24,77,38,27,54,747,27,31,32,31,23,8,12,D,14,31,13,11,17,7,14,D,-,8,29,10,8,7,9,10,8,7,36,-,8,38,D,11,13,6,19,416
Lesotho,13,4,-,-,D,-,D,-,D,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-
Liberia,"3,874",302,18,4,271,72,37,18,117,110,142,3,5,817,12,6,26,23,495,D,D,32,7,120,21,16,10,111,6,34,14,5,3,D,24,156,10,7,15,6,20,11,21,18,-,-,60,6,-,11,10,37,600
Libya,524,35,8,7,10,46,8,11,17,7,17,3,8,15,15,10,17,22,4,D,D,3,9,3,18,15,D,D,5,4,D,D,D,-,D,5,D,11,6,-,6,D,3,4,-,-,6,D,-,-,5,4,142
Lithuania,747,96,37,23,15,7,233,12,3,15,14,6,5,11,20,5,4,-,5,11,9,4,3,9,13,D,-,3,-,3,4,D,-,D,3,D,D,4,-,5,D,D,-,4,D,3,D,-,-,D,5,13,124
Luxembourg,26,7,-,3,-,D,-,D,-,D,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,7
Macau,105,23,17,D,4,-,D,21,D,D,-,4,D,-,7,D,D,D,D,D,-,D,3,-,-,D,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,5
Macedonia,960,301,14,30,19,8,152,7,8,11,D,D,3,8,D,-,59,8,6,3,6,D,16,-,-,-,5,-,D,35,3,7,-,-,3,D,-,D,D,-,5,D,-,4,-,3,D,-,3,D,3,27,189
Madagascar,86,7,D,3,30,D,D,-,D,D,-,-,-,D,D,-,-,-,5,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,D,D,-,-,-,-,-,-,-,-,-,3,19
Malawi,172,9,3,D,16,-,-,D,9,8,8,-,-,3,6,-,10,3,D,-,D,D,-,D,3,-,D,-,-,D,8,-,-,-,3,-,-,-,-,-,D,-,5,-,-,D,-,-,-,D,-,D,63
Malaysia,"2,622",340,111,20,57,75,93,100,126,36,91,66,23,31,70,15,14,49,24,9,10,20,11,34,27,16,29,39,22,20,30,D,D,12,112,7,7,15,26,D,14,31,9,13,D,3,D,D,4,5,46,23,677
Maldives,13,-,-,-,-,-,5,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D
Mali,604,258,3,D,43,18,9,8,D,3,17,D,D,62,11,-,3,D,5,D,D,D,D,25,5,-,-,9,D,D,-,D,-,D,7,6,-,D,D,-,-,D,D,-,-,13,D,-,-,6,D,D,68
Malta,39,10,-,-,D,D,D,D,-,-,3,-,-,-,-,-,D,-,-,D,-,-,D,D,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,D,-,D,-,-,-,D,-,-,-,-,-,-,11
Marshall Islands,56,-,-,-,D,D,D,3,D,-,-,-,-,-,D,-,-,-,5,-,D,D,-,-,-,-,-,-,-,-,D,-,D,7,-,-,-,4,-,-,3,-,-,-,-,-,-,-,-,-,3,-,19
Mauritania,320,91,-,D,20,-,-,-,D,5,3,-,-,8,-,-,3,-,-,-,-,-,-,-,5,D,-,-,D,51,-,-,-,-,4,D,-,-,-,-,4,-,12,-,-,37,-,-,-,3,-,D,67
Mauritius,81,7,6,5,12,D,-,D,-,-,4,4,D,3,5,D,-,-,3,-,-,D,-,4,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,17
Mexico,"134,052","2,817","16,053","1,199",711,"7,581","6,297","3,183","6,728",188,"1,501","1,530","5,607",595,"1,089","5,754",517,"4,218",750,337,492,"1,207","1,690",128,"1,770",988,"1,568",554,"2,321",117,420,128,"3,887",38,417,77,380,871,715,45,187,85,173,134,"2,676",131,48,852,"1,386",84,438,"3,436","39,954"
"Micronesia, Federated States",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Moldova,"2,341",269,72,80,68,26,269,39,14,54,24,20,14,41,121,3,8,11,55,182,15,164,27,22,16,84,D,14,8,D,D,7,D,D,4,3,9,14,3,D,6,D,D,13,-,17,3,D,D,9,3,38,479
Monaco,8,D,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Mongolia,651,28,59,4,89,10,94,144,3,3,D,D,5,-,33,D,-,4,D,-,D,16,3,7,23,D,-,-,-,-,-,D,D,5,D,-,D,5,3,-,6,D,D,-,-,-,-,-,-,5,D,5,76
Montenegro,289,178,4,5,6,D,25,D,4,D,D,-,-,D,D,-,29,D,-,-,-,-,D,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,3,15
Montserrat,38,15,-,D,4,-,-,-,-,9,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,4,-
Morocco,"3,605",674,81,97,296,59,127,65,73,414,52,8,13,129,31,17,32,30,33,181,46,9,17,33,55,9,19,19,11,49,10,27,D,D,13,17,71,3,17,12,8,18,12,19,-,48,9,D,-,34,3,27,574
Mozambique,71,6,D,-,7,D,D,D,3,D,8,D,-,-,D,D,-,D,-,-,-,-,D,-,4,D,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,26
Namibia,44,3,D,D,D,D,D,D,D,D,-,-,D,D,D,-,D,-,D,-,D,-,-,-,-,D,D,-,-,-,-,D,-,D,-,-,-,-,-,-,3,-,-,-,-,D,-,-,-,-,-,-,12
Nauru,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,"12,357","1,285",287,25,"1,019",417,265,428,972,414,276,128,42,175,195,32,54,102,142,16,15,72,32,453,335,65,187,112,52,233,80,29,9,13,25,38,69,108,83,63,88,17,96,83,D,65,47,12,D,39,22,88,"3,447"
Netherlands,"1,195",140,67,45,24,62,40,72,14,43,33,44,16,27,46,5,14,23,9,22,18,11,D,7,4,20,9,4,5,5,D,3,D,D,D,5,6,4,3,D,9,6,-,D,-,6,3,3,-,12,5,33,256
Netherlands Antilles (former),45,13,-,13,-,-,-,-,D,D,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,D,-,-,D,-,D,6
New Caledonia,6,D,-,D,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,796,104,79,15,21,22,23,59,12,14,5,15,15,8,22,9,8,10,14,5,3,14,4,6,10,6,4,10,8,8,D,6,-,13,D,3,3,18,3,-,D,D,D,4,-,-,D,D,D,3,4,23,172
Nicaragua,"2,886",154,260,"1,134",113,100,36,184,45,8,39,23,10,31,22,52,D,7,9,32,36,12,37,3,D,D,24,19,15,4,7,11,3,D,11,D,6,4,3,-,3,5,6,D,-,D,D,D,4,4,6,20,372
Niger,71,9,-,-,D,-,-,D,-,-,D,-,-,D,-,-,-,D,D,-,-,-,D,D,-,-,D,D,-,D,-,-,-,-,5,-,-,-,-,D,D,-,-,-,-,D,-,D,-,D,-,D,37
Nigeria,"12,828","1,783",380,118,"1,157","1,477",617,151,794,354,878,47,49,341,45,134,122,85,268,50,68,72,36,613,72,26,86,42,48,72,60,15,26,10,275,104,90,13,74,42,70,40,22,44,10,73,17,21,22,69,38,74,"1,634"
Niue,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Northern Mariana Islands,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norway,271,30,23,8,10,29,4,13,8,4,5,8,3,3,9,3,D,D,3,6,D,D,4,4,7,3,3,-,-,D,D,-,-,D,D,-,D,D,-,-,-,-,-,-,-,-,D,-,-,3,D,3,59
Oman,90,11,7,D,8,4,4,3,6,D,D,D,D,D,D,-,D,D,D,D,-,3,-,D,-,D,-,D,-,-,-,D,-,D,-,-,D,D,-,D,-,D,-,-,-,-,-,-,-,D,-,4,13
Pakistan,"18,612","4,800",556,276,"1,363","1,261","1,298",357,700,221,358,193,88,447,230,197,360,58,140,112,46,427,39,509,44,46,103,57,63,76,30,73,5,4,65,50,66,42,73,154,77,24,43,24,6,38,53,288,31,21,76,161,"2,783"
Palau,12,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,6
Panama,"1,095",213,48,156,38,20,5,27,33,22,38,5,7,19,12,10,D,3,3,21,23,10,14,11,3,D,6,D,9,D,4,D,D,-,4,D,6,11,3,D,5,10,3,4,D,D,-,3,-,8,D,12,248
Papua New Guinea,18,-,D,-,-,-,D,D,-,D,-,3,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,4
Paraguay,391,171,15,46,34,D,D,7,3,4,6,D,4,D,D,3,D,-,-,-,D,-,D,D,3,6,D,D,-,-,D,6,4,-,-,D,D,-,D,D,-,D,-,-,D,-,-,D,-,-,-,4,50
Peru,"10,606","2,603",716,"1,631",857,184,152,364,155,174,173,80,46,103,89,119,25,52,37,175,95,40,67,41,88,21,40,70,30,20,19,127,4,6,20,35,41,162,37,139,24,43,8,16,8,30,29,9,7,22,5,76,"1,492"
Philippines,"49,996","4,008","7,359",623,"1,129",874,"1,965","3,458",703,187,258,"1,336","1,936",370,"1,234","1,325",263,586,219,364,355,707,"1,596",404,134,254,116,116,243,93,200,93,49,"2,210",99,79,85,65,118,55,136,237,63,73,97,249,33,445,178,499,67,"2,205","10,446"
Pitcairn Islands,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Poland,"5,689","1,841",126,102,74,26,"1,645",58,15,74,41,52,30,133,43,10,97,38,23,14,60,13,24,23,19,16,6,21,10,17,8,71,D,6,7,20,14,3,3,179,9,8,D,26,-,12,21,D,D,14,24,35,573
Portugal,892,277,19,48,43,8,D,16,15,88,7,19,5,22,9,3,5,D,6,4,-,D,6,5,3,D,6,-,D,3,D,12,D,-,D,122,-,4,-,3,D,3,-,-,-,5,6,3,D,-,-,5,98
Puerto Rico,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Qatar,202,24,12,-,21,24,4,9,9,3,D,D,D,D,4,D,11,3,D,3,-,D,-,D,5,D,D,-,3,D,-,D,-,-,-,-,6,-,D,-,D,4,-,-,-,D,D,D,-,-,-,D,36
Romania,"3,246",351,195,162,106,79,316,69,53,73,114,46,24,46,112,38,123,114,21,20,24,62,43,18,19,75,10,21,14,3,14,16,D,8,20,10,8,7,4,11,7,13,6,53,-,14,4,D,D,12,4,39,640
Russia,"9,079","1,919",643,498,325,172,299,380,100,330,152,252,155,230,335,31,61,69,81,118,81,140,83,75,88,137,45,69,30,36,23,40,D,14,18,14,40,18,20,24,30,45,13,45,D,31,15,4,9,42,35,90,"1,569"
Rwanda,555,21,3,-,14,33,14,D,38,17,11,-,3,D,5,8,6,30,3,D,-,D,9,6,7,7,5,D,D,8,8,-,-,-,D,D,D,14,D,-,-,D,14,3,-,3,D,-,-,-,8,7,234
Saint Helena,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts-Nevis,263,79,D,40,10,D,D,-,D,3,10,-,-,D,D,-,D,-,D,8,9,-,-,D,-,-,D,D,D,D,-,-,-,-,-,-,3,-,-,-,D,-,-,-,-,-,D,-,-,3,-,57,22
Saint Lucia,844,438,12,45,21,30,D,D,7,21,14,-,D,6,-,D,D,5,D,18,6,D,-,3,3,-,4,D,D,-,D,8,-,-,D,3,D,-,-,31,D,-,D,-,-,D,D,D,-,-,8,78,62
