Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Baltimore-Columbia-Towson, MD","Denver-Aurora-Lakewood, CO","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Urban Honolulu, HI","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cleveland-Elyria, OH","McAllen-Edinburg-Mission, TX","Cincinnati, OH-KY-IN","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Virginia Beach-Norfolk-Newport News, VA-NC","Milwaukee-Waukesha-West Allis, WI",Non-CBSA,Other & Unknown
Algeria,"1,669",275,32,22,62,48,130,223,33,91,20,7,12,156,18,5,10,4,18,6,7,6,D,9,38,D,32,3,19,46,3,D,3,-,18,6,10,D,40,4,3,D,14,D,-,6,5,-,-,3,5,11,196
Andorra,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Angola,148,14,-,5,3,9,-,D,6,31,-,-,D,-,D,D,D,D,-,4,-,D,-,-,-,-,D,D,-,-,D,D,-,-,-,10,4,4,-,-,-,-,-,-,-,D,D,-,-,D,-,D,38
Anguilla,20,D,-,4,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3
Antigua-Barbuda,369,184,4,16,4,3,D,D,8,5,24,-,3,10,D,-,D,D,D,20,3,-,-,D,-,-,-,-,-,-,-,3,-,D,-,-,-,-,-,D,D,D,-,-,D,-,-,-,-,5,-,35,26
Argentina,"3,874",512,262,"1,186",157,155,61,67,91,52,68,29,38,60,21,31,14,11,21,66,29,8,37,8,14,17,18,14,9,14,4,27,6,3,15,8,11,48,10,14,18,6,3,8,4,9,5,D,D,3,8,21,569
Armenia,"2,913",200,"2,031",15,44,7,18,33,19,61,3,35,11,23,15,5,16,9,4,8,5,37,59,10,6,4,3,7,-,3,D,D,-,-,D,D,D,11,D,6,3,D,D,14,-,5,D,-,40,D,D,10,119
Aruba,40,6,D,7,-,D,3,-,-,-,D,-,-,-,D,-,-,-,-,4,-,-,D,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,8
Australia,"2,809",492,382,50,64,67,83,138,67,54,40,55,64,29,109,17,24,27,21,19,15,31,12,14,31,35,31,12,9,6,27,18,D,27,9,6,5,20,13,9,18,6,4,7,-,11,8,D,-,3,11,53,553
Austria,438,76,53,24,21,7,8,31,5,9,10,13,8,4,11,4,10,7,-,4,4,-,D,3,6,3,D,4,-,D,D,D,D,D,D,-,D,-,-,D,3,-,-,-,-,D,D,-,D,-,D,8,84
Azerbaijan,672,152,100,10,47,43,25,20,5,19,9,19,5,12,24,-,5,4,3,4,D,6,D,11,3,5,-,D,4,5,-,3,-,D,-,-,-,3,11,D,4,D,D,-,-,D,D,-,D,D,D,3,89
Bahamas,654,27,4,247,15,15,11,3,9,D,35,-,-,7,D,D,6,-,6,41,19,-,D,D,-,-,-,4,-,D,-,-,-,D,4,-,6,-,D,3,D,10,D,-,-,D,D,-,D,D,-,10,153
Bahrain,122,14,5,-,3,9,6,5,8,D,4,D,D,6,-,D,D,D,D,-,D,D,D,D,D,D,-,-,3,D,-,-,-,-,-,-,D,-,D,-,-,-,-,D,-,-,-,D,-,-,D,-,35
Bangladesh,"14,645","8,038",516,369,620,196,120,81,435,246,341,73,33,458,67,70,823,78,35,105,39,22,11,78,20,28,31,8,16,46,31,123,D,4,13,25,34,9,11,63,12,16,D,5,-,12,12,-,D,12,7,89,"1,160"
Barbados,384,207,D,28,16,7,3,-,D,19,8,-,3,13,D,-,-,D,-,3,4,-,-,-,-,D,5,D,D,-,-,D,-,-,5,-,D,-,-,3,-,4,-,D,-,-,-,-,-,-,-,4,36
Belarus,"2,015",559,97,89,50,19,140,73,23,60,20,51,20,99,61,-,16,12,56,15,11,34,12,19,42,6,8,27,-,7,4,7,-,3,D,10,11,3,4,13,4,D,D,4,-,8,D,-,-,9,5,5,292
Belgium,632,96,48,36,40,29,9,36,4,21,20,17,8,14,7,4,D,6,4,4,D,D,3,7,4,5,7,7,D,D,5,6,-,D,D,4,D,3,4,D,5,3,D,4,-,6,D,-,-,D,D,6,129
Belize,789,132,238,37,5,45,70,11,28,4,13,7,8,7,D,10,D,4,D,D,9,3,8,3,D,6,7,3,D,-,D,-,-,3,D,-,4,-,D,-,3,6,D,-,-,D,-,-,-,D,-,17,79
Benin,517,78,3,D,88,9,31,3,15,11,22,-,D,42,D,-,-,3,11,-,D,-,D,4,9,D,D,8,D,6,-,6,-,-,11,-,D,-,-,-,D,-,3,3,-,4,D,-,-,-,-,D,130
Bermuda,106,10,D,10,-,D,D,3,-,4,9,-,-,-,-,4,D,-,-,3,4,-,-,D,-,-,-,3,-,D,-,D,-,-,-,D,-,-,-,D,-,D,D,-,-,-,D,-,-,D,-,-,34
Bhutan,"7,298",23,D,-,38,208,158,22,294,69,362,-,8,205,140,D,-,101,94,-,-,15,24,87,227,54,35,166,64,330,157,-,4,-,12,10,16,112,71,17,115,28,144,137,-,77,52,-,-,23,-,3,"3,593"
Bolivia,"1,719",205,67,163,663,56,28,26,19,16,11,10,8,3,9,9,-,4,D,19,19,3,10,3,D,D,10,11,3,-,3,4,3,D,3,58,D,10,D,9,3,4,D,-,D,D,D,D,-,-,4,8,218
Bosnia-Herzegovina,693,71,9,14,15,11,58,19,17,16,25,5,4,6,10,D,30,15,11,D,14,D,10,3,7,7,6,6,D,D,D,D,D,D,4,-,D,8,D,6,36,8,15,3,-,D,D,-,-,4,6,4,190
Botswana,58,4,-,D,4,4,D,-,3,4,D,-,-,5,D,D,-,-,-,6,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,18
Brazil,"10,429","1,617",436,"1,459",297,204,149,323,212,"1,152",322,105,143,144,124,37,68,55,63,398,114,33,74,54,38,27,73,74,35,29,22,238,7,23,29,102,20,69,21,37,32,41,10,24,6,17,179,6,6,17,16,65,"1,583"
British Virgin Islands,56,15,-,3,D,-,-,-,-,5,4,-,-,D,-,-,-,-,-,3,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,12,7
Brunei,25,D,6,-,D,D,D,-,-,-,D,D,3,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,5
Bulgaria,"2,981",273,115,84,130,42,527,80,27,110,105,28,40,41,88,8,26,54,22,28,57,11,130,24,48,14,10,7,4,12,12,20,D,3,14,10,14,6,6,D,30,13,6,11,-,14,4,D,3,17,10,53,586
Burkina Faso,583,274,D,-,47,49,12,4,D,D,10,-,3,21,6,D,-,-,4,D,-,D,-,7,4,-,-,-,D,5,-,D,-,D,D,-,-,3,-,-,3,-,D,D,-,11,-,-,-,5,-,D,94
Burma,"11,144",353,237,36,167,261,263,389,840,53,455,36,56,76,159,11,8,201,424,17,22,28,22,228,192,98,58,154,95,62,193,-,5,8,866,12,34,95,215,24,54,179,54,27,D,23,12,D,D,27,252,159,"3,899"
Burundi,273,17,4,D,11,24,7,3,30,7,3,-,D,D,D,-,-,13,3,-,D,D,D,D,7,D,4,D,D,4,5,D,-,-,D,D,-,4,D,D,-,D,3,D,-,D,D,-,-,-,-,D,98
Cambodia,"2,536",37,410,6,55,112,32,67,64,224,50,34,39,96,188,62,4,28,111,9,11,23,14,5,18,29,13,10,3,19,5,7,-,6,5,54,-,11,9,6,D,25,4,14,-,42,6,42,13,8,D,45,458
Cameroon,"3,943",183,67,17,"1,299",185,68,23,188,117,174,19,5,76,11,12,40,38,142,8,9,9,14,213,18,5,37,28,24,68,7,3,3,-,13,7,9,4,29,D,4,4,15,13,3,21,25,D,D,10,14,19,639
Canada,"11,586","1,197",777,438,233,467,289,432,255,318,215,246,211,129,571,95,285,224,114,94,123,77,140,69,90,110,111,110,52,67,68,38,15,52,65,47,67,59,34,34,64,36,24,62,6,40,26,18,16,30,23,246,"2,977"
Cape Verde,"1,154",17,-,D,D,-,-,-,10,806,-,-,-,D,-,-,-,-,-,4,D,-,-,D,-,-,-,-,-,-,D,D,-,-,-,275,-,-,-,D,-,-,-,D,-,-,D,-,-,-,-,7,22
Cayman Islands,48,8,-,13,D,-,D,D,-,-,6,-,-,-,D,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
Central African Republic,155,5,D,D,20,D,4,-,-,D,9,D,-,-,-,-,D,16,-,-,-,-,-,3,8,6,-,-,D,-,-,-,-,-,-,-,11,D,3,-,-,-,D,4,-,D,14,-,-,-,-,-,38
Chad,119,26,D,D,23,5,5,-,D,3,D,-,-,-,-,-,-,4,-,-,D,-,-,-,D,D,D,-,-,D,-,-,-,-,D,-,D,D,-,-,-,-,-,-,-,-,D,-,-,-,-,D,35
