Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","San Francisco-Oakland-Berkeley, CA","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Chandler, AZ","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Salt Lake City, UT","Bridgeport-Stamford-Norwalk, CT","Providence-Warwick, RI-MA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Cleveland-Elyria, OH","Hartford-East Hartford-Middletown, CT","El Paso, TX","McAllen-Edinburg-Mission, TX","Stockton, CA","Jacksonville, FL","Worcester, MA-CT","Pittsburgh, PA","Urban Honolulu, HI","Milwaukee-Waukesha, WI","Louisville/Jefferson County, KY-IN","Fresno, CA",NAME_LONG,ISO_A3
Trinidad and Tobago,"1,718",829,11,165,13,76,14,55,8,24,3,,58,41,,11,5,,38,6.0,,6,,23,3,4.0,34.0,,6.0,4.0,4.0,,,,,5.0,,3.0,,,,,,3.0,8.0,,9.0,,,,,Trinidad and Tobago,TTO
Tunisia,463,55,35,22,24,21,19,22,11,10,11,16,4,18,8,5,4,3,6,3.0,,,4,11,,8.0,6.0,4,,3.0,5.0,6.0,,,,,,3.0,,3.0,,,,,,,3.0,,4.0,8.0,,Tunisia,TUN
Turkey,"4,359",807,284,151,203,234,141,189,69,142,106,133,77,135,31,23,57,6,44,33.0,11,43,15,52,22,32.0,24.0,26,21.0,33.0,29.0,32.0,22.0,15.0,,23.0,21.0,30.0,24.0,36.0,16.0,4,3,4.0,19.0,12.0,53.0,,21.0,,4.0,Turkey,TUR
Turkmenistan,250,61,13,5,,11,17,8,6,3,13,,,12,6,,,,,10.0,,6,,,9,,,,,,,,,,,,,,,,3.0,,,,10.0,,,,8.0,,,Turkmenistan,TKM
Turks and Caicos Islands,33,6,,11,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turks and Caicos Islands,TCA
Uganda,"1,802",28,67,,30,50,52,57,52,151,26,8,32,14,8,62,14,3,,28.0,,7,25,11,14,4.0,23.0,5,8.0,24.0,30.0,48.0,16.0,75.0,37.0,5.0,7.0,33.0,3.0,26.0,5.0,,,,14.0,16.0,17.0,,3.0,41.0,,Uganda,UGA
Ukraine,"9,886","1,258",350,188,210,85,821,146,91,120,"1,145",157,68,300,112,41,87,21,28,130.0,650,70,68,70,41,527.0,54.0,20,85.0,110.0,45.0,13.0,19.0,17.0,18.0,66.0,9.0,24.0,22.0,216.0,46.0,,,3.0,61.0,13.0,32.0,5.0,15.0,,30.0,Ukraine,UKR
United Arab Emirates,"1,251",119,65,32,41,101,64,69,40,30,34,34,23,16,55,15,15,9,41,19.0,14,8,14,6,8,11.0,8.0,6,17.0,10.0,10.0,,9.0,,,6.0,4.0,8.0,6.0,5.0,5.0,3,,,4.0,,5.0,,5.0,,,United Arab Emirates,ARE
United Kingdom,"9,655","1,516",728,224,539,467,335,242,225,317,302,190,201,139,66,102,130,70,149,78.0,43,97,101,107,98,109.0,75.0,28,81.0,34.0,57.0,47.0,49.0,27.0,45.0,148.0,29.0,42.0,51.0,31.0,26.0,5,,11.0,54.0,17.0,38.0,10.0,23.0,17.0,4.0,United Kingdom,GBR
United States,187,39,15,10,8,9,,12,4,3,,,,7,,5,,7,4,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,United States,USA
Uruguay,699,132,9,174,11,31,8,29,16,5,,,34,6,,3,5,,16,,,3,,5,3,,3.0,,6.0,,5.0,,3.0,,8.0,8.0,,,,,,,,,,31.0,,,,,,Uruguay,URY
Uzbekistan,"1,347",556,50,29,35,7,35,30,14,13,36,14,10,93,,10,15,3,11,6.0,30,9,11,4,,,21.0,,7.0,12.0,5.0,,27.0,3.0,,,,11.0,34.0,8.0,8.0,,,,,,25.0,,3.0,,,Uzbekistan,UZB
Venezuela,"12,136",681,186,"4,591",116,950,326,155,244,110,67,46,271,86,54,88,33,48,851,50.0,22,91,93,230,61,56.0,15.0,43,58.0,75.0,41.0,99.0,59.0,50.0,162.0,50.0,18.0,25.0,26.0,16.0,10.0,12,29,,51.0,13.0,29.0,,29.0,11.0,4.0,Venezuela,VEN
Vietnam,"29,995",515,"4,587",390,"1,008","2,229",564,821,"1,428",778,"1,243","2,314","1,030",530,171,474,595,410,296,422.0,547,264,428,333,192,420.0,136.0,123,207.0,100.0,125.0,87.0,95.0,152.0,129.0,47.0,17.0,148.0,60.0,88.0,60.0,18,16,138.0,104.0,112.0,45.0,100.0,57.0,51.0,59.0,Vietnam,VNM
"Virgin Islands, British",29,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,"Virgin Islands, British",VGB
Yemen,"5,908","1,524",15,,497,10,133,24,17,4,21,13,,47,"1,746",,5,4,,8.0,8,4,4,5,4,6.0,15.0,5,10.0,5.0,36.0,5.0,23.0,,,,,6.0,,4.0,44.0,,,31.0,,,,,,,93.0,Yemen,YEM
Zambia,401,24,6,,3,4,14,26,23,6,8,,25,3,3,6,,,11,,,3,3,8,3,9.0,4.0,,3.0,4.0,10.0,16.0,,5.0,5.0,,,,,5.0,,,,,,3.0,3.0,,3.0,,,Zambia,ZMB
Zimbabwe,674,33,16,8,15,50,18,43,69,11,9,4,31,11,4,5,,7,11,10.0,4,,16,7,4,4.0,8.0,,7.0,10.0,8.0,16.0,7.0,3.0,,,,4.0,13.0,3.0,,,,,,,3.0,,,6.0,5.0,Zimbabwe,ZWE
