NAME,Total
"Riverside-San Bernardino-Ontario, CA",15804.0
"San Francisco-Oakland-Hayward, CA",33575.0
"Seattle-Tacoma-Bellevue, WA",18786.0
"San Jose-Sunnyvale-Santa Clara, CA",19522.0
"Stockton-Lodi, CA",3093.0
"Sacramento--Roseville--Arden-Arcade, CA",8850.0
"San Diego-Carlsbad, CA",18350.0
"Salt Lake City, UT",4417.0
"San Antonio-New Braunfels, TX",5655.0
"Raleigh, NC",4119.0
"San Juan-Carolina-Caguas, PR",2965.0
"Worcester, MA-CT",2936.0
"Urban Honolulu, HI",4640.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",36896.0
"Portland-Vancouver-Hillsboro, OR-WA",7131.0
"Phoenix-Mesa-Scottsdale, AZ",12272.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",4676.0
"Orlando-Kissimmee-Sanford, FL",10617.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",18006.0
"New York-Newark-Jersey City, NY-NJ-PA",159938.0
"Providence-Warwick, RI-MA",4453.0
"Milwaukee-Waukesha-West Allis, WI",2999.0
"Fresno, CA",3155.0
"Los Angeles-Long Beach-Anaheim, CA",82354.0
"El Paso, TX",4736.0
"Denver-Aurora-Lakewood, CO",8454.0
"McAllen-Edinburg-Mission, TX",3006.0
"Houston-The Woodlands-Sugar Land, TX",34307.0
"Louisville/Jefferson County, KY-IN",2973.0
"Detroit-Warren-Dearborn, MI",12098.0
"Miami-Fort Lauderdale-West Palm Beach, FL",77118.0
"Hartford-West Hartford-East Hartford, CT",3373.0
"Las Vegas-Henderson-Paradise, NV",9301.0
"Austin-Round Rock, TX",6713.0
"Dallas-Fort Worth-Arlington, TX",29466.0
"Kansas City, MO-KS",4030.0
"Chicago-Naperville-Elgin, IL-IN-WI",36301.0
"Indianapolis-Carmel-Anderson, IN",4274.0
"Cincinnati, OH-KY-IN",3080.0
"Atlanta-Sandy Springs-Roswell, GA",20628.0
"Columbus, OH",5782.0
"Jacksonville, FL",3234.0
"Cleveland-Elyria, OH",3034.0
"Charlotte-Concord-Gastonia, NC-SC",5696.0
"Baltimore-Columbia-Towson, MD",7463.0
"Bridgeport-Stamford-Norwalk, CT",4176.0
"Boston-Cambridge-Newton, MA-NH",22533.0
