Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee, FL","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade-Roseville, CA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Portland-Vancouver-Beaverton, OR-WA","Columbus, OH","Austin-Round Rock, TX","Bridgeport-Stamford-Norwalk, CT","Providence-New Bedford-Fall River, RI-MA","Honolulu, HI","San Antonio, TX","Charlotte-Gastonia-Concord, NC-SC","El Paso, TX","Nashville-Davidson-Murfreesboro-Franklin, TN","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Saint Louis, MO-IL","San Juan-Caguas-Guaynabo, PR","Jacksonville, FL","Tucson, AZ","Fresno, CA","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Bakersfield, CA","Worcester, MA","McAllen-Edinburg-Mission, TX","Cleveland-Elyria-Mentor, OH",NAME_LONG,ISO_A3
Belarus,"2,407",476,84,53,24,163,43,9,14,69,35,21,135,118,47,10,86,4,8,17,13,17,91,41,28.0,31,11,8,28.0,4,3,5,7.0,,,3.0,7.0,5.0,12.0,,12.0,,17.0,,5,,,,6.0,,16.0,Belarus,BLR
Belgium,686,123,47,34,31,15,22,20,11,17,24,10,9,6,21,,6,9,7,13,8,3,,4,4.0,9,,8,10.0,,,,,,3.0,,,8.0,3.0,,6.0,,,7,,8,,,6.0,,,Belgium,BEL
Belize,"1,041",183,329,50,7,107,6,46,29,4,14,3,6,5,,24,3,21,,8,18,8,3,,,5,,3,4.0,,,8,7.0,,3.0,,,,4.0,,,,5.0,,,,,,,,,Belize,BLZ
Benin,401,53,4,,38,30,3,8,14,7,23,4,8,17,,,15,,,,3,,,21,4.0,,8,4,,,,,,,5.0,,,17.0,8.0,,,,,4,,,,,,,3.0,Benin,BEN
Bermuda,108,13,5,6,7,,,,,4,11,,,10,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,Bermuda,BMU
Bhutan,594,26,9,,,20,14,,68,8,122,6,21,,,,13,26,,,,,,3,16.0,12,,,,,,3,,,,27.0,,,,5.0,14.0,,7.0,23,,,,,13.0,,6.0,Bhutan,BTN
Bolivia,"2,837",264,145,294,"1,098",28,33,92,40,40,26,10,7,17,24,34,12,8,3,14,14,26,8,9,20.0,4,4,6,5.0,71,,8,4.0,,3.0,16.0,10.0,,,5.0,4.0,3,8.0,,3,4,,,10.0,4,,Bolivia,BOL
Bosnia and Herzegovina,"1,501",69,15,14,33,126,19,24,41,24,65,16,34,16,23,4,21,51,34,13,26,46,5,25,,12,,5,,6,,3,12.0,,7.0,25.0,12.0,6.0,,9.0,106.0,,39.0,,,,,,,,22.0,Bosnia and Herzegovina,BIH
Botswana,55,13,,3,5,,,,4,3,3,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Botswana,BWA
Brazil,"14,701","2,047",651,"2,502",334,178,437,222,262,"1,526",545,219,162,181,81,70,67,92,91,462,82,188,57,61,70.0,39,29,58,344.0,151,53,22,70.0,3,15.0,93.0,80.0,27.0,49.0,42.0,43.0,18,44.0,15,19,20,4,4,231.0,9,19.0,Brazil,BRA
"Virgin Islands, British",46,14,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virgin Islands, British",VGB
Brunei,26,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brunei,BRN
Bulgaria,"3,133",317,149,84,133,516,105,31,34,111,94,36,90,55,46,24,26,62,35,27,116,53,7,27,32.0,17,7,15,15.0,7,9,4,9.0,,,15.0,3.0,14.0,7.0,7.0,38.0,,13.0,,,4,,5,8.0,,12.0,Bulgaria,BGR
Burkina Faso,416,150,4,,42,6,,17,3,3,13,,17,13,,,4,3,,,,,,5,9.0,,4,3,,,,,,,3.0,,4.0,4.0,,,,,,,,,,,,,,Burkina Faso,BFA
Burma,"13,621",430,373,106,298,301,471,179,859,80,538,210,208,64,68,36,657,468,11,24,27,84,15,156,300.0,131,38,83,,,11,35,29.0,6,226.0,222.0,63.0,870.0,63.0,75.0,69.0,,215.0,4,4,4,11,42,5.0,,24.0,Burma,MMR
Burundi,"1,505",32,,,29,34,,92,130,23,79,29,31,,,,5,71,,,8,,3,22,4.0,19,5,12,,4,,14,,,32.0,47.0,4.0,,7.0,14.0,14.0,,28.0,31,,,,,19.0,,6.0,Burundi,BDI
Cambodia,"3,771",45,667,14,91,46,104,111,108,377,78,49,271,154,73,71,181,30,5,4,24,21,21,31,,59,28,22,24.0,79,6,4,18.0,,10.0,29.0,10.0,5.0,5.0,8.0,,,37.0,,42,3,79,8,7.0,,16.0,Cambodia,KHM
Cameroon,"3,463",154,88,17,"1,130",86,30,162,137,98,227,,25,64,23,10,142,15,46,7,4,13,5,10,174.0,5,56,31,3.0,7,,,9.0,,6.0,6.0,3.0,4.0,6.0,31.0,9.0,,3.0,27,,,,,15.0,,8.0,Cameroon,CMR
Canada,"16,140","1,352",854,596,332,442,482,488,434,410,284,280,792,251,300,200,197,363,415,146,166,210,98,192,82.0,172,95,132,108.0,52,53,47,108.0,8,84.0,81.0,72.0,73.0,141.0,60.0,94.0,7,43.0,47,34,46,18,32,44.0,16,76.0,Canada,CAN
Cabo Verde,"2,238",31,3,,3,,8,,,"1,427",,,,6,,,,,,6,,,,,,,,,28.0,645,,,,,,,,,,,,,,,,,,,6.0,,,Cabo Verde,CIV
Cayman Islands,45,4,,15,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,CYM
Central African Republic,107,10,,,18,,7,7,3,,,4,,,,,,,4,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,3,,,,,,,,Central African Republic,CAF
Chad,102,27,,,12,,,5,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,Chad,TCD
Chile,"2,250",320,124,488,87,36,54,59,27,33,32,34,34,36,29,43,26,17,6,26,20,13,14,27,9.0,8,,10,21.0,5,,3,9.0,,9.0,32.0,11.0,,5.0,11.0,5.0,9,9.0,6,5,6,,3,7.0,,3.0,Chile,CHL
"China, People's Republic","64,238","21,025","7,219",465,"1,512","1,560","5,659","1,228",754,"1,992",682,608,"1,200","1,333","2,106",443,438,372,384,244,453,155,454,265,458.0,406,197,260,159.0,128,560,113,163.0,19,136.0,103.0,141.0,182.0,175.0,166.0,257.0,41,118.0,95,64,144,86,26,151.0,18,189.0,"China, People's Republic",CHN
Colombia,"27,849","5,945",696,"7,997",611,414,198,910,312,680,919,101,113,273,62,152,101,145,32,"1,193",136,819,41,65,71.0,36,30,84,327.0,236,4,75,230.0,17,63.0,48.0,101.0,35.0,92.0,63.0,52.0,211,143.0,24,13,37,5,15,41.0,18,24.0,Colombia,COL
"Congo, Democratic Republic","2,122",56,28,5,142,45,11,85,193,35,107,60,27,6,11,,33,29,14,6,6,,10,65,27.0,15,21,30,24.0,6,,4,75.0,,8.0,21.0,,13.0,61.0,9.0,11.0,,14.0,15,,,,,14.0,,8.0,"Congo, Democratic Republic",COD
"Congo, Republic","1,563",75,17,7,86,61,13,60,99,21,91,9,34,9,,,19,93,5,4,20,,,37,23.0,11,18,8,7.0,5,,11,50.0,,21.0,10.0,,,46.0,6.0,17.0,,9.0,15,,,,,12.0,,7.0,"Congo, Republic",COG
Costa Rica,"2,384",562,95,319,73,20,20,38,37,45,72,16,19,49,10,25,11,21,6,34,20,71,7,17,8.0,8,4,5,23.0,7,,5,41.0,,10.0,5.0,,6.0,16.0,4.0,,14,9.0,,,,,,,5,,Costa Rica,CRI
Croatia,496,96,27,21,15,39,8,9,4,13,10,,12,5,12,,,7,4,3,8,7,4,5,4.0,4,6,4,,,,4,,,,7.0,,3.0,,6.0,4.0,,3.0,,,,,,,,7.0,Croatia,HRV
Cuba,"38,954","1,027",283,"26,666",49,126,42,658,161,43,199,42,22,48,7,53,17,250,6,631,728,"2,412",5,21,7.0,144,6,205,6.0,9,,42,81.0,13,111.0,32.0,24.0,9.0,13.0,86.0,11.0,119,184.0,42,,,,7,10.0,17,3.0,Cuba,CUB
Cyprus,142,38,9,4,,5,5,,4,6,3,,,,6,,,7,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyprus,CYP
