Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee, FL","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade-Roseville, CA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Portland-Vancouver-Beaverton, OR-WA","Columbus, OH","Austin-Round Rock, TX","Bridgeport-Stamford-Norwalk, CT","Providence-New Bedford-Fall River, RI-MA","Honolulu, HI","San Antonio, TX","Charlotte-Gastonia-Concord, NC-SC","El Paso, TX","Nashville-Davidson-Murfreesboro-Franklin, TN","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Saint Louis, MO-IL","San Juan-Caguas-Guaynabo, PR","Jacksonville, FL","Tucson, AZ","Fresno, CA","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Bakersfield, CA","Worcester, MA","McAllen-Edinburg-Mission, TX","Cleveland-Elyria-Mentor, OH",NAME_LONG,ISO_A3
India,"57,304","9,867","2,206",432,"2,328","3,689","2,932","1,751","1,941","1,336","1,417",435,"1,450","2,018","3,000",594,537,472,974,265,142,367,858,223,654.0,350,260,435,265.0,159,31,163,383.0,19,179.0,107.0,342.0,305.0,363.0,278.0,281.0,4,143.0,51,538,190,411,402,187.0,25,271.0,India,IND
Indonesia,"3,679",393,764,24,125,69,251,78,65,106,83,29,173,118,94,290,31,44,15,8,36,18,36,53,23.0,21,20,18,4.0,5,18,6,8.0,,8.0,10.0,3.0,8.0,5.0,9.0,8.0,,3.0,7,6,13,4,4,,,15.0,Indonesia,IDN
Iran,"18,553",587,"8,209",112,956,313,548,413,456,172,310,448,327,86,821,121,87,233,51,54,159,31,225,107,165.0,97,48,130,19.0,15,9,263,49.0,,116.0,140.0,36.0,24.0,56.0,55.0,46.0,,43.0,44,44,77,5,7,32.0,,33.0,Iran,IRN
Iraq,"12,110",210,331,33,462,725,72,345,252,86,200,"1,969",168,121,72,134,36,565,"2,489",14,38,38,89,128,48.0,62,77,64,11.0,19,,73,11.0,19,175.0,111.0,14.0,10.0,40.0,113.0,130.0,,51.0,182,,8,11,,31.0,,24.0,Iraq,IRQ
Ireland,"1,637",385,64,22,46,83,117,15,10,222,21,16,44,32,34,12,9,13,6,16,12,14,3,9,16.0,15,4,13,25.0,9,,,3.0,,,,3.0,6.0,6.0,,7.0,,8.0,,,,,4,,,4.0,Ireland,IRL
Israel,"5,612","1,437",799,512,108,161,165,84,124,214,110,62,134,94,284,38,19,48,40,26,97,36,19,27,21.0,38,19,32,5.0,8,6,11,16.0,3,25.0,5.0,14.0,8.0,15.0,11.0,29.0,5,10.0,9,,20,,,9.0,,43.0,Israel,ISR
Italy,"2,892",602,203,239,109,99,81,69,35,120,45,65,54,67,43,18,11,22,43,22,22,35,10,15,30.0,20,9,9,20.0,18,5,11,8.0,3,,11.0,20.0,5.0,14.0,8.0,3.0,12,4.0,5,,9,,,9.0,,12.0,Italy,ITA
Jamaica,"21,783","7,807",164,"4,954",612,262,46,163,101,332,891,23,34,592,9,54,31,59,71,517,38,324,10,15,231.0,8,33,15,355.0,44,7,20,49.0,5,27.0,,523.0,26.0,23.0,28.0,27.0,,103.0,8,,,,,29.0,3,41.0,Jamaica,JAM
Japan,"7,690",982,"1,133",81,208,207,401,106,81,143,103,259,342,93,270,83,56,50,129,36,95,35,37,35,36.0,120,52,28,37.0,6,457,29,25.0,10,21.0,24.0,13.0,13.0,19.0,28.0,24.0,4,15.0,17,8,23,,11,17.0,,27.0,Japan,JPN
Jordan,"4,282",520,215,68,113,549,104,134,161,33,45,78,40,62,31,96,29,44,181,34,20,55,37,25,21.0,13,79,12,15.0,,,20,35.0,9,47.0,16.0,6.0,29.0,29.0,28.0,35.0,10,8.0,9,13,9,6,11,7.0,,77.0,Jordan,JOR
Kazakhstan,"1,562",267,55,28,59,51,41,41,22,41,27,17,62,55,13,6,22,18,7,8,7,11,72,13,16.0,60,13,,,4,,3,8.0,3,4.0,,,4.0,8.0,5.0,9.0,,6.0,10,,4,,,3.0,,10.0,Kazakhstan,KAZ
Kenya,"9,880",377,198,19,288,115,127,221,694,393,483,112,576,245,48,66,885,142,14,39,28,24,43,93,221.0,115,368,31,,37,6,16,33.0,7,60.0,103.0,27.0,56.0,118.0,223.0,128.0,,18.0,105,3,3,4,,141.0,,33.0,Kenya,KEN
Kiribati,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiribati,KIR
"Korea, North",67,12,9,,7,,,,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Korea, North",PRK
"Korea, South","25,859","3,931","6,208",178,"1,666",856,628,349,500,384,"1,038",395,774,463,694,359,121,134,206,94,168,85,130,148,438.0,180,73,194,57.0,31,236,55,67.0,19,92.0,40.0,52.0,49.0,126.0,54.0,107.0,,32.0,30,23,76,,17,37.0,30,38.0,"Korea, South",KOR
Kuwait,"1,124",132,73,22,42,75,27,31,69,17,38,9,20,11,11,17,7,11,49,11,8,16,10,8,15.0,11,13,4,,,,,7.0,5,10.0,4.0,,5.0,6.0,16.0,,,5.0,3,,,,5,,,26.0,Kuwait,KWT
Kyrgyzstan,574,104,11,8,22,19,15,9,4,8,4,,27,17,9,,21,4,3,6,6,3,24,6,,19,,,,,4,,,,,3.0,,,,3.0,,,,3,,,,,,,3.0,Kyrgyzstan,KGZ
Laos,"1,688",5,37,5,24,19,25,13,56,20,33,27,63,15,17,19,312,4,17,4,18,22,57,16,,27,17,3,,22,14,,22.0,,52.0,10.0,9.0,,,9.0,,,4.0,3,97,,9,,,,,Laos,LAO
Latvia,444,91,24,14,11,34,12,6,5,11,18,5,30,4,12,3,6,,3,4,,5,6,,7.0,3,,,7.0,,,,,,,,,3.0,3.0,,,,,,,,,,,,6.0,Latvia,LVA
Lebanon,"3,831",320,434,103,131,77,77,133,67,181,53,57,35,39,33,56,29,41,792,26,38,45,23,21,20.0,18,14,30,16.0,72,,6,20.0,5,,5.0,7.0,10.0,8.0,7.0,12.0,5,7.0,21,7,6,6,6,17.0,,54.0,Lebanon,LBN
Lesotho,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesotho,LSO
Liberia,"7,641",568,15,10,402,86,63,143,178,140,327,13,42,"1,347",8,6,986,162,61,14,23,38,24,63,169.0,44,71,27,6.0,287,,16,144.0,,8.0,33.0,42.0,62.0,17.0,74.0,58.0,,68.0,33,3,,,,137.0,,42.0,Liberia,LBR
Libya,296,32,24,6,9,7,11,13,5,3,8,3,12,4,,3,,3,8,,,5,5,6,4.0,4,,,,,,,4.0,,4.0,,,,,,3.0,,,8,,,,,,,,Libya,LBY
Lithuania,"1,069",140,39,37,14,391,12,4,4,31,29,16,4,24,5,7,11,3,10,7,3,9,,8,5.0,,4,7,11.0,4,,,8.0,,4.0,4.0,7.0,,9.0,6.0,,,6.0,,,,,,3.0,,8.0,Lithuania,LTU
Luxembourg,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luxembourg,LUX
Macau,158,20,24,,3,6,41,,,5,,4,5,,9,,,4,,,,,5,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,Macau,MAC
North Macedonia,"1,128",355,23,15,8,194,4,5,13,15,5,,,13,,,,14,85,,12,14,,6,,,14,,8.0,,,,,,,,6.0,,,6.0,4.0,,3.0,,,,,,,,5.0,North Macedonia,MKD
Madagascar,71,18,,,8,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madagascar,MDG
Malawi,164,8,3,,22,6,,,12,,,3,,,,6,,,,,,,,,3.0,,5,,,,,,,,,,,7.0,,,,,,,,,,,,,,Malawi,MWI
Malaysia,"2,014",338,151,18,71,58,113,75,95,26,62,26,55,25,105,23,15,30,20,8,8,10,14,14,22.0,7,7,22,6.0,,13,4,7.0,,10.0,9.0,,80.0,7.0,17.0,17.0,,13.0,6,,,,,,,5.0,Malaysia,MYS
Maldives,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maldives,MDV
Mali,576,240,4,3,36,9,10,9,,,22,,3,60,,,3,3,,3,,,,15,12.0,,11,,,6,,,8.0,,,,,16.0,,,,,,5,,,,,,,,Mali,MLI
Malta,58,12,3,3,,,7,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malta,MLT
Marshall Islands,48,,3,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,Marshall Islands,MHL
Mauritania,597,137,,,18,7,,,5,6,16,,11,26,,,,,9,,,,,26,10.0,,79,,,3,,,,,,,,3.0,,12.0,3.0,,,6,,,,,,,,Mauritania,MRT
Mauritius,110,14,3,,20,,4,5,3,4,5,5,3,6,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauritius,MUS
Mexico,"164,920","2,394","21,811","1,527",942,"8,732","2,725","8,643","9,322",179,"1,924","7,829","1,018",681,"1,632","8,101",610,"5,250",550,387,"2,427",517,"1,355","2,084",191.0,"1,030",149,"1,664",122.0,66,29,"2,457",497.0,"4,114",316.0,737.0,64.0,331.0,434.0,611.0,189.0,87,55.0,"1,510","1,785","1,592","1,070","1,645",18.0,"2,733",98.0,Mexico,MEX
"Micronesia, Federated States",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Micronesia, Federated States",FSM
Moldova,"2,295",184,43,40,30,77,15,8,11,29,77,20,335,40,9,10,88,21,,23,22,24,358,25,7.0,136,,3,5.0,,,,60.0,,3.0,3.0,,,4.0,,8.0,,8.0,,,,,,,,10.0,Moldova,MDA
Mongolia,831,30,59,,106,79,190,6,9,8,,9,69,3,4,3,,4,,4,5,3,29,39,4.0,,,,,,3,3,3.0,,,6.0,,5.0,3.0,3.0,,,,,,,,,,,3.0,Mongolia,MNG
Montserrat,43,10,,6,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montserrat,MSR
Morocco,"5,447","1,039",137,136,498,175,78,85,67,611,83,29,55,187,18,16,55,31,48,281,29,62,13,84,56.0,27,95,39,48.0,39,,11,27.0,3,14.0,4.0,30.0,13.0,108.0,7.0,6.0,,31.0,,,8,3,3,19.0,3,23.0,Morocco,MAR
Mozambique,66,11,4,3,5,,,,,,3,3,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozambique,MOZ
Namibia,53,8,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,Namibia,NAM
Nepal,"4,514",647,119,13,536,103,235,80,404,202,110,13,62,43,77,12,50,35,37,6,19,17,56,151,123.0,36,14,48,28.0,,3,4,5.0,,5.0,29.0,50.0,8.0,46.0,37.0,28.0,,6.0,26,5,10,3,,5.0,,11.0,Nepal,NPL
Netherlands,"1,499",166,98,55,43,40,67,56,19,36,31,20,59,25,32,9,16,16,16,23,6,19,5,13,13.0,19,3,13,17.0,8,4,3,3.0,3,4.0,3.0,5.0,,9.0,5.0,4.0,4,7.0,5,,4,,,,,6.0,Netherlands,NLD
New Caledonia,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,New Caledonia,NCL
New Zealand,947,105,64,13,30,25,54,13,19,15,22,23,25,13,18,20,5,14,5,12,15,5,9,10,4.0,23,7,7,5.0,7,19,,5.0,,4.0,10.0,,,5.0,5.0,4.0,,,,6,4,,,,,,New Zealand,NZL
Nicaragua,"4,137",194,421,"1,682",181,47,278,119,40,32,38,12,21,42,42,68,11,20,5,34,48,27,12,8,10.0,16,8,11,15.0,3,,18,38.0,,3.0,,4.0,13.0,6.0,,5.0,12,18.0,7,9,17,8,,7.0,,6.0,Nicaragua,NIC
Niger,183,25,,3,11,,,,3,,3,,3,3,,,,,,,,,,,,,,,,,,,6.0,,,,,28.0,3.0,,,,,,,,,,,,,Niger,NER
Nigeria,"15,253","2,551",616,148,"1,457",837,197,"1,383",966,329,"1,122",90,96,367,21,191,302,79,177,57,36,73,82,89,656.0,31,112,85,31.0,109,,43,76.0,15,82.0,6.0,38.0,236.0,138.0,96.0,72.0,,48.0,14,19,,29,13,35.0,8,54.0,Nigeria,NGA
Oman,74,9,,4,4,4,,7,5,,3,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,OMN
Pakistan,"21,555","5,588",714,342,"1,709","1,350",508,"1,436",794,267,552,77,162,491,259,239,124,91,454,113,52,53,392,67,465.0,23,102,126,82.0,74,3,91,49.0,4,56.0,65.0,163.0,85.0,71.0,94.0,108.0,,32.0,16,50,24,326,22,37.0,4,42.0,Pakistan,PAK
Palau,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palau,PLW
Panama,"1,806",277,58,262,74,31,26,52,46,30,59,12,22,19,10,23,8,6,,54,12,44,11,,5.0,3,11,12,,12,6,18,11.0,,5.0,,,3.0,5.0,4.0,4.0,16,15.0,4,,4,3,,4.0,,5.0,Panama,PAN
Papua New Guinea,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,PNG
Paraguay,530,209,16,88,29,3,,,4,3,6,,12,6,,,,,,8,,10,,,,,,,12.0,,,,9.0,,,,,,,,,,,,,,,,,,3.0,Paraguay,PRY
Peru,"16,957","3,814","1,172","3,235","1,258",205,487,227,240,184,324,86,121,99,158,231,54,102,19,267,125,228,46,107,82.0,51,36,37,164.0,43,11,33,123.0,8,32.0,164.0,185.0,45.0,63.0,44.0,31.0,43,64.0,21,12,37,34,30,18.0,11,29.0,Peru,PER
Philippines,"60,029","4,400","9,946",521,"1,573","2,348","4,568","1,148",655,276,337,"2,606","1,528",501,"1,860","1,711",313,685,368,286,"1,809",356,899,173,397.0,409,84,105,134.0,74,"2,685",210,107.0,52,123.0,85.0,78.0,123.0,83.0,117.0,166.0,11,391.0,104,182,439,598,359,56.0,97,127.0,Philippines,PHL
Poland,"8,754","2,370",139,127,116,"2,892",70,47,43,105,62,39,68,186,30,38,25,50,131,31,56,95,27,50,35.0,15,13,10,113.0,38,10,10,21.0,,9.0,8.0,305.0,8.0,8.0,8.0,17.0,,16.0,4,4,10,,4,52.0,,44.0,Poland,POL
Portugal,946,281,22,55,28,5,20,13,5,69,3,7,8,14,17,4,3,3,4,6,3,,5,,,,,,20.0,168,,,4.0,,,,15.0,,,,,,,,3,,5,,6.0,,,Portugal,PRT
Qatar,134,8,4,7,9,11,,11,5,3,3,,4,,,,,,6,3,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,Qatar,QAT
Romania,"4,910",500,312,243,152,450,88,62,83,100,202,46,203,92,49,64,24,130,232,39,59,43,82,36,35.0,129,12,22,25.0,12,3,6,15.0,7,25.0,5.0,24.0,13.0,16.0,8.0,12.0,3,26.0,7,6,14,,,17.0,8,88.0,Romania,ROU
Russia,"8,238","1,257",392,162,343,306,251,145,107,283,119,118,421,210,166,36,151,65,77,47,36,55,210,146,78.0,182,41,30,46.0,25,9,17,33.0,6,42.0,31.0,52.0,38.0,28.0,30.0,63.0,4,37.0,23,7,20,5,6,19.0,3,47.0,Russia,RUS
Rwanda,952,19,3,,14,37,,41,56,17,36,15,19,3,3,3,,56,,,3,,,20,4.0,11,13,5,,3,,11,,,20.0,29.0,10.0,3.0,10.0,5.0,7.0,,11.0,21,,,,,4.0,,5.0,Rwanda,RWA
Saint Kitts and Nevis,310,91,,32,5,,,,3,6,7,,,6,,,,,,9,,7,,,,,,,,,,,,,,,4.0,,,,,8,,,,,,,,,,Saint Kitts and Nevis,KNA
Saint Lucia,"1,027",498,9,56,23,5,,30,3,26,27,,4,13,,,,,,28,,10,,,5.0,,,,14.0,,,,,,,,49.0,,3.0,,,3,,,,,,,,,,Saint Lucia,LCA
Saint Vincent and the Grenadines,591,378,8,26,12,,,7,,15,12,,,25,,,,,,5,,3,,,6.0,,,,3.0,,,,7.0,,4.0,,4.0,,,,,,,,,,,,,,,Saint Vincent and the Grenadines,VCT
Samoa,250,,22,,,,14,,,,,8,37,,7,16,,,,,3,,4,,,5,,,,,40,,,,,22.0,,,,3.0,,,,,,,,,,,,Samoa,WSM
Sao Tome and Principe,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe,STP
Saudi Arabia,"1,418",160,75,22,109,88,61,79,63,22,24,16,37,26,24,15,24,15,43,10,8,13,9,17,9.0,18,20,3,,,,,6.0,5,6.0,9.0,11.0,,6.0,21.0,5.0,,3.0,6,5,,4,,4.0,5,14.0,Saudi Arabia,SAU
Senegal,"1,524",400,31,7,126,15,15,34,18,29,99,11,18,38,,,7,7,23,3,10,9,,19,34.0,,66,5,,50,,,16.0,,8.0,,,32.0,20.0,5.0,8.0,,7.0,,,,,,6.0,,3.0,Senegal,SEN
Seychelles,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seychelles,SYC
Sierra Leone,"2,687",504,35,6,754,22,14,40,62,62,111,,29,288,36,10,45,40,8,5,6,11,17,16,47.0,5,108,5,,11,,5,9.0,,6.0,4.0,6.0,14.0,18.0,8.0,13.0,,12.0,4,,,9,,4.0,,6.0,Sierra Leone,SLE
Singapore,832,98,81,8,29,33,72,39,16,32,6,13,35,12,70,8,7,7,6,4,12,4,5,4,7.0,9,,4,6.0,,10,,,,,,,4.0,5.0,,,,,,,3,,,,,4.0,Singapore,SGP
Slovakia,706,201,23,20,17,42,11,8,10,14,18,9,10,10,6,,7,10,4,7,5,8,3,9,6.0,6,,,13.0,3,,4,,,3.0,5.0,,,7.0,,,,5.0,,,,,,,,5.0,Slovakia,SVK
Slovenia,108,16,6,5,3,8,3,,,4,3,,,,7,,,,,3,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Slovenia,SVN
Somalia,"13,390",16,54,,158,176,17,59,161,206,228,374,"1,209",6,65,,"3,064",356,5,,15,,,222,25.0,266,"1,430",,,,,14,31.0,,235.0,154.0,16.0,52.0,28.0,178.0,106.0,,3.0,152,,,,,21.0,,29.0,Somalia,SOM
South Africa,"3,171",290,212,150,98,87,67,92,111,69,130,100,79,63,34,33,32,49,26,37,26,47,25,33,30.0,16,8,20,32.0,,7,15,40.0,,29.0,21.0,8.0,14.0,25.0,20.0,19.0,,22.0,10,,10,7,,7.0,,17.0,South Africa,ZAF
Spain,"1,769",264,122,334,63,64,53,56,28,45,21,17,25,30,29,11,6,13,9,15,12,19,3,12,13.0,7,,14,9.0,9,5,8,5.0,3,,3.0,7.0,9.0,3.0,4.0,13.0,44,4.0,,3,15,,,,3,,Spain,ESP
Sri Lanka,"2,009",517,300,29,131,53,49,47,34,37,23,13,19,29,45,22,18,13,19,10,33,16,17,6,28.0,14,17,25,7.0,6,4,4,6.0,,9.0,,10.0,8.0,9.0,10.0,3.0,,,3,,10,,,3.0,,6.0,Sri Lanka,LKA
Sudan,"3,577",139,23,19,298,69,31,103,154,57,82,54,63,51,29,9,68,114,17,16,23,14,6,73,35.0,12,15,15,,,,19,16.0,,107.0,81.0,24.0,7.0,9.0,64.0,,,49.0,51,,,3,,,,6.0,Sudan,SDN
Suriname,227,105,6,22,9,,3,3,,7,4,,,6,,,,,,10,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,Suriname,SUR
Swaziland,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,Swaziland,SWZ
Sweden,"1,138",177,105,52,39,27,47,26,25,28,23,34,40,29,42,10,13,14,10,11,7,17,9,10,5.0,4,7,5,14.0,,8,,5.0,,,7.0,,,14.0,3.0,6.0,,3.0,10,4,9,,,,,6.0,Sweden,SWE
Switzerland,798,133,83,43,31,19,32,21,27,29,5,16,17,6,15,6,,9,,4,4,6,5,6,,7,3,5,10.0,,7,,,,,3.0,3.0,,,,5.0,,,3,,3,,,,,6.0,Switzerland,CHE
Syria,"2,442",266,373,41,48,245,32,63,24,42,23,32,26,31,16,109,17,43,122,11,11,20,19,17,15.0,15,16,3,11.0,17,,3,10.0,,3.0,,,24.0,16.0,10.0,7.0,,46.0,4,5,10,,3,10.0,,51.0,Syria,SYR
Taiwan,"8,038",983,"2,002",60,311,163,581,231,193,179,91,131,282,94,663,198,28,59,63,31,38,25,69,50,43.0,84,35,57,12.0,16,44,27,20.0,17,7.0,21.0,19.0,13.0,31.0,14.0,36.0,,4.0,14,9,26,6,,9.0,,14.0,Taiwan,TWN
Tajikistan,265,84,6,3,15,,,3,,6,6,,6,6,,,7,,,4,,,8,25,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,Tajikistan,TJK
Tanzania,"2,773",90,22,13,98,84,15,172,154,47,178,47,86,12,8,4,22,119,3,6,9,6,,29,16.0,26,26,14,,,,35,,,41.0,90.0,10.0,9.0,11.0,19.0,50.0,,47.0,30,,,,,26.0,,20.0,Tanzania,TZA
Thailand,"10,444",296,947,154,301,269,216,153,297,136,305,222,236,72,72,147,512,261,47,38,167,86,110,138,42.0,195,20,82,,34,52,52,20.0,,99.0,180.0,62.0,29.0,50.0,64.0,44.0,,63.0,22,61,29,14,40,16.0,,26.0,Thailand,THA
Togo,"1,680",311,13,5,272,71,,11,36,24,99,3,11,34,3,,135,18,,,5,12,,16,24.0,8,5,5,4.0,4,,7,14.0,,5.0,18.0,9.0,11.0,12.0,11.0,22.0,,4.0,14,,,,,,,8.0,Togo,TGO
Tonga,379,,30,,,,86,,7,,,,12,,35,12,,9,,,,,16,,,12,,,,,43,,,,,31.0,,,,,,,,,,,,,,,,Tonga,TON
Trinidad and Tobago,"6,256","3,380",53,675,206,27,15,151,32,118,176,11,8,153,6,20,17,18,6,133,5,84,3,10,116.0,4,7,10,23.0,14,4,,26.0,,8.0,,16.0,22.0,8.0,,8.0,,22.0,,,,,,5.0,,8.0,Trinidad and Tobago,TTO
Tunisia,416,78,22,17,32,18,18,12,,7,11,5,4,13,5,,3,3,8,11,5,9,,6,4.0,,,6,,,,,,,3.0,,3.0,7.0,,,,,,,,,,,,,,Tunisia,TUN
Turkey,"4,958","1,308",313,215,252,148,156,149,70,132,107,73,82,232,76,21,25,34,21,30,27,48,16,22,56.0,19,24,37,32.0,,5,20,18.0,4,24.0,4.0,29.0,16.0,33.0,12.0,22.0,,28.0,13,4,6,4,7,8.0,,26.0,Turkey,TUR
Turkmenistan,290,57,21,9,13,14,11,4,5,3,3,4,7,11,,,,,6,,3,,8,,,,,,,,,,,,,12.0,,,,,,,,,,,,,5.0,,,Turkmenistan,TKM
Turks and Caicos Islands,31,,,22,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turks and Caicos Islands,TCA
United States Virgin Islands,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States Virgin Islands,VIR
Uganda,"1,364",53,100,6,105,75,16,19,41,221,45,40,59,21,6,14,28,7,12,7,5,4,5,41,17.0,5,21,,8.0,4,,10,3.0,,4.0,4.0,15.0,9.0,4.0,4.0,4.0,,,5,,,,,18.0,,,Uganda,UGA
Ukraine,"11,223","1,828",329,142,156,733,174,73,84,163,111,78,"1,043",388,88,38,141,62,212,52,39,55,935,139,55.0,739,37,20,66.0,12,3,20,65.0,5,17.0,51.0,62.0,45.0,32.0,38.0,40.0,,56.0,23,26,8,3,,12.0,3,185.0,Ukraine,UKR
United Arab Emirates,697,95,39,16,51,33,22,45,25,13,26,10,16,19,13,13,8,8,24,8,,,,,7.0,,3,8,6.0,4,,3,6.0,,4.0,,6.0,8.0,7.0,7.0,4.0,,,,,,,,,,3.0,United Arab Emirates,ARE
United Kingdom,"15,748","2,109","1,058",466,484,440,562,639,310,458,387,207,388,346,183,149,160,156,174,367,105,244,119,156,115.0,128,65,170,249.0,45,32,39,101.0,7,60.0,37.0,61.0,76.0,162.0,58.0,68.0,,56.0,38,12,72,21,21,62.0,,55.0,United Kingdom,GBR
United States,181,26,10,19,20,3,4,7,7,5,3,,,,,4,,,3,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,United States,USA
Uruguay,"1,775",412,50,522,58,16,8,21,13,20,92,8,6,9,,8,7,4,,24,8,30,,,6.0,,3,,24.0,,4,,13.0,,6.0,18.0,8.0,3.0,3.0,,,11,,,,,,,75.0,,,Uruguay,URY
Uzbekistan,"5,467","2,141",134,39,122,117,73,54,49,26,87,56,177,219,13,11,11,29,22,48,5,11,43,82,95.0,102,28,16,4.0,8,7,4,7.0,,41.0,43.0,37.0,15.0,6.0,13.0,50.0,,23.0,48,,,,,,,79.0,Uzbekistan,UZB
Vanuatu,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanuatu,VUT
Venezuela,"11,154",703,176,"4,955",212,96,45,811,151,115,256,45,50,57,19,31,24,52,25,773,31,249,12,40,22.0,18,24,39,56.0,34,,24,49.0,10,28.0,86.0,20.0,42.0,39.0,27.0,29.0,181,39.0,6,3,6,,27,15.0,14,5.0,Venezuela,VEN
Vietnam,"29,234",487,"4,998",190,"1,105",441,992,"1,702","1,235",698,865,746,"1,336",666,"2,356",324,454,311,138,277,167,274,432,363,102.0,576,59,155,45.0,28,187,94,355.0,8,68.0,160.0,75.0,48.0,195.0,153.0,151.0,6,77.0,74,25,63,127,18,119.0,5,43.0,Vietnam,VNM
Yemen,"3,134","1,039",22,4,17,92,297,9,5,5,5,12,33,21,8,8,22,9,753,9,,,,,3.0,3,12,,,,,,,,10.0,4.0,25.0,,11.0,,5.0,,,3,46,,34,29,,,12.0,Yemen,YEM
Zambia,704,65,18,13,36,48,6,10,69,9,66,9,17,15,4,,13,18,3,11,,4,,6,7.0,3,,4,5.0,,,5,6.0,,3.0,,,12.0,,6.0,8.0,,4.0,3,,,,,,,10.0,Zambia,ZMB
Zimbabwe,983,60,19,18,67,17,11,19,136,20,46,11,12,24,5,16,7,7,6,7,,9,3,8,6.0,10,15,13,4.0,4,,,4.0,,10.0,,,49.0,13.0,3.0,7.0,,,,,3,3,,5.0,,4.0,Zimbabwe,ZWE
