Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",NAME_LONG,ISO_A3
Bermuda,85,10,,,,,,,,3,11,,11,,,,,,,,,,,3.0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,Bermuda,BMU
Bhutan,"10,198",47,,,120,248,273,66,418,80,617,21,182,214,,,187,,130.0,,462,26,,222.0,51,95.0,74,82,,263.0,148.0,,54,,8,187.0,45.0,75.0,165.0,20.0,,98.0,68.0,124.0,134.0,223.0,,183,,,,Bhutan,BTN
Bolivia,"1,948",164,97,202,798,27,51,18,20,29,14,6,5,11,7,7,6,3,7.0,11,14,11,22,11.0,6,4.0,7,10,3,7.0,6.0,,66,4.0,,,,6.0,15.0,3.0,4,5.0,7.0,,,,,,,6,,Bolivia,BOL
Bosnia and Herzegovina,815,58,17,7,19,77,22,7,21,21,32,7,10,13,9,4,21,19,11.0,,13,11,19,,6,13.0,,,,3.0,3.0,,,,,4.0,12.0,3.0,12.0,,,43.0,12.0,,10.0,3.0,,4,,,,Bosnia and Herzegovina,BIH
Botswana,80,11,,,4,,,,6,5,,,,,,,,,4.0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Botswana,BWA
Brazil,"11,441","1,742",457,"1,741",322,151,176,308,215,"1,239",457,149,138,140,71,48,63,46,40.0,385,41,76,132,58.0,30,34.0,57,15,3,46.0,24.0,34,135,289.0,18,25.0,39.0,25.0,90.0,34.0,3,28.0,40.0,171.0,15.0,5.0,6.0,12,12,6,22,Brazil,BRA
"Virgin Islands, British",39,8,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"Virgin Islands, British",VGB
Brunei,19,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brunei,BRN
Bulgaria,"2,440",253,87,82,99,442,18,59,23,108,60,15,34,75,36,15,36,22,14.0,18,30,106,38,26.0,4,14.0,6,9,,14.0,5.0,5,10,20.0,6,6.0,6.0,7.0,9.0,8.0,,15.0,,9.0,9.0,6.0,,5,,5,,Bulgaria,BGR
Burkina Faso,558,238,,,56,18,30,5,6,7,27,,23,5,,,,,5.0,,9,,,8.0,,,,,,,,,,,,,3.0,,,3.0,,,,,3.0,,,,,,,Burkina Faso,BFA
Burma,"17,383",442,354,68,225,224,497,436,"1,054",134,919,181,241,258,61,30,303,7,788.0,28,302,15,56,333.0,5,186.0,200,154,,248.0,117.0,14,21,7.0,"1,129",217.0,69.0,372.0,183.0,85.0,,42.0,257.0,22.0,32.0,564.0,8.0,15,,,,Burma,MMR
Burundi,535,16,,,21,6,28,,36,,18,23,5,8,3,,27,,6.0,,5,5,,4.0,,4.0,5,7,,,9.0,,5,,,8.0,,4.0,3.0,,,,3.0,5.0,4.0,22.0,,3,,,,Burundi,BDI
Cambodia,"2,473",31,395,12,55,46,96,58,74,285,40,51,104,169,52,67,24,,107.0,9,20,10,19,,14,39.0,11,7,,21.0,13.0,,32,14.0,,6.0,10.0,6.0,21.0,,,,15.0,5.0,9.0,,42.0,9,17,,7,Cambodia,KHM
Cameroon,"3,815",196,87,16,"1,209",99,154,29,193,132,174,14,56,20,18,13,42,37,123.0,12,26,15,11,178.0,7,7.0,21,16,7,19.0,54.0,,,10.0,18,4.0,3.0,33.0,4.0,11.0,3,,4.0,32.0,7.0,6.0,4.0,14,,,,Cameroon,CMR
Canada,"12,932","1,224",786,470,256,321,519,349,327,335,280,213,190,529,234,117,317,353,136.0,131,183,129,166,84.0,84,131.0,120,45,10,97.0,59.0,54,32,76.0,71,55.0,41.0,33.0,72.0,75.0,11,64.0,47.0,30.0,42.0,100.0,17.0,28,14,4,36,Canada,CAN
Cabo Verde,"1,684",20,,5,10,,,,,"1,108",,,,,,,,,,5,,,,,,,,,,,,,472,10.0,,,,,,,,,,,,,,,,,,Cabo Verde,CIV
Cayman Islands,44,8,,11,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,CYM
Central African Republic,116,6,,,17,,8,,,5,10,,,,,,3,,,,,,,,,7.0,,,,,,,,,,,,3.0,7.0,,,,,,,3.0,,4,,,,Central African Republic,CAF
Chad,155,22,,,13,,4,,10,,6,4,,3,,,,,,,,,,,,4.0,,5,,,,,,,4,,,,,,,,,,,3.0,,,,,,Chad,TCD
Chile,"1,673",277,76,282,73,41,53,27,29,29,28,19,17,19,6,8,25,5,7.0,36,16,18,20,8.0,20,7.0,,4,,12.0,,,,9.0,4,4.0,,6.0,41.0,10.0,,,5.0,,6.0,,,5,,15,5,Chile,CHL
"China, People's Republic","81,784","24,763","10,486",661,"2,001","2,099","1,606","6,721",854,"2,849",877,737,"1,521","1,677","2,184",755,531,505,513.0,283,397,608,236,576.0,754,514.0,242,134,24,216.0,293.0,728,197,146.0,238,204.0,178.0,211.0,171.0,265.0,28,327.0,130.0,131.0,306.0,140.0,139.0,112,87,79,136,"China, People's Republic",CHN
Colombia,"20,931","5,053",587,"5,038",512,360,812,117,323,523,545,105,228,131,46,133,98,37,76.0,860,60,83,545,69.0,34,29.0,44,67,28,189.0,27.0,11,189,263.0,44,43.0,96.0,40.0,61.0,76.0,14,36.0,91.0,32.0,25.0,11.0,3.0,13,8,129,27,Colombia,COL
Comoros,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,COM
"Congo, Democratic Republic","3,731",63,33,7,152,42,141,11,330,58,158,26,24,43,17,12,103,15,39.0,,190,19,4,53.0,5,73.0,53,55,,119.0,42.0,,6,24.0,37,41.0,5.0,11.0,27.0,67.0,,13.0,3.0,11.0,17.0,93.0,,33,,,,"Congo, Democratic Republic",COD
"Congo, Republic","1,461",65,13,4,72,26,62,12,131,23,73,25,13,25,,6,31,8,10.0,5,37,5,,21.0,8,15.0,4,3,,67.0,13.0,,,16.0,13,6.0,,,10.0,57.0,,13.0,,,,23.0,,8,4,,,"Congo, Republic",COG
Costa Rica,"2,020",577,58,184,43,18,46,14,32,24,48,11,42,20,7,23,18,3,11.0,55,17,14,43,5.0,12,7.0,9,7,,39.0,6.0,,4,22.0,,12.0,3.0,5.0,,6.0,,3.0,7.0,,4.0,8.0,,,,8,3,Costa Rica,CRI
Croatia,336,52,28,20,9,23,10,9,,4,,8,5,6,4,,6,3,,,,11,6,4.0,3,,,,,,3.0,,,,,,,,,,,,,,8.0,,,,,,,Croatia,HRV
Cuba,"32,820",903,198,"21,906",41,100,573,55,167,44,172,49,31,19,,28,208,3,20.0,593,23,683,"2,075",13.0,4,86.0,157,35,16,103.0,10.0,,3,9.0,8,79.0,14.0,46.0,28.0,41.0,14,38.0,239.0,3.0,,28.0,,15,,82,,Cuba,CUB
Cyprus,107,25,6,4,4,,,,,4,,,5,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyprus,CYP
Czechia,677,66,48,27,20,68,7,16,14,18,27,12,6,15,15,5,6,3,,6,11,5,24,3.0,,3.0,3,,,5.0,,,,4.0,,6.0,3.0,,,10.0,,4.0,,,5.0,,,,,,,Czechia,CZE
Denmark,459,87,44,13,17,9,16,33,7,7,13,13,3,21,17,,,,5.0,,,,6,4.0,4,,,,,3.0,,,,3.0,,,,4.0,3.0,9.0,,,,,,,,,,,4,Denmark,DNK
Djibouti,106,,,,4,,,,4,5,,5,,10,,,3,,24.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,Djibouti,DJI
Dominica,125,41,,10,4,,3,,,3,4,,3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominica,DMA
Dominican Republic,"41,566","25,175",78,"1,856",352,92,104,23,49,"3,158",203,19,930,22,7,13,24,56,36.0,575,14,51,281,88.0,5,8.0,8,20,5,99.0,56.0,7,"1,037",258.0,63,20.0,177.0,13.0,7.0,65.0,4,17.0,40.0,192.0,29.0,14.0,,,,"2,004",,Dominican Republic,DOM
Ecuador,"9,342","5,182",264,773,201,276,120,37,40,86,70,17,87,21,5,32,31,12,94.0,134,14,28,82,33.0,6,4.0,11,10,4,152.0,18.0,6,41,275.0,4,10.0,33.0,10.0,17.0,21.0,3,6.0,3.0,22.0,7.0,,4.0,,,22,5,Ecuador,ECU
Egypt,"8,988","3,067",784,76,446,217,149,101,179,189,83,66,268,110,52,202,41,115,77.0,73,16,20,113,84.0,24,42.0,9,24,,43.0,33.0,9,42,29.0,42,484.0,38.0,16.0,,54.0,,19.0,16.0,68.0,81.0,16.0,4.0,,4,,31,Egypt,EGY
El Salvador,"16,256","2,188","3,378",312,"2,725",115,"1,266",679,559,492,211,46,51,76,123,343,67,15,55.0,39,81,228,66,167.0,40,44.0,79,33,,124.0,24.0,3,70,30.0,34,45.0,15.0,28.0,49.0,46.0,3,10.0,16.0,54.0,10.0,,17.0,3,120,7,45,El Salvador,SLV
Equatorial Guinea,20,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,Equatorial Guinea,GNQ
Eritrea,"2,643",46,53,6,329,57,120,120,94,44,154,31,32,201,51,4,42,,58.0,10,99,63,8,59.0,19,33.0,13,25,,33.0,57.0,,14,4.0,23,23.0,,11.0,15.0,20.0,,28.0,10.0,,,51.0,,27,,,,Eritrea,ERI
Estonia,227,47,11,21,7,12,,5,4,,3,3,,3,3,,,3,3.0,8,5,,3,,3,,,,,,,3,,3.0,,,,,,3.0,,,,,,,,,,,,Estonia,EST
Ethiopia,"14,544",243,328,25,"2,951",228,300,294,599,323,764,192,140,935,272,31,173,22,897.0,39,608,502,49,245.0,71,171.0,89,45,,84.0,263.0,,30,18.0,80,192.0,21.0,138.0,75.0,79.0,,69.0,93.0,13.0,28.0,75.0,13.0,40,17,,9,Ethiopia,ETH
Fiji,853,12,34,,3,,3,179,,,,4,3,57,37,34,7,,,,,8,,,260,24.0,,,3,,,13,,,,,,,,,,,,,,,16.0,,3,,,Fiji,FJI
Finland,348,36,31,25,14,4,7,19,21,16,5,10,3,8,38,,,5,,,,4,,3.0,4,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,Finland,FIN
French Polynesia,30,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,French Polynesia,PYF
Gabon,197,20,6,,10,,14,,5,3,14,,9,,,,8,,3.0,,4,,4,4.0,,,,,,,,,14,,,,,,3.0,,,,,,,4.0,,4,,,,Gabon,GAB
Gambia,"1,159",290,9,3,69,10,8,4,28,11,115,3,9,112,,,8,26,31.0,3,15,,6,10.0,,5.0,,,,14.0,39.0,,17,,,11.0,,9.0,3.0,31.0,,4.0,,5.0,4.0,,,,,,,Gambia,GMB
Georgia,"1,341",763,95,13,40,28,4,18,11,7,9,3,60,8,21,,,7,5.0,6,5,6,4,9.0,5,8.0,,3,,,6.0,3,,15.0,,,3.0,,4.0,,,,,,9.0,3.0,,,,,,Georgia,GEO
Germany,"5,812",746,313,193,209,158,126,211,94,142,122,92,117,165,132,59,56,138,39.0,58,43,34,79,44.0,29,48.0,42,27,31,39.0,26.0,30,19,31.0,15,16.0,25.0,25.0,23.0,26.0,,25.0,15.0,11.0,19.0,10.0,11.0,19,7,10,18,Germany,DEU
Ghana,"10,592","3,272",88,33,"1,425",347,115,53,219,178,479,12,344,80,11,53,56,37,157.0,32,165,27,36,250.0,19,24.0,15,16,3,69.0,448.0,5,69,19.0,22,65.0,181.0,29.0,10.0,34.0,,14.0,16.0,429.0,30.0,13.0,10.0,5,3,,,Ghana,GHA
Greece,"1,054",282,55,28,37,81,17,19,9,82,9,8,37,11,11,5,7,8,3.0,3,3,5,21,15.0,4,7.0,,8,,3.0,,,10,8.0,3,,10.0,3.0,,,,5.0,,,6.0,,,,,,,Greece,GRC
Grenada,671,495,3,18,14,,13,,4,9,5,,3,4,,,,3,,5,,,3,16.0,,,,,,,,,,3.0,,,4.0,,,,,,5.0,,,,,,,,,Grenada,GRD
Guatemala,"10,341",849,"2,172",447,484,320,291,459,193,317,166,181,56,62,40,373,135,10,44.0,35,45,123,51,61.0,25,118.0,36,47,,28.0,6.0,,334,104.0,11,49.0,10.0,22.0,30.0,19.0,6,10.0,22.0,39.0,8.0,,21.0,8,8,11,47,Guatemala,GTM
Guinea,"1,656",811,8,5,132,20,12,10,18,24,89,,93,27,3,,9,7,44.0,,4,4,3,9.0,,,6,,,7.0,76.0,,9,,31,,,5.0,5.0,4.0,,,5.0,3.0,,,,,,,,Guinea,GIN
Guinea-Bissau,47,6,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,Guinea-Bissau,GNB
Guyana,"5,683","4,271",13,165,132,13,13,3,22,25,136,5,48,3,,,8,5,51.0,160,,,24,49.0,,,,,,7.0,,,6,7.0,,7.0,29.0,,,,,3.0,4.0,4.0,17.0,5.0,3.0,,,,,Guyana,GUY
Haiti,"22,818","5,484",33,"8,469",196,115,41,21,21,"1,819",303,18,389,22,,4,35,18,26.0,"1,387",19,16,232,29.0,7,28.0,12,15,4,23.0,25.0,,99,337.0,21,26.0,42.0,38.0,10.0,8.0,3,15.0,178.0,33.0,3.0,5.0,,5,,5,3,Haiti,HTI
Honduras,"6,884","1,111",482,"1,007",401,107,508,72,178,129,140,24,40,44,33,81,33,14,27.0,57,24,63,66,45.0,18,19.0,78,54,3,69.0,7.0,,24,43.0,42,43.0,8.0,56.0,13.0,29.0,9,16.0,35.0,15.0,6.0,,3.0,4,6,3,12,Honduras,HND
Hong Kong,"2,104",422,374,27,45,56,41,302,24,82,14,27,29,93,114,18,10,9,8.0,3,9,11,5,18.0,31,13.0,14,,,6.0,4.0,22,6,7.0,6,,,,5.0,5.0,,13.0,,,8.0,5.0,3.0,4,,,9,Hong Kong,HKG
Hungary,"1,054",200,78,78,35,19,17,24,21,28,13,12,20,18,26,7,10,11,7.0,12,10,16,32,9.0,,5.0,3,,,,9.0,,,17.0,,3.0,,3.0,,6.0,,6.0,7.0,,7.0,,4.0,3,,,,Hungary,HUN
Iceland,103,20,8,,6,,,,,4,5,,,,,,6,,,10,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iceland,ISL
India,"66,434","10,550","2,598",511,"2,711","4,106","2,164","3,323","2,538","1,574","1,769",699,"2,067","1,939","3,514",523,884,"1,234",741.0,263,344,148,426,735.0,807,422.0,518,240,25,629.0,486.0,20,183,340.0,357,174.0,545.0,253.0,125.0,446.0,27,467.0,226.0,271.0,366.0,126.0,453.0,57,514,4,198,India,IND
Indonesia,"2,603",282,441,18,126,48,77,149,49,65,82,34,108,87,87,178,22,7,17.0,10,47,32,11,12.0,19,28.0,28,7,,7.0,14.0,11,3,3.0,6,9.0,,3.0,3.0,,,10.0,8.0,6.0,10.0,,3.0,4,10,,5,Indonesia,IDN
Iran,"12,916",487,"4,215",135,850,247,452,533,400,197,297,413,93,326,632,149,189,78,52.0,60,81,123,67,125.0,229,104.0,103,112,11,42.0,38.0,,24,19.0,27,64.0,24.0,46.0,67.0,38.0,,42.0,23.0,25.0,29.0,14.0,9.0,30,36,,83,Iran,IRN
Iraq,"20,369",223,586,81,636,"1,054",794,129,770,225,276,"2,395",254,427,132,106,769,"2,763",129.0,64,239,92,107,108.0,309,211.0,306,253,24,67.0,180.0,,23,10.0,88,411.0,,129.0,152.0,116.0,,166.0,138.0,271.0,108.0,204.0,,142,6,,,Iraq,IRQ
Ireland,"1,514",415,58,21,36,73,23,88,20,148,14,18,33,53,32,7,13,11,6.0,19,5,5,6,17.0,12,7.0,20,,,14.0,,5,10,23.0,4,,9.0,,,4.0,,4.0,3.0,,10.0,,,4,,,8,Ireland,IRL
Israel,"4,153","1,127",423,339,115,111,74,114,71,116,77,61,92,144,246,23,28,23,11.0,37,34,77,24,18.0,18,17.0,20,6,,9.0,12.0,11,3,6.0,8,10.0,,25.0,4.0,9.0,,28.0,5.0,,37.0,3.0,,9,,6,20,Israel,ISR
Italy,"2,673",584,180,263,100,65,67,93,32,103,32,57,59,39,48,10,20,36,20.0,24,15,24,40,12.0,7,14.0,10,9,,17.0,17.0,5,15,17.0,3,6.0,16.0,5.0,6.0,12.0,,12.0,12.0,6.0,7.0,4.0,5.0,8,,11,12,Italy,ITA
