NAME,Total
"Atlanta-Sandy Springs-Alpharetta, GA",14608.0
"Austin-Round Rock-Georgetown, TX",6118.0
"Baltimore-Columbia-Towson, MD",5266.0
"Boston-Cambridge-Newton, MA-NH",17398.0
"Bridgeport-Stamford-Norwalk, CT",2954.0
"Cincinnati, OH-KY-IN",2770.0
"Cleveland-Elyria, OH",2525.0
"Columbus, OH",4430.0
"Fresno, CA",1937.0
"Dallas-Fort Worth-Arlington, TX",22281.0
"Denver-Aurora-Lakewood, CO",6059.0
"Detroit-Warren-Dearborn, MI",9609.0
"El Paso, TX",2426.0
"Charlotte-Concord-Gastonia, NC-SC",4526.0
"Chicago-Naperville-Elgin, IL-IN-WI",24660.0
"Worcester, MA-CT",2116.0
"Hartford-East Hartford-Middletown, CT",2427.0
"Houston-The Woodlands-Sugar Land, TX",26627.0
"Indianapolis-Carmel-Anderson, IN",3592.0
"Jacksonville, FL",2127.0
"Kansas City, MO-KS",3234.0
"Las Vegas-Henderson-Paradise, NV",5736.0
"Los Angeles-Long Beach-Anaheim, CA",50837.0
"Louisville/Jefferson County, KY-IN",1952.0
"McAllen-Edinburg-Mission, TX",2288.0
"Miami-Fort Lauderdale-Pompano Beach, FL",38858.0
"Milwaukee-Waukesha, WI",1936.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",3300.0
"New York-Newark-Jersey City, NY-NJ-PA",98070.0
"Orlando-Kissimmee-Sanford, FL",8373.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",11669.0
"Phoenix-Mesa-Chandler, AZ",9031.0
"Pittsburgh, PA",2000.0
"Portland-Vancouver-Hillsboro, OR-WA",5381.0
"Providence-Warwick, RI-MA",2957.0
"Raleigh-Cary, NC",3613.0
"Riverside-San Bernardino-Ontario, CA",9026.0
"Sacramento-Roseville-Folsom, CA",7900.0
"Salt Lake City, UT",3145.0
"San Antonio-New Braunfels, TX",4555.0
"San Diego-Chula Vista-Carlsbad, CA",8981.0
"San Francisco-Oakland-Berkeley, CA",26750.0
"San Jose-Sunnyvale-Santa Clara, CA",16481.0
"Seattle-Tacoma-Bellevue, WA",17112.0
"Stockton, CA",2180.0
"Urban Honolulu, HI",1955.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24394.0
