NAME,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French),Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"Columbus, OH",25.0,18.0,125.0,,,14.0,,,5.0,,5.0,3.0,,21.0,,7.0,,,8.0,,11.0,3.0,,,49.0,,,13.0,15.0,11.0,,10.0,101.0,58.0,,,,6.0,167.0,35.0,85.0,6.0,,,8.0,,,,,5.0,,62.0,16.0,27.0,53.0,,66.0,,,119.0,,,,35.0,,6.0,214.0,,,13.0,34.0,,,31.0,30.0,,3.0,,963.0,5.0,22.0,13.0,6.0,8.0,24.0,27.0,21.0,88.0,6.0,55.0,,43.0,8.0,,,,12.0,43.0,13.0,,,,,3.0,9.0,4.0,,19.0,,148.0,,3.0,,,59.0,,,130.0,,,9.0,,157.0,9.0,,80.0,3.0,,8.0,54.0,3.0,,3.0,,7.0,9.0,,,,,,26.0,50.0,,97.0,3.0,,,,135.0,18.0,,5.0,15.0,8.0,,11.0,3.0,12.0,9.0,,35.0,15.0,13.0,,,8.0,12.0,,,18.0,29.0,4.0,34.0,,,3.0,106.0,48.0,,4.0,8.0,9.0,4335.0
"Raleigh-Cary, NC",22.0,,11.0,,,15.0,,,10.0,,,11.0,,30.0,,9.0,3.0,,,,,,4.0,,91.0,,,,,30.0,,3.0,6.0,50.0,,,,10.0,210.0,60.0,57.0,3.0,8.0,,24.0,,,3.0,3.0,,,71.0,12.0,25.0,90.0,,,,,10.0,,7.0,,31.0,,15.0,13.0,,,34.0,,,,7.0,88.0,12.0,,,1530.0,,27.0,6.0,9.0,5.0,7.0,32.0,9.0,21.0,10.0,25.0,,61.0,9.0,3.0,,,10.0,,,,,,,,13.0,,,,,357.0,5.0,,,,67.0,,,91.0,,,11.0,,79.0,,,34.0,6.0,,14.0,43.0,12.0,,7.0,8.0,22.0,4.0,,,,,,8.0,13.0,3.0,9.0,10.0,,,,4.0,27.0,,16.0,12.0,,,3.0,3.0,10.0,16.0,,19.0,5.0,13.0,,5.0,,26.0,,,3.0,13.0,8.0,63.0,,4.0,6.0,82.0,53.0,,13.0,3.0,4.0,4079.0
"Indianapolis-Carmel-Anderson, IN",25.0,4.0,32.0,,,20.0,,,7.0,,,3.0,,21.0,,,,,39.0,,,3.0,,,52.0,,10.0,,228.0,9.0,,7.0,18.0,38.0,,,,7.0,149.0,39.0,46.0,,8.0,3.0,4.0,,,,,,,41.0,8.0,38.0,60.0,,17.0,,,17.0,,,,,,9.0,8.0,4.0,,22.0,11.0,,,98.0,69.0,,4.0,,579.0,9.0,16.0,3.0,6.0,5.0,12.0,15.0,17.0,18.0,,18.0,,29.0,5.0,,,,8.0,20.0,,3.0,,,,,93.0,7.0,,6.0,,422.0,,,,,16.0,,,14.0,5.0,,31.0,23.0,450.0,,,49.0,,,17.0,65.0,3.0,,3.0,3.0,14.0,10.0,,,,,,23.0,9.0,,,,,,,7.0,14.0,,4.0,6.0,7.0,,3.0,,9.0,6.0,,9.0,26.0,16.0,,,6.0,17.0,,,12.0,13.0,10.0,35.0,,,,182.0,36.0,,20.0,5.0,13.0,3660.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",27.0,7.0,,,,5.0,,,27.0,,,8.0,4.0,9.0,,,,3.0,,,,,,,38.0,,,,51.0,14.0,,8.0,8.0,68.0,,,,4.0,94.0,44.0,77.0,,12.0,,57.0,,,,,,,24.0,19.0,148.0,134.0,,18.0,,,58.0,,,,3.0,,19.0,17.0,5.0,3.0,62.0,,,4.0,20.0,68.0,4.0,3.0,,577.0,3.0,26.0,24.0,4.0,15.0,8.0,23.0,22.0,22.0,3.0,19.0,,33.0,12.0,,5.0,,,5.0,,,,,,3.0,18.0,,,,,328.0,,,,,10.0,,,60.0,4.0,5.0,15.0,,89.0,,,8.0,7.0,,16.0,535.0,5.0,,5.0,9.0,9.0,6.0,,,,,,7.0,4.0,4.0,,6.0,,,,9.0,15.0,4.0,12.0,7.0,6.0,,5.0,3.0,7.0,10.0,,36.0,19.0,,,4.0,,16.0,,,11.0,13.0,18.0,77.0,,,18.0,77.0,47.0,,21.0,,3.0,3566.0
"Bridgeport-Stamford-Norwalk, CT",,17.0,,,4.0,20.0,,,13.0,7.0,,,4.0,28.0,,16.0,,,,,,4.0,5.0,,321.0,,3.0,,,,,5.0,,47.0,,,,18.0,115.0,178.0,,,30.0,4.0,,,,4.0,4.0,,4.0,186.0,163.0,14.0,38.0,,,,,,,,,,13.0,21.0,13.0,3.0,,117.0,,,11.0,152.0,61.0,10.0,13.0,,385.0,3.0,15.0,,13.0,4.0,16.0,211.0,18.0,5.0,3.0,,,28.0,,,,,4.0,,,3.0,,,,,4.0,,,,,119.0,,,5.0,,21.0,,,10.0,13.0,4.0,10.0,,31.0,8.0,,25.0,,10.0,64.0,46.0,35.0,17.0,,9.0,42.0,,,8.0,,,,,,3.0,,3.0,,6.0,,,29.0,,23.0,,,,5.0,5.0,8.0,13.0,,,10.0,3.0,,5.0,,18.0,,,3.0,60.0,5.0,119.0,3.0,4.0,,34.0,31.0,,,,,3245.0
"Salt Lake City, UT",23.0,4.0,,,,34.0,,,14.0,,3.0,,,9.0,,6.0,,3.0,,,,10.0,3.0,,156.0,,4.0,,19.0,23.0,,25.0,4.0,24.0,,16.0,3.0,39.0,158.0,81.0,83.0,,8.0,,,,,,,,,24.0,26.0,8.0,73.0,,11.0,,,4.0,,,,,,23.0,,,,36.0,,,,,28.0,5.0,,,302.0,5.0,26.0,23.0,5.0,6.0,10.0,6.0,13.0,8.0,3.0,8.0,,39.0,,,5.0,,,9.0,,4.0,,,3.0,,3.0,,,,,770.0,,8.0,,,,,,61.0,3.0,11.0,13.0,,23.0,,,12.0,,,80.0,67.0,10.0,4.0,,4.0,17.0,24.0,,,,,7.0,5.0,,,,3.0,,4.0,,7.0,9.0,,,8.0,8.0,,3.0,3.0,3.0,26.0,,18.0,29.0,4.0,23.0,,4.0,10.0,,,14.0,16.0,,22.0,5.0,7.0,,207.0,73.0,,,,3.0,3096.0
"Cincinnati, OH-KY-IN",3.0,,5.0,6.0,,6.0,4.0,,11.0,,,,6.0,12.0,,,3.0,3.0,9.0,,5.0,,3.0,,44.0,,3.0,16.0,,9.0,,13.0,46.0,27.0,,,,,173.0,24.0,68.0,7.0,6.0,,4.0,,,,,,,55.0,12.0,16.0,22.0,,12.0,,,25.0,,,3.0,3.0,10.0,24.0,49.0,,,62.0,5.0,,3.0,3.0,20.0,,12.0,,639.0,8.0,15.0,12.0,6.0,9.0,16.0,46.0,19.0,37.0,13.0,10.0,,24.0,6.0,32.0,,,14.0,3.0,3.0,,,,,,5.0,16.0,,22.0,,139.0,3.0,3.0,,,42.0,,,69.0,7.0,5.0,4.0,9.0,57.0,4.0,4.0,29.0,,,20.0,390.0,3.0,,,5.0,25.0,3.0,,,,,,18.0,43.0,,,10.0,,,,4.0,7.0,,12.0,7.0,,,,13.0,6.0,11.0,9.0,,15.0,12.0,,6.0,3.0,23.0,,,,27.0,10.0,56.0,,,28.0,42.0,36.0,,,,20.0,3046.0
"Providence-Warwick, RI-MA",,4.0,4.0,10.0,,11.0,3.0,,4.0,,7.0,,,10.0,,,3.0,,,3.0,,27.0,,,128.0,,,,,,263.0,23.0,7.0,26.0,,,,,93.0,82.0,13.0,,12.0,,7.0,,,,,,,573.0,24.0,25.0,68.0,,,,,3.0,,3.0,,14.0,,9.0,11.0,6.0,,215.0,4.0,5.0,,120.0,45.0,7.0,,,265.0,4.0,17.0,,6.0,8.0,12.0,31.0,5.0,,3.0,12.0,,17.0,3.0,,4.0,,25.0,100.0,,,,,,,,,,,,71.0,,,,,27.0,,,23.0,4.0,4.0,3.0,,83.0,,,58.0,3.0,,14.0,52.0,5.0,75.0,,3.0,10.0,,,,,,,,28.0,5.0,,,,,,,17.0,,10.0,4.0,,,,,24.0,,,8.0,10.0,,,3.0,,15.0,,,4.0,9.0,,29.0,,,,24.0,23.0,,,8.0,3.0,3043.0
"El Paso, TX",,,,,,4.0,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,8.0,17.0,,,,,14.0,9.0,,,,,16.0,,,,,,,,,,11.0,,,,,,,,,,,11.0,6.0,,,5.0,,,,,5.0,,,,30.0,,,,,,6.0,10.0,,,,7.0,,12.0,,,,,3.0,,,,,,,,,,,,,2459.0,,,,,4.0,,,6.0,,,,,11.0,,,7.0,3.0,,5.0,32.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,7.0,,,,,,,,7.0,,,,,3.0,,,,,22.0,,,,,3.0,2764.0
"Hartford-East Hartford-Middletown, CT",14.0,50.0,10.0,,4.0,5.0,3.0,,4.0,,3.0,4.0,3.0,23.0,,7.0,,,,,,,6.0,,79.0,,,,3.0,,,4.0,4.0,26.0,4.0,,,,87.0,48.0,6.0,,,,4.0,,,,,,,94.0,46.0,11.0,20.0,,,,,9.0,,,,3.0,,19.0,71.0,,,11.0,,,22.0,28.0,26.0,,,,903.0,,12.0,,6.0,4.0,11.0,334.0,8.0,11.0,,6.0,,19.0,3.0,,3.0,,11.0,4.0,,,,,,,,,,,,43.0,,,,,15.0,,,41.0,,,,,25.0,,,34.0,,3.0,51.0,55.0,70.0,7.0,,8.0,13.0,,,15.0,,3.0,,6.0,,,,,,,,,10.0,,7.0,17.0,5.0,,,,5.0,8.0,,8.0,15.0,14.0,,5.0,,20.0,,,4.0,38.0,3.0,31.0,,,,15.0,47.0,,13.0,,,2750.0
