NAME,Afghanistan,Albania,Algeria,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French),Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"Saint Louis, MO-IL",84.0,29.0,,,,10.0,,,7.0,,,5.0,,9.0,3.0,,,,,,4.0,5.0,17.0,,73.0,,16.0,,4.0,,,3.0,11.0,40.0,,,,4.0,161.0,19.0,12.0,,7.0,,4.0,,,4.0,,,,12.0,15.0,12.0,9.0,,4.0,,,10.0,,,,,,11.0,14.0,6.0,,9.0,4.0,,,4.0,14.0,4.0,,,748.0,7.0,36.0,9.0,5.0,11.0,7.0,43.0,12.0,27.0,3.0,41.0,,31.0,14.0,5.0,,,7.0,8.0,3.0,,,,,,9.0,,,,,220.0,4.0,,,,10.0,,,50.0,5.0,5.0,3.0,,74.0,,,43.0,7.0,,10.0,138.0,5.0,,,,22.0,3.0,,3.0,,,,14.0,3.0,,4.0,3.0,,,,,16.0,,6.0,4.0,,,6.0,,5.0,6.0,,12.0,19.0,13.0,,,6.0,28.0,,,6.0,24.0,4.0,22.0,,,3.0,11.0,87.0,,10.0,,,2599.0
"Kansas City, MO-KS",35.0,,90.0,,,10.0,,,6.0,,6.0,,,9.0,,,,3.0,3.0,,,,,,46.0,,,,33.0,6.0,,,26.0,23.0,,,,,81.0,19.0,104.0,,6.0,3.0,43.0,,,4.0,,,,7.0,9.0,6.0,41.0,,6.0,,,43.0,,,,5.0,,19.0,9.0,,,40.0,6.0,,4.0,24.0,51.0,,,,383.0,,7.0,17.0,3.0,11.0,4.0,23.0,8.0,20.0,3.0,52.0,,44.0,3.0,,,,6.0,12.0,,,,,,,8.0,,,,,493.0,,,,,13.0,,,33.0,5.0,3.0,,,37.0,5.0,,43.0,3.0,,9.0,86.0,,,,6.0,,8.0,,,,,,9.0,10.0,,,,,,,14.0,14.0,,,,3.0,,3.0,,14.0,9.0,,87.0,18.0,5.0,,,,18.0,,,40.0,13.0,3.0,28.0,,,3.0,66.0,61.0,,,,3.0,2595.0
"Jacksonville, FL",43.0,89.0,,,,5.0,4.0,,7.0,,,6.0,,4.0,,8.0,,,3.0,,,,5.0,,110.0,,,,19.0,,,16.0,18.0,34.0,,,,10.0,65.0,86.0,13.0,,18.0,,191.0,,,,,,,53.0,14.0,19.0,27.0,,,,,12.0,,,,,,24.0,5.0,3.0,,11.0,,,7.0,85.0,46.0,,10.0,,366.0,5.0,15.0,8.0,4.0,,9.0,94.0,5.0,14.0,9.0,9.0,,6.0,9.0,,,,22.0,,,,,,,,5.0,,,,,68.0,,,,,9.0,,,7.0,8.0,3.0,25.0,,29.0,3.0,,13.0,6.0,,19.0,148.0,4.0,,,6.0,22.0,3.0,,,,,,3.0,3.0,3.0,,,,,,,25.0,,10.0,,7.0,,6.0,8.0,35.0,4.0,,13.0,10.0,,,12.0,3.0,21.0,5.0,,4.0,64.0,6.0,43.0,,8.0,,83.0,61.0,,,,,2460.0
"Worcester, MA-CT",,75.0,13.0,,,,,,,,3.0,,,7.0,,,,,,,,,,,240.0,,,3.0,,,,4.0,23.0,29.0,,,,3.0,100.0,34.0,18.0,,3.0,,3.0,,,,,,,163.0,36.0,29.0,60.0,,4.0,,,,,,,,,3.0,121.0,6.0,,30.0,,,,41.0,3.0,,,,564.0,,16.0,9.0,5.0,4.0,8.0,29.0,4.0,3.0,3.0,43.0,,12.0,,,,,20.0,41.0,,,,,,,4.0,,,,,21.0,,,,,10.0,,,23.0,,,4.0,,18.0,,,39.0,,,9.0,34.0,,,,3.0,16.0,,,,,,,,,,4.0,,,,,,3.0,,5.0,6.0,3.0,,,,6.0,5.0,,4.0,4.0,,,,,5.0,,,7.0,11.0,,38.0,,20.0,,12.0,74.0,,,,,2203.0
"Louisville/Jefferson County, KY-IN",16.0,,9.0,,,5.0,4.0,,7.0,,,4.0,,,,,,,,,,,9.0,,20.0,,,,5.0,13.0,,13.0,12.0,15.0,,,,,43.0,38.0,153.0,,5.0,,498.0,,,,,,,7.0,11.0,8.0,17.0,,10.0,,,15.0,,,,15.0,,14.0,12.0,,,33.0,,,,17.0,23.0,4.0,,,284.0,4.0,7.0,10.0,,5.0,5.0,8.0,,10.0,,16.0,,19.0,,,,,3.0,19.0,,,,,,6.0,,,,6.0,,205.0,3.0,3.0,,,21.0,,,34.0,3.0,,3.0,,25.0,,,19.0,3.0,,13.0,92.0,,3.0,,3.0,8.0,34.0,,,,,,6.0,7.0,,,,,,,19.0,9.0,4.0,3.0,4.0,6.0,,,,11.0,,,35.0,6.0,15.0,,,3.0,3.0,,,28.0,11.0,,24.0,,,,29.0,39.0,,,,3.0,2194.0
"McAllen-Edinburg-Mission, TX",,,,,,6.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,6.0,5.0,,,,,5.0,10.0,,,,,24.0,,,,,,,8.0,11.0,,5.0,,,,,,,,,,,3.0,,,,12.0,,,,,9.0,,,,15.0,,6.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1983.0,,,,,,,,,,,,,4.0,,,4.0,,,4.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,6.0,,,,,2180.0
"Stockton, CA",66.0,,,,,,,,,,,,,6.0,,,,,,,,,,,4.0,,3.0,,,,,15.0,4.0,22.0,,,,,52.0,5.0,,,,,,,,,,,,,,9.0,44.0,,,,,,28.0,,,,,4.0,,,,37.0,,,,,17.0,,,,653.0,,4.0,6.0,,,,,,10.0,,,,13.0,6.0,,,,3.0,6.0,,,,,,,,,,,,539.0,,,,,6.0,,,5.0,,,8.0,,17.0,,,156.0,,,7.0,141.0,,,4.0,,,,,,,,,3.0,,,,4.0,,,,,,,,5.0,,,,,13.0,,,,4.0,,4.0,,,3.0,,,,,3.0,10.0,,3.0,,8.0,53.0,,29.0,,,2042.0
"Cleveland-Elyria, OH",58.0,34.0,,,,12.0,,,4.0,3.0,3.0,5.0,,16.0,,8.0,,,,,3.0,,3.0,,30.0,,5.0,6.0,,5.0,,5.0,17.0,47.0,,,,3.0,123.0,26.0,38.0,,3.0,,,,,,,,,32.0,8.0,32.0,22.0,,,,,8.0,,,,,7.0,8.0,9.0,4.0,,5.0,,,3.0,7.0,11.0,3.0,3.0,,360.0,5.0,27.0,6.0,6.0,5.0,9.0,28.0,11.0,74.0,,10.0,,25.0,7.0,4.0,,,35.0,4.0,,5.0,,,,,3.0,,,,,127.0,7.0,,,,12.0,,,31.0,3.0,,4.0,,54.0,,,15.0,4.0,,20.0,45.0,,,,21.0,16.0,,,,,,,14.0,5.0,4.0,,3.0,,,,,7.0,,10.0,,6.0,,,,16.0,5.0,,7.0,5.0,,,,,37.0,,,9.0,136.0,5.0,21.0,,4.0,6.0,27.0,16.0,,4.0,,4.0,1953.0
"Trenton-Princeton, NJ",4.0,,,,,,5.0,,6.0,,,,,17.0,,,,,,,,,,,28.0,,,,,,,,4.0,12.0,,,,,157.0,17.0,,,39.0,,,,,,,,,110.0,59.0,13.0,9.0,,,,,,,,,,3.0,11.0,15.0,,,87.0,,,5.0,58.0,19.0,7.0,7.0,,856.0,3.0,8.0,,,,,36.0,6.0,5.0,4.0,11.0,,16.0,4.0,,,,,65.0,,,,,,,,,,,,22.0,,4.0,,,4.0,,,,8.0,,,,27.0,,,27.0,,,9.0,10.0,23.0,,,,10.0,,,,,,,5.0,,,11.0,6.0,,,,,4.0,,9.0,,,,,3.0,,6.0,,,3.0,,,4.0,,4.0,,,,10.0,,12.0,,5.0,,15.0,,,,,,1947.0
"Milwaukee-Waukesha, WI",5.0,19.0,4.0,,,11.0,,,5.0,,,,,9.0,,,,,4.0,,,,3.0,,31.0,,5.0,3.0,89.0,,,,9.0,20.0,,,,5.0,95.0,25.0,3.0,,,,8.0,,,,3.0,,,24.0,5.0,19.0,4.0,,,,,3.0,,4.0,,,,10.0,4.0,,,6.0,,,,4.0,5.0,3.0,,,451.0,8.0,17.0,6.0,5.0,5.0,7.0,17.0,9.0,30.0,3.0,5.0,,20.0,3.0,,11.0,5.0,4.0,,,,,,,,34.0,,,,,381.0,,4.0,,,13.0,,,17.0,5.0,,6.0,,33.0,,,38.0,5.0,,13.0,45.0,8.0,,,,15.0,,,,,,,8.0,3.0,7.0,,,,,,,10.0,,4.0,3.0,5.0,,,,3.0,4.0,,,21.0,3.0,,4.0,9.0,7.0,4.0,,7.0,36.0,8.0,23.0,,,,35.0,39.0,,,3.0,,1916.0
"Oklahoma City, OK",,4.0,,,,6.0,,,9.0,,,,,16.0,,,3.0,6.0,,,,,,,17.0,,4.0,,16.0,,,6.0,96.0,25.0,,,,3.0,94.0,23.0,7.0,,5.0,,13.0,,,,,,,9.0,6.0,3.0,17.0,,,,,6.0,,,,,,8.0,26.0,,,43.0,,,,3.0,17.0,,,,113.0,9.0,19.0,3.0,,,,6.0,12.0,10.0,,22.0,,30.0,,,,,3.0,8.0,4.0,,,,,,16.0,3.0,,,,564.0,,,,,30.0,,,41.0,,,,,93.0,3.0,,39.0,3.0,,7.0,66.0,,,,,7.0,5.0,,,,,,5.0,,,,,,,,,7.0,,,,,,,,,9.0,,,16.0,,,,3.0,19.0,,,,9.0,,32.0,,,,33.0,146.0,,,,,1886.0
"Cape Coral-Fort Myers, FL",5.0,4.0,4.0,,,16.0,,,3.0,5.0,,9.0,,10.0,,3.0,,,,,,8.0,,,77.0,,,,,,,,,44.0,,,,4.0,15.0,83.0,,,18.0,,578.0,,,3.0,,,,54.0,39.0,3.0,23.0,,,,,,,,,,3.0,44.0,,3.0,,44.0,,,3.0,169.0,41.0,,,,29.0,,,,,,4.0,58.0,3.0,10.0,,,,6.0,,,,,,,,,,,,,,,,,,152.0,,,,,,,,,,,28.0,,4.0,,,7.0,5.0,,22.0,43.0,7.0,,,16.0,9.0,,,,,,,,,,,,,,,,3.0,,11.0,,,,,,,,,,,,,3.0,,5.0,,,,13.0,,29.0,,6.0,,73.0,24.0,,,,,1885.0
