Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA",NAME_LONG,ISO_A3
Gambia,"1,023",273,7,,48,4,6,3,16,4,88,,131,,10,,,37,,5,17,,,6,,12,13.0,42.0,3,12,17,16,,4.0,21.0,10.0,4.0,,,,6.0,3.0,,,6.0,,,4.0,,,,Gambia,GMB
Georgia,"1,643",949,13,123,47,5,22,17,,13,14,22,22,7,120,,5,,9,,7,11,3,5,5,13,18.0,,3,,,4,,,,3.0,25.0,,,,13.0,,,4.0,5.0,8.0,,,,,,Georgia,GEO
Germany,"4,443",524,125,238,149,69,127,272,53,131,72,180,113,120,73,36,49,27,35,34,99,23,35,48,24,68,24.0,17.0,32,35,8,13,14.0,14.0,20.0,14.0,18.0,25.0,14,24,15.0,17.0,,21.0,13.0,17.0,34,8.0,17.0,,6,Germany,DEU
Ghana,"8,394","2,195",35,74,"1,115",132,275,41,209,137,409,6,54,27,226,42,39,136,20,41,24,11,33,105,15,34,172.0,453.0,11,58,13,53,22.0,40.0,21.0,27.0,28.0,14.0,12,10,119.0,12.0,5,23.0,149.0,17.0,,332.0,6.0,,7,Ghana,GHA
Greece,"1,214",344,43,49,37,13,81,36,13,72,15,32,14,10,48,3,21,3,8,4,21,4,7,5,3,11,7.0,8.0,3,5,,8,,,6.0,,6.0,7.0,,,3.0,,3,7.0,11.0,8.0,3,6.0,11.0,,,Greece,GRC
Grenada,501,348,16,3,11,13,,,3,8,7,,3,,,,,,7,3,,,,,,,4.0,,,,,,3.0,,,,,,,,,,,,3.0,3.0,,,,,,Grenada,GRD
Guatemala,"15,638","1,496",679,"2,567",824,381,329,"1,214",225,499,275,91,86,197,165,394,82,109,66,163,16,65,76,63,152,193,108.0,25.0,62,119,46,426,56.0,69.0,35.0,66.0,203.0,29.0,6,,86.0,79.0,17,11.0,15.0,22.0,109,47.0,8.0,13,55,Guatemala,GTM
Guinea,"1,282",585,,8,75,4,13,3,19,33,60,4,24,,85,,,27,,8,14,,4,4,,3,9.0,80.0,,3,3,8,33.0,,,5.0,,4.0,,,11.0,,,3.0,,,,,7.0,,,Guinea,GIN
Guinea-Bissau,27,4,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,Guinea-Bissau,GNB
Guyana,"5,165","3,734",134,11,126,9,5,10,11,19,95,,4,,81,4,40,52,153,9,,,8,3,3,,30.0,,,7,,7,,,5.0,,6.0,13.0,,,,,,3.0,56.0,18.0,3,5.0,,,,Guyana,GUY
Haiti,"21,360","5,195","6,875",18,220,34,103,35,23,"1,946",324,4,20,38,457,10,302,24,"1,325",29,10,12,6,9,17,23,34.0,44.0,4,25,42,157,35.0,29.0,16.0,29.0,279.0,211.0,,,5.0,9.0,3,7.0,29.0,,267,63.0,,,,Haiti,HTI
Honduras,"13,794","2,101","1,449",915,849,900,219,295,429,275,307,77,89,51,124,174,234,79,160,59,29,18,192,73,61,39,129.0,42.0,113,297,32,67,89.0,87.0,121.0,77.0,93.0,68.0,6,3,25.0,18.0,44,23.0,19.0,16.0,68,14.0,6.0,19,12,Honduras,HND
Hong Kong,"2,075",368,37,337,63,50,31,321,27,72,28,137,92,16,20,28,,10,9,16,7,18,18,12,24,20,13.0,11.0,3,7,,9,,,,3.0,4.0,4.0,,29,3.0,6.0,,6.0,9.0,4.0,4,,,,,Hong Kong,HKG
Hungary,917,148,73,65,21,11,15,31,11,24,8,33,21,21,9,5,30,,19,9,15,5,13,12,28,15,,,3,,,3,,3.0,5.0,4.0,7.0,8.0,,,,,,4.0,,11.0,,8.0,,,,Hungary,HUN
Iceland,89,8,3,14,4,,,,,,,,14,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iceland,ISL
India,"59,821","9,143",462,"1,941","1,949","2,154","3,692","3,079","2,340","1,272","1,902","2,562","1,642",454,"2,108",583,531,635,419,612,"1,078",960,557,288,119,411,643.0,398.0,182,562,155,139,467.0,273.0,532.0,247.0,261.0,171.0,18,24,367.0,119.0,667,324.0,404.0,277.0,30,244.0,271.0,31,623,India,IND
Indonesia,"1,756",177,17,210,76,75,43,70,30,33,48,45,82,25,51,100,4,18,6,13,8,25,18,51,17,16,12.0,18.0,10,,,3,7.0,6.0,4.0,8.0,,8.0,,12,,4.0,,9.0,3.0,,,,5.0,,,Indonesia,IDN
Iran,"10,116",321,61,"3,003",517,320,284,316,327,221,284,444,371,315,90,50,32,48,46,140,116,168,110,69,126,89,98.0,26.0,109,38,19,13,18.0,38.0,40.0,24.0,12.0,30.0,7,5,16.0,42.0,16,39.0,24.0,38.0,,13.0,17.0,,21,Iran,IRN
Iraq,"14,351",89,21,291,291,710,430,69,625,85,182,62,443,"1,391",95,51,77,123,68,527,"1,563",374,275,235,47,271,78.0,261.0,172,32,177,32,29.0,267.0,61.0,147.0,5.0,88.0,6,,16.0,174.0,6,184.0,34.0,97.0,,160.0,83.0,,,Iraq,IRQ
Ireland,"1,401",362,19,50,43,18,81,81,13,130,13,50,40,17,32,3,11,10,14,8,5,10,15,11,4,7,3.0,,,16,,10,5.0,6.0,6.0,4.0,11.0,6.0,,,5.0,5.0,,3.0,3.0,8.0,,4.0,3.0,,,Ireland,IRL
Israel,"3,706",880,170,303,83,40,98,206,67,164,69,339,139,110,77,24,32,40,32,27,16,35,23,30,59,49,16.0,10.0,4,,4,6,3.0,12.0,9.0,9.0,7.0,5.0,3,4,7.0,3.0,5,30.0,12.0,24.0,,5.0,10.0,,10,Israel,ISR
Italy,"3,329",708,346,209,100,73,105,144,26,130,32,68,39,94,53,19,53,14,36,22,64,29,23,22,21,25,15.0,23.0,15,21,4,11,7.0,13.0,9.0,6.0,22.0,14.0,5,8,,7.0,,9.0,12.0,13.0,5,8.0,6.0,,3,Italy,ITA
Jamaica,"20,347","7,018","3,370",132,494,140,145,26,90,334,845,5,39,36,516,41,276,39,750,37,67,14,30,33,26,17,248.0,31.0,43,91,13,64,20.0,44.0,36.0,33.0,328.0,104.0,9,8,35.0,7.0,,18.0,528.0,71.0,114,30.0,26.0,,,Jamaica,JAM
Japan,"4,317",536,35,663,85,42,96,185,55,96,46,194,147,146,39,44,17,26,33,26,63,20,38,32,20,42,24.0,36.0,20,17,7,9,13.0,22.0,8.0,17.0,27.0,10.0,10,318,22.0,9.0,8,14.0,7.0,12.0,3,5.0,10.0,4,3,Japan,JPN
Jordan,"5,322",405,73,239,96,208,557,110,206,52,85,43,50,113,84,85,79,46,41,82,220,70,39,36,12,31,41.0,103.0,41,45,37,12,58.0,27.0,56.0,34.0,4.0,38.0,6,,50.0,18.0,21,57.0,20.0,98.0,8,18.0,50.0,,14,Jordan,JOR
Kazakhstan,"1,378",266,62,87,52,63,52,43,18,18,25,43,58,15,27,8,8,21,7,12,,45,6,11,4,48,9.0,12.0,4,24,3,4,,,7.0,3.0,8.0,3.0,,,7.0,3.0,,,,9.0,7,,,,,Kazakhstan,KAZ
Kenya,"7,190",204,18,73,159,134,54,52,471,242,211,28,337,84,100,31,13,810,132,90,18,39,27,41,13,58,133.0,340.0,35,15,66,12,39.0,39.0,68.0,165.0,,24.0,6,3,68.0,27.0,,97.0,,15.0,,96.0,20.0,7,8,Kenya,KEN
"Korea, North",41,4,,10,3,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,"Korea, North",PRK
"Korea, South","17,676","2,790",65,"3,581",805,271,562,525,560,322,635,787,603,383,292,235,57,98,34,100,278,74,147,135,98,185,230.0,74.0,51,46,8,54,42.0,52.0,92.0,70.0,36.0,20.0,29,164,61.0,31.0,21,47.0,34.0,26.0,5,8.0,17.0,30,8,"Korea, South",KOR
Kuwait,"1,090",95,14,60,46,41,69,32,55,23,12,15,25,22,19,16,9,27,15,11,51,6,9,4,6,10,12.0,16.0,6,5,3,,8.0,12.0,15.0,8.0,,4.0,,,11.0,4.0,7,5.0,5.0,7.0,,4.0,3.0,,6,Kuwait,KWT
Kyrgyzstan,908,227,11,26,34,10,188,19,8,6,7,17,13,3,57,,,5,4,,3,30,,9,,30,,,,5,6,,,3.0,,3.0,,,,,30.0,,,11.0,,7.0,,,,,,Kyrgyzstan,KGZ
Laos,863,,,15,12,6,10,11,7,4,13,3,17,15,4,7,11,177,,5,9,27,,12,3,18,,8.0,,9,,5,,13.0,,9.0,,,,11,,3.0,81,,12.0,,3,3.0,18.0,,3,Laos,LAO
Latvia,356,64,14,20,5,5,23,4,8,8,6,3,13,4,7,,8,9,,4,4,7,3,4,4,5,5.0,,,8,,,,,,,3.0,,,,,,,4.0,,,,,5.0,,,Latvia,LVA
Lebanon,"2,581",168,72,289,87,142,41,41,63,127,24,36,32,45,23,72,21,27,18,29,526,10,16,7,8,20,4.0,13.0,8,22,3,14,10.0,,10.0,3.0,8.0,12.0,,,11.0,7.0,10,9.0,7.0,38.0,,16.0,5.0,,3,Lebanon,LBN
Lesotho,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesotho,LSO
Liberia,"3,101",194,6,8,170,38,38,16,64,55,129,,12,,558,,8,485,,26,12,18,9,24,6,11,88.0,47.0,,76,29,129,35.0,8.0,11.0,16.0,3.0,8.0,6,,5.0,11.0,,8.0,9.0,16.0,4,40.0,5.0,,,Liberia,LBR
Libya,499,21,8,15,14,17,14,6,19,14,3,8,10,7,7,3,5,7,7,8,39,4,,28,,12,3.0,10.0,,,,,4.0,3.0,,5.0,,,,,10.0,,,4.0,4.0,,,3.0,,,3,Libya,LBY
Lithuania,658,73,21,31,10,6,243,11,5,12,10,11,13,6,19,,14,,6,,5,3,,10,4,3,4.0,,,3,,,3.0,,,,4.0,,,3,3.0,,,,,3.0,4,4.0,4.0,,,Lithuania,LTU
Luxembourg,30,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,Luxembourg,LUX
Macau,91,6,,17,,4,,27,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macau,MAC
North Macedonia,"1,082",321,31,15,21,10,244,6,10,14,4,,3,,8,,6,,3,8,56,,,,4,4,3.0,5.0,,,,,3.0,,,5.0,6.0,,,,,,,7.0,4.0,7.0,,,12.0,,,North Macedonia,MKD
Madagascar,79,7,,,15,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,Madagascar,MDG
