Country,Total,NAME_LONG,ISO_A3
Seychelles,7,Seychelles,SYC
Sierra Leone,"1,740",Sierra Leone,SLE
Singapore,779,Singapore,SGP
Sint Maarten,45,Sint Maarten,SXM
Slovakia,460,Slovakia,SVK
Slovenia,78,Slovenia,SVN
Somalia,"5,190",Somalia,SOM
South Africa,"2,676",South Africa,ZAF
South Sudan,74,South Sudan,SSD
Spain,"2,928",Spain,ESP
Sri Lanka,"1,767",Sri Lanka,LKA
Sudan,"2,442",Sudan,SDN
Suriname,158,Suriname,SUR
Swaziland,23,Swaziland,SWZ
Sweden,954,Sweden,SWE
Switzerland,656,Switzerland,CHE
Syria,"3,540",Syria,SYR
Taiwan,"4,697",Taiwan,TWN
Tajikistan,516,Tajikistan,TJK
Tanzania,774,Tanzania,TZA
Thailand,"6,197",Thailand,THA
Togo,"1,612",Togo,TGO
Tonga,320,Tonga,TON
Trinidad and Tobago,"3,988",Trinidad and Tobago,TTO
Tunisia,429,Tunisia,TUN
Turkey,"3,834",Turkey,TUR
Turkmenistan,254,Turkmenistan,TKM
Turks and Caicos Islands,40,Turks and Caicos Islands,TCA
Uganda,"1,409",Uganda,UGA
Ukraine,"7,752",Ukraine,UKR
United Arab Emirates,"1,039",United Arab Emirates,ARE
United Kingdom,"12,225",United Kingdom,GBR
United States,358,United States,USA
Uruguay,"1,128",Uruguay,URY
Uzbekistan,"5,194",Uzbekistan,UZB
Venezuela,"8,427",Venezuela,VEN
Vietnam,"30,283",Vietnam,VNM
Yemen,"3,492",Yemen,YEM
Zambia,441,Zambia,ZMB
Zimbabwe,797,Zimbabwe,ZWE
