Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Chicago-Naperville-Elgin, IL-IN-WI","Seattle-Tacoma-Bellevue, WA","Boston-Cambridge-Newton, MA-NH","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Orlando-Kissimmee-Sanford, FL","San Diego-Chula Vista-Carlsbad, CA","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Sacramento-Roseville-Folsom, CA","Las Vegas-Henderson-Paradise, NV","Charlotte-Concord-Gastonia, NC-SC","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","San Antonio-New Braunfels, TX","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Cincinnati, OH-KY-IN","Providence-Warwick, RI-MA","El Paso, TX","Hartford-East Hartford-Middletown, CT","Saint Louis, MO-IL","Kansas City, MO-KS","Jacksonville, FL","Worcester, MA-CT","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","Stockton, CA","Cleveland-Elyria, OH","Trenton-Princeton, NJ","Milwaukee-Waukesha, WI","Oklahoma City, OK","Cape Coral-Fort Myers, FL",Non-CBSA,Other & Unknown
Brazil,18351,1886,716,2771,445,324,362,388,316,230,1472,195,458,289,1530,303,112,359,78,287,87,166,105,28,78,193,104,94,43,49,91,52,38,321,156,44,128,16,79,73,46,110,240,20,7,4,30,28,31,17,77,97,3178
Brunei,24,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Bulgaria,1000,83,33,56,68,14,12,26,154,17,26,20,24,28,9,7,10,,,15,8,7,8,,38,4,12,6,,,,10,,3,4,3,,,,16,,,,,,3,5,,5,4,,29,213
Burkina Faso,551,227,3,,40,34,10,3,5,13,,,7,13,,,,,,,3,4,5,,,3,13,,,13,,,,,,16,,,,,,,3,,,,6,,3,,,5,104
Burma,2143,64,71,8,27,27,107,69,56,30,13,7,62,12,6,4,39,,,3,90,11,17,6,7,32,27,20,8,15,,228,51,,19,,,,3,4,33,19,,5,,,,,89,16,,25,804
Burundi,730,,,,11,28,56,,6,6,5,,14,,,,51,,,3,13,5,8,,12,,,5,8,11,30,9,14,,23,9,,,,,6,,,13,,,5,,,,,,365
Cabo Verde,941,10,,,4,,,,,,609,,,,,,,,,,,,,,,,,,,,,,,,,,263,,,,,,,,,,,,,,,,41
Cambodia,1762,7,237,7,61,69,42,32,31,114,191,21,69,48,,20,24,3,41,5,63,14,19,10,12,8,,18,3,10,3,7,8,5,25,13,23,,4,3,,16,4,13,,15,5,,,6,,41,386
Cameroon,3578,125,55,12,826,226,221,19,71,33,80,15,122,73,12,7,43,40,6,20,151,39,19,,14,24,165,7,47,101,6,18,8,,4,46,7,8,4,11,26,18,23,12,6,4,17,4,9,96,,10,663
Canada,9978,961,635,376,174,426,227,351,240,409,257,289,199,122,127,162,252,296,102,146,103,97,110,38,99,75,58,102,38,58,50,38,68,47,24,27,26,17,26,40,23,34,29,15,5,22,47,12,20,25,44,234,2576
Cayman Islands,58,5,,9,,,,,,,,,,5,5,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,15
Central African Republic,151,7,,,34,,8,,18,13,,,3,,,3,,,,5,,,14,,,,3,,,,,,,,16,,,,,,,,,,,,,,,,,,15
Chad,100,20,,,6,3,,,7,4,,,,,,,,,,,,,6,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,37
Chile,1632,211,96,258,65,40,24,44,33,46,32,11,29,23,43,21,18,3,9,22,23,13,19,4,14,10,5,28,6,6,10,7,4,18,39,,,,,4,,10,3,,,,3,,5,3,4,10,346
"China, People's Republic",49847,8947,6638,371,1169,1219,855,4222,1374,3035,1913,4127,637,968,221,679,349,458,1285,139,287,332,237,327,453,164,292,404,90,167,210,149,94,115,158,173,93,14,87,161,81,65,100,43,5,52,123,157,95,94,15,234,6170
Colombia,15293,2840,403,3671,394,565,267,99,301,96,404,54,358,151,722,86,98,36,80,436,76,85,88,17,84,159,60,49,77,35,60,39,44,178,81,24,82,9,48,19,19,86,34,38,10,5,26,17,25,23,83,87,2465
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic",3906,17,11,6,60,110,242,3,71,60,26,7,131,16,4,24,170,5,,23,48,27,102,,17,80,24,18,20,85,57,46,77,,83,68,13,,6,12,104,13,18,153,,,38,,3,7,,23,1772
"Congo, Republic",219,18,4,,19,13,6,3,11,,5,,10,,,,8,,,,3,3,8,,,,,,,6,3,,,,,7,,,,,,,,,,,,,,,,4,70
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,1991,427,63,203,61,48,39,15,29,25,42,10,61,44,51,9,16,7,14,59,25,19,14,7,6,55,8,11,22,,8,8,12,30,8,6,12,,,7,6,18,3,5,,,3,39,,5,18,12,396
Cote d'Ivoire,1207,268,20,8,102,36,80,3,21,31,18,4,62,56,3,4,9,7,3,5,17,6,15,5,4,9,32,,5,24,5,7,7,,10,17,3,,,6,4,5,3,,,,8,3,4,9,,3,245
Croatia,294,54,25,13,10,9,7,12,15,9,4,7,5,6,,,7,4,,5,,,,,4,,,4,,,,3,,4,,,,,,,3,,,,,,,,,,,4,58
Cuba,23077,389,83,13005,22,1517,396,16,42,19,26,8,133,21,429,18,159,6,7,1667,18,424,40,,555,46,6,45,144,8,24,4,57,,,4,7,16,4,4,43,191,3,498,24,,,,8,13,578,68,2274
Curacao,29,3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Cyprus,102,32,9,6,11,3,,,,,,,,3,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Czechia,496,50,28,28,19,7,7,16,37,12,9,12,9,9,5,13,3,11,,15,4,3,6,,4,,4,14,,,3,,,4,,,,,,4,4,,,,,,,,,,3,8,130
Czechoslovakia (former),48,3,,,,,,4,7,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Denmark,322,46,34,13,15,5,,14,12,6,16,10,10,,3,,4,3,4,5,4,8,,,,,3,3,,,3,,,4,,,,,,,,,,,,,,,3,,,5,69
Djibouti,111,4,,,,,,,3,6,,,,,,,,,,,35,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,41
Dominica,279,94,6,25,13,13,8,,,,3,,7,7,8,,,,,10,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,31,34
Dominican Republic,24553,12331,45,1291,294,107,100,13,90,28,1680,,224,907,607,17,64,49,18,242,36,15,22,7,27,148,81,8,27,62,71,41,24,186,24,55,573,,94,12,7,53,163,7,8,,32,110,24,9,54,203,4256
Ecuador,7532,3841,164,621,117,108,41,23,183,33,68,6,54,93,142,21,29,9,29,80,129,20,11,,24,127,36,7,16,16,12,8,19,163,26,12,24,,46,15,9,14,36,11,11,,8,59,5,6,39,34,920
Egypt,4396,914,516,64,202,135,67,119,104,76,95,45,50,103,94,41,48,77,130,97,29,17,21,21,15,12,30,44,16,27,25,38,148,14,8,16,25,,11,12,6,19,29,8,,9,32,13,19,3,3,13,733
El Salvador,18668,2591,2535,401,2970,1369,800,772,120,106,542,174,298,90,80,48,94,29,285,56,97,107,128,67,321,222,360,43,64,53,90,60,134,38,73,22,68,11,20,9,41,27,60,17,5,44,22,9,4,17,23,153,2899
Equatorial Guinea,29,,,,,12,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Eritrea,1304,,15,5,90,24,59,170,39,128,16,21,35,12,,12,19,4,,,31,13,60,10,30,26,10,15,15,66,,17,18,,11,12,,,,4,6,,4,10,,,,,,,,3,281
Estonia,140,14,9,10,3,6,4,,10,4,,6,,5,,,,,,6,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,35
Eswatini,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Ethiopia,3706,43,82,7,784,71,211,86,53,306,66,41,158,46,3,32,36,6,4,17,323,22,189,18,118,30,50,75,16,119,10,17,58,,4,25,3,,9,10,43,12,,15,,,8,,3,6,,22,443
Fiji,419,4,13,,,,,46,,38,,8,,,,,6,,8,,,,,123,6,,,21,,,,,,,,,,,,,,,,,,28,,,,,,7,93
Finland,324,25,16,20,11,9,7,20,10,18,12,27,4,4,5,,,3,,6,5,3,,,,,,8,,,7,,,,,,3,,,,,,,,,,,,4,,,10,67
France,4107,774,410,409,156,108,60,267,107,86,189,116,80,57,42,86,23,51,19,43,37,31,37,13,32,12,18,27,10,10,25,11,11,22,12,16,9,5,11,20,9,4,4,7,,,5,12,13,4,4,22,567
French Polynesia,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,123,16,3,,16,9,6,,,,3,,7,,,,,,,,,,5,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,,28
Gambia,778,188,9,3,38,4,22,,4,84,10,,64,6,,,,7,6,3,9,,4,,3,11,19,5,3,35,31,,3,,,3,14,,3,,5,,,15,,,,,,,,,151
Georgia,1239,713,72,14,32,3,6,14,18,3,5,19,11,112,10,4,3,7,,4,5,,9,3,,5,10,20,3,,,,,13,,10,,,,,,,,,,,7,3,,,3,,82
Germany,3900,447,255,144,143,75,75,166,118,104,125,103,76,61,52,73,56,85,24,49,30,44,32,18,31,39,17,29,24,6,15,9,19,21,23,24,9,11,19,11,19,24,3,14,3,4,8,11,10,8,44,61,1029
Ghana,3939,1028,33,14,462,65,72,16,117,43,40,5,177,102,44,10,36,24,18,14,50,10,46,6,9,34,99,21,8,214,13,8,17,13,,49,11,6,71,14,9,5,121,12,,,9,15,4,26,,23,690
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,842,219,55,27,40,13,11,32,35,20,61,11,7,36,6,6,12,6,7,24,4,,5,,,9,13,3,5,,,4,5,3,,,6,,,6,,3,6,,,,4,,,,3,,116
Grenada,370,217,,16,15,11,10,5,,,4,,11,5,3,,,,,3,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,5,48
Guatemala,8904,966,1161,418,471,192,113,698,139,68,300,58,145,113,46,92,90,18,158,54,45,53,66,33,83,43,75,101,38,13,34,22,62,117,36,62,215,5,11,9,40,11,30,33,12,37,5,87,6,43,44,143,1990
Guinea,745,300,4,4,39,11,3,3,8,13,19,,51,40,,,7,,,,22,4,4,,,,12,,3,34,,11,,,,5,4,,,4,6,,,,,,,,,,,5,116
Guinea-Bissau,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Guyana,3435,2336,12,133,60,21,19,,9,,10,,91,37,96,3,8,,3,35,47,,3,,4,,14,,,,,,4,11,,3,,,22,,4,7,,,,,3,5,,,3,12,395
Haiti,11456,2461,18,3829,96,20,24,9,48,15,917,,156,231,832,28,19,4,7,155,7,10,17,,11,24,28,9,5,31,7,98,20,152,,3,120,,28,4,24,85,41,17,,,7,58,4,3,169,55,1542
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,10116,1354,591,1122,655,715,320,184,139,46,180,60,191,86,120,45,54,23,75,128,49,169,61,12,67,234,131,30,86,30,88,69,68,61,28,20,45,5,26,14,51,46,3,23,9,17,11,19,5,17,41,125,2368
Hong Kong,1334,238,206,18,25,27,30,140,26,90,31,68,16,26,10,19,13,9,16,,9,8,13,16,19,11,5,15,,,12,,4,10,5,,7,,,4,,,,4,,,3,7,3,,,10,143
Hungary,730,123,41,64,20,17,4,20,19,18,16,13,16,15,12,11,8,5,,24,6,12,6,,10,3,3,13,,3,,4,3,13,,12,,,,,,10,,,,,3,7,,,,5,157
Iceland,83,8,4,,5,,,5,,,9,,,,5,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22
India,93450,11699,2552,803,3683,2748,6040,6041,3896,4790,2491,4735,3338,2733,511,941,1450,1730,456,737,1496,1588,690,608,177,1466,960,734,382,963,1530,579,577,385,302,639,265,30,903,748,383,366,564,284,15,653,360,856,451,113,29,232,12748
Indonesia,1588,145,231,28,68,54,44,61,28,76,36,31,36,47,12,29,26,11,77,10,10,25,22,10,26,8,12,17,10,5,,9,3,3,5,8,4,,,7,,5,,4,,,5,3,8,9,,21,289
Iran,5734,272,1219,64,319,176,154,224,135,159,162,310,132,78,37,192,56,71,57,43,34,72,62,85,38,15,55,53,27,22,27,16,26,15,26,15,17,,12,36,7,15,16,7,6,4,27,8,17,19,,17,1075
