Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Chicago-Naperville-Elgin, IL-IN-WI","Seattle-Tacoma-Bellevue, WA","Boston-Cambridge-Newton, MA-NH","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Orlando-Kissimmee-Sanford, FL","San Diego-Chula Vista-Carlsbad, CA","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Sacramento-Roseville-Folsom, CA","Las Vegas-Henderson-Paradise, NV","Charlotte-Concord-Gastonia, NC-SC","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","San Antonio-New Braunfels, TX","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Cincinnati, OH-KY-IN","Providence-Warwick, RI-MA","El Paso, TX","Hartford-East Hartford-Middletown, CT","Saint Louis, MO-IL","Kansas City, MO-KS","Jacksonville, FL","Worcester, MA-CT","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","Stockton, CA","Cleveland-Elyria, OH","Trenton-Princeton, NJ","Milwaukee-Waukesha, WI","Oklahoma City, OK","Cape Coral-Fort Myers, FL",Non-CBSA,Other & Unknown
Liberia,2504,170,5,5,162,34,61,7,18,12,44,,82,470,,6,22,4,,6,419,7,14,6,4,107,64,3,4,43,,20,5,,9,3,100,,4,8,12,,41,19,,6,4,65,,8,,7,398
Libya,409,26,18,4,13,31,6,11,4,21,14,4,4,8,6,4,5,13,5,,4,13,20,,,,,7,,13,,,,,,3,,,,3,,,,,,,,,,4,,3,131
Lithuania,487,49,40,29,16,5,7,7,145,9,9,10,6,13,5,7,8,6,,12,,3,9,,,5,,,,,,3,,3,4,,,,,,,,,,,,5,,,,,,53
Luxembourg,32,4,,5,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Macau,46,6,5,,3,,,6,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Madagascar,84,6,4,,23,,,,,6,,,,,,,3,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,19
Malawi,167,5,7,,17,,11,,3,4,,,3,5,,4,,,4,,,6,,,,,,,,3,,,3,,,,,,,,,,,6,,,,,,,,,68
Malaysia,1605,187,94,10,35,58,41,55,60,38,34,70,48,15,6,25,29,18,10,,23,24,9,12,3,22,8,16,9,9,13,93,18,4,3,5,,,,9,8,5,4,,,,3,,34,16,,14,398
Maldives,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,378,175,,3,15,7,4,,6,11,,,9,39,,,4,,,,,,8,,,3,12,,,4,,7,,,,16,,,,,,,,,,,,,,3,,,39
Malta,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Marshall Islands,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Mauritania,144,25,,,14,,3,3,,,,,,6,,,,,,,,,3,,,,,,,19,,6,,,,22,,,,,,,,6,,,,,,,,,26
Mauritius,65,8,,,5,3,,4,,6,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Mexico,107230,2542,11749,1036,554,5419,6071,2522,5375,1191,215,1268,1467,495,304,4520,4379,740,3776,417,672,1457,1941,670,1514,637,141,980,2118,148,357,422,328,119,770,139,71,2459,43,220,493,68,21,205,1983,539,127,22,381,564,152,2433,30996
"Micronesia, Federated States",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,1052,83,41,37,39,8,20,14,197,77,30,12,19,24,22,4,9,,,5,14,,12,63,12,17,5,24,,,5,,,,,3,,,,4,,,,3,,,7,,,,,6,218
Monaco,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,762,12,74,,109,5,5,126,157,32,7,8,,5,,8,7,,,,,4,41,22,,5,7,,,3,,,,,8,3,,,,,,,,3,,,,4,4,,,3,81
Montenegro,266,144,7,7,,,3,3,27,,3,,,,,,,17,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,3,29
Montserrat,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,3819,565,102,115,306,69,74,88,134,31,377,11,67,128,166,24,15,35,25,70,31,19,67,15,29,27,47,20,11,59,67,16,10,21,,42,27,4,15,10,13,9,10,21,,6,12,4,13,30,,32,724
Mozambique,48,6,,,3,,5,,,,,,5,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Namibia,75,5,,4,3,,,4,5,,,,6,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,7309,831,171,59,562,185,752,329,106,119,221,110,88,76,14,31,36,39,27,34,124,144,165,63,19,56,254,45,38,130,91,14,60,10,61,69,23,6,41,50,33,7,23,34,,5,31,,17,41,,33,1829
Netherlands,1009,137,58,37,23,43,20,35,36,24,52,30,14,11,18,16,16,7,7,5,10,7,25,,13,3,7,20,,,,5,4,13,3,7,4,,,5,5,8,,3,,,3,8,5,,,26,226
Netherlands Antilles (former),14,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
New Caledonia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,665,58,68,6,21,10,21,33,21,33,14,17,10,8,6,17,23,5,5,,10,7,11,,,6,4,6,4,,,,5,4,11,5,4,,,5,3,3,,,,,,,,,,14,166
Nicaragua,4220,221,260,1648,175,137,53,205,27,33,26,24,56,49,63,23,19,5,89,41,9,42,16,25,48,36,17,9,22,9,11,31,15,10,13,4,3,,,3,,25,4,3,,8,4,,6,,28,29,629
Niger,182,30,3,,7,,,,,3,4,,8,6,,,,,,,,,,,,,3,,,,,23,,,,9,,,,,,,,,,,,,,,,,72
Nigeria,13100,1663,426,92,841,1292,1046,137,569,113,262,30,1001,273,93,49,113,141,136,57,168,83,60,39,63,78,671,60,71,157,79,450,89,31,23,57,83,11,25,74,37,29,18,25,4,17,54,27,33,93,4,65,1988
North Macedonia,745,172,12,42,5,10,6,6,142,8,7,,3,12,,5,8,45,,12,4,,,,6,4,,,3,9,,,,8,,4,,,,,5,3,,,,,,,,3,,15,166
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,226,25,19,7,9,28,7,10,3,7,,5,,,6,11,6,,,,,,,,,,,5,3,4,,,,3,,,,,,,,,,,,,,,,,,3,48
Oman,154,14,10,,6,4,8,,4,7,,4,6,,11,,,4,,,,3,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,43
Pakistan,9691,2110,239,132,851,787,477,241,561,145,135,89,242,242,56,36,48,197,73,52,48,84,39,177,17,33,214,23,43,80,34,49,8,25,12,29,58,7,34,43,43,13,39,19,4,156,15,27,38,39,7,31,1490
Palau,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Panama,844,112,26,116,34,36,28,13,15,8,13,3,31,6,35,6,8,5,5,24,6,13,6,5,6,,8,,17,3,6,,7,,,,3,3,,7,3,6,,3,,,4,,5,3,5,8,180
Papua New Guinea,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Paraguay,356,137,9,44,26,10,,,,,3,,3,,5,,3,3,4,3,,,,,3,,,3,3,,,,,10,,,,,3,,,,,,,,,,,,,6,55
Peru,5044,985,303,807,438,89,92,121,61,46,59,24,71,35,122,24,31,10,46,83,28,19,47,9,51,49,34,26,17,8,14,17,16,64,80,20,14,5,51,10,9,19,9,13,4,7,20,9,13,7,22,36,850
Philippines,27511,2060,2817,498,683,583,342,970,892,490,128,427,193,229,1349,697,382,165,498,222,194,98,108,183,757,471,185,182,145,54,43,65,535,46,67,390,52,32,55,138,86,148,34,92,25,141,45,10,45,66,43,1394,7957
Poland,2970,757,97,80,59,25,26,61,787,38,64,67,15,55,15,32,25,46,13,25,14,10,14,7,15,4,19,19,3,3,12,3,5,35,10,3,5,,70,5,,4,,,,,,23,8,,7,24,353
Portugal,750,189,21,70,18,16,13,13,18,7,64,16,4,11,7,6,3,,3,4,,5,,,,,5,6,,,,,,17,4,,75,,7,,,,,3,,,,,,,,4,119
Qatar,323,23,29,7,16,17,17,6,10,5,4,6,,,25,3,9,19,5,4,,,,7,,4,,4,,3,7,3,5,,,,,,,,,,,,,4,,,,,,,62
Romania,1846,165,77,122,58,50,23,37,157,69,50,33,48,28,12,16,103,77,21,16,7,8,7,18,26,4,9,48,12,,8,3,9,9,4,5,3,,8,,6,6,3,3,,,21,,,,16,24,411
Russia,5525,855,708,427,190,80,64,252,179,186,143,276,64,121,58,88,35,33,30,77,41,61,73,111,45,39,41,71,7,7,22,14,9,42,17,25,10,,13,22,,22,16,8,,,16,10,15,7,9,60,818
Rwanda,784,10,10,,5,46,56,5,26,16,6,,26,5,,5,26,,,,22,6,9,,,6,,10,6,9,4,10,6,,24,3,,,,3,8,3,,34,,,,,,5,,6,355
Saint Kitts and Nevis,113,29,,21,,,4,,,,3,,7,3,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14
Saint Lucia,457,201,,36,9,10,8,,5,,8,,14,6,28,,,4,,12,,,,,,5,3,,,,,,,8,,,,,15,3,,,,,,,,,,,,14,52
Saint Martin (French),9,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,228,134,,14,,,,,5,,3,,8,5,7,,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,24
Samoa,130,,16,,,,,3,,21,,,,,,,3,,7,,,,,,4,,,,,,,,,,7,,,,,,,,,,,,,,,,,4,56
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,1780,175,113,36,93,129,73,54,111,42,37,30,25,19,35,15,20,61,15,21,27,10,14,6,6,16,17,13,9,26,8,23,7,,5,18,,,6,14,9,3,,6,,3,14,5,8,5,,8,384
Senegal,962,336,16,14,55,21,12,4,7,11,8,,47,17,,,4,14,,4,6,,8,,4,6,27,,,50,13,9,4,,,43,28,,,3,10,3,,7,,,5,,3,,,,147
Serbia,810,143,26,91,42,21,11,14,138,10,14,11,6,9,10,9,17,8,3,11,4,3,9,,11,5,3,6,,,3,,4,3,,,5,,,,,3,,,,,4,,7,,,12,124
Serbia and Montenegro (former),403,78,17,16,21,6,3,9,83,3,10,,8,4,5,4,7,7,,9,5,4,3,3,3,,,,,,,,,,,,,,,,4,,,,,,,,6,,,4,58
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,1227,168,12,3,306,19,25,6,10,13,37,9,39,160,,,12,9,5,8,23,,3,12,5,6,24,,3,97,9,,,,,,,,,4,,,4,,,,,11,,,,3,163
Singapore,799,110,53,12,17,35,28,75,30,47,21,73,6,9,5,13,8,10,5,4,8,19,,,5,5,,8,4,3,10,,6,3,3,10,,,,3,,,,,,4,3,6,,,,3,122
Sint Maarten,24,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,311,56,15,22,14,,3,11,25,6,7,3,,9,7,,6,3,,,,,,,,,,,,,,,,6,4,,,,,,,,,,,,,,,,,4,82
Slovenia,87,14,5,4,,,,,3,,,,,,,5,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
Somalia,961,,4,,15,5,15,,16,62,13,3,7,,,23,9,,,,311,,18,,,4,,5,,135,4,7,9,,7,4,,,,,14,,,19,,,,,,,,15,226
South Africa,2716,193,126,155,102,74,77,80,93,88,47,28,102,32,18,49,28,29,10,17,23,29,45,17,12,73,31,31,16,18,27,14,15,29,9,7,17,,10,16,14,25,3,9,,,7,4,10,7,3,109,733
South Sudan,69,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,36
Soviet Union (former),1082,163,141,72,36,10,16,69,66,19,34,44,8,39,10,23,12,6,5,15,7,7,16,22,10,5,6,10,,,,,3,9,,10,,,3,,,3,3,,,,3,3,,,,12,150
Spain,2644,460,159,457,114,82,53,92,77,32,98,60,44,36,27,53,18,33,18,31,24,33,20,6,9,18,6,10,13,5,16,4,12,23,,12,10,5,7,6,,10,5,3,,,10,9,4,,11,8,395
Sri Lanka,1232,184,129,10,67,34,49,26,26,13,35,25,20,11,10,8,4,15,9,14,16,10,12,13,17,8,10,33,,15,12,6,7,,8,7,4,,17,4,,,6,4,,5,,,3,,,15,302
Sudan,871,53,20,8,77,21,52,12,31,36,8,3,12,28,,8,26,10,5,,10,7,23,4,4,6,12,,5,8,,7,6,,8,,,,5,,3,7,3,6,,,6,,5,,,4,313
Suriname,117,60,4,10,3,3,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Sweden,788,107,101,41,25,11,21,41,25,21,22,50,12,3,11,25,12,,8,3,17,7,4,6,4,4,3,5,3,11,3,3,5,5,3,,,,,6,3,6,,,,,,,,,,5,133
Switzerland,614,96,47,34,30,11,18,18,15,10,31,17,7,5,6,15,20,,,7,5,6,4,,8,,3,4,5,3,3,,3,5,3,13,,,,,,8,,,,,,3,,,,12,119
Syria,1748,129,227,36,48,72,39,20,98,15,34,13,30,16,19,51,33,98,65,23,17,3,11,25,5,3,4,14,8,12,10,9,7,8,3,6,24,,5,5,14,35,6,11,,13,16,,3,,,9,392
Taiwan,4246,437,625,36,124,105,135,379,62,255,109,602,37,44,12,108,28,31,81,16,26,78,18,33,42,8,28,88,13,9,16,6,10,13,26,11,,7,8,6,9,4,5,,,,5,6,4,9,,17,510
Tajikistan,538,234,18,3,30,5,5,3,17,3,,3,4,46,5,,,,,,8,,24,,4,,,,,,,,,,,9,,,,,,,,,,,,,,,,,94
Tanzania,1438,36,13,4,46,66,54,5,23,18,23,,44,6,7,12,55,7,,13,29,,38,,7,7,22,10,17,35,19,9,36,,18,,8,,8,12,87,13,4,35,,,7,,,,,3,573
Thailand,4037,269,401,78,180,88,103,99,100,132,110,35,74,31,36,64,58,31,60,48,111,25,43,24,94,16,23,95,23,15,5,26,19,10,29,15,10,,15,19,18,10,4,6,,4,5,3,21,16,,90,1242
Togo,1143,163,6,,118,4,23,,42,,9,,55,23,4,5,9,,,3,68,5,13,,,25,9,3,14,13,13,16,,3,4,12,,,14,13,5,,,15,,,,,3,,,14,399
Tonga,171,,9,,,,11,30,,,,11,,,,,3,,4,,,,,10,,,,7,,,,,,,23,,,,,,,,,,,4,,,,,,,50
Trinidad and Tobago,1852,816,13,212,50,71,12,5,12,4,31,4,43,45,62,,9,4,,28,,4,3,,4,9,41,,4,,5,,4,5,,6,3,,5,,,12,,,,,,4,4,,3,9,287
Tunisia,514,59,35,15,43,21,9,32,15,7,12,4,7,22,10,9,4,7,7,7,,3,,3,3,4,,,,8,,6,,,4,3,,,,6,,3,,3,,,,,9,3,,8,106
Turkey,4465,878,307,158,219,196,93,160,168,125,162,130,91,143,49,73,40,30,18,48,37,47,44,28,20,21,43,29,38,12,26,17,16,18,10,23,15,7,20,28,18,21,5,3,,3,37,4,7,19,5,18,738
Turkmenistan,161,40,,4,6,13,4,6,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,4,,,,26
Turks and Caicos Islands,53,4,,25,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Uganda,1146,24,37,5,51,22,43,15,35,31,133,8,42,12,,13,17,12,7,5,15,4,17,4,5,,10,9,5,18,3,12,11,3,14,,4,,4,6,40,4,7,28,,,9,,7,,,10,379
Ukraine,7578,1019,365,254,151,76,83,156,618,604,130,200,105,250,42,85,53,113,23,43,52,98,75,383,23,65,44,334,21,29,13,13,13,60,16,27,9,,38,24,13,64,11,11,,,136,10,36,9,13,59,1504
United Arab Emirates,1332,128,76,22,55,124,60,38,43,37,15,29,21,23,51,10,15,54,26,12,12,10,14,7,4,24,14,4,5,4,8,10,18,5,,10,,3,3,4,3,6,,,,3,5,,8,,,10,289
United Kingdom,9229,1411,774,287,320,333,240,390,238,246,262,152,219,201,149,121,141,93,49,111,64,105,88,20,78,97,50,106,44,34,63,35,77,119,22,56,29,,31,22,28,43,38,24,,10,21,12,23,32,29,108,1981
United States,256,38,16,18,26,7,14,5,3,,6,5,3,,8,3,3,,8,5,,4,,,,,,,6,,,,,3,5,,,,,,,,,,,,,,,,,,43
Uruguay,830,150,19,219,26,23,23,11,13,4,8,7,31,11,10,7,5,,5,8,3,4,7,,3,8,,,,,4,,,4,7,,,,,,,8,20,,,3,4,5,,,6,8,146
Uzbekistan,990,373,53,26,34,8,15,22,42,13,5,15,8,74,12,6,8,3,,,7,,5,12,4,10,14,5,,3,6,,18,,,28,,,,3,3,,,,,,6,,,,,3,129
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,14412,793,237,5202,206,868,291,93,513,54,122,38,270,96,1217,50,90,37,56,331,61,92,120,29,88,89,33,73,68,106,82,182,77,34,207,42,24,22,15,11,66,83,12,29,18,8,27,15,35,33,73,56,1938
Vietnam,16312,333,2139,237,501,1426,818,421,262,632,362,798,710,248,155,303,240,128,172,176,180,201,179,200,128,123,93,242,111,48,53,36,47,31,73,36,23,,47,87,61,61,74,39,6,53,16,,39,146,24,98,3690
"Virgin Islands, British",39,6,,6,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6
Yemen,4345,1118,12,,34,15,16,295,165,12,4,13,4,53,4,4,,1095,6,,10,,3,7,,12,25,4,,4,13,20,21,,,,,,13,10,,,,,,29,4,,,,,57,1249
Zambia,361,27,5,4,14,6,27,4,21,6,10,,14,,8,,6,6,,6,7,3,5,,3,5,11,3,,8,3,5,,,,,8,,,,,,,,,,,,3,,,4,115
Zimbabwe,737,37,27,7,46,12,65,5,13,25,31,4,17,14,26,4,9,3,5,7,5,,6,,,9,,,6,9,4,13,3,,3,20,3,3,,,3,,,3,,,4,,,,,10,260
Unknown,1011,177,29,33,20,31,27,10,118,17,8,7,19,25,15,6,7,20,16,11,6,3,15,18,3,6,,13,,9,4,5,4,5,,8,,,7,16,,4,,,,,14,,15,,,8,239
