NAME,Total
"Atlanta-Sandy Springs-Alpharetta, GA",21310.0
"Austin-Round Rock-Georgetown, TX",7423.0
"Baltimore-Columbia-Towson, MD",7338.0
"Boston-Cambridge-Newton, MA-NH",24426.0
"Bridgeport-Stamford-Norwalk, CT",4011.0
"Cincinnati, OH-KY-IN",4367.0
"Cleveland-Elyria, OH",2942.0
"Columbus, OH",5581.0
"Fresno, CA",3157.0
"Dallas-Fort Worth-Arlington, TX",32704.0
"Denver-Aurora-Lakewood, CO",8878.0
"Detroit-Warren-Dearborn, MI",11581.0
"El Paso, TX",4060.0
"Cape Coral-Fort Myers, FL",3049.0
"Charlotte-Concord-Gastonia, NC-SC",6233.0
"Chicago-Naperville-Elgin, IL-IN-WI",34380.0
"Worcester, MA-CT",2926.0
"Hartford-East Hartford-Middletown, CT",3309.0
"Houston-The Woodlands-Sugar Land, TX",39805.0
"Indianapolis-Carmel-Anderson, IN",4341.0
"Jacksonville, FL",3557.0
"Kansas City, MO-KS",4250.0
"Las Vegas-Henderson-Paradise, NV",9876.0
"Los Angeles-Long Beach-Anaheim, CA",75192.0
"Louisville/Jefferson County, KY-IN",3113.0
"McAllen-Edinburg-Mission, TX",3049.0
"Miami-Fort Lauderdale-Pompano Beach, FL",72460.0
"Milwaukee-Waukesha, WI",3139.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",4824.0
"New York-Newark-Jersey City, NY-NJ-PA",152966.0
"Orlando-Kissimmee-Sanford, FL",14080.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17698.0
"Phoenix-Mesa-Chandler, AZ",13211.0
"Portland-Vancouver-Hillsboro, OR-WA",7215.0
"Providence-Warwick, RI-MA",4446.0
"Raleigh-Cary, NC",4229.0
"Riverside-San Bernardino-Ontario, CA",14092.0
"Sacramento-Roseville-Folsom, CA",10478.0
"Salt Lake City, UT",4063.0
"San Antonio-New Braunfels, TX",5846.0
"San Diego-Chula Vista-Carlsbad, CA",14838.0
"San Francisco-Oakland-Berkeley, CA",32222.0
"San Jose-Sunnyvale-Santa Clara, CA",18188.0
"Seattle-Tacoma-Bellevue, WA",19633.0
"Stockton, CA",3065.0
"Urban Honolulu, HI",3641.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",33497.0
