NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Swaziland,Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"San Jose-Sunnyvale-Santa Clara, CA",131.0,,15.0,,,,58.0,17.0,,74.0,11.0,37.0,,8.0,106.0,,79.0,26.0,,,,,8.0,13.0,,173.0,,25.0,,36.0,,,48.0,18.0,313.0,,,,24.0,3234.0,67.0,4.0,,17.0,6.0,34.0,,,7.0,7.0,3.0,,13.0,6.0,65.0,275.0,33.0,8.0,,163.0,17.0,54.0,,,22.0,180.0,6.0,32.0,,91.0,4.0,,,4.0,77.0,137.0,33.0,,2562.0,45.0,444.0,62.0,50.0,339.0,68.0,5.0,194.0,43.0,43.0,28.0,,787.0,15.0,17.0,3.0,3.0,36.0,,8.0,11.0,,7.0,,,,95.0,,,,,2188.0,16.0,7.0,,,22.0,,,123.0,44.0,25.0,32.0,,53.0,5.0,173.0,5.0,,,72.0,1238.0,69.0,25.0,3.0,57.0,440.0,,,,,,,31.0,,18.0,14.0,74.0,,6.0,5.0,7.0,41.0,,103.0,26.0,15.0,,64.0,24.0,21.0,643.0,9.0,3.0,67.0,,22.0,4.0,12.0,135.0,,,5.0,266.0,39.0,243.0,8.0,,24.0,36.0,2339.0,,3.0,,7.0,19595.0
"Seattle-Tacoma-Bellevue, WA",724.0,30.0,18.0,5.0,,,40.0,25.0,,137.0,4.0,39.0,,6.0,63.0,,89.0,16.0,4.0,9.0,,26.0,9.0,19.0,,219.0,,50.0,10.0,72.0,13.0,,196.0,12.0,450.0,,,,30.0,1988.0,80.0,109.0,8.0,22.0,5.0,41.0,,,10.0,19.0,12.0,,22.0,19.0,149.0,149.0,226.0,4.0,,854.0,72.0,83.0,,131.0,22.0,113.0,54.0,14.0,3.0,86.0,24.0,,4.0,20.0,89.0,92.0,21.0,14.0,1642.0,82.0,371.0,443.0,40.0,139.0,39.0,39.0,147.0,50.0,58.0,337.0,,603.0,25.0,13.0,17.0,13.0,32.0,12.0,10.0,13.0,,4.0,3.0,3.0,6.0,54.0,16.0,3.0,,,1386.0,198.0,29.0,,,29.0,,3.0,228.0,30.0,25.0,14.0,,103.0,,197.0,8.0,,,84.0,1064.0,69.0,10.0,,88.0,402.0,7.0,,,,25.0,,46.0,20.0,10.0,19.0,39.0,,4.0,,323.0,135.0,5.0,64.0,10.0,63.0,,34.0,10.0,72.0,206.0,10.0,29.0,116.0,17.0,13.0,7.0,4.0,126.0,10.0,,56.0,1005.0,34.0,263.0,5.0,3.0,31.0,44.0,1355.0,,19.0,6.0,7.0,19307.0
"San Diego-Chula Vista-Carlsbad, CA",503.0,10.0,13.0,4.0,,,22.0,7.0,,74.0,16.0,6.0,,,36.0,,22.0,8.0,,3.0,,,6.0,7.0,,302.0,,20.0,,56.0,12.0,,53.0,8.0,202.0,,5.0,3.0,17.0,871.0,102.0,146.0,,17.0,3.0,122.0,,,10.0,11.0,,,38.0,14.0,79.0,63.0,35.0,,,185.0,,4.0,,,7.0,120.0,27.0,10.0,,197.0,,,,38.0,51.0,16.0,21.0,,454.0,25.0,315.0,1391.0,17.0,110.0,94.0,36.0,146.0,113.0,15.0,84.0,,383.0,22.0,3.0,15.0,4.0,45.0,,7.0,6.0,,,,,,30.0,,,,,6827.0,22.0,,,,23.0,,,24.0,11.0,19.0,20.0,,75.0,6.0,63.0,7.0,,,64.0,1818.0,30.0,12.0,7.0,25.0,140.0,9.0,,,,7.0,,21.0,7.0,36.0,5.0,6.0,,3.0,6.0,87.0,39.0,4.0,60.0,9.0,30.0,,33.0,16.0,838.0,143.0,,92.0,99.0,8.0,,4.0,17.0,109.0,10.0,,76.0,131.0,17.0,194.0,8.0,5.0,18.0,49.0,851.0,,13.0,6.0,5.0,19181.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",67.0,358.0,236.0,4.0,,14.0,30.0,26.0,4.0,41.0,8.0,13.0,,,556.0,7.0,126.0,,,24.0,,26.0,,5.0,,198.0,,28.0,23.0,74.0,4.0,,117.0,100.0,131.0,,,,17.0,1244.0,129.0,82.0,,53.0,5.0,83.0,,5.0,9.0,3.0,,3.0,1683.0,136.0,270.0,103.0,22.0,,,106.0,,8.0,,10.0,120.0,73.0,226.0,48.0,,165.0,85.0,,81.0,457.0,124.0,20.0,9.0,,2108.0,51.0,90.0,95.0,32.0,77.0,53.0,516.0,39.0,84.0,27.0,100.0,,292.0,19.0,57.0,4.0,7.0,23.0,558.0,7.0,19.0,,,8.0,,7.0,23.0,60.0,,9.0,,750.0,28.0,3.0,,,121.0,,,128.0,10.0,5.0,25.0,7.0,321.0,,401.0,9.0,,3.0,69.0,339.0,72.0,12.0,6.0,30.0,196.0,3.0,,11.0,19.0,,,34.0,24.0,12.0,143.0,12.0,,6.0,,,37.0,,26.0,26.0,97.0,,20.0,14.0,285.0,41.0,39.0,25.0,63.0,35.0,,78.0,27.0,173.0,11.0,,22.0,438.0,29.0,188.0,,6.0,292.0,69.0,628.0,,19.0,5.0,20.0,17476.0
"Riverside-San Bernardino-Ontario, CA",60.0,8.0,3.0,,,,40.0,5.0,,24.0,,8.0,,,68.0,,4.0,4.0,16.0,,,,11.0,,,69.0,,8.0,,15.0,,,78.0,20.0,104.0,,,,12.0,1174.0,108.0,3.0,,26.0,3.0,83.0,,,3.0,,,,30.0,50.0,207.0,646.0,4.0,,,11.0,7.0,,,,,36.0,42.0,3.0,,394.0,,,4.0,10.0,174.0,28.0,5.0,,583.0,100.0,50.0,51.0,3.0,24.0,19.0,41.0,44.0,85.0,8.0,31.0,,235.0,16.0,,7.0,,72.0,,3.0,,,,,,,12.0,,,,4.0,6902.0,4.0,,,,14.0,,,45.0,11.0,8.0,58.0,,164.0,,174.0,12.0,,,106.0,1209.0,9.0,3.0,6.0,28.0,40.0,6.0,,,,9.0,,24.0,5.0,5.0,9.0,5.0,,,,,16.0,,13.0,18.0,8.0,,5.0,5.0,133.0,144.0,,,80.0,3.0,18.0,3.0,,20.0,3.0,,13.0,21.0,16.0,77.0,3.0,,6.0,37.0,428.0,,3.0,,4.0,14929.0
"Tampa-Saint Petersburg-Clearwater, FL",44.0,174.0,13.0,3.0,,6.0,48.0,5.0,,14.0,4.0,,25.0,7.0,60.0,,27.0,5.0,9.0,,,,21.0,24.0,,229.0,,24.0,,17.0,,,20.0,21.0,143.0,5.0,,,19.0,193.0,609.0,20.0,,56.0,4.0,6047.0,,,11.0,4.0,,10.0,491.0,124.0,167.0,86.0,,3.0,,42.0,,3.0,,,5.0,49.0,39.0,21.0,,82.0,,,40.0,302.0,234.0,,30.0,,531.0,4.0,32.0,77.0,11.0,32.0,53.0,276.0,17.0,79.0,8.0,13.0,,57.0,9.0,,11.0,8.0,21.0,8.0,5.0,14.0,,,6.0,,,6.0,,,,,695.0,22.0,,,,49.0,,,9.0,20.0,3.0,22.0,,72.0,,44.0,37.0,,4.0,166.0,307.0,34.0,6.0,,33.0,128.0,,8.0,20.0,3.0,,,26.0,9.0,23.0,5.0,,,7.0,,,27.0,,43.0,12.0,40.0,,17.0,5.0,188.0,20.0,3.0,,52.0,9.0,,39.0,14.0,63.0,,,8.0,106.0,13.0,104.0,4.0,19.0,14.0,389.0,406.0,,3.0,,6.0,14273.0
"Minneapolis-Saint Paul-Bloomington, MN-WI",63.0,7.0,9.0,3.0,,,22.0,,,26.0,,,5.0,,57.0,,68.0,3.0,4.0,12.0,,52.0,4.0,7.0,,104.0,,7.0,5.0,318.0,7.0,,146.0,155.0,116.0,,,,21.0,364.0,55.0,92.0,9.0,12.0,,51.0,,,,4.0,58.0,,37.0,269.0,134.0,141.0,102.0,,,1261.0,3.0,11.0,3.0,37.0,,27.0,136.0,3.0,,109.0,27.0,,52.0,24.0,79.0,10.0,,,635.0,18.0,48.0,123.0,10.0,40.0,14.0,39.0,26.0,46.0,21.0,810.0,,98.0,27.0,5.0,177.0,9.0,27.0,485.0,7.0,,,,,,3.0,30.0,,6.0,,,1154.0,83.0,,,,31.0,,,158.0,21.0,8.0,23.0,,284.0,,69.0,,,,44.0,360.0,14.0,,4.0,22.0,87.0,7.0,,3.0,,,,34.0,6.0,9.0,41.0,5.0,,8.0,,1537.0,186.0,8.0,11.0,25.0,29.0,,14.0,10.0,25.0,20.0,13.0,24.0,293.0,70.0,,11.0,4.0,36.0,3.0,,68.0,147.0,8.0,80.0,,6.0,22.0,36.0,479.0,,25.0,3.0,22.0,12725.0
"Orlando-Kissimmee-Sanford, FL",3.0,21.0,4.0,,,20.0,51.0,3.0,12.0,29.0,3.0,10.0,74.0,,84.0,10.0,16.0,10.0,4.0,,,,14.0,3.0,,830.0,,12.0,,10.0,5.0,5.0,5.0,14.0,116.0,,3.0,,37.0,206.0,778.0,42.0,3.0,38.0,6.0,1709.0,6.0,,,4.0,,27.0,907.0,193.0,103.0,100.0,6.0,5.0,,17.0,,,,,9.0,35.0,20.0,8.0,7.0,66.0,,,153.0,1325.0,160.0,9.0,19.0,,419.0,6.0,46.0,68.0,14.0,32.0,36.0,750.0,33.0,41.0,7.0,132.0,,34.0,15.0,4.0,,,18.0,,7.0,6.0,,,3.0,,,6.0,,,,,405.0,56.0,,,,134.0,,,11.0,6.0,8.0,39.0,,97.0,,84.0,27.0,,3.0,164.0,420.0,12.0,10.0,,21.0,78.0,,9.0,34.0,8.0,,,12.0,3.0,10.0,,5.0,5.0,,,5.0,48.0,,32.0,12.0,8.0,9.0,7.0,,75.0,12.0,8.0,21.0,38.0,,,74.0,15.0,54.0,,5.0,4.0,53.0,32.0,215.0,6.0,4.0,20.0,853.0,293.0,4.0,4.0,17.0,6.0,12641.0
"Phoenix-Mesa-Chandler, AZ",171.0,20.0,7.0,,,,20.0,3.0,,22.0,3.0,,,,105.0,,3.0,7.0,6.0,,,12.0,11.0,21.0,,53.0,,21.0,,143.0,36.0,,21.0,73.0,201.0,4.0,21.0,11.0,15.0,330.0,67.0,347.0,53.0,27.0,6.0,664.0,,,6.0,,3.0,,36.0,23.0,46.0,86.0,59.0,,,116.0,14.0,,,5.0,,34.0,41.0,4.0,3.0,163.0,8.0,,9.0,29.0,59.0,16.0,9.0,,612.0,13.0,140.0,527.0,8.0,27.0,22.0,37.0,26.0,82.0,12.0,90.0,3.0,100.0,11.0,,5.0,4.0,29.0,26.0,8.0,,,,8.0,,5.0,80.0,4.0,,3.0,,4536.0,16.0,6.0,3.0,,20.0,,3.0,75.0,17.0,9.0,12.0,,63.0,,103.0,3.0,,5.0,44.0,427.0,26.0,,7.0,57.0,64.0,57.0,,3.0,,3.0,,25.0,3.0,10.0,16.0,6.0,,8.0,,95.0,23.0,9.0,17.0,10.0,61.0,,9.0,5.0,536.0,33.0,,199.0,46.0,10.0,6.0,7.0,5.0,46.0,3.0,,88.0,38.0,19.0,69.0,5.0,5.0,10.0,44.0,436.0,,,,10.0,12626.0
"Detroit-Warren-Dearborn, MI",64.0,583.0,18.0,,,,14.0,6.0,,59.0,13.0,7.0,4.0,5.0,1046.0,,18.0,5.0,,,,,3.0,8.0,,265.0,,14.0,,,,,9.0,37.0,296.0,,,,4.0,347.0,44.0,8.0,3.0,6.0,3.0,28.0,,3.0,12.0,,,,76.0,11.0,133.0,34.0,,3.0,,23.0,,,,17.0,7.0,99.0,24.0,21.0,,16.0,14.0,,,10.0,29.0,7.0,15.0,,1078.0,8.0,116.0,1563.0,5.0,16.0,64.0,67.0,63.0,220.0,,18.0,,278.0,51.0,3.0,9.0,4.0,526.0,12.0,39.0,5.0,,,56.0,,,14.0,,,,,900.0,13.0,,35.0,,23.0,,,49.0,9.0,4.0,5.0,,163.0,,236.0,,,,21.0,250.0,58.0,5.0,9.0,89.0,31.0,,,,3.0,,,63.0,27.0,16.0,6.0,3.0,,,,,17.0,,21.0,19.0,10.0,,4.0,,1274.0,31.0,,3.0,36.0,4.0,,6.0,9.0,72.0,,,21.0,213.0,60.0,74.0,,3.0,30.0,45.0,224.0,,375.0,6.0,6.0,12267.0
"Sacramento-Roseville-Folsom, CA",2303.0,3.0,16.0,,,,10.0,102.0,,13.0,4.0,9.0,4.0,,13.0,,52.0,3.0,,,,6.0,3.0,4.0,,48.0,,4.0,,17.0,,,25.0,8.0,58.0,,,,4.0,583.0,31.0,7.0,,10.0,,14.0,,,4.0,,,,12.0,11.0,37.0,141.0,8.0,,,37.0,190.0,,,,11.0,23.0,11.0,4.0,,65.0,,,,12.0,18.0,18.0,5.0,,960.0,25.0,168.0,374.0,10.0,35.0,29.0,14.0,20.0,70.0,45.0,39.0,,74.0,6.0,30.0,27.0,7.0,10.0,18.0,4.0,3.0,,,,,,28.0,,,,,1521.0,176.0,13.0,,,16.0,,,87.0,17.0,11.0,8.0,,73.0,,325.0,3.0,,,52.0,645.0,6.0,5.0,,45.0,251.0,5.0,,,,,,29.0,,7.0,7.0,,,,5.0,,16.0,,16.0,6.0,11.0,,8.0,5.0,330.0,32.0,6.0,8.0,41.0,,8.0,5.0,3.0,22.0,,,6.0,902.0,16.0,78.0,,3.0,49.0,26.0,671.0,,,4.0,4.0,11540.0
"Austin-Round Rock-Georgetown, TX",286.0,8.0,33.0,,,,13.0,,,21.0,3.0,5.0,,3.0,45.0,,14.0,3.0,3.0,3.0,,12.0,7.0,3.0,,132.0,,3.0,5.0,28.0,9.0,,18.0,30.0,112.0,,,,16.0,315.0,76.0,71.0,3.0,19.0,,1428.0,,,,5.0,,,19.0,34.0,27.0,139.0,26.0,,,63.0,,5.0,,,3.0,35.0,33.0,7.0,,76.0,4.0,,8.0,6.0,192.0,18.0,13.0,,557.0,18.0,110.0,275.0,15.0,23.0,23.0,30.0,38.0,39.0,6.0,27.0,,147.0,9.0,,,3.0,16.0,9.0,,,,,,,5.0,18.0,,,,,2431.0,3.0,,,,29.0,,,190.0,3.0,11.0,19.0,,138.0,,123.0,14.0,,,43.0,135.0,12.0,3.0,3.0,9.0,90.0,30.0,,,,,,10.0,4.0,9.0,4.0,11.0,,3.0,,9.0,27.0,,21.0,13.0,23.0,,11.0,6.0,140.0,78.0,6.0,9.0,25.0,4.0,,17.0,4.0,89.0,,,18.0,77.0,10.0,116.0,5.0,6.0,3.0,94.0,307.0,,3.0,5.0,9.0,9270.0
"Denver-Aurora-Lakewood, CO",211.0,11.0,25.0,,,,26.0,10.0,,44.0,,12.0,,,18.0,,50.0,6.0,,16.0,,65.0,6.0,9.0,,89.0,,16.0,6.0,170.0,5.0,,26.0,20.0,102.0,,39.0,15.0,22.0,334.0,94.0,115.0,18.0,17.0,5.0,131.0,,,10.0,,,,25.0,11.0,27.0,147.0,91.0,,,549.0,3.0,3.0,,6.0,5.0,48.0,105.0,5.0,,63.0,4.0,,3.0,9.0,73.0,12.0,12.0,3.0,288.0,51.0,69.0,235.0,11.0,30.0,22.0,33.0,32.0,36.0,11.0,41.0,,135.0,4.0,9.0,12.0,4.0,7.0,24.0,28.0,10.0,,,,,9.0,51.0,12.0,,,,2586.0,12.0,37.0,,,45.0,,5.0,275.0,5.0,25.0,10.0,,47.0,,66.0,7.0,,8.0,97.0,156.0,36.0,,,19.0,98.0,14.0,,,,,,16.0,15.0,12.0,5.0,8.0,,8.0,,94.0,54.0,3.0,13.0,7.0,101.0,,9.0,4.0,138.0,24.0,36.0,33.0,76.0,12.0,,,6.0,38.0,,,43.0,108.0,15.0,103.0,,3.0,26.0,67.0,425.0,,,,4.0,9165.0
"Las Vegas-Henderson-Paradise, NV",102.0,22.0,,,,,35.0,48.0,,20.0,,3.0,7.0,,27.0,,8.0,3.0,17.0,,,,,9.0,,82.0,,85.0,,6.0,4.0,,18.0,15.0,82.0,,,,5.0,532.0,75.0,45.0,,19.0,,1671.0,,,,,,,50.0,38.0,22.0,399.0,56.0,4.0,,337.0,,,,,5.0,24.0,15.0,3.0,,152.0,,,3.0,17.0,61.0,24.0,28.0,,119.0,17.0,126.0,47.0,4.0,59.0,21.0,26.0,20.0,12.0,4.0,13.0,,98.0,6.0,,3.0,4.0,8.0,6.0,,4.0,,,4.0,,,4.0,,,,,1944.0,28.0,5.0,,,12.0,,,18.0,4.0,6.0,38.0,,53.0,,39.0,9.0,,,67.0,1267.0,10.0,3.0,,24.0,81.0,4.0,,,,4.0,,6.0,4.0,19.0,,3.0,,,4.0,,9.0,,21.0,19.0,22.0,,,5.0,56.0,24.0,7.0,11.0,90.0,,,,,18.0,,,21.0,33.0,,55.0,,9.0,5.0,50.0,193.0,,,4.0,4.0,9091.0
"Portland-Vancouver-Hillsboro, OR-WA",115.0,4.0,3.0,,,,17.0,7.0,,34.0,4.0,3.0,,,41.0,,29.0,,3.0,,,13.0,9.0,11.0,,104.0,,10.0,,92.0,,,33.0,15.0,120.0,,,,18.0,538.0,52.0,41.0,3.0,15.0,,318.0,,,7.0,11.0,,,15.0,16.0,34.0,99.0,32.0,3.0,,153.0,52.0,,,12.0,13.0,68.0,34.0,11.0,,193.0,3.0,,,23.0,39.0,20.0,15.0,,411.0,16.0,89.0,271.0,7.0,49.0,25.0,17.0,42.0,31.0,48.0,58.0,,185.0,10.0,30.0,18.0,5.0,20.0,11.0,12.0,3.0,,,4.0,,,55.0,,,,,1445.0,105.0,3.0,,,9.0,,,63.0,9.0,11.0,9.0,,78.0,,41.0,5.0,,,23.0,284.0,23.0,,,52.0,175.0,14.0,,,,5.0,,24.0,,4.0,5.0,8.0,,4.0,,133.0,24.0,,23.0,23.0,,,7.0,5.0,85.0,104.0,4.0,15.0,96.0,6.0,16.0,4.0,4.0,55.0,,,11.0,552.0,15.0,105.0,,,9.0,33.0,521.0,,3.0,14.0,9.0,8197.0
"Baltimore-Columbia-Towson, MD",49.0,16.0,10.0,,,3.0,8.0,3.0,,18.0,4.0,6.0,,,108.0,5.0,8.0,7.0,3.0,4.0,,26.0,7.0,,6.0,69.0,,12.0,16.0,215.0,,,4.0,221.0,42.0,,,18.0,18.0,429.0,54.0,81.0,5.0,8.0,,42.0,,,,3.0,,3.0,150.0,36.0,84.0,365.0,40.0,,,151.0,,,,13.0,18.0,24.0,172.0,7.0,4.0,108.0,9.0,,30.0,34.0,129.0,13.0,,,643.0,12.0,98.0,78.0,3.0,16.0,15.0,248.0,24.0,41.0,9.0,133.0,,230.0,12.0,,,5.0,4.0,88.0,3.0,4.0,,,3.0,,5.0,46.0,22.0,,,,184.0,9.0,6.0,,,29.0,,,469.0,7.0,5.0,12.0,3.0,661.0,,362.0,5.0,,5.0,40.0,421.0,15.0,4.0,4.0,12.0,51.0,14.0,,3.0,,,,28.0,35.0,3.0,25.0,6.0,,,,,15.0,,13.0,18.0,93.0,3.0,5.0,,222.0,26.0,,30.0,33.0,9.0,,56.0,,49.0,,,35.0,58.0,4.0,64.0,,7.0,79.0,30.0,174.0,,6.0,5.0,8.0,8120.0
"Columbus, OH",37.0,22.0,153.0,,,,13.0,5.0,,7.0,,,4.0,,52.0,,10.0,,,6.0,,219.0,3.0,,,58.0,,7.0,4.0,33.0,6.0,,20.0,82.0,56.0,,,,,231.0,35.0,142.0,14.0,5.0,,19.0,,,,,5.0,,131.0,13.0,67.0,53.0,63.0,,,364.0,,,,42.0,,17.0,453.0,8.0,,25.0,80.0,,,44.0,42.0,11.0,,,398.0,18.0,26.0,261.0,,10.0,23.0,31.0,36.0,103.0,12.0,340.0,,74.0,16.0,,8.0,,13.0,47.0,10.0,,,,5.0,,7.0,21.0,4.0,,28.0,,235.0,3.0,,,,49.0,,,413.0,5.0,,6.0,,134.0,,116.0,,,,32.0,111.0,8.0,,5.0,6.0,27.0,32.0,,,,,,26.0,94.0,3.0,88.0,,,,,826.0,23.0,,10.0,14.0,39.0,,,,205.0,10.0,14.0,50.0,23.0,12.0,,7.0,,37.0,,,33.0,27.0,9.0,58.0,,,29.0,47.0,56.0,,13.0,3.0,5.0,7095.0
"San Antonio-New Braunfels, TX",308.0,9.0,22.0,,,,8.0,,,8.0,,,,,10.0,,8.0,,5.0,,,,17.0,3.0,,34.0,,7.0,,86.0,4.0,,6.0,37.0,50.0,,,,15.0,113.0,98.0,45.0,5.0,25.0,,512.0,,4.0,,,,,40.0,7.0,15.0,92.0,25.0,,,24.0,,,,3.0,3.0,32.0,11.0,3.0,,62.0,,,,4.0,113.0,3.0,3.0,,182.0,10.0,109.0,172.0,,4.0,15.0,43.0,20.0,41.0,4.0,35.0,,51.0,6.0,,,,8.0,,,,3.0,,,,,49.0,,,,,3265.0,,,,,14.0,,,37.0,6.0,,14.0,,82.0,,51.0,12.0,,,32.0,312.0,13.0,,,7.0,20.0,8.0,,,,,,3.0,,7.0,,6.0,,,,6.0,12.0,,14.0,4.0,21.0,,5.0,,17.0,10.0,,4.0,42.0,9.0,,7.0,4.0,41.0,6.0,,8.0,19.0,6.0,50.0,7.0,,3.0,64.0,189.0,,,,4.0,7072.0
"Charlotte-Concord-Gastonia, NC-SC",44.0,3.0,5.0,4.0,,,24.0,,,20.0,,4.0,8.0,3.0,25.0,,33.0,10.0,,4.0,,51.0,5.0,8.0,,106.0,,10.0,,122.0,,,12.0,33.0,89.0,,,,17.0,219.0,197.0,189.0,5.0,70.0,3.0,247.0,,,,,,,257.0,111.0,37.0,316.0,33.0,,3.0,86.0,,,,12.0,,35.0,58.0,5.0,,119.0,3.0,,7.0,25.0,297.0,7.0,,,562.0,,38.0,32.0,16.0,,21.0,91.0,17.0,45.0,24.0,15.0,,46.0,5.0,5.0,9.0,8.0,22.0,76.0,,3.0,,,,,8.0,35.0,5.0,,,,1072.0,15.0,4.0,,,9.0,,,78.0,5.0,5.0,27.0,,74.0,,59.0,5.0,,7.0,73.0,188.0,5.0,,,15.0,114.0,12.0,,4.0,,,,8.0,11.0,6.0,18.0,4.0,,,,15.0,61.0,,19.0,3.0,26.0,,9.0,3.0,130.0,16.0,,5.0,16.0,23.0,,11.0,,20.0,6.0,,4.0,119.0,7.0,75.0,4.0,13.0,,69.0,244.0,,8.0,5.0,9.0,6802.0
"Louisville/Jefferson County, KY-IN",40.0,,14.0,3.0,,,,,,5.0,,,,,6.0,,,,,,,79.0,4.0,7.0,,21.0,,,,47.0,27.0,,17.0,5.0,14.0,,,9.0,,67.0,25.0,267.0,13.0,5.0,,2329.0,,,,,,,14.0,15.0,19.0,20.0,21.0,,,98.0,,,4.0,17.0,,8.0,13.0,,,46.0,3.0,,,42.0,32.0,,,,155.0,,19.0,177.0,,4.0,4.0,13.0,7.0,37.0,3.0,66.0,,8.0,3.0,6.0,,,3.0,29.0,,,,,,,5.0,22.0,,,7.0,,217.0,,,,,13.0,4.0,,126.0,,,5.0,,30.0,,31.0,3.0,,,14.0,107.0,8.0,,,3.0,11.0,65.0,,,,,,,24.0,,,,,,,267.0,9.0,4.0,3.0,12.0,41.0,,,,219.0,3.0,,54.0,7.0,28.0,,,3.0,16.0,,,48.0,6.0,7.0,19.0,,3.0,,32.0,97.0,,6.0,,,5469.0
"Providence-Warwick, RI-MA",15.0,5.0,11.0,10.0,,,4.0,8.0,,10.0,,10.0,,,15.0,,7.0,,,,,,37.0,,,160.0,,13.0,,5.0,,517.0,71.0,4.0,29.0,,,,3.0,137.0,182.0,50.0,3.0,4.0,,24.0,,,,,,5.0,1528.0,24.0,45.0,97.0,6.0,,,8.0,,,,16.0,4.0,13.0,53.0,8.0,,426.0,8.0,4.0,7.0,157.0,67.0,9.0,3.0,,139.0,3.0,13.0,32.0,10.0,6.0,11.0,64.0,9.0,12.0,4.0,12.0,,54.0,,,5.0,,14.0,129.0,,,,,,,4.0,9.0,3.0,,,,73.0,4.0,,,,24.0,,,33.0,,,7.0,,117.0,,52.0,,,3.0,30.0,72.0,10.0,125.0,,11.0,21.0,12.0,3.0,,5.0,,,3.0,37.0,3.0,3.0,3.0,,,,12.0,7.0,,10.0,,,,3.0,3.0,142.0,8.0,,25.0,16.0,4.0,,5.0,,15.0,,,18.0,14.0,,40.0,,,10.0,42.0,63.0,,,,4.0,5447.0
"Indianapolis-Carmel-Anderson, IN",9.0,,44.0,,,,10.0,3.0,,6.0,,,,,41.0,3.0,,,,25.0,,,4.0,,,32.0,,7.0,,729.0,16.0,,5.0,13.0,38.0,,6.0,,,203.0,35.0,135.0,8.0,4.0,,69.0,,,5.0,3.0,,,62.0,11.0,47.0,99.0,32.0,,,66.0,,,,,,14.0,22.0,,3.0,56.0,33.0,,,35.0,89.0,,,,467.0,7.0,18.0,29.0,5.0,3.0,7.0,20.0,13.0,58.0,,39.0,,42.0,8.0,,,,10.0,35.0,4.0,3.0,,,3.0,,4.0,189.0,8.0,,5.0,,634.0,10.0,,,,20.0,,8.0,31.0,3.0,,20.0,8.0,367.0,,83.0,5.0,3.0,,31.0,103.0,11.0,,,9.0,13.0,8.0,,,,,,9.0,16.0,,8.0,,,,,34.0,17.0,,18.0,4.0,52.0,,,,203.0,13.0,,37.0,30.0,26.0,,8.0,7.0,28.0,,,31.0,15.0,6.0,36.0,,,6.0,46.0,61.0,,,6.0,26.0,5109.0
