Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento--Roseville--Arden-Arcade, CA","Orlando-Kissimmee-Sanford, FL","Detroit-Warren-Dearborn, MI","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Austin-Round Rock, TX","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","San Antonio-New Braunfels, TX","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh, NC","Kansas City, MO-KS","Louisville/Jefferson County, KY-IN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Jacksonville, FL","Urban Honolulu, HI","Salt Lake City, UT","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",Non-CBSA,Other & Unknown
Ethiopia,"14,637",160,252,17,"2,791",267,240,267,641,326,779,"1,140",144,213,176,21,147,46,"1,528",88,13,25,551,656,206,87,159,81,359,25,76,8,180,63,189,76,8,D,72,D,45,66,6,65,23,10,9,33,7,D,-,88,"2,203"
Fiji,805,8,40,-,D,D,5,157,D,-,D,69,D,20,3,6,5,D,D,240,4,D,7,-,D,-,14,D,-,-,-,D,D,-,-,-,-,-,D,5,6,-,D,-,D,38,5,-,D,-,-,6,146
Finland,439,50,27,13,8,10,5,30,13,22,15,41,D,56,9,3,3,3,5,-,D,D,-,D,3,D,D,-,D,D,D,D,D,9,D,-,D,-,-,D,D,-,D,-,-,-,-,3,3,D,-,D,83
France,"4,782",979,401,378,187,133,115,410,77,231,65,107,70,177,87,19,26,37,23,25,59,42,38,30,16,62,42,36,4,15,10,23,6,31,4,D,28,3,6,15,11,11,8,11,8,5,7,10,11,9,4,35,633
French Polynesia,20,D,D,-,-,-,-,D,D,-,D,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,7
Gabon,150,13,5,-,12,18,3,-,7,6,8,D,3,-,D,-,3,-,D,-,D,D,D,8,D,-,-,D,-,-,D,-,-,-,-,-,D,-,-,-,-,5,-,D,-,-,-,D,-,-,-,3,41
Gambia,"1,134",299,6,D,53,8,4,5,46,9,93,129,12,-,-,D,3,-,40,D,4,26,3,7,13,D,9,10,30,-,D,30,9,25,8,29,-,-,D,-,D,3,5,D,-,D,-,4,-,-,-,15,185
Georgia,"1,629",925,125,19,21,9,26,13,D,11,23,16,130,21,5,-,3,5,7,5,6,4,7,9,26,-,17,D,6,4,-,3,6,D,D,D,27,-,D,-,3,9,3,-,-,-,-,D,10,5,-,12,97
Germany,"4,662",533,318,151,162,93,132,235,83,145,85,101,80,143,80,32,57,92,33,25,48,108,26,35,37,40,39,35,24,26,20,17,9,24,11,7,22,18,22,23,16,16,13,31,12,D,7,5,16,22,D,85,"1,265"
Ghana,"8,455","2,256",80,29,"1,089",130,274,43,230,129,366,88,220,12,32,34,33,36,98,15,19,31,D,142,233,30,28,62,421,7,33,51,44,19,23,16,35,19,26,D,9,126,172,25,321,D,7,10,19,-,-,68,"1,252"
Gibraltar,5,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Greece,"1,314",343,58,43,57,28,81,33,9,108,12,12,62,23,9,6,7,26,D,4,D,23,8,5,18,5,D,10,5,D,D,5,D,-,D,D,16,D,5,-,-,6,4,7,20,D,-,7,4,D,-,8,216
Grenada,544,389,D,10,21,13,D,-,11,8,5,-,6,-,-,D,D,D,-,-,7,-,-,-,7,-,-,3,-,D,-,-,-,D,-,-,3,-,-,-,-,-,D,-,-,-,-,-,-,-,-,9,42
Guam,D,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,"13,198","1,175","2,221",562,658,293,355,"1,104",205,539,226,70,126,56,169,329,123,75,67,50,70,15,136,56,79,52,158,79,13,55,49,369,61,32,47,25,160,D,13,D,53,88,21,17,41,45,12,9,13,82,19,220,"2,700"
Guinea,"1,348",609,3,D,98,12,16,4,14,31,73,14,89,-,3,D,6,4,22,-,-,4,D,8,13,8,D,3,70,D,16,8,D,D,3,4,D,-,D,-,-,12,D,D,D,-,-,D,D,-,-,11,169
Guinea-Bissau,48,4,-,-,3,-,-,-,D,8,D,-,D,-,-,-,-,-,-,-,-,-,-,-,4,-,D,-,-,-,-,15,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,7
Guyana,"5,468","3,951",19,159,121,14,11,12,16,19,99,3,76,3,3,3,8,37,58,-,139,4,3,3,35,4,3,13,8,D,3,D,4,4,3,D,4,D,20,D,-,-,53,D,D,-,D,-,20,10,-,23,489
Haiti,"21,824","5,476",29,"7,116",203,32,89,36,20,"1,999",277,14,483,7,35,12,28,264,24,4,"1,308",14,16,11,54,14,17,29,40,D,35,127,21,9,29,26,288,3,178,D,8,3,30,11,74,-,-,D,D,248,5,197,"2,875"
Honduras,"11,387","1,714",752,"1,321",611,745,184,281,371,231,228,75,76,62,51,122,61,165,61,16,139,18,79,62,97,167,23,200,33,88,89,50,70,93,91,22,67,13,36,8,21,30,24,25,20,9,17,7,12,50,14,159,"2,427"
Hong Kong,"2,415",413,350,35,52,46,44,420,44,82,18,147,21,136,29,31,29,6,11,37,9,6,32,7,9,9,20,17,8,D,4,5,3,3,D,D,6,-,-,28,14,9,4,6,D,7,5,D,5,3,-,16,221
Hungary,972,172,83,70,25,12,15,44,11,27,15,13,23,48,13,8,7,44,4,D,9,9,25,3,D,7,7,5,4,-,D,-,4,9,D,-,9,D,14,D,-,-,-,D,-,D,-,D,10,3,D,11,197
Iceland,86,9,12,D,D,-,D,D,D,D,4,8,-,-,4,-,D,-,10,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,25
India,"60,394","9,551","2,023",489,"1,949","2,328","3,713","2,827","2,956","1,477","1,948","1,468","2,068","2,426",398,476,629,551,620,901,332,991,128,317,651,516,317,642,432,176,465,139,262,666,213,163,229,17,171,19,113,342,550,364,271,603,642,279,268,40,4,510,"10,764"
Indonesia,"1,914",148,274,16,65,89,26,102,44,45,33,80,66,57,23,137,25,11,5,15,17,4,24,43,5,24,24,6,16,15,4,D,6,6,7,4,D,-,3,6,D,3,7,11,D,D,14,8,4,D,D,27,355
Iran,"13,791",463,"4,278",155,769,581,279,612,548,294,339,449,117,632,427,133,127,47,48,271,53,73,134,96,126,93,148,52,39,105,21,24,54,64,39,37,20,12,26,7,55,31,26,51,31,8,35,21,32,7,-,50,"1,652"
Iraq,"14,203",125,308,23,460,829,518,66,762,143,166,436,130,39,"1,111",78,484,130,81,315,78,"1,527",32,289,64,370,210,41,187,221,21,18,275,95,109,183,12,10,113,D,167,26,18,123,176,D,10,87,89,-,-,38,"3,406"
Ireland,"1,485",395,64,34,38,21,60,118,22,145,17,38,41,38,15,D,6,9,12,12,13,5,4,13,12,25,16,14,4,D,5,7,3,12,D,6,6,D,4,D,5,5,5,6,14,D,-,D,5,D,-,11,189
Israel,"3,802",897,428,207,101,54,77,184,108,174,113,126,73,268,62,18,20,30,22,20,13,10,98,33,21,33,35,16,8,17,6,6,9,11,D,D,8,4,16,4,4,8,7,19,4,-,D,6,31,D,7,17,363
Italy,"3,655",747,252,388,106,104,118,151,59,139,44,68,94,98,53,27,24,66,15,8,38,68,36,21,18,25,15,21,18,8,10,13,7,19,14,D,23,4,13,D,7,24,20,7,7,4,7,7,8,23,5,22,579
Jamaica,"21,905","7,835",107,"3,485",582,142,200,37,132,405,864,41,686,10,32,48,58,300,35,17,789,85,34,40,273,16,14,79,49,33,32,64,21,23,55,14,363,7,111,5,6,29,609,30,40,D,D,27,61,83,5,245,"3,643"
Japan,"4,635",610,688,50,107,60,109,258,68,90,64,191,39,187,123,38,30,23,30,19,30,60,53,31,17,28,60,11,27,34,21,5,15,5,10,5,17,8,12,296,25,19,7,20,5,3,4,9,7,3,-,101,903
Jordan,"5,264",512,277,67,112,190,624,161,273,55,37,46,91,48,72,145,59,91,20,45,40,217,27,28,31,30,24,39,106,33,43,7,30,45,44,30,D,D,46,-,13,70,23,56,8,9,9,45,67,D,16,52,"1,145"
Kazakhstan,"1,377",287,90,56,45,83,52,42,19,27,24,56,26,38,13,9,D,15,28,42,7,12,17,20,6,4,29,8,9,3,D,D,D,11,5,3,4,-,9,D,D,7,D,9,4,-,D,D,14,D,D,6,222
Kenya,"6,957",308,77,17,176,133,70,81,581,252,218,327,126,26,46,27,73,18,854,34,84,14,24,30,124,31,73,18,253,25,35,16,40,92,134,48,D,7,14,D,43,26,7,90,134,10,-,15,10,D,-,75,"2,035"
Kiribati,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"Korea, North",32,4,5,-,3,-,4,-,-,D,-,-,-,D,-,D,-,-,-,D,-,-,-,D,D,-,D,-,-,-,-,-,-,D,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,1
"Korea, South","19,194","2,760","4,045",93,836,287,582,575,758,340,844,685,324,795,301,243,126,54,59,73,48,215,154,161,213,173,131,50,37,33,31,22,41,99,58,32,33,16,19,162,41,63,43,95,20,12,19,20,51,3,-,263,"3,056"
Kosovo,"1,014",444,8,13,13,26,49,6,23,17,8,D,10,D,7,-,12,11,12,-,5,25,7,3,D,-,4,D,D,3,D,D,5,D,-,11,26,-,D,-,D,-,7,7,14,-,-,4,D,D,-,10,208
Kuwait,"1,177",104,73,18,37,50,66,36,62,21,20,31,20,20,18,17,11,33,27,7,11,60,D,7,D,3,9,8,44,7,3,D,7,6,10,4,-,5,4,-,5,6,6,4,6,D,D,5,15,D,D,7,254
Kyrgyzstan,715,117,26,5,31,29,135,25,6,14,8,23,22,20,5,6,D,6,5,17,D,D,4,7,5,4,4,5,-,4,3,-,D,5,3,D,5,-,7,D,D,22,D,D,-,D,-,-,D,D,-,4,115
Laos,685,3,16,8,15,D,10,12,20,10,11,14,5,D,19,8,D,6,115,18,D,14,4,3,5,D,6,8,6,-,-,6,13,D,9,-,D,-,D,10,6,-,D,D,3,D,34,16,-,D,-,19,217
Latvia,359,52,12,10,12,-,26,15,9,7,16,6,6,18,8,D,3,4,4,4,D,-,D,7,D,D,D,8,D,3,D,-,-,-,-,D,D,-,-,-,D,D,-,D,-,-,-,-,4,D,-,9,94
Lebanon,"2,818",165,310,63,94,146,82,37,65,149,36,18,24,32,28,60,17,35,15,14,22,640,21,18,15,14,17,11,20,7,D,27,11,8,3,4,4,4,13,-,7,13,5,8,24,4,6,3,30,D,3,16,446
Lesotho,24,3,-,-,D,-,-,D,D,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,3,9
Liberia,"4,155",270,9,-,233,60,29,22,102,84,130,25,877,D,3,D,47,5,560,14,7,25,7,26,128,8,18,107,66,7,57,175,22,13,22,36,11,4,11,D,12,D,D,19,53,D,-,3,13,D,-,27,796
Libya,780,34,29,16,34,69,16,13,24,7,16,34,6,4,9,D,5,13,12,D,16,31,-,43,D,D,22,5,28,11,5,D,4,-,6,3,8,-,-,-,-,7,D,6,D,D,-,-,14,D,-,D,215
Lithuania,645,71,37,27,11,4,207,25,8,14,16,7,11,9,8,D,4,8,4,3,5,4,6,5,6,D,D,-,-,D,-,D,D,D,D,-,D,D,D,D,3,4,5,-,-,-,-,D,7,11,-,8,88
Luxembourg,33,6,D,-,D,D,D,4,D,-,D,4,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
Macau,109,19,18,3,D,4,3,23,D,D,D,D,-,8,D,D,D,-,D,D,D,-,D,-,-,D,D,-,-,-,-,D,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,4
Macedonia,"1,027",301,13,48,15,14,166,5,16,16,6,4,4,-,D,D,6,11,D,D,D,57,5,D,-,-,4,D,17,5,-,D,-,-,-,-,5,-,-,-,D,3,D,-,D,-,-,15,-,D,D,23,251
Madagascar,60,D,-,D,15,-,-,D,D,-,D,D,D,-,-,-,-,-,3,4,-,D,D,D,-,-,-,-,-,-,-,-,D,D,-,-,-,-,D,-,D,-,-,D,-,-,-,-,-,-,-,D,18
Malawi,228,10,D,-,4,10,11,-,9,4,14,8,4,D,7,D,5,D,4,-,-,3,-,10,4,4,-,D,4,D,D,-,3,-,-,D,D,-,3,-,-,-,3,D,-,D,-,D,D,-,-,3,84
Malaysia,"4,109",292,110,25,64,125,255,91,233,53,202,75,46,80,22,19,114,6,33,17,7,8,23,84,89,29,71,65,36,87,310,D,52,19,45,22,5,-,26,5,38,10,7,10,9,5,D,203,7,D,-,15,955
Maldives,D,D,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-
Mali,544,221,D,-,32,17,6,3,3,3,17,10,58,D,-,D,-,D,4,D,D,4,D,11,18,-,-,6,10,-,3,-,D,-,-,D,-,-,-,-,3,25,D,D,-,-,-,D,D,-,-,3,69
Malta,75,3,-,D,-,-,D,D,D,D,D,3,-,-,-,-,3,D,D,D,-,D,4,-,D,D,-,-,6,-,-,-,D,-,-,D,-,D,-,-,D,-,-,D,-,-,-,-,-,-,-,-,30
Marshall Islands,23,-,-,-,D,-,D,D,D,-,-,D,-,-,D,-,D,-,3,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,5,5
Mauritania,287,70,-,-,13,-,4,-,D,D,5,3,11,-,-,-,-,-,-,-,-,6,D,D,3,-,-,-,41,D,15,-,-,D,4,7,D,-,D,-,-,40,D,3,-,-,-,-,-,-,-,D,50
Mauritius,96,19,9,3,7,D,3,4,5,-,D,D,-,D,-,3,D,D,-,-,D,-,-,-,D,D,-,D,-,-,-,D,-,D,D,-,D,-,-,-,-,-,-,-,D,-,-,-,D,-,-,D,21
Mexico,"170,581","3,467","19,257","1,411",709,"8,633","9,596","4,429","9,468",270,"2,201","1,541",850,"2,348","7,197","7,566","5,551",695,"1,058","1,478",440,790,"2,341","2,720",157,"1,954","1,488","1,064",212,"2,581",698,85,546,504,911,241,160,"3,908",122,38,"1,064",185,70,236,34,"1,090","1,621",574,147,278,55,"4,013","52,529"
"Micronesia, Federated States",6,-,D,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,2
Moldova,"2,480",244,57,68,51,33,439,37,34,45,56,190,43,24,13,11,11,22,34,158,107,3,44,36,8,6,72,29,5,4,D,7,D,11,5,-,D,-,8,-,3,5,6,D,3,D,-,4,18,D,D,12,501
Monaco,14,3,D,D,D,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,2
Mongolia,661,13,56,6,124,D,122,96,D,6,-,49,3,9,3,-,D,4,3,8,3,D,5,46,D,-,3,-,D,-,D,-,-,-,3,4,-,-,-,-,3,-,-,-,-,-,-,-,D,-,-,4,76
Montenegro,323,191,5,8,5,D,25,D,-,D,D,-,3,4,D,D,-,-,-,D,D,29,3,-,-,-,-,D,D,-,-,-,-,-,D,-,-,-,-,-,D,-,D,4,-,-,-,D,D,-,-,7,18
Montserrat,12,6,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,2
Morocco,"4,229",749,88,82,383,77,143,57,73,474,73,39,161,18,18,25,24,65,27,13,188,42,27,73,40,24,24,22,52,15,22,40,14,99,17,18,30,D,20,3,6,57,11,6,9,-,4,8,18,D,D,28,717
Mozambique,96,5,D,-,12,7,-,D,4,4,D,-,-,3,-,D,D,-,D,-,-,D,-,-,-,-,-,-,-,4,-,-,3,4,8,-,-,-,-,-,-,-,3,-,D,-,D,4,-,D,-,D,22
Namibia,130,8,D,D,5,-,D,-,D,5,10,4,11,-,D,-,5,D,-,-,D,D,-,D,3,4,D,D,D,D,-,D,-,4,-,D,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,3,44
Nauru,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,"11,610","1,197",249,33,865,281,229,435,968,393,268,258,110,147,32,51,66,28,141,98,17,53,29,299,478,172,78,103,273,52,18,39,75,105,60,101,13,3,15,47,103,105,83,76,50,4,-,21,78,-,-,63,"3,148"
Netherlands,"1,056",130,77,39,40,54,30,66,23,25,26,25,26,29,12,11,11,15,11,D,16,8,9,9,3,6,12,4,3,8,4,3,7,7,7,3,D,D,4,3,-,4,D,7,D,D,D,3,3,3,-,25,235
Netherlands Antilles (former),9,D,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,2
New Caledonia,D,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
New Zealand,798,91,94,11,24,16,14,60,20,10,8,24,10,18,10,11,14,7,14,12,7,7,8,14,5,7,16,5,5,D,D,3,5,D,5,D,D,-,3,16,14,D,D,D,-,-,D,3,-,-,-,10,186
Nicaragua,"3,072",173,235,"1,116",117,111,40,185,44,16,33,29,43,19,5,69,12,24,11,21,43,D,23,12,10,13,11,26,8,17,26,5,14,11,4,3,7,D,19,D,5,7,D,8,D,3,6,9,D,23,4,33,409
Niger,116,19,D,D,9,D,D,-,D,-,D,4,D,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,4,-,8,-,-,D,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,58
Nigeria,"13,539","1,873",418,121,983,"1,319",679,180,904,435,881,97,338,38,67,117,99,76,149,70,68,199,48,55,586,87,41,61,121,60,296,113,64,92,79,15,28,30,48,4,9,82,42,72,26,44,18,25,46,D,D,72,"2,161"
Northern Mariana Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Norway,290,26,21,14,11,21,6,7,D,7,4,11,D,10,10,3,8,6,6,D,5,3,D,D,D,4,4,-,D,D,D,D,-,-,-,3,D,-,D,D,D,D,-,5,-,-,-,-,D,D,-,5,68
Oman,104,12,8,3,4,8,4,D,9,D,4,3,-,3,9,D,D,-,-,D,-,D,-,-,D,-,-,-,-,-,D,-,D,3,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,20
Pakistan,"17,408","4,153",462,231,"1,319","1,189","1,123",419,709,234,386,256,465,174,53,200,96,51,121,333,111,334,50,55,385,122,34,64,82,63,70,66,21,85,124,17,80,D,16,7,45,45,98,86,51,328,19,76,35,7,D,75,"2,777"
Palau,13,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,7
Panama,889,117,43,114,34,47,11,17,23,15,18,6,12,5,12,7,6,38,5,12,43,D,5,6,3,7,D,5,D,11,3,4,4,7,D,4,D,-,7,D,D,3,D,9,-,3,D,D,5,-,8,13,182
Papua New Guinea,18,3,D,-,-,-,-,-,D,-,D,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,7
Paraguay,391,164,9,38,18,3,3,5,9,4,4,D,4,-,D,3,4,7,D,-,4,D,D,D,D,D,D,D,-,5,D,D,-,D,4,-,4,-,D,-,D,-,-,-,-,-,-,D,-,D,D,D,72
Peru,"10,115","2,550",660,"1,353",763,137,166,381,171,142,170,88,86,69,72,131,53,128,28,37,170,19,97,84,58,30,28,92,12,34,47,28,29,37,24,7,118,6,39,10,134,31,112,20,8,11,7,20,21,34,28,86,"1,449"
Philippines,"49,147","3,720","5,961",846,"1,153",961,"1,667","2,955",559,243,250,"1,139",426,"1,138","1,721","1,324",527,306,261,724,441,301,"1,488",142,459,147,271,178,80,263,88,63,362,87,112,74,79,46,272,"2,312",72,557,64,142,43,461,123,49,85,39,3,"2,445","11,918"
Poland,"4,845","1,312",92,76,62,33,"1,504",98,48,68,46,84,105,80,30,13,11,64,6,18,22,50,13,36,18,9,13,18,8,8,8,12,7,14,8,7,59,D,5,4,5,4,133,8,23,D,D,10,16,8,-,33,532
Portugal,939,247,23,53,22,16,14,34,13,77,11,16,14,12,5,6,4,10,D,3,8,9,D,D,3,D,D,D,D,6,D,127,-,-,-,-,17,D,D,D,D,D,6,3,3,6,D,-,D,-,-,8,140
Puerto Rico,6,D,D,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,1
Qatar,224,24,19,10,21,18,10,8,7,D,4,D,8,6,D,D,D,6,D,3,D,9,-,6,D,-,4,D,D,4,-,-,3,-,D,-,-,-,D,-,-,D,-,D,-,D,-,D,-,D,-,-,30
Romania,"2,953",302,155,154,63,79,335,82,62,72,95,150,47,41,29,31,84,22,10,43,10,128,43,13,15,17,56,17,7,15,10,10,11,13,5,D,19,3,21,6,10,D,7,9,3,D,8,5,35,9,D,32,554
Russia,"8,918","1,652",716,439,301,182,348,410,118,328,109,418,223,367,139,21,45,123,77,198,71,60,82,131,61,75,146,72,21,10,17,20,27,61,23,12,56,6,34,12,29,28,10,31,18,D,7,23,31,13,D,81,"1,431"
Rwanda,"1,394",5,4,3,27,65,20,3,92,13,54,9,5,D,7,4,94,-,3,4,D,3,8,21,6,6,11,D,12,13,6,9,21,13,43,40,-,-,6,-,44,5,D,8,19,-,-,D,D,-,-,-,679
Saint Kitts and Nevis,238,59,-,28,9,4,-,-,7,D,6,D,D,-,-,-,D,5,-,-,7,-,D,D,-,-,-,D,D,-,-,D,-,3,D,-,5,-,D,-,-,-,3,-,D,-,-,-,3,-,D,50,30
Saint Lucia,777,373,7,40,16,30,D,D,10,18,7,D,11,-,-,3,D,15,-,-,30,D,D,-,9,D,-,D,D,-,-,D,D,-,-,-,4,-,D,-,-,3,25,-,D,-,-,-,-,-,-,59,94
Saint Vincent and the Grenadines,361,227,4,13,8,4,D,-,4,10,9,D,8,D,D,D,D,7,-,-,3,-,-,D,4,-,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,D,6,36
Samoa,194,-,20,D,D,-,-,9,D,-,-,26,-,D,3,7,3,D,-,D,-,-,5,-,D,D,3,-,-,-,D,-,-,-,4,-,-,-,-,15,32,-,-,-,-,-,-,-,-,D,-,D,53
San Marino,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sao Tome and Principe,10,D,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Saudi Arabia,"2,135",217,115,32,150,91,105,60,98,36,30,55,46,34,23,28,22,22,29,16,24,96,5,17,22,18,32,24,37,13,19,4,6,9,14,3,13,-,7,D,D,15,13,8,3,D,6,13,22,D,D,7,469
Senegal,"1,470",450,21,D,85,22,24,9,15,14,70,16,46,-,3,D,8,4,6,D,5,33,9,16,13,7,D,8,66,6,31,29,11,11,3,30,6,-,3,D,D,82,D,7,D,-,-,D,4,-,-,14,270
Serbia,"1,410",258,78,58,54,14,291,24,19,35,18,17,14,21,28,12,16,25,D,4,11,14,38,18,3,6,8,4,D,D,9,4,3,D,-,D,D,D,4,D,10,D,6,6,D,-,-,13,16,6,D,11,218
Serbia and Montenegro (former),144,39,6,3,5,4,17,D,D,D,-,-,D,D,3,3,4,D,D,D,-,7,3,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,D,D,-,-,D,3,-,-,-,6,D,D,-,D,19
Seychelles,10,-,-,-,D,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,3
Sierra Leone,"2,058",250,21,-,693,32,9,12,57,49,50,25,247,29,-,11,12,3,42,11,D,4,-,6,36,6,8,14,118,D,12,4,7,14,9,D,3,5,3,-,D,8,D,4,9,5,-,4,D,-,-,10,209
Singapore,818,101,73,11,19,44,31,79,27,36,7,41,10,61,6,14,10,-,5,7,D,4,3,5,3,14,8,4,4,-,D,3,3,8,-,-,D,-,3,3,D,3,D,8,D,D,D,D,4,D,-,19,122
Sint Maarten,35,6,-,D,D,-,-,D,D,D,D,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,3,11
