Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento--Roseville--Arden-Arcade, CA","Orlando-Kissimmee-Sanford, FL","Detroit-Warren-Dearborn, MI","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Austin-Round Rock, TX","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","San Antonio-New Braunfels, TX","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh, NC","Kansas City, MO-KS","Louisville/Jefferson County, KY-IN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Jacksonville, FL","Urban Honolulu, HI","Salt Lake City, UT","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",Non-CBSA,Other & Unknown
Algeria,"2,139",354,37,24,66,83,138,140,23,105,38,20,215,13,6,6,8,5,3,14,8,25,4,41,3,57,5,5,129,35,36,D,5,14,102,8,D,D,D,-,-,17,28,D,11,D,-,5,7,D,D,10,275
American Samoa,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Andorra,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Angola,209,12,D,7,19,27,3,-,15,30,4,D,3,D,D,-,5,D,-,D,-,-,D,D,3,D,3,D,D,-,D,20,D,D,-,-,D,D,-,-,D,-,-,D,-,-,-,-,D,-,-,-,33
Anguilla,23,4,-,D,D,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,3,4
Antigua and Barbuda,322,129,D,29,13,D,D,D,3,12,13,-,12,-,-,-,D,3,D,D,5,D,4,-,D,-,5,D,-,D,-,4,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,D,-,-,-,29,38
Argentina,"3,482",475,209,963,116,165,84,86,97,51,27,25,45,35,35,49,14,41,16,9,63,12,51,18,18,15,36,12,13,8,10,12,D,9,8,-,22,4,15,-,33,5,12,12,4,6,D,6,6,13,20,21,473
Armenia,"3,437",208,"2,484",18,42,6,23,29,9,68,3,15,25,19,8,22,9,7,3,66,6,9,52,41,3,13,7,3,10,-,D,5,3,D,-,-,D,-,D,-,14,6,D,3,3,-,63,3,6,-,-,3,114
Aruba,47,12,3,4,D,D,-,-,-,4,D,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,D,3,4,2
Australia,"2,906",414,355,44,79,97,61,173,68,58,37,162,43,57,77,26,36,19,28,20,16,19,35,59,15,52,43,22,4,12,5,4,25,6,7,5,19,-,14,22,27,10,7,17,D,4,D,3,10,D,-,38,547
Austria,387,53,33,12,21,8,15,35,14,23,7,11,3,12,5,4,5,6,-,D,5,7,6,7,3,D,D,3,D,D,-,D,D,3,D,D,D,3,-,D,-,-,D,D,D,-,-,-,D,D,-,3,57
Azerbaijan,881,179,117,14,53,88,31,32,6,37,14,30,17,22,11,3,D,D,D,3,4,4,6,7,11,D,3,8,4,-,D,11,-,D,5,-,D,-,D,-,D,D,12,3,D,D,-,5,4,D,-,4,114
Bahamas,725,48,4,265,11,17,3,3,20,8,41,D,13,-,-,3,-,19,D,-,40,4,5,D,8,-,D,7,D,3,-,D,3,5,D,D,D,-,7,-,-,-,D,D,D,-,-,-,-,10,-,10,151
Bahrain,130,17,3,D,8,6,7,5,10,7,D,3,4,D,D,-,3,3,-,-,6,5,D,D,D,5,-,D,-,-,-,4,D,D,-,-,-,-,-,-,D,D,-,-,-,-,D,-,D,-,-,D,15
Bangladesh,"14,693","7,822",534,300,759,169,119,104,334,184,423,73,505,79,38,80,31,44,37,36,80,966,16,14,93,48,46,15,33,19,34,19,18,93,43,4,84,-,D,D,-,12,60,22,13,10,15,15,10,19,-,50,"1,168"
Barbados,373,165,D,20,12,8,3,-,3,34,9,D,4,-,5,D,D,4,D,-,9,D,D,-,4,-,4,-,D,-,D,D,D,D,D,-,D,D,3,-,-,D,D,D,D,-,-,D,3,-,-,3,52
Belarus,"1,919",457,95,60,23,15,125,90,20,84,24,55,130,79,16,10,11,15,24,33,14,16,16,47,23,16,21,27,6,-,6,D,D,6,D,4,20,-,15,D,4,8,8,5,3,D,-,8,9,D,-,16,243
Belgium,625,78,54,38,35,26,22,36,23,26,13,11,17,22,8,3,4,9,6,4,5,9,3,4,4,4,6,5,D,D,-,3,D,6,D,D,D,-,D,-,D,-,3,4,-,D,-,D,D,-,D,8,110
Belize,746,120,201,23,8,32,71,9,17,6,8,3,10,D,4,27,4,7,D,D,7,D,16,3,4,3,D,4,D,3,D,D,-,D,D,4,3,-,D,-,D,-,-,3,-,-,-,-,-,6,D,15,104
Benin,648,95,6,D,90,12,37,4,8,8,28,5,26,D,-,D,D,-,5,D,D,5,D,12,11,D,-,4,6,-,28,D,-,6,6,3,-,D,D,-,-,4,D,5,D,-,-,5,D,-,-,7,203
Bermuda,68,7,D,6,D,-,D,D,-,D,7,D,4,D,-,D,D,D,-,-,3,-,-,-,D,-,-,D,-,-,-,3,-,3,-,-,-,-,D,-,-,-,D,D,-,-,-,-,-,-,-,-,17
