Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSAs) OF RESIDENCE AND REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND COUNTRY OF BIRTH: FISCAL YEAR 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA",Non-CBSA,Other & Unknown,,
Burma,"12,565",400,280,48,204,236,224,396,702,59,478,150,206,35,132,12,13,205,739,25,237,22,50,28,151,89,100,D,72,211,75,6,D,225,22,857,45,167,114,42,-,40,243,55,5,7,3,29,-,256,13,108,"4,744",,
Burundi,260,8,-,-,12,-,12,-,21,4,D,D,D,-,5,-,D,13,4,-,3,-,-,-,3,3,-,-,D,-,4,-,-,5,D,D,-,-,3,-,-,-,D,4,-,D,-,4,-,-,3,-,136,,
Cambodia,"2,624",37,445,8,61,42,84,72,70,232,38,131,206,51,49,48,12,16,95,11,6,16,9,13,14,17,48,D,D,18,10,D,4,9,54,4,-,3,20,10,-,3,15,14,23,4,12,19,-,-,4,29,533,,
Cameroon,"3,908",172,80,11,"1,304",86,156,36,178,143,134,66,6,14,6,12,42,24,153,20,192,6,20,D,23,29,4,6,13,20,47,D,D,6,3,4,8,29,5,4,5,5,6,11,-,24,-,48,-,4,18,13,707,,
Canada,"13,181","1,184",785,449,284,341,478,485,307,415,236,179,637,293,197,111,327,267,178,122,62,114,186,57,129,110,143,25,53,120,60,51,56,66,43,47,86,42,54,58,6,46,49,61,17,21,65,50,8,31,72,335,"3,583",,
Cape Verde,"1,673",13,-,D,4,-,D,-,3,"1,156",D,3,-,-,-,-,-,-,-,6,3,-,D,-,-,-,-,-,-,-,-,-,9,-,417,-,-,-,D,D,-,D,-,-,-,5,-,-,-,-,-,3,40,,
Cayman Islands,44,6,-,16,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,D,-,-,-,-,-,-,-,-,13,,
Central African Republic,213,10,D,-,28,6,3,-,D,D,21,D,3,-,3,-,5,8,-,-,6,-,-,-,6,5,D,-,3,-,6,-,-,-,D,-,-,D,14,-,-,-,D,-,-,19,-,11,-,-,-,-,45,,
Chad,111,26,-,D,8,6,3,D,4,-,5,D,D,-,D,-,-,4,-,-,-,-,-,D,3,4,D,-,-,-,-,-,D,D,-,D,-,-,4,-,-,-,-,-,-,6,-,3,-,-,-,-,23,,
Chile,"1,736",254,109,287,87,18,38,38,36,31,38,22,15,11,12,16,6,9,14,38,15,15,13,7,24,8,13,5,9,10,4,10,14,4,4,6,13,3,39,9,7,9,7,5,6,-,8,D,8,4,D,27,348,,
"China, People's Republic","71,798","19,645","9,391",553,"2,027","1,977","1,692","5,768",945,"2,220","1,005","1,391","1,543","2,235",681,712,431,375,427,300,547,568,186,506,284,243,478,16,94,146,247,514,142,156,151,207,264,173,134,173,13,279,93,231,73,110,171,160,50,150,249,602,"11,070",,
Colombia,"21,131","5,059",534,"4,904",529,325,866,152,335,508,621,243,103,56,77,145,43,91,72,894,59,86,529,32,80,64,26,32,94,193,26,10,306,42,198,44,57,39,73,89,20,33,107,32,8,18,24,27,157,34,20,117,"2,898",,
Comoros,D,D,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Congo, Democratic Republic","2,792",77,49,3,154,39,88,19,297,62,105,20,93,D,36,8,11,31,18,12,27,10,10,6,45,13,11,-,12,108,29,D,20,22,D,13,58,12,37,D,-,23,14,7,3,5,-,37,-,32,4,49,"1,057",,
"Congo, Republic","1,059",50,32,D,57,41,30,4,105,25,56,9,15,D,3,6,D,13,16,4,12,D,7,3,21,D,3,D,8,48,8,-,4,5,5,8,26,6,6,D,-,11,3,D,5,-,-,10,-,5,3,17,359,,
Costa Rica,"2,114",517,88,224,62,33,54,25,55,23,45,43,16,14,15,14,D,9,15,36,12,15,41,6,15,22,10,D,6,36,D,D,26,11,4,7,22,D,5,D,D,D,19,D,-,5,D,5,7,10,-,32,495,,
Cote d'Ivoire,"1,486",463,14,7,168,25,37,11,51,22,81,76,28,D,4,10,15,5,23,-,24,D,8,D,24,5,3,-,4,17,15,-,5,D,8,18,D,D,8,D,-,7,6,10,-,9,D,17,D,D,-,D,241,,
Croatia,353,61,28,13,11,35,9,6,D,8,5,6,D,9,5,D,D,6,4,D,5,11,3,D,6,D,D,-,4,D,-,-,4,-,D,D,D,D,3,-,-,6,D,4,-,-,D,3,-,5,3,D,64,,
Cuba,"32,219",743,121,"22,171",45,66,630,27,136,32,123,38,11,9,34,37,8,197,24,613,10,588,"1,870",6,17,227,76,9,38,52,12,D,7,34,4,4,27,56,14,6,23,10,262,11,D,12,D,3,55,7,D,90,"3,618",,
Cyprus,126,27,11,D,6,3,3,3,D,7,-,8,5,5,-,D,D,-,D,-,D,-,D,-,-,-,-,D,-,-,D,-,4,D,-,-,D,D,-,D,-,D,-,-,D,-,-,D,-,-,-,-,23,,
