Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Baltimore-Columbia-Towson, MD","Denver-Aurora-Lakewood, CO","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Urban Honolulu, HI","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cleveland-Elyria, OH","McAllen-Edinburg-Mission, TX","Cincinnati, OH-KY-IN","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Virginia Beach-Norfolk-Newport News, VA-NC","Milwaukee-Waukesha-West Allis, WI",NAME_LONG,ISO_A3
Bulgaria,"2,981",273,115,84,130,42,527,80,27,110,105,28,40,41,88,8,26,54,22,28.0,57,11,130,24.0,48,14.0,10,7.0,4,12.0,12.0,20.0,,3,14.0,10.0,14.0,6.0,6.0,,30.0,13.0,6.0,11.0,,14.0,4.0,,3,17.0,10.0,Bulgaria,BGR
Burkina Faso,583,274,,,47,49,12,4,,,10,,3,21,6,,,,4,,,,,7.0,4,,,,,5.0,,,,,,,,3.0,,,3.0,,,,,11.0,,,,5.0,,Burkina Faso,BFA
Burma,"11,144",353,237,36,167,261,263,389,840,53,455,36,56,76,159,11,8,201,424,17.0,22,28,22,228.0,192,98.0,58,154.0,95,62.0,193.0,,5,8,866.0,12.0,34.0,95.0,215.0,24.0,54.0,179.0,54.0,27.0,,23.0,12.0,,,27.0,252.0,Burma,MMR
Burundi,273,17,4,,11,24,7,3,30,7,3,,,,,,,13,3,,,,,,7,,4,,,4.0,5.0,,,,,,,4.0,,,,,3.0,,,,,,,,,Burundi,BDI
Cambodia,"2,536",37,410,6,55,112,32,67,64,224,50,34,39,96,188,62,4,28,111,9.0,11,23,14,5.0,18,29.0,13,10.0,3,19.0,5.0,7.0,,6,5.0,54.0,,11.0,9.0,6.0,,25.0,4.0,14.0,,42.0,6.0,42.0,13,8.0,,Cambodia,KHM
Cameroon,"3,943",183,67,17,"1,299",185,68,23,188,117,174,19,5,76,11,12,40,38,142,8.0,9,9,14,213.0,18,5.0,37,28.0,24,68.0,7.0,3.0,3,,13.0,7.0,9.0,4.0,29.0,,4.0,4.0,15.0,13.0,3,21.0,25.0,,,10.0,14.0,Cameroon,CMR
Canada,"11,586","1,197",777,438,233,467,289,432,255,318,215,246,211,129,571,95,285,224,114,94.0,123,77,140,69.0,90,110.0,111,110.0,52,67.0,68.0,38.0,15,52,65.0,47.0,67.0,59.0,34.0,34.0,64.0,36.0,24.0,62.0,6,40.0,26.0,18.0,16,30.0,23.0,Canada,CAN
Cabo Verde,"1,154",17,,,,,,,10,806,,,,,,,,,,4.0,,,,,,,,,,,,,,,,275.0,,,,,,,,,,,,,,,,Cabo Verde,CIV
Cayman Islands,48,8,,13,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,CYM
Central African Republic,155,5,,,20,,4,,,,9,,,,,,,16,,,,,,3.0,8,6.0,,,,,,,,,,,11.0,,3.0,,,,,4.0,,,14.0,,,,,Central African Republic,CAF
Chad,119,26,,,23,5,5,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chad,TCD
Chile,"1,581",248,103,306,60,36,27,42,49,23,25,22,17,21,24,15,4,14,18,22.0,18,7,12,6.0,12,14.0,14,6.0,5,,5.0,5.0,,5,,4.0,,39.0,,4.0,,4.0,6.0,,,4.0,6.0,,,,,Chile,CHL
"China, People's Republic","76,089","19,763","11,021",846,"2,008","1,733","2,020","6,547","1,251","2,327",937,"2,703",837,"1,444","1,878",802,398,412,403,222.0,214,590,543,715.0,239,517.0,234,178.0,87,289.0,161.0,132.0,38,500,210.0,171.0,245.0,157.0,189.0,141.0,273.0,91.0,93.0,252.0,15,167.0,136.0,124.0,82,147.0,153.0,"China, People's Republic",CHN
Colombia,"18,175","4,446",449,"4,321",487,731,278,147,301,452,477,61,92,182,80,90,13,81,54,804.0,396,23,80,67.0,40,26.0,56,172.0,66,32.0,43.0,241.0,17,6,36.0,158.0,67.0,43.0,44.0,60.0,19.0,105.0,19.0,19.0,10,17.0,36.0,8.0,3,43.0,18.0,Colombia,COL
Comoros,9,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,COM
"Congo, Democratic Republic","4,347",78,56,5,226,84,74,19,468,91,171,13,18,22,81,6,6,65,28,9.0,3,,25,53.0,79,28.0,30,200.0,37,24.0,41.0,20.0,4,,24.0,16.0,123.0,36.0,13.0,7.0,44.0,4.0,56.0,9.0,,33.0,18.0,5.0,,6.0,25.0,"Congo, Democratic Republic",COD
"Congo, Republic",552,44,4,4,39,50,16,,37,10,17,,3,4,12,,,8,10,6.0,,,,11.0,24,,,10.0,,12.0,4.0,6.0,,,,,15.0,8.0,,,,,,8.0,,7.0,,,,,3.0,"Congo, Republic",COG
Costa Rica,"1,966",501,69,212,53,40,26,30,39,35,60,14,11,50,21,25,3,18,20,46.0,35,16,16,10.0,13,7.0,7,59.0,3,8.0,18.0,28.0,,,4.0,,6.0,10.0,3.0,,6.0,10.0,,,,5.0,3.0,5.0,,,6.0,Costa Rica,CRI
Croatia,297,46,20,10,17,8,19,12,7,8,7,10,,6,9,4,7,6,,,3,,,,4,,,,,3.0,5.0,,,,,,,,,,,,6.0,,,,,,,,,Croatia,HRV
Cuba,"46,679",900,202,"31,483",58,"1,332",104,50,238,38,154,12,61,42,24,49,4,377,9,846.0,"2,784",6,957,17.0,19,178.0,252,78.0,62,12.0,88.0,18.0,19,,9.0,4.0,56.0,19.0,84.0,9.0,20.0,255.0,917.0,,28,17.0,4.0,,,49.0,7.0,Cuba,CUB
Curacao,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curacao,CUW
Cyprus,129,31,8,,,3,5,7,,,4,4,,,,,,,,,3,3,,,,,,,3,,,,,,3.0,,,,,4.0,,,,,,,,,,,,Cyprus,CYP
Czechia,606,71,39,29,22,20,41,12,8,14,17,6,5,8,13,3,3,7,4,6.0,16,,4,3.0,12,6.0,,4.0,,5.0,,4.0,,,,4.0,10.0,,,,,,,,,,,,,7.0,,Czechia,CZE
Denmark,514,70,61,25,12,32,13,27,13,19,7,13,24,8,14,4,,4,7,5.0,,,4,7.0,6,,3,7.0,,,,3.0,,,6.0,5.0,,,4.0,,,,,,,,,,4,5.0,5.0,Denmark,DNK
Djibouti,190,,,,,,9,,6,,3,,8,,19,,,5,23,,,,,3.0,7,,,,,7.0,,4.0,,,,,,20.0,6.0,,,,3.0,,,,,,,,,Djibouti,DJI
Dominica,345,86,,38,26,8,3,,6,9,6,,,3,,,6,,,4.0,6,,,,,,,,,3.0,,3.0,,,,3.0,,,,3.0,,,,,,,,,,6.0,,Dominica,DMA
Dominican Republic,"44,577","27,488",89,"1,863",439,149,76,18,184,"3,367",212,8,24,"1,030",20,11,45,37,18,660.0,263,4,53,96.0,19,,19,113.0,24,68.0,13.0,344.0,6,,35.0,998.0,53.0,16.0,14.0,167.0,8.0,48.0,3.0,47.0,5,64.0,211.0,,,25.0,30.0,Dominican Republic,DOM
Ecuador,"10,960","6,395",262,887,163,118,368,39,81,49,81,10,19,113,31,29,4,23,196,212.0,71,8,36,29.0,8,16.0,20,127.0,12,13.0,8.0,266.0,,3,,24.0,12.0,25.0,9.0,49.0,7.0,23.0,10.0,5.0,6,6.0,35.0,,,8.0,3.0,Ecuador,ECU
Egypt,"11,477","3,318","1,248",153,489,211,207,224,318,241,114,34,62,260,139,340,131,67,81,212.0,353,28,12,98.0,24,56.0,13,30.0,15,43.0,744.0,22.0,,,92.0,48.0,99.0,6.0,15.0,10.0,15.0,26.0,,87.0,,20.0,70.0,17.0,14,32.0,9.0,Egypt,EGY
