Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Sacramento--Arden-Arcade--Roseville, CA","Baltimore-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","El Paso, TX","Honolulu, HI","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","St. Louis, MO-IL","Jacksonville, FL","McAllen-Edinburg-Mission, TX","Worcester, MA","Tucson, AZ","Oxnard-Thousand Oaks-Ventura, CA","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Stockton, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria-Mentor, OH",NAME,ISO_A3
Georgia,"1,490",785,95,20,46,26,19,10,8,14,20,,83,27,7,4,,4,8,,12,4,4,16,13.0,10.0,,,,,5.0,6.0,7,30.0,5.0,,,8.0,3.0,,,3.0,,3.0,,,,,,,5.0,Georgia,GEO
Germany,"6,125",735,338,208,240,164,234,100,84,137,147,81,121,106,115,44,78,112,59,36.0,46,76,41,46,33.0,55.0,48,43,25,37,49.0,37.0,15,27.0,9.0,11.0,27.0,27.0,16.0,26.0,36.0,21.0,,13.0,20,14,,9,3.0,23.0,17.0,Germany,DEU
Ghana,"8,798","2,559",74,39,"1,132",291,43,110,187,186,477,14,286,4,63,36,37,46,45,148.0,160,26,13,16,176.0,25.0,28,8,,7,66.0,364.0,45,30.0,11.0,40.0,19.0,137.0,13.0,36.0,15.0,14.0,3,305.0,3,,6,,9.0,17.0,15.0,Ghana,GHA
Greece,949,252,40,30,31,53,15,16,9,65,9,13,44,9,7,11,9,17,3,4.0,4,21,11,,17.0,,3,,,,3.0,5.0,5,6.0,,,,8.0,3.0,3.0,3.0,10.0,,7.0,,,,,,4.0,11.0,Greece,GRC
Grenada,579,413,,11,25,,,6,8,11,11,,10,,,,,,3,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,Grenada,GRD
Guatemala,"11,092",887,"2,606",533,512,338,628,303,190,306,169,201,67,56,69,310,136,8,44,43.0,56,56,129,34,45.0,124.0,42,,,40,24.0,8.0,296,113.0,49.0,46.0,42.0,14.0,19.0,5.0,10.0,9.0,4,27.0,9,59,10,6,13.0,9.0,5.0,Guatemala,GTM
Guinea,"1,555",729,6,,130,15,5,13,13,58,89,4,96,,18,,10,15,,45.0,7,,,,12.0,,,,,,4.0,42.0,10,,,,3.0,3.0,29.0,,,4.0,,,,,,,,6.0,6.0,Guinea,GIN
Guinea-Bissau,29,5,,,4,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,4,4.0,,,,,,,,,,,,,,,,,,Guinea-Bissau,GNB
Guyana,"6,599","4,941",17,196,159,17,7,29,12,43,121,6,79,8,5,5,3,6,154,87.0,,36,,3,29.0,,,,,3,11.0,3.0,4,7.0,,,6.0,53.0,4.0,12.0,,15.0,,,,,,,,,8.0,Guyana,GUY
Haiti,"22,111","5,474",28,"8,113",179,101,15,31,18,"1,823",295,12,426,7,22,10,27,8,"1,287",23.0,17,237,13,,42.0,16.0,8,,,13,20.0,24.0,101,309.0,,25.0,32.0,32.0,26.0,14.0,13.0,134.0,,39.0,3,,,3,,4.0,,Haiti,HTI
Honduras,"6,133",869,432,990,403,121,97,428,145,114,124,27,46,41,29,61,42,15,75,23.0,23,92,39,20,58.0,18.0,61,6,6,49,54.0,4.0,19,28.0,15.0,15.0,38.0,12.0,31.0,47.0,5.0,17.0,8,11.0,5,10,5,7,10.0,8.0,7.0,Honduras,HND
Hong Kong,"2,306",414,435,24,31,50,417,51,39,90,23,23,24,122,82,36,10,8,10,4.0,12,3,14,18,15.0,18.0,11,3,38,4,6.0,,4,12.0,5.0,4.0,,,3.0,8.0,7.0,4.0,,,4,,,,3.0,3.0,5.0,Hong Kong,HKG
Hungary,"1,044",203,65,100,33,19,41,13,20,20,14,17,17,19,7,6,14,8,11,10.0,5,33,24,11,7.0,3.0,,,4,5,9.0,5.0,,5.0,5.0,5.0,8.0,3.0,,8.0,,11.0,,4.0,,,,,,,12.0,Hungary,HUN
Iceland,90,9,5,,3,,4,,,7,3,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iceland,ISL
India,"69,013","11,256","2,607",520,"3,186","4,173","3,619","2,108","2,582","1,731","1,823",698,"2,351","3,951","1,911",502,903,"1,156",234,701.0,334,433,127,"1,077",766.0,427.0,673,22,13,180,472.0,582.0,143,372.0,109.0,205.0,281.0,442.0,305.0,512.0,366.0,196.0,22,331.0,67,281,502,5,399.0,372.0,269.0,India,IND
Indonesia,"2,856",266,488,16,95,59,156,80,57,68,61,44,114,55,132,234,35,11,12,26.0,55,15,35,31,9.0,29.0,22,,18,,5.0,18.0,,6.0,5.0,3.0,7.0,3.0,,7.0,13.0,6.0,,7.0,3,13,19,,8.0,3.0,5.0,Indonesia,IDN
Iran,"14,822",455,"5,685",156,955,265,544,473,446,168,307,454,102,602,295,130,244,69,87,58.0,90,52,94,243,146.0,78.0,65,7,4,115,28.0,36.0,31,8.0,95.0,115.0,51.0,26.0,14.0,38.0,33.0,40.0,4,20.0,44,102,52,4,18.0,25.0,25.0,Iran,IRN
Iraq,"21,133",208,601,45,459,"1,188",105,495,682,226,294,"3,808",223,124,379,107,"1,089","3,099",34,92.0,193,86,99,227,109.0,207.0,172,27,7,230,53.0,180.0,20,11.0,260.0,268.0,157.0,44.0,49.0,80.0,175.0,189.0,,219.0,199,4,28,,3.0,115.0,56.0,Iraq,IRQ
Ireland,"1,371",327,44,24,35,61,97,23,25,142,10,11,41,31,33,10,23,4,10,16.0,7,6,,6,10.0,11.0,13,,3,3,8.0,,10,22.0,4.0,3.0,5.0,6.0,3.0,6.0,6.0,4.0,,3.0,3,6,,,,5.0,5.0,Ireland,IRL
Israel,"3,826",967,454,296,96,119,119,55,73,120,92,63,81,170,74,29,23,36,22,16.0,21,23,63,10,30.0,14.0,15,,5,5,24.0,18.0,3,7.0,8.0,16.0,10.0,7.0,7.0,8.0,28.0,9.0,,3.0,4,11,,3,,17.0,26.0,Israel,ISR
Italy,"2,443",514,169,229,88,72,92,45,45,95,34,70,54,35,29,14,15,26,26,9.0,16,26,19,10,20.0,10.0,12,3,11,13,5.0,10.0,9,20.0,9.0,,6.0,9.0,9.0,7.0,13.0,11.0,,4.0,7,7,,7,,6.0,7.0,Italy,ITA
Jamaica,"19,662","7,121",110,"4,069",504,153,31,125,69,324,797,32,600,5,32,44,49,58,436,44.0,16,280,28,10,210.0,12.0,4,6,6,18,34.0,20.0,38,346.0,,16.0,29.0,543.0,18.0,32.0,13.0,92.0,,20.0,11,7,4,,,31.0,49.0,Jamaica,JAM
Japan,"6,161",741,954,66,138,145,290,76,94,159,76,249,59,207,228,54,42,75,40,28.0,39,30,56,54,34.0,80.0,29,11,442,17,14.0,30.0,10,15.0,18.0,13.0,14.0,7.0,26.0,7.0,21.0,23.0,,16.0,6,25,11,,11.0,8.0,22.0,Japan,JPN
Jordan,"3,876",495,171,75,124,404,85,114,168,50,33,93,45,26,29,72,54,131,37,22.0,31,59,12,40,24.0,32.0,21,7,,30,17.0,87.0,,5.0,10.0,23.0,39.0,3.0,22.0,32.0,39.0,18.0,,13.0,6,,20,15,9.0,47.0,48.0,Jordan,JOR
Kazakhstan,"1,235",220,48,33,58,38,30,46,11,25,20,15,28,19,52,9,14,,11,18.0,16,3,11,51,8.0,25.0,6,,,3,4.0,11.0,4,,4.0,,4.0,6.0,,,3.0,8.0,,,,5,,,,3.0,5.0,Kazakhstan,KAZ
Kenya,"7,762",372,173,29,230,61,80,167,558,340,430,65,199,27,420,65,126,22,22,579.0,58,16,44,44,161.0,48.0,29,7,8,20,24.0,191.0,22,6.0,88.0,45.0,184.0,26.0,55.0,125.0,112.0,17.0,5,140.0,23,,,,11.0,25.0,14.0,Kenya,KEN
"Korea, North",36,7,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Korea, North",PRK
"Korea, South","22,824","3,195","5,432",81,"1,232",757,526,306,551,324,"1,018",384,422,548,739,320,146,152,71,105.0,127,41,153,112,338.0,126.0,126,26,210,53,50.0,76.0,41,48.0,59.0,94.0,63.0,78.0,51.0,88.0,105.0,54.0,47,15.0,40,59,19,,14.0,35.0,40.0,"Korea, South",KOR
Kuwait,973,90,71,20,25,64,22,34,43,21,21,10,16,13,18,14,20,25,6,5.0,9,12,5,7,9.0,9.0,4,,,9,9.0,15.0,,,6.0,12.0,4.0,4.0,5.0,8.0,3.0,3.0,,4.0,19,,,3,,6.0,15.0,Kuwait,KWT
Kyrgyzstan,542,121,15,13,29,20,17,,4,13,6,7,21,9,13,,3,,5,27.0,,4,,19,5.0,20.0,,,,4,4.0,,,,,,,,,,4.0,,,,,,,,,,6.0,Kyrgyzstan,KGZ
Laos,956,4,19,8,17,9,23,9,34,8,14,25,10,5,23,7,4,5,,173.0,3,11,5,31,5.0,15.0,3,,13,3,4.0,4.0,16,,8.0,12.0,8.0,4.0,,3.0,,,,9.0,,,48,,8.0,29.0,,Laos,LAO
Latvia,426,69,16,21,8,18,7,5,,17,25,11,13,4,10,,5,,3,5.0,4,,,4,9.0,,,,,,5.0,,,3.0,,,,,4.0,3.0,6.0,5.0,,,,,,,,,3.0,Latvia,LVA
Lebanon,"3,295",256,300,67,96,80,44,159,79,144,55,73,59,24,27,58,57,649,31,28.0,17,34,28,22,12.0,8.0,22,4,,4,14.0,12.0,38,13.0,12.0,6.0,6.0,3.0,7.0,11.0,5.0,23.0,,35.0,7,5,11,6,,8.0,18.0,Lebanon,LBN
Lesotho,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesotho,LSO
Liberia,"4,151",306,19,6,244,64,29,71,87,81,197,10,793,,13,,58,37,6,564.0,16,5,10,25,126.0,24.0,14,,,4,85.0,40.0,149,10.0,22.0,8.0,23.0,25.0,38.0,13.0,20.0,25.0,,67.0,13,,,,5.0,7.0,7.0,Liberia,LBR
Libya,357,28,15,5,14,9,4,18,5,8,10,5,13,,9,,4,8,4,6.0,20,7,,,4.0,13.0,,,,,,21.0,,,,,3.0,,,,3.0,3.0,,,,,,,,,3.0,Libya,LBY
Lithuania,936,113,32,28,32,308,10,4,6,38,15,4,36,6,8,,,5,7,12.0,6,16,5,,7.0,,,,,,9.0,,4,11.0,3.0,,3.0,14.0,,3.0,,,,,,,,,,7.0,12.0,Lithuania,LTU
Luxembourg,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luxembourg,LUX
Macau,130,15,25,,,,39,8,,,,,,6,,,,,,,,,,3,,3.0,,,5,,,,,,,,,,,,,,,,,,,,,,,Macau,MAC
North Macedonia,"1,078",378,9,32,17,143,4,8,17,9,4,6,7,,10,,17,54,6,3.0,3,6,10,,,,5,,,,,14.0,,6.0,,,,,,,,,,,,,,,,8.0,6.0,North Macedonia,MKD
Madagascar,83,4,,,25,,,,,,,,,,,3,,,,6.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,Madagascar,MDG
Malawi,123,3,,,16,,3,3,6,,6,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,Malawi,MWI
Malaysia,"2,273",332,139,17,63,62,105,63,139,36,97,19,26,56,57,24,36,14,13,17.0,25,11,11,13,34.0,12.0,27,4,8,3,15.0,15.0,14,9.0,8.0,14.0,22.0,5.0,79.0,6.0,15.0,14.0,,,4,6,,,,12.0,3.0,Malaysia,MYS
Mali,629,240,5,,56,16,,19,,8,22,,63,4,16,,6,,,3.0,16,,,,22.0,,,,,,9.0,,9,,,,,,7.0,,,,,,,,,,,3.0,,Mali,MLI
Malta,51,7,5,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,Malta,MLT
Marshall Islands,38,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall Islands,MHL
Mauritania,393,91,,,7,4,,3,,4,3,,20,,6,,3,3,,,8,,,,4.0,,,,,,,66.0,,,,,6.0,,7.0,,7.0,,,,,,,,,,,Mauritania,MRT
Mauritius,101,17,10,,8,,,3,4,,,,4,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauritius,MUS
Mexico,"143,446","2,103","16,565","1,171",723,"7,049","2,469","7,792","7,492",161,"1,593","7,204",631,"1,459",816,"6,608","4,472",589,335,569.0,"2,161",443,"1,814","1,123",166.0,751.0,"1,732","5,083",22,"2,538",416.0,109.0,63,104.0,797.0,297.0,616.0,38.0,336.0,259.0,155.0,66.0,"2,987",17.0,"1,458","1,255","1,495",72,975.0,461.0,126.0,Mexico,MEX
"Micronesia, Federated States",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Micronesia, Federated States",FSM
Moldova,"2,258",206,69,53,54,94,27,12,10,47,37,21,53,14,238,9,24,9,41,52.0,35,10,21,317,15.0,101.0,7,,,3,27.0,,3,6.0,3.0,,5.0,,6.0,7.0,8.0,8.0,,,3,4,,,,,19.0,Moldova,MDA
Monaco,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monaco,MCO
Mongolia,774,13,72,,110,69,165,7,4,8,,4,7,3,56,,,,,3.0,50,,9,18,4.0,,,,,,,,,,5.0,3.0,4.0,,,,,,,,,,,,5.0,6.0,,Mongolia,MNG
Montenegro,204,124,5,,,16,,,,,,,,,,,,30,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montenegro,MNE
Montserrat,30,9,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montserrat,MSR
Morocco,"4,399",772,101,98,353,153,59,81,74,553,97,27,216,16,53,22,9,32,217,23.0,71,55,19,17,46.0,13.0,32,5,,15,17.0,72.0,28,43.0,3.0,8.0,15.0,20.0,14.0,98.0,6.0,13.0,,6.0,,4,,5,3.0,11.0,21.0,Morocco,MAR
Mozambique,60,10,4,,4,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozambique,MOZ
Namibia,43,5,3,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Namibia,NAM
Nepal,"10,166",965,219,35,765,251,448,282,699,336,288,53,112,125,234,38,150,41,10,117.0,326,17,38,100,310.0,79.0,101,,13,77,58.0,76.0,37,31.0,121.0,117.0,56.0,58.0,10.0,44.0,74.0,34.0,,33.0,96,5,,,7.0,18.0,62.0,Nepal,NPL
Netherlands,"1,085",136,43,47,32,24,38,29,21,43,33,17,14,44,22,10,12,9,6,8.0,12,11,8,12,9.0,7.0,10,,,6,10.0,,3,24.0,3.0,4.0,8.0,,,3.0,8.0,,,3.0,3,3,,5,,,,Netherlands,NLD
New Caledonia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Caledonia,NCL
New Zealand,803,67,69,17,24,29,37,12,17,11,12,17,6,19,14,7,9,,3,7.0,13,6,6,16,7.0,17.0,8,,9,4,,,7,4.0,12.0,7.0,6.0,,6.0,3.0,,,,,3,5,,,,,,New Zealand,NZL
Nicaragua,"3,401",174,343,"1,342",155,48,190,112,27,13,56,6,31,25,31,65,16,6,33,8.0,7,27,49,7,13.0,6.0,14,4,,4,32.0,3.0,6,7.0,8.0,9.0,5.0,,14.0,12.0,5.0,9.0,,4.0,3,4,,13,,8.0,,Nicaragua,NIC
Niger,96,14,,,7,,,,,,,,3,,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,11.0,,,,,,,,,,,,,Niger,NER
Nigeria,"11,824","1,699",420,117,"1,004",586,164,"1,277",732,296,900,35,372,33,54,139,84,147,53,218.0,70,68,36,63,555.0,33.0,80,16,,47,59.0,64.0,82,22.0,10.0,51.0,55.0,48.0,179.0,100.0,71.0,40.0,6,28.0,6,,16,,10.0,28.0,37.0,Nigeria,NGA
Oman,60,12,,,3,,,,3,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,OMN
Pakistan,"15,546","3,932",503,324,"1,167","1,018",353,"1,106",657,242,329,70,331,158,163,134,90,239,83,58.0,35,47,43,271,342.0,32.0,104,,25,43,57.0,69.0,42,60.0,39.0,21.0,94.0,137.0,64.0,54.0,64.0,32.0,9,23.0,22,8,21,,157.0,61.0,42.0,Pakistan,PAK
Palau,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palau,PLW
Panama,"1,374",227,46,189,50,22,21,41,26,22,50,10,13,6,15,13,9,,31,6.0,8,35,8,13,9.0,,10,3,7,20,9.0,6.0,4,,9.0,9.0,,,5.0,5.0,5.0,17.0,,,,3,,8,3.0,,,Panama,PAN
Papua New Guinea,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,PNG
Paraguay,500,183,14,67,32,12,12,8,5,7,9,3,,5,,,3,3,8,,5,7,,,4.0,,,,,,3.0,,,7.0,,,4.0,,,,,,,,,,,,,,,Paraguay,PRY
Peru,"14,064","3,321","1,013","2,422","1,030",177,413,217,232,157,276,71,105,122,100,166,70,20,280,46.0,92,190,105,38,81.0,39.0,49,10,9,33,136.0,20.0,41,150.0,185.0,32.0,31.0,167.0,34.0,54.0,26.0,38.0,12,17.0,8,38,10,54,13.0,18.0,26.0,Peru,PER
Philippines,"57,011","4,177","8,686",499,"1,543","2,052","4,130",884,612,256,242,"2,500",495,"1,632","1,469","1,734",627,302,417,215.0,167,309,"1,662",836,442.0,305.0,142,55,"3,117",189,91.0,89.0,87,116.0,80.0,72.0,115.0,65.0,84.0,80.0,159.0,341.0,122,34.0,74,403,181,6,610.0,56.0,118.0,Philippines,PHL
Poland,"6,863","1,980",120,112,82,"2,184",54,39,34,99,53,27,141,32,38,12,36,99,23,20.0,33,67,22,19,22.0,9.0,9,,6,6,12.0,6.0,26,121.0,10.0,5.0,6.0,298.0,4.0,13.0,13.0,16.0,,51.0,,4,3,,,31.0,34.0,Poland,POL
Portugal,821,281,18,31,26,4,5,8,5,75,6,6,12,13,5,,6,,9,,3,,,,5.0,,8,,,,,,118,27.0,,,,5.0,,,,,,3.0,,,,,,,5.0,Portugal,PRT
Qatar,193,12,7,,19,15,4,12,13,4,5,4,10,,,,,15,4,,6,,,,,,,,,,,4.0,,4.0,,,3.0,,,7.0,,,,,,,,,,,,Qatar,QAT
Romania,"3,882",473,190,222,110,405,66,71,52,84,127,38,73,47,112,53,115,176,20,24.0,22,22,46,53,38.0,106.0,19,,3,6,23.0,9.0,11,29.0,12.0,17.0,9.0,15.0,21.0,11.0,11.0,18.0,,13.0,3,9,3,,,4.0,70.0,Romania,ROU
Russia,"7,944","1,435",496,249,359,290,248,145,106,281,117,116,209,209,276,31,37,66,69,114.0,125,61,42,170,73.0,152.0,29,5,22,15,36.0,52.0,9,44.0,17.0,27.0,24.0,29.0,23.0,25.0,52.0,34.0,,19.0,8,13,15,8,7.0,26.0,51.0,Russia,RUS
Rwanda,520,10,5,,26,11,,16,33,18,11,7,4,,,6,23,,,,13,,,,,5.0,6,,,3,4.0,,3,3.0,14.0,13.0,,3.0,,,7.0,,,4.0,6,,,,,,,Rwanda,RWA
Saint Kitts and Nevis,350,88,,36,4,5,,5,4,5,11,,7,,,,,,5,,,9,,,,,,,,,3.0,,,,,,,3.0,,4.0,,3.0,,,,,,8,,,,Saint Kitts and Nevis,KNA
Saint Lucia,785,332,7,43,17,3,3,35,,11,24,,16,,,,,,25,,,9,,,6.0,,,,,,,,,6.0,,,4.0,31.0,7.0,,,,,,,,,,,,,Saint Lucia,LCA
Saint Vincent and the Grenadines,468,318,,11,10,5,,3,,7,5,,16,,,,,,9,,,5,,,,,,,,3,,,,3.0,,,,,,,,,,,,,,,,,,Saint Vincent and the Grenadines,VCT
Samoa,267,,24,,,,11,,,,,5,,6,31,6,3,,,,,,3,9,,,,,55,,,,,,26.0,,3.0,,,,,,,,,,,,,,,Samoa,WSM
Sao Tome and Principe,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe,STP
Saudi Arabia,"1,396",151,93,26,94,112,34,46,56,24,20,18,27,14,28,23,20,42,12,26.0,29,13,5,6,9.0,6.0,4,4,,5,11.0,15.0,6,6.0,,11.0,11.0,4.0,7.0,4.0,7.0,,,,,,,,5.0,8.0,5.0,Saudi Arabia,SAU
Senegal,"1,424",450,22,8,111,24,10,21,21,32,88,6,30,,14,3,6,34,4,10.0,7,5,4,,20.0,7.0,,,,,5.0,65.0,49,5.0,,9.0,4.0,,26.0,18.0,11.0,3.0,,,,,,,,7.0,7.0,Senegal,SEN
Serbia,244,32,5,21,12,36,7,,3,7,,3,,6,5,,5,3,4,,,,3,,4.0,,,,,,,,,5.0,,,4.0,,,,,3.0,,,,,,,,,3.0,Serbia,SRB
Seychelles,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seychelles,SYC
Sierra Leone,"1,985",322,26,8,572,16,16,33,35,46,86,7,228,17,23,9,24,13,5,40.0,9,8,3,14,36.0,6.0,,,,,21.0,84.0,5,,4.0,5.0,8.0,9.0,,21.0,4.0,7.0,,6.0,,3,,,5.0,3.0,,Sierra Leone,SLE
Singapore,690,121,56,11,13,28,57,31,16,18,9,12,10,40,13,8,7,3,,7.0,5,7,5,,,6.0,6,,10,,,,5,3.0,,,3.0,,6.0,3.0,6.0,,,3.0,,3,,,,6.0,,Singapore,SGP
Slovakia,594,176,19,18,17,49,25,,,9,5,4,10,7,6,5,4,4,3,5.0,7,4,,,3.0,,,,5,,4.0,3.0,3,11.0,,,,,,4.0,4.0,,,,,,,,,5.0,4.0,Slovakia,SVK
Slovenia,69,14,5,3,,6,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slovenia,SVN
Somalia,"4,451",7,25,,75,48,8,18,78,91,79,105,5,14,352,,121,,3,733.0,94,,9,,6.0,95.0,5,,,7,10.0,396.0,,,76.0,85.0,67.0,11.0,7.0,7.0,28.0,,,8.0,23,,,,,25.0,11.0,Somalia,SOM
South Africa,"2,649",226,170,148,98,54,63,60,74,48,113,55,44,13,40,13,45,23,40,16.0,51,42,18,27,23.0,17.0,12,,7,18,30.0,12.0,6,25.0,30.0,22.0,12.0,3.0,7.0,17.0,15.0,19.0,,5.0,13,12,11,,4.0,6.0,9.0,South Africa,ZAF
Spain,"1,890",290,96,309,50,50,64,60,25,65,45,29,15,36,14,7,14,12,23,11.0,24,24,5,11,6.0,5.0,15,6,3,6,10.0,6.0,9,9.0,5.0,5.0,15.0,9.0,10.0,15.0,11.0,10.0,,3.0,3,5,,28,,,7.0,Spain,ESP
Sri Lanka,"2,053",541,245,13,149,42,78,39,62,41,32,17,28,36,38,28,12,14,11,25.0,16,8,26,17,12.0,8.0,11,,6,11,3.0,11.0,,9.0,7.0,3.0,,19.0,5.0,11.0,4.0,3.0,,4.0,4,8,,,,8.0,12.0,Sri Lanka,LKA
Sudan,"2,628",162,67,15,303,54,20,52,89,55,83,19,91,16,41,16,55,17,6,40.0,88,,11,,20.0,7.0,9,,,13,10.0,26.0,,,45.0,56.0,35.0,12.0,3.0,8.0,10.0,9.0,,,21,,3,,,19.0,,Sudan,SDN
Suriname,196,98,3,33,4,,3,,,,4,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suriname,SUR
Swaziland,19,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaziland,SWZ
Sweden,979,124,68,47,28,40,57,19,11,25,31,30,21,16,26,11,14,6,7,18.0,7,11,9,7,4.0,4.0,11,,10,4,10.0,,,19.0,8.0,3.0,,4.0,,8.0,,4.0,,,,3,,,,,,Sweden,SWE
Switzerland,615,101,51,35,25,18,31,15,4,14,11,13,4,9,11,,10,6,,12.0,4,3,,,,6.0,6,,7,,3.0,,4,8.0,4.0,,,,,,,,,,7,5,,,,,,Switzerland,CHE
Syria,"2,785",225,458,33,61,266,37,50,60,65,26,53,43,19,16,109,47,131,26,11.0,8,31,8,13,26.0,16.0,6,6,,5,12.0,20.0,48,31.0,5.0,5.0,9.0,13.0,10.0,11.0,11.0,52.0,,21.0,12,22,,,4.0,15.0,40.0,Syria,SYR
Taiwan,"6,154",686,"1,411",33,193,109,458,173,192,129,102,117,67,512,210,153,50,38,20,27.0,32,13,34,50,41.0,103.0,50,14,43,7,13.0,24.0,8,17.0,20.0,5.0,28.0,7.0,27.0,32.0,17.0,8.0,9,8.0,6,22,16,,3.0,10.0,15.0,Taiwan,TWN
Tajikistan,382,137,11,,33,9,9,,3,,8,,8,,6,,,,,4.0,29,,,,3.0,6.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,Tajikistan,TJK
Tanzania,"1,427",66,31,11,68,24,15,64,63,25,45,20,22,4,30,4,26,,12,21.0,15,4,7,,14.0,16.0,15,,,12,,31.0,19,,6.0,5.0,19.0,6.0,4.0,7.0,7.0,4.0,,11.0,33,3,,,,9.0,5.0,Tanzania,TZA
Thailand,"9,962",251,734,136,257,198,170,267,359,121,289,139,125,60,181,86,299,35,28,366.0,230,57,102,59,35.0,125.0,86,,52,100,33.0,12.0,18,15.0,105.0,89.0,111.0,69.0,116.0,85.0,36.0,47.0,,42.0,37,16,24,,10.0,167.0,30.0,Thailand,THA
Togo,"1,506",246,6,,217,57,10,9,32,8,111,10,45,,10,,7,12,,83.0,31,13,8,,12.0,,,,,4,33.0,15.0,4,7.0,11.0,3.0,12.0,12.0,8.0,13.0,6.0,3.0,,3.0,8,,,,,,7.0,Togo,TGO
Tonga,408,4,50,,,,75,,8,,,,,34,7,14,11,,,,,,5,17,,3.0,,,27,,,,,,61.0,,,,,,,,,,,,,,,,,Tonga,TON
Trinidad and Tobago,"5,023","2,657",22,523,185,31,7,119,31,91,112,5,139,3,10,4,11,9,163,17.0,10,75,,4,101.0,,6,,6,7,17.0,3.0,7,15.0,,6.0,4.0,27.0,7.0,13.0,,18.0,,5.0,3,,3,3,,,5.0,Trinidad and Tobago,TTO
