NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,"Virgin Islands, British",Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"San Diego-Carlsbad-San Marcos, CA",78.0,8.0,11.0,,,,36.0,10.0,,44.0,9.0,11.0,,,19.0,,23.0,7.0,,,,21.0,6.0,7.0,,149.0,,,15.0,,181.0,23.0,51.0,14.0,213.0,,,,4.0,19.0,737.0,105.0,26.0,25.0,11.0,8.0,49.0,,12.0,13.0,5.0,,19.0,17.0,66.0,46.0,,31.0,3.0,192.0,4.0,10.0,,,3.0,3.0,92.0,12.0,8.0,,181.0,,,5.0,18.0,24.0,27.0,12.0,,699.0,34.0,413.0,2395.0,18.0,61.0,57.0,24.0,207.0,49.0,23.0,62.0,,339.0,10.0,4.0,16.0,10.0,46.0,10.0,5.0,,,4.0,3.0,,30.0,,,,,,6768.0,14.0,4.0,,,24.0,,,26.0,18.0,16.0,7.0,,41.0,,44.0,7.0,,,67.0,2371.0,19.0,5.0,,21.0,136.0,4.0,,,,,26.0,5.0,14.0,,12.0,6.0,,104.0,62.0,39.0,31.0,24.0,,,28.0,20.0,91.0,70.0,6.0,38.0,174.0,4.0,4.0,4.0,3.0,65.0,,,12.0,59.0,12.0,182.0,8.0,6.0,43.0,28.0,672.0,,,7.0,18693.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",18.0,208.0,133.0,3.0,,3.0,45.0,20.0,,40.0,5.0,26.0,4.0,4.0,497.0,8.0,78.0,14.0,4.0,18.0,11.0,182.0,5.0,10.0,,138.0,,,34.0,23.0,241.0,5.0,104.0,56.0,190.0,,,,,17.0,1521.0,228.0,24.0,13.0,42.0,5.0,31.0,5.0,6.0,3.0,,3.0,930.0,87.0,268.0,51.0,,32.0,,140.0,3.0,3.0,,9.0,9.0,60.0,117.0,344.0,37.0,3.0,56.0,93.0,,48.0,389.0,40.0,29.0,20.0,,2067.0,108.0,93.0,254.0,33.0,92.0,59.0,616.0,57.0,96.0,25.0,196.0,,467.0,21.0,20.0,8.0,16.0,28.0,820.0,12.0,23.0,,11.0,,,39.0,100.0,,,25.0,3.0,655.0,39.0,,,,153.0,,,128.0,14.0,6.0,18.0,,410.0,,376.0,9.0,,,85.0,464.0,122.0,12.0,,59.0,270.0,4.0,,7.0,12.0,,29.0,48.0,20.0,199.0,22.0,6.0,,5.0,38.0,25.0,34.0,88.0,,4.0,17.0,13.0,46.0,46.0,14.0,15.0,88.0,48.0,,105.0,28.0,186.0,,,17.0,323.0,17.0,227.0,7.0,5.0,208.0,69.0,655.0,13.0,9.0,28.0,17627.0
"Seattle-Tacoma-Bellevue, WA",23.0,15.0,14.0,,,,32.0,55.0,,101.0,17.0,19.0,,,36.0,,53.0,6.0,8.0,6.0,,214.0,11.0,13.0,,140.0,,,75.0,5.0,258.0,8.0,169.0,20.0,529.0,,,,3.0,19.0,1677.0,131.0,43.0,25.0,20.0,6.0,19.0,4.0,15.0,21.0,10.0,,22.0,21.0,110.0,76.0,,201.0,3.0,935.0,57.0,8.0,,,112.0,8.0,165.0,80.0,11.0,4.0,62.0,27.0,,3.0,22.0,44.0,93.0,18.0,,1939.0,87.0,326.0,427.0,53.0,144.0,39.0,25.0,192.0,28.0,37.0,384.0,,548.0,18.0,40.0,16.0,10.0,29.0,16.0,13.0,11.0,,3.0,,5.0,53.0,19.0,5.0,,3.0,3.0,896.0,136.0,44.0,3.0,,45.0,4.0,4.0,222.0,49.0,30.0,11.0,,73.0,4.0,190.0,14.0,,3.0,75.0,1324.0,29.0,4.0,,137.0,369.0,10.0,,,,35.0,15.0,19.0,21.0,11.0,31.0,3.0,5.0,363.0,64.0,38.0,33.0,37.0,,,30.0,15.0,19.0,198.0,3.0,14.0,249.0,17.0,9.0,6.0,4.0,76.0,4.0,,32.0,373.0,24.0,305.0,4.0,5.0,25.0,35.0,1178.0,19.0,15.0,9.0,17394.0
"San Jose-Sunnyvale-Santa Clara, CA",35.0,7.0,12.0,,,,27.0,22.0,,42.0,5.0,3.0,,,53.0,,30.0,14.0,,,,,7.0,9.0,,71.0,,,36.0,,61.0,3.0,52.0,18.0,234.0,,,,,6.0,2184.0,46.0,17.0,,7.0,4.0,,,15.0,17.0,,,7.0,5.0,52.0,123.0,,51.0,3.0,272.0,37.0,38.0,,,,21.0,132.0,11.0,11.0,,40.0,3.0,,,,33.0,114.0,26.0,,3514.0,87.0,632.0,132.0,32.0,246.0,48.0,6.0,190.0,44.0,20.0,25.0,4.0,503.0,9.0,12.0,11.0,,20.0,3.0,8.0,11.0,6.0,,,,80.0,,,,,,1422.0,9.0,,,,15.0,,,113.0,30.0,13.0,29.0,,30.0,,148.0,4.0,,,81.0,1636.0,24.0,6.0,,28.0,196.0,,,,,5.0,17.0,,12.0,21.0,49.0,6.0,,14.0,27.0,37.0,28.0,10.0,,,26.0,10.0,20.0,403.0,,5.0,56.0,3.0,17.0,,4.0,48.0,,,,77.0,24.0,184.0,3.0,,13.0,22.0,2159.0,,3.0,6.0,16752.0
"Riverside-San Bernardino-Ontario, CA",22.0,5.0,4.0,,,,45.0,19.0,,25.0,3.0,4.0,5.0,,76.0,,3.0,,14.0,,,,7.0,4.0,,48.0,,,15.0,,30.0,,67.0,13.0,117.0,,,,,8.0,755.0,133.0,12.0,6.0,23.0,,28.0,,5.0,,,,13.0,32.0,202.0,343.0,,4.0,,31.0,34.0,,,,,,59.0,53.0,5.0,,373.0,,,,4.0,81.0,18.0,7.0,,523.0,178.0,149.0,106.0,7.0,23.0,10.0,54.0,42.0,100.0,9.0,54.0,,227.0,13.0,4.0,9.0,,60.0,11.0,11.0,3.0,,,3.0,6.0,37.0,,,,,3.0,6724.0,8.0,,,,8.0,,,14.0,12.0,10.0,57.0,,140.0,,169.0,4.0,,4.0,168.0,1490.0,14.0,,,32.0,52.0,3.0,,4.0,,14.0,12.0,3.0,6.0,8.0,6.0,3.0,,,47.0,12.0,42.0,7.0,,,,,143.0,155.0,,7.0,66.0,6.0,4.0,,,23.0,,,6.0,30.0,12.0,96.0,,,,15.0,395.0,11.0,3.0,7.0,14449.0
"Phoenix-Mesa-Glendale, AZ",25.0,21.0,3.0,3.0,,,18.0,5.0,,44.0,4.0,,3.0,,46.0,,7.0,4.0,4.0,,,187.0,6.0,21.0,,63.0,,,36.0,,303.0,27.0,24.0,42.0,317.0,,,3.0,,25.0,531.0,98.0,103.0,31.0,18.0,6.0,208.0,,6.0,,3.0,,24.0,31.0,41.0,67.0,,42.0,,173.0,7.0,,,8.0,8.0,,56.0,56.0,7.0,,135.0,9.0,,8.0,35.0,33.0,10.0,10.0,6.0,884.0,22.0,189.0,769.0,13.0,28.0,20.0,45.0,53.0,34.0,3.0,107.0,,148.0,11.0,,4.0,,32.0,55.0,,,,10.0,,5.0,49.0,3.0,,,,4.0,4669.0,9.0,,,,14.0,,4.0,111.0,16.0,15.0,4.0,,121.0,,72.0,6.0,,4.0,52.0,588.0,29.0,3.0,,131.0,56.0,19.0,,5.0,,,13.0,7.0,10.0,18.0,10.0,4.0,,85.0,40.0,7.0,5.0,54.0,,,14.0,6.0,50.0,42.0,,28.0,184.0,12.0,9.0,9.0,4.0,31.0,,,14.0,29.0,8.0,125.0,4.0,,15.0,32.0,358.0,5.0,8.0,9.0,12676.0
"Detroit-Warren-Livonia, MI",8.0,418.0,19.0,,,,20.0,12.0,,14.0,,5.0,,6.0,863.0,,9.0,,,5.0,,,3.0,19.0,,46.0,,,22.0,,7.0,,,37.0,353.0,,,,,5.0,505.0,37.0,15.0,8.0,3.0,3.0,3.0,,3.0,,,,56.0,12.0,115.0,15.0,,,3.0,22.0,,5.0,,,26.0,7.0,138.0,37.0,8.0,3.0,10.0,7.0,,5.0,18.0,14.0,9.0,11.0,,1234.0,7.0,78.0,2763.0,11.0,23.0,36.0,46.0,94.0,143.0,10.0,,,158.0,48.0,,7.0,,517.0,29.0,6.0,5.0,,28.0,,5.0,12.0,,,,3.0,,575.0,11.0,,22.0,,17.0,,,29.0,6.0,4.0,,,140.0,3.0,239.0,3.0,,,27.0,304.0,92.0,,6.0,177.0,78.0,,,,,,38.0,30.0,5.0,13.0,,5.0,,,15.0,13.0,12.0,23.0,,,4.0,9.0,188.0,23.0,3.0,4.0,37.0,,,8.0,9.0,22.0,,,10.0,172.0,38.0,129.0,,,22.0,22.0,121.0,463.0,6.0,7.0,11416.0
"Minneapolis-St. Paul-Bloomington, MN-WI",9.0,6.0,9.0,,,,20.0,4.0,,10.0,3.0,4.0,,,57.0,,46.0,,4.0,14.0,,130.0,7.0,11.0,4.0,40.0,,,14.0,5.0,788.0,6.0,107.0,123.0,136.0,,,,,7.0,513.0,76.0,39.0,10.0,11.0,,20.0,,,5.0,24.0,,36.0,94.0,77.0,55.0,,58.0,3.0,897.0,,,,3.0,31.0,5.0,39.0,157.0,3.0,,44.0,44.0,,51.0,26.0,27.0,8.0,7.0,,741.0,17.0,52.0,129.0,6.0,11.0,20.0,23.0,42.0,42.0,10.0,516.0,,111.0,11.0,4.0,153.0,3.0,19.0,518.0,6.0,7.0,,3.0,,,30.0,,3.0,5.0,,,557.0,61.0,4.0,,,27.0,,,147.0,11.0,6.0,6.0,,247.0,,65.0,3.0,,,41.0,243.0,8.0,,,17.0,103.0,5.0,,,,,19.0,11.0,4.0,32.0,3.0,4.0,,950.0,32.0,9.0,21.0,25.0,,,6.0,6.0,,34.0,,24.0,518.0,103.0,,15.0,7.0,25.0,,,29.0,58.0,12.0,89.0,,,17.0,25.0,457.0,23.0,18.0,8.0,10544.0
"Orlando-Kissimmee-Sanford, FL",,23.0,9.0,,3.0,11.0,86.0,9.0,7.0,11.0,3.0,,32.0,,131.0,3.0,10.0,,3.0,,,,11.0,,,385.0,,,18.0,,28.0,,9.0,12.0,131.0,5.0,3.0,,,36.0,283.0,860.0,,5.0,55.0,,593.0,,6.0,,,,575.0,134.0,73.0,39.0,,10.0,8.0,39.0,,,,,3.0,6.0,58.0,32.0,3.0,5.0,35.0,,,160.0,1387.0,57.0,3.0,12.0,10.0,263.0,10.0,60.0,64.0,19.0,37.0,24.0,497.0,37.0,23.0,13.0,19.0,,58.0,8.0,20.0,,6.0,21.0,,8.0,6.0,,,,,8.0,,,,,,377.0,77.0,,,,151.0,,,16.0,21.0,,40.0,,58.0,,102.0,50.0,,,236.0,366.0,21.0,4.0,,14.0,91.0,5.0,5.0,27.0,9.0,,17.0,3.0,3.0,4.0,,4.0,,,32.0,26.0,15.0,7.0,8.0,,16.0,8.0,22.0,27.0,4.0,17.0,36.0,,,99.0,19.0,37.0,,,,35.0,10.0,309.0,,25.0,44.0,672.0,257.0,,13.0,4.0,10074.0
"Denver-Aurora-Broomfield, CO",21.0,,28.0,,,,14.0,6.0,,35.0,,4.0,,,42.0,,28.0,7.0,,20.0,,462.0,14.0,13.0,,41.0,,,30.0,9.0,302.0,5.0,20.0,26.0,183.0,,,,,16.0,397.0,60.0,190.0,37.0,17.0,,23.0,,11.0,,,,14.0,14.0,16.0,81.0,,99.0,5.0,608.0,,,,4.0,15.0,5.0,43.0,165.0,3.0,,45.0,4.0,,,19.0,24.0,9.0,10.0,,344.0,47.0,81.0,239.0,5.0,34.0,15.0,16.0,33.0,21.0,17.0,79.0,3.0,136.0,,3.0,7.0,5.0,16.0,32.0,17.0,6.0,,,,,18.0,31.0,,,7.0,,2028.0,23.0,52.0,,,50.0,,,357.0,7.0,14.0,9.0,,61.0,,56.0,3.0,,3.0,98.0,167.0,29.0,7.0,3.0,16.0,123.0,13.0,,,,,19.0,14.0,,12.0,7.0,,,94.0,38.0,14.0,,81.0,,,12.0,,20.0,34.0,37.0,27.0,163.0,23.0,,5.0,,23.0,,,21.0,62.0,3.0,85.0,,,33.0,40.0,361.0,14.0,16.0,14.0,8847.0
"Las Vegas-Paradise, NV",14.0,9.0,3.0,,,,25.0,33.0,,35.0,3.0,7.0,,,24.0,,12.0,7.0,13.0,,,26.0,11.0,11.0,,76.0,,,106.0,,15.0,5.0,10.0,15.0,129.0,,,,,18.0,608.0,83.0,19.0,5.0,14.0,11.0,683.0,,5.0,,,,51.0,28.0,20.0,228.0,,63.0,,502.0,8.0,4.0,,,,6.0,34.0,27.0,5.0,,123.0,4.0,,,16.0,63.0,11.0,16.0,,148.0,32.0,123.0,92.0,5.0,77.0,24.0,30.0,52.0,12.0,13.0,27.0,,123.0,4.0,7.0,4.0,,21.0,11.0,,5.0,,6.0,,,10.0,,,,,,1962.0,22.0,,3.0,,26.0,,,18.0,,9.0,34.0,,36.0,,28.0,14.0,,,92.0,1627.0,19.0,,,45.0,71.0,,,3.0,,3.0,,3.0,18.0,,8.0,,,5.0,14.0,13.0,23.0,5.0,,,,4.0,14.0,32.0,5.0,7.0,117.0,,,8.0,4.0,13.0,3.0,,4.0,41.0,,84.0,5.0,12.0,4.0,33.0,114.0,,5.0,4.0,8684.0
"Tampa-St. Petersburg-Clearwater, FL",,90.0,17.0,,,4.0,55.0,5.0,,15.0,4.0,,24.0,,48.0,12.0,7.0,6.0,10.0,,,,22.0,19.0,3.0,132.0,,,38.0,,56.0,,19.0,11.0,166.0,,,,,20.0,236.0,545.0,4.0,,43.0,6.0,2075.0,3.0,24.0,6.0,,,281.0,82.0,113.0,66.0,,8.0,3.0,49.0,,,,4.0,6.0,4.0,79.0,36.0,21.0,3.0,51.0,3.0,,24.0,232.0,66.0,5.0,32.0,,426.0,11.0,67.0,107.0,6.0,24.0,40.0,256.0,28.0,72.0,4.0,13.0,,50.0,4.0,,10.0,5.0,33.0,13.0,,14.0,,5.0,,,13.0,,,,,,425.0,6.0,,,,68.0,,,13.0,10.0,4.0,40.0,,55.0,,49.0,37.0,,,155.0,303.0,38.0,3.0,,20.0,95.0,3.0,3.0,8.0,,,19.0,5.0,5.0,3.0,3.0,4.0,,,31.0,21.0,14.0,17.0,,,11.0,5.0,25.0,26.0,,4.0,71.0,18.0,3.0,48.0,15.0,41.0,,,8.0,29.0,3.0,151.0,3.0,11.0,4.0,190.0,346.0,,,9.0,8572.0
"Baltimore-Towson, MD",13.0,8.0,7.0,,,,15.0,4.0,,14.0,5.0,8.0,3.0,,57.0,5.0,11.0,4.0,,3.0,3.0,222.0,11.0,,,58.0,,,26.0,8.0,333.0,4.0,,178.0,84.0,,,,,8.0,576.0,69.0,53.0,21.0,5.0,4.0,13.0,,3.0,4.0,,3.0,88.0,33.0,84.0,167.0,,59.0,,245.0,,3.0,,4.0,10.0,9.0,44.0,250.0,15.0,16.0,61.0,9.0,,49.0,29.0,45.0,18.0,9.0,3.0,735.0,12.0,125.0,108.0,17.0,18.0,12.0,202.0,17.0,24.0,7.0,181.0,,384.0,3.0,5.0,,4.0,13.0,128.0,,16.0,,,,4.0,47.0,15.0,,,4.0,,139.0,15.0,5.0,,,34.0,,,418.0,9.0,7.0,9.0,,617.0,,388.0,11.0,,,77.0,470.0,22.0,,,27.0,93.0,17.0,7.0,4.0,3.0,,10.0,34.0,6.0,28.0,3.0,3.0,,6.0,24.0,8.0,21.0,20.0,,,3.0,3.0,10.0,43.0,,21.0,29.0,19.0,,113.0,4.0,37.0,,,25.0,56.0,16.0,113.0,,5.0,99.0,22.0,114.0,9.0,,15.0,8465.0
"Sacramento--Arden-Arcade--Roseville, CA",75.0,,14.0,,,,13.0,53.0,,28.0,,13.0,,,24.0,,44.0,,,,,51.0,6.0,6.0,,30.0,,,4.0,,5.0,,14.0,7.0,84.0,,,,,20.0,754.0,34.0,5.0,8.0,12.0,3.0,4.0,,,4.0,,,5.0,6.0,24.0,40.0,,19.0,3.0,71.0,260.0,4.0,,,,5.0,29.0,19.0,4.0,,25.0,,,,7.0,18.0,31.0,,,807.0,19.0,229.0,309.0,12.0,18.0,7.0,10.0,34.0,25.0,23.0,39.0,,115.0,3.0,14.0,46.0,4.0,10.0,38.0,6.0,4.0,,,,,16.0,4.0,,,,,1227.0,190.0,23.0,,,12.0,,,92.0,10.0,11.0,4.0,,62.0,,222.0,4.0,,,49.0,885.0,13.0,,,54.0,155.0,,,,,4.0,10.0,,,5.0,,4.0,,,22.0,6.0,7.0,5.0,,,8.0,,8.0,34.0,,,51.0,,15.0,,,12.0,,,3.0,289.0,4.0,60.0,,,58.0,12.0,549.0,7.0,11.0,3.0,7877.0
"Portland-Vancouver-Hillsboro, OR-WA",17.0,10.0,,,,,16.0,5.0,,32.0,3.0,3.0,,,21.0,,12.0,3.0,,,,95.0,4.0,13.0,,34.0,,,14.0,,186.0,4.0,39.0,7.0,131.0,,,7.0,4.0,7.0,514.0,29.0,73.0,15.0,7.0,,86.0,,3.0,,,,8.0,4.0,42.0,44.0,,33.0,,171.0,24.0,,,,5.0,8.0,48.0,24.0,7.0,,118.0,,,,28.0,19.0,13.0,5.0,,422.0,28.0,104.0,211.0,7.0,17.0,14.0,15.0,81.0,23.0,21.0,35.0,,117.0,7.0,35.0,6.0,3.0,20.0,18.0,6.0,9.0,,,,,24.0,,,3.0,,,817.0,73.0,,,,14.0,3.0,,82.0,14.0,10.0,13.0,,42.0,,23.0,5.0,,,34.0,353.0,9.0,,,85.0,143.0,11.0,,,,3.0,17.0,5.0,3.0,,9.0,4.0,,120.0,17.0,8.0,5.0,4.0,,,16.0,,25.0,49.0,5.0,14.0,146.0,3.0,3.0,3.0,,20.0,,,7.0,159.0,6.0,101.0,,4.0,23.0,13.0,469.0,26.0,9.0,6.0,6254.0
"Austin-Round Rock-San Marcos, TX",11.0,,13.0,,,,16.0,,,17.0,,,,,49.0,,3.0,4.0,4.0,,,74.0,7.0,,,57.0,,,6.0,,200.0,5.0,11.0,21.0,120.0,,,,,,242.0,44.0,53.0,4.0,9.0,,157.0,,3.0,,,,8.0,11.0,9.0,79.0,,13.0,,89.0,,,,,,,42.0,15.0,,,36.0,6.0,,,12.0,78.0,14.0,3.0,,518.0,28.0,103.0,306.0,20.0,20.0,10.0,14.0,36.0,15.0,7.0,32.0,,144.0,5.0,,,,17.0,6.0,,,,,,3.0,29.0,,,,,,1606.0,3.0,,,,17.0,,,135.0,9.0,13.0,9.0,,66.0,,109.0,11.0,,,50.0,154.0,7.0,,,9.0,39.0,3.0,,,,,10.0,4.0,,,9.0,4.0,,3.0,33.0,13.0,12.0,9.0,,,4.0,,7.0,24.0,5.0,10.0,69.0,,,7.0,,21.0,,,12.0,23.0,8.0,84.0,,,5.0,48.0,271.0,,,5.0,5798.0
"San Antonio-New Braunfels, TX",,,10.0,,,,,,,6.0,,,,,13.0,,,,,,,82.0,10.0,,,15.0,,,9.0,,154.0,7.0,7.0,16.0,45.0,,,,5.0,4.0,134.0,67.0,55.0,3.0,7.0,,35.0,,,,,,20.0,10.0,24.0,33.0,,25.0,,45.0,,,,,,3.0,27.0,16.0,8.0,,47.0,,,,15.0,54.0,,,,240.0,7.0,112.0,253.0,,6.0,9.0,20.0,31.0,14.0,,19.0,,40.0,7.0,3.0,,,9.0,10.0,,3.0,,,,,16.0,,,,,,2757.0,4.0,,,,7.0,,,60.0,3.0,,18.0,,48.0,,64.0,25.0,,3.0,31.0,239.0,11.0,,,15.0,24.0,6.0,,,,,10.0,5.0,,,,,,29.0,17.0,5.0,11.0,6.0,,,7.0,,9.0,10.0,,28.0,87.0,3.0,,5.0,7.0,29.0,5.0,,5.0,23.0,,43.0,4.0,,,28.0,107.0,,,9.0,5617.0
"El Paso, TX",,,,,,,9.0,,,,,,,,7.0,,,,,,,,3.0,,,3.0,,,,,,,,7.0,10.0,,,,,,24.0,28.0,,,,,16.0,,,,,,5.0,4.0,,,,,,,3.0,,,,,,31.0,3.0,,,,,,,4.0,3.0,,,,25.0,,11.0,24.0,,,,5.0,,,,6.0,,27.0,,,,,4.0,,4.0,,,,,,,,,,,,4904.0,,,,,,,,,,,6.0,,28.0,,,,,,6.0,77.0,4.0,,,5.0,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,15.0,,,3.0,,,,,5.0,,,,4.0,,3.0,4.0,,,5.0,,,,,5341.0
"Charlotte-Gastonia-Rock Hill, NC-SC",,3.0,9.0,9.0,,,12.0,6.0,,7.0,,3.0,5.0,,9.0,3.0,8.0,,,6.0,,263.0,7.0,3.0,,46.0,,,14.0,,248.0,,21.0,19.0,97.0,,,,,12.0,216.0,189.0,119.0,67.0,39.0,,103.0,,5.0,3.0,,,99.0,152.0,43.0,124.0,,33.0,,84.0,,,,,14.0,,39.0,69.0,3.0,,28.0,7.0,,7.0,23.0,69.0,6.0,,,629.0,7.0,42.0,67.0,14.0,9.0,17.0,46.0,14.0,29.0,8.0,35.0,,73.0,7.0,4.0,5.0,,18.0,85.0,,5.0,,,,5.0,26.0,6.0,,,,,433.0,24.0,,,,24.0,,,139.0,4.0,6.0,20.0,,61.0,,30.0,8.0,,,98.0,84.0,6.0,,,18.0,34.0,4.0,,5.0,3.0,,6.0,16.0,3.0,11.0,,3.0,,16.0,45.0,4.0,8.0,10.0,,,4.0,4.0,7.0,5.0,,10.0,44.0,14.0,,24.0,,10.0,,,7.0,31.0,4.0,93.0,3.0,10.0,25.0,45.0,342.0,3.0,9.0,3.0,5322.0
"Columbus, OH",,10.0,34.0,,,3.0,7.0,5.0,,5.0,3.0,8.0,,,36.0,,5.0,,,3.0,,148.0,6.0,3.0,,24.0,,,5.0,,117.0,9.0,13.0,54.0,59.0,,,,,,293.0,27.0,42.0,13.0,6.0,3.0,10.0,,,,8.0,,56.0,18.0,33.0,24.0,,57.0,,263.0,,,,,39.0,6.0,26.0,448.0,,,6.0,76.0,,,25.0,7.0,4.0,9.0,,486.0,14.0,38.0,180.0,,12.0,17.0,31.0,34.0,68.0,4.0,203.0,,55.0,6.0,,8.0,4.0,3.0,51.0,8.0,,,13.0,,,26.0,5.0,,,56.0,,116.0,,,,,44.0,,,82.0,,5.0,,,84.0,,55.0,,,,22.0,126.0,5.0,,,16.0,60.0,5.0,,3.0,3.0,,19.0,89.0,6.0,71.0,,,,450.0,9.0,3.0,22.0,14.0,,,3.0,,20.0,22.0,,27.0,7.0,15.0,,6.0,,23.0,,,18.0,37.0,4.0,49.0,,,14.0,22.0,52.0,9.0,9.0,19.0,5043.0
"Honolulu, HI",,,,,,,,,,34.0,3.0,,,,3.0,,,,,,,,,,,34.0,,,5.0,,14.0,,,,54.0,,,,,,728.0,11.0,,,,,,,,,,,7.0,6.0,9.0,3.0,,,3.0,,13.0,,4.0,,,3.0,30.0,5.0,,,,,,,,,22.0,,,20.0,11.0,,,5.0,11.0,5.0,6.0,447.0,,,3.0,,190.0,,,8.0,,,,,,,,,,4.0,,,,,,46.0,,8.0,,,,,,16.0,5.0,8.0,,,,,12.0,4.0,,,15.0,2737.0,6.0,,,4.0,16.0,,,,,37.0,,,3.0,,4.0,,,,4.0,,,,,,3.0,3.0,,37.0,,,53.0,,21.0,3.0,,4.0,,,,9.0,,24.0,3.0,,6.0,3.0,137.0,,,,4932.0
"Providence-New Bedford-Fall River, RI-MA",,5.0,6.0,12.0,,3.0,8.0,5.0,,6.0,,,,,35.0,,3.0,,,,3.0,54.0,66.0,,,135.0,,,10.0,,21.0,5.0,32.0,,32.0,472.0,,,,,197.0,189.0,6.0,,4.0,,3.0,,,,,,1037.0,41.0,42.0,70.0,3.0,14.0,,30.0,,,,14.0,17.0,,19.0,69.0,10.0,,334.0,9.0,12.0,6.0,99.0,24.0,6.0,,,183.0,3.0,24.0,23.0,10.0,3.0,15.0,43.0,14.0,7.0,4.0,18.0,,15.0,,,9.0,,36.0,142.0,,,,,,,4.0,9.0,,,,,50.0,3.0,,,,37.0,,,52.0,,6.0,,,106.0,,39.0,4.0,,,23.0,88.0,32.0,127.0,,6.0,39.0,,,,,,3.0,38.0,,,,,,,6.0,13.0,4.0,,,,,4.0,37.0,3.0,,9.0,29.0,6.0,,17.0,,17.0,4.0,,10.0,13.0,,49.0,,,4.0,26.0,49.0,,,3.0,4686.0
"Bridgeport-Stamford-Norwalk, CT",4.0,31.0,,,,,45.0,4.0,,18.0,3.0,,4.0,,77.0,,17.0,6.0,4.0,,,,4.0,,,289.0,,,20.0,,7.0,,14.0,10.0,76.0,10.0,,,,9.0,146.0,263.0,24.0,16.0,22.0,,9.0,,4.0,3.0,,,258.0,275.0,29.0,30.0,,4.0,3.0,18.0,,,,,,15.0,31.0,19.0,8.0,3.0,104.0,,,7.0,337.0,43.0,7.0,17.0,,340.0,3.0,19.0,10.0,23.0,6.0,17.0,330.0,28.0,6.0,,12.0,,26.0,,,3.0,10.0,4.0,8.0,,10.0,,13.0,,,10.0,,,,,,120.0,9.0,,,,31.0,,,6.0,11.0,8.0,13.0,,25.0,,58.0,,,5.0,129.0,104.0,79.0,15.0,,37.0,65.0,,3.0,4.0,,,7.0,3.0,,,7.0,6.0,,,29.0,18.0,3.0,,,,11.0,21.0,8.0,17.0,,,6.0,4.0,,15.0,,19.0,,,,90.0,,188.0,,23.0,10.0,33.0,42.0,,6.0,3.0,4516.0
