Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Beaverton, OR-WA","Austin-Round Rock, TX","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","San Antonio, TX","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Columbus, OH","Kansas City, MO-KS","Charlotte-Gastonia-Concord, NC-SC","Raleigh-Cary, NC","Nashville-Davidson--Murfreesboro--Franklin, TN","San Juan-Caguas-Guaynabo, PR","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Saint Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Fresno, CA","Tucson, AZ","Cincinnati-Middletown, OH-KY-IN","Virginia Beach-Norfolk-Newport News, VA-NC"
Comoros,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic",1764,38,21,5,99,28,10,47,169,50,99,10,4,12,27,4,,37,,10,4,,36,9,3,6,9,,6,,,11,10,8,113,50,5,,19,6,4,28,,5,15,,,,22,10,11
"Congo, Republic",968,50,17,5,65,33,3,18,64,19,44,4,,11,19,4,,28,,9,,,10,5,3,7,10,,3,,,10,11,8,36,40,9,,12,,4,11,,11,,,,,11,3,4
Costa Rica,2164,490,89,233,64,19,20,46,40,21,55,18,10,42,15,27,5,20,49,5,19,41,15,14,12,9,8,,3,6,,28,8,7,35,7,13,22,7,,8,,10,,4,4,,,,5,
Cote d'Ivoire,1621,374,18,5,159,33,16,29,35,29,102,,,88,27,,11,16,,45,11,6,13,36,5,18,13,,25,5,,7,13,8,18,5,3,,10,12,15,11,7,14,18,,,,13,8,10
Croatia,357,76,25,7,14,30,10,4,4,10,13,5,7,3,4,6,3,5,3,,7,5,,5,5,3,,,,,,4,,3,,,,,3,,,12,6,,6,,,,,,3
Cuba,33573,832,264,22881,49,93,60,524,116,25,150,31,11,46,17,47,6,246,612,3,609,1968,12,21,12,110,196,,6,41,20,15,8,99,85,32,78,87,32,9,13,20,252,4,4,3,,,30,3,44
Cyprus,122,30,7,4,7,,,,,8,5,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,190,19,7,3,17,13,4,,,,3,4,3,6,7,3,,6,,,3,5,,3,,6,,,,,,,,,,,,,,,,4,,,,,,,3,,
"Czechoslovakia, former",750,84,52,23,27,65,24,8,,23,21,11,10,11,15,,10,12,15,5,6,18,12,3,3,8,,,3,,,3,3,,3,5,4,,4,3,3,,11,,,,,3,,,
Denmark,518,82,49,15,14,11,25,24,6,7,21,7,6,6,28,4,3,,3,,4,,3,5,,10,5,,,,,15,,,4,7,5,,,,7,,,6,,,,,,3,6
Djibouti,37,,,,,3,,,,,,,,,,,,,,8,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Dominica,366,136,4,20,8,9,,14,,13,11,,,3,,,,,,,,8,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,3
Dominican Republic,53870,33706,69,2420,673,166,33,103,78,3689,216,22,6,1017,22,19,43,40,700,34,46,340,14,92,4,9,6,,1246,27,13,330,65,26,96,106,15,2984,16,136,39,11,56,264,39,,,,9,33,35
Ecuador,11492,6577,279,1006,251,396,34,123,76,86,90,15,10,106,27,54,10,25,162,91,33,99,14,34,,14,7,4,16,13,6,255,9,14,153,13,19,17,32,40,8,16,30,45,10,3,6,,7,5,5
Egypt,8978,3190,710,76,429,184,114,133,189,158,74,41,47,244,76,194,88,58,85,120,19,127,18,68,27,77,10,,63,17,,15,46,23,26,37,540,4,10,23,30,16,15,54,81,14,8,11,,12,16
El Salvador,18806,2752,4148,380,3015,156,771,1610,665,497,199,56,127,62,101,420,11,73,44,65,255,53,89,165,72,35,68,,53,46,,39,8,39,115,48,46,13,45,18,33,,11,53,12,38,19,100,6,3,21
Equatorial Guinea,12,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,1656,34,63,5,276,34,127,48,69,35,96,18,44,26,122,5,5,35,3,42,59,,43,11,10,12,3,,4,10,,4,46,11,46,15,6,,10,,10,21,,,,,3,,,15,3
Estonia,260,40,19,16,6,9,7,,,,4,,4,6,11,,,3,8,,,5,3,,,3,3,,,,,,,,,3,,,,,,,5,,,3,,,,7,
Ethiopia,14266,278,402,15,3228,272,294,265,589,315,793,170,273,163,892,59,39,154,36,964,446,36,523,158,86,176,67,9,12,13,,,215,160,117,72,165,,36,20,57,84,55,10,13,,9,17,20,90,32
Fiji,1201,8,52,,,3,303,5,,5,4,11,31,,106,36,,7,,7,6,3,,,288,70,,11,,,,,,,,,,,5,,,,,,,,21,3,,,
Finland,397,33,19,19,9,5,24,14,16,7,10,30,19,3,24,5,,,7,5,,6,5,5,,,,,,,,7,,,3,,,,,,,,,,,,,,,,3
France,3861,730,351,285,180,105,257,105,58,127,79,72,104,75,66,20,29,41,47,34,40,26,27,27,25,24,43,16,14,18,4,13,10,12,16,11,6,5,11,13,8,12,11,8,8,15,3,6,8,24,7
French Guiana,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,16,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,138,18,,,15,,,5,5,6,7,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,3,,
Gambia,859,224,8,7,53,3,8,,22,5,101,,,9,83,,22,,,27,,,5,9,,8,,,21,,,,12,,7,30,5,,,4,,,,,,,,,,4,
Georgia,1518,862,93,28,41,29,29,7,7,16,23,4,10,69,13,,5,,12,6,6,5,,13,7,15,,,,,,11,5,,3,,3,,,4,,3,,3,7,,,,,11,5
Germany,6888,782,383,210,226,233,267,118,105,143,148,112,128,124,165,58,153,78,68,63,50,54,63,47,46,46,54,28,17,37,39,30,19,31,45,26,23,8,15,25,20,39,24,8,26,21,5,17,33,40,51
Ghana,7429,2136,77,15,997,262,36,82,197,92,348,13,11,234,56,52,48,43,18,147,21,31,164,178,11,19,23,,27,5,,14,310,17,53,18,42,,14,93,11,14,14,263,19,4,5,3,7,83,41
Gibraltar,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,745,205,34,15,25,44,11,11,4,57,10,8,9,32,5,,13,10,7,6,5,23,3,7,4,,5,,5,,,10,,,6,,,,,6,,,,14,6,,,,,,3
Grenada,664,465,6,13,34,,,18,3,12,14,,,8,,,,,6,,,,6,7,,,,,,,,3,,,,,,,,,,,,,,,,,,,3
Guadeloupe,34,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,10467,898,2478,427,595,303,445,278,168,294,144,148,50,52,73,297,21,127,46,28,117,48,38,56,39,92,35,,337,43,3,138,6,34,22,12,32,12,48,12,20,9,19,23,15,54,19,13,9,22,
Guinea,1379,645,3,6,101,15,8,10,15,38,95,3,,69,12,,7,10,,29,3,,7,21,,3,11,,10,,,,50,4,6,5,,,,,22,,5,,,,,,,5,5
Guinea-Bissau,30,3,,,3,,,,,5,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
Guyana,6749,4973,10,216,185,11,6,23,7,33,142,11,12,61,,3,,7,183,83,4,26,,32,,,,,6,,,17,,4,3,5,6,,,46,5,,12,,18,,3,,4,,8
Haiti,22582,5652,34,8361,228,116,32,28,14,1762,345,,,427,18,3,11,13,1349,8,13,271,17,35,,10,14,,98,5,,369,37,36,16,9,11,5,4,38,18,24,169,41,,,,,,5,32
Honduras,6448,1055,530,870,437,129,83,413,162,127,86,36,44,37,43,72,7,45,61,18,46,85,24,29,12,28,67,,13,42,6,33,6,47,58,43,36,10,22,13,29,7,19,10,11,22,7,11,8,11,13
Hong Kong,2432,497,420,15,42,51,455,38,34,81,18,42,110,16,71,13,8,13,7,25,23,3,8,23,40,20,13,39,7,3,,7,5,5,7,,,,5,5,3,5,,4,4,5,4,,,,
Hungary,1022,212,74,66,27,17,26,16,20,13,14,24,10,10,17,9,4,11,18,9,17,40,6,9,6,6,11,,3,3,,9,,3,,10,9,,,3,,3,24,,9,6,,,3,,
Iceland,105,17,7,5,,,,,,4,6,,5,,3,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
India,69162,11388,2479,541,2918,4534,3607,2175,2403,1603,1850,671,3942,2290,1700,513,1261,722,323,630,165,423,274,803,958,402,501,15,137,185,10,273,427,331,479,499,196,10,126,462,329,376,194,355,338,225,476,653,62,301,146
Indonesia,3032,258,595,23,127,54,150,106,69,66,63,34,72,117,112,250,14,26,12,18,25,8,63,28,25,19,23,17,6,8,,5,14,9,5,8,6,,7,8,5,3,8,,5,14,10,10,10,4,8
Iran,14182,457,5360,138,929,271,502,431,399,183,321,393,704,80,262,118,71,174,78,57,92,55,95,140,233,98,72,17,15,73,,18,36,66,45,37,95,,53,35,15,32,32,25,23,93,15,38,30,25,30
Iraq,19855,239,624,46,645,1045,103,618,482,234,326,3360,130,186,219,104,3398,997,55,66,114,65,267,115,113,149,151,8,47,150,22,5,182,156,20,103,260,,189,26,32,154,144,154,27,3,13,9,215,5,65
Ireland,1507,374,59,30,37,86,83,26,7,154,23,22,27,41,44,4,4,19,8,13,,12,18,11,4,16,9,,5,4,,14,3,,4,,,,,,3,7,6,9,7,6,,,,4,6
Israel,4515,1188,545,353,121,161,115,87,93,130,71,63,196,84,79,27,34,46,16,32,97,15,23,44,8,26,13,11,13,9,,12,26,13,9,14,17,,5,12,18,35,17,3,36,37,,5,4,16,9
Italy,2579,528,212,226,102,80,75,60,33,93,45,83,32,46,50,,31,24,22,12,19,32,13,24,10,7,18,7,10,5,,23,9,4,9,11,6,22,10,14,10,17,6,7,10,7,,,4,7,16
Jamaica,19825,7511,133,3927,576,180,36,129,75,335,761,19,4,609,21,53,44,48,481,41,20,242,13,215,12,14,17,5,45,18,6,282,29,28,62,19,15,,11,527,14,35,88,21,49,,,3,6,20,110
Japan,6264,799,919,75,136,143,283,69,74,143,96,226,232,74,222,34,79,38,40,48,63,19,48,52,31,80,24,330,8,20,7,27,31,29,12,19,27,,24,10,22,31,14,9,21,26,6,19,18,27,31
Jordan,3868,403,178,65,125,436,115,133,174,53,35,71,22,45,31,97,132,61,23,21,11,58,24,12,23,16,19,,5,20,10,3,38,32,23,29,57,7,18,6,22,41,10,10,62,,11,9,7,48,8
Kazakhstan,1282,246,60,37,62,38,20,48,13,21,16,18,8,28,46,10,11,8,9,16,4,6,17,21,44,47,5,3,3,5,,8,7,4,,,4,,6,3,5,7,3,4,4,,,3,,11,6
Kenya,7421,430,162,29,242,66,87,192,641,320,331,38,32,243,339,52,9,96,15,656,21,24,48,172,33,40,29,4,30,12,,9,146,225,49,137,34,,46,11,61,103,23,120,9,4,10,,14,15,32
Kiribati,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, North",35,,11,,,3,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",22227,3415,5298,86,1338,729,484,297,549,277,825,418,604,450,750,330,157,135,72,138,133,52,167,371,98,127,140,222,28,72,36,30,62,70,60,75,92,,43,38,52,92,44,17,57,52,,24,41,39,50
Kosovo,355,131,,3,10,20,,3,10,4,14,3,,10,4,,7,5,,,,9,,,,,,,,,,4,,,,4,,,,5,,7,,,,,,,,,
Kuwait,1037,91,70,20,40,61,22,41,64,12,24,6,16,22,14,10,38,11,10,14,4,6,6,7,11,11,,,4,9,4,4,11,8,13,9,22,,5,6,9,8,3,6,16,,,6,11,9,
Kyrgyzstan,507,102,15,6,32,7,20,9,,5,,,9,9,13,4,,4,,10,6,,14,,9,32,3,,,,,,,3,,,,,6,,,8,3,,,,,,,14,
Laos,1200,6,27,9,19,15,19,21,37,20,20,20,6,8,35,12,6,4,,209,10,15,8,,40,14,,18,17,,,,13,12,3,,28,,10,7,,4,3,3,,,8,46,,,4
Latvia,435,87,20,8,13,32,14,4,7,13,21,,3,9,8,,,3,4,12,,5,5,5,5,10,4,,,,,4,,,4,,3,,,,,,,3,5,,,,,,
Lebanon,3487,260,383,76,129,69,41,166,74,197,42,69,38,38,41,53,689,25,23,27,15,30,24,15,16,14,14,,48,10,6,13,23,10,25,18,9,,10,,11,5,11,35,45,11,,5,7,14,5
Lesotho,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,4837,319,8,,279,64,38,102,118,75,220,17,10,883,20,6,35,86,6,674,11,13,26,119,25,19,4,,206,5,,4,41,31,91,11,7,,19,14,31,24,19,82,22,,5,,19,5,6
Libya,355,31,10,5,15,6,8,10,9,3,4,,3,7,15,10,10,,,8,6,4,10,,5,4,3,,,,,3,11,,,,6,,,,,3,,,,,,3,,,
Liechtenstein,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,985,116,45,35,18,374,17,7,4,30,14,13,5,19,4,,9,4,5,7,5,22,8,9,,5,,,,,,4,,3,3,,,,3,9,4,5,,6,11,,,,,3,
Luxembourg,22,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,143,24,32,,3,3,31,,,,,,7,,8,4,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,963,286,18,40,11,194,3,5,10,8,3,4,,5,,4,59,15,,,3,11,5,3,,,,,,,,7,10,,,,,,,,,9,,,5,,,,,,
Madagascar,80,7,3,,24,3,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,164,6,5,,12,6,,3,5,3,14,,,5,,4,8,,,,,,,5,,,4,,,,,,,,,,3,,,,4,,,,,,,,,,
Malaysia,1714,318,138,15,67,47,86,67,78,26,57,10,53,12,37,12,6,12,10,17,8,11,5,22,18,16,11,14,6,6,3,3,5,14,6,15,14,,6,,51,10,9,5,,3,,5,,10,3
Maldives,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,528,241,7,,29,,,12,3,,23,,,45,17,,,,,,,,12,8,,,,,8,,,,10,,5,,,,,,9,,,,3,,,,4,17,
Malta,74,12,,,,,,,,,,,,,8,,,,,,,3,9,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
Marshall Islands,37,,,,,4,,,,,,,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,15,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,495,134,,,23,5,,5,4,3,7,,,14,6,,9,,,,,,12,8,,,,,,,,,54,,,,,,,,10,8,,,,,,,,83,
Mauritius,84,9,3,6,10,,,4,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,139120,2911,19553,993,880,7072,2443,7583,7103,172,1327,6190,1468,529,811,6738,418,4125,333,452,1963,375,1863,151,1175,819,1390,32,68,2344,4176,99,103,672,330,292,309,70,694,40,327,209,89,21,131,1222,950,1328,1375,115,70
"Micronesia, Federated States",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,1981,196,56,39,50,64,20,11,15,32,61,18,26,44,264,5,5,14,34,32,26,7,9,17,209,89,3,,,6,,10,3,8,13,20,,,8,,5,5,4,,15,,3,,,8,9
Monaco,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,594,16,47,,102,66,104,,5,4,,,,7,33,3,,,,,4,4,50,4,14,3,,4,,,,,,,,,,,7,,3,,,,,,,,,,
Montenegro,120,78,,,,7,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,27,10,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,5013,931,103,115,440,184,61,83,72,578,79,33,18,182,36,15,40,24,251,46,14,92,74,49,16,10,35,,35,11,3,35,79,19,40,115,7,,,35,27,10,32,6,27,,,,3,26,59
Mozambique,53,9,5,,3,,5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,60,5,,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Nepal,7115,836,173,30,650,122,305,156,499,306,231,33,128,33,146,13,31,97,17,87,31,11,263,217,109,58,94,5,27,31,,14,11,57,12,49,23,,93,49,5,40,36,35,34,4,3,10,42,33,13
Netherlands,1321,159,81,60,44,37,44,89,17,42,40,19,29,21,50,11,3,9,14,18,6,7,16,9,5,14,12,,7,3,5,19,9,5,,9,3,,,7,7,6,10,4,3,8,,,,7,3
Netherlands Antilles,77,16,,14,,,,,,,6,,,,,,,,3,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
New Caledonia,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,919,82,65,17,25,20,49,15,12,16,4,15,15,9,52,5,6,13,3,11,13,,20,17,10,10,7,21,4,3,,9,4,6,,7,,,12,4,,6,,,7,5,,,3,4,
Nicaragua,3565,197,397,1406,159,19,248,97,39,17,39,10,35,35,23,60,4,20,27,6,41,34,8,9,14,5,11,,,14,,5,4,,14,,4,16,5,6,6,3,15,,4,10,11,,,6,7
Niger,96,14,,,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,3,
Nigeria,13376,2127,467,153,1252,653,138,1281,861,350,876,58,37,397,56,175,142,86,46,278,45,82,55,663,66,48,91,4,106,62,6,25,85,76,61,136,81,,8,32,205,78,34,24,50,4,19,9,15,51,64
Norway,334,40,18,13,10,6,12,33,,12,5,6,3,,11,,,,4,6,,,7,,4,5,,4,,3,,7,,,,,3,,,,,4,,,,,,,,,
Oman,63,3,4,,8,6,3,3,5,,,,,3,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,18258,4487,613,392,1450,1147,358,1356,777,228,369,74,154,440,172,171,278,70,112,101,46,71,61,433,313,30,149,,55,45,4,62,69,127,43,45,34,,53,181,66,81,18,52,41,23,244,38,13,33,26
Palau,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,1536,268,56,189,65,17,27,38,31,22,59,14,3,21,13,9,9,14,45,13,13,36,6,9,8,,9,4,4,17,7,,4,4,9,10,5,10,,,3,3,14,5,3,8,,,4,3,19
Papua New Guinea,30,,,,6,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,467,184,6,62,43,4,,7,3,5,9,4,,4,3,4,,,4,,,4,4,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
Peru,14247,3440,937,2427,1118,166,407,221,233,128,241,90,126,111,109,197,12,86,242,55,127,173,100,69,46,37,37,11,29,39,10,137,32,59,97,49,26,50,159,161,25,31,48,12,23,35,18,6,13,60,40
Philippines,58173,4047,9169,536,1576,1932,4408,1019,589,228,248,2641,1988,476,1377,1712,289,589,403,240,1829,301,173,435,842,354,133,3107,94,194,49,110,103,113,98,70,68,3,70,74,104,120,342,47,115,406,570,169,70,98,565
