Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Beaverton, OR-WA","Austin-Round Rock, TX","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","San Antonio, TX","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Columbus, OH","Kansas City, MO-KS","Charlotte-Gastonia-Concord, NC-SC","Raleigh-Cary, NC","Nashville-Davidson--Murfreesboro--Franklin, TN","San Juan-Caguas-Guaynabo, PR","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Saint Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Fresno, CA","Tucson, AZ","Cincinnati-Middletown, OH-KY-IN","Virginia Beach-Norfolk-Newport News, VA-NC"
Sudan,2397,147,52,18,269,68,23,39,83,33,43,12,12,62,45,3,15,82,12,32,11,10,102,21,4,7,10,,,7,,3,41,31,7,15,31,,27,24,9,5,12,,9,,,,13,3,5
Suriname,216,122,,20,4,,4,,,3,6,,,,,,,,10,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,22,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Sweden,1097,127,110,37,45,20,53,26,18,33,19,30,25,15,42,8,7,11,17,10,3,12,8,3,11,22,8,3,6,3,,33,8,,8,13,5,,7,7,4,6,5,,,6,,,3,4,8
Switzerland,675,122,52,33,22,20,31,15,4,32,7,12,20,11,12,12,6,8,5,9,,10,5,5,3,6,5,3,,,,9,,,,,7,,3,4,,,4,,,3,,,,4,
Syria,2555,261,406,26,54,245,27,52,39,51,22,35,18,33,23,128,121,40,10,15,12,20,8,11,10,18,8,,23,8,,13,26,7,8,11,5,,5,,8,7,37,30,48,25,7,,8,6,
Taiwan,6732,771,1692,73,187,143,408,212,181,115,98,93,593,84,192,173,43,48,23,39,28,17,39,40,45,52,48,42,10,12,19,19,21,26,18,26,14,,15,17,22,28,6,7,14,29,9,11,,16,13
Tajikistan,299,108,11,5,22,3,4,,,,4,,,5,11,,,5,7,,,5,18,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,1850,80,35,,88,31,14,91,82,44,77,6,5,23,24,11,6,29,15,21,10,4,17,9,3,18,12,,14,16,,7,22,32,7,22,6,,20,9,6,10,5,5,10,,,,13,20,
Thailand,9384,270,856,118,300,220,223,204,257,114,210,148,73,95,181,106,31,210,45,316,140,53,185,29,64,100,76,59,17,53,,8,22,91,13,79,91,,133,98,52,43,58,26,46,29,14,22,22,17,51
Togo,1563,283,5,,244,72,,5,31,20,101,12,,36,9,,3,15,,94,4,15,16,19,,6,5,,3,,,3,4,10,19,10,4,,10,14,9,13,5,5,3,,,,14,8,34
Tonga,343,,26,,,,47,,10,,,,32,,11,16,,10,,,,,,,5,5,,23,,,,,,,,,,,52,,,,,,,,3,,,,3
Trinidad and Tobago,5435,2981,36,546,190,30,12,109,32,81,134,4,8,151,15,16,6,14,101,15,6,56,7,144,3,5,7,,11,5,,21,10,8,20,12,5,,,16,3,,21,5,4,,,,,,23
Tunisia,418,53,32,16,42,13,24,6,5,11,6,,10,21,3,,7,5,14,9,,12,3,5,,,3,,,,,,,,,,,,,,3,,,,,,,,,,
Turkey,4483,1137,249,152,236,139,128,166,49,148,92,62,77,217,65,17,23,38,43,18,30,46,14,51,15,17,26,6,17,17,,28,24,20,15,16,14,,3,19,24,14,21,7,33,,,4,10,15,24
Turkmenistan,224,79,4,6,16,11,7,3,5,6,,,,,12,5,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3
Turks and Caicos Islands,29,4,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,1085,45,66,8,93,19,15,36,38,233,29,11,,16,43,8,11,6,4,22,7,7,16,14,6,,5,,,,,,10,11,5,5,12,,11,9,9,4,,8,5,,,,,4,
Ukraine,8477,1821,293,154,132,773,106,83,98,133,106,84,58,366,456,23,166,61,45,113,31,53,74,69,439,238,17,10,18,16,,73,19,15,34,27,13,,30,61,27,28,32,17,163,8,,19,14,22,30
United Arab Emirates,779,119,46,17,59,35,20,48,35,15,19,10,15,20,15,10,33,4,4,20,,8,,10,4,4,6,,4,,3,4,5,4,8,4,6,,5,,5,,4,3,6,3,,,,,
United Kingdom,12792,1660,1001,348,427,333,514,587,246,350,287,201,198,285,300,95,132,177,334,82,86,186,108,101,70,102,114,27,45,48,5,131,34,39,70,93,57,6,40,50,77,71,43,23,45,67,12,17,30,80,37
United States,201,31,25,17,17,5,6,,8,,5,8,,,,,,,,,,4,,,,,,,,4,3,,,4,,,,,,,,,,,,,,,,,
Uruguay,1331,300,31,354,53,13,8,29,16,8,74,9,3,11,4,3,,6,26,5,10,15,5,9,,,5,,3,3,,23,,,5,,,11,32,3,4,5,3,65,8,4,,,,,
Uzbekistan,4770,2934,101,28,91,73,39,14,11,17,28,29,32,204,48,9,33,25,37,29,6,7,48,69,32,25,7,,,,,5,16,12,9,4,31,,9,6,11,13,,,33,,,3,,75,9
Vanuatu,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,9409,695,130,3981,220,95,56,815,113,104,246,40,16,76,38,19,30,38,591,27,24,210,24,25,14,11,52,8,18,9,9,39,27,18,42,20,25,158,57,12,27,9,36,6,11,10,,,6,41,6
Vietnam,30632,456,5636,254,1029,374,1217,1999,1129,779,867,952,2319,672,1261,399,121,373,287,417,144,336,375,83,523,773,239,133,14,94,,44,52,122,203,173,76,,147,78,47,140,91,165,43,70,129,34,58,87,106
Yemen,3591,1400,17,,22,129,269,4,12,,6,,3,12,12,5,693,14,,20,6,,3,,,,7,,,,,,10,9,4,6,31,,,23,,,,,5,,14,80,,,
Zambia,628,56,11,5,36,19,4,13,49,16,37,3,,10,9,5,4,17,7,7,,3,,9,7,4,8,,,,,11,3,9,3,4,,,11,,18,12,9,,10,,,,6,,
Zimbabwe,1274,82,31,20,67,21,17,14,174,54,66,10,13,40,16,21,9,26,8,10,7,5,3,9,4,11,7,,3,3,,14,16,7,9,11,8,,,7,48,6,,4,8,,,3,5,41,
