Country,Total,NAME_LONG,ISO_A3
Afghanistan,"8,328",Afghanistan,AFG
Albania,"4,653",Albania,ALB
Algeria,"1,775",Algeria,DZA
Andorra,5,Andorra,AND
Angola,154,Angola,AGO
Anguilla,22,Anguilla,AIA
Antigua and Barbuda,290,Antigua and Barbuda,ATG
Argentina,"3,730",Argentina,ARG
Armenia,"2,962",Armenia,ARM
Aruba,38,Aruba,ABW
Australia,"3,034",Australia,AUS
Austria,474,Austria,AUT
Azerbaijan,676,Azerbaijan,AZE
Bahamas,725,Bahamas,BHS
Bahrain,145,Bahrain,BHR
Bangladesh,"13,570",Bangladesh,BGD
Barbados,376,Barbados,BRB
Belarus,"1,994",Belarus,BLR
Belgium,662,Belgium,BEL
Belize,772,Belize,BLZ
Benin,466,Benin,BEN
Bermuda,112,Bermuda,BMU
Bhutan,"6,325",Bhutan,BTN
Bolivia,"1,626",Bolivia,BOL
Bosnia and Herzegovina,859,Bosnia and Herzegovina,BIH
Botswana,61,Botswana,BWA
Brazil,"11,424",Brazil,BRA
"Virgin Islands, British",38,"Virgin Islands, British",VGB
Brunei,21,Brunei,BRN
Bulgaria,"2,688",Bulgaria,BGR
Burkina Faso,575,Burkina Faso,BFA
Burma,"12,808",Burma,MMR
Burundi,351,Burundi,BDI
Cambodia,"1,868",Cambodia,KHM
Cameroon,"4,374",Cameroon,CMR
Canada,"12,673",Canada,CAN
Cabo Verde,"1,253",Cabo Verde,CIV
Cayman Islands,53,Cayman Islands,CYM
Central African Republic,234,Central African Republic,CAF
Chad,175,Chad,TCD
Chile,"1,596",Chile,CHL
"China, People's Republic","74,558","China, People's Republic",CHN
Colombia,"17,316",Colombia,COL
Comoros,5,Comoros,COM
"Congo, Democratic Republic","5,345","Congo, Democratic Republic",COD
"Congo, Republic",496,"Congo, Republic",COG
Costa Rica,"2,029",Costa Rica,CRI
Croatia,348,Croatia,HRV
Cuba,"54,396",Cuba,CUB
Curacao,22,Curacao,CUW
Cyprus,113,Cyprus,CYP
Czechia,637,Czechia,CZE
Denmark,609,Denmark,DNK
Djibouti,370,Djibouti,DJI
Dominica,229,Dominica,DMA
Dominican Republic,"50,610",Dominican Republic,DOM
Timor-Leste,3,Timor-Leste,TLS
Ecuador,"10,187",Ecuador,ECU
Egypt,"12,085",Egypt,EGY
El Salvador,"19,487",El Salvador,SLV
