Country,Total,NAME,ISO_A3
Saint Kitts and Nevis,350,Saint Kitts and Nevis,KNA
Saint Lucia,785,Saint Lucia,LCA
Saint Vincent and the Grenadines,468,Saint Vincent and the Grenadines,VCT
Samoa,267,Samoa,WSM
Sao Tome and Principe,9,Sao Tome and Principe,STP
Saudi Arabia,"1,396",Saudi Arabia,SAU
Senegal,"1,424",Senegal,SEN
Serbia,244,Serbia,SRB
Seychelles,15,Seychelles,SYC
Sierra Leone,"1,985",Sierra Leone,SLE
Singapore,690,Singapore,SGP
Slovakia,594,Slovakia,SVK
Slovenia,69,Slovenia,SVN
Somalia,"4,451",Somalia,SOM
South Africa,"2,649",South Africa,ZAF
Spain,"1,890",Spain,ESP
Sri Lanka,"2,053",Sri Lanka,LKA
Sudan,"2,628",Sudan,SDN
Suriname,196,Suriname,SUR
Swaziland,19,Swaziland,SWZ
Sweden,979,Sweden,SWE
Switzerland,615,Switzerland,CHE
Syria,"2,785",Syria,SYR
Taiwan,"6,154",Taiwan,TWN
Tajikistan,382,Tajikistan,TJK
Tanzania,"1,427",Tanzania,TZA
Thailand,"9,962",Thailand,THA
Togo,"1,506",Togo,TGO
Tonga,408,Tonga,TON
Trinidad and Tobago,"5,023",Trinidad and Tobago,TTO
Tunisia,440,Tunisia,TUN
Turkey,"4,403",Turkey,TUR
Turkmenistan,260,Turkmenistan,TKM
Turks and Caicos Islands,33,Turks and Caicos Islands,TCA
Uganda,"1,239",Uganda,UGA
Ukraine,"8,292",Ukraine,UKR
United Arab Emirates,707,United Arab Emirates,ARE
United Kingdom,"11,572",United Kingdom,GBR
United States,269,United States,USA
Uruguay,"1,553",Uruguay,URY
Uzbekistan,"5,056",Uzbekistan,UZB
Vanuatu,4,Vanuatu,VUT
Venezuela,"9,183",Venezuela,VEN
Vietnam,"34,157",Vietnam,VNM
Yemen,"3,361",Yemen,YEM
Zambia,652,Zambia,ZMB
Zimbabwe,"1,016",Zimbabwe,ZWE
