NAME,Total
"Raleigh, NC",3949.0
"Riverside-San Bernardino-Ontario, CA",13284.0
"San Francisco-Oakland-Hayward, CA",32408.0
"Sacramento--Roseville--Arden-Arcade, CA",8619.0
"San Jose-Sunnyvale-Santa Clara, CA",18351.0
"Salt Lake City, UT",3896.0
"San Antonio-New Braunfels, TX",5325.0
"San Diego-Carlsbad, CA",17512.0
"Seattle-Tacoma-Bellevue, WA",17329.0
"Stockton-Lodi, CA",2906.0
"Urban Honolulu, HI",4262.0
"Virginia Beach-Norfolk-Newport News, VA-NC",2667.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",39023.0
"Worcester, MA-CT",2904.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",4510.0
"New York-Newark-Jersey City, NY-NJ-PA",172269.0
"Orlando-Kissimmee-Sanford, FL",10093.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17413.0
"Phoenix-Mesa-Scottsdale, AZ",11841.0
"Portland-Vancouver-Hillsboro, OR-WA",6130.0
"Providence-Warwick, RI-MA",4114.0
"Denver-Aurora-Lakewood, CO",7291.0
"Detroit-Warren-Dearborn, MI",12683.0
"Los Angeles-Long Beach-Anaheim, CA",79905.0
"Louisville/Jefferson County, KY-IN",3128.0
"McAllen-Edinburg-Mission, TX",2997.0
"Miami-Fort Lauderdale-West Palm Beach, FL",71497.0
"Milwaukee-Waukesha-West Allis, WI",2611.0
"El Paso, TX",4331.0
"Fresno, CA",2813.0
"Hartford-West Hartford-East Hartford, CT",3369.0
"Houston-The Woodlands-Sugar Land, TX",33573.0
"Indianapolis-Carmel-Anderson, IN",4173.0
"Jacksonville, FL",3178.0
"Kansas City, MO-KS",3588.0
"Las Vegas-Henderson-Paradise, NV",8521.0
"Atlanta-Sandy Springs-Roswell, GA",19392.0
"Austin-Round Rock, TX",6039.0
"Baltimore-Columbia-Towson, MD",8336.0
"Boston-Cambridge-Newton, MA-NH",23698.0
"Bridgeport-Stamford-Norwalk, CT",4302.0
"Charlotte-Concord-Gastonia, NC-SC",5331.0
"Chicago-Naperville-Elgin, IL-IN-WI",32760.0
"Cincinnati, OH-KY-IN",2907.0
"Cleveland-Elyria, OH",2994.0
"Columbus, OH",5225.0
"Dallas-Fort Worth-Arlington, TX",28490.0
