Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Stockton-Lodi, CA","Fresno, CA","Worcester, MA-CT","Cleveland-Elyria, OH","Bakersfield, CA","McAllen-Edinburg-Mission, TX","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",Non-CBSA,Other & Unknown
Curacao,35,5,3,9,D,-,D,D,-,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,D,-,-,-,-,D,7
Cyprus,131,40,12,6,4,5,D,D,3,D,-,3,4,4,D,-,-,D,-,D,D,3,D,D,D,D,-,D,D,-,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,20
Czechia,650,64,37,21,26,63,7,26,14,17,17,24,19,14,7,5,4,9,3,3,6,3,7,13,5,9,D,D,D,D,D,D,8,D,D,3,10,3,5,4,-,D,-,D,-,5,D,-,-,D,-,13,159
Czechoslovakia (former),62,10,3,3,3,3,D,3,D,D,-,D,D,-,-,D,-,-,D,-,3,-,-,D,-,-,-,D,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,18
Denmark,521,75,45,17,17,17,20,31,6,16,21,15,15,10,5,3,D,D,14,5,5,3,D,D,10,5,D,D,D,D,D,D,-,-,12,D,11,4,3,3,D,3,4,-,-,D,D,D,-,D,-,8,95
Djibouti,281,4,-,D,6,7,D,D,D,6,8,7,D,-,D,-,-,D,-,59,-,-,-,9,5,-,-,D,-,8,-,-,D,-,-,-,-,-,-,-,13,-,-,-,-,-,D,D,-,-,-,5,129
Dominica,298,101,D,19,12,3,4,D,6,3,7,D,-,5,-,-,-,-,D,-,4,-,-,-,9,-,-,-,-,D,-,-,-,-,8,-,-,-,-,3,D,-,3,-,-,-,-,-,-,-,-,68,34
Dominican Republic,"61,161","35,495",118,"2,635",635,170,201,42,161,"4,660",425,28,6,"1,593",37,26,86,51,"1,075",54,481,22,55,31,141,17,25,215,48,106,"1,465",83,8,16,461,D,136,39,34,74,17,63,243,D,D,336,72,3,8,118,"2,513",543,"6,284"
Ecuador,"10,757","6,249",235,770,129,383,113,34,41,87,100,21,8,121,19,34,10,19,196,243,70,3,29,15,35,10,17,120,16,16,27,8,9,5,276,D,10,28,16,16,3,7,55,D,-,38,5,8,-,14,12,41,"1,033"
Egypt,"12,045","3,624","1,323",127,475,192,251,236,341,262,91,145,91,278,64,318,159,54,169,91,183,42,31,23,97,85,25,52,27,60,55,64,763,D,15,4,54,10,21,15,13,37,24,3,6,89,78,36,7,11,D,88,"1,733"
El Salvador,"23,449","3,046","4,125",505,"3,669",194,"1,760","1,184",945,673,357,130,199,56,44,457,24,106,72,125,51,78,310,118,261,65,78,207,79,55,70,70,106,8,33,8,79,84,65,17,14,14,23,34,142,79,12,87,9,27,10,192,"3,293"
Equatorial Guinea,18,D,-,-,D,D,D,-,3,-,3,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,3
Eritrea,"2,267",24,39,D,250,40,83,162,123,36,116,175,32,38,23,3,5,45,6,63,10,9,52,77,32,26,24,33,36,67,3,46,20,-,D,D,14,9,D,5,11,13,D,-,-,D,7,-,-,-,-,14,486
Estonia,211,30,9,13,6,9,D,18,D,4,4,5,8,D,3,D,D,4,7,7,3,3,3,4,5,3,D,4,D,D,D,D,D,-,-,D,D,D,D,-,-,3,-,-,-,-,-,-,-,-,-,D,31
Ethiopia,"13,232",155,248,22,"2,938",202,268,245,568,244,713,906,184,155,154,34,26,105,14,"1,123",32,80,499,595,161,185,126,74,20,334,6,60,146,D,4,D,51,53,170,44,51,78,16,5,18,11,23,D,-,D,-,76,"2,005"
Fiji,866,9,45,D,4,-,4,194,7,-,4,60,21,D,5,12,-,7,D,D,-,242,6,D,-,29,-,D,D,D,-,-,D,-,-,11,5,4,D,-,-,-,-,25,D,-,-,-,-,-,-,8,152
Finland,489,59,32,31,19,10,4,21,21,17,15,24,56,6,17,D,7,7,6,6,10,-,D,D,-,6,D,7,D,D,D,-,-,D,-,D,3,D,-,D,D,D,D,-,D,D,3,-,D,D,-,4,77
France,"5,159",964,509,394,175,114,186,410,90,242,110,134,188,49,90,24,64,44,53,28,32,13,36,35,22,40,46,29,9,14,19,14,12,5,26,9,16,10,10,12,4,16,11,D,5,11,6,D,-,6,4,39,777
French Polynesia,27,D,5,-,-,D,-,4,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,4,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
Gabon,165,25,4,3,11,D,10,3,8,3,13,D,D,D,-,-,D,D,5,-,D,-,D,4,3,-,-,D,-,4,D,-,-,D,-,-,3,-,-,-,D,4,-,-,-,-,-,-,-,-,-,D,41
Gambia,"1,247",353,7,D,61,8,7,D,30,9,123,143,3,15,4,3,27,4,4,38,D,-,-,5,18,8,3,8,D,34,21,D,5,-,3,-,27,D,10,D,18,11,3,-,-,D,D,-,-,-,-,10,212
Georgia,"1,635",939,121,20,40,31,5,15,D,12,17,8,19,116,9,3,4,D,5,3,D,12,5,8,16,17,6,D,3,5,5,D,D,-,10,D,D,8,D,D,3,12,D,-,3,D,7,-,-,D,-,4,126
Germany,"5,306",648,347,170,182,127,109,260,61,176,108,128,149,71,74,54,108,43,56,38,43,30,29,61,38,67,37,67,32,26,18,17,21,20,27,27,30,17,25,15,12,21,23,11,10,13,21,7,3,39,9,103,"1,478"
Ghana,"6,949","1,891",56,20,869,227,89,44,179,118,304,28,4,228,23,39,24,33,18,95,25,7,16,116,157,22,16,53,11,375,46,18,38,6,22,D,22,7,17,12,4,98,108,D,-,281,17,5,D,D,-,50,"1,105"
Gibraltar,6,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Greece,"1,451",368,73,53,45,92,30,49,17,110,20,24,20,53,12,7,24,25,7,5,30,7,11,D,27,5,11,6,D,7,14,3,D,D,11,6,3,-,5,6,-,D,11,D,D,18,13,4,-,D,D,14,194
Greenland,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grenada,585,423,D,14,14,D,5,-,5,7,8,D,D,D,D,D,-,D,7,D,D,-,D,-,D,-,D,D,3,D,D,D,D,-,D,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,8,61
Guatemala,"13,002","1,180","2,095",654,626,310,308,"1,035",185,416,273,87,96,99,149,310,18,145,53,76,60,45,115,54,75,147,61,66,56,19,396,30,65,4,142,-,17,62,67,14,63,64,19,43,14,55,20,28,10,96,16,221,"2,743"
Guinea,"1,501",720,D,3,105,13,10,9,12,32,95,28,D,82,D,D,6,4,-,34,D,D,D,10,19,4,3,10,D,76,10,20,-,-,-,-,6,D,4,3,3,6,-,-,D,D,3,-,-,-,-,7,152
Guinea-Bissau,37,D,-,-,-,D,D,-,-,10,6,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,5
Guyana,"5,771","4,182",26,172,122,13,15,3,20,43,100,3,D,47,4,D,9,15,184,55,38,7,D,3,34,-,D,10,3,5,D,-,4,-,3,-,7,4,D,19,-,D,55,-,-,D,13,-,-,18,-,32,490
Haiti,"23,584","5,928",35,"7,975",203,106,44,34,28,"1,855",279,25,D,431,22,9,10,26,"1,481",26,290,7,16,23,24,12,15,36,14,45,117,21,31,4,334,D,9,7,36,171,20,6,50,-,7,58,3,-,4,305,7,252,"3,140"
Honduras,"13,302","2,000",893,"1,753",762,208,928,265,386,268,276,88,66,105,50,149,28,54,127,71,164,20,88,49,117,40,143,212,101,42,53,72,66,15,62,D,105,35,90,62,20,12,29,14,28,17,D,13,13,84,13,210,"2,827"
Hong Kong,"2,510",446,483,44,52,49,38,369,57,77,22,117,154,34,24,25,15,8,8,11,D,49,20,6,22,15,11,4,4,7,3,D,D,-,7,40,4,D,7,D,D,D,-,5,5,-,3,-,-,D,-,10,244
Hungary,"1,048",182,88,79,30,26,18,32,18,23,11,16,34,13,17,12,9,12,15,7,22,11,15,9,D,16,24,7,-,-,-,4,3,3,19,9,10,5,12,11,D,D,-,D,-,D,D,-,-,4,-,11,204
Iceland,97,15,7,D,7,D,-,4,4,6,D,-,-,-,D,-,-,D,D,-,-,-,-,-,5,4,D,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,5,27
India,"64,687","10,768","2,108",447,"2,005","4,351","2,238","3,022","2,552","1,428","1,965","1,585","2,514","2,326",414,610,"1,069",656,366,597,476,"1,081",143,229,657,399,580,579,265,451,136,464,231,40,289,21,644,121,220,209,182,316,406,638,742,276,256,487,25,19,6,556,"12,522"
Indonesia,"2,129",218,299,15,61,30,86,114,51,60,57,109,51,74,25,116,12,21,11,16,12,16,12,47,12,19,12,5,9,14,D,8,3,D,7,6,5,6,8,7,D,5,5,D,3,-,8,11,-,4,-,33,420
Iran,"13,298",506,"4,097",138,784,264,616,567,520,262,334,294,648,108,429,111,64,187,67,66,42,230,130,79,117,115,130,45,123,58,18,43,35,D,19,-,61,53,39,24,26,25,28,8,46,28,47,9,-,3,D,43,"1,609"
Iraq,"18,904",138,479,61,547,748,"1,010",70,852,203,191,532,47,136,"1,801",74,"2,268",820,81,152,92,390,81,283,88,268,518,27,293,275,37,79,343,17,4,4,101,203,86,157,232,18,39,7,7,120,152,D,-,D,-,45,"4,725"
Ireland,"1,759",397,62,22,45,93,24,141,27,171,20,48,65,42,23,8,10,11,12,7,9,12,D,14,16,22,19,16,3,4,10,4,6,D,13,6,18,5,-,6,D,9,11,-,-,9,10,D,-,D,D,16,285
Israel,"4,142","1,025",487,257,72,93,51,173,102,227,114,114,339,66,64,22,29,22,20,19,27,21,72,53,15,31,45,13,7,16,6,D,8,D,6,3,11,5,13,10,D,13,8,D,D,7,25,D,D,4,7,19,390
Italy,"4,078",846,296,561,123,113,74,155,57,167,47,55,81,67,89,19,72,21,33,18,48,15,20,27,22,21,24,30,9,20,18,13,10,D,31,8,15,9,6,13,D,18,20,3,D,10,7,D,D,8,4,29,718
Jamaica,"23,350","8,470",130,"3,850",583,220,149,42,125,377,"1,032",40,9,628,35,44,78,64,853,50,350,20,28,26,257,19,19,65,32,44,54,21,23,7,391,10,40,5,31,129,12,38,618,D,4,62,61,4,D,126,4,241,"3,825"
Japan,"5,207",649,772,47,122,119,56,261,81,89,90,204,214,53,140,46,57,44,32,27,20,28,53,32,40,71,25,21,25,33,8,11,12,4,19,409,14,14,22,17,6,23,5,D,8,5,7,5,8,D,3,112,"1,039"
Jordan,"5,269",566,291,85,159,603,169,118,216,88,62,56,55,72,60,125,192,67,33,56,81,35,20,34,36,18,33,30,27,105,11,43,41,6,5,-,31,10,48,58,27,69,26,5,12,D,92,14,D,5,8,49,"1,212"
Kazakhstan,"1,310",288,94,54,66,53,47,23,20,27,17,40,40,24,33,7,11,7,12,12,10,23,11,22,11,37,9,20,3,7,D,3,D,D,7,D,9,D,5,D,-,8,D,D,D,-,8,-,-,D,-,3,224
Kenya,"6,274",311,87,15,154,51,132,69,464,235,237,363,18,110,52,47,20,81,51,663,7,45,11,51,128,74,12,27,20,204,14,35,44,4,4,7,83,33,124,15,42,16,8,5,D,125,14,3,5,D,-,65,"1,884"
Kiribati,9,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
"Korea, North",47,D,12,-,D,3,-,-,D,-,3,D,-,D,-,3,-,-,D,-,-,-,D,D,5,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,9
"Korea, South","21,801","3,113","4,453",106,"1,137",782,337,551,786,313,"1,083",673,566,342,312,252,225,133,55,78,59,75,111,131,243,186,241,76,51,51,21,39,59,35,39,194,101,78,60,17,30,146,39,14,9,34,34,13,14,D,D,340,"3,961"
Kosovo,"1,020",440,6,16,14,62,19,-,20,11,20,12,3,15,8,D,39,15,7,5,12,-,D,D,5,5,4,3,4,D,D,-,5,-,15,-,-,D,D,3,10,3,6,-,-,5,D,-,-,-,D,5,209
Kuwait,"1,186",118,76,18,44,73,47,28,61,19,25,28,18,19,19,12,58,13,7,13,5,7,3,7,7,8,9,3,D,18,4,8,10,-,D,D,18,9,13,3,3,8,D,D,5,9,18,D,-,-,D,6,300
Kyrgyzstan,847,189,43,22,33,115,14,38,11,10,8,29,18,40,3,3,D,4,12,7,14,19,7,6,6,9,3,3,5,D,4,-,5,D,5,D,3,D,-,-,D,15,-,D,D,D,4,D,-,-,D,13,111
Laos,856,3,20,6,20,10,3,17,20,9,13,23,D,D,13,17,10,3,3,171,5,18,D,17,3,12,-,6,3,8,11,D,14,-,3,D,D,11,12,D,D,-,4,5,42,5,D,D,-,D,-,7,296
Latvia,391,47,33,13,16,22,6,7,9,11,8,10,11,-,15,3,5,3,D,D,3,3,3,9,8,4,D,D,4,-,-,D,D,-,4,-,7,-,-,-,-,D,D,-,D,D,-,-,-,-,D,8,103
Lebanon,"2,971",204,331,89,124,60,151,38,90,157,39,37,26,25,49,61,547,33,26,26,29,16,21,10,4,27,14,6,16,24,53,6,7,4,13,D,4,4,-,24,3,19,3,D,11,20,27,3,-,D,D,12,473
Lesotho,19,5,-,-,4,D,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,4
Liberia,"3,619",252,7,8,215,20,51,24,85,81,121,23,D,683,8,4,21,30,5,535,D,26,4,31,94,9,7,90,5,57,123,43,14,D,5,-,11,3,16,5,28,8,9,6,-,44,14,D,-,D,-,21,766
Libya,642,32,26,7,23,13,35,8,16,13,32,15,5,9,4,4,25,11,6,D,13,10,-,34,-,11,7,5,4,18,-,6,3,D,5,-,D,-,5,8,D,4,D,D,-,-,-,D,-,-,-,10,207
Lithuania,735,92,40,19,15,293,4,20,7,14,15,8,7,10,D,D,3,3,5,D,11,5,5,4,D,D,3,12,D,D,-,3,-,-,5,D,D,-,-,3,D,4,3,-,-,D,D,-,-,-,-,5,98
Luxembourg,34,8,D,4,D,-,-,D,D,D,D,4,D,-,3,-,D,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Macau,109,20,21,3,D,7,D,24,D,D,-,D,9,-,-,-,-,D,D,-,-,-,D,D,-,D,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,7
Macedonia,"1,262",364,10,34,22,261,13,7,17,13,5,7,6,10,4,6,85,10,6,3,5,D,13,5,-,4,5,D,-,24,3,3,-,-,5,4,-,D,-,D,-,4,D,-,D,7,6,-,-,-,D,29,253
Madagascar,88,10,-,D,22,D,-,-,D,3,-,8,D,D,-,-,D,D,-,D,D,D,-,-,-,D,-,D,D,-,-,D,-,-,D,-,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,23
Malawi,205,5,D,D,19,4,6,-,7,3,10,14,D,4,D,3,6,D,D,-,-,4,-,11,D,-,3,D,-,3,D,15,D,-,-,-,6,-,D,-,D,D,D,-,-,-,D,-,-,-,-,D,64
Malaysia,"3,382",350,117,26,61,135,127,114,190,43,123,75,62,38,17,23,12,85,14,22,8,16,15,64,43,23,19,69,32,25,4,178,44,D,5,12,12,23,50,32,18,10,8,D,4,D,7,3,-,D,-,16,"1,002"
Maldives,11,-,-,-,-,-,D,D,D,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Mali,598,252,-,-,29,10,20,4,D,D,19,12,-,64,-,-,D,-,-,6,-,D,3,17,24,-,-,10,-,7,D,6,-,D,-,-,-,D,D,D,-,29,-,-,-,D,D,-,-,-,-,-,70
Malta,65,15,D,-,D,-,4,D,-,-,D,D,-,-,-,-,D,D,D,3,-,-,D,D,-,D,D,D,-,7,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
Marshall Islands,32,-,D,-,-,-,-,4,D,D,-,D,-,-,-,-,-,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,D,15
Mauritania,317,53,D,-,34,4,-,-,D,D,D,-,-,11,-,D,6,D,-,D,-,-,-,D,-,D,-,-,-,33,D,7,D,-,D,-,-,-,-,-,22,59,-,-,-,-,-,-,-,-,-,D,70
Mauritius,110,15,-,-,10,-,6,5,D,D,4,5,6,3,D,D,-,-,4,D,-,D,D,-,-,-,-,D,D,-,-,-,-,D,-,D,-,D,-,D,-,-,3,-,-,-,-,-,-,-,-,D,30
Mexico,"174,534","3,444","20,181","1,538",777,"9,756","7,857","4,150","9,572",245,"2,402","1,561","2,174",753,"7,379","7,814",748,"6,017",432,"1,108",603,"1,548","2,093","2,773",157,"1,593","2,110",954,"2,770",190,61,641,489,"4,558",148,47,502,"1,215",888,97,224,170,56,"1,108","1,637",54,149,"1,647","2,856",260,47,"4,114","50,867"
"Micronesia, Federated States",11,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,D
Moldova,"2,929",287,73,73,69,519,19,44,12,64,48,210,25,34,17,11,10,24,191,36,14,249,39,34,18,79,-,11,14,D,D,10,3,D,5,D,22,7,9,D,9,19,7,-,-,-,21,4,-,D,-,33,548
Monaco,11,4,-,D,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolia,750,21,82,D,95,116,D,143,D,7,D,50,5,4,4,D,D,-,-,10,D,19,9,48,8,3,3,D,-,D,D,D,-,-,-,D,-,5,D,-,D,4,-,-,-,-,-,-,-,D,-,10,81
Montenegro,387,229,17,6,7,29,D,-,3,D,-,D,D,6,D,D,35,-,D,D,D,D,4,-,-,3,-,D,-,D,-,D,D,-,3,-,-,D,-,-,-,D,D,-,-,-,-,-,-,-,-,4,21
Montserrat,14,D,-,-,-,-,-,-,-,6,-,-,-,D,-,-,-,-,D,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-
Morocco,"4,586",828,123,112,395,165,77,67,92,481,109,29,17,185,20,33,33,19,217,38,51,20,25,80,48,24,36,31,12,59,24,25,6,D,39,3,99,10,11,17,16,45,16,3,-,13,15,D,D,4,3,48,759
Mozambique,101,8,D,3,3,4,4,D,12,D,D,3,-,D,3,-,-,-,-,-,D,-,-,5,-,D,D,D,D,-,3,D,D,-,-,-,4,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,30
Namibia,87,D,D,D,4,5,D,-,D,D,3,D,-,-,-,D,-,-,D,D,-,-,-,D,3,-,-,-,5,-,-,-,D,-,D,-,-,-,-,-,3,D,-,-,-,D,3,-,-,-,-,-,39
Nauru,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,"12,851","1,458",319,23,956,275,302,509,"1,102",423,286,251,151,136,39,32,51,74,24,175,15,102,26,281,438,77,200,138,34,226,39,28,90,9,14,57,129,95,73,12,136,77,82,11,D,63,119,4,D,D,-,65,"3,620"
Netherlands,"1,319",157,80,46,33,32,51,63,25,52,41,37,40,20,21,9,13,12,17,11,10,7,7,11,4,22,20,13,6,D,4,D,8,D,14,3,11,4,4,7,D,10,4,-,D,6,6,D,D,5,D,33,329
Netherlands Antilles (former),18,4,-,D,-,-,-,-,-,-,3,-,-,-,-,-,-,-,D,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,5
New Caledonia,D,D,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,846,81,100,11,26,26,22,44,17,18,11,37,17,10,15,11,8,8,8,14,D,9,6,13,9,11,8,10,6,D,D,D,D,-,6,12,D,11,3,3,D,7,5,-,D,D,3,-,-,D,-,17,205
Nicaragua,"3,486",203,273,"1,308",158,40,108,187,51,28,48,19,18,21,12,66,D,20,38,15,15,12,34,13,11,7,20,38,15,7,5,28,19,D,15,-,5,7,7,18,D,8,5,10,D,3,D,D,-,20,9,27,507
Niger,119,24,-,-,11,-,-,-,D,D,D,D,-,4,-,-,D,-,-,-,-,D,-,-,-,-,-,D,-,D,-,13,-,-,D,-,D,-,-,-,D,4,-,-,-,-,-,-,-,-,-,D,45
Nigeria,"14,380","1,977",475,140,"1,083",702,"1,400",175,934,370,"1,050",72,34,335,44,158,190,115,100,265,79,96,37,70,724,53,119,67,75,104,137,267,92,13,17,5,92,7,61,57,16,62,25,30,17,23,61,13,19,D,D,75,"2,244"
Northern Mariana Islands,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norway,362,36,17,16,6,10,57,22,6,5,7,12,17,10,3,D,D,D,5,4,5,3,4,D,-,3,4,D,3,D,3,-,D,-,5,4,-,D,D,D,-,D,D,-,D,-,D,-,-,D,-,10,65
Oman,116,7,5,D,3,8,8,D,10,D,4,3,D,13,D,-,5,3,D,-,-,D,4,-,-,D,D,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,D,22
Pakistan,"19,313","4,910",629,238,"1,457","1,220","1,310",486,762,223,484,215,205,500,53,189,325,61,145,73,74,350,43,70,463,34,154,31,73,86,77,96,21,6,74,4,53,72,100,19,33,62,146,313,22,61,47,42,5,D,D,117,"3,076"
Palau,14,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,3,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,7,-
Panama,"1,029",187,36,134,33,16,23,12,22,13,29,13,D,10,7,8,5,7,28,D,20,5,16,9,29,4,10,8,17,3,D,3,6,4,3,-,D,9,4,17,D,4,D,D,D,3,D,-,8,D,8,9,231
Papua New Guinea,23,D,D,D,-,-,-,D,-,D,D,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,D,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
Paraguay,434,172,17,49,28,D,12,4,6,D,3,4,D,5,3,D,-,4,5,3,-,-,D,5,D,4,D,D,D,D,D,-,D,-,5,-,D,4,D,-,-,D,4,-,-,-,D,-,D,4,4,4,60
Peru,"10,940","2,836",731,"1,480",815,169,205,318,176,143,202,110,82,82,41,145,25,76,201,40,127,46,89,73,56,35,17,84,39,23,25,37,27,6,121,13,33,157,32,37,15,41,120,14,6,17,24,21,5,39,21,81,"1,582"
Philippines,"53,287","3,816","6,586",937,"1,190","1,900","1,109","3,281",642,237,248,"1,362","1,278",412,"1,897","1,340",299,631,472,321,339,875,"1,350",186,367,334,156,154,306,80,69,126,322,60,112,"2,463",92,101,144,339,79,750,58,508,159,49,103,329,58,45,3,"2,464","12,749"
Pitcairn Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Poland,"5,603","1,549",130,116,64,"1,825",47,90,53,63,43,58,77,104,31,31,92,17,18,19,41,14,14,22,25,17,16,10,10,3,19,7,5,5,63,4,4,6,D,13,9,14,149,D,4,21,18,D,-,10,D,48,598
Portugal,"1,006",253,22,64,26,9,12,21,4,95,13,23,29,15,D,7,5,D,9,D,6,8,-,D,11,3,D,D,D,D,140,D,D,D,10,D,D,3,D,D,D,-,7,3,D,3,D,-,-,-,D,D,171
Qatar,272,26,14,3,16,9,21,7,14,5,4,3,6,3,4,6,16,3,D,D,D,D,3,6,D,D,3,D,D,D,D,3,D,-,-,-,D,-,12,-,D,D,4,-,-,-,7,-,-,-,-,7,48
Romania,"3,554",375,208,192,87,396,63,92,43,79,105,139,51,43,31,35,168,153,21,27,33,60,46,15,21,105,40,28,12,11,4,10,9,-,31,3,5,7,D,20,D,7,10,D,-,6,39,3,D,7,D,33,672
Russia,"9,297","1,851",789,468,325,374,147,468,97,336,147,423,298,260,151,35,67,57,97,66,87,129,64,110,80,122,67,69,19,28,29,15,25,6,49,14,51,39,33,30,14,40,26,8,8,27,54,5,3,12,5,78,"1,495"
