NAME,Total
"Raleigh, NC",4556.0
"Riverside-San Bernardino-Ontario, CA",16465.0
"San Francisco-Oakland-Hayward, CA",35873.0
"Sacramento--Roseville--Arden-Arcade, CA",11219.0
"San Jose-Sunnyvale-Santa Clara, CA",19514.0
"Salt Lake City, UT",4438.0
"San Antonio-New Braunfels, TX",6365.0
"San Diego-Carlsbad, CA",18504.0
"San Juan-Carolina-Caguas, PR",3173.0
"Seattle-Tacoma-Bellevue, WA",20323.0
"Stockton-Lodi, CA",3537.0
"Urban Honolulu, HI",4653.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",40203.0
"Worcester, MA-CT",3491.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",5135.0
"New York-Newark-Jersey City, NY-NJ-PA",192984.0
"Orlando-Kissimmee-Sanford, FL",13142.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19078.0
"Phoenix-Mesa-Scottsdale, AZ",14361.0
"Portland-Vancouver-Hillsboro, OR-WA",8339.0
"Providence-Warwick, RI-MA",5266.0
"Denver-Aurora-Lakewood, CO",9634.0
"Detroit-Warren-Dearborn, MI",15615.0
"Los Angeles-Long Beach-Anaheim, CA",87986.0
"Louisville/Jefferson County, KY-IN",4036.0
"McAllen-Edinburg-Mission, TX",3270.0
"Miami-Fort Lauderdale-West Palm Beach, FL",88083.0
"El Paso, TX",4989.0
"Fresno, CA",3516.0
"Hartford-West Hartford-East Hartford, CT",3853.0
"Houston-The Woodlands-Sugar Land, TX",37363.0
"Indianapolis-Carmel-Anderson, IN",5169.0
"Jacksonville, FL",4222.0
"Kansas City, MO-KS",4405.0
"Las Vegas-Henderson-Paradise, NV",9732.0
"Atlanta-Sandy Springs-Roswell, GA",23325.0
"Austin-Round Rock, TX",8224.0
"Bakersfield, CA",3252.0
"Baltimore-Columbia-Towson, MD",8509.0
"Boston-Cambridge-Newton, MA-NH",28263.0
"Bridgeport-Stamford-Norwalk, CT",4705.0
"Cape Coral-Fort Myers, FL",3143.0
"Charlotte-Concord-Gastonia, NC-SC",6583.0
"Chicago-Naperville-Elgin, IL-IN-WI",39292.0
"Cincinnati, OH-KY-IN",3907.0
"Cleveland-Elyria, OH",3187.0
"Columbus, OH",6326.0
"Dallas-Fort Worth-Arlington, TX",33342.0
