Country,Total,NAME_LONG,ISO_A3
Sweden,"1,138",Sweden,SWE
Switzerland,798,Switzerland,CHE
Syria,"2,442",Syria,SYR
Taiwan,"8,038",Taiwan,TWN
Tajikistan,265,Tajikistan,TJK
Tanzania,"2,773",Tanzania,TZA
Thailand,"10,444",Thailand,THA
Togo,"1,680",Togo,TGO
Tonga,379,Tonga,TON
Trinidad and Tobago,"6,256",Trinidad and Tobago,TTO
Tunisia,416,Tunisia,TUN
Turkey,"4,958",Turkey,TUR
Turkmenistan,290,Turkmenistan,TKM
Turks and Caicos Islands,31,Turks and Caicos Islands,TCA
United States Virgin Islands,3,United States Virgin Islands,VIR
Uganda,"1,364",Uganda,UGA
Ukraine,"11,223",Ukraine,UKR
United Arab Emirates,697,United Arab Emirates,ARE
United Kingdom,"15,748",United Kingdom,GBR
United States,181,United States,USA
Uruguay,"1,775",Uruguay,URY
Uzbekistan,"5,467",Uzbekistan,UZB
Vanuatu,6,Vanuatu,VUT
Venezuela,"11,154",Venezuela,VEN
Vietnam,"29,234",Vietnam,VNM
Yemen,"3,134",Yemen,YEM
Zambia,704,Zambia,ZMB
Zimbabwe,983,Zimbabwe,ZWE
