NAME,Total
"Raleigh, NC",4835.0
"Riverside-San Bernardino-Ontario, CA",15871.0
"San Francisco-Oakland-Hayward, CA",34866.0
"Sacramento--Roseville--Arden-Arcade, CA",12426.0
"San Jose-Sunnyvale-Santa Clara, CA",19615.0
"Salt Lake City, UT",3979.0
"San Antonio-New Braunfels, TX",6201.0
"San Diego-Carlsbad, CA",17947.0
"San Juan-Carolina-Caguas, PR",2937.0
"Seattle-Tacoma-Bellevue, WA",20599.0
"Stockton-Lodi, CA",3391.0
"Urban Honolulu, HI",3999.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",39417.0
"Worcester, MA-CT",3545.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",5137.0
"New York-Newark-Jersey City, NY-NJ-PA",172118.0
"Orlando-Kissimmee-Sanford, FL",12238.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19645.0
"Phoenix-Mesa-Scottsdale, AZ",13442.0
"Portland-Vancouver-Hillsboro, OR-WA",7631.0
"Providence-Warwick, RI-MA",5287.0
"Denver-Aurora-Lakewood, CO",9712.0
"Detroit-Warren-Dearborn, MI",12134.0
"Los Angeles-Long Beach-Anaheim, CA",81860.0
"Louisville/Jefferson County, KY-IN",4338.0
"Miami-Fort Lauderdale-West Palm Beach, FL",79591.0
"Milwaukee-Waukesha-West Allis, WI",3088.0
"El Paso, TX",4312.0
"Fresno, CA",3320.0
"Hartford-West Hartford-East Hartford, CT",3738.0
"Houston-The Woodlands-Sugar Land, TX",38363.0
"Indianapolis-Carmel-Anderson, IN",5525.0
"Jacksonville, FL",4005.0
"Kansas City, MO-KS",4536.0
"Las Vegas-Henderson-Paradise, NV",10939.0
"Atlanta-Sandy Springs-Roswell, GA",21098.0
"Austin-Round Rock, TX",7784.0
"Baltimore-Columbia-Towson, MD",8290.0
"Boston-Cambridge-Newton, MA-NH",29540.0
"Bridgeport-Stamford-Norwalk, CT",4275.0
"Cape Coral-Fort Myers, FL",2934.0
"Charlotte-Concord-Gastonia, NC-SC",6694.0
"Chicago-Naperville-Elgin, IL-IN-WI",36344.0
"Cincinnati, OH-KY-IN",3761.0
"Cleveland-Elyria, OH",2950.0
"Columbus, OH",6359.0
"Dallas-Fort Worth-Arlington, TX",34308.0
