,Country,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Chicago-Naperville-Elgin, IL-IN-WI","Seattle-Tacoma-Bellevue, WA","Boston-Cambridge-Newton, MA-NH","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Orlando-Kissimmee-Sanford, FL","San Diego-Chula Vista-Carlsbad, CA","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Sacramento-Roseville-Folsom, CA","Las Vegas-Henderson-Paradise, NV","Charlotte-Concord-Gastonia, NC-SC","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","San Antonio-New Braunfels, TX","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Cincinnati, OH-KY-IN","Providence-Warwick, RI-MA","El Paso, TX","Hartford-East Hartford-Middletown, CT","Saint Louis, MO-IL","Kansas City, MO-KS","Jacksonville, FL","Worcester, MA-CT","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","Stockton, CA","Cleveland-Elyria, OH","Trenton-Princeton, NJ","Milwaukee-Waukesha, WI","Oklahoma City, OK","Cape Coral-Fort Myers, FL"
68,Ghana,1028.0,33.0,14.0,462.0,65.0,72.0,16.0,117.0,43.0,40.0,5.0,177.0,102.0,44.0,10.0,36.0,24.0,18.0,14.0,50.0,10.0,46.0,6.0,9.0,34.0,99.0,21.0,8.0,214.0,13.0,8.0,17.0,13.0,,49.0,11.0,6.0,71.0,14.0,9.0,5.0,121.0,12.0,,,9.0,15.0,4.0,26.0,
69,Greece,219.0,55.0,27.0,40.0,13.0,11.0,32.0,35.0,20.0,61.0,11.0,7.0,36.0,6.0,6.0,12.0,6.0,7.0,24.0,4.0,,5.0,,,9.0,13.0,3.0,5.0,,,4.0,5.0,3.0,,,6.0,,,6.0,,3.0,6.0,,,,4.0,,,,3.0
70,Grenada,217.0,,16.0,15.0,11.0,10.0,5.0,,,4.0,,11.0,5.0,3.0,,,,,3.0,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,
71,Guatemala,966.0,1161.0,418.0,471.0,192.0,113.0,698.0,139.0,68.0,300.0,58.0,145.0,113.0,46.0,92.0,90.0,18.0,158.0,54.0,45.0,53.0,66.0,33.0,83.0,43.0,75.0,101.0,38.0,13.0,34.0,22.0,62.0,117.0,36.0,62.0,215.0,5.0,11.0,9.0,40.0,11.0,30.0,33.0,12.0,37.0,5.0,87.0,6.0,43.0,44.0
72,Guinea,300.0,4.0,4.0,39.0,11.0,3.0,3.0,8.0,13.0,19.0,,51.0,40.0,,,7.0,,,,22.0,4.0,4.0,,,,12.0,,3.0,34.0,,11.0,,,,5.0,4.0,,,4.0,6.0,,,,,,,,,,
73,Guinea-Bissau,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
74,Guyana,2336.0,12.0,133.0,60.0,21.0,19.0,,9.0,,10.0,,91.0,37.0,96.0,3.0,8.0,,3.0,35.0,47.0,,3.0,,4.0,,14.0,,,,,,4.0,11.0,,3.0,,,22.0,,4.0,7.0,,,,,3.0,5.0,,,3.0
75,Haiti,2461.0,18.0,3829.0,96.0,20.0,24.0,9.0,48.0,15.0,917.0,,156.0,231.0,832.0,28.0,19.0,4.0,7.0,155.0,7.0,10.0,17.0,,11.0,24.0,28.0,9.0,5.0,31.0,7.0,98.0,20.0,152.0,,3.0,120.0,,28.0,4.0,24.0,85.0,41.0,17.0,,,7.0,58.0,4.0,3.0,169.0
76,Honduras,1354.0,591.0,1122.0,655.0,715.0,320.0,184.0,139.0,46.0,180.0,60.0,191.0,86.0,120.0,45.0,54.0,23.0,75.0,128.0,49.0,169.0,61.0,12.0,67.0,234.0,131.0,30.0,86.0,30.0,88.0,69.0,68.0,61.0,28.0,20.0,45.0,5.0,26.0,14.0,51.0,46.0,3.0,23.0,9.0,17.0,11.0,19.0,5.0,17.0,41.0
77,Hong Kong,238.0,206.0,18.0,25.0,27.0,30.0,140.0,26.0,90.0,31.0,68.0,16.0,26.0,10.0,19.0,13.0,9.0,16.0,,9.0,8.0,13.0,16.0,19.0,11.0,5.0,15.0,,,12.0,,4.0,10.0,5.0,,7.0,,,4.0,,,,4.0,,,3.0,7.0,3.0,,
78,Hungary,123.0,41.0,64.0,20.0,17.0,4.0,20.0,19.0,18.0,16.0,13.0,16.0,15.0,12.0,11.0,8.0,5.0,,24.0,6.0,12.0,6.0,,10.0,3.0,3.0,13.0,,3.0,,4.0,3.0,13.0,,12.0,,,,,,10.0,,,,,3.0,7.0,,,
79,Iceland,8.0,4.0,,5.0,,,5.0,,,9.0,,,,5.0,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,India,11699.0,2552.0,803.0,3683.0,2748.0,6040.0,6041.0,3896.0,4790.0,2491.0,4735.0,3338.0,2733.0,511.0,941.0,1450.0,1730.0,456.0,737.0,1496.0,1588.0,690.0,608.0,177.0,1466.0,960.0,734.0,382.0,963.0,1530.0,579.0,577.0,385.0,302.0,639.0,265.0,30.0,903.0,748.0,383.0,366.0,564.0,284.0,15.0,653.0,360.0,856.0,451.0,113.0,29.0
81,Indonesia,145.0,231.0,28.0,68.0,54.0,44.0,61.0,28.0,76.0,36.0,31.0,36.0,47.0,12.0,29.0,26.0,11.0,77.0,10.0,10.0,25.0,22.0,10.0,26.0,8.0,12.0,17.0,10.0,5.0,,9.0,3.0,3.0,5.0,8.0,4.0,,,7.0,,5.0,,4.0,,,5.0,3.0,8.0,9.0,
82,Iran,272.0,1219.0,64.0,319.0,176.0,154.0,224.0,135.0,159.0,162.0,310.0,132.0,78.0,37.0,192.0,56.0,71.0,57.0,43.0,34.0,72.0,62.0,85.0,38.0,15.0,55.0,53.0,27.0,22.0,27.0,16.0,26.0,15.0,26.0,15.0,17.0,,12.0,36.0,7.0,15.0,16.0,7.0,6.0,4.0,27.0,8.0,17.0,19.0,
83,Iraq,41.0,58.0,7.0,65.0,85.0,82.0,8.0,63.0,54.0,25.0,7.0,9.0,17.0,13.0,150.0,57.0,249.0,11.0,14.0,19.0,15.0,29.0,62.0,5.0,,13.0,24.0,16.0,13.0,6.0,3.0,24.0,,23.0,12.0,,,,9.0,17.0,8.0,9.0,10.0,,6.0,6.0,,6.0,3.0,
84,Ireland,392.0,68.0,16.0,29.0,13.0,20.0,96.0,57.0,29.0,90.0,39.0,18.0,30.0,17.0,27.0,8.0,,4.0,8.0,5.0,15.0,7.0,3.0,7.0,18.0,13.0,8.0,6.0,6.0,9.0,6.0,4.0,13.0,5.0,6.0,6.0,,6.0,5.0,3.0,4.0,5.0,,,,6.0,,5.0,,
85,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Israel,798.0,371.0,281.0,64.0,41.0,47.0,96.0,49.0,73.0,123.0,283.0,34.0,43.0,19.0,55.0,46.0,13.0,14.0,22.0,10.0,24.0,16.0,22.0,55.0,6.0,15.0,32.0,13.0,8.0,5.0,5.0,15.0,4.0,6.0,9.0,8.0,,4.0,11.0,11.0,,4.0,5.0,,,5.0,,5.0,,
87,Italy,600.0,229.0,387.0,104.0,52.0,39.0,97.0,100.0,56.0,111.0,70.0,38.0,52.0,34.0,76.0,18.0,48.0,17.0,40.0,7.0,17.0,13.0,16.0,30.0,19.0,15.0,23.0,5.0,24.0,7.0,12.0,8.0,16.0,10.0,16.0,12.0,6.0,11.0,7.0,4.0,9.0,8.0,5.0,,,9.0,,7.0,,4.0
88,Jamaica,4142.0,70.0,2312.0,303.0,151.0,62.0,23.0,81.0,27.0,185.0,5.0,576.0,342.0,486.0,30.0,52.0,48.0,13.0,175.0,40.0,15.0,19.0,11.0,17.0,56.0,170.0,8.0,18.0,27.0,32.0,15.0,23.0,211.0,6.0,46.0,31.0,10.0,334.0,43.0,23.0,94.0,29.0,8.0,,,28.0,36.0,17.0,6.0,58.0
89,Japan,459.0,622.0,35.0,96.0,51.0,85.0,190.0,91.0,168.0,84.0,199.0,45.0,39.0,18.0,118.0,33.0,60.0,34.0,16.0,26.0,30.0,22.0,26.0,39.0,11.0,23.0,62.0,18.0,21.0,9.0,17.0,22.0,18.0,13.0,19.0,5.0,,8.0,12.0,8.0,5.0,4.0,,,,11.0,6.0,9.0,12.0,3.0
90,Jordan,299.0,165.0,53.0,100.0,136.0,207.0,80.0,413.0,47.0,41.0,31.0,36.0,53.0,47.0,46.0,45.0,115.0,59.0,59.0,19.0,15.0,15.0,26.0,5.0,16.0,20.0,21.0,41.0,88.0,21.0,18.0,22.0,5.0,8.0,37.0,,,11.0,27.0,20.0,14.0,3.0,10.0,,10.0,74.0,5.0,30.0,10.0,10.0
91,Kazakhstan,231.0,135.0,76.0,70.0,69.0,20.0,47.0,67.0,43.0,23.0,44.0,13.0,20.0,18.0,29.0,5.0,5.0,9.0,11.0,8.0,8.0,10.0,34.0,11.0,43.0,5.0,10.0,5.0,6.0,10.0,,3.0,3.0,3.0,13.0,3.0,,,3.0,3.0,9.0,3.0,,,,,4.0,3.0,,
92,Kenya,108.0,37.0,28.0,79.0,120.0,212.0,32.0,33.0,193.0,103.0,10.0,97.0,66.0,95.0,22.0,61.0,9.0,17.0,13.0,267.0,12.0,17.0,7.0,14.0,9.0,58.0,23.0,9.0,55.0,25.0,18.0,19.0,,8.0,10.0,12.0,7.0,6.0,41.0,52.0,9.0,43.0,16.0,,,10.0,11.0,5.0,22.0,
93,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Korea, North",,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Korea, South",2078.0,2597.0,49.0,522.0,176.0,454.0,383.0,319.0,409.0,220.0,555.0,484.0,188.0,42.0,225.0,79.0,134.0,117.0,18.0,64.0,127.0,76.0,48.0,105.0,33.0,148.0,115.0,42.0,43.0,61.0,29.0,33.0,28.0,39.0,24.0,17.0,12.0,19.0,31.0,44.0,6.0,12.0,19.0,4.0,13.0,25.0,16.0,20.0,30.0,6.0
96,Kuwait,76.0,74.0,31.0,38.0,55.0,53.0,25.0,41.0,8.0,10.0,12.0,15.0,9.0,36.0,13.0,8.0,21.0,16.0,20.0,7.0,4.0,5.0,5.0,,4.0,8.0,6.0,10.0,8.0,9.0,5.0,12.0,,,6.0,3.0,,3.0,14.0,3.0,9.0,,,,6.0,7.0,4.0,3.0,,
97,Kyrgyzstan,95.0,34.0,11.0,21.0,17.0,14.0,12.0,218.0,27.0,5.0,11.0,13.0,48.0,13.0,3.0,,,,5.0,3.0,5.0,7.0,4.0,4.0,,5.0,3.0,3.0,,3.0,,,,,32.0,,,,5.0,,,,,,,4.0,,,,
98,Laos,3.0,4.0,,3.0,,10.0,5.0,3.0,4.0,,,9.0,,,9.0,,,4.0,,75.0,,3.0,5.0,5.0,4.0,3.0,3.0,,,,,5.0,,5.0,,4.0,,3.0,,,,,,,,,,11.0,,
99,Latvia,28.0,20.0,14.0,11.0,9.0,7.0,6.0,18.0,,10.0,3.0,6.0,3.0,4.0,3.0,,3.0,,5.0,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
100,Lebanon,169.0,198.0,88.0,107.0,146.0,62.0,48.0,44.0,15.0,110.0,19.0,32.0,28.0,33.0,29.0,22.0,419.0,35.0,24.0,12.0,20.0,10.0,8.0,15.0,10.0,,14.0,5.0,12.0,10.0,8.0,,4.0,,14.0,25.0,3.0,11.0,7.0,6.0,22.0,20.0,3.0,,3.0,35.0,,4.0,3.0,
101,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Liberia,170.0,5.0,5.0,162.0,34.0,61.0,7.0,18.0,12.0,44.0,,82.0,470.0,,6.0,22.0,4.0,,6.0,419.0,7.0,14.0,6.0,4.0,107.0,64.0,3.0,4.0,43.0,,20.0,5.0,,9.0,3.0,100.0,,4.0,8.0,12.0,,41.0,19.0,,6.0,4.0,65.0,,8.0,
103,Libya,26.0,18.0,4.0,13.0,31.0,6.0,11.0,4.0,21.0,14.0,4.0,4.0,8.0,6.0,4.0,5.0,13.0,5.0,,4.0,13.0,20.0,,,,,7.0,,13.0,,,,,,3.0,,,,3.0,,,,,,,,,,4.0,
104,Lithuania,49.0,40.0,29.0,16.0,5.0,7.0,7.0,145.0,9.0,9.0,10.0,6.0,13.0,5.0,7.0,8.0,6.0,,12.0,,3.0,9.0,,,5.0,,,,,,3.0,,3.0,4.0,,,,,,,,,,,,5.0,,,,
105,Luxembourg,4.0,,5.0,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Macau,6.0,5.0,,3.0,,,6.0,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Madagascar,6.0,4.0,,23.0,,,,,6.0,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
108,Malawi,5.0,7.0,,17.0,,11.0,,3.0,4.0,,,3.0,5.0,,4.0,,,4.0,,,6.0,,,,,,,,3.0,,,3.0,,,,,,,,,,,6.0,,,,,,,
109,Malaysia,187.0,94.0,10.0,35.0,58.0,41.0,55.0,60.0,38.0,34.0,70.0,48.0,15.0,6.0,25.0,29.0,18.0,10.0,,23.0,24.0,9.0,12.0,3.0,22.0,8.0,16.0,9.0,9.0,13.0,93.0,18.0,4.0,3.0,5.0,,,,9.0,8.0,5.0,4.0,,,,3.0,,34.0,16.0,
110,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Mali,175.0,,3.0,15.0,7.0,4.0,,6.0,11.0,,,9.0,39.0,,,4.0,,,,,,8.0,,,3.0,12.0,,,4.0,,7.0,,,,16.0,,,,,,,,,,,,,,3.0,
112,Malta,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Mauritania,25.0,,,14.0,,3.0,3.0,,,,,,6.0,,,,,,,,,3.0,,,,,,,19.0,,6.0,,,,22.0,,,,,,,,6.0,,,,,,,
115,Mauritius,8.0,,,5.0,3.0,,4.0,,6.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Mexico,2542.0,11749.0,1036.0,554.0,5419.0,6071.0,2522.0,5375.0,1191.0,215.0,1268.0,1467.0,495.0,304.0,4520.0,4379.0,740.0,3776.0,417.0,672.0,1457.0,1941.0,670.0,1514.0,637.0,141.0,980.0,2118.0,148.0,357.0,422.0,328.0,119.0,770.0,139.0,71.0,2459.0,43.0,220.0,493.0,68.0,21.0,205.0,1983.0,539.0,127.0,22.0,381.0,564.0,152.0
117,"Micronesia, Federated States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Moldova,83.0,41.0,37.0,39.0,8.0,20.0,14.0,197.0,77.0,30.0,12.0,19.0,24.0,22.0,4.0,9.0,,,5.0,14.0,,12.0,63.0,12.0,17.0,5.0,24.0,,,5.0,,,,,3.0,,,,4.0,,,,3.0,,,7.0,,,,
119,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Mongolia,12.0,74.0,,109.0,5.0,5.0,126.0,157.0,32.0,7.0,8.0,,5.0,,8.0,7.0,,,,,4.0,41.0,22.0,,5.0,7.0,,,3.0,,,,,8.0,3.0,,,,,,,,3.0,,,,4.0,4.0,,
121,Montenegro,144.0,7.0,7.0,,,3.0,3.0,27.0,,3.0,,,,,,,17.0,,3.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
122,Montserrat,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Morocco,565.0,102.0,115.0,306.0,69.0,74.0,88.0,134.0,31.0,377.0,11.0,67.0,128.0,166.0,24.0,15.0,35.0,25.0,70.0,31.0,19.0,67.0,15.0,29.0,27.0,47.0,20.0,11.0,59.0,67.0,16.0,10.0,21.0,,42.0,27.0,4.0,15.0,10.0,13.0,9.0,10.0,21.0,,6.0,12.0,4.0,13.0,30.0,
124,Mozambique,6.0,,,3.0,,5.0,,,,,,5.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Namibia,5.0,,4.0,3.0,,,4.0,5.0,,,,6.0,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Nepal,831.0,171.0,59.0,562.0,185.0,752.0,329.0,106.0,119.0,221.0,110.0,88.0,76.0,14.0,31.0,36.0,39.0,27.0,34.0,124.0,144.0,165.0,63.0,19.0,56.0,254.0,45.0,38.0,130.0,91.0,14.0,60.0,10.0,61.0,69.0,23.0,6.0,41.0,50.0,33.0,7.0,23.0,34.0,,5.0,31.0,,17.0,41.0,
127,Netherlands,137.0,58.0,37.0,23.0,43.0,20.0,35.0,36.0,24.0,52.0,30.0,14.0,11.0,18.0,16.0,16.0,7.0,7.0,5.0,10.0,7.0,25.0,,13.0,3.0,7.0,20.0,,,,5.0,4.0,13.0,3.0,7.0,4.0,,,5.0,5.0,8.0,,3.0,,,3.0,8.0,5.0,,
128,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,New Zealand,58.0,68.0,6.0,21.0,10.0,21.0,33.0,21.0,33.0,14.0,17.0,10.0,8.0,6.0,17.0,23.0,5.0,5.0,,10.0,7.0,11.0,,,6.0,4.0,6.0,4.0,,,,5.0,4.0,11.0,5.0,4.0,,,5.0,3.0,3.0,,,,,,,,,
130,Nicaragua,221.0,260.0,1648.0,175.0,137.0,53.0,205.0,27.0,33.0,26.0,24.0,56.0,49.0,63.0,23.0,19.0,5.0,89.0,41.0,9.0,42.0,16.0,25.0,48.0,36.0,17.0,9.0,22.0,9.0,11.0,31.0,15.0,10.0,13.0,4.0,3.0,,,3.0,,25.0,4.0,3.0,,8.0,4.0,,6.0,,28.0
131,Niger,30.0,3.0,,7.0,,,,,3.0,4.0,,8.0,6.0,,,,,,,,,,,,,3.0,,,,,23.0,,,,9.0,,,,,,,,,,,,,,,
132,Nigeria,1663.0,426.0,92.0,841.0,1292.0,1046.0,137.0,569.0,113.0,262.0,30.0,1001.0,273.0,93.0,49.0,113.0,141.0,136.0,57.0,168.0,83.0,60.0,39.0,63.0,78.0,671.0,60.0,71.0,157.0,79.0,450.0,89.0,31.0,23.0,57.0,83.0,11.0,25.0,74.0,37.0,29.0,18.0,25.0,4.0,17.0,54.0,27.0,33.0,93.0,4.0
133,North Macedonia,172.0,12.0,42.0,5.0,10.0,6.0,6.0,142.0,8.0,7.0,,3.0,12.0,,5.0,8.0,45.0,,12.0,4.0,,,,6.0,4.0,,,3.0,9.0,,,,8.0,,4.0,,,,,5.0,3.0,,,,,,,,3.0,
134,Oman,14.0,10.0,,6.0,4.0,8.0,,4.0,7.0,,4.0,6.0,,11.0,,,4.0,,,,3.0,,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,
135,Pakistan,2110.0,239.0,132.0,851.0,787.0,477.0,241.0,561.0,145.0,135.0,89.0,242.0,242.0,56.0,36.0,48.0,197.0,73.0,52.0,48.0,84.0,39.0,177.0,17.0,33.0,214.0,23.0,43.0,80.0,34.0,49.0,8.0,25.0,12.0,29.0,58.0,7.0,34.0,43.0,43.0,13.0,39.0,19.0,4.0,156.0,15.0,27.0,38.0,39.0,7.0
136,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Panama,112.0,26.0,116.0,34.0,36.0,28.0,13.0,15.0,8.0,13.0,3.0,31.0,6.0,35.0,6.0,8.0,5.0,5.0,24.0,6.0,13.0,6.0,5.0,6.0,,8.0,,17.0,3.0,6.0,,7.0,,,,3.0,3.0,,7.0,3.0,6.0,,3.0,,,4.0,,5.0,3.0,5.0
138,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Paraguay,137.0,9.0,44.0,26.0,10.0,,,,,3.0,,3.0,,5.0,,3.0,3.0,4.0,3.0,,,,,3.0,,,3.0,3.0,,,,,10.0,,,,,3.0,,,,,,,,,,,,
140,Peru,985.0,303.0,807.0,438.0,89.0,92.0,121.0,61.0,46.0,59.0,24.0,71.0,35.0,122.0,24.0,31.0,10.0,46.0,83.0,28.0,19.0,47.0,9.0,51.0,49.0,34.0,26.0,17.0,8.0,14.0,17.0,16.0,64.0,80.0,20.0,14.0,5.0,51.0,10.0,9.0,19.0,9.0,13.0,4.0,7.0,20.0,9.0,13.0,7.0,22.0
141,Philippines,2060.0,2817.0,498.0,683.0,583.0,342.0,970.0,892.0,490.0,128.0,427.0,193.0,229.0,1349.0,697.0,382.0,165.0,498.0,222.0,194.0,98.0,108.0,183.0,757.0,471.0,185.0,182.0,145.0,54.0,43.0,65.0,535.0,46.0,67.0,390.0,52.0,32.0,55.0,138.0,86.0,148.0,34.0,92.0,25.0,141.0,45.0,10.0,45.0,66.0,43.0
142,Poland,757.0,97.0,80.0,59.0,25.0,26.0,61.0,787.0,38.0,64.0,67.0,15.0,55.0,15.0,32.0,25.0,46.0,13.0,25.0,14.0,10.0,14.0,7.0,15.0,4.0,19.0,19.0,3.0,3.0,12.0,3.0,5.0,35.0,10.0,3.0,5.0,,70.0,5.0,,4.0,,,,,,23.0,8.0,,7.0
143,Portugal,189.0,21.0,70.0,18.0,16.0,13.0,13.0,18.0,7.0,64.0,16.0,4.0,11.0,7.0,6.0,3.0,,3.0,4.0,,5.0,,,,,5.0,6.0,,,,,,17.0,4.0,,75.0,,7.0,,,,,3.0,,,,,,,
144,Qatar,23.0,29.0,7.0,16.0,17.0,17.0,6.0,10.0,5.0,4.0,6.0,,,25.0,3.0,9.0,19.0,5.0,4.0,,,,7.0,,4.0,,4.0,,3.0,7.0,3.0,5.0,,,,,,,,,,,,,4.0,,,,,
145,Romania,165.0,77.0,122.0,58.0,50.0,23.0,37.0,157.0,69.0,50.0,33.0,48.0,28.0,12.0,16.0,103.0,77.0,21.0,16.0,7.0,8.0,7.0,18.0,26.0,4.0,9.0,48.0,12.0,,8.0,3.0,9.0,9.0,4.0,5.0,3.0,,8.0,,6.0,6.0,3.0,3.0,,,21.0,,,,16.0
146,Russia,855.0,708.0,427.0,190.0,80.0,64.0,252.0,179.0,186.0,143.0,276.0,64.0,121.0,58.0,88.0,35.0,33.0,30.0,77.0,41.0,61.0,73.0,111.0,45.0,39.0,41.0,71.0,7.0,7.0,22.0,14.0,9.0,42.0,17.0,25.0,10.0,,13.0,22.0,,22.0,16.0,8.0,,,16.0,10.0,15.0,7.0,9.0
147,Rwanda,10.0,10.0,,5.0,46.0,56.0,5.0,26.0,16.0,6.0,,26.0,5.0,,5.0,26.0,,,,22.0,6.0,9.0,,,6.0,,10.0,6.0,9.0,4.0,10.0,6.0,,24.0,3.0,,,,3.0,8.0,3.0,,34.0,,,,,,5.0,
148,Saint Kitts and Nevis,29.0,,21.0,,,4.0,,,,3.0,,7.0,3.0,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Saint Lucia,201.0,,36.0,9.0,10.0,8.0,,5.0,,8.0,,14.0,6.0,28.0,,,4.0,,12.0,,,,,,5.0,3.0,,,,,,,8.0,,,,,15.0,3.0,,,,,,,,,,,
150,Saint Martin (French),,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Saint Vincent and the Grenadines,134.0,,14.0,,,,,5.0,,3.0,,8.0,5.0,7.0,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,
152,Samoa,,16.0,,,,,3.0,,21.0,,,,,,,3.0,,7.0,,,,,,4.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
153,Saudi Arabia,175.0,113.0,36.0,93.0,129.0,73.0,54.0,111.0,42.0,37.0,30.0,25.0,19.0,35.0,15.0,20.0,61.0,15.0,21.0,27.0,10.0,14.0,6.0,6.0,16.0,17.0,13.0,9.0,26.0,8.0,23.0,7.0,,5.0,18.0,,,6.0,14.0,9.0,3.0,,6.0,,3.0,14.0,5.0,8.0,5.0,
154,Senegal,336.0,16.0,14.0,55.0,21.0,12.0,4.0,7.0,11.0,8.0,,47.0,17.0,,,4.0,14.0,,4.0,6.0,,8.0,,4.0,6.0,27.0,,,50.0,13.0,9.0,4.0,,,43.0,28.0,,,3.0,10.0,3.0,,7.0,,,5.0,,3.0,,
155,Serbia,143.0,26.0,91.0,42.0,21.0,11.0,14.0,138.0,10.0,14.0,11.0,6.0,9.0,10.0,9.0,17.0,8.0,3.0,11.0,4.0,3.0,9.0,,11.0,5.0,3.0,6.0,,,3.0,,4.0,3.0,,,5.0,,,,,3.0,,,,,4.0,,7.0,,
156,Sierra Leone,168.0,12.0,3.0,306.0,19.0,25.0,6.0,10.0,13.0,37.0,9.0,39.0,160.0,,,12.0,9.0,5.0,8.0,23.0,,3.0,12.0,5.0,6.0,24.0,,3.0,97.0,9.0,,,,,,,,,4.0,,,4.0,,,,,11.0,,,
157,Singapore,110.0,53.0,12.0,17.0,35.0,28.0,75.0,30.0,47.0,21.0,73.0,6.0,9.0,5.0,13.0,8.0,10.0,5.0,4.0,8.0,19.0,,,5.0,5.0,,8.0,4.0,3.0,10.0,,6.0,3.0,3.0,10.0,,,,3.0,,,,,,4.0,3.0,6.0,,,
158,Sint Maarten,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Slovakia,56.0,15.0,22.0,14.0,,3.0,11.0,25.0,6.0,7.0,3.0,,9.0,7.0,,6.0,3.0,,,,,,,,,,,,,,,,6.0,4.0,,,,,,,,,,,,,,,,
160,Slovenia,14.0,5.0,4.0,,,,,3.0,,,,,,,5.0,,,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Somalia,,4.0,,15.0,5.0,15.0,,16.0,62.0,13.0,3.0,7.0,,,23.0,9.0,,,,311.0,,18.0,,,4.0,,5.0,,135.0,4.0,7.0,9.0,,7.0,4.0,,,,,14.0,,,19.0,,,,,,,
162,South Africa,193.0,126.0,155.0,102.0,74.0,77.0,80.0,93.0,88.0,47.0,28.0,102.0,32.0,18.0,49.0,28.0,29.0,10.0,17.0,23.0,29.0,45.0,17.0,12.0,73.0,31.0,31.0,16.0,18.0,27.0,14.0,15.0,29.0,9.0,7.0,17.0,,10.0,16.0,14.0,25.0,3.0,9.0,,,7.0,4.0,10.0,7.0,3.0
163,South Sudan,,,,,,,,,,5.0,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,
