NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Swaziland,Ethiopia,Fiji,Finland,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"San Jose-Sunnyvale-Santa Clara, CA",61.0,,4.0,,,,39.0,24.0,,61.0,13.0,43.0,,4.0,81.0,,76.0,24.0,,,,,9.0,10.0,,198.0,20.0,,21.0,,,36.0,17.0,327.0,,,,24.0,2827.0,60.0,7.0,,27.0,6.0,3.0,,,12.0,16.0,,,9.0,12.0,64.0,165.0,,38.0,8.0,,98.0,10.0,14.0,,,29.0,166.0,8.0,12.0,,86.0,,,,3.0,49.0,76.0,29.0,4.0,2292.0,36.0,421.0,8.0,43.0,299.0,80.0,8.0,195.0,22.0,56.0,12.0,3.0,765.0,15.0,11.0,,3.0,31.0,,4.0,8.0,,,,,86.0,,,,,1442.0,9.0,7.0,6.0,,17.0,,,89.0,52.0,11.0,26.0,3.0,62.0,,8.0,111.0,3.0,,54.0,591.0,64.0,21.0,6.0,47.0,469.0,,,,,4.0,33.0,,18.0,,55.0,,8.0,,7.0,26.0,,62.0,44.0,3.0,,38.0,19.0,21.0,697.0,5.0,,72.0,,14.0,,16.0,133.0,,,8.0,157.0,34.0,190.0,,,14.0,46.0,2314.0,,13.0,,4.0,16481.0
"Atlanta-Sandy Springs-Alpharetta, GA",161.0,8.0,20.0,,,9.0,37.0,,,46.0,11.0,9.0,35.0,,231.0,10.0,36.0,10.0,6.0,3.0,7.0,40.0,6.0,17.0,,511.0,32.0,7.0,186.0,25.0,,49.0,143.0,147.0,3.0,11.0,4.0,31.0,579.0,314.0,222.0,4.0,39.0,3.0,93.0,,5.0,20.0,15.0,3.0,16.0,232.0,58.0,68.0,304.0,3.0,62.0,,4.0,325.0,,6.0,,39.0,5.0,82.0,218.0,15.0,6.0,118.0,42.0,3.0,61.0,128.0,184.0,23.0,4.0,,1578.0,40.0,210.0,23.0,31.0,42.0,31.0,626.0,36.0,27.0,7.0,150.0,3.0,602.0,15.0,,3.0,3.0,20.0,64.0,7.0,7.0,,3.0,,13.0,83.0,7.0,,,,1345.0,24.0,3.0,,,58.0,,3.0,133.0,22.0,9.0,30.0,3.0,839.0,,4.0,250.0,16.0,,111.0,161.0,22.0,8.0,5.0,42.0,102.0,58.0,11.0,13.0,5.0,,25.0,52.0,19.0,22.0,11.0,,,,31.0,105.0,,38.0,17.0,18.0,3.0,12.0,7.0,24.0,55.0,,112.0,62.0,61.0,,58.0,4.0,77.0,,4.0,32.0,68.0,23.0,201.0,,34.0,10.0,271.0,1030.0,4.0,,25.0,31.0,14608.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",108.0,247.0,148.0,3.0,,12.0,29.0,3.0,,43.0,4.0,11.0,7.0,,322.0,4.0,97.0,17.0,,15.0,,18.0,6.0,,,267.0,15.0,27.0,18.0,6.0,,58.0,49.0,105.0,,3.0,,37.0,788.0,154.0,23.0,7.0,33.0,3.0,22.0,,,9.0,7.0,,6.0,1016.0,69.0,159.0,72.0,,27.0,,,45.0,,,,8.0,99.0,65.0,138.0,25.0,,74.0,81.0,,33.0,197.0,74.0,19.0,9.0,,1397.0,46.0,86.0,11.0,31.0,53.0,59.0,370.0,28.0,38.0,35.0,71.0,,179.0,8.0,31.0,3.0,,27.0,324.0,4.0,11.0,,,,3.0,18.0,40.0,,9.0,,466.0,15.0,6.0,,,102.0,,,85.0,6.0,6.0,14.0,7.0,308.0,10.0,4.0,309.0,6.0,6.0,28.0,220.0,47.0,11.0,6.0,15.0,179.0,13.0,,4.0,,,32.0,24.0,8.0,87.0,9.0,,8.0,,,34.0,,21.0,26.0,49.0,9.0,8.0,6.0,45.0,36.0,35.0,9.0,34.0,35.0,,41.0,18.0,135.0,12.0,,14.0,300.0,16.0,139.0,7.0,6.0,93.0,86.0,530.0,,47.0,3.0,11.0,11669.0
"Detroit-Warren-Dearborn, MI",21.0,424.0,12.0,,,,8.0,,,45.0,,3.0,,,804.0,,4.0,5.0,4.0,,,,,11.0,,606.0,10.0,,4.0,,,,37.0,231.0,,,,,362.0,28.0,6.0,,6.0,,11.0,,,10.0,,,,46.0,,86.0,32.0,,3.0,,,13.0,,,,14.0,3.0,116.0,25.0,23.0,,11.0,3.0,,,6.0,24.0,7.0,10.0,,778.0,4.0,97.0,287.0,5.0,12.0,46.0,29.0,81.0,102.0,8.0,9.0,,268.0,34.0,,3.0,,366.0,8.0,20.0,,,,,,16.0,,,,,850.0,,,25.0,,26.0,,,41.0,4.0,5.0,3.0,,87.0,27.0,3.0,226.0,,,9.0,152.0,44.0,6.0,16.0,77.0,40.0,,,,,,87.0,22.0,12.0,3.0,,,5.0,,3.0,21.0,,22.0,18.0,15.0,,10.0,3.0,173.0,33.0,,5.0,25.0,,,,8.0,31.0,6.0,,8.0,112.0,55.0,66.0,,,,54.0,171.0,,1746.0,3.0,4.0,9609.0
"Phoenix-Mesa-Chandler, AZ",103.0,17.0,5.0,,,,15.0,,,35.0,6.0,,,,35.0,,6.0,5.0,8.0,,,3.0,,20.0,,83.0,19.0,,64.0,61.0,,16.0,45.0,218.0,,,,15.0,277.0,67.0,324.0,13.0,24.0,4.0,106.0,,,5.0,6.0,,,43.0,22.0,52.0,69.0,,46.0,3.0,,105.0,9.0,,,,,43.0,38.0,3.0,,96.0,10.0,,9.0,9.0,51.0,6.0,3.0,,631.0,16.0,93.0,58.0,33.0,34.0,23.0,29.0,51.0,31.0,9.0,75.0,,101.0,9.0,5.0,,,17.0,26.0,,6.0,,,,3.0,40.0,,,,,3216.0,17.0,,,,18.0,,,42.0,26.0,6.0,18.0,,91.0,,3.0,111.0,5.0,3.0,37.0,332.0,22.0,,,54.0,51.0,49.0,,,,,21.0,,26.0,6.0,12.0,,3.0,,24.0,43.0,6.0,19.0,15.0,43.0,,8.0,26.0,27.0,61.0,,162.0,50.0,10.0,6.0,11.0,5.0,23.0,,,62.0,41.0,15.0,102.0,5.0,3.0,10.0,88.0,474.0,,,6.0,5.0,9031.0
"San Diego-Chula Vista-Carlsbad, CA",349.0,12.0,3.0,,,,18.0,,,49.0,10.0,3.0,,,20.0,,15.0,7.0,,,,,5.0,,,183.0,19.0,,10.0,9.0,,26.0,7.0,120.0,,3.0,7.0,12.0,457.0,43.0,60.0,,6.0,,14.0,,,,5.0,,,8.0,10.0,45.0,45.0,,8.0,,,56.0,,6.0,,3.0,,57.0,4.0,6.0,,78.0,,,,17.0,19.0,23.0,8.0,,380.0,19.0,279.0,150.0,12.0,59.0,45.0,22.0,85.0,31.0,31.0,21.0,,278.0,8.0,,11.0,5.0,34.0,4.0,4.0,7.0,,,,,10.0,,,,,3113.0,9.0,9.0,,,16.0,,3.0,27.0,13.0,11.0,7.0,,45.0,10.0,,66.0,9.0,,33.0,708.0,18.0,6.0,5.0,12.0,114.0,,,,,,17.0,4.0,9.0,,8.0,,5.0,,39.0,22.0,,37.0,20.0,9.0,,21.0,12.0,57.0,95.0,,10.0,51.0,6.0,,5.0,4.0,57.0,,,14.0,87.0,15.0,130.0,,5.0,15.0,33.0,595.0,,5.0,,,8981.0
"Riverside-San Bernardino-Ontario, CA",42.0,,16.0,,,,32.0,10.0,,21.0,,,,,48.0,,6.0,,9.0,,,,3.0,,,73.0,,,,,,52.0,6.0,85.0,,,,10.0,941.0,78.0,6.0,,11.0,,15.0,,,,5.0,,,12.0,21.0,203.0,330.0,,,,,6.0,8.0,,,,,30.0,23.0,5.0,,174.0,,,,7.0,66.0,30.0,,,303.0,61.0,99.0,3.0,6.0,14.0,16.0,24.0,35.0,72.0,7.0,24.0,4.0,160.0,11.0,,13.0,,46.0,,6.0,3.0,,,,,12.0,,,,,3715.0,3.0,,3.0,,12.0,,,36.0,7.0,7.0,34.0,,90.0,,,89.0,5.0,,64.0,570.0,3.0,,,26.0,24.0,3.0,,,,10.0,16.0,,8.0,,6.0,,,,,18.0,,9.0,15.0,5.0,,3.0,3.0,182.0,97.0,,,49.0,7.0,13.0,,3.0,6.0,,,3.0,21.0,9.0,70.0,7.0,,3.0,48.0,410.0,,4.0,,7.0,9026.0
"Orlando-Kissimmee-Sanford, FL",,8.0,7.0,,3.0,3.0,51.0,,5.0,23.0,3.0,7.0,29.0,5.0,56.0,11.0,8.0,7.0,5.0,,3.0,,7.0,,,1172.0,9.0,,5.0,,,4.0,5.0,111.0,,,,18.0,143.0,475.0,9.0,3.0,47.0,3.0,407.0,,,,,,7.0,524.0,121.0,72.0,66.0,,,,,8.0,,,3.0,,3.0,43.0,23.0,5.0,10.0,30.0,,,64.0,519.0,87.0,10.0,6.0,,388.0,13.0,75.0,9.0,15.0,18.0,27.0,413.0,12.0,26.0,24.0,180.0,,35.0,35.0,11.0,,,40.0,,6.0,,,,,,10.0,4.0,,,,260.0,21.0,,,,90.0,,,24.0,5.0,7.0,35.0,,140.0,,5.0,66.0,14.0,,77.0,212.0,21.0,7.0,6.0,15.0,50.0,,,20.0,5.0,,22.0,3.0,4.0,,,,,,,19.0,,38.0,5.0,,,7.0,3.0,41.0,14.0,,13.0,24.0,,,38.0,6.0,44.0,,,,28.0,41.0,149.0,4.0,16.0,11.0,851.0,296.0,,,11.0,11.0,8373.0
"Minneapolis-Saint Paul-Bloomington, MN-WI",58.0,3.0,9.0,,,,16.0,,,14.0,,6.0,4.0,3.0,71.0,,41.0,8.0,,6.0,,15.0,4.0,,,108.0,3.0,,183.0,27.0,,63.0,134.0,96.0,,,,13.0,236.0,48.0,93.0,3.0,23.0,,17.0,,,5.0,11.0,15.0,,32.0,165.0,90.0,136.0,,50.0,,,589.0,,4.0,,18.0,3.0,29.0,70.0,8.0,,52.0,16.0,,49.0,10.0,42.0,12.0,3.0,5.0,533.0,7.0,74.0,9.0,6.0,11.0,14.0,14.0,19.0,22.0,20.0,404.0,,98.0,3.0,,127.0,7.0,10.0,272.0,,,,,,,27.0,6.0,,,,851.0,17.0,,,,29.0,,4.0,132.0,12.0,9.0,14.0,,236.0,5.0,,46.0,10.0,,30.0,195.0,14.0,,,12.0,81.0,8.0,,,,,26.0,8.0,4.0,17.0,4.0,,,,599.0,29.0,,19.0,22.0,26.0,,12.0,11.0,15.0,24.0,9.0,14.0,169.0,47.0,,6.0,3.0,33.0,10.0,,28.0,130.0,19.0,78.0,,,6.0,50.0,422.0,,8.0,,10.0,7965.0
"Sacramento-Roseville-Folsom, CA",2413.0,11.0,11.0,,,,13.0,58.0,,10.0,3.0,17.0,,,19.0,,77.0,,,,,,,,,23.0,13.0,,4.0,,,11.0,,56.0,,,,6.0,343.0,25.0,,,21.0,,,,,,,,,6.0,3.0,54.0,64.0,,7.0,,,38.0,104.0,,,,5.0,27.0,8.0,,,23.0,,,,,18.0,27.0,3.0,,622.0,13.0,146.0,54.0,9.0,26.0,9.0,14.0,19.0,24.0,61.0,15.0,,53.0,7.0,17.0,25.0,,14.0,13.0,,3.0,,,,,6.0,,,,,739.0,122.0,11.0,,,5.0,,,89.0,6.0,3.0,7.0,,63.0,,,179.0,,,13.0,270.0,25.0,,,29.0,175.0,,,,,,12.0,3.0,4.0,5.0,9.0,,,,,12.0,,7.0,9.0,8.0,,,,19.0,59.0,,4.0,13.0,,,,,11.0,,,,650.0,14.0,43.0,,,30.0,22.0,547.0,,8.0,,4.0,7900.0
"Austin-Round Rock-Georgetown, TX",255.0,4.0,33.0,,,,11.0,,,24.0,,4.0,4.0,,52.0,,19.0,7.0,,,,3.0,11.0,,,198.0,8.0,,17.0,14.0,,9.0,33.0,83.0,,,,9.0,232.0,63.0,53.0,,18.0,,269.0,,,,3.0,,,17.0,15.0,26.0,82.0,,11.0,,,43.0,,,,,5.0,30.0,11.0,,,32.0,4.0,,3.0,10.0,91.0,21.0,17.0,,598.0,12.0,84.0,54.0,31.0,52.0,24.0,12.0,33.0,12.0,32.0,20.0,,206.0,11.0,9.0,,3.0,19.0,6.0,3.0,4.0,,,,,37.0,,,,,1432.0,7.0,,,,19.0,,,117.0,8.0,10.0,18.0,,101.0,,,74.0,11.0,3.0,33.0,115.0,22.0,7.0,,15.0,98.0,17.0,,,,,16.0,,5.0,,11.0,,,3.0,,40.0,,36.0,13.0,13.0,,12.0,6.0,11.0,82.0,,4.0,32.0,,,6.0,,43.0,6.0,,7.0,70.0,8.0,97.0,,3.0,9.0,91.0,264.0,,4.0,3.0,,6118.0
"Denver-Aurora-Lakewood, CO",224.0,,37.0,,,,23.0,12.0,,45.0,3.0,,,,22.0,,37.0,6.0,,14.0,,21.0,3.0,9.0,,80.0,19.0,7.0,48.0,9.0,,8.0,12.0,112.0,,5.0,,18.0,218.0,71.0,111.0,12.0,18.0,,18.0,,,8.0,10.0,5.0,3.0,19.0,14.0,24.0,116.0,,75.0,,,301.0,,,,6.0,6.0,33.0,92.0,4.0,,25.0,3.0,,,6.0,41.0,10.0,3.0,,266.0,24.0,80.0,29.0,6.0,21.0,24.0,21.0,15.0,17.0,17.0,30.0,,111.0,9.0,,3.0,,7.0,6.0,43.0,4.0,,,,3.0,12.0,6.0,,,,1480.0,6.0,25.0,,,40.0,,,219.0,7.0,11.0,11.0,,42.0,,,43.0,3.0,3.0,44.0,92.0,16.0,,,15.0,93.0,12.0,,,,,20.0,11.0,16.0,8.0,4.0,,3.0,,24.0,26.0,,16.0,11.0,63.0,,6.0,11.0,13.0,16.0,17.0,16.0,43.0,11.0,,,4.0,15.0,,,25.0,68.0,14.0,101.0,,,11.0,93.0,428.0,,4.0,3.0,16.0,6059.0
"Tampa-Saint Petersburg-Clearwater, FL",16.0,131.0,,8.0,,5.0,35.0,3.0,,19.0,,,19.0,,32.0,3.0,18.0,7.0,7.0,,,,11.0,5.0,,210.0,23.0,,13.0,13.0,,3.0,11.0,87.0,,,,7.0,131.0,301.0,40.0,,39.0,,1211.0,,,10.0,3.0,,5.0,239.0,50.0,116.0,68.0,,,4.0,,20.0,,,,,,39.0,12.0,18.0,3.0,45.0,,,18.0,96.0,74.0,4.0,29.0,,332.0,9.0,33.0,9.0,8.0,24.0,33.0,143.0,18.0,43.0,8.0,13.0,,33.0,12.0,5.0,,4.0,16.0,4.0,,6.0,,,,,4.0,,,,,379.0,5.0,,,,32.0,,,15.0,,4.0,14.0,,44.0,3.0,,49.0,6.0,4.0,67.0,156.0,33.0,,,21.0,107.0,6.0,,9.0,,,14.0,,15.0,4.0,4.0,,6.0,,,16.0,,30.0,19.0,13.0,,5.0,5.0,22.0,15.0,,5.0,31.0,,,23.0,11.0,52.0,,,11.0,70.0,6.0,107.0,,5.0,4.0,230.0,333.0,,5.0,8.0,7.0,6048.0
"Las Vegas-Henderson-Paradise, NV",33.0,25.0,,,,,17.0,35.0,,21.0,,3.0,4.0,,4.0,,4.0,3.0,8.0,,,3.0,5.0,6.0,,89.0,32.0,,5.0,,,10.0,12.0,75.0,,,,19.0,368.0,89.0,22.0,,9.0,3.0,378.0,,,3.0,,,,34.0,30.0,21.0,241.0,3.0,33.0,,,194.0,,,,,3.0,29.0,6.0,3.0,,70.0,,,,7.0,60.0,9.0,9.0,,61.0,16.0,68.0,10.0,5.0,107.0,26.0,19.0,32.0,9.0,6.0,14.0,,117.0,5.0,6.0,6.0,,18.0,7.0,3.0,4.0,,3.0,,,,,,,,1451.0,20.0,5.0,,,23.0,,,26.0,6.0,5.0,25.0,,36.0,5.0,,19.0,,,57.0,703.0,11.0,,,23.0,45.0,4.0,,4.0,,,5.0,5.0,30.0,,4.0,,4.0,,,9.0,,15.0,21.0,5.0,,5.0,4.0,9.0,16.0,,13.0,72.0,10.0,,3.0,,22.0,9.0,,14.0,41.0,8.0,98.0,,3.0,,61.0,192.0,,4.0,3.0,4.0,5736.0
"Portland-Vancouver-Hillsboro, OR-WA",80.0,3.0,7.0,,,,17.0,9.0,,24.0,,5.0,,3.0,68.0,,12.0,4.0,3.0,,,19.0,,3.0,,84.0,8.0,,65.0,3.0,,19.0,15.0,91.0,,4.0,,7.0,316.0,34.0,28.0,5.0,15.0,3.0,46.0,,,5.0,6.0,,,5.0,11.0,54.0,48.0,,29.0,,,82.0,10.0,4.0,,4.0,9.0,27.0,10.0,7.0,,79.0,,,,10.0,24.0,27.0,7.0,,332.0,5.0,86.0,41.0,11.0,39.0,21.0,14.0,58.0,16.0,19.0,30.0,,165.0,6.0,4.0,,4.0,9.0,7.0,16.0,,,,,,38.0,,,,,812.0,59.0,,,,13.0,,4.0,45.0,21.0,6.0,,,57.0,,,35.0,6.0,,16.0,156.0,17.0,,,30.0,138.0,9.0,,,,,22.0,,,,16.0,,,,28.0,25.0,,9.0,29.0,7.0,,6.0,5.0,33.0,102.0,,17.0,82.0,,7.0,4.0,8.0,32.0,,,4.0,527.0,11.0,109.0,,,,56.0,420.0,,6.0,9.0,4.0,5381.0
"Baltimore-Columbia-Towson, MD",109.0,8.0,3.0,,,,3.0,,,11.0,,10.0,,,53.0,,6.0,6.0,,3.0,,9.0,12.0,,,65.0,13.0,4.0,44.0,16.0,,,128.0,36.0,,,3.0,16.0,262.0,42.0,78.0,,4.0,,10.0,,,,,,6.0,76.0,27.0,54.0,279.0,,34.0,,,95.0,,,4.0,6.0,14.0,22.0,128.0,5.0,4.0,66.0,10.0,,38.0,22.0,101.0,7.0,3.0,,361.0,5.0,77.0,16.0,8.0,17.0,15.0,153.0,11.0,13.0,,68.0,,196.0,5.0,,4.0,,12.0,50.0,,8.0,,,,,13.0,9.0,,,,119.0,11.0,,,,25.0,,,262.0,10.0,5.0,6.0,,595.0,,,253.0,6.0,,46.0,173.0,8.0,5.0,3.0,9.0,44.0,8.0,,5.0,,,16.0,27.0,,24.0,3.0,,,,4.0,12.0,,13.0,14.0,33.0,,5.0,,14.0,28.0,,35.0,18.0,5.0,,34.0,6.0,24.0,,,23.0,54.0,8.0,75.0,,3.0,21.0,15.0,136.0,,15.0,4.0,8.0,5266.0
"San Antonio-New Braunfels, TX",622.0,8.0,19.0,,,,5.0,,,6.0,,4.0,,,7.0,,,,,3.0,,3.0,,3.0,,36.0,4.0,,26.0,23.0,,13.0,16.0,30.0,,,,6.0,66.0,68.0,61.0,,22.0,,98.0,,,3.0,,,,28.0,13.0,14.0,44.0,,15.0,,,4.0,,,,,,20.0,17.0,,,25.0,,,,4.0,55.0,,,,189.0,7.0,66.0,33.0,,8.0,12.0,25.0,12.0,20.0,4.0,13.0,,61.0,4.0,,,4.0,5.0,5.0,,,,,,,4.0,,,,,1874.0,,,,,6.0,,,31.0,4.0,,9.0,,84.0,,,72.0,3.0,,18.0,142.0,7.0,,,8.0,21.0,10.0,,,,,18.0,,,3.0,,,,,7.0,9.0,,9.0,8.0,8.0,,,,23.0,6.0,,24.0,22.0,6.0,,,4.0,26.0,,,5.0,20.0,6.0,28.0,,,,43.0,123.0,,5.0,,,4555.0
"Charlotte-Concord-Gastonia, NC-SC",18.0,4.0,4.0,3.0,,,13.0,4.0,,9.0,3.0,13.0,3.0,,14.0,,28.0,6.0,7.0,5.0,,18.0,8.0,5.0,,137.0,4.0,,64.0,,,20.0,31.0,73.0,,,,13.0,111.0,103.0,133.0,3.0,31.0,,32.0,,,,6.0,,,112.0,68.0,25.0,187.0,,24.0,,,34.0,,,,8.0,8.0,39.0,34.0,7.0,,36.0,3.0,,5.0,21.0,164.0,3.0,,,549.0,6.0,47.0,10.0,9.0,10.0,6.0,46.0,9.0,28.0,24.0,23.0,,50.0,12.0,4.0,5.0,4.0,9.0,43.0,3.0,,,,,,22.0,6.0,,,,597.0,5.0,4.0,,,16.0,,,81.0,5.0,,19.0,,57.0,3.0,,27.0,4.0,,53.0,147.0,12.0,6.0,3.0,15.0,90.0,5.0,,5.0,4.0,,12.0,3.0,7.0,,,,3.0,,,57.0,,27.0,10.0,12.0,,,3.0,8.0,9.0,,12.0,30.0,25.0,,6.0,,21.0,,,8.0,85.0,17.0,81.0,5.0,6.0,7.0,58.0,207.0,,10.0,3.0,7.0,4526.0
"Columbus, OH",21.0,17.0,157.0,,,,11.0,,,6.0,,5.0,4.0,,34.0,,3.0,,,15.0,,107.0,,3.0,,45.0,4.0,7.0,21.0,10.0,,10.0,94.0,56.0,,,3.0,,149.0,26.0,103.0,5.0,3.0,,3.0,,,,,3.0,,68.0,10.0,55.0,58.0,,58.0,,,144.0,,,,26.0,3.0,13.0,251.0,,,14.0,39.0,,,25.0,13.0,12.0,,,476.0,10.0,35.0,31.0,,13.0,15.0,22.0,25.0,81.0,4.0,95.0,,43.0,6.0,,5.0,,6.0,25.0,6.0,,,,,4.0,21.0,10.0,4.0,24.0,,148.0,8.0,,,,71.0,,,231.0,,,11.0,3.0,106.0,9.0,,74.0,,,8.0,62.0,6.0,,,5.0,27.0,20.0,,,,,30.0,52.0,,52.0,5.0,,,,228.0,9.0,,6.0,18.0,22.0,,,,36.0,14.0,,33.0,15.0,22.0,,4.0,3.0,33.0,,,24.0,110.0,10.0,34.0,,,12.0,75.0,100.0,,5.0,4.0,10.0,4430.0
"Raleigh-Cary, NC",52.0,,9.0,3.0,,,10.0,,,13.0,,,3.0,,43.0,,19.0,4.0,,4.0,,,,,,96.0,,,10.0,14.0,,3.0,4.0,66.0,,,,16.0,186.0,57.0,77.0,5.0,11.0,,9.0,,,5.0,8.0,,,82.0,18.0,44.0,82.0,,14.0,4.0,,23.0,4.0,,,14.0,,27.0,17.0,8.0,,27.0,,,,9.0,94.0,8.0,9.0,,643.0,,34.0,13.0,3.0,24.0,12.0,32.0,8.0,30.0,,55.0,,66.0,5.0,3.0,,,18.0,,4.0,,,,,,8.0,,,,,353.0,7.0,,,,75.0,,,74.0,4.0,4.0,8.0,,71.0,,,59.0,,,24.0,44.0,14.0,,10.0,12.0,81.0,4.0,,,,,10.0,18.0,,6.0,14.0,,7.0,,,24.0,,8.0,11.0,14.0,,3.0,5.0,9.0,20.0,,17.0,15.0,9.0,,4.0,5.0,29.0,,,30.0,45.0,10.0,57.0,,5.0,5.0,41.0,125.0,,36.0,10.0,8.0,3613.0
"Indianapolis-Carmel-Anderson, IN",24.0,6.0,46.0,,,,4.0,,,9.0,,,3.0,,41.0,,5.0,5.0,,14.0,,,,,,45.0,3.0,4.0,311.0,15.0,,3.0,27.0,29.0,,,,4.0,100.0,26.0,109.0,,7.0,,12.0,,,,,4.0,,30.0,8.0,62.0,52.0,,28.0,,,40.0,,,,3.0,,13.0,12.0,5.0,,14.0,12.0,,,57.0,58.0,11.0,,,370.0,6.0,21.0,7.0,3.0,4.0,11.0,21.0,11.0,35.0,,27.0,,43.0,,3.0,,,10.0,23.0,,,,,,3.0,114.0,7.0,4.0,3.0,,426.0,,,,,9.0,,,15.0,,4.0,24.0,14.0,378.0,,,38.0,,,18.0,54.0,4.0,,,4.0,13.0,13.0,3.0,,,3.0,24.0,15.0,,,,,,,20.0,12.0,4.0,4.0,,24.0,,3.0,5.0,24.0,9.0,4.0,21.0,17.0,30.0,,,6.0,32.0,,,48.0,13.0,,47.0,,,,99.0,87.0,,5.0,16.0,16.0,3592.0
