NAME,CBSAFP,Total,Year
"Sacramento--Arden-Arcade--Roseville, CA",40900,8307.0,2011
"San Jose-Sunnyvale-Santa Clara, CA",41940,18314.0,2011
"Orlando-Kissimmee-Sanford, FL",36740,10046.0,2011
"Austin-Round Rock-San Marcos, TX",12420,5950.0,2011
"Houston-Sugar Land-Baytown, TX",26420,30792.0,2011
"San Diego-Carlsbad-San Marcos, CA",41740,21327.0,2011
"Dallas-Fort Worth-Arlington, TX",19100,27859.0,2011
"Fresno, CA",23420,3012.0,2011
"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620,180805.0,2011
"St. Louis, MO-IL",41180,3423.0,2011
"Jacksonville, FL",27260,3368.0,2011
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,18571.0,2011
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,38802.0,2011
"Miami-Fort Lauderdale-Pompano Beach, FL",33100,71141.0,2011
"Baltimore-Towson, MD",12580,8075.0,2011
"Charlotte-Gastonia-Rock Hill, NC-SC",16740,4889.0,2011
"McAllen-Edinburg-Mission, TX",32580,3362.0,2011
"El Paso, TX",21340,5558.0,2011
"San Antonio-New Braunfels, TX",41700,5366.0,2011
"San Juan-Caguas-Guaynabo, PR",41980,2886.0,2011
"Honolulu, HI",26180,5449.0,2011
"Hartford-West Hartford-East Hartford, CT",25540,3997.0,2011
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,10027.0,2011
"Chicago-Joliet-Naperville, IL-IN-WI",16980,34336.0,2011
"Las Vegas-Paradise, NV",29820,8581.0,2011
"Providence-New Bedford-Fall River, RI-MA",39300,4575.0,2011
"Portland-Vancouver-Hillsboro, OR-WA",38900,6327.0,2011
"Indianapolis-Carmel, IN",26900,3810.0,2011
"Columbus, OH",18140,4825.0,2011
"Stockton, CA",44700,2843.0,2011
"Bridgeport-Stamford-Norwalk, CT",14860,4497.0,2011
"Cleveland-Elyria-Mentor, OH",17460,2785.0,2011
"Riverside-San Bernardino-Ontario, CA",40140,14769.0,2011
"Detroit-Warren-Livonia, MI",19820,11992.0,2011
"Los Angeles-Long Beach-Santa Ana, CA",31100,85365.0,2011
"Tampa-St. Petersburg-Clearwater, FL",45300,8816.0,2011
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,4079.0,2011
"Denver-Aurora-Broomfield, CO",19740,9040.0,2011
"Raleigh-Cary, NC",39580,3706.0,2011
"Milwaukee-Waukesha-West Allis, WI",33340,2789.0,2011
"Atlanta-Sandy Springs-Marietta, GA",12060,21744.0,2011
"Boston-Cambridge-Quincy, MA-NH",14460,25586.0,2011
"Kansas City, MO-KS",28140,4017.0,2011
