Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Orlando-Kissimmee-Sanford, FL","Las Vegas-Henderson-Paradise, NV","Sacramento--Roseville--Arden-Arcade, CA","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Columbus, OH","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","El Paso, TX","Nashville-Davidson--Murfreesboro--Franklin, TN","Urban Honolulu, HI","Providence-Warwick, RI-MA","Salt Lake City, UT","Indianapolis-Carmel-Anderson, IN","Bridgeport-Stamford-Norwalk, CT","Raleigh, NC","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Jacksonville, FL","Fresno, CA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Stockton-Lodi, CA","Cleveland-Elyria, OH","Milwaukee-Waukesha-West Allis, WI","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","San Juan-Carolina-Caguas, PR","Worcester, MA-CT",NAME_LONG,ISO_A3
Bhutan,"6,325",14,,,32,119,151,18,262,53,322,,101,10,130,,24,,93,,,15,,149,69.0,72,39,339.0,149.0,33,,145.0,,22,74,13,,14.0,61.0,16.0,8.0,,117.0,81.0,,207.0,,96.0,,,48.0,Bhutan,BTN
Bolivia,"1,626",116,69,144,711,25,51,26,21,18,14,11,,8,3,3,8,,,13,15,7,5,3,11.0,5,4,,3.0,,,3.0,,46,9,,4.0,4.0,,5.0,,,5.0,4.0,,5.0,4.0,,,6,,Bolivia,BOL
Bosnia and Herzegovina,859,46,12,17,18,79,14,18,22,16,30,18,19,9,10,3,23,21,14,24,3,12,9,9,3.0,15,3,,7.0,,,10.0,,,9,,4.0,3.0,3.0,7.0,16.0,,50.0,8.0,,,5.0,16.0,,,,Bosnia and Herzegovina,BIH
Botswana,61,4,,,5,,,,,4,,,,,,,3,,3,,,,,,3.0,,,3.0,,,,,,,3,,,,,,,,,,,,,,,,,Botswana,BWA
Brazil,"11,424","1,360",504,"1,754",288,181,253,375,203,"1,125",392,165,178,165,170,62,73,57,67,131,444,68,30,52,45.0,48,76,22.0,55.0,25,3,22.0,32,94,111,32,247.0,49.0,31.0,36.0,33.0,4,39.0,27.0,,43.0,27.0,8.0,10,10,187.0,Brazil,BRA
"Virgin Islands, British",38,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3,,"Virgin Islands, British",VGB
Brunei,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brunei,BRN
Bulgaria,"2,688",239,125,76,108,479,23,100,30,88,49,33,73,35,48,15,51,27,21,42,25,123,15,34,23.0,19,9,9.0,18.0,8,,6.0,6,12,6,8,19.0,7.0,10.0,5.0,4.0,,26.0,17.0,,10.0,8.0,3.0,,,3.0,Bulgaria,BGR
Burkina Faso,575,251,,,47,7,46,3,4,5,11,,14,,23,,5,,4,,,,,3,11.0,,,4.0,,,,,,3,3,7,,,,,,,,9.0,,4.0,,,,,,Burkina Faso,BFA
Burma,"12,808",330,219,24,152,297,252,309,793,73,559,45,135,113,119,13,176,7,588,37,11,19,31,318,259.0,140,87,79.0,219.0,87,,242.0,8,20,129,"1,017",,32.0,215.0,39.0,167.0,5,35.0,26.0,,33.0,274.0,90.0,,,3.0,Burma,MMR
Burundi,351,13,,,8,5,14,,28,10,6,,4,3,,,12,,,,3,,3,12,3.0,3,,,,,,,,,15,,,,,4.0,,,,,,6.0,,10.0,,,,Burundi,BDI
Cambodia,"1,868",21,320,6,59,18,63,43,64,190,42,40,141,37,73,43,17,,78,13,4,9,19,10,9.0,14,10,5.0,7.0,4,,,8,32,13,3,4.0,,,10.0,6.0,5,,13.0,30,4.0,,,,,10.0,Cambodia,KHM
Cameroon,"4,374",196,84,18,"1,384",87,241,42,254,155,186,14,17,13,67,6,28,50,114,12,7,22,6,17,225.0,7,22,74.0,26.0,22,,,4,11,3,7,3.0,9.0,37.0,4.0,,,5.0,53.0,,8.0,11.0,7.0,,,36.0,Cameroon,CMR
Canada,"12,673","1,023",870,424,232,366,444,604,266,285,202,367,717,244,162,144,246,343,134,169,135,132,68,134,73.0,147,99,78.0,86.0,43,9,71.0,56,30,40,40,51.0,96.0,39.0,32.0,47.0,22,59.0,51.0,12,58.0,28.0,24.0,6,7,24.0,Canada,CAN
Cabo Verde,"1,253",14,,,,,,,,848,,,,,,,,,,,5,,,,,,,,,,,,,318,,,8.0,,,,,,,,,,,,,,,Cabo Verde,CIV
Cayman Islands,53,6,,12,3,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,CYM
Central African Republic,234,5,,,16,4,8,,,9,65,,,,,,25,,,,,,,12,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,6.0,Central African Republic,CAF
Chad,175,33,,,7,6,8,,3,5,23,,3,,4,,7,,,,,,,9,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,Chad,TCD
