NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,"Virgin Islands, British",Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,Comoros,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"Salt Lake City, UT",66.0,,,4.0,,,48.0,11.0,,20.0,,3.0,,,9.0,,3.0,3.0,,,,112.0,10.0,8.0,,69.0,,,6.0,3.0,95.0,4.0,11.0,4.0,59.0,,,,,39.0,157.0,43.0,,36.0,8.0,10.0,,19.0,,,,,20.0,,16.0,25.0,6.0,57.0,,9.0,,33.0,,,,,,4.0,17.0,9.0,3.0,,44.0,,,,4.0,25.0,6.0,,,129.0,,97.0,252.0,7.0,9.0,16.0,,30.0,13.0,3.0,19.0,,79.0,12.0,,8.0,,8.0,,7.0,11.0,4.0,,,,,,15.0,,,,4.0,,,871.0,14.0,5.0,,,3.0,,,108.0,4.0,18.0,4.0,,13.0,,42.0,11.0,,,162.0,65.0,3.0,4.0,,7.0,18.0,14.0,,,,26.0,,,9.0,,,,,,67.0,29.0,,16.0,16.0,49.0,,,3.0,,3.0,28.0,,,65.0,6.0,69.0,,,7.0,,,8.0,13.0,,36.0,3.0,11.0,4.0,59.0,139.0,,,3.0,3896.0
"Kansas City, MO-KS",27.0,5.0,40.0,,,,10.0,,,13.0,,11.0,,,11.0,,4.0,4.0,,,,71.0,,,,21.0,,,6.0,,215.0,,9.0,29.0,34.0,,,3.0,,,189.0,44.0,,13.0,,3.0,,84.0,,,,4.0,6.0,,14.0,9.0,15.0,36.0,,3.0,,137.0,,,,,12.0,,20.0,20.0,,,34.0,,,4.0,27.0,37.0,11.0,3.0,,317.0,5.0,38.0,82.0,,8.0,6.0,24.0,11.0,23.0,3.0,96.0,,60.0,8.0,3.0,6.0,,7.0,,15.0,6.0,,,,,,,26.0,,,,,,,715.0,3.0,3.0,,,17.0,,,83.0,3.0,3.0,3.0,,74.0,,73.0,3.0,,,37.0,118.0,3.0,,,4.0,20.0,,,,,,7.0,3.0,5.0,,,,,,70.0,14.0,3.0,11.0,8.0,18.0,,,,,18.0,14.0,3.0,4.0,32.0,10.0,,,,11.0,,,6.0,10.0,5.0,50.0,,,10.0,16.0,112.0,,4.0,,3588.0
"Hartford-West Hartford-East Hartford, CT",11.0,47.0,4.0,,,,14.0,6.0,,9.0,,,3.0,,63.0,3.0,13.0,,,,,17.0,9.0,6.0,,37.0,,,,,24.0,,6.0,,34.0,,,,,4.0,141.0,60.0,,7.0,,,,9.0,,4.0,,,,3.0,167.0,49.0,10.0,19.0,,,,21.0,,,,,5.0,,13.0,111.0,11.0,,10.0,3.0,,63.0,34.0,23.0,6.0,4.0,4.0,593.0,,26.0,35.0,13.0,4.0,19.0,431.0,6.0,3.0,,7.0,,31.0,,,6.0,,9.0,,6.0,,5.0,,,,,,,,,,,,,45.0,,,,,12.0,,,63.0,,,,,42.0,,154.0,,,,139.0,55.0,179.0,3.0,,11.0,24.0,,,31.0,4.0,,12.0,,3.0,3.0,,,,,3.0,6.0,,4.0,8.0,8.0,,,,,20.0,10.0,,,12.0,15.0,,15.0,,24.0,,,8.0,45.0,3.0,47.0,,,4.0,6.0,55.0,15.0,,,3369.0
"Saint Louis, MO-IL",62.0,46.0,3.0,,,,18.0,3.0,,18.0,3.0,4.0,,,12.0,,4.0,5.0,3.0,,,115.0,3.0,36.0,,32.0,,,30.0,3.0,54.0,,,4.0,64.0,,,,,,273.0,19.0,,44.0,,6.0,,20.0,,,,,,,8.0,7.0,15.0,,,10.0,,70.0,,,,,,,35.0,15.0,,,9.0,,,,14.0,11.0,5.0,5.0,,448.0,5.0,24.0,112.0,4.0,12.0,7.0,23.0,14.0,61.0,4.0,106.0,,43.0,7.0,,,,10.0,,20.0,6.0,,,,5.0,,,14.0,,,,3.0,4.0,,187.0,6.0,6.0,,,8.0,,3.0,88.0,9.0,,3.0,,70.0,,77.0,5.0,,,24.0,136.0,9.0,,,7.0,30.0,,,,,,11.0,7.0,4.0,5.0,,,5.0,,30.0,20.0,,10.0,7.0,4.0,,,3.0,4.0,10.0,27.0,,3.0,12.0,5.0,,3.0,,12.0,,,,32.0,,47.0,,,27.0,16.0,199.0,12.0,,3.0,3206.0
"Jacksonville, FL",76.0,113.0,,,,,6.0,,,6.0,,,10.0,,16.0,4.0,,3.0,6.0,,,28.0,4.0,8.0,,41.0,,,13.0,,179.0,,25.0,4.0,36.0,,,,,4.0,91.0,105.0,,4.0,,10.0,,255.0,,,,,,,48.0,23.0,26.0,30.0,,7.0,,52.0,,,,,,,25.0,9.0,5.0,,13.0,4.0,,10.0,73.0,30.0,,15.0,,297.0,4.0,17.0,170.0,3.0,12.0,7.0,93.0,14.0,22.0,12.0,16.0,,39.0,,,,,8.0,,11.0,,,,,,,,31.0,,,,,,,85.0,,,,,18.0,,,17.0,6.0,,5.0,,40.0,,24.0,10.0,,,43.0,237.0,8.0,3.0,4.0,13.0,45.0,,,,,,,4.0,4.0,3.0,3.0,,3.0,,,15.0,,6.0,,25.0,,,4.0,3.0,55.0,,,5.0,24.0,6.0,,8.0,,37.0,,,4.0,21.0,,47.0,,,,59.0,111.0,,,,3178.0
"Louisville/Jefferson County, KY-IN",35.0,,14.0,,,,3.0,,,4.0,,,,,,,,,,3.0,,144.0,,15.0,,10.0,,,6.0,,54.0,3.0,4.0,15.0,24.0,,,,,6.0,93.0,19.0,,56.0,,,6.0,917.0,,,,,3.0,,3.0,10.0,,14.0,,12.0,,52.0,,,,,17.0,,13.0,11.0,,,21.0,7.0,,,16.0,18.0,,,,170.0,3.0,28.0,242.0,5.0,,6.0,7.0,8.0,46.0,,17.0,,34.0,3.0,,,,7.0,,21.0,3.0,,,,,,5.0,9.0,,,,,12.0,,173.0,,,,,12.0,,,96.0,,,6.0,,22.0,,43.0,3.0,,,8.0,63.0,,,,6.0,13.0,14.0,,,,,4.0,27.0,,,3.0,,,,70.0,7.0,,9.0,,40.0,,,,,5.0,12.0,,8.0,31.0,12.0,,,4.0,,,,9.0,23.0,4.0,27.0,3.0,,,13.0,98.0,,,6.0,3128.0
"Cleveland-Elyria, OH",48.0,61.0,,,,,8.0,14.0,,7.0,,,,,5.0,,4.0,4.0,,3.0,,137.0,,3.0,,24.0,,,11.0,,27.0,,14.0,13.0,62.0,,,4.0,,,252.0,19.0,,9.0,8.0,,,,,,,,,,47.0,5.0,87.0,18.0,,6.0,,21.0,,,,,,5.0,27.0,23.0,3.0,,10.0,,,7.0,5.0,14.0,9.0,11.0,,479.0,5.0,16.0,102.0,,21.0,8.0,48.0,20.0,67.0,14.0,8.0,,47.0,16.0,,,3.0,36.0,,18.0,4.0,4.0,,,4.0,,,13.0,,,,,,,134.0,13.0,,,,19.0,,,83.0,,4.0,,,44.0,,24.0,4.0,,,16.0,73.0,26.0,,,53.0,45.0,3.0,,,,,3.0,9.0,14.0,,,,5.0,,6.0,10.0,,4.0,7.0,27.0,,,3.0,,38.0,7.0,,18.0,17.0,3.0,,9.0,,10.0,,,,131.0,6.0,43.0,,3.0,31.0,13.0,45.0,7.0,8.0,8.0,2994.0
"McAllen-Edinburg-Mission, TX",,,,,,,4.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,3.0,6.0,,,,,,15.0,10.0,,,,,,28.0,,,,,,,5.0,6.0,,13.0,,,,,,,,,,,,,,,7.0,,,,,8.0,,,,23.0,,,,,3.0,,,,3.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,2676.0,,,,,,,,,,,,,10.0,,6.0,,,,8.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,3.0,3.0,4.0,,,16.0,11.0,,,,2997.0
"Cincinnati, OH-KY-IN",15.0,,6.0,,,,9.0,5.0,,11.0,,,,,12.0,,8.0,6.0,,4.0,,77.0,,,,17.0,,,14.0,11.0,23.0,,42.0,21.0,40.0,,,,,4.0,167.0,17.0,,33.0,7.0,5.0,,17.0,,,,,,,64.0,6.0,20.0,14.0,,9.0,4.0,67.0,,,,,7.0,6.0,23.0,87.0,,,40.0,,,,12.0,7.0,5.0,,,445.0,8.0,22.0,26.0,4.0,17.0,10.0,13.0,27.0,43.0,4.0,13.0,,45.0,10.0,14.0,,,8.0,,,,3.0,,,3.0,,,3.0,,13.0,,,37.0,,131.0,17.0,,,,48.0,,,65.0,6.0,,,,73.0,,38.0,,,,30.0,249.0,12.0,5.0,,14.0,31.0,3.0,,,,,10.0,59.0,,,,,,,28.0,7.0,,4.0,4.0,5.0,,,,,6.0,15.0,,,17.0,11.0,,6.0,,8.0,,,5.0,32.0,,67.0,,,107.0,19.0,60.0,,,5.0,2907.0
"Worcester, MA-CT",7.0,113.0,5.0,,,,5.0,,,8.0,,,,,12.0,,,,,,,52.0,,,,179.0,,,4.0,,12.0,,6.0,25.0,26.0,,,14.0,,6.0,136.0,36.0,,18.0,,3.0,,4.0,,,,,,,211.0,35.0,70.0,44.0,,,,13.0,,,,,,,8.0,280.0,13.0,,27.0,,,,19.0,7.0,6.0,,5.0,330.0,3.0,23.0,180.0,13.0,3.0,9.0,30.0,8.0,21.0,,100.0,,29.0,15.0,,3.0,,38.0,,60.0,6.0,,,,,,,,,,,,,,48.0,3.0,,,,9.0,,,47.0,3.0,,,,17.0,,53.0,,,,29.0,33.0,21.0,6.0,,4.0,15.0,,,,3.0,,7.0,5.0,3.0,3.0,,,,,15.0,6.0,,,11.0,,,,,,21.0,9.0,,4.0,11.0,,,,,8.0,4.0,,6.0,4.0,5.0,38.0,,40.0,,13.0,106.0,,6.0,8.0,2904.0
"Stockton-Lodi, CA",195.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,42.0,,18.0,,,,,,124.0,8.0,,5.0,,5.0,,,,,,,,,,,17.0,25.0,,,,,14.0,,,,,,,5.0,,,24.0,,,,,6.0,6.0,,,481.0,,7.0,7.0,,,4.0,3.0,5.0,9.0,,10.0,,17.0,3.0,,4.0,,,,6.0,,,,,,,,,,,,,,,852.0,,,,,,,,12.0,3.0,,,,21.0,,288.0,3.0,,,9.0,445.0,,3.0,,,4.0,,,,,,6.0,,,4.0,,,,,,5.0,,,4.0,,,,,,14.0,11.0,,,11.0,,,,,,,,,,,13.0,,,,,128.0,14.0,,,2906.0
"Fresno, CA",,,,,,,,40.0,,,,,,,,,,,,,,,,,,6.0,,,3.0,,,,13.0,,16.0,,,,,,82.0,3.0,,,,,,,,,,4.0,,,,,14.0,89.0,,,,6.0,,,,,,,11.0,,,,,,,,,,6.0,,,560.0,12.0,31.0,14.0,,4.0,3.0,,3.0,6.0,,,,20.0,,,48.0,,11.0,,,,,,,3.0,,,4.0,,,,,,,1386.0,,,,,,,,,,,4.0,,22.0,,31.0,,,,7.0,178.0,,,,,9.0,,,,,,3.0,,,,,,,,,5.0,,,3.0,,,,,,9.0,10.0,,,16.0,,,,,,4.0,,,8.0,,11.0,,3.0,,4.0,39.0,49.0,,,2813.0
"Virginia Beach-Norfolk-Newport News, VA-NC",139.0,,3.0,,,5.0,3.0,,,3.0,,,,,12.0,,9.0,,,,,23.0,,4.0,,17.0,,,17.0,5.0,27.0,,8.0,10.0,30.0,,,,,,147.0,43.0,,6.0,,,,49.0,,,7.0,5.0,,6.0,25.0,8.0,32.0,27.0,,10.0,,21.0,,,,,3.0,,47.0,38.0,8.0,5.0,12.0,,,4.0,14.0,16.0,4.0,,,164.0,3.0,31.0,58.0,,3.0,9.0,114.0,18.0,7.0,17.0,17.0,,70.0,6.0,5.0,,,13.0,,11.0,,,,,,,,5.0,,6.0,,,3.0,,84.0,9.0,5.0,,,34.0,,,39.0,12.0,3.0,4.0,,69.0,,21.0,8.0,,,22.0,499.0,14.0,,,12.0,42.0,,3.0,,4.0,,6.0,5.0,,4.0,,,,,,22.0,,14.0,,10.0,,,10.0,4.0,,7.0,,,26.0,16.0,,11.0,,19.0,,,3.0,28.0,,36.0,,,4.0,5.0,141.0,,,,2667.0
"Milwaukee-Waukesha-West Allis, WI",,41.0,5.0,,,,8.0,,,11.0,,,,,7.0,,5.0,,,,,,4.0,6.0,,16.0,,,10.0,,252.0,,,14.0,23.0,,,,,,153.0,18.0,,25.0,3.0,6.0,,7.0,,,,5.0,,,30.0,3.0,9.0,13.0,,15.0,,29.0,,,,,,,12.0,13.0,11.0,,5.0,6.0,,,7.0,4.0,3.0,,,356.0,,24.0,129.0,7.0,9.0,3.0,31.0,4.0,60.0,,15.0,,23.0,13.0,,24.0,5.0,6.0,,10.0,5.0,5.0,,,3.0,,,46.0,,,,3.0,,,438.0,3.0,,,,3.0,,,22.0,5.0,4.0,6.0,,38.0,,76.0,,,,5.0,67.0,24.0,,,4.0,35.0,8.0,,8.0,,,11.0,3.0,8.0,,,,,,16.0,3.0,,11.0,12.0,19.0,,,3.0,3.0,10.0,5.0,,4.0,59.0,,,,,24.0,4.0,,,31.0,6.0,28.0,,,,,42.0,3.0,,,2611.0
