Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento--Roseville--Arden-Arcade, CA","Orlando-Kissimmee-Sanford, FL","Detroit-Warren-Dearborn, MI","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Austin-Round Rock, TX","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","San Antonio-New Braunfels, TX","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh, NC","Kansas City, MO-KS","Louisville/Jefferson County, KY-IN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Jacksonville, FL","Urban Honolulu, HI","Salt Lake City, UT","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",NAME_LONG,ISO_A3
Bermuda,68,7,,6,,,,,,,7,,4,,,,,,,,3,,,,,,,,,,,3,,3.0,,,,,,,,,,,,,,,,,,Bermuda,BMU
Bhutan,"2,940",25,5,,7,18,34,7,79,18,181,29,32,,,,10,,38,,,,4,78,27.0,19,39,89,257.0,20,5,,74.0,,18.0,80,,,,,30,94.0,,38.0,39.0,,,,78.0,,,Bhutan,BTN
Bolivia,"1,510",162,78,120,570,55,25,19,23,26,8,8,,8,12,13,6,16,9,4,12,,4,5,12.0,3,4,4,,,,50,,,5.0,,,,12.0,,7,,4.0,5.0,,,,,,5,,Bolivia,BOL
Bosnia and Herzegovina,846,60,16,12,16,16,103,11,23,21,30,21,3,19,13,,18,23,4,6,,25,16,7,4.0,5,6,3,,,4,,4.0,,3.0,9,3.0,,14.0,,3,5.0,10.0,57.0,,,,4.0,10.0,5,,Bosnia and Herzegovina,BIH
Botswana,112,6,,,5,,,,3,6,,7,3,,,,4,,14,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,Botswana,BWA
Brazil,"14,989","1,838",558,"2,174",316,380,210,481,342,"1,767",381,220,201,140,242,38,72,232,57,45,737,103,98,64,72.0,118,47,85,42.0,38,43,139,31.0,71.0,67.0,18,302.0,8,85.0,35,93,31.0,55.0,59.0,288.0,5,8,14.0,17.0,66,22,Brazil,BRA
Brunei,24,5,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brunei,BRN
Bulgaria,"2,184",182,74,75,89,27,417,66,33,99,47,46,25,32,26,7,19,48,10,5,21,16,77,30,20.0,10,10,7,6.0,3,16,10,8.0,10.0,,,14.0,,9.0,5,7,10.0,6.0,21.0,,,,5.0,6.0,9,,Bulgaria,BGR
Burkina Faso,541,246,,,26,25,,,7,5,10,13,24,,,3,,,,,,,,6,8.0,,,,3.0,,4,,,,,,,,,,,11.0,,4.0,,,,,,,,Burkina Faso,BFA
Burma,"12,897",242,226,26,111,222,439,359,828,43,596,156,88,38,50,19,246,23,480,14,13,9,24,260,319.0,72,182,243,77.0,137,"1,378",6,276.0,33.0,239.0,99,,5,206.0,13,129,18.0,18.0,32.0,8.0,,4,484.0,19.0,3,,Burma,MMR
Burundi,"1,094",5,,,34,29,12,,69,5,32,,9,,26,,61,3,,,,,11,10,5.0,12,11,,10.0,13,6,3,15.0,22.0,19.0,20,,,10.0,,17,5.0,6.0,10.0,8.0,,,,4.0,,,Burundi,BDI
Cabo Verde,"2,618",33,,4,9,,,,,"1,859",,,,,4,,,,,,5,,,,,,,,,,,599,,,,,19.0,,,,,,,,4.0,,,,,,,Cabo Verde,CIV
Cambodia,"4,056",37,612,8,98,152,66,86,101,415,67,318,175,93,57,99,55,25,146,33,9,,21,24,15.0,21,40,29,18.0,8,5,73,12.0,,5.0,17,19.0,,26.0,9,27,25.0,12.0,,15.0,45,15,9.0,16.0,,,Cambodia,KHM
Cameroon,"4,668",150,75,23,"1,265",233,111,35,264,149,186,26,90,35,10,23,64,19,187,15,17,47,20,22,252.0,30,5,34,101.0,24,25,6,4.0,11.0,41.0,4,,10,4.0,3,6,66.0,,9.0,43.0,4,,8.0,11.0,,,Cameroon,CMR
Canada,"11,484","1,032",751,412,208,336,285,545,292,351,199,592,151,313,197,88,254,157,89,60,124,332,109,125,60.0,108,118,88,62.0,51,39,48,44.0,71.0,35.0,26,55.0,,39.0,44,40,27.0,30.0,53.0,37.0,14,21,36.0,43.0,38,,Canada,CAN
Cayman Islands,67,10,,13,,,,,3,,,,,,,,,10,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,CYM
Central African Republic,178,10,,,20,,,,4,,17,,,,,,4,,,,,,,6,13.0,,,3,15.0,,,,,,8.0,,,,,,6,4.0,,,19.0,,,,,,,Central African Republic,CAF
Chad,205,26,,,13,5,9,,,,10,,,,,,,,,,,,,4,5.0,,,,4.0,,3,,,,6.0,,,,,,6,,7.0,,,,,,6.0,,,Chad,TCD
Chile,"1,625",233,79,307,71,31,35,35,23,43,22,58,15,18,13,22,11,18,10,11,20,4,13,14,9.0,7,12,13,,4,4,5,7.0,9.0,7.0,,17.0,,3.0,,30,,4.0,9.0,,,,5.0,,6,,Chile,CHL
"China, People's Republic","71,565","18,222","9,999",785,"1,908","1,673","1,793","6,769","1,122","2,262",925,"1,896","1,696","2,926",819,"1,147",397,238,368,683,269,383,591,332,403.0,266,520,212,206.0,102,192,155,159.0,303.0,137.0,65,121.0,23,84.0,444,119,163.0,140.0,275.0,118.0,97,100,112.0,177.0,34,38,"China, People's Republic",CHN
Colombia,"17,956","4,142",470,"3,863",457,687,299,159,271,594,472,84,217,66,92,106,111,542,54,23,698,30,120,70,65.0,59,35,221,35.0,94,24,148,37.0,66.0,42.0,11,197.0,14,117.0,6,44,26.0,69.0,44.0,40.0,5,12,21.0,11.0,104,90,Colombia,COL
"Congo, Democratic Republic","8,709",67,56,12,196,161,197,17,683,141,340,109,55,5,89,8,265,22,54,,43,13,70,169,64.0,69,34,185,50.0,49,73,20,144.0,135.0,68.0,107,31.0,,41.0,,77,112.0,20.0,103.0,66.0,,,35.0,61.0,,,"Congo, Democratic Republic",COD
"Congo, Republic",632,30,4,4,13,29,29,4,25,9,18,9,7,,31,,61,,9,,5,,4,20,3.0,,8,6,6.0,,6,8,3.0,10.0,,9,,,,,,7.0,3.0,,,,,4.0,,,,"Congo, Republic",COG
