Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","Seattle-Tacoma-Bellevue, WA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento--Roseville--Arden-Arcade, CA","Orlando-Kissimmee-Sanford, FL","Detroit-Warren-Dearborn, MI","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Austin-Round Rock, TX","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","San Antonio-New Braunfels, TX","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh, NC","Kansas City, MO-KS","Louisville/Jefferson County, KY-IN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Jacksonville, FL","Urban Honolulu, HI","Salt Lake City, UT","Cincinnati, OH-KY-IN","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","San Juan-Carolina-Caguas, PR",NAME_LONG,ISO_A3
Guyana,"5,468","3,951",19,159,121,14,11,12,16,19,99,3,76,3,3,3,8,37,58,,139,4,3,3,35.0,4,3,13,8.0,,3,,4.0,4.0,3.0,,4.0,,20.0,,,,53.0,,,,,,20.0,10,,Guyana,GUY
Haiti,"21,824","5,476",29,"7,116",203,32,89,36,20,"1,999",277,14,483,7,35,12,28,264,24,4,"1,308",14,16,11,54.0,14,17,29,40.0,,35,127,21.0,9.0,29.0,26,288.0,3,178.0,,8,3.0,30.0,11.0,74.0,,,,,248,5,Haiti,HTI
Honduras,"11,387","1,714",752,"1,321",611,745,184,281,371,231,228,75,76,62,51,122,61,165,61,16,139,18,79,62,97.0,167,23,200,33.0,88,89,50,70.0,93.0,91.0,22,67.0,13,36.0,8,21,30.0,24.0,25.0,20.0,9,17,7.0,12.0,50,14,Honduras,HND
Hong Kong,"2,415",413,350,35,52,46,44,420,44,82,18,147,21,136,29,31,29,6,11,37,9,6,32,7,9.0,9,20,17,8.0,,4,5,3.0,3.0,,,6.0,,,28,14,9.0,4.0,6.0,,7,5,,5.0,3,,Hong Kong,HKG
Hungary,972,172,83,70,25,12,15,44,11,27,15,13,23,48,13,8,7,44,4,,9,9,25,3,,7,7,5,4.0,,,,4.0,9.0,,,9.0,,14.0,,,,,,,,,,10.0,3,,Hungary,HUN
Iceland,86,9,12,,,,,,,,4,8,,,4,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iceland,ISL
India,"60,394","9,551","2,023",489,"1,949","2,328","3,713","2,827","2,956","1,477","1,948","1,468","2,068","2,426",398,476,629,551,620,901,332,991,128,317,651.0,516,317,642,432.0,176,465,139,262.0,666.0,213.0,163,229.0,17,171.0,19,113,342.0,550.0,364.0,271.0,603,642,279.0,268.0,40,4,India,IND
Indonesia,"1,914",148,274,16,65,89,26,102,44,45,33,80,66,57,23,137,25,11,5,15,17,4,24,43,5.0,24,24,6,16.0,15,4,,6.0,6.0,7.0,4,,,3.0,6,,3.0,7.0,11.0,,,14,8.0,4.0,,,Indonesia,IDN
Iran,"13,791",463,"4,278",155,769,581,279,612,548,294,339,449,117,632,427,133,127,47,48,271,53,73,134,96,126.0,93,148,52,39.0,105,21,24,54.0,64.0,39.0,37,20.0,12,26.0,7,55,31.0,26.0,51.0,31.0,8,35,21.0,32.0,7,,Iran,IRN
Iraq,"14,203",125,308,23,460,829,518,66,762,143,166,436,130,39,"1,111",78,484,130,81,315,78,"1,527",32,289,64.0,370,210,41,187.0,221,21,18,275.0,95.0,109.0,183,12.0,10,113.0,,167,26.0,18.0,123.0,176.0,,10,87.0,89.0,,,Iraq,IRQ
Ireland,"1,485",395,64,34,38,21,60,118,22,145,17,38,41,38,15,,6,9,12,12,13,5,4,13,12.0,25,16,14,4.0,,5,7,3.0,12.0,,6,6.0,,4.0,,5,5.0,5.0,6.0,14.0,,,,5.0,,,Ireland,IRL
Israel,"3,802",897,428,207,101,54,77,184,108,174,113,126,73,268,62,18,20,30,22,20,13,10,98,33,21.0,33,35,16,8.0,17,6,6,9.0,11.0,,,8.0,4,16.0,4,4,8.0,7.0,19.0,4.0,,,6.0,31.0,,7,Israel,ISR
Italy,"3,655",747,252,388,106,104,118,151,59,139,44,68,94,98,53,27,24,66,15,8,38,68,36,21,18.0,25,15,21,18.0,8,10,13,7.0,19.0,14.0,,23.0,4,13.0,,7,24.0,20.0,7.0,7.0,4,7,7.0,8.0,23,5,Italy,ITA
Jamaica,"21,905","7,835",107,"3,485",582,142,200,37,132,405,864,41,686,10,32,48,58,300,35,17,789,85,34,40,273.0,16,14,79,49.0,33,32,64,21.0,23.0,55.0,14,363.0,7,111.0,5,6,29.0,609.0,30.0,40.0,,,27.0,61.0,83,5,Jamaica,JAM
Japan,"4,635",610,688,50,107,60,109,258,68,90,64,191,39,187,123,38,30,23,30,19,30,60,53,31,17.0,28,60,11,27.0,34,21,5,15.0,5.0,10.0,5,17.0,8,12.0,296,25,19.0,7.0,20.0,5.0,3,4,9.0,7.0,3,,Japan,JPN
Jordan,"5,264",512,277,67,112,190,624,161,273,55,37,46,91,48,72,145,59,91,20,45,40,217,27,28,31.0,30,24,39,106.0,33,43,7,30.0,45.0,44.0,30,,,46.0,,13,70.0,23.0,56.0,8.0,9,9,45.0,67.0,,16,Jordan,JOR
Kazakhstan,"1,377",287,90,56,45,83,52,42,19,27,24,56,26,38,13,9,,15,28,42,7,12,17,20,6.0,4,29,8,9.0,3,,,,11.0,5.0,3,4.0,,9.0,,,7.0,,9.0,4.0,,,,14.0,,,Kazakhstan,KAZ
Kenya,"6,957",308,77,17,176,133,70,81,581,252,218,327,126,26,46,27,73,18,854,34,84,14,24,30,124.0,31,73,18,253.0,25,35,16,40.0,92.0,134.0,48,,7,14.0,,43,26.0,7.0,90.0,134.0,10,,15.0,10.0,,,Kenya,KEN
"Korea, North",32,4,5,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Korea, North",PRK
"Korea, South","19,194","2,760","4,045",93,836,287,582,575,758,340,844,685,324,795,301,243,126,54,59,73,48,215,154,161,213.0,173,131,50,37.0,33,31,22,41.0,99.0,58.0,32,33.0,16,19.0,162,41,63.0,43.0,95.0,20.0,12,19,20.0,51.0,3,,"Korea, South",KOR
Kuwait,"1,177",104,73,18,37,50,66,36,62,21,20,31,20,20,18,17,11,33,27,7,11,60,,7,,3,9,8,44.0,7,3,,7.0,6.0,10.0,4,,5,4.0,,5,6.0,6.0,4.0,6.0,,,5.0,15.0,,,Kuwait,KWT
Kyrgyzstan,715,117,26,5,31,29,135,25,6,14,8,23,22,20,5,6,,6,5,17,,,4,7,5.0,4,4,5,,4,3,,,5.0,3.0,,5.0,,7.0,,,22.0,,,,,,,,,,Kyrgyzstan,KGZ
Laos,685,3,16,8,15,,10,12,20,10,11,14,5,,19,8,,6,115,18,,14,4,3,5.0,,6,8,6.0,,,6,13.0,,9.0,,,,,10,6,,,,3.0,,34,16.0,,,,Laos,LAO
Latvia,359,52,12,10,12,,26,15,9,7,16,6,6,18,8,,3,4,4,4,,,,7,,,,8,,3,,,,,,,,,,,,,,,,,,,4.0,,,Latvia,LVA
Lebanon,"2,818",165,310,63,94,146,82,37,65,149,36,18,24,32,28,60,17,35,15,14,22,640,21,18,15.0,14,17,11,20.0,7,,27,11.0,8.0,3.0,4,4.0,4,13.0,,7,13.0,5.0,8.0,24.0,4,6,3.0,30.0,,3,Lebanon,LBN
Lesotho,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesotho,LSO
Liberia,"4,155",270,9,,233,60,29,22,102,84,130,25,877,,3,,47,5,560,14,7,25,7,26,128.0,8,18,107,66.0,7,57,175,22.0,13.0,22.0,36,11.0,4,11.0,,12,,,19.0,53.0,,,3.0,13.0,,,Liberia,LBR
Libya,780,34,29,16,34,69,16,13,24,7,16,34,6,4,9,,5,13,12,,16,31,,43,,,22,5,28.0,11,5,,4.0,,6.0,3,8.0,,,,,7.0,,6.0,,,,,14.0,,,Libya,LBY
Lithuania,645,71,37,27,11,4,207,25,8,14,16,7,11,9,8,,4,8,4,3,5,4,6,5,6.0,,,,,,,,,,,,,,,,3,4.0,5.0,,,,,,7.0,11,,Lithuania,LTU
Luxembourg,33,6,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luxembourg,LUX
Macau,109,19,18,3,,4,3,23,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,Macau,MAC
North Macedonia,"1,027",301,13,48,15,14,166,5,16,16,6,4,4,,,,6,11,,,,57,5,,,,4,,17.0,5,,,,,,,5.0,,,,,3.0,,,,,,15.0,,,,North Macedonia,MKD
Madagascar,60,,,,15,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madagascar,MDG
Malawi,228,10,,,4,10,11,,9,4,14,8,4,,7,,5,,4,,,3,,10,4.0,4,,,4.0,,,,3.0,,,,,,3.0,,,,3.0,,,,,,,,,Malawi,MWI
Malaysia,"4,109",292,110,25,64,125,255,91,233,53,202,75,46,80,22,19,114,6,33,17,7,8,23,84,89.0,29,71,65,36.0,87,310,,52.0,19.0,45.0,22,5.0,,26.0,5,38,10.0,7.0,10.0,9.0,5,,203.0,7.0,,,Malaysia,MYS
Mali,544,221,,,32,17,6,3,3,3,17,10,58,,,,,,4,,,4,,11,18.0,,,6,10.0,,3,,,,,,,,,,3,25.0,,,,,,,,,,Mali,MLI
Malta,75,3,,,,,,,,,,3,,,,,3,,,,,,4,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,Malta,MLT
Marshall Islands,23,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall Islands,MHL
Mauritania,287,70,,,13,,4,,,,5,3,11,,,,,,,,,6,,,3.0,,,,41.0,,15,,,,4.0,7,,,,,,40.0,,3.0,,,,,,,,Mauritania,MRT
Mauritius,96,19,9,3,7,,3,4,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauritius,MUS
Mexico,"170,581","3,467","19,257","1,411",709,"8,633","9,596","4,429","9,468",270,"2,201","1,541",850,"2,348","7,197","7,566","5,551",695,"1,058","1,478",440,790,"2,341","2,720",157.0,"1,954","1,488","1,064",212.0,"2,581",698,85,546.0,504.0,911.0,241,160.0,"3,908",122.0,38,"1,064",185.0,70.0,236.0,34.0,"1,090","1,621",574.0,147.0,278,55,Mexico,MEX
"Micronesia, Federated States",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Micronesia, Federated States",FSM
Moldova,"2,480",244,57,68,51,33,439,37,34,45,56,190,43,24,13,11,11,22,34,158,107,3,44,36,8.0,6,72,29,5.0,4,,7,,11.0,5.0,,,,8.0,,3,5.0,6.0,,3.0,,,4.0,18.0,,,Moldova,MDA
Monaco,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monaco,MCO
Mongolia,661,13,56,6,124,,122,96,,6,,49,3,9,3,,,4,3,8,3,,5,46,,,3,,,,,,,,3.0,4,,,,,3,,,,,,,,,,,Mongolia,MNG
Montenegro,323,191,5,8,5,,25,,,,,,3,4,,,,,,,,29,3,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,Montenegro,MNE
Montserrat,12,6,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montserrat,MSR
Morocco,"4,229",749,88,82,383,77,143,57,73,474,73,39,161,18,18,25,24,65,27,13,188,42,27,73,40.0,24,24,22,52.0,15,22,40,14.0,99.0,17.0,18,30.0,,20.0,3,6,57.0,11.0,6.0,9.0,,4,8.0,18.0,,,Morocco,MAR
Mozambique,96,5,,,12,7,,,4,4,,,,3,,,,,,,,,,,,,,,,4,,,3.0,4.0,8.0,,,,,,,,3.0,,,,,4.0,,,,Mozambique,MOZ
Namibia,130,8,,,5,,,,,5,10,4,11,,,,5,,,,,,,,3.0,4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,Namibia,NAM
Nepal,"11,610","1,197",249,33,865,281,229,435,968,393,268,258,110,147,32,51,66,28,141,98,17,53,29,299,478.0,172,78,103,273.0,52,18,39,75.0,105.0,60.0,101,13.0,3,15.0,47,103,105.0,83.0,76.0,50.0,4,,21.0,78.0,,,Nepal,NPL
Netherlands,"1,056",130,77,39,40,54,30,66,23,25,26,25,26,29,12,11,11,15,11,,16,8,9,9,3.0,6,12,4,3.0,8,4,3,7.0,7.0,7.0,3,,,4.0,3,,4.0,,7.0,,,,3.0,3.0,3,,Netherlands,NLD
New Zealand,798,91,94,11,24,16,14,60,20,10,8,24,10,18,10,11,14,7,14,12,7,7,8,14,5.0,7,16,5,5.0,,,3,5.0,,5.0,,,,3.0,16,14,,,,,,,3.0,,,,New Zealand,NZL
Nicaragua,"3,072",173,235,"1,116",117,111,40,185,44,16,33,29,43,19,5,69,12,24,11,21,43,,23,12,10.0,13,11,26,8.0,17,26,5,14.0,11.0,4.0,3,7.0,,19.0,,5,7.0,,8.0,,3,6,9.0,,23,4,Nicaragua,NIC
Niger,116,19,,,9,,,,,,,4,,,,,,,,,,,,,,,,,4.0,,8,,,,,,,,,,,,,,,,,,,,,Niger,NER
Nigeria,"13,539","1,873",418,121,983,"1,319",679,180,904,435,881,97,338,38,67,117,99,76,149,70,68,199,48,55,586.0,87,41,61,121.0,60,296,113,64.0,92.0,79.0,15,28.0,30,48.0,4,9,82.0,42.0,72.0,26.0,44,18,25.0,46.0,,,Nigeria,NGA
Oman,104,12,8,3,4,8,4,,9,,4,3,,3,9,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,Oman,OMN
Pakistan,"17,408","4,153",462,231,"1,319","1,189","1,123",419,709,234,386,256,465,174,53,200,96,51,121,333,111,334,50,55,385.0,122,34,64,82.0,63,70,66,21.0,85.0,124.0,17,80.0,,16.0,7,45,45.0,98.0,86.0,51.0,328,19,76.0,35.0,7,,Pakistan,PAK
Palau,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palau,PLW
Panama,889,117,43,114,34,47,11,17,23,15,18,6,12,5,12,7,6,38,5,12,43,,5,6,3.0,7,,5,,11,3,4,4.0,7.0,,4,,,7.0,,,3.0,,9.0,,3,,,5.0,,8,Panama,PAN
Papua New Guinea,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,PNG
Paraguay,391,164,9,38,18,3,3,5,9,4,4,,4,,,3,4,7,,,4,,,,,,,,,5,,,,,4.0,,4.0,,,,,,,,,,,,,,,Paraguay,PRY
Peru,"10,115","2,550",660,"1,353",763,137,166,381,171,142,170,88,86,69,72,131,53,128,28,37,170,19,97,84,58.0,30,28,92,12.0,34,47,28,29.0,37.0,24.0,7,118.0,6,39.0,10,134,31.0,112.0,20.0,8.0,11,7,20.0,21.0,34,28,Peru,PER
Philippines,"49,147","3,720","5,961",846,"1,153",961,"1,667","2,955",559,243,250,"1,139",426,"1,138","1,721","1,324",527,306,261,724,441,301,"1,488",142,459.0,147,271,178,80.0,263,88,63,362.0,87.0,112.0,74,79.0,46,272.0,"2,312",72,557.0,64.0,142.0,43.0,461,123,49.0,85.0,39,3,Philippines,PHL
Poland,"4,845","1,312",92,76,62,33,"1,504",98,48,68,46,84,105,80,30,13,11,64,6,18,22,50,13,36,18.0,9,13,18,8.0,8,8,12,7.0,14.0,8.0,7,59.0,,5.0,4,5,4.0,133.0,8.0,23.0,,,10.0,16.0,8,,Poland,POL
Portugal,939,247,23,53,22,16,14,34,13,77,11,16,14,12,5,6,4,10,,3,8,9,,,3.0,,,,,6,,127,,,,,17.0,,,,,,6.0,3.0,3.0,6,,,,,,Portugal,PRT
Puerto Rico,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puerto Rico,PRI
Qatar,224,24,19,10,21,18,10,8,7,,4,,8,6,,,,6,,3,,9,,6,,,4,,,4,,,3.0,,,,,,,,,,,,,,,,,,,Qatar,QAT
Romania,"2,953",302,155,154,63,79,335,82,62,72,95,150,47,41,29,31,84,22,10,43,10,128,43,13,15.0,17,56,17,7.0,15,10,10,11.0,13.0,5.0,,19.0,3,21.0,6,10,,7.0,9.0,3.0,,8,5.0,35.0,9,,Romania,ROU
Russia,"8,918","1,652",716,439,301,182,348,410,118,328,109,418,223,367,139,21,45,123,77,198,71,60,82,131,61.0,75,146,72,21.0,10,17,20,27.0,61.0,23.0,12,56.0,6,34.0,12,29,28.0,10.0,31.0,18.0,,7,23.0,31.0,13,,Russia,RUS
Rwanda,"1,394",5,4,3,27,65,20,3,92,13,54,9,5,,7,4,94,,3,4,,3,8,21,6.0,6,11,,12.0,13,6,9,21.0,13.0,43.0,40,,,6.0,,44,5.0,,8.0,19.0,,,,,,,Rwanda,RWA
Saint Kitts and Nevis,238,59,,28,9,4,,,7,,6,,,,,,,5,,,7,,,,,,,,,,,,,3.0,,,5.0,,,,,,3.0,,,,,,3.0,,,Saint Kitts and Nevis,KNA
Saint Lucia,777,373,7,40,16,30,,,10,18,7,,11,,,3,,15,,,30,,,,9.0,,,,,,,,,,,,4.0,,,,,3.0,25.0,,,,,,,,,Saint Lucia,LCA
Saint Vincent and the Grenadines,361,227,4,13,8,4,,,4,10,9,,8,,,,,7,,,3,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,Saint Vincent and the Grenadines,VCT
Samoa,194,,20,,,,,9,,,,26,,,3,7,3,,,,,,5,,,,3,,,,,,,,4.0,,,,,15,32,,,,,,,,,,,Samoa,WSM
Sao Tome and Principe,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe,STP
Saudi Arabia,"2,135",217,115,32,150,91,105,60,98,36,30,55,46,34,23,28,22,22,29,16,24,96,5,17,22.0,18,32,24,37.0,13,19,4,6.0,9.0,14.0,3,13.0,,7.0,,,15.0,13.0,8.0,3.0,,6,13.0,22.0,,,Saudi Arabia,SAU
Senegal,"1,470",450,21,,85,22,24,9,15,14,70,16,46,,3,,8,4,6,,5,33,9,16,13.0,7,,8,66.0,6,31,29,11.0,11.0,3.0,30,6.0,,3.0,,,82.0,,7.0,,,,,4.0,,,Senegal,SEN
Serbia,"1,410",258,78,58,54,14,291,24,19,35,18,17,14,21,28,12,16,25,,4,11,14,38,18,3.0,6,8,4,,,9,4,3.0,,,,,,4.0,,10,,6.0,6.0,,,,13.0,16.0,6,,Serbia,SRB
Seychelles,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seychelles,SYC
Sierra Leone,"2,058",250,21,,693,32,9,12,57,49,50,25,247,29,,11,12,3,42,11,,4,,6,36.0,6,8,14,118.0,,12,4,7.0,14.0,9.0,,3.0,5,3.0,,,8.0,,4.0,9.0,5,,4.0,,,,Sierra Leone,SLE
Singapore,818,101,73,11,19,44,31,79,27,36,7,41,10,61,6,14,10,,5,7,,4,3,5,3.0,14,8,4,4.0,,,3,3.0,8.0,,,,,3.0,3,,3.0,,8.0,,,,,4.0,,,Singapore,SGP
Sint Maarten,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sint Maarten,SXM
Slovakia,388,83,20,22,17,3,33,12,,6,,5,4,6,9,,7,,5,,,,5,6,3.0,3,,3,,,,,,4.0,,,4.0,,,,,,,,,,,4.0,,,,Slovakia,SVK
Slovenia,108,14,8,10,6,,3,8,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Slovenia,SVN
Solomon Islands,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solomon Islands,SLB
Somalia,"7,404",6,38,,64,39,57,7,103,85,85,355,,10,107,,101,6,"1,787",,,3,8,67,4.0,12,121,19,697.0,22,12,4,88.0,15.0,104.0,173,,,,,105,39.0,,54.0,34.0,,,45.0,10.0,,,Somalia,SOM
South Africa,"2,912",241,121,102,74,111,87,64,102,53,122,105,40,24,45,12,18,57,129,18,34,26,14,61,27.0,19,35,55,36.0,12,24,4,20.0,35.0,23.0,10,29.0,,18.0,3,24,7.0,5.0,17.0,5.0,3,,14.0,6.0,8,,South Africa,ZAF
South Sudan,160,,,,5,4,,,4,4,,5,,,3,,4,,4,,,,,,,,,,,,,,3.0,,,,,,3.0,,7,,,,,,,,,,,South Sudan,SSD
Spain,"3,045",430,166,621,80,87,74,139,54,143,29,54,43,64,48,21,18,50,17,12,50,17,19,27,18.0,28,29,27,7.0,8,6,10,,15.0,10.0,8,11.0,,18.0,6,14,14.0,6.0,14.0,8.0,,,6.0,,14,22,Spain,ESP
Sri Lanka,"1,627",349,160,20,131,53,24,37,58,44,24,18,42,45,15,20,5,16,26,11,,22,16,,23.0,10,18,4,8.0,,11,,7.0,7.0,11.0,6,9.0,,,,8,6.0,15.0,,6.0,3,6,,5.0,,,Sri Lanka,LKA
Sudan,"3,515",207,66,15,363,78,84,33,167,50,84,82,107,4,17,14,72,24,24,4,14,31,33,106,62.0,42,18,25,40.0,15,23,,21.0,30.0,37.0,34,,,54.0,,40,5.0,33.0,15.0,3.0,,,21.0,28.0,,,Sudan,SDN
Suriname,136,69,4,9,,,,,,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suriname,SUR
Swaziland,19,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaziland,SWZ
Sweden,950,147,119,27,23,14,14,65,24,26,5,34,8,75,21,7,12,6,8,7,14,7,7,10,,9,9,4,4.0,5,3,4,4.0,4.0,6.0,,3.0,,6.0,3,3,,,4.0,,,,4.0,3.0,,,Sweden,SWE
Switzerland,565,96,45,46,16,10,10,41,8,25,5,16,7,18,22,,,9,6,,6,5,6,6,,,,,,3,3,,,,5.0,,,,8.0,3,,6.0,,,3.0,,,,,,,Switzerland,CHE
Syria,"5,877",366,694,71,126,185,350,62,145,99,97,61,75,29,152,201,104,87,26,52,36,358,22,24,41.0,41,44,26,52.0,7,53,49,38.0,18.0,23.0,85,19.0,,101.0,,11,13.0,24.0,57.0,39.0,10,23,12.0,115.0,,,Syria,SYR
Taiwan,"4,858",489,892,37,114,164,75,454,110,142,53,225,55,651,92,122,27,12,28,47,21,23,32,18,16.0,47,81,5,18.0,11,12,6,12.0,21.0,19.0,,3.0,6,4.0,22,11,11.0,16.0,15.0,10.0,,9,5.0,9.0,,,Taiwan,TWN
Tajikistan,652,292,11,3,31,5,18,11,5,5,9,10,46,5,5,3,,,16,3,,,,27,11.0,,7,,,,,,,,8.0,,,,,,,,,,,9,,,,,,Tajikistan,TJK
Tanzania,"1,415",47,9,,64,52,32,9,75,39,48,27,12,3,25,,28,16,32,,15,13,9,28,14.0,6,3,4,20.0,3,,8,21.0,30.0,22.0,25,6.0,,11.0,,16,,,,9.0,,,3.0,18.0,,,Tanzania,TZA
Thailand,"6,311",254,547,84,192,132,119,198,135,121,126,148,40,52,77,74,103,53,415,38,30,35,113,77,41.0,46,111,13,16.0,36,43,8,51.0,23.0,58.0,22,8.0,3,35.0,59,54,13.0,30.0,26.0,13.0,6,9,118.0,13.0,4,,Thailand,THA
Togo,"1,572",251,5,3,227,19,56,3,17,15,83,10,49,,14,6,13,7,84,,3,4,,7,18.0,,,34,14.0,4,26,3,,9.0,8.0,35,3.0,,,,,13.0,10.0,8.0,,,,,4.0,,,Togo,TGO
Tonga,262,,20,,,,,62,7,,,22,,15,,18,3,,,5,,,,,,,8,,,,,,,,,,,,,17,31,,,,,,,,,,,Tonga,TON
Trinidad and Tobago,"3,100","1,586",24,266,106,106,13,13,25,71,75,10,95,8,4,11,4,50,7,,61,3,6,5,79.0,7,6,13,,4,,9,6.0,6.0,3.0,3,17.0,,18.0,,,,7.0,5.0,4.0,,,,5.0,10,,Trinidad and Tobago,TTO
Tunisia,535,63,44,15,62,13,20,21,5,14,7,11,20,6,4,,9,9,6,,8,19,5,4,,7,4,,,,5,,,4.0,,4,3.0,,,,,5.0,,,,,,,,,,Tunisia,TUN
Turkey,"4,844","1,083",255,151,257,238,138,203,83,213,93,122,161,131,90,17,31,58,28,37,42,38,21,28,43.0,41,23,21,19.0,22,13,20,20.0,35.0,16.0,5,19.0,13,19.0,,5,18.0,17.0,39.0,8.0,,6,8.0,23.0,,,Turkey,TUR
Turkmenistan,251,72,12,12,5,28,5,,6,,,12,3,,,,,,3,,,3,,,,,3,,,,,3,,3.0,4.0,,5.0,,,,,,,,,,,4.0,,,,Turkmenistan,TKM
Turks and Caicos Islands,35,4,,7,,,,,,,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,Turks and Caicos Islands,TCA
Tuvalu,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuvalu,TUV
Uganda,"1,898",56,59,9,96,38,46,12,48,275,63,43,16,,40,11,36,11,61,4,,12,8,61,18.0,6,21,10,40.0,5,10,9,28.0,14.0,16.0,19,5.0,,7.0,,24,20.0,5.0,16.0,20.0,,,,27.0,,,Uganda,UGA
Ukraine,"10,135","1,883",370,231,203,89,"1,090",253,88,177,93,674,389,211,91,24,24,98,117,546,61,229,46,126,67.0,43,389,91,35.0,10,20,10,31.0,30.0,9.0,18,92.0,,33.0,6,25,24.0,59.0,41.0,8.0,,19,26.0,148.0,16,,Ukraine,UKR
United Arab Emirates,"1,314",136,82,30,71,106,65,51,94,15,29,28,32,33,31,10,12,25,17,10,13,46,5,13,17.0,8,9,7,10.0,11,9,,6.0,7.0,5.0,,3.0,,6.0,,4,14.0,3.0,,,10,3,8.0,6.0,,,United Arab Emirates,ARE
United Kingdom,"10,948","1,551",808,283,300,544,318,589,249,382,234,283,201,248,167,79,108,166,58,43,199,94,75,120,94.0,136,101,106,52.0,57,53,50,44.0,85.0,24.0,25,108.0,,78.0,17,24,64.0,45.0,73.0,34.0,11,15,35.0,38.0,25,,United Kingdom,GBR
United States,409,66,30,16,26,13,14,10,13,14,6,3,4,5,6,13,3,,,,,4,5,,4.0,4,3,4,3.0,4,,,3.0,,,,,,,3,,,,,,,,,,3,,United States,USA
Uruguay,"1,001",256,30,200,29,25,,18,9,12,41,7,10,4,,6,,17,5,,18,3,14,,,,,13,4.0,,,,,11.0,,,21.0,,3.0,,5,,,,35.0,,,,5.0,11,4,Uruguay,URY
