Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Joliet, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Scottsdale, AZ","Orlando-Kissimmee, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Beaverton, OR-WA","Austin-Round Rock, TX","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","San Antonio, TX","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Columbus, OH","Kansas City, MO-KS","Charlotte-Gastonia-Concord, NC-SC","Raleigh-Cary, NC","Nashville-Davidson--Murfreesboro--Franklin, TN","San Juan-Caguas-Guaynabo, PR","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Saint Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Stockton, CA","Fresno, CA","Tucson, AZ","Cincinnati-Middletown, OH-KY-IN","Virginia Beach-Norfolk-Newport News, VA-NC",NAME,ISO_A3
Paraguay,467,184.0,6.0,62.0,43.0,4.0,,7.0,3.0,5.0,9.0,4.0,,4.0,3.0,4.0,,,4.0,,,4.0,4.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,Paraguay,PRY
Peru,14247,3440.0,937.0,2427.0,1118.0,166.0,407.0,221.0,233.0,128.0,241.0,90.0,126.0,111.0,109.0,197.0,12.0,86.0,242.0,55.0,127.0,173.0,100.0,69.0,46.0,37.0,37.0,11.0,29.0,39.0,10.0,137.0,32.0,59.0,97.0,49.0,26.0,50.0,159.0,161.0,25.0,31.0,48.0,12.0,23.0,35.0,18.0,6.0,13.0,60.0,40.0,Peru,PER
Philippines,58173,4047.0,9169.0,536.0,1576.0,1932.0,4408.0,1019.0,589.0,228.0,248.0,2641.0,1988.0,476.0,1377.0,1712.0,289.0,589.0,403.0,240.0,1829.0,301.0,173.0,435.0,842.0,354.0,133.0,3107.0,94.0,194.0,49.0,110.0,103.0,113.0,98.0,70.0,68.0,3.0,70.0,74.0,104.0,120.0,342.0,47.0,115.0,406.0,570.0,169.0,70.0,98.0,565.0,Philippines,PHL
Poland,7643,2468.0,139.0,116.0,96.0,2418.0,67.0,28.0,43.0,97.0,35.0,36.0,41.0,142.0,41.0,14.0,138.0,46.0,18.0,20.0,31.0,68.0,36.0,37.0,13.0,22.0,9.0,7.0,32.0,11.0,,111.0,12.0,4.0,6.0,10.0,7.0,,3.0,218.0,11.0,22.0,11.0,29.0,32.0,,,,3.0,8.0,7.0,Poland,POL
Portugal,755,263.0,20.0,23.0,23.0,5.0,18.0,5.0,3.0,62.0,9.0,3.0,9.0,12.0,6.0,8.0,6.0,,3.0,,,5.0,,,5.0,,,,85.0,,,24.0,,,,,,,,10.0,,,,4.0,,,5.0,,,,,Portugal,PRT
Qatar,148,24.0,10.0,,9.0,14.0,3.0,6.0,4.0,3.0,,,,8.0,,3.0,4.0,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,Qatar,QAT
Romania,4003,449.0,211.0,191.0,132.0,411.0,64.0,75.0,61.0,75.0,145.0,40.0,47.0,73.0,148.0,51.0,136.0,110.0,25.0,24.0,61.0,37.0,33.0,28.0,46.0,121.0,15.0,7.0,8.0,21.0,3.0,29.0,13.0,7.0,8.0,4.0,21.0,,10.0,15.0,14.0,23.0,19.0,8.0,82.0,3.0,,3.0,,11.0,9.0,Romania,ROU
Russia,6718,1283.0,349.0,223.0,289.0,226.0,228.0,128.0,85.0,221.0,118.0,85.0,138.0,221.0,248.0,21.0,54.0,31.0,53.0,82.0,47.0,39.0,118.0,64.0,144.0,139.0,31.0,12.0,19.0,11.0,,37.0,32.0,30.0,31.0,32.0,26.0,,16.0,21.0,21.0,47.0,14.0,14.0,58.0,18.0,5.0,6.0,11.0,29.0,29.0,Russia,RUS
Rwanda,489,16.0,4.0,,12.0,7.0,,14.0,23.0,16.0,21.0,3.0,,7.0,4.0,,,14.0,,4.0,,,14.0,5.0,4.0,5.0,,,6.0,5.0,,3.0,5.0,,,3.0,3.0,,17.0,5.0,,6.0,,,,,,,9.0,7.0,,Rwanda,RWA
Saint Kitts and Nevis,339,94.0,,35.0,9.0,,,7.0,4.0,,7.0,,,,,,,,13.0,,,14.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,Saint Kitts and Nevis,KNA
Saint Lucia,872,415.0,8.0,46.0,18.0,,4.0,28.0,,12.0,25.0,,,17.0,,,,,28.0,,,5.0,,3.0,,,,,,,,,5.0,,,,,,,25.0,4.0,,,,,,,,,3.0,,Saint Lucia,LCA
Saint Vincent and the Grenadines,576,406.0,,27.0,10.0,4.0,3.0,4.0,3.0,12.0,5.0,,,12.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Vincent and the Grenadines,VCT
Samoa,219,,22.0,,,,10.0,,,,,5.0,3.0,,28.0,6.0,,3.0,,,4.0,,,,,,,35.0,,,,,,4.0,,,,,20.0,,,,,,,3.0,,,,,,Samoa,WSM
Sao Tome and Principe,10,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe,STP
Saudi Arabia,1263,143.0,64.0,23.0,104.0,73.0,29.0,73.0,42.0,15.0,15.0,11.0,13.0,23.0,20.0,14.0,51.0,11.0,23.0,16.0,3.0,19.0,23.0,9.0,15.0,20.0,5.0,,3.0,9.0,,,15.0,6.0,11.0,11.0,6.0,,,8.0,7.0,12.0,3.0,,12.0,,,,,,5.0,Saudi Arabia,SAU
Senegal,1285,396.0,34.0,4.0,87.0,18.0,5.0,24.0,21.0,14.0,64.0,3.0,,16.0,13.0,5.0,35.0,5.0,,12.0,,5.0,15.0,12.0,,,4.0,,31.0,5.0,,,60.0,6.0,9.0,14.0,3.0,,,,19.0,8.0,5.0,,5.0,,,,3.0,48.0,9.0,Senegal,SEN
Serbia,20,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serbia,SRB
Seychelles,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seychelles,SYC
Sierra Leone,2011,358.0,23.0,7.0,584.0,18.0,11.0,36.0,46.0,50.0,70.0,4.0,22.0,229.0,29.0,10.0,18.0,19.0,3.0,33.0,,5.0,8.0,31.0,19.0,5.0,4.0,,12.0,,,3.0,87.0,,17.0,19.0,,,,3.0,8.0,8.0,7.0,,,,8.0,3.0,,4.0,5.0,Sierra Leone,SLE
Singapore,774,118.0,69.0,10.0,27.0,31.0,66.0,47.0,15.0,33.0,8.0,9.0,44.0,9.0,24.0,4.0,4.0,5.0,7.0,6.0,5.0,,4.0,8.0,4.0,9.0,7.0,6.0,3.0,,,10.0,4.0,,4.0,,,,3.0,,,3.0,,5.0,,3.0,,,,,4.0,Singapore,SGP
Slovakia,538,149.0,21.0,20.0,11.0,38.0,10.0,3.0,9.0,12.0,4.0,4.0,7.0,9.0,11.0,4.0,5.0,3.0,6.0,4.0,7.0,3.0,4.0,4.0,,,,3.0,,,,8.0,,,,4.0,,,,,,,,,4.0,,,,3.0,,3.0,Slovakia,SVK
Slovenia,74,11.0,9.0,,5.0,3.0,,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,Slovenia,SVN
Solomon Islands,6,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Solomon Islands,SLB
Somalia,4558,8.0,11.0,,81.0,65.0,11.0,32.0,73.0,76.0,85.0,89.0,27.0,4.0,373.0,,6.0,117.0,,874.0,6.0,,87.0,8.0,3.0,61.0,,,3.0,10.0,,,424.0,74.0,17.0,4.0,87.0,,77.0,4.0,10.0,37.0,,,13.0,,,3.0,32.0,8.0,,Somalia,SOM
South Africa,2758,240.0,209.0,134.0,97.0,85.0,70.0,69.0,80.0,58.0,125.0,65.0,27.0,38.0,55.0,20.0,29.0,24.0,28.0,29.0,16.0,31.0,32.0,28.0,12.0,21.0,14.0,5.0,3.0,13.0,,21.0,3.0,19.0,36.0,18.0,11.0,,13.0,8.0,20.0,12.0,24.0,11.0,17.0,16.0,,,4.0,18.0,17.0,South Africa,ZAF
Spain,1684,276.0,91.0,275.0,55.0,56.0,49.0,37.0,42.0,74.0,25.0,20.0,20.0,19.0,22.0,3.0,7.0,12.0,18.0,8.0,5.0,15.0,21.0,9.0,4.0,11.0,9.0,6.0,3.0,9.0,4.0,11.0,8.0,5.0,5.0,7.0,,30.0,8.0,,6.0,6.0,3.0,,9.0,6.0,,,4.0,7.0,6.0,Spain,ESP
Sri Lanka,2036,499.0,345.0,16.0,152.0,33.0,47.0,42.0,51.0,37.0,37.0,21.0,32.0,34.0,34.0,21.0,14.0,16.0,16.0,13.0,23.0,12.0,4.0,28.0,8.0,13.0,14.0,,9.0,4.0,,3.0,10.0,4.0,,12.0,,,,11.0,4.0,3.0,3.0,15.0,3.0,17.0,,,6.0,9.0,5.0,Sri Lanka,LKA
Sudan,2397,147.0,52.0,18.0,269.0,68.0,23.0,39.0,83.0,33.0,43.0,12.0,12.0,62.0,45.0,3.0,15.0,82.0,12.0,32.0,11.0,10.0,102.0,21.0,4.0,7.0,10.0,,,7.0,,3.0,41.0,31.0,7.0,15.0,31.0,,27.0,24.0,9.0,5.0,12.0,,9.0,,,,13.0,3.0,5.0,Sudan,SDN
Suriname,216,122.0,,20.0,4.0,,4.0,,,3.0,6.0,,,,,,,,10.0,,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suriname,SUR
Swaziland,22,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,Swaziland,SWZ
Sweden,1097,127.0,110.0,37.0,45.0,20.0,53.0,26.0,18.0,33.0,19.0,30.0,25.0,15.0,42.0,8.0,7.0,11.0,17.0,10.0,3.0,12.0,8.0,3.0,11.0,22.0,8.0,3.0,6.0,3.0,,33.0,8.0,,8.0,13.0,5.0,,7.0,7.0,4.0,6.0,5.0,,,6.0,,,3.0,4.0,8.0,Sweden,SWE
Switzerland,675,122.0,52.0,33.0,22.0,20.0,31.0,15.0,4.0,32.0,7.0,12.0,20.0,11.0,12.0,12.0,6.0,8.0,5.0,9.0,,10.0,5.0,5.0,3.0,6.0,5.0,3.0,,,,9.0,,,,,7.0,,3.0,4.0,,,4.0,,,3.0,,,,4.0,,Switzerland,CHE
Syria,2555,261.0,406.0,26.0,54.0,245.0,27.0,52.0,39.0,51.0,22.0,35.0,18.0,33.0,23.0,128.0,121.0,40.0,10.0,15.0,12.0,20.0,8.0,11.0,10.0,18.0,8.0,,23.0,8.0,,13.0,26.0,7.0,8.0,11.0,5.0,,5.0,,8.0,7.0,37.0,30.0,48.0,25.0,7.0,,8.0,6.0,,Syria,SYR
Taiwan,6732,771.0,1692.0,73.0,187.0,143.0,408.0,212.0,181.0,115.0,98.0,93.0,593.0,84.0,192.0,173.0,43.0,48.0,23.0,39.0,28.0,17.0,39.0,40.0,45.0,52.0,48.0,42.0,10.0,12.0,19.0,19.0,21.0,26.0,18.0,26.0,14.0,,15.0,17.0,22.0,28.0,6.0,7.0,14.0,29.0,9.0,11.0,,16.0,13.0,Taiwan,TWN
Tajikistan,299,108.0,11.0,5.0,22.0,3.0,4.0,,,,4.0,,,5.0,11.0,,,5.0,7.0,,,5.0,18.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Tajikistan,TJK
Tanzania,1850,80.0,35.0,,88.0,31.0,14.0,91.0,82.0,44.0,77.0,6.0,5.0,23.0,24.0,11.0,6.0,29.0,15.0,21.0,10.0,4.0,17.0,9.0,3.0,18.0,12.0,,14.0,16.0,,7.0,22.0,32.0,7.0,22.0,6.0,,20.0,9.0,6.0,10.0,5.0,5.0,10.0,,,,13.0,20.0,,Tanzania,TZA
Thailand,9384,270.0,856.0,118.0,300.0,220.0,223.0,204.0,257.0,114.0,210.0,148.0,73.0,95.0,181.0,106.0,31.0,210.0,45.0,316.0,140.0,53.0,185.0,29.0,64.0,100.0,76.0,59.0,17.0,53.0,,8.0,22.0,91.0,13.0,79.0,91.0,,133.0,98.0,52.0,43.0,58.0,26.0,46.0,29.0,14.0,22.0,22.0,17.0,51.0,Thailand,THA
Togo,1563,283.0,5.0,,244.0,72.0,,5.0,31.0,20.0,101.0,12.0,,36.0,9.0,,3.0,15.0,,94.0,4.0,15.0,16.0,19.0,,6.0,5.0,,3.0,,,3.0,4.0,10.0,19.0,10.0,4.0,,10.0,14.0,9.0,13.0,5.0,5.0,3.0,,,,14.0,8.0,34.0,Togo,TGO
Tonga,343,,26.0,,,,47.0,,10.0,,,,32.0,,11.0,16.0,,10.0,,,,,,,5.0,5.0,,23.0,,,,,,,,,,,52.0,,,,,,,,3.0,,,,3.0,Tonga,TON
Trinidad and Tobago,5435,2981.0,36.0,546.0,190.0,30.0,12.0,109.0,32.0,81.0,134.0,4.0,8.0,151.0,15.0,16.0,6.0,14.0,101.0,15.0,6.0,56.0,7.0,144.0,3.0,5.0,7.0,,11.0,5.0,,21.0,10.0,8.0,20.0,12.0,5.0,,,16.0,3.0,,21.0,5.0,4.0,,,,,,23.0,Trinidad and Tobago,TTO
Tunisia,418,53.0,32.0,16.0,42.0,13.0,24.0,6.0,5.0,11.0,6.0,,10.0,21.0,3.0,,7.0,5.0,14.0,9.0,,12.0,3.0,5.0,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,Tunisia,TUN
Turkey,4483,1137.0,249.0,152.0,236.0,139.0,128.0,166.0,49.0,148.0,92.0,62.0,77.0,217.0,65.0,17.0,23.0,38.0,43.0,18.0,30.0,46.0,14.0,51.0,15.0,17.0,26.0,6.0,17.0,17.0,,28.0,24.0,20.0,15.0,16.0,14.0,,3.0,19.0,24.0,14.0,21.0,7.0,33.0,,,4.0,10.0,15.0,24.0,Turkey,TUR
Turkmenistan,224,79.0,4.0,6.0,16.0,11.0,7.0,3.0,5.0,6.0,,,,,12.0,5.0,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Turkmenistan,TKM
Turks and Caicos Islands,29,4.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turks and Caicos Islands,TCA
Uganda,1085,45.0,66.0,8.0,93.0,19.0,15.0,36.0,38.0,233.0,29.0,11.0,,16.0,43.0,8.0,11.0,6.0,4.0,22.0,7.0,7.0,16.0,14.0,6.0,,5.0,,,,,,10.0,11.0,5.0,5.0,12.0,,11.0,9.0,9.0,4.0,,8.0,5.0,,,,,4.0,,Uganda,UGA
Ukraine,8477,1821.0,293.0,154.0,132.0,773.0,106.0,83.0,98.0,133.0,106.0,84.0,58.0,366.0,456.0,23.0,166.0,61.0,45.0,113.0,31.0,53.0,74.0,69.0,439.0,238.0,17.0,10.0,18.0,16.0,,73.0,19.0,15.0,34.0,27.0,13.0,,30.0,61.0,27.0,28.0,32.0,17.0,163.0,8.0,,19.0,14.0,22.0,30.0,Ukraine,UKR
United Arab Emirates,779,119.0,46.0,17.0,59.0,35.0,20.0,48.0,35.0,15.0,19.0,10.0,15.0,20.0,15.0,10.0,33.0,4.0,4.0,20.0,,8.0,,10.0,4.0,4.0,6.0,,4.0,,3.0,4.0,5.0,4.0,8.0,4.0,6.0,,5.0,,5.0,,4.0,3.0,6.0,3.0,,,,,,United Arab Emirates,ARE
United Kingdom,12792,1660.0,1001.0,348.0,427.0,333.0,514.0,587.0,246.0,350.0,287.0,201.0,198.0,285.0,300.0,95.0,132.0,177.0,334.0,82.0,86.0,186.0,108.0,101.0,70.0,102.0,114.0,27.0,45.0,48.0,5.0,131.0,34.0,39.0,70.0,93.0,57.0,6.0,40.0,50.0,77.0,71.0,43.0,23.0,45.0,67.0,12.0,17.0,30.0,80.0,37.0,United Kingdom,GBR
United States,201,31.0,25.0,17.0,17.0,5.0,6.0,,8.0,,5.0,8.0,,,,,,,,,,4.0,,,,,,,,4.0,3.0,,,4.0,,,,,,,,,,,,,,,,,,United States,USA
Uruguay,1331,300.0,31.0,354.0,53.0,13.0,8.0,29.0,16.0,8.0,74.0,9.0,3.0,11.0,4.0,3.0,,6.0,26.0,5.0,10.0,15.0,5.0,9.0,,,5.0,,3.0,3.0,,23.0,,,5.0,,,11.0,32.0,3.0,4.0,5.0,3.0,65.0,8.0,4.0,,,,,,Uruguay,URY
Uzbekistan,4770,2934.0,101.0,28.0,91.0,73.0,39.0,14.0,11.0,17.0,28.0,29.0,32.0,204.0,48.0,9.0,33.0,25.0,37.0,29.0,6.0,7.0,48.0,69.0,32.0,25.0,7.0,,,,,5.0,16.0,12.0,9.0,4.0,31.0,,9.0,6.0,11.0,13.0,,,33.0,,,3.0,,75.0,9.0,Uzbekistan,UZB
Vanuatu,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanuatu,VUT
Venezuela,9409,695.0,130.0,3981.0,220.0,95.0,56.0,815.0,113.0,104.0,246.0,40.0,16.0,76.0,38.0,19.0,30.0,38.0,591.0,27.0,24.0,210.0,24.0,25.0,14.0,11.0,52.0,8.0,18.0,9.0,9.0,39.0,27.0,18.0,42.0,20.0,25.0,158.0,57.0,12.0,27.0,9.0,36.0,6.0,11.0,10.0,,,6.0,41.0,6.0,Venezuela,VEN
Vietnam,30632,456.0,5636.0,254.0,1029.0,374.0,1217.0,1999.0,1129.0,779.0,867.0,952.0,2319.0,672.0,1261.0,399.0,121.0,373.0,287.0,417.0,144.0,336.0,375.0,83.0,523.0,773.0,239.0,133.0,14.0,94.0,,44.0,52.0,122.0,203.0,173.0,76.0,,147.0,78.0,47.0,140.0,91.0,165.0,43.0,70.0,129.0,34.0,58.0,87.0,106.0,Vietnam,VNM
Yemen,3591,1400.0,17.0,,22.0,129.0,269.0,4.0,12.0,,6.0,,3.0,12.0,12.0,5.0,693.0,14.0,,20.0,6.0,,3.0,,,,7.0,,,,,,10.0,9.0,4.0,6.0,31.0,,,23.0,,,,,5.0,,14.0,80.0,,,,Yemen,YEM
Zambia,628,56.0,11.0,5.0,36.0,19.0,4.0,13.0,49.0,16.0,37.0,3.0,,10.0,9.0,5.0,4.0,17.0,7.0,7.0,,3.0,,9.0,7.0,4.0,8.0,,,,,11.0,3.0,9.0,3.0,4.0,,,11.0,,18.0,12.0,9.0,,10.0,,,,6.0,,,Zambia,ZMB
Zimbabwe,1274,82.0,31.0,20.0,67.0,21.0,17.0,14.0,174.0,54.0,66.0,10.0,13.0,40.0,16.0,21.0,9.0,26.0,8.0,10.0,7.0,5.0,3.0,9.0,4.0,11.0,7.0,,3.0,3.0,,14.0,16.0,7.0,9.0,11.0,8.0,,,7.0,48.0,6.0,,4.0,8.0,,,3.0,5.0,41.0,,Zimbabwe,ZWE
