Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Livonia, MI","Phoenix-Mesa-Glendale, AZ","Minneapolis-St. Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Baltimore-Towson, MD","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Sacramento--Arden-Arcade--Roseville, CA","Denver-Aurora-Broomfield, CO","Austin-Round Rock-San Marcos, TX","Portland-Vancouver-Hillsboro, OR-WA","El Paso, TX","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Bridgeport-Stamford-Norwalk, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-New Bedford-Fall River, RI-MA","Indianapolis-Carmel, IN","Raleigh-Cary, NC","Kansas City, MO-KS","Salt Lake City, UT","Hartford-West Hartford-East Hartford, CT","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Cleveland-Elyria-Mentor, OH","Fresno, CA","Worcester, MA","Oxnard-Thousand Oaks-Ventura, CA","Cincinnati-Middletown, OH-KY-IN","San Juan-Caguas-Guaynabo, PR","Milwaukee-Waukesha-West Allis, WI","Pittsburgh, PA",NAME_LONG,ISO_A3
Honduras,"8,898","1,355",672,"1,344",463,177,632,111,232,155,168,70,65,43,38,90,12,43,35.0,105,77.0,69,101,21,27,89,21.0,14,86,82.0,13.0,,70.0,39.0,27.0,34.0,63.0,51.0,18.0,21.0,14,13.0,24.0,10.0,14,11.0,15,10.0,10,9.0,,Honduras,HND
Hong Kong,"2,226",384,397,17,62,54,44,339,29,65,16,40,133,122,18,19,11,15,7.0,10,18.0,17,8,28,,15,17.0,,,5.0,5.0,27,3.0,,,7.0,4.0,6.0,3.0,7.0,,4.0,,,,,,3.0,,4.0,,Hong Kong,HKG
Hungary,"1,052",169,84,94,33,21,12,20,16,34,9,17,15,32,18,6,9,7,4.0,10,,36,37,6,3,9,,,5,3.0,4.0,6,13.0,6.0,3.0,,6.0,,4.0,,,3.0,10.0,11.0,,3.0,3,7.0,,,4.0,Hungary,HUN
Iceland,139,23,22,4,5,,,6,10,3,,,6,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iceland,ISL
India,"68,458","10,818","2,417",499,"2,677","4,120","2,348","3,514","2,905","1,524","2,036","2,415","2,066","3,317",622,485,"1,463",708,785.0,295,832.0,112,514,899,279,628,360.0,5,222,565.0,512.0,12,353.0,234.0,155.0,389.0,640.0,318.0,147.0,523.0,30,479.0,225.0,408.0,528,293.0,205,331.0,6,316.0,359.0,India,IND
Indonesia,"2,731",275,438,26,100,45,89,163,49,58,60,115,133,60,42,180,20,32,20.0,9,25.0,19,14,28,51,16,24.0,,6,16.0,23.0,6,,,,13.0,6.0,8.0,3.0,,,7.0,3.0,6.0,4,,12,5.0,,15.0,11.0,Indonesia,IDN
Iran,"12,863",442,"3,492",150,881,262,589,555,503,231,355,119,355,570,445,128,76,168,66.0,72,119.0,119,59,239,86,115,130.0,6,127,40.0,49.0,3,18.0,66.0,32.0,21.0,72.0,35.0,74.0,18.0,,41.0,60.0,38.0,35,21.0,94,21.0,,28.0,41.0,Iran,IRN
Iraq,"9,552",86,393,25,299,420,350,42,302,94,113,75,171,51,"1,334",51,"1,948",431,20.0,43,48.0,67,49,79,90,135,77.0,9,108,16.0,110.0,,,190.0,10.0,38.0,48.0,60.0,103.0,8.0,,77.0,69.0,31.0,15,91.0,,,,62.0,23.0,Iraq,IRQ
Ireland,"1,626",344,77,36,49,60,23,114,21,175,17,26,74,31,27,6,6,25,12.0,19,9.0,4,13,3,6,42,10.0,,7,13.0,3.0,4,11.0,8.0,9.0,5.0,4.0,8.0,3.0,,,7.0,,3.0,,8.0,,5.0,,,5.0,Ireland,IRL
Israel,"3,996","1,012",397,295,105,108,61,137,101,188,74,72,121,236,76,27,31,23,17.0,19,19.0,92,25,19,26,12,24.0,,7,12.0,23.0,6,15.0,13.0,,5.0,15.0,16.0,,13.0,,21.0,9.0,24.0,4,10.0,13,3.0,,10.0,13.0,Israel,ISR
Italy,"2,960",637,209,274,116,98,59,120,44,129,44,56,44,64,54,19,47,18,17.0,21,25.0,28,35,11,17,16,26.0,6,5,17.0,25.0,10,13.0,12.0,8.0,10.0,16.0,,7.0,8.0,,4.0,13.0,11.0,,12.0,7,16.0,7,5.0,23.0,Italy,ITA
Jamaica,"19,400","7,215",131,"3,760",626,157,147,23,103,307,700,533,13,7,21,28,49,51,25.0,479,254.0,38,215,7,12,16,23.0,10,24,57.0,32.0,5,345.0,23.0,58.0,24.0,31.0,18.0,13.0,455.0,,29.0,74.0,44.0,,27.0,5,14.0,,25.0,35.0,Jamaica,JAM
Japan,"5,925",749,"1,059",54,132,144,73,309,72,111,82,70,227,228,203,62,90,35,30.0,29,43.0,48,23,28,32,33,83.0,8,19,11.0,37.0,388,17.0,14.0,5.0,15.0,15.0,17.0,20.0,8.0,,17.0,13.0,13.0,,9.0,16,12.0,5,14.0,30.0,Japan,JPN
Jordan,"4,188",488,211,65,125,500,138,102,140,53,53,100,24,26,39,120,141,43,25.0,31,23.0,18,58,20,20,12,20.0,,29,40.0,86.0,,,21.0,5.0,19.0,30.0,24.0,11.0,12.0,,52.0,12.0,79.0,25,5.0,6,40.0,11,57.0,18.0,Jordan,JOR
Kazakhstan,"1,241",279,73,68,71,49,44,31,11,36,13,27,39,25,21,5,4,10,9.0,13,12.0,9,7,33,11,6,18.0,3,4,6.0,5.0,,8.0,5.0,,,,9.0,,,,5.0,5.0,6.0,3,,,3.0,,7.0,5.0,Kazakhstan,KAZ
Kenya,"6,123",304,134,19,203,62,174,71,454,262,238,195,368,31,60,53,15,78,517.0,37,162.0,33,14,34,44,35,42.0,11,12,34.0,122.0,4,5.0,25.0,14.0,38.0,45.0,129.0,45.0,5.0,,65.0,14.0,13.0,7,89.0,5,14.0,,11.0,25.0,Kenya,KEN
Kiribati,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiribati,KIR
"Korea, North",48,11,8,,5,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Korea, North",PRK
"Korea, South","23,166","3,472","5,382",90,"1,315",702,302,601,682,378,953,518,682,707,402,323,182,143,93.0,73,361.0,146,81,110,129,207,194.0,15,49,51.0,54.0,204,31.0,72.0,15.0,61.0,110.0,72.0,43.0,46.0,31,98.0,41.0,40.0,14,22.0,53,47.0,,38.0,90.0,"Korea, South",KOR
Kuwait,937,105,58,21,48,58,36,16,53,17,9,23,12,18,9,16,28,11,6.0,11,10.0,,9,4,8,4,5.0,3,10,4.0,10.0,,,7.0,,4.0,13.0,7.0,3.0,3.0,,13.0,4.0,23.0,,3.0,3,7.0,,10.0,5.0,Kuwait,KWT
Kyrgyzstan,652,142,26,3,37,69,13,22,5,13,13,24,20,15,5,7,,,9.0,14,6.0,6,5,9,6,,7.0,,3,5.0,,,4.0,,3.0,,,,3.0,,,3.0,,,,,,14.0,,,4.0,Kyrgyzstan,KGZ
Laos,923,,45,5,19,13,13,13,26,10,13,10,17,6,13,10,4,3,171.0,5,7.0,9,3,33,5,3,10.0,,,7.0,5.0,5,,24.0,8.0,,,9.0,9.0,6.0,,,,,50,7.0,,,,28.0,,Laos,LAO
Latvia,424,73,28,24,15,22,6,9,7,11,10,4,8,8,,,,3,6.0,4,5.0,,10,,,,,,3,,,,4.0,,5.0,,,,,,,,5.0,7.0,,,,,,,,Latvia,LVA
Lebanon,"2,783",209,273,68,154,60,133,56,60,181,31,23,30,15,47,51,540,27,13.0,16,8.0,9,35,11,5,16,20.0,,14,20.0,16.0,,8.0,5.0,20.0,16.0,6.0,10.0,6.0,4.0,,9.0,9.0,51.0,9,26.0,4,11.0,,4.0,15.0,Lebanon,LBN
Lesotho,20,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesotho,LSO
Liberia,"3,334",267,18,10,231,24,46,22,73,54,153,687,30,3,3,8,34,41,402.0,,101.0,8,,10,18,8,17.0,,7,90.0,30.0,,6.0,9.0,132.0,15.0,12.0,10.0,7.0,8.0,,22.0,10.0,13.0,,48.0,,7.0,,4.0,4.0,Liberia,LBR
Libya,376,24,19,5,11,17,11,4,9,3,8,4,18,5,7,11,17,,,4,,,,6,7,4,6.0,,,4.0,12.0,,,,4.0,3.0,,,,,,,,,,,,,,,,Libya,LBY
Lithuania,854,106,23,41,17,281,5,14,7,18,15,18,15,,8,4,10,9,7.0,4,6.0,9,12,,,,,,,9.0,5.0,,10.0,4.0,,4.0,,4.0,5.0,4.0,,,,6.0,,4.0,3,8.0,,3.0,7.0,Lithuania,LTU
Luxembourg,40,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luxembourg,LUX
Macau,106,16,15,,,5,9,23,,8,3,,,3,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,Macau,MAC
North Macedonia,895,292,8,22,9,160,11,4,10,11,5,6,6,,5,,36,5,,3,,15,4,,3,3,3.0,,,,10.0,,8.0,,,,,8.0,,,,5.0,,5.0,,,,6.0,,6.0,,North Macedonia,MKD
Madagascar,95,13,3,,30,,,,,,,4,3,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madagascar,MDG
Malawi,159,7,,,14,,3,,14,3,6,,3,,,6,10,,6.0,,5.0,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,Malawi,MWI
Malaysia,"2,477",320,149,11,51,60,87,112,132,34,95,37,86,63,16,18,12,32,31.0,12,33.0,9,7,22,27,32,17.0,3,5,33.0,16.0,12,5.0,25.0,6.0,110.0,9.0,37.0,7.0,,,13.0,25.0,5.0,5,,11,4.0,,12.0,3.0,Malaysia,MYS
Maldives,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maldives,MDV
Mali,667,292,,,37,13,27,6,,,13,84,8,,,,,,5.0,,35.0,,4,,22,,,,,3.0,6.0,,,,,3.0,,,,,,,,4.0,,,,21.0,,3.0,,Mali,MLI
Malta,43,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malta,MLT
Marshall Islands,46,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marshall Islands,MHL
Mauritania,354,97,,,16,,,,,3,5,10,5,,,,3,,,,3.0,,,,3,,,,,,45.0,,,,,6.0,,,,,,8.0,,,,,,44.0,,,,Mauritania,MRT
Mauritius,83,15,4,,15,,3,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,Mauritius,MUS
Mexico,"135,028","2,046","16,219","1,167",646,"6,444","7,679","2,565","7,119",198,"1,506",611,962,"1,452","5,804","6,097",527,"4,221",616.0,317,140.0,"1,803",326,"1,168","1,846","1,565",779.0,"4,747","2,488",401.0,145.0,38,71.0,343.0,67.0,271.0,298.0,673.0,668.0,31.0,"2,865",158.0,52.0,119.0,"1,301",19.0,"1,042",142.0,80,424.0,49.0,Mexico,MEX
"Micronesia, Federated States",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Micronesia, Federated States",FSM
Moldova,"2,485",280,56,59,71,155,18,56,11,65,62,48,201,19,11,4,12,13,49.0,167,18.0,33,14,188,22,4,92.0,,3,14.0,3.0,,6.0,4.0,,9.0,10.0,,5.0,4.0,,7.0,5.0,21.0,,4.0,,13.0,,,11.0,Moldova,MDA
Monaco,8,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monaco,MCO
Mongolia,729,22,76,3,154,58,3,130,3,,4,7,45,11,,,,3,,,12.0,6,,21,36,,,,,,,,,,,,,,8.0,,,,,3.0,,,,,,5.0,5.0,Mongolia,MNG
Montenegro,265,137,10,4,3,14,,,6,,,,,,,,39,,,,,3,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,Montenegro,MNE
Morocco,"3,336",551,82,81,271,136,49,60,62,341,53,152,41,20,21,12,29,12,35.0,168,39.0,26,52,19,61,15,10.0,,10,18.0,40.0,,17.0,5.0,27.0,13.0,82.0,15.0,,14.0,,6.0,15.0,12.0,,4.0,,34.0,3,8.0,7.0,Morocco,MAR
Mozambique,73,5,3,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozambique,MOZ
Namibia,57,9,,,8,,,,,,,,,3,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,Namibia,NAM
Nauru,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nauru,NRU
Nepal,"13,046","1,358",334,36,"1,056",252,344,482,870,429,435,164,227,143,51,37,41,84,174.0,17,545.0,18,18,117,289,199,89.0,,61,134.0,169.0,10,21.0,80.0,37.0,17.0,56.0,88.0,90.0,100.0,,89.0,24.0,52.0,4,75.0,4,51.0,,44.0,159.0,Nepal,NPL
Netherlands,"1,142",123,60,45,42,33,58,46,11,43,26,20,31,32,12,7,7,19,18.0,21,6.0,4,16,7,10,16,10.0,,,7.0,5.0,7,18.0,5.0,7.0,3.0,8.0,4.0,3.0,,,7.0,,9.0,,,7,3.0,6,,9.0,Netherlands,NLD
New Caledonia,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Caledonia,NCL
New Zealand,921,102,95,12,21,18,22,51,17,25,6,5,41,21,24,13,9,9,5.0,4,6.0,,3,9,23,8,28.0,,,9.0,3.0,9,7.0,3.0,6.0,3.0,3.0,,10.0,,,5.0,4.0,,,,,,,,3.0,New Zealand,NZL
Nicaragua,"3,048",154,287,"1,144",144,39,96,178,42,19,32,32,16,28,16,56,3,15,17.0,33,11.0,26,17,15,8,13,6.0,3,20,25.0,3.0,,,5.0,3.0,15.0,7.0,,3.0,3.0,7,4.0,12.0,7.0,6,,8,,20,9.0,,Nicaragua,NIC
Niger,37,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger,NER
Nigeria,"13,840","1,977",427,137,"1,203",684,"1,488",194,821,300,858,379,84,28,47,171,157,91,262.0,58,685.0,33,63,61,66,95,19.0,34,54,68.0,86.0,,26.0,90.0,96.0,310.0,104.0,65.0,12.0,46.0,5,40.0,48.0,79.0,21,28.0,,73.0,,34.0,44.0,Nigeria,NGA
Oman,73,4,7,,9,,13,4,3,,,3,,,,,,,,,3.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman,OMN
Pakistan,"13,251","3,121",417,196,"1,022",824,995,342,528,174,265,352,202,162,50,131,278,61,118.0,100,336.0,41,58,188,42,110,24.0,,38,26.0,80.0,10,44.0,26.0,47.0,66.0,49.0,86.0,21.0,59.0,9,50.0,20.0,31.0,8,24.0,18,17.0,,51.0,57.0,Pakistan,PAK
Palau,16,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,3,,,,,,,,,,,,,,,,,,,,Palau,PLW
Panama,"1,234",225,51,149,50,28,33,13,21,24,44,12,12,4,12,11,3,10,5.0,35,13.0,8,27,4,7,11,3.0,,16,5.0,4.0,,,5.0,5.0,4.0,3.0,8.0,,,,7.0,5.0,,,6.0,,3.0,8,,,Panama,PAN
Papua New Guinea,27,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,PNG
Paraguay,448,194,14,59,22,,8,4,,3,6,,,5,,,,,,,9.0,,,,,,,,,,,,12.0,,,,,,,6.0,4,,,,,,,,4,,,Paraguay,PRY
Peru,"12,564","3,001",919,"1,908","1,040",154,274,398,252,122,228,92,80,105,65,204,12,45,40.0,196,67.0,78,179,33,100,41,38.0,6,36,105.0,37.0,10,163.0,17.0,40.0,39.0,31.0,38.0,140.0,158.0,19,13.0,34.0,22.0,12,19.0,32,31.0,24,18.0,10.0,Peru,PER
Philippines,"54,446","4,098","7,553",703,"1,311","2,185","1,059","3,790",551,259,219,506,"1,301","1,441","2,073","1,515",322,589,284.0,415,465.0,"1,448",293,915,154,139,278.0,47,275,93.0,100.0,"2,624",76.0,232.0,73.0,114.0,110.0,126.0,70.0,63.0,80,131.0,282.0,114.0,211,33.0,353,145.0,3,63.0,59.0,Philippines,PHL
Poland,"6,430","1,946",143,117,89,"2,059",41,43,40,112,40,133,42,44,31,20,96,40,13.0,8,24.0,22,58,23,26,12,4.0,,10,14.0,,11,79.0,5.0,28.0,9.0,12.0,5.0,8.0,146.0,,10.0,13.0,21.0,,36.0,9,9.0,,24.0,13.0,Poland,POL
Portugal,918,264,21,41,25,8,10,22,4,79,8,14,10,24,7,,7,5,6.0,3,5.0,,4,,,4,,,3,,,,14.0,3.0,158.0,,,,,4.0,,,,,,,,,,,,Portugal,PRT
Qatar,191,26,11,,12,5,11,8,10,,5,3,,,8,,7,,,,10.0,,,,,,,,,,,,,,,,,12.0,,,,,,3.0,,,,,,3.0,,Qatar,QAT
Romania,"3,773",438,192,241,183,340,65,83,55,70,126,66,173,61,33,41,118,130,13.0,20,30.0,50,22,36,32,12,80.0,,11,24.0,4.0,8,37.0,16.0,18.0,9.0,5.0,8.0,7.0,8.0,3,9.0,17.0,68.0,4,4.0,,15.0,,9.0,15.0,Romania,ROU
Russia,"9,753","1,974",749,501,392,333,199,348,103,326,168,248,457,270,168,43,66,46,97.0,88,89.0,67,80,181,108,26,123.0,8,17,53.0,26.0,14,58.0,24.0,26.0,15.0,46.0,29.0,28.0,26.0,,35.0,33.0,54.0,6,17.0,15,37.0,4,17.0,66.0,Russia,RUS
Rwanda,540,9,3,5,21,10,31,,35,26,23,3,,,5,3,,15,,,8.0,,,5,13,7,3.0,,6,4.0,6.0,,,8.0,4.0,,6.0,3.0,25.0,,,,3.0,,,9.0,,7.0,,,13.0,Rwanda,RWA
Saint Kitts and Nevis,259,68,,34,10,,,,6,8,8,5,,,,,,,,3,4.0,,5,,,,,,,3.0,3.0,,,,,,,,,,,,4.0,,,,,,4,,,Saint Kitts and Nevis,KNA
Saint Lucia,853,434,4,48,18,,14,,5,12,14,15,,,,,,,3.0,33,10.0,,17,,,,,,,,3.0,,10.0,,,,3.0,,,18.0,,,4.0,,,,,,,,,Saint Lucia,LCA
Saint Vincent and the Grenadines,529,342,3,21,11,,,,4,10,13,16,,,,,,,,,3.0,,3,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,Saint Vincent and the Grenadines,VCT
Samoa,237,,22,,,,,7,,,,,26,8,10,15,,,,,,,,3,,,4.0,,,,,32,,,,5.0,,4.0,29.0,,,,,,,,,,,,,Samoa,WSM
Sao Tome and Principe,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe,STP
Saudi Arabia,"1,463",160,87,17,101,104,80,37,54,27,20,30,27,13,23,19,54,14,42.0,17,13.0,8,14,12,9,10,10.0,,12,16.0,18.0,,,7.0,3.0,10.0,15.0,12.0,10.0,3.0,,6.0,,9.0,7,,5,4.0,,12.0,4.0,Saudi Arabia,SAU
Senegal,"1,340",385,31,9,90,12,29,10,15,23,57,32,29,4,,,30,3,6.0,,19.0,3,4,,11,4,,,,12.0,70.0,,,8.0,35.0,18.0,13.0,6.0,3.0,,,9.0,,6.0,,3.0,,65.0,,5.0,,Senegal,SEN
Serbia,866,157,44,64,56,147,15,17,5,9,7,19,9,12,26,3,15,17,3.0,3,8.0,18,7,4,9,,4.0,,,3.0,,,3.0,4.0,,,,3.0,,,,,,11.0,,,,3.0,,8.0,8.0,Serbia,SRB
Seychelles,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seychelles,SYC
Sierra Leone,"1,651",277,20,5,519,22,28,6,24,43,51,189,15,17,,6,8,22,34.0,,35.0,3,3,6,7,,6.0,,,12.0,74.0,,4.0,10.0,5.0,7.0,17.0,,,,,5.0,3.0,,,3.0,,3.0,,7.0,3.0,Sierra Leone,SLE
Singapore,835,121,70,6,31,24,48,64,34,19,11,15,41,56,16,7,,5,4.0,3,6.0,8,3,4,5,9,8.0,,,,,6,13.0,,,,12.0,,10.0,,,4.0,,,4,,7,3.0,,,,Singapore,SGP
Slovakia,507,134,28,18,18,22,3,14,8,10,11,6,13,9,14,3,3,3,7.0,,6.0,4,7,,5,,,,,6.0,,,3.0,,,,5.0,,,,,,5.0,,,,,,,,,Slovakia,SVK
Slovenia,62,3,6,3,4,3,,3,,,,,,4,4,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slovenia,SVN
Somalia,"3,764",4,19,,70,45,13,5,68,63,62,,247,12,82,,4,56,748.0,5,,3,,3,64,4,60.0,,4,9.0,288.0,,,73.0,,12.0,14.0,45.0,47.0,4.0,,14.0,,6.0,,,,15.0,,21.0,,Somalia,SOM
South Africa,"2,629",256,142,123,104,54,93,76,99,58,128,36,37,35,44,26,12,35,29.0,33,19.0,9,28,6,49,26,20.0,,20,30.0,13.0,3,21.0,23.0,11.0,7.0,18.0,11.0,24.0,4.0,,18.0,8.0,6.0,4,,4,19.0,,7.0,6.0,South Africa,ZAF
South Sudan,59,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,4.0,,,,,,,,,,,,,South Sudan,SSD
Spain,"2,480",363,132,470,88,67,75,99,49,110,29,51,42,63,58,12,14,17,12.0,26,20.0,9,20,13,13,38,19.0,3,11,6.0,9.0,,17.0,5.0,6.0,6.0,8.0,12.0,5.0,6.0,,10.0,5.0,,4,,5,11.0,27,10.0,11.0,Spain,ESP
Sri Lanka,"1,847",417,243,15,148,42,45,60,50,44,26,13,35,26,14,14,14,5,23.0,5,19.0,24,12,15,4,17,10.0,,8,,18.0,,10.0,6.0,3.0,4.0,20.0,10.0,12.0,21.0,,11.0,4.0,8.0,,,9,12.0,,8.0,,Sri Lanka,LKA
Sudan,"1,945",145,44,14,200,35,28,18,100,34,59,49,39,6,17,7,14,42,27.0,8,26.0,13,16,6,59,14,5.0,,4,12.0,11.0,,,31.0,,8.0,9.0,23.0,37.0,8.0,,15.0,17.0,19.0,,,,,,17.0,,Sudan,SDN
Suriname,178,95,8,22,,,5,3,,,4,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suriname,SUR
Swaziland,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaziland,SWZ
Sweden,"1,106",166,125,44,25,46,35,71,28,49,23,21,33,61,16,,6,12,12.0,4,7.0,,15,4,8,8,8.0,,,3.0,,7,6.0,3.0,,3.0,12.0,3.0,3.0,4.0,,,9.0,,,,3,,,4.0,8.0,Sweden,SWE
Switzerland,697,115,58,38,14,14,21,56,9,26,7,20,13,21,19,,,3,8.0,6,3.0,4,12,,7,8,4.0,,,,,9,12.0,,,,3.0,,,5.0,,5.0,,4.0,,6.0,,4.0,,,,Switzerland,CHE
Syria,"3,366",311,527,42,72,326,84,44,54,75,40,39,15,10,55,130,168,37,8.0,27,34.0,9,29,9,11,14,24.0,,7,18.0,16.0,,37.0,7.0,36.0,15.0,16.0,15.0,5.0,12.0,,28.0,44.0,64.0,4,31.0,39,13.0,,15.0,32.0,Syria,SYR
Taiwan,"5,385",566,"1,164",37,191,99,158,404,142,129,51,51,199,478,113,119,28,25,31.0,28,30.0,38,10,64,31,44,102.0,13,12,11.0,28.0,38,13.0,4.0,16.0,15.0,20.0,19.0,20.0,10.0,4,14.0,9.0,6.0,6,,23,12.0,,9.0,22.0,Taiwan,TWN
Tajikistan,550,224,18,11,28,5,3,13,4,4,6,23,7,5,3,,,3,,,3.0,,3,8,49,,,,,,,,3.0,,,,,,,,,,,,,,,,,,5.0,Tajikistan,TJK
Tanzania,837,34,17,7,80,17,48,10,33,24,20,17,20,3,7,8,5,16,34.0,9,10.0,4,7,,6,,4.0,,,,29.0,,3.0,19.0,8.0,,6.0,15.0,11.0,,,4.0,4.0,5.0,,9.0,,3.0,,,9.0,Tanzania,TZA
Thailand,"7,583",245,722,94,235,158,159,192,181,115,173,74,189,69,113,94,42,133,462.0,35,28.0,120,53,34,98,51,90.0,,54,26.0,11.0,83,10.0,97.0,14.0,52.0,25.0,45.0,66.0,31.0,,28.0,52.0,45.0,12,7.0,15,10.0,,130.0,24.0,Thailand,THA
Togo,"1,257",252,5,3,198,43,8,6,16,17,62,30,6,,,3,7,8,75.0,,10.0,6,7,,11,,,,4,33.0,7.0,,4.0,3.0,8.0,21.0,8.0,5.0,6.0,14.0,,15.0,,,,,,11.0,,3.0,6.0,Togo,TGO
Tonga,348,,34,,,,,53,13,,,,19,18,,10,,9,,,,,,17,,,15.0,,,,,21,,,,,,,66.0,,,,,,,,,,,,,Tonga,TON
Trinidad and Tobago,"4,724","2,603",47,418,201,22,125,14,29,97,121,104,9,3,5,13,8,11,8.0,103,101.0,3,58,,5,10,,,,23.0,13.0,,33.0,6.0,10.0,6.0,7.0,3.0,,13.0,,3.0,18.0,,,,,,,,3.0,Trinidad and Tobago,TTO
Tunisia,445,60,19,17,34,12,14,34,4,6,,21,,7,5,5,11,8,8.0,12,4.0,4,12,6,,,3.0,,,,,,4.0,,3.0,6.0,4.0,4.0,,,,,,3.0,,,,3.0,,,,Tunisia,TUN
Turkey,"4,144","1,057",206,131,201,133,156,151,57,142,76,178,100,77,51,27,32,17,22.0,38,45.0,12,23,12,16,25,25.0,3,28,14.0,20.0,,21.0,7.0,7.0,7.0,14.0,10.0,,18.0,3,19.0,18.0,25.0,,5.0,,6.0,5,19.0,38.0,Turkey,TUR
Turkmenistan,210,66,16,6,4,9,7,6,6,,,14,15,3,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,Turkmenistan,TKM
Turks and Caicos Islands,50,6,,23,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turks and Caicos Islands,TCA
Uganda,"1,350",43,67,4,76,37,18,22,51,239,23,21,51,3,13,8,7,15,39.0,5,9.0,3,6,4,33,8,24.0,,,14.0,7.0,,,16.0,,8.0,7.0,9.0,5.0,4.0,,5.0,,7.0,,19.0,4,5.0,,4.0,5.0,Uganda,UGA
Ukraine,"8,193","1,736",291,165,186,941,81,176,71,172,87,414,364,111,70,22,196,36,88.0,47,58.0,45,52,303,57,12,203.0,,20,21.0,27.0,9,95.0,18.0,16.0,19.0,23.0,21.0,19.0,42.0,,33.0,25.0,137.0,,10.0,13,31.0,,42.0,30.0,Ukraine,UKR
