NAME,Afghanistan,Albania,Algeria,American Samoa,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,"Virgin Islands, British",Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Total
"San Diego-Carlsbad-San Marcos, CA",55.0,15.0,16.0,4.0,,,,35.0,7.0,,57.0,7.0,16.0,,,19.0,,9.0,4.0,8.0,,,25.0,15.0,11.0,,203.0,,22.0,,141.0,7.0,52.0,11.0,219.0,,,,,13.0,651.0,86.0,10.0,4.0,18.0,5.0,31.0,,4.0,7.0,,,22.0,15.0,41.0,56.0,,18.0,,170.0,11.0,30.0,,,,4.0,112.0,13.0,8.0,,148.0,3.0,,11.0,,36.0,42.0,24.0,,671.0,34.0,393.0,3360.0,22.0,63.0,83.0,19.0,226.0,71.0,18.0,38.0,,418.0,6.0,,20.0,,69.0,,17.0,,13.0,,,4.0,,,10.0,,,,,,6190.0,18.0,,,,33.0,,,33.0,19.0,15.0,10.0,,58.0,,74.0,14.0,,4.0,90.0,2641.0,36.0,3.0,,40.0,85.0,3.0,,,,5.0,,11.0,3.0,,4.0,9.0,4.0,,,89.0,65.0,20.0,21.0,12.0,,,30.0,12.0,35.0,93.0,,6.0,148.0,12.0,,4.0,,62.0,,,11.0,84.0,10.0,201.0,8.0,9.0,29.0,40.0,952.0,,3.0,10.0,19474.0
"San Jose-Sunnyvale-Santa Clara, CA",21.0,7.0,13.0,,,,,26.0,15.0,,58.0,5.0,13.0,,4.0,76.0,,30.0,10.0,,,,26.0,9.0,22.0,,94.0,,24.0,,69.0,,54.0,34.0,271.0,,,,,12.0,2290.0,67.0,4.0,,10.0,7.0,11.0,,3.0,6.0,,,6.0,10.0,47.0,127.0,,44.0,4.0,273.0,31.0,19.0,,,,10.0,128.0,11.0,9.0,,50.0,,,12.0,,44.0,110.0,10.0,5.0,3942.0,72.0,704.0,130.0,27.0,196.0,32.0,4.0,232.0,22.0,8.0,32.0,,604.0,16.0,9.0,6.0,3.0,38.0,,10.0,3.0,5.0,,7.0,,,,53.0,,,,,,1468.0,26.0,,,,18.0,,,128.0,29.0,15.0,35.0,,37.0,,154.0,3.0,,,126.0,1988.0,41.0,9.0,,47.0,138.0,,,,,3.0,,13.0,,,22.0,44.0,7.0,,,27.0,27.0,20.0,32.0,12.0,,,25.0,20.0,18.0,593.0,,5.0,73.0,,32.0,8.0,10.0,77.0,,,,58.0,15.0,198.0,,3.0,32.0,16.0,2319.0,3.0,,13.0,18383.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",38.0,333.0,114.0,,3.0,,11.0,36.0,11.0,,29.0,5.0,18.0,10.0,4.0,545.0,10.0,134.0,9.0,8.0,26.0,,,13.0,13.0,,119.0,,41.0,10.0,103.0,3.0,133.0,82.0,189.0,,3.0,,9.0,21.0,1600.0,231.0,12.0,11.0,42.0,3.0,46.0,3.0,6.0,6.0,,3.0,1017.0,106.0,244.0,62.0,,26.0,6.0,163.0,,3.0,,,9.0,69.0,124.0,234.0,32.0,8.0,52.0,69.0,,61.0,427.0,37.0,16.0,10.0,,2290.0,117.0,80.0,186.0,41.0,84.0,46.0,609.0,74.0,45.0,28.0,243.0,,450.0,22.0,9.0,8.0,9.0,38.0,,883.0,7.0,19.0,,,5.0,,5.0,12.0,45.0,,,14.0,,529.0,44.0,7.0,,,182.0,,,33.0,21.0,9.0,35.0,3.0,397.0,3.0,440.0,21.0,7.0,4.0,111.0,476.0,142.0,12.0,8.0,73.0,221.0,7.0,,17.0,12.0,,,23.0,16.0,,229.0,9.0,9.0,,,4.0,38.0,19.0,34.0,62.0,,,15.0,11.0,33.0,84.0,5.0,23.0,95.0,36.0,,151.0,21.0,217.0,,,16.0,366.0,20.0,285.0,,11.0,204.0,76.0,672.0,12.0,10.0,40.0,17850.0
"Seattle-Tacoma-Bellevue, WA",25.0,20.0,12.0,,,,,36.0,15.0,,80.0,14.0,37.0,,,41.0,,51.0,10.0,,5.0,,296.0,8.0,17.0,,137.0,,69.0,9.0,187.0,10.0,201.0,24.0,461.0,,,,,26.0,1429.0,111.0,27.0,19.0,15.0,4.0,17.0,,7.0,28.0,,,22.0,27.0,76.0,101.0,,122.0,11.0,892.0,106.0,24.0,,,83.0,13.0,165.0,56.0,5.0,,73.0,12.0,,,18.0,43.0,71.0,17.0,3.0,1700.0,112.0,262.0,219.0,44.0,79.0,50.0,21.0,222.0,31.0,46.0,339.0,,750.0,14.0,13.0,35.0,8.0,41.0,,20.0,15.0,4.0,,8.0,,,,37.0,17.0,8.0,,6.0,,811.0,264.0,33.0,,,36.0,3.0,,146.0,50.0,52.0,23.0,,56.0,,172.0,13.0,,3.0,109.0,1377.0,41.0,6.0,,148.0,248.0,4.0,,,,28.0,,20.0,13.0,,29.0,24.0,11.0,3.0,,373.0,55.0,22.0,34.0,45.0,,,42.0,12.0,23.0,192.0,11.0,24.0,181.0,9.0,11.0,15.0,3.0,65.0,12.0,,43.0,456.0,15.0,300.0,,4.0,48.0,38.0,1261.0,12.0,9.0,16.0,16543.0
"Riverside-San Bernardino-Ontario, CA",41.0,6.0,5.0,,,,,65.0,7.0,,24.0,5.0,,,,103.0,,7.0,4.0,17.0,,,5.0,19.0,4.0,,44.0,,11.0,,13.0,,68.0,10.0,127.0,,,,,22.0,547.0,136.0,4.0,4.0,27.0,6.0,47.0,,3.0,4.0,,,19.0,54.0,194.0,420.0,,5.0,,59.0,36.0,5.0,,,,,58.0,52.0,,,297.0,,,3.0,3.0,72.0,13.0,9.0,,513.0,250.0,118.0,104.0,4.0,27.0,,53.0,34.0,97.0,10.0,52.0,,330.0,10.0,4.0,12.0,,53.0,,6.0,10.0,,,4.0,4.0,,4.0,12.0,,,,,,6738.0,5.0,3.0,,,15.0,,,13.0,11.0,5.0,60.0,,175.0,,171.0,9.0,,4.0,197.0,1712.0,14.0,8.0,3.0,51.0,21.0,,,,,6.0,,14.0,5.0,,10.0,4.0,4.0,,,,20.0,3.0,21.0,3.0,,,8.0,12.0,128.0,173.0,,11.0,106.0,,16.0,16.0,,17.0,5.0,,8.0,23.0,10.0,95.0,,3.0,9.0,19.0,399.0,5.0,5.0,21.0,14789.0
"Detroit-Warren-Livonia, MI",,595.0,11.0,,,,3.0,19.0,10.0,,18.0,4.0,7.0,,6.0,771.0,,15.0,10.0,4.0,,,,,34.0,,51.0,,29.0,,,,6.0,47.0,392.0,,,,,4.0,498.0,23.0,,,5.0,3.0,6.0,,,3.0,,,43.0,10.0,88.0,11.0,,5.0,,39.0,,,,,22.0,5.0,153.0,48.0,13.0,,21.0,7.0,,,11.0,7.0,8.0,4.0,,1261.0,14.0,71.0,3398.0,4.0,34.0,31.0,44.0,79.0,132.0,11.0,9.0,,157.0,38.0,,6.0,,689.0,,35.0,10.0,9.0,,,59.0,,8.0,6.0,,,,9.0,,418.0,5.0,,9.0,,40.0,,,31.0,3.0,6.0,4.0,,142.0,,278.0,9.0,,,12.0,289.0,138.0,6.0,4.0,136.0,54.0,,,,,,,51.0,35.0,,18.0,4.0,5.0,,,6.0,29.0,7.0,14.0,15.0,,,7.0,6.0,121.0,43.0,,6.0,31.0,3.0,,6.0,7.0,23.0,,,11.0,166.0,33.0,132.0,,,33.0,30.0,121.0,693.0,4.0,9.0,12436.0
"Phoenix-Mesa-Scottsdale, AZ",55.0,37.0,5.0,,3.0,,,26.0,7.0,,33.0,6.0,,3.0,,71.0,,3.0,14.0,8.0,5.0,,208.0,5.0,26.0,5.0,75.0,,37.0,,322.0,18.0,26.0,20.0,328.0,,,5.0,,15.0,393.0,105.0,37.0,28.0,20.0,5.0,246.0,,6.0,,,,40.0,25.0,58.0,73.0,,35.0,3.0,154.0,7.0,,,,,,78.0,43.0,10.0,,127.0,10.0,,7.0,13.0,45.0,13.0,11.0,,722.0,26.0,174.0,997.0,19.0,46.0,24.0,48.0,38.0,61.0,8.0,96.0,3.0,135.0,11.0,4.0,4.0,3.0,25.0,,86.0,,4.0,,,15.0,,,12.0,,,,,,4125.0,14.0,,,,24.0,,,97.0,9.0,13.0,20.0,,86.0,,70.0,14.0,,,86.0,589.0,46.0,,,110.0,31.0,14.0,,,,3.0,,11.0,5.0,,19.0,5.0,3.0,,,117.0,24.0,12.0,16.0,82.0,,,11.0,8.0,40.0,48.0,5.0,29.0,210.0,15.0,10.0,14.0,5.0,38.0,,,6.0,61.0,4.0,177.0,,6.0,25.0,38.0,373.0,14.0,17.0,26.0,12344.0
"Orlando-Kissimmee, FL",6.0,18.0,14.0,,,,6.0,92.0,7.0,3.0,11.0,,4.0,29.0,7.0,100.0,9.0,10.0,5.0,6.0,,,,10.0,8.0,,417.0,,20.0,,39.0,,12.0,24.0,113.0,14.0,,,,26.0,266.0,1076.0,,,49.0,3.0,612.0,,,3.0,,,700.0,162.0,85.0,44.0,,3.0,8.0,36.0,,7.0,,,,12.0,68.0,18.0,7.0,6.0,46.0,,,183.0,1349.0,61.0,7.0,18.0,11.0,323.0,12.0,78.0,55.0,8.0,16.0,22.0,481.0,40.0,23.0,9.0,15.0,,72.0,10.0,,,4.0,23.0,,6.0,,5.0,,,,,,10.0,,,,,,333.0,34.0,,,,251.0,,,17.0,14.0,3.0,27.0,,46.0,,112.0,45.0,,4.0,242.0,403.0,18.0,3.0,,25.0,53.0,,13.0,28.0,3.0,,,23.0,,,3.0,7.0,6.0,,,,28.0,18.0,16.0,12.0,10.0,,17.0,5.0,10.0,23.0,7.0,15.0,45.0,,,101.0,14.0,43.0,3.0,,4.0,45.0,4.0,334.0,,26.0,37.0,591.0,287.0,,7.0,8.0,10485.0
"Minneapolis-St. Paul-Bloomington, MN-WI",7.0,12.0,4.0,,,,,10.0,,3.0,34.0,3.0,4.0,,,41.0,,88.0,6.0,,4.0,,77.0,11.0,10.0,,47.0,,17.0,6.0,481.0,,124.0,155.0,164.0,,,,,14.0,522.0,61.0,10.0,9.0,5.0,,3.0,,,,8.0,,34.0,91.0,120.0,65.0,,42.0,,964.0,7.0,5.0,,,27.0,6.0,63.0,147.0,6.0,,28.0,29.0,,83.0,8.0,18.0,25.0,9.0,,630.0,18.0,57.0,66.0,13.0,32.0,12.0,41.0,48.0,21.0,16.0,656.0,,138.0,14.0,10.0,209.0,12.0,27.0,,674.0,8.0,7.0,,,,3.0,,17.0,,,,,,452.0,32.0,,,,46.0,,,87.0,18.0,11.0,6.0,,278.0,,101.0,13.0,,,55.0,240.0,20.0,,,24.0,82.0,4.0,,,,,,16.0,12.0,,33.0,6.0,4.0,,,874.0,29.0,8.0,13.0,32.0,,,10.0,9.0,15.0,39.0,,21.0,316.0,94.0,,15.0,9.0,18.0,,,22.0,113.0,20.0,82.0,,5.0,29.0,27.0,417.0,20.0,7.0,10.0,10240.0
"Las Vegas-Paradise, NV",15.0,22.0,,,,,,51.0,61.0,,33.0,,5.0,,,23.0,,14.0,5.0,19.0,8.0,,33.0,10.0,12.0,,73.0,,85.0,,14.0,,11.0,15.0,138.0,,,,,16.0,492.0,94.0,4.0,,19.0,7.0,609.0,,3.0,4.0,,,46.0,33.0,19.0,255.0,,59.0,,446.0,6.0,,,,,6.0,50.0,21.0,5.0,,117.0,3.0,,4.0,13.0,46.0,23.0,17.0,,165.0,25.0,92.0,114.0,,97.0,19.0,20.0,63.0,11.0,4.0,21.0,,133.0,4.0,6.0,10.0,,15.0,,11.0,6.0,5.0,,,3.0,,,8.0,,,,,,1963.0,26.0,4.0,,,14.0,,,31.0,6.0,13.0,41.0,,45.0,,46.0,13.0,,,127.0,1829.0,31.0,,,61.0,47.0,,,,,4.0,,3.0,,,,5.0,7.0,,,6.0,16.0,5.0,23.0,11.0,,,3.0,,12.0,28.0,,10.0,140.0,4.0,,6.0,,30.0,,,7.0,31.0,,86.0,,10.0,6.0,24.0,144.0,6.0,,7.0,8827.0
"Tampa-St. Petersburg-Clearwater, FL",4.0,143.0,5.0,,,,6.0,40.0,,,27.0,3.0,,13.0,,58.0,4.0,11.0,3.0,10.0,5.0,,,28.0,24.0,,144.0,,34.0,,29.0,,24.0,11.0,174.0,,6.0,,,15.0,247.0,571.0,,,41.0,5.0,1968.0,4.0,5.0,,,8.0,340.0,99.0,127.0,53.0,,,5.0,36.0,3.0,6.0,,,,5.0,54.0,31.0,23.0,,48.0,,,26.0,271.0,85.0,3.0,40.0,,423.0,8.0,55.0,65.0,12.0,15.0,32.0,242.0,19.0,58.0,6.0,24.0,,52.0,6.0,,15.0,5.0,30.0,,13.0,4.0,22.0,,,11.0,,,11.0,,3.0,,,,375.0,7.0,4.0,,,92.0,,,11.0,7.0,,34.0,,82.0,3.0,71.0,36.0,,4.0,173.0,301.0,68.0,5.0,,37.0,39.0,,14.0,5.0,,,,19.0,5.0,,5.0,,3.0,,,,31.0,15.0,12.0,10.0,3.0,,12.0,10.0,20.0,17.0,5.0,4.0,53.0,15.0,,56.0,12.0,46.0,,,7.0,53.0,8.0,186.0,4.0,15.0,7.0,210.0,336.0,,3.0,5.0,8611.0
"Denver-Aurora-Broomfield, CO",20.0,4.0,17.0,,,,,17.0,26.0,,39.0,4.0,4.0,,,15.0,,36.0,3.0,,18.0,,304.0,19.0,12.0,,57.0,,24.0,5.0,266.0,9.0,22.0,32.0,145.0,,,,,20.0,328.0,59.0,36.0,10.0,15.0,,12.0,,,3.0,,,14.0,14.0,18.0,89.0,,43.0,3.0,523.0,,5.0,,,5.0,,63.0,164.0,3.0,6.0,38.0,7.0,,,17.0,24.0,8.0,6.0,,274.0,63.0,95.0,267.0,18.0,23.0,13.0,13.0,48.0,24.0,17.0,48.0,3.0,167.0,6.0,14.0,8.0,5.0,24.0,,26.0,10.0,8.0,,,5.0,,,5.0,12.0,9.0,3.0,12.0,,1863.0,9.0,50.0,,,74.0,,,263.0,16.0,20.0,8.0,,55.0,,61.0,6.0,,4.0,100.0,173.0,36.0,,3.0,33.0,118.0,14.0,,,,,,23.0,15.0,,8.0,4.0,4.0,4.0,,87.0,32.0,21.0,4.0,102.0,,,8.0,5.0,8.0,39.0,18.0,17.0,185.0,16.0,,7.0,3.0,14.0,,,16.0,74.0,,108.0,,5.0,48.0,24.0,375.0,3.0,,3.0,8037.0
"Baltimore-Towson, MD",11.0,18.0,4.0,,,,,13.0,6.0,,19.0,,9.0,4.0,,55.0,7.0,20.0,4.0,4.0,12.0,,103.0,15.0,,,59.0,,22.0,4.0,235.0,,,211.0,96.0,,,4.0,6.0,17.0,595.0,81.0,9.0,5.0,14.0,5.0,21.0,,3.0,5.0,,3.0,92.0,34.0,68.0,165.0,,11.0,,158.0,,5.0,,,9.0,13.0,47.0,178.0,7.0,7.0,56.0,21.0,,32.0,35.0,29.0,23.0,9.0,,803.0,28.0,140.0,115.0,11.0,44.0,24.0,215.0,52.0,12.0,21.0,172.0,,371.0,7.0,,,5.0,15.0,,119.0,,9.0,,,3.0,,5.0,22.0,8.0,,,8.0,,151.0,17.0,4.0,,,49.0,,,217.0,9.0,17.0,9.0,,663.0,4.0,433.0,9.0,,,69.0,435.0,37.0,,,28.0,64.0,5.0,,3.0,,,,9.0,12.0,,31.0,8.0,4.0,,,8.0,28.0,9.0,28.0,21.0,5.0,,3.0,5.0,11.0,40.0,4.0,9.0,29.0,19.0,,144.0,5.0,51.0,,,14.0,69.0,10.0,101.0,,9.0,69.0,25.0,83.0,,9.0,9.0,8011.0
"Sacramento--Arden-Arcade--Roseville, CA",52.0,,,,,,,13.0,45.0,,10.0,,7.0,,,38.0,,56.0,5.0,4.0,3.0,,42.0,4.0,4.0,,34.0,,11.0,,14.0,,18.0,10.0,89.0,,,,,14.0,546.0,31.0,3.0,3.0,12.0,5.0,12.0,,,,,,4.0,,27.0,72.0,,10.0,,86.0,288.0,,,,,7.0,46.0,11.0,4.0,,39.0,,,,,12.0,40.0,6.0,,958.0,25.0,233.0,113.0,4.0,8.0,10.0,12.0,31.0,23.0,44.0,33.0,,98.0,11.0,9.0,40.0,5.0,16.0,,25.0,5.0,,,8.0,,,,18.0,,,,,,1175.0,209.0,14.0,,,16.0,,,109.0,5.0,10.0,14.0,,66.0,,313.0,8.0,,,46.0,842.0,13.0,5.0,,46.0,144.0,4.0,,,,,,15.0,,,19.0,4.0,,,,3.0,12.0,4.0,8.0,4.0,,,11.0,3.0,10.0,45.0,,3.0,64.0,,5.0,3.0,,15.0,,,6.0,439.0,4.0,70.0,,,32.0,14.0,523.0,,7.0,4.0,7832.0
"Portland-Vancouver-Beaverton, OR-WA",18.0,8.0,4.0,,,,,25.0,4.0,,27.0,6.0,10.0,,,27.0,,24.0,6.0,3.0,,,72.0,,10.0,,26.0,,27.0,,100.0,17.0,26.0,5.0,124.0,,,,,24.0,622.0,32.0,6.0,7.0,9.0,3.0,110.0,,6.0,10.0,,,9.0,14.0,77.0,35.0,,12.0,3.0,176.0,70.0,,,,8.0,15.0,46.0,19.0,,,92.0,3.0,,,10.0,28.0,20.0,6.0,,402.0,19.0,98.0,149.0,16.0,26.0,7.0,14.0,80.0,16.0,47.0,40.0,,127.0,11.0,32.0,14.0,10.0,14.0,,19.0,4.0,5.0,,3.0,,,,16.0,,,5.0,,,819.0,89.0,3.0,,,10.0,,,58.0,14.0,10.0,5.0,,48.0,,30.0,,,,37.0,354.0,22.0,,,121.0,139.0,5.0,,,,,,20.0,,,5.0,9.0,,,,61.0,21.0,11.0,13.0,7.0,,,22.0,6.0,18.0,52.0,4.0,18.0,100.0,6.0,5.0,5.0,,17.0,3.0,,,238.0,4.0,102.0,,,25.0,11.0,773.0,,4.0,11.0,6550.0
"Austin-Round Rock, TX",4.0,3.0,15.0,,,,,20.0,,,14.0,4.0,3.0,,,74.0,,4.0,5.0,6.0,,,10.0,5.0,,,56.0,,10.0,,102.0,8.0,4.0,27.0,97.0,,,,,13.0,297.0,80.0,9.0,10.0,8.0,,196.0,,,5.0,,,6.0,7.0,10.0,68.0,,3.0,3.0,67.0,,,,,,,54.0,23.0,5.0,,35.0,11.0,,,14.0,67.0,13.0,11.0,,501.0,23.0,72.0,151.0,9.0,13.0,18.0,17.0,24.0,19.0,5.0,29.0,,140.0,,3.0,,4.0,14.0,,4.0,3.0,,,,,,4.0,11.0,,,,,,1390.0,3.0,,,,35.0,,,94.0,12.0,7.0,11.0,,91.0,,149.0,9.0,,,37.0,133.0,9.0,,,15.0,31.0,,,,,,,5.0,4.0,,4.0,7.0,,,,,14.0,9.0,14.0,10.0,,,8.0,5.0,8.0,48.0,,12.0,76.0,5.0,,7.0,3.0,26.0,,,5.0,17.0,6.0,114.0,,5.0,7.0,52.0,239.0,7.0,8.0,7.0,5308.0
"Honolulu, HI",,,,,,,,4.0,,,16.0,5.0,,,,5.0,,5.0,,,,,,,,,40.0,,10.0,,7.0,,3.0,3.0,56.0,,,,,,554.0,,,,,,,,,,,,,4.0,,,,,,9.0,11.0,,,,,,28.0,,,,,,,,,,39.0,,,15.0,17.0,17.0,8.0,,11.0,7.0,5.0,330.0,,3.0,4.0,,222.0,,,18.0,,,,,,,,,,,,14.0,,,,,,32.0,,4.0,,,,,,5.0,,21.0,,,4.0,,,4.0,,,11.0,3107.0,7.0,,,7.0,12.0,,,,,35.0,,,,,,6.0,3.0,,4.0,,5.0,6.0,,,,4.0,3.0,3.0,,42.0,,,59.0,,23.0,,,6.0,,,,10.0,,27.0,,,,8.0,133.0,,,,5061.0
"Providence-New Bedford-Fall River, RI-MA",,3.0,,,13.0,,,6.0,3.0,,4.0,,,,,24.0,3.0,5.0,4.0,,,,5.0,56.0,,,153.0,,12.0,,,11.0,77.0,8.0,38.0,468.0,,,,,188.0,259.0,6.0,3.0,3.0,,6.0,,,,,,1246.0,16.0,63.0,53.0,,4.0,,12.0,,,,,21.0,,17.0,27.0,5.0,,337.0,10.0,8.0,6.0,98.0,13.0,7.0,3.0,,137.0,6.0,15.0,47.0,5.0,13.0,10.0,45.0,8.0,5.0,3.0,30.0,,28.0,4.0,,17.0,,48.0,,206.0,,,,,,,,6.0,8.0,,,,,68.0,,,,,35.0,,,27.0,7.0,4.0,,,106.0,,55.0,4.0,,,29.0,94.0,32.0,85.0,,8.0,19.0,6.0,,,,,,3.0,31.0,,12.0,3.0,,,,3.0,3.0,3.0,9.0,,,,6.0,,23.0,10.0,,14.0,17.0,3.0,,11.0,,17.0,,,,18.0,4.0,45.0,,3.0,,18.0,14.0,,,3.0,4797.0
"San Antonio, TX",12.0,7.0,18.0,,,,,11.0,,,9.0,,,,,15.0,,,,11.0,,,73.0,,,,29.0,,11.0,,34.0,16.0,3.0,8.0,39.0,,,,,11.0,155.0,87.0,,,6.0,,41.0,,,,,,27.0,13.0,17.0,46.0,,10.0,,13.0,,,,,,,37.0,5.0,,,43.0,,,,5.0,42.0,3.0,3.0,,185.0,8.0,73.0,150.0,4.0,9.0,5.0,18.0,20.0,20.0,5.0,12.0,,72.0,9.0,,,,10.0,,5.0,,,,,,,,6.0,,,,,,2344.0,6.0,,,,11.0,,,31.0,3.0,3.0,14.0,,62.0,,45.0,17.0,,,39.0,194.0,11.0,,,21.0,11.0,5.0,,,,,,9.0,5.0,,,,,,,10.0,13.0,9.0,4.0,7.0,,,3.0,,8.0,12.0,,16.0,53.0,,,5.0,,17.0,,,,16.0,,48.0,4.0,3.0,,9.0,94.0,,,3.0,4636.0
"El Paso, TX",,,,,,,,,,,,,,,,,,,,,,,,5.0,,,6.0,,,,11.0,,,,7.0,,,,,,21.0,20.0,,,,,20.0,,,,,,13.0,6.0,,,,,,,,,,,,,39.0,,,,3.0,,,,,6.0,,,,10.0,,,22.0,,,,6.0,7.0,10.0,,,,36.0,4.0,,,,6.0,,,,,,,,,,3.0,,,,,,4176.0,,,,,3.0,,,,5.0,,,,6.0,,4.0,7.0,,,10.0,49.0,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,19.0,,,,,,,,,,,,,3.0,5.0,3.0,,,9.0,,,,,4567.0
"Bridgeport-Stamford-Norwalk, CT",,38.0,,,,,,41.0,10.0,,14.0,,,,,119.0,4.0,16.0,5.0,,,,,5.0,,,239.0,,14.0,,,,16.0,,76.0,14.0,,,,10.0,178.0,252.0,11.0,10.0,28.0,4.0,15.0,,,15.0,,,330.0,255.0,15.0,39.0,,4.0,,,,7.0,,,,11.0,30.0,14.0,10.0,3.0,138.0,,,17.0,369.0,33.0,7.0,9.0,,273.0,5.0,18.0,5.0,14.0,12.0,23.0,282.0,27.0,3.0,8.0,9.0,,30.0,4.0,,,4.0,13.0,,4.0,3.0,4.0,,,7.0,,,3.0,,,,,,99.0,10.0,,,,35.0,,,14.0,19.0,9.0,5.0,,25.0,,62.0,,,11.0,137.0,110.0,111.0,24.0,,29.0,37.0,3.0,,,,,,,,,3.0,10.0,8.0,,,,21.0,11.0,3.0,3.0,,,33.0,9.0,13.0,19.0,,7.0,8.0,3.0,,21.0,,28.0,,,,73.0,4.0,131.0,,23.0,5.0,39.0,44.0,,11.0,14.0,4460.0
"Columbus, OH",,30.0,25.0,,,,,13.0,6.0,,11.0,,,5.0,,67.0,,9.0,,,4.0,,9.0,,3.0,,21.0,,10.0,3.0,27.0,,15.0,54.0,85.0,,,4.0,,,281.0,33.0,10.0,11.0,8.0,,8.0,,,,3.0,,65.0,9.0,46.0,8.0,,46.0,,215.0,,,,4.0,12.0,5.0,19.0,310.0,,,6.0,50.0,,,37.0,6.0,5.0,,,427.0,14.0,36.0,182.0,3.0,26.0,9.0,29.0,31.0,38.0,7.0,146.0,,62.0,11.0,,13.0,,23.0,,41.0,11.0,,,,10.0,,,5.0,10.0,6.0,,54.0,,103.0,3.0,,,,79.0,,,11.0,9.0,4.0,4.0,,85.0,,69.0,4.0,,,32.0,103.0,12.0,,,13.0,32.0,5.0,,5.0,,,,15.0,60.0,,87.0,4.0,,,,424.0,3.0,8.0,10.0,41.0,,,8.0,,26.0,21.0,,22.0,22.0,4.0,,10.0,,24.0,,,10.0,19.0,5.0,34.0,,,16.0,27.0,52.0,10.0,3.0,16.0,4346.0
"Kansas City, MO-KS",10.0,4.0,17.0,,,,,8.0,,,12.0,,4.0,,,22.0,,,,,,,63.0,4.0,3.0,,39.0,,10.0,,187.0,7.0,10.0,32.0,76.0,,,12.0,,7.0,229.0,38.0,8.0,8.0,7.0,3.0,99.0,,,,,,26.0,14.0,23.0,39.0,,11.0,,160.0,,,,,,,31.0,17.0,,,34.0,4.0,,4.0,36.0,47.0,5.0,3.0,,331.0,9.0,66.0,156.0,,13.0,4.0,28.0,29.0,32.0,4.0,225.0,,70.0,8.0,3.0,12.0,,10.0,,31.0,,3.0,,,,,,14.0,,,,,,672.0,8.0,,,,19.0,,,57.0,5.0,6.0,,,76.0,,127.0,4.0,,,59.0,113.0,4.0,,3.0,7.0,30.0,,,,,4.0,,6.0,6.0,,,,,,,74.0,19.0,5.0,4.0,31.0,,,,,7.0,26.0,,32.0,91.0,10.0,,8.0,,20.0,,,11.0,15.0,4.0,39.0,4.0,,12.0,18.0,122.0,9.0,9.0,7.0,4204.0
