Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Austin-Round Rock-Georgetown, TX","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-Warwick, RI-MA","Cincinnati, OH-KY-IN","Indianapolis-Carmel-Anderson, IN","Kansas City, MO-KS","Raleigh-Cary, NC","Salt Lake City, UT","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Jacksonville, FL","Hartford-East Hartford-Middletown, CT","Milwaukee-Waukesha, WI","Fresno, CA","Louisville/Jefferson County, KY-IN","Saint Louis, MO-IL","Stockton, CA","Cape Coral-Fort Myers, FL","McAllen-Edinburg-Mission, TX","Cleveland-Elyria, OH","Worcester, MA-CT",NAME_LONG,ISO_A3
Netherlands,"1,274",173,70,55,53,40,44,24,95,54,43,45,37,24,16,15,12,21,10,14,7,9,5,15,11,6.0,11,11.0,,4.0,11.0,5,,6.0,4.0,5.0,8,,14.0,4,6.0,,3.0,,,3.0,,,,7.0,3.0,Netherlands,NLD
New Zealand,844,100,94,12,22,25,25,22,45,13,15,60,18,,18,7,6,14,,8,7,8,13,30,9,,11,3.0,,4.0,13.0,3,,,5.0,5.0,4,,,9,,,,,,4.0,,,,,,New Zealand,NZL
Nicaragua,"3,818",199,281,"1,414",155,33,135,47,208,21,45,19,30,37,16,69,49,31,5,18,17,39,42,17,24,17.0,9,49.0,19,5.0,8.0,5,5.0,20.0,10.0,7.0,7,4,5.0,,24.0,7.0,13.0,8,7.0,3.0,11.0,26,5,3.0,6.0,Nicaragua,NIC
Niger,201,34,,,5,,11,,,,7,,,9,,,,,,,,,,,3,3.0,,,,6.0,,,3.0,22.0,,,,,,,,,,,,,,,,,,Niger,NER
Nigeria,"15,888","1,888",468,169,"1,908",682,"1,011","1,300",194,342,"1,131",98,30,387,56,164,341,109,156,297,87,65,59,72,103,637.0,52,77.0,87,155.0,79.0,92,109.0,362.0,73.0,78.0,16,33,20.0,7,59.0,30.0,48.0,21,14.0,63.0,18.0,,,53.0,38.0,Nigeria,NGA
North Macedonia,"1,079",288,15,39,23,222,15,12,10,18,5,10,,9,4,,,10,53,,3,5,10,6,,,,,,3.0,,,,,7.0,,,,14.0,,,,13.0,,,5.0,,,,3.0,,North Macedonia,MKD
Oman,148,12,6,3,7,5,5,10,9,4,,,,5,,3,11,,4,,,3,,,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,,Oman,OMN
Pakistan,"13,921","2,863",321,177,"1,130",877,"1,076",649,366,169,410,235,143,404,44,143,73,47,262,93,293,34,49,48,136,304.0,38,62.0,68,71.0,29.0,74,28.0,48.0,67.0,38.0,34,,60.0,3,20.0,108.0,73.0,14,25.0,43.0,208.0,,5,31.0,24.0,Pakistan,PAK
Palau,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palau,PLW
Panama,"1,059",171,31,143,42,19,53,39,11,11,27,5,7,8,8,9,54,11,,6,4,18,3,4,13,9.0,,6.0,19,,5.0,3,,,4.0,,,,4.0,4,7.0,,,,3.0,5.0,,6,,3.0,,Panama,PAN
Papua New Guinea,24,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea,PNG
Paraguay,452,166,13,59,11,3,29,4,,6,8,5,,,,4,9,3,,,,4,,,5,3.0,,,,,,,,,,,3,,12.0,,3.0,,,,,,,,,,,Paraguay,PRY
Peru,"10,049","2,346",590,"1,458",217,146,756,181,347,143,198,86,74,75,43,109,231,50,19,36,38,111,73,90,41,47.0,34,80.0,44,14.0,37.0,19,43.0,34.0,14.0,28.0,131,13,105.0,6,28.0,138.0,29.0,3,7.0,19.0,12.0,50,7,19.0,19.0,Peru,PER
Philippines,"45,920","3,194","5,296",615,961,"1,499",978,601,"2,790",216,271,980,"1,092",423,"1,590","1,179",410,663,248,347,663,293,"1,378",191,169,361.0,290,329.0,229,77.0,380.0,79,950.0,93.0,111.0,87.0,86,43,75.0,"1,759",291.0,48.0,59.0,109,87.0,147.0,470.0,56,39,75.0,28.0,Philippines,PHL
Poland,"4,700","1,213",149,111,30,"1,543",58,20,92,60,56,83,75,85,32,4,13,43,51,11,20,54,18,18,23,14.0,10,16.0,4,5.0,4.0,8,5.0,3.0,7.0,10.0,3,,53.0,8,7.0,91.0,15.0,,,4.0,3.0,,,8.0,10.0,Poland,POL
Portugal,940,238,28,76,15,9,21,10,24,80,17,10,12,16,9,,9,,8,3,3,9,4,,8,,4,9.0,,,,102,,3.0,,4.0,,,8.0,,,10.0,,,,3.0,,3,,,,Portugal,PRT
Qatar,287,22,20,11,16,11,11,23,11,3,,5,,5,7,9,14,6,7,,3,,,3,,,,3.0,,,,,6.0,,,7.0,,,,,6.0,,,,,5.0,,,,,,Qatar,QAT
Romania,"2,616",269,151,173,58,256,71,42,58,65,105,101,48,36,24,25,17,75,106,3,45,26,36,19,10,11.0,51,17.0,12,4.0,11.0,5,6.0,6.0,6.0,7.0,,3,17.0,11,13.0,7.0,7.0,,,8.0,,10,,33.0,4.0,Romania,ROU
Russia,"9,822","1,736",919,528,209,395,332,99,449,299,148,403,457,232,165,53,107,55,70,79,194,102,75,113,98,61.0,239,88.0,21,24.0,18.0,11,26.0,15.0,25.0,93.0,22,3,43.0,22,34.0,20.0,22.0,3,12.0,29.0,4.0,13,3,35.0,16.0,Russia,RUS
Rwanda,"1,509",9,6,,43,20,16,161,3,11,25,8,4,,6,8,,76,,16,7,3,14,18,32,7.0,10,8.0,18,6.0,33.0,,10.0,20.0,18.0,12.0,77,,4.0,,15.0,8.0,14.0,,72.0,8.0,,,,10.0,11.0,Rwanda,RWA
Saint Kitts and Nevis,238,66,,28,3,,13,5,,4,9,,,4,,,11,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,4.0,,,,,,,,,,,Saint Kitts and Nevis,KNA
Saint Lucia,726,340,5,40,42,3,12,7,,10,13,,,13,,3,26,,,,,16,,,,5.0,3,,,,,,,,,,,,5.0,,,25.0,,,,,,,,,4.0,Saint Lucia,LCA
Saint Vincent and the Grenadines,403,256,,27,,,5,4,,4,5,,,21,3,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Vincent and the Grenadines,VCT
Samoa,195,,21,,,,,,6,,,21,,,,16,,3,,,4,,8,,,,7,,,,,,,,,,21,,,26,,,,,,,,,,,,Samoa,WSM
Sao Tome and Principe,12,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sao Tome and Principe,STP
Saudi Arabia,"2,514",193,122,55,128,164,159,133,80,42,33,45,22,53,34,18,59,28,102,38,23,14,12,34,17,16.0,27,27.0,15,48.0,18.0,9,37.0,24.0,8.0,25.0,13,,3.0,,13.0,6.0,16.0,7,13.0,6.0,7.0,,,20.0,7.0,Saudi Arabia,SAU
