Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Austin-Round Rock-Georgetown, TX","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-Warwick, RI-MA","Cincinnati, OH-KY-IN","Indianapolis-Carmel-Anderson, IN","Kansas City, MO-KS","Raleigh-Cary, NC","Salt Lake City, UT","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Jacksonville, FL","Hartford-East Hartford-Middletown, CT","Milwaukee-Waukesha, WI","Fresno, CA","Louisville/Jefferson County, KY-IN","Saint Louis, MO-IL","Stockton, CA","Cape Coral-Fort Myers, FL","McAllen-Edinburg-Mission, TX","Cleveland-Elyria, OH","Worcester, MA-CT",NAME_LONG,ISO_A3
Trinidad and Tobago,"3,150","1,623",29,244,96,17,121,23,11,53,75,4,,102,9,,81,10,4,3,,47,6,7,14,63.0,3,15.0,3,5.0,3.0,4,,3.0,,7.0,,,5.0,,9.0,8.0,,,3.0,4.0,,12,,4.0,4.0,Trinidad and Tobago,TTO
Tunisia,510,56,49,18,18,23,37,9,20,7,9,6,12,20,6,3,18,3,15,7,,10,3,3,,3.0,5,,9,3.0,,,,9.0,,,,,,,,,8.0,,3.0,3.0,,,,,,Tunisia,TUN
Turkey,"5,713","1,239",350,209,312,160,270,118,197,206,130,102,130,188,88,15,63,50,33,39,18,45,19,46,85,53.0,47,16.0,36,42.0,21.0,21,29.0,28.0,15.0,33.0,11,5,30.0,4,42.0,19.0,24.0,9,,19.0,,5,,32.0,10.0,Turkey,TUR
Turkmenistan,330,116,22,9,14,27,12,12,6,3,3,8,,9,3,,3,3,,10,,,3,4,6,,,,,,,,,,,,,,,,,5.0,8.0,,,,,,,,,Turkmenistan,TKM
Turks and Caicos Islands,56,5,,21,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turks and Caicos Islands,TCA
Uganda,"2,560",40,103,9,77,50,81,84,25,296,33,40,,31,28,13,4,81,18,40,,15,9,27,6,23.0,6,9.0,25,47.0,42.0,,7.0,66.0,97.0,25.0,38,,5.0,,15.0,11.0,6.0,,74.0,18.0,,3,,33.0,19.0,Uganda,UGA
Ukraine,"11,762","1,836",432,325,104,"1,141",170,111,266,148,125,965,249,505,124,25,76,47,173,73,712,82,52,123,55,76.0,486,117.0,12,83.0,33.0,10,19.0,17.0,18.0,52.0,20,4,106.0,3,44.0,51.0,34.0,16,11.0,45.0,,11,,219.0,14.0,Ukraine,UKR
United Arab Emirates,"1,586",177,95,31,128,79,65,55,42,18,36,38,38,35,14,11,76,14,59,20,16,4,6,11,11,10.0,10,21.0,7,10.0,13.0,4,28.0,4.0,8.0,8.0,7,,5.0,,4.0,9.0,4.0,5,,3.0,,4,,7.0,,United Arab Emirates,ARE
United Kingdom,"11,337","1,641",862,325,486,370,305,238,562,313,259,320,192,212,174,70,257,140,100,87,84,119,90,105,144,85.0,111,97.0,36,40.0,61.0,48,54.0,50.0,43.0,70.0,51,11,106.0,32,59.0,31.0,27.0,16,22.0,47.0,10.0,25,5,46.0,28.0,United Kingdom,GBR
United States,262,41,14,24,9,3,24,8,11,5,10,5,,,,5,,10,,3,,,,4,7,,,,3,,,,,,,,3,3,,,,,,,,,,,,,3.0,United States,USA
Uruguay,"1,109",235,31,265,36,13,22,17,23,9,66,10,,8,,5,25,6,4,3,,11,,,9,5.0,,13.0,,,4.0,,,,,4.0,9,,15.0,,,,,,,,,5,,,33.0,Uruguay,URY
Uzbekistan,"2,550","1,196",69,40,28,76,51,11,49,15,35,29,15,176,9,12,22,13,16,10,35,4,7,24,5,24.0,10,9.0,,19.0,56.0,5,55.0,,8.0,4.0,3,,3.0,,,6.0,,,5.0,12.0,,13,,20.0,,Uzbekistan,UZB
Vanuatu,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanuatu,VUT
Venezuela,"15,720",923,225,"6,446","1,262",222,235,317,78,128,454,74,30,133,67,43,"1,141",79,36,46,18,353,73,74,120,48.0,53,112.0,43,53.0,59.0,29,42.0,64.0,28.0,59.0,132,21,26.0,8,90.0,16.0,14.0,3,27.0,23.0,6.0,78,17,31.0,19.0,Venezuela,VEN
Vietnam,"39,712",765,"5,840",552,"3,001",716,"1,152","1,929","1,238",936,"1,393","1,428","3,059",810,789,500,412,519,239,470,835,396,218,577,311,137.0,629,264.0,167,101.0,93.0,35,117.0,63.0,176.0,111.0,191,24,26.0,178,177.0,85.0,87.0,79,73.0,175.0,182.0,66,28,48.0,187.0,Vietnam,VNM
"Virgin Islands, British",58,8,,11,,,,,,,5,,,,,,9,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virgin Islands, British",VGB
Yemen,"3,717",877,6,,10,111,24,9,293,6,11,21,5,27,4,,3,,"1,038",9,6,,4,,,9.0,9,3.0,,,17.0,,,4.0,13.0,30.0,,,,,,48.0,,72,3.0,3.0,24.0,,,4.0,,Yemen,YEM
Zambia,511,34,5,4,9,21,21,46,9,4,22,7,,6,3,,21,12,3,5,3,11,4,7,,10.0,,,10,,,3,,13.0,,6.0,8,,,,,,4.0,,,7.0,,,,5.0,,Zambia,ZMB
Zimbabwe,758,49,21,7,23,16,47,69,4,20,29,7,6,25,3,6,14,6,8,12,,5,,12,9,4.0,7,6.0,,10.0,14.0,3,20.0,24.0,6.0,7.0,3,,,,3.0,,4.0,,,9.0,,,,9.0,6.0,Zimbabwe,ZWE
