NAME,Total
"Riverside-San Bernardino-Ontario, CA",14929.0
"San Jose-Sunnyvale-Santa Clara, CA",19595.0
"Salt Lake City, UT",3645.0
"San Antonio-New Braunfels, TX",7072.0
"Seattle-Tacoma-Bellevue, WA",19307.0
"Urban Honolulu, HI",4067.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",37400.0
"Worcester, MA-CT",3265.0
"Nashville-Davidson--Murfreesboro--Franklin, TN",5073.0
"New York-Newark-Jersey City, NY-NJ-PA",166747.0
"Orlando-Kissimmee-Sanford, FL",12641.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",17476.0
"Portland-Vancouver-Hillsboro, OR-WA",8197.0
"Providence-Warwick, RI-MA",5447.0
"Denver-Aurora-Lakewood, CO",9165.0
"Detroit-Warren-Dearborn, MI",12267.0
"Los Angeles-Long Beach-Anaheim, CA",73479.0
"Louisville/Jefferson County, KY-IN",5469.0
"McAllen-Edinburg-Mission, TX",3255.0
"El Paso, TX",4260.0
"Fresno, CA",3613.0
"Houston-The Woodlands-Sugar Land, TX",36018.0
"Indianapolis-Carmel-Anderson, IN",5109.0
"Jacksonville, FL",4231.0
"Kansas City, MO-KS",4520.0
"Las Vegas-Henderson-Paradise, NV",9091.0
"Baltimore-Columbia-Towson, MD",8120.0
"Boston-Cambridge-Newton, MA-NH",26102.0
"Bridgeport-Stamford-Norwalk, CT",4338.0
"Cape Coral-Fort Myers, FL",3323.0
"Charlotte-Concord-Gastonia, NC-SC",6802.0
"Chicago-Naperville-Elgin, IL-IN-WI",34650.0
"Cincinnati, OH-KY-IN",4022.0
"Cleveland-Elyria, OH",3414.0
"Columbus, OH",7095.0
"Dallas-Fort Worth-Arlington, TX",28718.0
