Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","San Francisco-Oakland-Berkeley, CA","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Chandler, AZ","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Salt Lake City, UT","Bridgeport-Stamford-Norwalk, CT","Providence-Warwick, RI-MA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Cleveland-Elyria, OH","Hartford-East Hartford-Middletown, CT","El Paso, TX","McAllen-Edinburg-Mission, TX","Stockton, CA","Jacksonville, FL","Worcester, MA-CT","Pittsburgh, PA","Urban Honolulu, HI","Milwaukee-Waukesha, WI","Louisville/Jefferson County, KY-IN","Fresno, CA",Non-CBSA,Other & Unknown
Eswatini,25,D,-,-,-,D,D,4,3,-,-,-,4,-,D,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Ethiopia,"6,280",54,137,14,131,108,144,"1,106",282,119,491,98,325,45,13,105,56,6,8,589,38,43,301,20,194,82,95,4,34,144,23,40,65,102,26,D,3,44,50,6,6,D,-,4,27,3,4,D,12,23,6,26,"1,020"
Fiji,425,4,22,-,56,-,4,3,D,-,48,10,-,D,-,9,D,8,D,D,104,-,-,D,D,10,-,-,-,-,4,-,-,-,-,-,D,-,3,-,-,-,-,14,-,-,D,3,-,-,D,7,102
Finland,317,25,18,13,21,7,D,12,17,8,64,14,6,D,D,-,6,D,D,4,-,D,D,-,D,4,D,-,D,-,D,D,D,D,D,3,-,D,-,-,D,D,D,D,-,-,-,D,D,-,-,7,58
France,"4,053",798,342,288,427,104,124,114,56,185,127,126,58,48,38,47,54,14,36,32,13,56,31,29,28,28,17,4,16,8,7,10,21,4,15,15,14,25,18,9,5,D,D,4,5,3,13,5,14,5,6,27,577
French Polynesia,15,D,D,-,-,D,D,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,3,-
Gabon,86,11,3,D,-,10,7,12,4,D,D,-,D,D,-,-,-,-,3,-,-,D,-,-,-,-,4,-,-,D,-,D,-,-,D,-,D,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,16
Gambia,664,202,7,D,D,6,3,28,20,6,61,-,39,8,14,D,3,-,D,18,D,D,6,D,D,4,6,D,8,26,14,3,4,4,D,-,20,-,3,-,D,-,-,-,D,D,D,-,D,6,D,D,122
Georgia,"1,179",688,63,13,19,5,31,26,6,16,6,29,5,99,3,D,-,D,3,3,5,5,6,D,3,9,14,-,8,3,-,D,-,D,-,13,-,D,10,4,5,-,-,-,D,-,D,-,D,D,-,7,59
Germany,"3,913",374,259,122,246,104,132,132,76,117,99,166,82,65,116,43,57,30,43,29,27,30,33,39,29,27,22,20,39,13,27,13,8,16,14,33,6,24,31,17,17,14,-,6,12,9,22,7,6,5,6,48,"1,001"
Ghana,"4,627","1,200",29,11,25,56,166,502,91,57,39,8,218,138,25,38,4,23,23,70,8,11,92,12,6,10,128,17,34,251,17,12,23,11,6,17,19,15,75,4,95,7,D,D,7,177,20,3,5,6,4,23,786
Gibraltar,5,D,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Greece,945,233,45,44,36,25,44,38,12,79,12,12,15,25,23,3,6,5,5,8,-,D,4,18,3,7,5,D,7,D,8,5,-,D,-,12,7,5,D,4,4,-,-,-,5,6,11,D,6,-,-,D,148
Greenland,D,D,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grenada,307,197,3,10,D,8,D,7,4,4,D,-,6,-,-,-,-,-,10,D,-,D,D,3,-,-,4,-,D,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,D,-,D,-,D,-,-,5,32
Guatemala,"7,815",616,"1,156",376,829,179,181,430,86,254,83,86,118,74,11,96,78,174,30,52,23,32,25,45,70,79,66,25,36,14,27,14,52,38,45,97,204,11,55,6,9,D,4,35,9,31,7,D,8,24,3,89,"1,720"
Guinea,858,362,5,-,3,8,6,47,D,24,18,-,42,81,3,10,-,-,-,16,D,4,3,-,D,D,10,D,3,39,D,12,-,4,3,D,8,5,6,5,-,-,-,-,3,D,D,D,D,4,-,6,104
Guinea-Bissau,27,3,D,-,D,-,D,D,-,4,-,-,3,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Guyana,"3,027","2,138",9,87,3,16,9,62,5,18,3,-,61,33,D,9,D,D,64,49,-,3,-,18,D,D,38,D,5,D,D,-,D,4,-,4,D,-,D,8,47,-,-,-,4,4,D,3,-,D,D,11,291
Haiti,"9,338","1,919",15,"3,381",19,26,44,82,13,854,9,3,128,197,6,9,17,7,519,10,D,10,6,96,7,10,22,4,21,25,9,57,17,27,8,103,76,5,-,8,18,D,D,-,55,39,5,D,D,14,-,53,"1,378"
Honduras,"8,277","1,080",542,971,210,724,132,530,242,139,70,49,184,74,24,51,19,66,87,42,18,91,41,74,60,24,101,55,164,13,94,58,60,61,23,48,34,21,18,5,17,6,11,10,24,6,D,D,8,17,19,107,"1,749"
Hong Kong,"1,783",316,281,17,284,42,53,22,24,77,115,76,23,19,7,6,23,30,10,12,27,21,10,4,9,27,7,D,3,12,8,11,-,D,6,8,D,4,4,3,-,-,D,D,D,3,3,14,D,D,4,6,142
Hungary,761,120,60,65,28,16,16,13,7,35,10,29,4,9,10,3,8,D,6,3,3,17,3,29,9,7,3,D,-,D,9,-,3,D,5,9,-,D,5,4,D,-,D,D,10,-,3,-,3,-,-,7,180
Iceland,81,16,4,D,3,D,D,5,-,4,5,4,D,D,-,-,-,-,D,5,-,-,D,D,-,D,D,-,-,D,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,17
India,"46,363","6,326","1,337",331,"2,773","1,632","2,717","1,377","2,377",921,"1,712","2,292","1,578","1,397",778,631,380,303,388,533,622,598,266,332,61,332,361,189,549,476,643,370,247,178,115,231,112,363,374,230,424,25,7,445,130,215,245,13,226,118,429,242,"7,412"
Indonesia,"1,428",100,198,8,98,73,29,51,26,34,52,36,40,46,4,16,19,61,13,7,13,12,24,9,16,5,5,7,6,10,D,6,6,4,6,D,3,10,D,9,D,-,D,8,D,3,15,9,3,D,D,25,293
Iran,"8,805",378,"1,770",89,443,350,247,498,267,245,255,421,210,86,97,93,279,99,75,74,146,84,80,33,68,86,77,66,47,35,34,21,29,42,37,21,12,51,37,43,23,4,D,8,10,24,40,D,42,18,19,20,"1,568"
Iraq,"2,266",32,54,13,17,117,115,81,124,18,70,8,23,11,287,58,150,3,9,9,54,54,29,9,10,41,16,33,10,31,13,7,56,13,30,3,D,25,3,D,D,D,-,-,16,15,8,-,9,25,D,5,544
Ireland,"1,466",438,54,32,138,13,67,32,30,94,44,43,31,31,5,33,12,6,15,6,9,31,6,8,5,11,8,D,9,D,3,3,5,5,-,14,D,16,4,D,D,-,-,4,9,-,-,-,D,D,-,7,175
Israel,"3,687",931,408,205,161,51,78,61,73,158,156,299,42,53,12,34,59,14,18,11,26,52,21,24,107,39,17,8,10,13,24,4,12,12,10,D,D,5,11,28,3,5,-,6,9,5,9,4,4,3,-,19,370
Italy,"3,184",692,209,355,184,69,104,82,44,108,68,80,31,59,46,23,45,16,27,14,9,24,24,33,26,21,15,12,6,15,12,11,19,4,12,22,11,11,22,11,14,-,D,-,11,6,18,10,9,5,D,11,521
Jamaica,"12,826","4,235",85,"2,018",24,125,115,330,75,151,40,8,626,370,29,29,22,24,413,14,14,12,21,143,19,14,153,25,46,22,32,21,40,16,7,212,37,24,19,20,324,9,D,D,74,22,42,5,12,4,-,107,"2,592"
Japan,"3,905",532,592,28,260,54,103,72,60,98,171,195,36,28,81,51,85,35,12,19,19,33,15,18,32,58,11,12,9,25,8,11,19,11,16,15,5,16,28,24,D,D,5,4,5,D,16,229,9,3,D,75,655
Jordan,"3,063",290,160,53,81,144,397,99,142,40,37,22,27,38,102,31,31,72,26,22,24,12,17,43,9,16,13,20,28,81,30,35,25,20,D,D,4,30,45,61,10,-,D,5,9,8,3,D,31,10,7,19,628
Kazakhstan,"1,307",201,84,70,45,67,80,51,17,20,38,56,7,35,8,9,31,7,24,20,61,32,17,8,6,19,D,4,24,4,D,D,-,D,6,D,D,3,3,3,D,D,-,D,8,D,20,-,-,D,-,14,192
Kenya,"4,026",140,47,17,40,128,35,102,262,131,236,12,150,71,9,75,21,24,180,404,15,20,30,13,14,30,68,13,23,95,55,27,25,91,21,D,21,66,20,9,4,7,3,6,4,58,9,5,7,23,D,38,"1,118"
Kiribati,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
"Korea, North",28,D,4,-,3,-,-,D,-,-,D,3,3,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,6
"Korea, South","16,244","2,422","3,186",55,520,305,480,628,577,286,719,765,602,179,268,101,278,160,35,98,53,206,111,33,117,165,196,61,50,43,66,43,44,48,40,16,18,68,33,23,40,18,3,9,11,17,38,183,22,17,12,153,"2,623"
Kosovo,678,287,4,D,D,10,44,17,5,13,4,D,14,4,21,3,D,-,-,8,-,4,14,7,D,D,6,3,4,-,-,-,8,3,4,5,D,D,-,7,9,-,-,-,10,3,6,-,D,-,-,3,134
Kuwait,768,56,43,12,21,39,49,29,24,13,19,15,15,8,34,9,8,11,35,3,7,11,9,12,5,6,5,4,12,6,5,-,9,5,D,4,-,4,9,6,-,-,-,3,-,4,-,-,6,D,3,3,183
Kyrgyzstan,594,89,22,4,19,3,167,29,6,3,25,11,-,31,-,5,D,D,11,D,17,9,D,5,6,4,D,D,4,D,3,3,D,D,-,-,D,-,23,4,D,-,-,-,-,-,8,-,-,3,D,D,60
Laos,486,D,8,D,10,D,14,4,13,6,5,D,3,3,3,D,11,13,-,127,25,-,3,D,6,D,4,D,5,5,-,-,5,5,-,D,D,-,-,-,3,-,-,4,-,D,-,8,7,-,23,7,140
Latvia,224,33,16,11,11,3,11,4,6,7,4,3,3,D,D,D,5,-,D,7,D,3,D,4,-,4,D,4,4,-,D,D,D,D,D,D,-,D,D,-,D,-,-,-,D,D,-,D,D,-,-,D,50
Lebanon,"2,120",164,192,59,39,127,41,70,65,124,21,31,20,27,366,17,34,46,40,10,14,19,7,16,18,9,12,5,9,6,18,10,-,D,D,9,29,5,6,48,D,D,-,D,8,23,5,-,D,4,10,8,319
Lesotho,14,D,D,-,-,-,D,D,D,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D
Liberia,"1,674",66,9,3,10,28,11,93,55,31,8,-,64,324,8,26,4,D,D,272,13,6,6,4,7,7,50,5,43,25,D,23,10,5,3,3,66,7,3,5,D,-,-,3,3,19,-,-,D,13,-,8,319
Libya,514,13,22,11,9,28,6,33,11,33,14,4,7,4,20,D,4,6,6,D,D,3,43,-,3,16,D,-,3,6,4,-,D,8,D,D,-,6,D,3,D,-,-,D,3,-,-,-,D,D,D,7,160
Lithuania,475,56,24,21,13,D,156,7,D,11,11,8,7,11,-,6,7,3,D,D,3,4,4,6,4,-,8,D,D,-,D,D,-,4,D,D,-,D,D,D,-,-,-,-,-,D,D,-,D,-,-,5,71
Luxembourg,20,8,-,D,D,-,D,-,D,-,D,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D
Macau,64,9,15,D,13,D,-,-,D,D,4,D,3,-,-,D,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,5
Madagascar,84,11,-,-,4,4,-,29,-,4,D,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,21
Malawi,197,D,3,-,D,D,4,11,12,7,4,-,13,3,D,3,-,D,D,D,-,-,3,-,D,D,D,D,-,4,-,3,D,5,D,-,-,D,-,4,-,-,-,-,-,-,-,-,D,D,-,D,94
Malaysia,"1,898",170,74,13,79,76,108,23,95,39,43,86,83,18,16,40,10,12,10,27,6,37,12,4,D,38,13,4,22,21,8,114,7,7,15,D,D,6,8,D,4,-,-,3,6,4,6,5,76,4,-,9,429
Maldives,4,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Mali,389,187,4,-,D,7,5,17,3,D,3,-,7,40,D,D,-,D,4,6,-,D,6,D,D,D,9,-,6,10,D,7,-,-,D,-,5,-,9,D,-,-,-,-,D,-,-,-,-,-,-,D,36
Malta,44,6,4,4,D,D,-,D,-,D,D,-,-,-,D,-,D,-,D,D,-,-,-,-,-,-,-,-,-,4,-,4,-,-,-,D,-,D,D,-,-,-,-,-,D,-,-,-,-,-,-,3,4
Marshall Islands,12,-,D,-,-,-,-,-,-,-,D,D,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,D
Mauritania,134,20,-,-,D,-,D,10,-,D,D,-,D,9,-,-,D,-,-,D,-,-,D,-,-,-,D,-,D,24,-,3,-,-,-,-,D,-,36,-,-,-,-,-,-,-,-,-,-,3,-,D,14
Mauritius,68,14,D,6,D,D,-,3,-,4,D,-,D,D,-,-,D,-,D,D,-,-,D,-,-,-,-,D,-,-,D,-,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
Mexico,"100,325","2,332","10,399",956,"3,035","5,726","5,301",520,"5,671",189,"1,235","1,442","1,345",466,850,"3,216","3,113","3,715",260,851,739,"1,432","1,480",379,"1,451",812,119,"1,874",597,148,353,426,348,619,837,100,47,229,152,192,49,"2,156","2,045",632,69,30,59,25,344,130,860,"2,334","28,636"
"Micronesia, Federated States",15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,9
Moldova,"1,367",88,30,35,26,9,281,40,17,29,121,9,24,15,D,17,9,3,21,17,122,7,6,5,20,59,11,D,5,8,7,D,-,-,4,D,3,3,D,17,5,-,-,-,3,-,3,3,-,-,D,4,271
Monaco,8,D,-,D,D,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolia,543,14,51,D,84,D,102,80,D,6,32,7,3,6,D,D,9,-,-,D,11,-,25,D,5,D,D,-,4,D,-,D,D,-,7,D,-,D,D,-,3,-,-,D,-,-,D,D,-,-,D,7,60
Montenegro,303,165,4,12,-,D,35,D,D,D,D,6,D,-,25,D,D,3,D,-,-,-,-,D,D,-,-,-,-,-,-,-,D,-,D,-,-,D,-,D,6,-,-,-,-,-,-,-,-,-,-,D,23
Montserrat,12,D,-,D,-,-,-,-,D,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Morocco,"2,866",451,81,79,76,43,114,228,65,234,38,17,58,102,26,18,16,12,90,29,5,19,40,32,23,13,25,6,16,71,75,9,12,13,5,30,16,6,34,7,19,D,D,D,7,13,6,D,6,23,D,28,523
Mozambique,60,5,D,-,3,D,D,6,-,-,-,D,-,-,-,D,-,-,-,D,-,D,D,D,-,D,-,-,-,-,D,-,-,-,-,-,3,-,D,-,-,-,-,-,-,3,D,-,-,-,D,-,25
Namibia,90,5,D,D,D,3,D,D,4,D,-,-,3,D,-,D,3,-,D,4,-,-,-,-,-,4,-,-,D,-,-,D,D,3,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,D,-,3,38
Nauru,6,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,"7,847",666,184,34,335,148,131,575,703,291,110,89,133,85,41,42,27,36,24,132,89,117,219,15,26,45,262,31,81,231,74,15,44,50,31,16,21,48,93,62,23,8,D,D,11,35,108,16,29,85,D,50,"2,122"
Netherlands,962,164,75,30,62,44,41,29,13,24,22,52,22,6,4,26,13,7,5,12,6,8,7,D,6,21,10,4,5,-,4,-,6,D,D,7,5,3,3,D,3,-,D,-,-,4,D,D,3,D,-,11,182
Netherlands Antilles (former),7,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
New Caledonia,4,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-
New Zealand,607,80,68,8,38,13,22,17,19,5,36,11,9,6,5,6,11,7,7,9,3,10,11,4,5,6,5,D,D,-,4,4,6,4,17,D,-,D,D,D,-,-,-,D,D,-,-,7,D,D,D,7,120
Nicaragua,"2,570",109,165,968,139,121,22,106,28,15,13,26,30,14,3,18,7,34,35,14,7,18,11,14,25,D,6,9,19,11,8,24,7,D,10,6,D,D,8,5,4,D,5,6,21,-,D,-,D,D,D,32,434
Niger,139,23,D,-,D,6,3,14,D,D,4,3,3,7,-,-,-,D,-,D,-,-,-,D,D,D,D,-,D,3,-,14,D,-,-,-,-,-,3,-,-,-,-,-,D,-,-,-,-,D,-,D,33
Nigeria,"12,398","1,450",338,94,189,"1,435",640,851,948,254,82,62,839,308,87,91,45,90,140,236,63,101,42,44,36,57,595,84,57,106,71,378,105,60,19,22,73,53,58,48,27,15,23,36,25,16,35,D,29,12,D,58,"1,865"
North Macedonia,590,140,6,23,9,9,129,6,7,8,5,D,D,10,27,-,10,D,D,5,D,D,-,3,5,D,D,D,3,9,D,-,-,D,D,D,D,5,D,4,D,-,-,-,3,-,D,-,D,-,-,6,128
Norway,248,27,22,11,17,24,7,4,3,4,7,7,4,9,D,3,6,D,D,3,-,11,D,-,D,3,-,D,D,-,3,-,D,D,5,6,-,-,-,-,3,-,-,-,D,D,-,D,-,-,-,3,39
Oman,118,13,8,D,4,8,4,8,5,3,8,8,4,4,3,3,D,D,5,D,-,-,-,D,-,-,D,-,D,-,-,-,-,-,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,17
Pakistan,"10,474","1,867",268,127,251,955,693,804,547,156,190,111,250,309,226,111,66,89,66,46,179,74,43,49,19,35,253,72,27,74,59,38,13,49,29,22,39,48,27,39,84,D,6,139,18,25,48,D,26,14,16,55,"1,719"
Palau,8,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D
Panama,601,92,22,89,13,21,20,22,27,24,4,3,16,6,-,5,9,5,14,10,D,11,3,6,D,6,6,3,4,-,D,D,4,4,D,3,-,D,3,D,-,D,D,-,6,3,-,-,D,D,-,5,115
Papua New Guinea,19,D,D,-,-,-,-,D,D,-,-,-,-,D,-,-,D,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Paraguay,256,87,5,28,4,4,D,26,8,D,-,D,D,6,D,3,-,-,D,D,D,3,3,4,D,D,-,D,-,-,D,-,-,D,3,3,-,-,D,D,-,-,-,-,D,-,3,-,-,-,-,D,42
Peru,"5,626","1,154",349,772,235,111,79,401,97,81,60,54,111,28,9,37,33,64,77,30,13,33,44,67,57,16,46,18,53,8,24,18,30,10,98,46,21,15,15,19,89,D,17,7,16,6,10,7,8,D,-,48,980
Philippines,"25,491","1,856","3,011",308,"1,605",510,881,637,343,166,553,591,161,220,152,332,708,570,212,195,270,115,92,156,703,156,173,142,147,62,44,54,179,89,79,74,44,118,202,44,27,31,35,243,135,31,67,665,41,44,55,"1,564","6,599"
Poland,"3,341",807,81,59,95,26,"1,079",44,35,37,70,64,22,47,44,22,18,3,21,14,25,22,16,33,11,17,8,7,12,6,14,4,7,9,6,30,10,6,7,7,53,-,D,-,8,13,8,5,3,4,D,16,382
Portugal,679,142,11,59,28,21,17,16,8,69,11,21,8,11,6,D,6,D,7,D,-,7,D,D,D,D,5,D,6,-,-,-,D,D,D,10,70,4,D,D,4,4,D,5,4,3,3,D,4,D,D,D,82
Qatar,215,17,12,D,3,14,6,8,10,-,D,6,5,6,16,-,5,-,6,D,D,-,D,D,D,D,3,D,3,-,10,-,6,D,-,D,-,D,4,3,-,-,-,-,-,-,D,-,D,-,D,-,50
Romania,"1,994",207,123,108,78,55,223,33,33,53,89,47,42,15,77,54,12,26,15,12,29,15,15,21,23,30,9,8,15,5,12,4,9,4,6,5,D,4,4,33,D,-,D,6,9,-,4,9,D,D,D,15,389
Russia,"7,967","1,343",721,415,419,191,330,231,94,243,462,469,102,179,40,51,114,24,50,81,175,98,93,107,45,138,44,21,90,27,81,13,6,12,25,64,19,26,27,38,15,D,D,8,18,34,41,7,18,D,7,62,"1,045"
Rwanda,"1,084",8,6,D,3,54,14,14,76,6,9,D,58,13,D,49,D,3,D,8,-,17,12,6,4,9,8,10,5,20,4,13,10,9,40,D,3,16,8,8,-,D,-,-,D,3,16,-,D,63,-,D,467
Saint Helena,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts and Nevis,106,23,-,10,D,5,D,D,D,-,-,-,11,D,-,-,-,D,-,-,-,-,-,D,-,D,-,-,-,D,-,3,-,-,-,3,-,-,-,-,6,-,-,-,-,-,-,-,D,-,-,19,14
Saint Lucia,463,234,D,20,D,12,D,5,6,4,-,-,13,4,-,-,D,-,20,D,-,D,-,9,4,-,5,-,5,-,D,D,-,D,-,4,D,4,D,-,12,-,-,-,-,-,-,D,D,-,D,22,60
Saint Pierre and Miquelon,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Vincent and the Grenadines,196,128,-,5,-,4,-,4,-,D,-,-,5,D,-,D,-,-,5,-,-,-,D,D,-,-,D,-,4,D,-,-,-,D,-,-,D,-,-,D,D,-,-,-,D,-,-,-,-,-,-,3,23
Samoa,154,D,14,-,7,-,-,-,D,D,28,4,-,-,-,D,D,10,-,-,D,-,-,-,D,D,-,D,-,-,-,3,-,3,15,-,-,-,-,-,-,D,-,D,-,-,-,12,-,-,D,3,41
San Marino,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sao Tome and Principe,4,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Saudi Arabia,"1,854",158,110,26,65,101,119,107,78,29,61,33,25,32,87,21,17,16,22,26,12,16,20,14,5,22,16,18,12,30,10,24,12,9,D,8,11,12,17,17,12,D,-,7,11,D,8,D,12,3,7,12,358
Senegal,999,316,9,4,11,23,8,63,11,21,10,-,52,24,22,D,4,D,3,8,3,D,11,D,5,D,27,D,3,52,18,15,D,3,D,D,23,3,55,3,4,-,-,-,D,3,-,-,D,6,-,4,156
Serbia,"1,077",150,48,84,27,26,240,40,10,18,16,18,19,8,12,26,9,8,4,4,4,5,16,15,30,D,D,D,7,-,D,D,3,D,5,3,D,9,D,9,-,D,-,-,D,D,7,-,4,D,-,6,169
Serbia and Montenegro (former),149,45,5,4,11,5,11,7,-,D,3,4,D,3,-,D,-,-,D,D,D,3,D,-,D,-,-,D,D,-,D,-,D,-,-,D,-,-,-,4,D,-,-,-,-,-,3,-,D,-,-,-,21
Seychelles,4,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Sierra Leone,713,81,9,D,4,11,D,226,10,17,4,-,22,87,3,6,D,D,D,17,5,-,8,4,D,D,24,3,D,52,6,D,8,D,D,-,4,3,-,-,3,-,-,-,-,D,D,-,-,-,D,D,71
Singapore,807,114,53,7,103,47,29,21,6,31,62,55,11,9,D,12,8,6,D,4,9,11,4,4,4,16,3,D,-,5,14,D,4,D,3,9,D,3,7,D,3,-,-,-,D,-,3,4,D,-,-,D,107
Sint Maarten,21,6,-,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,7
