Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA",Non-CBSA,Other & Unknown
Djibouti,281,8,-,-,6,3,D,D,5,-,6,3,12,-,-,-,-,58,-,3,-,-,-,D,D,-,D,5,-,-,D,D,-,-,4,D,-,-,-,-,D,4,-,-,-,-,-,-,4,-,-,12,135
Dominica,492,135,31,D,20,21,4,D,3,13,24,D,D,-,3,-,10,-,27,-,-,D,D,D,D,-,3,-,D,D,-,5,-,-,-,D,6,D,-,-,-,-,-,D,D,-,-,D,-,-,-,115,48
Dominican Republic,"57,413","32,585","2,341",87,521,173,172,27,92,"4,614",391,13,22,38,"1,683",30,491,37,907,36,76,12,19,25,50,15,150,131,40,257,14,"1,528",62,33,183,44,350,83,4,D,82,28,D,24,254,94,108,366,50,7,5,565,"8,491"
Ecuador,"11,472","6,413",799,237,183,127,376,24,55,80,91,6,19,14,136,50,124,269,193,23,11,11,34,11,38,16,36,13,7,111,15,24,11,15,36,13,316,31,4,4,16,12,D,5,47,11,33,53,4,D,6,51,"1,255"
Egypt,"9,826","2,740",107,800,395,236,195,149,291,227,91,65,149,79,270,207,167,134,103,46,133,37,27,27,22,34,84,67,15,37,19,45,47,707,48,21,22,12,-,4,36,21,28,32,31,50,D,80,13,D,5,45,"1,621"
El Salvador,"28,326","3,762",609,"4,819","4,062","2,050",188,"1,383","1,116",867,423,275,149,63,103,646,86,141,100,86,34,141,139,147,399,99,365,53,92,316,20,97,99,112,127,61,49,35,14,7,26,59,161,6,30,42,35,79,12,19,50,262,"4,211"
Equatorial Guinea,17,D,-,-,D,D,-,D,D,-,D,D,-,D,-,-,-,-,-,-,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Eritrea,"2,428",23,4,37,194,86,40,186,132,39,80,33,226,35,22,4,D,102,6,59,D,8,26,91,56,32,40,63,25,33,21,6,32,13,15,17,10,22,-,-,20,15,-,11,-,5,-,6,6,-,-,13,530
Estonia,151,22,3,10,4,D,12,8,-,4,D,8,4,D,D,-,3,D,5,D,3,D,-,-,4,3,-,-,D,D,-,D,-,-,D,-,3,-,-,D,7,3,-,-,D,-,-,-,-,-,-,D,27
Eswatini (formerly Swaziland),18,D,-,D,3,-,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,1
Ethiopia,"12,403",147,14,251,"2,433",187,166,233,537,234,690,163,854,185,106,11,42,"1,261",17,116,23,37,63,549,337,153,151,364,24,86,98,8,66,113,45,160,13,51,3,-,68,54,4,58,12,13,-,18,41,-,4,86,"2,054"
Fiji,730,9,-,38,-,3,D,122,3,-,D,17,72,-,D,7,D,3,D,14,-,190,D,3,D,52,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,5,-,-,-,D,D,-,-,24,7,142
Finland,442,31,20,17,28,9,8,30,16,6,D,54,83,4,8,D,3,11,D,D,D,D,5,3,D,D,D,-,D,D,-,D,D,-,D,D,-,D,D,D,5,-,-,-,-,-,4,-,D,D,-,7,60
France,"4,276",993,276,358,149,102,104,372,34,182,63,188,138,103,50,14,28,30,27,15,51,26,33,32,26,30,35,13,17,17,D,15,5,9,9,3,17,11,5,13,13,11,D,9,8,8,5,6,12,D,D,26,580
French Polynesia,10,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,3
Gabon,112,19,-,3,12,4,5,-,6,D,7,-,-,-,D,-,D,3,D,D,-,-,D,D,D,-,D,D,D,-,4,-,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,D,25
Gambia,"1,023",273,7,D,48,4,6,3,16,4,88,D,131,-,10,D,D,37,-,5,17,-,D,6,D,12,13,42,3,12,17,16,D,4,21,10,4,D,-,-,6,3,D,D,6,-,-,4,-,D,-,3,179
Georgia,"1,643",949,13,123,47,5,22,17,D,13,14,22,22,7,120,D,5,D,9,D,7,11,3,5,5,13,18,-,3,-,D,4,-,-,D,3,25,D,-,-,13,-,D,4,5,8,-,D,-,-,-,4,113
Germany,"4,443",524,125,238,149,69,127,272,53,131,72,180,113,120,73,36,49,27,35,34,99,23,35,48,24,68,24,17,32,35,8,13,14,14,20,14,18,25,14,24,15,17,D,21,13,17,34,8,17,D,6,80,"1,215"
Ghana,"8,394","2,195",35,74,"1,115",132,275,41,209,137,409,6,54,27,226,42,39,136,20,41,24,11,33,105,15,34,172,453,11,58,13,53,22,40,21,27,28,14,12,10,119,12,5,23,149,17,D,332,6,D,7,49,"1,303"
Gibraltar,D,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,D
Greece,"1,214",344,43,49,37,13,81,36,13,72,15,32,14,10,48,3,21,3,8,4,21,4,7,5,3,11,7,8,3,5,-,8,D,D,6,D,6,7,D,-,3,D,3,7,11,8,3,6,11,-,D,7,200
Greenland,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grenada,501,348,16,3,11,13,-,-,3,8,7,D,3,D,D,D,D,D,7,3,D,-,D,-,-,-,4,D,D,-,-,D,3,-,D,D,-,-,-,D,-,-,-,-,3,3,-,-,-,-,-,7,41
Guatemala,"15,638","1,496",679,"2,567",824,381,329,"1,214",225,499,275,91,86,197,165,394,82,109,66,163,16,65,76,63,152,193,108,25,62,119,46,426,56,69,35,66,203,29,6,-,86,79,17,11,15,22,109,47,8,13,55,287,"3,232"
Guinea,"1,282",585,D,8,75,4,13,3,19,33,60,4,24,D,85,-,D,27,D,8,14,D,4,4,D,3,9,80,D,3,3,8,33,D,D,5,-,4,-,-,11,-,-,3,-,D,-,D,7,-,-,7,122
Guinea-Bissau,27,4,-,D,-,-,-,-,D,7,D,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,5
Guyana,"5,165","3,734",134,11,126,9,5,10,11,19,95,D,4,-,81,4,40,52,153,9,D,D,8,3,3,D,30,-,D,7,D,7,D,D,5,D,6,13,-,D,D,D,-,3,56,18,3,5,D,-,-,14,468
Haiti,"21,360","5,195","6,875",18,220,34,103,35,23,"1,946",324,4,20,38,457,10,302,24,"1,325",29,10,12,6,9,17,23,34,44,4,25,42,157,35,29,16,29,279,211,D,D,5,9,3,7,29,-,267,63,D,-,D,148,"2,859"
Honduras,"13,794","2,101","1,449",915,849,900,219,295,429,275,307,77,89,51,124,174,234,79,160,59,29,18,192,73,61,39,129,42,113,297,32,67,89,87,121,77,93,68,6,3,25,18,44,23,19,16,68,14,6,19,12,156,"2,952"
Hong Kong,"2,075",368,37,337,63,50,31,321,27,72,28,137,92,16,20,28,-,10,9,16,7,18,18,12,24,20,13,11,3,7,-,9,D,D,D,3,4,4,D,29,3,6,-,6,9,4,4,D,D,-,D,10,179
Hungary,917,148,73,65,21,11,15,31,11,24,8,33,21,21,9,5,30,-,19,9,15,5,13,12,28,15,D,D,3,D,D,3,-,3,5,4,7,8,-,D,-,-,-,4,-,11,D,8,D,-,-,8,198
Iceland,89,8,3,14,4,D,D,D,-,D,D,D,14,D,D,-,-,D,-,-,D,-,D,3,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,3,19
India,"59,821","9,143",462,"1,941","1,949","2,154","3,692","3,079","2,340","1,272","1,902","2,562","1,642",454,"2,108",583,531,635,419,612,"1,078",960,557,288,119,411,643,398,182,562,155,139,467,273,532,247,261,171,18,24,367,119,667,324,404,277,30,244,271,31,623,479,"11,020"
Indonesia,"1,756",177,17,210,76,75,43,70,30,33,48,45,82,25,51,100,4,18,6,13,8,25,18,51,17,16,12,18,10,D,D,3,7,6,4,8,D,8,D,12,D,4,D,9,3,D,D,-,5,D,D,27,347
Iran,"10,116",321,61,"3,003",517,320,284,316,327,221,284,444,371,315,90,50,32,48,46,140,116,168,110,69,126,89,98,26,109,38,19,13,18,38,40,24,12,30,7,5,16,42,16,39,24,38,D,13,17,D,21,17,"1,524"
Iraq,"14,351",89,21,291,291,710,430,69,625,85,182,62,443,"1,391",95,51,77,123,68,527,"1,563",374,275,235,47,271,78,261,172,32,177,32,29,267,61,147,5,88,6,D,16,174,6,184,34,97,-,160,83,-,D,16,"3,828"
Ireland,"1,401",362,19,50,43,18,81,81,13,130,13,50,40,17,32,3,11,10,14,8,5,10,15,11,4,7,3,D,D,16,-,10,5,6,6,4,11,6,-,D,5,5,D,3,3,8,D,4,3,-,-,8,239
Israel,"3,706",880,170,303,83,40,98,206,67,164,69,339,139,110,77,24,32,40,32,27,16,35,23,30,59,49,16,10,4,D,4,6,3,12,9,9,7,5,3,4,7,3,5,30,12,24,-,5,10,D,10,21,372
Italy,"3,329",708,346,209,100,73,105,144,26,130,32,68,39,94,53,19,53,14,36,22,64,29,23,22,21,25,15,23,15,21,4,11,7,13,9,6,22,14,5,8,D,7,D,9,12,13,5,8,6,D,3,16,617
Jamaica,"20,347","7,018","3,370",132,494,140,145,26,90,334,845,5,39,36,516,41,276,39,750,37,67,14,30,33,26,17,248,31,43,91,13,64,20,44,36,33,328,104,9,8,35,7,-,18,528,71,114,30,26,-,-,172,"3,754"
Japan,"4,317",536,35,663,85,42,96,185,55,96,46,194,147,146,39,44,17,26,33,26,63,20,38,32,20,42,24,36,20,17,7,9,13,22,8,17,27,10,10,318,22,9,8,14,7,12,3,5,10,4,3,91,865
Jordan,"5,322",405,73,239,96,208,557,110,206,52,85,43,50,113,84,85,79,46,41,82,220,70,39,36,12,31,41,103,41,45,37,12,58,27,56,34,4,38,6,D,50,18,21,57,20,98,8,18,50,D,14,32,"1,369"
Kazakhstan,"1,378",266,62,87,52,63,52,43,18,18,25,43,58,15,27,8,8,21,7,12,D,45,6,11,4,48,9,12,4,24,3,4,D,-,7,3,8,3,-,-,7,3,D,D,D,9,7,-,-,-,-,16,251
Kenya,"7,190",204,18,73,159,134,54,52,471,242,211,28,337,84,100,31,13,810,132,90,18,39,27,41,13,58,133,340,35,15,66,12,39,39,68,165,D,24,6,3,68,27,-,97,D,15,-,96,20,7,8,73,"2,390"
Kiribati,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"Korea, North",41,4,-,10,3,-,5,-,D,-,D,-,D,D,-,-,-,-,-,3,-,-,-,D,-,D,D,-,D,-,-,-,-,D,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,2
"Korea, South","17,676","2,790",65,"3,581",805,271,562,525,560,322,635,787,603,383,292,235,57,98,34,100,278,74,147,135,98,185,230,74,51,46,8,54,42,52,92,70,36,20,29,164,61,31,21,47,34,26,5,8,17,30,8,174,"2,624"
Kosovo,886,329,-,3,12,16,50,4,23,10,16,4,17,3,9,D,11,D,D,16,41,D,D,7,D,6,7,-,-,7,8,D,-,D,D,3,13,16,-,D,D,-,-,3,7,6,-,3,5,-,-,9,203
Kuwait,"1,090",95,14,60,46,41,69,32,55,23,12,15,25,22,19,16,9,27,15,11,51,6,9,4,6,10,12,16,6,5,3,D,8,12,15,8,D,4,D,-,11,4,7,5,5,7,-,4,3,-,6,7,245
Kyrgyzstan,908,227,11,26,34,10,188,19,8,6,7,17,13,3,57,D,D,5,4,D,3,30,D,9,D,30,D,D,D,5,6,-,D,3,D,3,-,-,D,-,30,-,-,11,-,7,D,-,D,-,-,4,115
Laos,863,D,D,15,12,6,10,11,7,4,13,3,17,15,4,7,11,177,-,5,9,27,-,12,3,18,D,8,-,9,D,5,-,13,D,9,D,-,-,11,-,3,81,D,12,-,3,3,18,-,3,21,267
Latvia,356,64,14,20,5,5,23,4,8,8,6,3,13,4,7,-,8,9,D,4,4,7,3,4,4,5,5,-,-,8,D,-,D,D,-,D,3,D,D,D,-,-,-,4,-,-,-,-,5,-,-,11,79
Lebanon,"2,581",168,72,289,87,142,41,41,63,127,24,36,32,45,23,72,21,27,18,29,526,10,16,7,8,20,4,13,8,22,3,14,10,D,10,3,8,12,D,-,11,7,10,9,7,38,D,16,5,-,3,6,414
Lesotho,12,D,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Liberia,"3,101",194,6,8,170,38,38,16,64,55,129,-,12,D,558,D,8,485,D,26,12,18,9,24,6,11,88,47,-,76,29,129,35,8,11,16,3,8,6,-,5,11,-,8,9,16,4,40,5,-,D,15,639
Libya,499,21,8,15,14,17,14,6,19,14,3,8,10,7,7,3,5,7,7,8,39,4,D,28,-,12,3,10,D,-,-,D,4,3,D,5,-,-,D,-,10,D,-,4,4,D,D,3,D,-,3,3,159
Liechtenstein,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lithuania,658,73,21,31,10,6,243,11,5,12,10,11,13,6,19,D,14,D,6,D,5,3,D,10,4,3,4,-,D,3,D,-,3,-,D,D,4,D,-,3,3,D,-,D,-,3,4,4,4,-,D,4,87
Luxembourg,30,4,D,-,D,-,-,3,-,D,D,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,7
Macau,91,6,D,17,D,4,D,27,-,D,-,7,4,-,D,D,D,D,-,D,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,7
Macedonia,"1,082",321,31,15,21,10,244,6,10,14,4,D,3,D,8,-,6,D,3,8,56,-,D,D,4,4,3,5,-,-,D,D,3,D,-,5,6,D,-,-,D,D,-,7,4,7,D,D,12,-,-,21,223
Madagascar,79,7,D,D,15,-,D,-,-,D,-,-,3,D,D,D,-,-,-,-,-,-,D,-,-,-,D,-,-,D,-,-,-,9,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,3,29
Malawi,257,9,6,3,19,5,8,-,8,3,10,-,6,-,7,D,D,3,D,5,D,D,5,9,-,D,5,7,D,8,5,4,4,3,-,3,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,D,95
Malaysia,"3,051",230,5,88,52,82,149,74,187,30,124,95,54,30,23,12,6,30,6,80,14,28,18,51,4,55,46,21,49,35,22,9,189,27,11,32,4,13,-,3,4,15,D,7,4,11,-,D,201,D,4,32,781
Maldives,D,D,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mali,488,196,D,D,27,10,12,6,D,6,13,D,16,D,60,-,-,D,-,4,D,D,-,12,-,D,22,4,-,5,D,3,8,-,-,D,-,-,-,-,23,-,-,-,-,3,-,3,D,-,D,-,37
Malta,58,3,D,D,D,-,-,-,D,-,D,D,3,-,-,-,-,6,D,-,D,-,-,D,-,-,-,D,-,-,D,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,28
Marshall Islands,23,D,-,-,-,D,-,D,-,-,-,D,D,-,-,-,-,D,-,D,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,D,-,-,-,9
Mauritania,212,45,D,-,11,D,4,D,D,-,-,D,D,-,9,-,D,D,-,3,D,-,-,D,-,-,D,28,-,-,7,-,5,-,-,D,-,-,-,-,55,D,-,D,-,-,-,-,-,-,-,-,28
Mauritius,67,11,D,D,D,4,D,4,3,D,-,-,D,-,-,4,D,D,D,D,D,D,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,20
Mexico,"161,858","3,417","1,178","17,289",803,"7,740","9,030","3,863","7,874",239,"2,155","2,188","1,386","6,827",750,"6,902",695,"1,154",405,"4,536",900,"1,521","2,431","2,586","1,944","1,445",184,235,"3,265","1,072",217,73,634,487,545,910,105,125,"3,785",32,211,906,"1,825",243,46,126,249,31,599,"2,868","1,076","3,910","48,841"
"Micronesia, Federated States",19,-,-,D,D,-,-,-,D,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,6,5
Moldova,"2,206",155,53,56,46,27,317,38,35,42,58,16,198,22,28,4,22,83,56,16,13,176,3,12,28,105,9,3,D,15,-,4,10,6,9,4,6,10,-,D,7,4,-,D,-,34,4,D,7,-,-,13,446
Monaco,13,D,D,D,-,-,-,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,2
Mongolia,636,11,D,41,116,D,96,123,3,3,4,7,29,D,3,-,-,-,-,6,-,13,D,37,5,3,6,D,D,4,D,-,D,-,-,6,-,-,D,D,-,8,-,5,D,D,-,-,D,-,-,D,92
Montenegro,299,154,3,6,3,-,20,D,6,4,D,D,-,D,-,-,-,D,D,3,35,-,-,-,D,-,-,-,D,-,D,D,D,-,-,-,D,-,-,-,D,D,-,D,D,-,-,-,5,-,-,12,27
Montserrat,20,10,D,-,-,-,-,-,D,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,3
Morocco,"3,077",530,64,79,277,30,97,48,53,289,53,22,29,23,121,14,49,31,134,20,23,16,29,45,12,9,29,49,14,9,13,24,20,6,65,7,13,9,-,10,37,3,D,8,18,13,D,8,8,4,3,34,572
Mozambique,100,4,D,D,7,-,6,-,D,3,D,D,-,D,D,D,D,D,-,-,D,D,-,-,-,D,-,-,-,D,4,-,-,-,-,D,D,-,-,-,-,-,-,-,-,3,-,D,5,-,-,D,45
Namibia,75,4,-,-,-,-,D,-,-,-,3,-,3,-,D,-,-,D,D,3,D,D,-,5,D,-,D,-,D,D,-,D,8,-,-,-,-,-,-,-,D,D,-,-,3,D,-,-,D,-,-,-,28
Nauru,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D
Nepal,"11,953","1,280",35,239,909,244,277,497,908,406,223,123,228,24,128,45,9,158,11,75,49,87,190,275,18,63,469,413,37,78,126,33,31,73,102,80,19,13,5,48,102,64,4,68,46,76,3,55,20,4,6,86,"3,391"
Netherlands,998,115,27,75,36,47,32,66,7,30,15,44,30,11,10,11,20,21,6,17,9,17,3,5,4,9,7,5,6,5,-,D,3,D,4,4,8,5,-,3,D,D,D,5,5,6,4,D,3,D,-,22,225
Netherlands Antilles (former),7,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
New Caledonia,6,-,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
New Zealand,719,78,10,72,17,7,20,40,6,21,8,25,25,19,5,8,3,8,8,9,4,11,11,25,6,11,5,D,D,5,D,D,D,10,D,3,D,D,-,8,8,4,D,D,D,5,D,D,D,D,-,14,175
Nicaragua,"3,061",203,"1,057",247,131,94,28,175,40,17,53,32,14,20,25,58,22,23,39,12,5,8,19,10,38,9,12,6,14,27,5,7,20,10,3,D,16,16,7,D,8,6,D,4,D,D,18,D,5,4,4,18,462
Niger,93,14,-,D,5,D,-,-,D,-,D,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,3,-,-,D,-,-,8,-,D,-,-,-,-,D,3,-,-,-,-,-,-,-,-,-,-,-,45
Nigeria,"13,952","1,781",117,417,"1,002","1,353",655,187,822,360,957,53,103,75,321,164,72,284,97,63,163,73,138,47,53,78,661,134,82,74,30,117,367,56,106,76,20,58,28,D,86,8,24,80,27,63,D,17,45,9,25,70,"2,250"
Niue,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Norway,284,37,12,16,6,29,6,13,8,8,6,10,10,11,3,D,D,5,10,D,D,3,9,3,-,7,D,D,-,D,-,-,-,-,D,-,D,D,-,3,D,D,-,D,-,-,-,D,-,-,-,D,51
Oman,110,9,D,7,4,9,4,4,5,D,D,5,D,6,D,-,D,D,D,-,D,D,D,D,-,-,D,D,-,-,-,-,D,D,D,D,-,-,-,-,D,-,-,D,-,-,-,-,D,-,-,-,25
Pakistan,"15,802","3,523",165,459,"1,329","1,087",910,401,631,187,416,173,197,63,401,174,44,69,84,103,236,325,123,66,39,41,362,116,51,59,31,52,83,25,89,83,48,35,8,D,42,31,30,60,111,26,D,47,85,10,225,79,"2,761"
Palau,7,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D
Panama,897,168,108,27,41,26,12,13,19,11,17,5,8,7,9,12,37,D,27,3,D,3,14,7,9,5,5,D,12,5,3,D,5,3,8,D,D,11,D,D,5,7,D,D,D,D,4,6,D,D,D,14,203
Papua New Guinea,27,D,-,D,D,-,D,D,5,D,D,-,-,-,D,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,4
Paraguay,389,173,27,15,29,4,3,4,6,D,5,-,D,D,3,-,4,-,3,5,-,D,D,8,D,D,5,-,D,7,D,3,-,D,D,-,11,D,D,-,D,D,-,D,-,D,D,D,D,D,-,6,37
Peru,"9,878","2,672","1,211",522,820,132,155,327,138,121,169,72,84,64,69,106,166,44,164,44,21,52,43,97,67,23,40,32,32,73,14,30,31,31,42,24,124,32,6,9,21,107,3,32,142,15,22,11,17,5,18,78,"1,504"
Philippines,"47,258","3,301",678,"5,205","1,209",869,"1,631","2,827",462,211,255,"1,238","1,064","1,818",339,"1,209",307,360,420,427,250,645,135,156,"1,267",284,421,111,312,188,107,72,103,318,61,133,93,328,37,"2,394",730,65,153,135,45,79,37,27,40,41,433,"2,477","11,751"
Poland,"4,357","1,235",69,106,59,23,"1,397",76,24,49,22,69,69,30,72,9,34,14,12,26,58,6,12,36,10,23,15,8,13,5,8,10,11,3,5,-,59,9,D,3,6,8,D,8,97,13,D,15,13,-,D,34,468
Portugal,889,243,68,20,17,18,20,19,11,61,5,25,10,12,12,3,6,D,10,D,5,5,3,D,3,-,4,D,-,D,-,125,-,D,3,-,8,D,3,3,D,-,5,3,6,-,D,4,D,-,11,9,116
Puerto Rico,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qatar,236,27,-,4,24,10,6,3,12,3,7,3,D,7,6,6,-,4,D,7,9,D,3,D,D,D,4,5,-,D,-,-,D,D,D,5,-,-,-,-,7,-,3,-,-,-,-,D,D,-,-,-,53
Romania,"2,448",281,126,147,85,43,252,57,30,51,75,57,88,25,30,28,33,22,21,57,89,45,9,19,24,52,12,6,7,15,3,11,9,4,5,D,14,12,3,5,5,D,3,8,3,39,12,6,7,-,D,28,479
Russia,"8,621","1,554",395,676,278,199,316,420,100,277,134,440,402,140,196,40,128,87,78,64,31,251,90,98,81,175,51,27,20,114,11,21,13,13,72,21,32,28,D,17,26,20,-,24,12,40,11,17,24,D,4,67,"1,283"
Rwanda,"1,620",7,5,D,9,63,25,5,145,18,58,-,7,9,3,6,D,7,-,57,D,5,30,14,4,14,14,32,8,12,65,12,8,46,11,21,11,10,-,D,6,43,-,23,5,24,-,-,5,-,-,D,765
Saint Kitts and Nevis,250,74,25,-,8,5,-,-,D,6,8,-,D,-,-,D,8,D,9,-,-,D,-,-,-,D,D,-,-,-,-,3,-,-,-,-,D,D,-,-,-,-,-,4,7,-,-,-,-,-,-,47,35
Saint Lucia,696,287,39,D,12,42,3,-,4,8,20,-,D,-,11,D,20,3,34,3,D,-,D,-,D,-,3,-,D,4,-,D,-,D,D,D,4,6,-,-,D,-,-,-,34,-,-,D,3,-,-,49,89
