Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Austin-Round Rock-Georgetown, TX","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-Warwick, RI-MA","Cincinnati, OH-KY-IN","Indianapolis-Carmel-Anderson, IN","Kansas City, MO-KS","Raleigh-Cary, NC","Salt Lake City, UT","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Jacksonville, FL","Hartford-East Hartford-Middletown, CT","Milwaukee-Waukesha, WI","Fresno, CA","Louisville/Jefferson County, KY-IN","Saint Louis, MO-IL","Stockton, CA","Cape Coral-Fort Myers, FL","McAllen-Edinburg-Mission, TX","Cleveland-Elyria, OH","Worcester, MA-CT",Non-CBSA,Other & Unknown
Greece,"1,350",365,52,62,33,65,36,4,38,71,21,33,13,72,5,6,D,11,37,D,6,36,8,D,8,26,5,5,3,-,-,7,4,3,D,-,5,D,13,-,8,5,9,D,D,6,D,D,-,11,21,9,215
Greenland,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Grenada,554,403,3,12,11,D,12,6,-,5,11,D,-,6,D,-,4,-,-,D,-,D,-,-,-,6,-,D,3,D,D,D,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,D,-,-,-,8,47
Guam,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,"13,453","1,183","2,259",707,335,289,634,198,"1,107",517,255,103,64,134,186,297,56,130,15,81,60,54,130,53,44,69,145,61,34,20,75,355,82,52,68,24,40,8,182,4,23,25,12,15,67,11,71,71,9,12,37,224,"2,766"
Guinea,"1,579",676,7,-,16,14,86,20,4,28,92,46,D,139,-,3,3,10,10,40,4,-,3,9,12,20,D,6,3,70,3,11,3,35,4,3,-,-,D,D,4,D,-,-,17,3,-,-,-,7,D,6,155
Guinea-Bissau,51,9,-,-,-,-,D,D,-,10,7,-,-,-,-,-,-,3,-,-,-,-,-,-,-,D,-,-,-,D,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Guyana,"5,385","3,847",14,188,10,13,148,20,4,22,94,4,6,44,6,D,164,7,4,65,D,23,D,3,5,29,D,7,D,5,7,D,-,5,D,4,-,4,8,D,16,62,D,-,D,-,D,10,-,7,-,28,485
Haiti,"17,253","3,923",27,"5,967",42,77,144,17,24,"1,446",227,23,7,300,25,11,"1,205",26,9,22,4,209,14,11,10,37,15,28,4,45,18,90,11,47,28,13,5,-,194,D,133,24,9,D,30,13,D,271,-,3,54,125,"2,281"
Honduras,"15,901","2,169","1,246","1,812","1,284",270,807,559,354,269,387,114,76,152,53,176,190,111,42,84,40,217,119,83,171,158,34,293,125,47,113,53,34,96,94,116,33,D,107,D,84,20,14,29,27,29,19,88,24,16,14,186,"3,251"
Hong Kong,"2,021",339,325,33,51,33,53,29,287,45,32,137,98,19,34,28,10,12,5,9,28,D,20,10,15,7,37,4,D,7,3,7,3,3,-,D,6,-,D,19,6,D,3,-,-,7,4,-,-,3,6,13,224
Hungary,"1,070",214,68,104,14,11,20,18,27,41,12,21,24,13,18,D,18,10,D,D,5,32,20,9,13,6,D,6,7,D,4,-,4,3,D,6,D,-,14,7,14,-,8,D,-,6,D,5,-,6,D,12,233
Iceland,70,6,D,D,D,D,D,-,4,-,D,10,D,D,D,-,-,-,-,-,D,D,-,5,D,-,-,-,-,D,-,D,-,-,-,D,-,-,-,-,-,-,-,4,-,-,D,-,-,-,-,-,22
India,"54,495","8,221","1,808",476,"1,731","3,344","1,670","2,050","2,972","1,031","1,759","1,772","2,376","1,793",473,434,639,594,902,591,904,468,104,242,519,528,513,509,157,404,261,111,372,380,172,504,108,21,171,12,141,329,241,616,134,273,539,38,16,235,159,359,"10,319"
Indonesia,"1,899",160,225,25,73,39,44,44,82,40,54,78,50,76,32,116,10,37,13,28,27,11,14,33,9,10,17,9,9,13,9,4,4,5,8,5,9,D,5,6,3,D,15,D,D,8,6,D,-,4,D,26,395
Iran,"6,640",297,"1,563",62,202,168,257,245,279,174,147,237,320,74,181,46,25,77,91,30,136,25,60,48,76,78,42,33,107,33,24,9,30,8,14,20,35,7,11,3,17,19,24,12,4,43,4,-,3,34,11,10,"1,185"
Iraq,"6,514",59,124,34,337,268,190,413,36,48,57,229,19,43,393,19,30,246,897,79,142,50,32,92,108,25,72,19,169,66,78,20,13,14,63,33,66,5,6,-,48,6,50,11,77,67,4,-,-,25,35,7,"1,590"
Ireland,"1,760",464,62,35,13,75,31,38,129,133,30,63,59,32,19,13,20,19,7,16,3,13,9,10,20,13,18,11,D,4,16,7,7,7,D,12,5,D,16,D,5,4,6,-,D,D,3,3,-,D,13,17,269
Israel,"4,304","1,067",484,333,83,122,56,65,172,176,91,146,260,105,72,22,14,30,28,24,23,46,127,35,37,15,26,14,11,19,19,D,23,6,8,12,7,-,7,5,16,8,13,-,5,21,3,5,D,22,8,10,398
Italy,"3,822",816,286,495,116,113,86,38,129,126,55,71,77,78,89,16,52,32,45,15,16,51,32,13,16,29,24,11,11,15,23,12,15,18,4,11,18,D,20,16,16,15,7,3,6,13,D,5,D,13,7,28,615
Jamaica,"21,689","6,861",114,"4,056",215,181,508,108,25,257,972,47,11,641,37,38,954,58,52,35,20,306,32,25,21,259,15,76,22,30,49,66,46,33,32,32,D,9,260,9,119,492,23,D,7,43,3,105,-,51,42,206,"4,081"
Japan,"4,503",538,792,50,60,97,81,68,199,93,56,187,199,31,155,56,31,39,54,41,26,25,38,17,20,15,51,26,20,30,20,D,20,17,15,16,12,12,12,327,20,6,12,-,3,13,7,D,3,12,5,83,788
Jordan,"4,998",438,218,85,259,670,148,271,88,58,61,38,17,68,69,101,52,52,166,28,44,78,9,28,25,40,18,37,27,82,28,10,53,49,44,41,12,D,13,D,33,33,75,28,14,53,7,10,3,88,8,41,"1,077"
Kazakhstan,"1,533",248,104,83,86,76,66,18,48,27,19,58,57,33,39,13,20,11,4,7,39,21,10,25,14,12,33,48,D,7,-,4,7,4,D,8,D,D,5,D,8,-,-,-,D,4,D,3,-,8,D,13,231
Kenya,"7,052",221,79,12,176,57,146,508,46,218,211,300,16,148,67,26,289,86,17,728,45,23,28,55,28,110,70,11,34,242,34,18,72,45,142,73,35,9,3,D,13,D,41,D,91,105,8,D,D,34,107,84,"2,133"
Kiribati,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-
"Korea, North",29,5,5,-,-,-,D,D,D,-,-,D,D,D,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,5
"Korea, South","18,479","2,876","4,274",84,276,593,651,735,588,339,762,665,633,245,310,240,43,133,245,96,120,28,164,132,156,219,199,47,38,48,63,32,44,29,42,81,79,32,22,156,8,56,23,15,16,47,18,-,11,32,7,207,"2,520"
Kosovo,"1,020",373,5,12,16,68,32,25,D,12,21,6,D,4,6,5,6,14,48,5,D,17,D,7,6,3,D,7,3,-,5,4,-,D,4,4,-,-,15,D,14,7,5,-,11,18,D,D,D,12,4,11,191
Kuwait,"1,201",93,85,35,40,61,48,44,29,20,15,25,23,17,9,17,56,13,38,16,19,7,D,11,6,D,10,7,11,23,9,3,9,9,12,6,4,-,4,-,5,-,12,5,D,8,4,-,D,15,5,D,305
Kyrgyzstan,881,137,38,15,10,218,40,7,21,12,9,21,12,76,D,D,10,D,-,3,10,7,5,D,7,8,14,D,4,-,3,-,48,D,-,6,-,D,D,4,D,3,-,-,D,4,-,-,-,D,4,7,103
Laos,850,D,15,D,6,11,15,18,11,6,7,16,-,3,12,12,D,4,7,218,35,6,6,6,D,5,16,10,D,D,11,6,-,-,6,-,4,D,-,14,-,4,26,45,-,-,D,D,-,-,D,10,265
Latvia,319,38,24,16,D,9,6,7,8,10,7,9,3,6,3,D,12,D,D,3,11,3,9,4,4,-,D,D,D,-,5,D,-,D,-,D,-,-,7,-,D,-,D,-,D,D,-,D,-,3,D,7,83
Lebanon,"2,605",188,289,61,146,50,75,55,34,133,40,26,23,36,33,51,30,35,492,16,20,34,21,11,18,14,34,26,6,11,10,26,D,6,5,22,6,D,D,-,13,9,4,26,D,9,5,D,D,30,26,7,384
Lesotho,22,D,-,-,-,-,-,-,D,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,13
Liberia,"3,495",181,11,5,44,19,164,86,18,70,123,18,3,612,5,D,5,41,29,562,23,4,5,22,D,104,19,70,D,45,6,124,-,41,19,16,4,3,D,-,13,10,4,-,34,10,D,D,-,12,57,20,824
Libya,511,14,23,6,34,12,26,16,10,8,4,6,4,4,11,3,27,10,25,5,4,6,4,35,D,-,5,D,D,9,D,D,3,4,D,-,-,D,4,-,9,D,D,6,-,8,D,D,-,D,D,5,142
Liechtenstein,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Lithuania,750,79,33,46,D,256,13,4,18,16,12,11,6,32,13,D,4,D,6,D,7,12,5,12,D,5,D,D,D,D,-,4,3,D,7,-,3,D,4,D,D,D,D,-,D,4,-,5,-,D,4,8,93
Luxembourg,42,5,D,D,-,3,-,D,3,3,3,3,-,D,D,-,-,-,-,-,-,D,D,D,D,D,D,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,8
Macau,99,18,17,3,D,D,3,D,16,4,D,8,5,D,D,D,-,D,-,-,-,-,D,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,10
Madagascar,75,5,D,D,D,D,27,D,3,D,-,D,-,D,-,-,-,-,-,3,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,22
Malawi,213,9,D,D,3,7,9,18,-,D,8,D,D,4,D,D,-,6,3,D,-,D,-,5,D,D,-,3,D,D,D,-,7,4,D,D,D,-,-,-,D,3,-,-,7,3,-,-,-,-,-,D,90
Malaysia,"2,303",285,103,5,87,107,29,116,91,22,58,60,83,26,22,20,19,43,15,15,14,6,7,24,32,28,31,24,23,13,15,D,13,85,23,11,14,5,5,D,10,3,170,D,6,5,D,D,-,D,9,15,496
Maldives,8,-,-,-,-,5,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Mali,586,249,D,D,16,6,29,4,3,D,14,11,-,80,-,-,D,4,3,D,3,D,D,14,D,10,D,D,3,D,-,3,33,8,-,5,-,-,-,-,-,D,5,-,-,D,-,-,-,4,-,D,60
Malta,47,7,D,-,-,-,-,4,D,-,D,4,-,-,-,-,-,D,3,D,-,-,-,D,-,-,D,D,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,14
Marshall Islands,22,-,-,-,-,-,-,-,D,-,-,D,D,-,-,-,-,D,-,-,-,D,-,-,-,-,D,D,D,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,10
Mauritania,230,33,D,-,-,D,18,3,-,3,D,3,-,7,-,-,-,-,-,D,D,D,D,D,D,D,-,-,-,36,-,D,45,5,-,-,-,D,-,-,-,-,7,-,6,-,-,-,-,-,D,D,44
Mauritius,95,14,4,4,3,D,6,5,5,3,3,D,D,D,-,-,-,-,D,D,D,D,-,-,-,D,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,D,D,-,-,D,-,-,-,D,-,-,26
Mexico,"156,052","3,021","16,261","1,445","9,649","8,637",665,"9,555","4,025",209,"2,250","1,462","1,797",737,"5,666","6,156",411,"5,584",871,"1,295","1,372",512,"2,367","2,671","2,044",191,"1,193",870,"2,617",227,538,99,156,567,802,492,"1,200","3,595",123,44,104,45,563,"1,499",222,254,909,225,"2,764",180,34,"3,546","44,331"
"Micronesia, Federated States",21,-,D,-,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,3,10
Moldova,"1,935",164,60,89,23,381,38,13,35,54,42,155,19,30,21,7,42,20,3,16,139,19,25,23,10,7,58,19,6,3,D,D,7,-,D,19,7,-,5,-,D,D,5,-,-,D,D,3,-,15,-,20,322
Monaco,7,D,D,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Mongolia,765,19,58,D,7,175,115,3,104,D,3,33,8,-,D,4,D,D,-,4,22,3,D,40,D,D,D,D,-,3,4,-,D,5,5,D,12,-,3,8,D,-,D,D,D,4,-,-,-,-,-,11,87
Montenegro,376,201,10,10,D,36,D,3,D,6,3,D,D,3,-,D,-,D,32,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,6,-,-,-,D,-,8,38
Montserrat,24,11,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,3
Morocco,"3,721",640,95,90,57,147,276,72,65,409,75,39,16,101,23,27,193,22,31,32,11,51,18,39,30,46,21,22,11,53,12,26,37,16,9,90,5,D,20,D,27,12,9,D,16,9,3,5,D,15,13,27,650
Mozambique,77,4,-,3,D,5,D,5,D,D,5,D,-,D,-,-,D,-,D,D,-,3,-,-,D,3,-,-,-,-,D,-,D,-,D,-,D,-,-,-,D,D,D,-,D,D,-,D,-,5,-,D,20
Namibia,98,7,-,-,5,5,4,3,-,3,D,3,D,-,D,-,4,9,-,-,D,D,D,D,D,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,38
Nepal,"10,201","1,060",280,66,247,176,774,895,382,401,114,150,113,112,32,46,14,62,47,160,70,14,11,279,159,344,79,115,48,227,43,22,102,21,79,90,72,6,15,31,16,73,21,D,69,48,11,D,3,73,22,71,"2,833"
Netherlands,"1,274",173,70,55,53,40,44,24,95,54,43,45,37,24,16,15,12,21,10,14,7,9,5,15,11,6,11,11,-,4,11,5,D,6,4,5,8,D,14,4,6,-,3,D,-,3,D,D,D,7,3,21,241
Netherlands Antilles (former),21,D,-,5,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,6
New Caledonia,D,D,D,-,-,-,-,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
New Zealand,844,100,94,12,22,25,25,22,45,13,15,60,18,D,18,7,6,14,-,8,7,8,13,30,9,D,11,3,D,4,13,3,D,-,5,5,4,-,-,9,-,D,D,D,D,4,-,-,-,D,D,25,174
Nicaragua,"3,818",199,281,"1,414",155,33,135,47,208,21,45,19,30,37,16,69,49,31,5,18,17,39,42,17,24,17,9,49,19,5,8,5,5,20,10,7,7,4,5,-,24,7,13,8,7,3,11,26,5,3,6,37,547
Niger,201,34,D,D,5,D,11,D,D,D,7,D,-,9,-,-,-,D,D,-,-,-,D,-,3,3,-,D,D,6,-,-,3,22,-,-,-,-,-,-,-,-,-,-,D,D,D,-,-,-,-,-,74
Nigeria,"15,888","1,888",468,169,"1,908",682,"1,011","1,300",194,342,"1,131",98,30,387,56,164,341,109,156,297,87,65,59,72,103,637,52,77,87,155,79,92,109,362,73,78,16,33,20,7,59,30,48,21,14,63,18,D,D,53,38,100,"2,443"
North Macedonia (formerly Macedonia),"1,079",288,15,39,23,222,15,12,10,18,5,10,-,9,4,D,D,10,53,D,3,5,10,6,D,D,D,D,D,3,D,-,D,-,7,-,-,-,14,-,D,-,13,-,D,5,-,D,-,3,-,7,249
Norway,329,37,20,12,28,6,7,7,14,D,10,6,3,7,13,3,10,D,4,7,D,D,6,5,3,D,8,D,D,4,-,-,-,-,D,3,5,D,D,D,D,D,-,-,-,4,-,-,-,-,-,5,73
Oman,148,12,6,3,7,5,5,10,9,4,D,D,D,5,D,3,11,D,4,D,D,3,-,-,D,-,-,D,-,D,-,-,D,-,D,3,D,-,-,-,D,-,-,-,-,D,4,-,-,-,-,D,33
Pakistan,"13,921","2,863",321,177,"1,130",877,"1,076",649,366,169,410,235,143,404,44,143,73,47,262,93,293,34,49,48,136,304,38,62,68,71,29,74,28,48,67,38,34,D,60,3,20,108,73,14,25,43,208,D,5,31,24,54,"2,346"
Palau,14,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,3,4
Panama,"1,059",171,31,143,42,19,53,39,11,11,27,5,7,8,8,9,54,11,D,6,4,18,3,4,13,9,D,6,19,-,5,3,D,D,4,D,D,-,4,4,7,D,D,-,3,5,D,6,-,3,D,11,257
Papua New Guinea,24,-,-,D,-,-,-,4,D,-,-,-,-,-,D,-,-,-,-,D,D,D,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,9
Paraguay,452,166,13,59,11,3,29,4,D,6,8,5,D,D,D,4,9,3,D,D,-,4,D,D,5,3,-,D,-,-,D,-,D,-,D,-,3,D,12,D,3,-,-,-,D,-,-,D,-,-,-,3,77
Peru,"10,049","2,346",590,"1,458",217,146,756,181,347,143,198,86,74,75,43,109,231,50,19,36,38,111,73,90,41,47,34,80,44,14,37,19,43,34,14,28,131,13,105,6,28,138,29,3,7,19,12,50,7,19,19,84,"1,527"
Philippines,"45,920","3,194","5,296",615,961,"1,499",978,601,"2,790",216,271,980,"1,092",423,"1,590","1,179",410,663,248,347,663,293,"1,378",191,169,361,290,329,229,77,380,79,950,93,111,87,86,43,75,"1,759",291,48,59,109,87,147,470,56,39,75,28,"2,264","11,251"
Poland,"4,700","1,213",149,111,30,"1,543",58,20,92,60,56,83,75,85,32,4,13,43,51,11,20,54,18,18,23,14,10,16,4,5,4,8,5,3,7,10,3,D,53,8,7,91,15,D,D,4,3,D,-,8,10,34,509
Portugal,940,238,28,76,15,9,21,10,24,80,17,10,12,16,9,D,9,D,8,3,3,9,4,D,8,D,4,9,D,-,-,102,D,3,-,4,D,D,8,-,D,10,D,-,-,3,D,3,-,-,D,5,161
Puerto Rico,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Qatar,287,22,20,11,16,11,11,23,11,3,D,5,D,5,7,9,14,6,7,D,3,D,-,3,D,D,D,3,-,-,D,-,6,D,D,7,D,-,-,-,6,D,-,-,D,5,D,-,-,D,D,D,50
Republic of Nauru,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Romania,"2,616",269,151,173,58,256,71,42,58,65,105,101,48,36,24,25,17,75,106,3,45,26,36,19,10,11,51,17,12,4,11,5,6,6,6,7,D,3,17,11,13,7,7,D,D,8,D,10,-,33,4,26,516
Russia,"9,822","1,736",919,528,209,395,332,99,449,299,148,403,457,232,165,53,107,55,70,79,194,102,75,113,98,61,239,88,21,24,18,11,26,15,25,93,22,3,43,22,34,20,22,3,12,29,4,13,3,35,16,78,"1,525"
Rwanda,"1,509",9,6,-,43,20,16,161,3,11,25,8,4,D,6,8,D,76,-,16,7,3,14,18,32,7,10,8,18,6,33,-,10,20,18,12,77,D,4,-,15,8,14,D,72,8,-,D,-,10,11,D,653
Saint Kitts and Nevis,238,66,-,28,3,D,13,5,-,4,9,D,-,4,-,-,11,-,D,-,-,D,D,-,D,3,-,-,D,-,3,-,-,-,-,D,-,D,-,-,4,-,-,-,-,-,-,-,-,-,-,48,26
Saint Lucia,726,340,5,40,42,3,12,7,D,10,13,D,-,13,-,3,26,D,D,-,D,16,-,D,-,5,3,-,D,D,D,-,D,-,-,-,-,D,5,D,D,25,-,-,-,-,-,D,-,-,4,50,84
Saint Vincent and the Grenadines,403,256,D,27,D,D,5,4,D,4,5,D,-,21,3,D,9,-,-,D,-,-,-,-,D,-,-,D,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,11,39
Samoa,195,-,21,-,-,-,-,-,6,D,-,21,D,-,D,16,D,3,D,-,4,-,8,D,-,-,7,-,-,D,-,-,-,-,D,-,21,-,-,26,D,-,-,-,-,-,D,-,-,-,-,D,49
Sao Tome and Principe,12,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Saudi Arabia,"2,514",193,122,55,128,164,159,133,80,42,33,45,22,53,34,18,59,28,102,38,23,14,12,34,17,16,27,27,15,48,18,9,37,24,8,25,13,D,3,D,13,6,16,7,13,6,7,D,-,20,7,7,529
Senegal,"1,665",484,16,6,22,33,93,26,15,27,82,24,D,39,8,5,4,9,38,6,3,7,7,20,D,33,4,14,3,113,7,49,91,11,6,15,-,-,3,D,D,-,6,-,31,11,D,-,-,6,6,7,268
Serbia,"1,532",237,71,119,12,309,71,25,34,28,10,26,22,15,36,4,8,47,20,5,5,22,26,12,5,6,D,9,D,5,D,D,-,D,3,5,3,-,5,D,11,D,9,D,D,12,-,3,-,10,-,23,248
Serbia and Montenegro (former),139,41,7,7,-,21,7,D,5,3,D,D,4,3,D,D,D,D,6,-,D,D,3,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,16
Seychelles,6,D,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Sierra Leone,"1,443",185,23,5,32,9,395,38,9,36,62,28,10,135,D,4,D,23,4,46,11,D,5,5,5,37,3,12,6,86,5,7,D,4,D,8,D,-,D,-,D,5,-,-,-,D,4,-,-,-,D,4,180
Singapore,818,137,61,5,31,27,15,13,90,25,16,47,59,10,11,7,5,13,8,7,6,D,5,8,9,6,11,D,D,D,-,5,11,-,-,D,3,D,7,3,D,4,D,D,D,3,-,-,-,D,D,D,131
Sint Maarten,37,4,-,3,D,-,-,-,-,3,D,-,-,D,-,-,5,-,-,-,-,D,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,D,9
Slovakia,422,85,22,27,5,36,13,4,7,8,3,11,8,9,5,-,D,D,D,3,D,8,6,3,3,D,-,6,D,D,D,-,-,-,D,D,D,-,8,6,D,D,8,-,-,-,-,D,-,3,-,7,95
Slovenia,119,22,4,8,D,6,D,D,20,4,-,-,D,-,D,D,D,3,D,D,D,-,D,D,-,D,-,D,-,-,-,D,-,-,D,D,D,-,D,-,D,-,-,-,D,-,-,-,-,-,4,D,20
Solomon Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-
Somalia,"3,752",D,D,D,11,24,18,80,D,32,30,191,6,D,49,-,-,53,D,742,-,-,-,43,5,D,57,5,8,336,42,6,23,35,87,9,46,-,-,-,D,3,64,-,122,42,-,-,-,28,6,60,"1,480"
South Africa,"3,174",255,148,149,121,103,113,86,89,49,128,124,27,56,54,9,37,37,20,70,17,33,17,56,50,20,21,50,13,20,18,8,11,12,57,33,26,D,45,9,10,15,3,8,9,18,6,10,D,12,6,75,807
South Sudan,191,D,-,-,5,5,7,12,-,D,D,3,-,D,D,-,-,10,-,3,-,-,-,D,6,D,3,D,-,-,7,-,-,-,D,-,7,-,D,-,D,-,-,-,3,-,-,-,-,-,-,D,106
Soviet Union (former),"1,227",252,121,89,25,57,41,8,80,37,12,23,46,32,26,4,11,7,10,10,23,16,13,17,5,6,17,D,3,D,-,D,7,-,D,D,6,-,12,4,6,D,-,D,D,3,-,D,-,D,3,9,172
Spain,"3,115",459,186,596,112,89,88,70,138,97,51,66,73,50,46,22,37,24,35,24,7,29,24,39,31,12,21,13,13,5,4,11,9,6,4,14,12,3,19,4,21,6,8,-,8,4,-,21,4,7,3,15,475
Sri Lanka,"1,689",328,190,7,49,45,113,65,36,33,21,36,37,30,9,21,11,14,37,17,4,17,16,22,18,17,24,3,3,16,D,7,13,4,D,13,9,-,10,D,D,10,6,D,8,9,5,D,-,D,5,13,327
Sudan,"2,949",132,58,18,61,83,254,150,48,33,25,52,6,78,5,7,8,67,20,43,17,25,11,74,30,39,8,23,8,44,21,6,D,44,59,17,31,-,-,-,20,21,9,-,25,24,D,4,-,6,5,24,"1,202"
Suriname,172,86,D,22,D,D,4,D,3,3,D,D,-,3,-,D,6,-,-,-,-,D,-,-,D,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,28
