Supplemental Table 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY LEADING CORE BASED STATISTICAL AREAS (CBSA) OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","San Francisco-Oakland-Berkeley, CA","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Denver-Aurora-Lakewood, CO","Austin-Round Rock-Georgetown, TX","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Providence-Warwick, RI-MA","Cincinnati, OH-KY-IN","Indianapolis-Carmel-Anderson, IN","Kansas City, MO-KS","Raleigh-Cary, NC","Salt Lake City, UT","El Paso, TX","Bridgeport-Stamford-Norwalk, CT","Urban Honolulu, HI","Jacksonville, FL","Hartford-East Hartford-Middletown, CT","Milwaukee-Waukesha, WI","Fresno, CA","Louisville/Jefferson County, KY-IN","Saint Louis, MO-IL","Stockton, CA","Cape Coral-Fort Myers, FL","McAllen-Edinburg-Mission, TX","Cleveland-Elyria, OH","Worcester, MA-CT",Non-CBSA,Other & Unknown
Algeria,"2,299",387,30,20,84,177,70,55,176,97,25,18,15,267,11,5,10,11,8,7,24,15,4,56,23,14,D,4,32,150,D,3,3,44,91,21,D,D,-,D,D,14,3,5,18,7,3,D,-,10,3,19,252
Andorra,7,D,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Angola,226,14,D,9,39,-,14,10,D,35,9,5,-,6,D,-,3,-,D,-,-,3,3,D,D,D,-,3,-,D,-,16,D,D,-,D,D,-,D,-,-,-,D,-,-,-,-,D,-,-,-,D,38
Anguilla,14,3,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,D
Antigua and Barbuda,323,140,-,26,6,D,5,D,-,3,14,-,-,5,-,-,21,-,D,8,-,6,-,D,-,6,-,D,-,-,-,-,-,D,-,-,-,-,5,D,-,D,-,-,3,-,-,-,-,D,-,16,48
Argentina,"3,925",468,205,"1,216",181,65,142,105,75,39,73,46,27,41,44,38,96,20,24,30,15,42,32,13,14,11,16,25,11,13,7,5,3,8,8,20,44,6,30,D,7,6,6,3,4,10,3,14,D,5,D,26,577
Armenia,"3,101",120,"2,298",15,6,20,28,8,44,67,D,17,19,16,12,8,6,7,9,D,68,8,65,11,-,4,8,3,D,7,-,5,9,4,5,D,13,-,D,D,D,D,D,40,-,D,-,4,-,5,4,3,120
Aruba,52,8,D,11,4,-,3,-,-,-,D,D,-,D,-,-,4,-,-,-,D,D,-,D,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,10
Australia,"3,205",468,422,53,95,80,70,64,203,67,58,178,64,52,58,25,17,35,57,15,26,15,42,48,47,16,31,19,9,12,30,6,15,18,7,18,24,D,18,16,12,5,7,4,6,11,3,3,D,11,D,37,603
Austria,437,66,57,14,5,10,18,8,20,19,10,7,8,7,8,8,5,5,6,4,4,D,5,5,9,6,4,D,D,-,-,3,-,D,D,D,D,-,D,D,-,-,D,-,D,D,-,7,D,4,-,7,80
Azerbaijan,"1,169",261,132,21,85,41,129,8,33,79,9,17,19,30,18,7,9,D,D,13,9,D,-,9,7,8,11,5,D,6,4,8,-,D,5,7,4,-,7,-,D,4,D,-,D,9,D,4,-,D,6,6,125
Bahamas,922,40,D,372,17,10,12,19,D,9,60,3,D,5,D,-,65,D,3,D,-,30,5,D,D,4,D,3,D,6,4,-,D,6,3,8,D,-,D,D,8,D,D,-,-,-,-,10,-,D,D,D,192
Bahrain,183,15,5,4,8,16,7,11,5,3,D,D,5,7,D,D,6,-,6,3,-,D,-,-,-,3,D,D,-,3,-,-,-,-,D,D,-,-,-,-,D,D,D,-,-,-,-,-,-,D,-,D,59
Bangladesh,"15,176","7,621",509,357,212,158,766,367,48,253,417,83,84,434,46,55,80,68,"1,185",50,49,62,11,33,91,114,51,14,25,42,21,13,17,52,15,68,7,6,111,10,14,71,4,7,D,12,D,8,-,9,9,46,"1,388"
Barbados,338,164,D,18,4,6,18,D,D,17,6,D,-,12,-,D,14,3,-,D,-,3,-,-,D,D,-,D,-,D,-,-,-,-,-,-,-,-,-,D,-,6,D,-,-,-,-,D,-,D,-,D,50
Belarus,"2,263",457,121,110,25,143,48,32,86,62,34,94,91,176,32,D,21,11,11,38,58,13,16,37,11,12,24,51,3,17,12,3,3,-,3,18,D,-,14,D,3,6,9,-,D,11,D,6,D,7,D,11,312
Belgium,714,113,47,48,21,16,30,17,28,27,23,14,29,19,18,11,8,5,6,11,D,4,D,9,4,6,5,8,D,D,D,3,5,D,D,4,3,-,D,3,-,-,5,D,D,D,-,5,-,4,-,6,131
Belize,806,108,195,19,66,84,18,26,14,9,9,5,-,8,4,20,13,9,D,3,-,4,15,3,D,D,D,-,3,D,4,-,D,D,D,D,D,-,-,D,3,-,D,D,-,D,-,5,-,3,-,8,127
Benin,619,73,D,D,16,36,72,13,3,D,9,13,-,30,D,D,D,5,D,12,-,D,3,12,D,12,-,4,-,11,5,D,4,23,-,6,-,D,6,-,3,D,-,-,D,5,-,-,-,D,-,-,218
Bermuda,84,8,-,8,D,D,-,D,-,4,10,D,-,D,-,D,8,D,-,D,-,D,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,26
Bhutan,"1,441",32,5,-,6,22,D,53,3,D,46,5,-,14,D,-,-,D,-,28,-,-,D,35,4,8,12,31,7,126,29,-,60,-,19,-,8,-,-,D,-,5,-,-,22,20,-,-,-,47,9,-,777
Bolivia,"1,525",161,68,179,60,22,521,20,15,24,6,8,D,6,6,9,12,9,4,4,7,12,D,9,7,9,4,4,D,-,D,35,D,4,11,4,11,D,7,-,5,5,D,-,D,5,D,15,D,D,4,15,201
Bosnia and Herzegovina,637,49,7,13,20,80,9,21,17,12,20,11,6,-,6,D,D,26,23,3,4,15,12,6,D,3,8,4,D,-,D,-,D,-,4,D,5,D,-,D,10,D,9,-,8,24,-,-,-,5,-,D,178
Botswana,61,4,-,D,D,3,5,D,3,3,3,D,-,D,-,-,3,D,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,24
Brazil,"19,825","2,175",652,"3,311",453,331,388,408,473,"1,604",698,272,167,330,322,51,"1,403",113,326,112,48,229,122,111,164,92,143,135,59,63,51,170,33,50,66,102,140,12,283,42,119,74,44,9,15,94,3,100,6,27,269,121,"3,240"
Brunei,23,3,D,-,4,D,D,-,D,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Bulgaria,"1,759",152,88,73,38,354,44,17,38,49,44,50,22,26,19,5,12,20,11,6,6,33,78,28,8,22,4,10,D,D,5,5,6,12,4,8,6,D,D,D,D,3,3,-,3,14,-,-,-,8,3,33,378
Burkina Faso,646,242,7,-,36,7,40,8,5,7,19,22,-,33,3,4,-,3,-,5,D,D,-,8,3,10,D,-,4,5,4,D,25,D,3,-,4,D,-,-,D,D,9,-,8,D,-,-,-,10,D,D,96
Burma,"5,024",244,224,28,82,138,56,260,276,27,164,51,13,34,14,19,4,57,5,206,22,4,11,71,27,101,43,67,43,18,46,D,22,369,100,20,45,-,-,5,64,7,289,D,20,3,8,D,-,11,6,33,"1,663"
Burundi,781,4,D,D,23,7,16,46,D,12,6,7,-,3,10,-,-,33,D,16,-,7,D,13,9,4,3,7,7,6,8,D,9,5,11,D,11,-,D,-,D,5,-,-,22,-,-,-,-,14,9,5,430
Cabo Verde,"1,852",14,-,4,-,-,D,-,-,"1,251",D,-,-,-,-,D,3,-,D,-,D,-,-,D,-,D,-,-,-,-,-,486,-,-,-,-,D,-,12,-,-,-,-,-,-,-,-,-,-,-,6,-,66
Cambodia,"2,748",36,360,10,81,39,79,69,61,312,88,173,51,102,41,82,3,25,6,110,22,16,24,11,21,13,38,8,12,15,9,56,13,7,3,D,16,D,16,8,30,9,-,24,10,D,41,-,-,8,8,38,539
Cameroon,"4,369",121,95,15,240,99,"1,138",282,37,106,190,33,18,97,13,36,11,37,37,171,3,12,16,26,56,212,6,35,21,106,5,5,56,16,26,11,8,3,4,5,12,3,5,D,14,10,D,D,D,15,32,29,835
Canada,"11,388","1,122",752,461,436,298,190,281,495,268,162,544,259,136,184,138,127,302,335,148,65,124,119,123,88,90,113,91,49,36,69,32,43,31,34,62,42,10,36,43,41,23,31,20,21,47,23,29,8,65,24,234,"2,884"
Cayman Islands,53,3,-,9,3,-,D,D,-,D,3,D,-,3,-,D,3,-,-,-,-,3,-,-,-,-,-,D,-,-,-,D,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,16
Central African Republic,231,10,3,-,D,14,14,31,-,D,14,-,-,3,-,-,D,9,-,D,-,6,D,6,-,4,-,-,D,D,-,-,6,5,D,D,5,-,-,-,D,D,-,-,-,-,-,-,-,-,19,D,66
Chad,224,23,-,-,6,5,14,10,D,-,4,-,-,-,-,-,-,D,-,-,-,4,3,5,-,8,-,-,-,12,-,-,-,D,11,D,5,-,-,-,3,D,-,-,10,-,-,-,-,5,10,-,80
Chile,"1,762",240,82,331,55,28,70,41,47,27,21,81,25,19,18,16,43,14,4,19,9,24,6,13,10,11,14,7,4,3,4,4,-,-,7,11,27,D,9,D,19,D,6,D,D,6,D,3,D,6,-,21,347
"China, People's Republic","62,248","13,570","9,136",783,"1,519","1,828","1,560",949,"5,954","1,946",849,"2,110","3,057","1,231",786,"1,368",266,396,435,407,661,201,596,342,283,320,532,147,88,205,119,128,184,141,149,274,133,16,122,537,90,136,150,93,50,213,88,32,4,184,117,364,"7,399"
Christmas Island,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colombia,"19,841","4,173",507,"4,798",848,355,425,306,139,528,575,112,52,234,106,117,875,108,38,84,44,572,112,100,108,70,53,174,87,30,66,89,27,43,37,67,59,27,166,18,111,79,27,6,23,37,4,117,26,19,42,112,"2,909"
Comoros,10,D,-,-,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,D,-,D,D
"Congo, Democratic Republic","8,999",60,31,9,198,119,140,802,10,71,228,136,5,54,78,D,8,284,6,55,10,84,25,146,47,75,41,168,95,98,192,13,276,122,181,92,126,D,17,-,52,14,52,D,289,89,D,-,-,103,19,153,"4,119"
"Congo, Republic",476,37,4,-,26,9,34,22,3,D,22,3,D,3,-,-,-,6,D,8,3,D,-,22,5,3,-,8,D,6,D,-,12,D,8,11,-,-,-,-,D,13,-,-,9,3,-,-,-,3,D,4,175
Cook Islands,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,"2,348",524,81,241,78,29,69,67,30,25,67,20,16,55,20,21,67,35,6,19,24,38,15,12,17,13,18,52,9,3,13,5,3,5,6,14,8,-,31,3,15,4,7,D,5,7,D,13,4,D,8,33,489
Cote d'Ivoire,"1,589",353,11,5,58,13,164,99,15,23,105,37,3,78,7,4,D,6,20,35,7,6,D,18,D,27,3,21,D,5,5,16,22,8,D,10,9,D,5,D,4,3,6,-,8,4,-,-,-,33,4,8,310
Croatia,360,77,22,27,10,34,8,D,7,5,5,14,8,4,D,3,3,4,8,D,-,D,4,3,D,D,-,D,D,D,-,D,D,D,D,D,D,-,3,D,D,-,D,D,-,3,-,-,-,5,-,3,69
Cuba,"41,641",611,157,"23,781","3,395",107,54,608,43,36,215,26,9,41,34,33,704,425,19,18,3,"2,393","1,288",43,405,15,59,71,128,12,132,3,8,29,54,32,29,20,8,D,236,9,12,D,682,16,D,"1,206",23,5,11,132,"4,257"
Curacao,53,8,-,13,6,3,-,-,-,3,D,D,-,4,D,-,D,-,-,-,-,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
Cyprus,111,34,11,5,3,D,5,D,D,5,3,3,D,-,-,3,-,D,-,-,-,-,D,-,D,D,-,D,-,D,-,-,D,-,-,-,-,-,D,-,D,-,-,D,-,-,-,-,-,-,-,-,20
Czechia,714,63,48,34,8,80,19,7,31,8,35,22,13,13,7,3,7,9,5,5,5,18,6,13,4,3,12,3,-,-,-,D,-,D,D,6,5,4,3,3,5,D,7,-,-,-,5,4,-,D,-,5,180
Denmark,416,58,48,13,11,9,11,3,39,15,7,17,17,D,11,D,9,4,7,4,-,4,4,5,D,3,4,D,-,D,D,3,D,5,-,4,D,-,5,-,D,D,8,-,-,-,-,-,-,-,-,5,70
Djibouti,151,D,-,-,D,D,3,D,D,7,D,3,-,-,-,3,-,D,D,21,-,-,-,D,D,3,-,3,-,-,7,D,-,-,D,-,-,-,-,-,-,-,D,D,D,-,-,-,-,-,-,-,84
Dominica,511,151,D,37,29,5,13,7,D,10,25,D,-,10,-,D,12,-,-,3,-,25,D,D,-,D,-,D,D,-,-,6,-,-,-,D,-,-,6,-,4,D,-,-,-,D,D,D,-,-,D,91,59
Dominican Republic,"49,911","27,399",76,"2,362",208,170,471,120,26,"4,053",389,37,4,"1,448",27,29,965,75,52,43,12,425,64,17,16,129,11,228,34,137,27,"1,182",70,67,25,113,28,4,379,D,78,196,52,D,6,18,4,69,8,67,300,425,"7,761"
Ecuador,"11,083","5,886",233,934,188,350,149,59,30,102,93,22,13,144,21,42,193,30,9,323,D,100,45,11,23,43,19,103,20,11,15,32,10,11,10,43,37,D,309,3,23,60,6,D,9,18,4,33,3,9,35,31,"1,181"
Egypt,"9,479","2,448",755,94,268,179,411,381,138,195,84,151,83,246,58,192,133,47,154,131,44,184,21,19,32,85,42,55,15,62,718,51,30,57,21,50,17,7,20,12,35,15,32,16,18,22,10,D,D,62,78,66,"1,430"
El Salvador,"27,656","3,444","5,146",571,"2,107",191,"3,596","1,353","1,569",824,495,150,197,105,68,537,67,146,47,157,114,91,432,167,130,368,74,277,81,71,138,87,31,98,91,123,86,9,44,7,15,24,21,140,25,10,75,29,12,27,71,201,"3,717"
Equatorial Guinea,30,-,-,-,8,-,D,D,D,D,5,-,-,D,-,D,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
Eritrea,"2,385",16,47,7,77,59,199,171,245,26,95,265,46,18,11,D,3,30,3,68,11,10,58,79,29,24,25,73,11,54,16,6,5,38,15,13,15,D,6,-,25,-,7,-,10,19,D,-,-,3,4,4,435
Estonia,193,29,10,6,4,4,9,4,18,4,-,10,6,5,D,D,5,D,-,D,D,3,3,-,D,4,-,-,-,D,D,3,D,-,-,-,-,-,D,D,D,-,-,-,-,-,-,-,D,-,D,D,44
Eswatini (formerly Swaziland),32,D,-,-,-,D,6,-,-,D,D,D,-,D,D,-,-,-,-,3,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,8
Ethiopia,"9,060",109,189,17,180,137,"1,759",445,204,163,511,691,115,87,95,18,10,80,7,846,37,24,305,386,57,145,125,58,29,221,86,8,47,81,131,43,31,-,8,D,51,D,7,5,27,32,7,4,-,17,4,37,"1,379"
Falkland Islands,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
Fiji,734,9,37,3,D,D,D,3,147,-,D,68,15,-,3,10,D,D,D,3,223,-,5,D,-,4,30,-,-,-,-,D,D,-,-,-,D,-,-,9,-,-,-,D,-,D,30,-,-,-,-,7,109
Finland,497,35,31,17,12,14,17,17,11,5,7,122,37,6,9,D,D,D,4,5,D,D,D,8,D,D,8,D,D,3,D,3,D,-,3,D,5,D,4,-,-,D,4,-,-,D,-,D,-,-,3,3,80
France,"4,787","1,034",444,383,140,130,167,77,392,179,66,107,137,55,78,22,40,34,45,23,25,41,50,38,59,34,51,15,10,12,18,14,15,10,5,20,26,D,14,6,12,7,15,3,D,10,6,8,D,6,14,26,659
French Polynesia,25,-,4,-,-,D,D,-,D,-,D,-,-,-,D,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,5,-,-,-,-,-,-,-,-,-,-,-,D,5
Gabon,148,10,D,-,30,D,31,5,-,-,6,-,-,3,-,D,-,-,3,D,-,-,-,D,D,6,-,D,D,D,-,-,D,D,D,D,D,-,-,-,-,D,-,-,3,D,-,-,-,-,-,D,27
Gambia,"1,378",338,10,8,6,7,44,41,4,15,130,136,-,12,4,D,6,4,20,52,D,3,4,3,D,28,13,9,D,60,8,27,9,4,8,22,3,-,3,D,-,6,4,-,29,D,D,D,-,3,3,18,260
Georgia,"1,691","1,017",105,17,-,45,37,16,14,16,24,10,14,140,11,D,7,D,D,4,9,11,9,10,D,17,5,3,3,4,-,3,8,-,3,-,D,-,17,-,D,3,D,-,D,D,-,-,-,4,-,-,92
Germany,"4,848",534,332,207,120,147,142,94,229,109,130,96,189,63,93,26,40,70,129,30,36,45,43,57,47,30,62,48,27,11,18,13,22,24,14,17,18,21,40,18,23,11,18,6,9,21,D,38,D,14,9,61,"1,242"
Ghana,"8,526","2,200",78,40,117,293,"1,002",263,33,151,384,58,4,269,23,51,70,44,35,123,14,30,15,132,28,177,15,55,25,434,60,43,121,16,41,33,10,16,20,5,21,169,11,7,11,20,6,3,3,23,340,37,"1,347"
Gibraltar,D,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D
