NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"Cincinnati, OH-KY-IN",11.0,,8.0,,,,7.0,7.0,,19.0,,6.0,,,5.0,,6.0,4.0,,6.0,,67.0,5.0,11.0,,33.0,,12.0,16.0,27.0,4.0,,38.0,59.0,56.0,,3.0,,4.0,188.0,20.0,75.0,,7.0,,9.0,,,,3.0,,,63.0,7.0,37.0,14.0,,13.0,3.0,78.0,,,,4.0,11.0,12.0,21.0,98.0,,,64.0,6.0,,,6.0,12.0,,,,316.0,5.0,25.0,18.0,9.0,13.0,18.0,38.0,23.0,69.0,8.0,16.0,,,146.0,8.0,15.0,,,19.0,,8.0,4.0,4.0,,,4.0,,,10.0,29.0,,,59.0,,170.0,19.0,,4.0,,,45.0,,,77.0,10.0,7.0,8.0,4.0,62.0,,62.0,,4.0,,41.0,750.0,14.0,,,7.0,40.0,9.0,,,3.0,,16.0,65.0,,,,3.0,,,,20.0,12.0,,13.0,6.0,6.0,,,,4.0,15.0,18.0,4.0,3.0,15.0,13.0,,4.0,,9.0,,,8.0,21.0,18.0,71.0,,,60.0,18.0,104.0,,4.0,,12.0,3907.0
"Hartford-West Hartford-East Hartford, CT",17.0,102.0,14.0,,,6.0,7.0,3.0,,4.0,,,,,94.0,3.0,12.0,,,,,,11.0,7.0,,51.0,,4.0,,33.0,,,3.0,3.0,40.0,,,,5.0,142.0,85.0,3.0,,,,21.0,,,,4.0,,3.0,243.0,55.0,24.0,23.0,,,,16.0,,,,,3.0,,23.0,108.0,11.0,,19.0,,,55.0,50.0,29.0,,,,406.0,5.0,28.0,39.0,11.0,8.0,20.0,618.0,5.0,26.0,,8.0,,,39.0,,,4.0,,3.0,,9.0,,3.0,,,,,,8.0,,,,,3.0,56.0,7.0,,,,,16.0,,,82.0,4.0,5.0,5.0,,25.0,,146.0,,,4.0,120.0,58.0,149.0,7.0,4.0,10.0,26.0,,4.0,31.0,,,11.0,3.0,4.0,,,3.0,,,,3.0,5.0,,9.0,19.0,30.0,,,3.0,,23.0,9.0,,,30.0,37.0,,14.0,,14.0,,,4.0,69.0,6.0,37.0,,4.0,10.0,12.0,112.0,,41.0,3.0,,3853.0
"Stockton-Lodi, CA",172.0,,,,,,3.0,,,,,,,,3.0,,3.0,,,,,,3.0,,,14.0,,,,9.0,,,39.0,5.0,22.0,,,,,104.0,6.0,,,,,,,,,,,,,,3.0,34.0,,,,5.0,25.0,,,,,,11.0,,,,43.0,,,,,14.0,5.0,,,638.0,,8.0,7.0,,,3.0,,,5.0,,5.0,,,14.0,,,5.0,,,,6.0,,,,,,,,,,,,,,1108.0,,,,,,3.0,,,11.0,,,10.0,,30.0,,313.0,,,,14.0,508.0,,3.0,,,8.0,,,,,,6.0,,,,3.0,,,,,,3.0,,,6.0,6.0,,,3.0,,8.0,,,,5.0,,,,,,,,,,4.0,12.0,,,,,198.0,,61.0,,,3537.0
"Fresno, CA",4.0,3.0,3.0,,,,,41.0,,4.0,,,,,,,,,,,,,,,,8.0,,,,,,,22.0,,17.0,,,,,79.0,9.0,,,,,,,,,,,,,,6.0,142.0,,,,18.0,,,,,,3.0,10.0,,,,14.0,,,,7.0,28.0,5.0,,,742.0,3.0,46.0,7.0,,,,4.0,8.0,12.0,,,,,9.0,5.0,,42.0,,11.0,,,,,,,,,,4.0,,,,,,1637.0,,,,,,,,,,,,,,17.0,,22.0,,,,6.0,159.0,4.0,,,,8.0,,,,,,9.0,,,,,,,,,,,,3.0,5.0,,,,,,9.0,16.0,,,14.0,,,,,4.0,,,,13.0,,17.0,,,,,68.0,,189.0,,,3516.0
"Worcester, MA-CT",3.0,183.0,3.0,,,,10.0,5.0,,8.0,,,,,10.0,3.0,4.0,,,,,73.0,,,,212.0,,6.0,,4.0,,4.0,3.0,50.0,26.0,,12.0,,9.0,140.0,45.0,57.0,,4.0,,18.0,,,5.0,,,,336.0,38.0,89.0,79.0,,,,11.0,,,,,,,13.0,281.0,18.0,,55.0,,,,58.0,17.0,,,,276.0,,28.0,120.0,9.0,7.0,10.0,62.0,5.0,,,125.0,,,34.0,9.0,,5.0,,20.0,,44.0,,,,,7.0,,,,,,,,,54.0,,,,,,13.0,,,63.0,6.0,,3.0,,23.0,,61.0,,3.0,,17.0,49.0,21.0,3.0,,6.0,27.0,14.0,,3.0,,,4.0,3.0,3.0,,,,,,,23.0,11.0,,18.0,3.0,,,,3.0,,20.0,,,3.0,18.0,6.0,,6.0,,8.0,,,24.0,13.0,,35.0,,33.0,3.0,22.0,198.0,,,8.0,7.0,3491.0
"Cleveland-Elyria, OH",41.0,92.0,6.0,,,,4.0,4.0,,8.0,,4.0,,,56.0,,16.0,6.0,,,,116.0,,9.0,,22.0,,11.0,10.0,22.0,,,15.0,6.0,46.0,,,,,248.0,13.0,37.0,9.0,6.0,6.0,14.0,,,,,,,72.0,5.0,78.0,12.0,,7.0,,23.0,,3.0,,,,7.0,21.0,17.0,13.0,,20.0,3.0,,13.0,3.0,,3.0,,,256.0,8.0,47.0,152.0,10.0,25.0,7.0,61.0,7.0,92.0,8.0,14.0,,,34.0,18.0,4.0,,,27.0,,14.0,,,,,6.0,,,7.0,,,,,,149.0,21.0,,,,,15.0,,3.0,119.0,6.0,3.0,,,61.0,,47.0,,,,24.0,103.0,18.0,,7.0,39.0,54.0,4.0,,,,,16.0,3.0,17.0,,,,,3.0,3.0,7.0,12.0,,9.0,8.0,25.0,,,4.0,,88.0,6.0,,4.0,14.0,,,4.0,,21.0,,,8.0,174.0,9.0,31.0,,7.0,21.0,18.0,67.0,,7.0,4.0,,3187.0
"Bakersfield, CA",,,,,,,8.0,3.0,,,,,,,9.0,,,,,,,,,,,7.0,,,,13.0,,,7.0,5.0,19.0,,,,,59.0,7.0,,,3.0,,4.0,,,,,,,3.0,8.0,36.0,87.0,,,,,,,,,,,7.0,5.0,4.0,,28.0,,,,,13.0,,,,487.0,11.0,9.0,,,,,4.0,5.0,14.0,,3.0,,,13.0,,,,,3.0,,,,,,,,,,3.0,,,,,,1647.0,4.0,,,,,,,,4.0,,,,,13.0,,42.0,,,,21.0,329.0,,,,3.0,5.0,,,,,,3.0,,,,,,,,,,8.0,,,,,,,,,20.0,6.0,,,8.0,,,,,,,,,4.0,,8.0,,,,,32.0,,203.0,,5.0,3252.0
"McAllen-Edinburg-Mission, TX",,,,,,,4.0,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,5.0,,,,,,13.0,10.0,,,,,93.0,,,,,,,8.0,,7.0,9.0,,,,,,,,,,,3.0,,,,10.0,,,,4.0,13.0,,,,25.0,,,,,,,,8.0,,,5.0,,,14.0,,,,,,,,,,,,,,,,,,,,,2856.0,,,,,,,,,,,,,,19.0,,5.0,,8.0,,5.0,58.0,,,,,3.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,17.0,,,,3.0,,,,,,,,,,,,4.0,,,17.0,27.0,,,,,3270.0
"Cape Coral-Fort Myers, FL",5.0,16.0,,,,,15.0,,,,6.0,,,,15.0,,,,3.0,,,,8.0,,,70.0,,5.0,,,,,,,49.0,,,,3.0,39.0,78.0,,,11.0,,1307.0,,,,,,,118.0,14.0,11.0,27.0,,,,,,,,,,,39.0,,,,96.0,,,18.0,305.0,84.0,,4.0,,19.0,4.0,3.0,,,4.0,8.0,126.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,,,,,,4.0,,,,5.0,,20.0,,,,,,,4.0,39.0,45.0,10.0,,,7.0,12.0,,,,,,,,3.0,,,,,,,,9.0,,11.0,,6.0,,,13.0,4.0,,,,,7.0,,,3.0,,,,,,9.0,,44.0,3.0,4.0,10.0,42.0,54.0,,,,,3143.0
"San Juan-Carolina-Caguas, PR",,,,,,3.0,30.0,,,,,,,,,,,,3.0,,,,8.0,,,10.0,,,,,,,,,,,,,4.0,51.0,120.0,,,8.0,,56.0,,,,,,,2513.0,12.0,,10.0,,,,,,,,,,,9.0,,,,16.0,,,,7.0,13.0,,,,6.0,,,,,7.0,4.0,4.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,3.0,,,,,,9.0,,,,,,8.0,4.0,21.0,3.0,,,,,5.0,,8.0,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,3.0,,6.0,,112.0,,,,,,3173.0
