Country,Total,NAME_LONG,ISO_A3
Afghanistan,"12,513",Afghanistan,AFG
Albania,"5,773",Albania,ALB
Algeria,"2,180",Algeria,DZA
Andorra,5,Andorra,AND
Angola,198,Angola,AGO
Anguilla,20,Anguilla,AIA
Antigua and Barbuda,324,Antigua and Barbuda,ATG
Argentina,"4,091",Argentina,ARG
Armenia,"3,543",Armenia,ARM
Aruba,23,Aruba,ABW
Australia,"3,239",Australia,AUS
Austria,432,Austria,AUT
Azerbaijan,784,Azerbaijan,AZE
Bahamas,656,Bahamas,BHS
Bahrain,138,Bahrain,BHR
Bangladesh,"18,723",Bangladesh,BGD
Barbados,371,Barbados,BRB
Belarus,"2,127",Belarus,BLR
Belgium,691,Belgium,BEL
Belize,851,Belize,BLZ
Benin,577,Benin,BEN
Bermuda,99,Bermuda,BMU
Bhutan,"4,217",Bhutan,BTN
Bolivia,"1,595",Bolivia,BOL
Bosnia and Herzegovina,971,Bosnia and Herzegovina,BIH
Botswana,78,Botswana,BWA
Brazil,"13,812",Brazil,BRA
Brunei,31,Brunei,BRN
Bulgaria,"2,670",Bulgaria,BGR
Burkina Faso,642,Burkina Faso,BFA
Burma,"13,065",Burma,MMR
Burundi,415,Burundi,BDI
Cabo Verde,"2,242",Cabo Verde,CIV
Cambodia,"3,173",Cambodia,KHM
Cameroon,"4,899",Cameroon,CMR
Canada,"12,793",Canada,CAN
Cayman Islands,55,Cayman Islands,CYM
Central African Republic,202,Central African Republic,CAF
Chad,136,Chad,TCD
Chile,"1,698",Chile,CHL
"China, People's Republic","81,772","China, People's Republic",CHN
Colombia,"18,610",Colombia,COL
Comoros,4,Comoros,COM
"Congo, Democratic Republic","6,791","Congo, Democratic Republic",COD
"Congo, Republic",625,"Congo, Republic",COG
Costa Rica,"2,224",Costa Rica,CRI
Croatia,388,Croatia,HRV
Cuba,"66,516",Cuba,CUB
Curacao,35,Curacao,CUW
Cyprus,131,Cyprus,CYP
Czechia,650,Czechia,CZE
Denmark,521,Denmark,DNK
