Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Scottsdale, AZ","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Tampa-Saint Petersburg-Clearwater, FL","Sacramento--Roseville--Arden-Arcade, CA","Las Vegas-Henderson-Paradise, NV","Baltimore-Columbia-Towson, MD","Denver-Aurora-Lakewood, CO","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","Columbus, OH","Nashville-Davidson--Murfreesboro--Franklin, TN","Bridgeport-Stamford-Norwalk, CT","El Paso, TX","Urban Honolulu, HI","Indianapolis-Carmel-Anderson, IN","Providence-Warwick, RI-MA","Raleigh, NC","Salt Lake City, UT","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Saint Louis, MO-IL","Jacksonville, FL","Louisville/Jefferson County, KY-IN","Cleveland-Elyria, OH","McAllen-Edinburg-Mission, TX","Cincinnati, OH-KY-IN","Worcester, MA-CT","Stockton-Lodi, CA","Fresno, CA","Virginia Beach-Norfolk-Newport News, VA-NC","Milwaukee-Waukesha-West Allis, WI"
Cape Verde,"1,154",17,,,,,,,10,806,,,,,,,,,,4,,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,
Cayman Islands,48,8,,13,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,155,5,,,20,,4,,,,9,,,,,,,16,,,,,,3,8,6,,,,,,,,,,,11,,3,,,,,4,,,14,,,,
Chad,119,26,,,23,5,5,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"1,581",248,103,306,60,36,27,42,49,23,25,22,17,21,24,15,4,14,18,22,18,7,12,6,12,14,14,6,5,,5,5,,5,,4,,39,,4,,4,6,,,4,6,,,,
"China, People's Republic","76,089","19,763","11,021",846,"2,008","1,733","2,020","6,547","1,251","2,327",937,"2,703",837,"1,444","1,878",802,398,412,403,222,214,590,543,715,239,517,234,178,87,289,161,132,38,500,210,171,245,157,189,141,273,91,93,252,15,167,136,124,82,147,153
Colombia,"18,175","4,446",449,"4,321",487,731,278,147,301,452,477,61,92,182,80,90,13,81,54,804,396,23,80,67,40,26,56,172,66,32,43,241,17,6,36,158,67,43,44,60,19,105,19,19,10,17,36,8,3,43,18
Comoros,9,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic","4,347",78,56,5,226,84,74,19,468,91,171,13,18,22,81,6,6,65,28,9,3,,25,53,79,28,30,200,37,24,41,20,4,,24,16,123,36,13,7,44,4,56,9,,33,18,5,,6,25
"Congo, Republic",552,44,4,4,39,50,16,,37,10,17,,3,4,12,,,8,10,6,,,,11,24,,,10,,12,4,6,,,,,15,8,,,,,,8,,7,,,,,3
Costa Rica,"1,966",501,69,212,53,40,26,30,39,35,60,14,11,50,21,25,3,18,20,46,35,16,16,10,13,7,7,59,3,8,18,28,,,4,,6,10,3,,6,10,,,,5,3,5,,,6
Cote d'Ivoire,"1,477",413,16,9,195,33,21,15,58,17,97,,4,83,26,6,11,3,31,,7,10,9,32,19,,7,17,,6,3,8,,,14,18,5,,,3,5,4,7,16,,8,6,,,9,3
Croatia,297,46,20,10,17,8,19,12,7,8,7,10,,6,9,4,7,6,,,3,,,,4,,,,,3,5,,,,,,,,,,,,6,,,,,,,,
Cuba,"46,679",900,202,"31,483",58,"1,332",104,50,238,38,154,12,61,42,24,49,4,377,9,846,"2,784",6,957,17,19,178,252,78,62,12,88,18,19,,9,4,56,19,84,9,20,255,917,,28,17,4,,,49,7
Curacao,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,129,31,8,,,3,5,7,,,4,4,,,,,,,,,3,3,,,,,,,3,,,,,,3,,,,,4,,,,,,,,,,,
Czech Republic,606,71,39,29,22,20,41,12,8,14,17,6,5,8,13,3,3,7,4,6,16,,4,3,12,6,,4,,5,,4,,,,4,10,,,,,,,,,,,,,7,
Czechoslovakia (former),74,5,3,,,,4,4,,,5,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,514,70,61,25,12,32,13,27,13,19,7,13,24,8,14,4,,4,7,5,,,4,7,6,,3,7,,,,3,,,6,5,,,4,,,,,,,,,,4,5,5
Djibouti,190,,,,,,9,,6,,3,,8,,19,,,5,23,,,,,3,7,,,,,7,,4,,,,,,20,6,,,,3,,,,,,,,
Dominica,345,86,,38,26,8,3,,6,9,6,,,3,,,6,,,4,6,,,,,,,,,3,,3,,,,3,,,,3,,,,,,,,,,6,
Dominican Republic,"44,577","27,488",89,"1,863",439,149,76,18,184,"3,367",212,8,24,"1,030",20,11,45,37,18,660,263,4,53,96,19,,19,113,24,68,13,344,6,,35,998,53,16,14,167,8,48,3,47,5,64,211,,,25,30
Ecuador,"10,960","6,395",262,887,163,118,368,39,81,49,81,10,19,113,31,29,4,23,196,212,71,8,36,29,8,16,20,127,12,13,8,266,,3,,24,12,25,9,49,7,23,10,5,6,6,35,,,8,3
Egypt,"11,477","3,318","1,248",153,489,211,207,224,318,241,114,34,62,260,139,340,131,67,81,212,353,28,12,98,24,56,13,30,15,43,744,22,,,92,48,99,6,15,10,15,26,,87,,20,70,17,14,32,9
El Salvador,"19,273","2,547","3,972",413,"3,062","1,599",139,924,723,531,256,150,62,66,92,393,12,90,87,51,58,61,198,193,91,43,74,137,67,22,66,32,4,,56,80,58,57,36,19,,30,14,18,13,14,44,25,89,27,13
Equatorial Guinea,15,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,"2,002",31,53,7,281,98,23,123,82,31,120,48,17,18,160,5,4,22,45,3,,12,34,27,55,19,13,33,18,43,11,4,,,9,13,18,9,3,,10,7,12,6,,9,,,,10,15
Estonia,220,45,13,14,13,6,11,6,4,5,,6,,3,5,,,,3,11,7,,4,3,5,3,,,,,3,,,,,,,,,,,,,,,4,,,,,
Ethiopia,"12,300",179,254,25,"2,856",279,192,278,499,220,727,183,134,139,812,30,24,105,954,23,24,63,377,182,481,157,71,72,33,222,120,15,,,74,6,63,33,137,21,70,52,52,21,,67,13,,6,21,29
Fiji,802,16,24,3,3,4,,165,5,,,30,4,,75,19,,4,,,,212,,,,6,,,,,,,,6,,,,,,,,,,,,,,14,,,
Finland,350,27,22,27,14,5,4,16,14,6,9,29,27,6,11,,4,6,14,,3,,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"4,284",937,399,333,183,123,99,322,45,178,60,153,81,68,81,17,30,54,35,46,17,23,51,22,9,27,39,17,5,12,11,27,4,11,9,19,16,13,10,8,13,8,,7,3,11,10,3,,8,7
French Polynesia,24,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Gabon,167,34,3,,23,24,3,,4,3,5,,,,,,,3,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,"1,111",345,5,,71,4,6,4,32,10,81,,,11,130,,18,4,46,,,,4,17,3,4,,10,,24,4,,,,6,22,27,,12,5,,,17,,,7,,,,3,
Georgia,"1,240",735,82,21,34,7,20,27,6,11,14,10,6,61,9,,4,,7,4,6,5,3,13,8,4,,,3,4,,15,,,,,,4,,,,,,5,,6,,,,,
Germany,"5,584",727,364,215,188,118,116,244,85,169,113,148,99,107,128,40,118,53,45,68,67,32,38,40,38,34,30,53,35,20,21,29,27,34,19,15,29,17,20,13,35,25,13,27,,23,8,,11,47,12
Ghana,"7,115","2,093",73,18,957,101,209,35,168,103,295,13,25,230,58,33,32,17,110,16,22,17,8,172,125,16,24,52,11,269,41,18,,5,30,38,24,9,20,111,15,9,11,23,,87,280,5,,38,13
Greece,"1,235",369,60,34,40,20,76,27,5,77,13,18,14,52,20,6,22,4,4,4,24,,10,22,,,6,12,,,6,8,,3,5,7,,3,,11,,5,,3,,,13,,,8,11
Grenada,633,466,4,17,24,8,,,9,7,7,,,8,,,,,,6,6,,,6,,,,,,,,,,,,3,,,,,,,,,,,,,,5,
Guatemala,"10,238",878,"2,013",448,544,278,292,679,185,372,155,47,160,81,76,256,5,100,60,46,52,22,104,64,45,111,36,36,61,6,32,146,5,,22,270,31,44,34,10,9,13,21,10,7,40,27,24,,12,5
Guinea,"1,375",678,12,,98,8,10,,10,35,48,,,94,10,,9,5,27,,,5,,30,10,,5,6,,50,,,,,17,4,12,,,3,,4,7,,,,,,,,6
Guinea-Bissau,30,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Guyana,"6,267","4,673",31,188,140,24,16,10,31,24,128,,3,54,4,4,5,5,77,142,34,,5,28,6,5,,4,,4,5,6,,,,,3,,4,63,,10,,7,,,,,,4,
Haiti,"15,274","3,753",24,"5,320",157,32,68,22,36,"1,232",193,,6,287,17,9,8,25,36,883,162,,14,20,15,13,10,15,20,24,17,197,4,,23,57,7,4,27,34,14,73,16,5,,12,19,,,14,7
Honduras,"8,156","1,277",595,"1,180",508,569,100,99,264,143,171,22,34,71,61,85,17,54,37,100,104,14,62,66,23,11,128,78,82,11,28,54,,,39,27,82,25,37,23,11,30,18,14,8,7,7,6,,16,4
Hong Kong,"2,278",417,350,29,61,33,48,366,43,50,13,119,29,29,133,30,7,10,12,14,5,20,17,14,3,17,12,6,8,7,,13,,29,5,4,7,6,11,6,5,,,9,,5,6,6,6,4,3
Hungary,996,176,105,84,30,8,17,39,7,18,5,17,18,9,15,6,5,10,6,20,35,,14,8,14,,11,7,,6,,11,,5,7,3,14,,3,4,5,15,,11,,,,,,,
Iceland,86,14,4,,,,,,,3,4,4,,3,4,,,,5,4,,,,,,,,,,,,3,,,,,,,,4,,,,,,,5,,,,
India,"77,908","12,350","2,719",620,"3,163","2,694","4,659","3,845","3,288","1,853","2,433","3,965",789,"2,522","2,087",526,"1,355",868,"1,217",359,664,"1,002",164,802,383,504,736,771,361,612,303,433,9,32,479,208,657,129,317,593,448,297,170,479,23,445,330,481,560,164,356
Indonesia,"2,139",220,320,19,65,66,36,119,53,58,84,50,36,88,75,148,9,20,13,11,9,19,17,16,37,16,19,,10,18,,3,,4,10,7,13,,5,,5,4,3,5,,8,3,,12,3,
Iran,"11,615",419,"3,245",155,731,491,257,525,482,182,272,613,437,120,332,120,59,157,56,71,52,209,138,134,67,111,86,56,63,45,74,14,,5,24,11,30,97,38,26,24,17,28,16,,22,23,7,31,31,24
Iraq,"19,153",189,521,50,547,808,931,79,781,224,253,80,"2,480",155,394,73,"3,465",795,101,79,153,346,59,86,262,214,286,49,249,183,284,,10,5,52,23,89,252,82,35,112,170,242,102,,26,180,7,14,58,129
Ireland,"1,605",411,76,35,29,14,57,110,13,166,24,57,11,33,46,7,4,14,12,12,13,7,4,8,10,9,8,9,,9,8,19,,,6,9,13,7,,13,4,3,5,,,4,13,,,,7
Israel,"3,805","1,084",430,297,87,81,82,144,47,157,54,249,43,66,75,16,14,23,22,25,28,16,84,28,20,21,12,14,8,9,17,10,,8,9,6,8,9,8,4,12,12,,21,3,17,3,,4,3,9
Italy,"3,298",779,239,360,109,76,79,155,40,107,21,48,65,69,34,14,41,16,9,44,34,14,39,37,17,14,22,7,8,12,8,10,,19,9,13,16,16,6,19,7,7,6,8,,10,9,4,3,9,3
Jamaica,"19,026","7,352",117,"3,502",549,138,185,46,133,342,658,8,26,533,20,26,56,33,23,470,203,11,18,265,19,8,21,56,20,28,23,337,12,9,17,36,23,,24,431,23,93,7,48,,13,30,3,,114,31
Japan,"5,545",772,"1,010",49,106,58,122,295,41,136,68,179,166,35,196,56,79,50,31,25,12,30,46,36,26,47,18,13,16,52,21,12,8,455,29,11,11,30,11,6,14,14,8,20,,27,8,5,3,18,4
Jordan,"5,187",616,199,101,128,183,579,175,182,63,61,31,79,100,42,141,154,65,28,33,104,37,16,21,40,28,33,43,32,96,48,5,9,,30,9,62,13,23,3,61,22,46,67,3,43,21,9,6,7,60
Kazakhstan,"1,221",265,72,51,64,71,38,20,6,29,14,31,30,21,39,7,9,8,9,12,5,36,9,10,10,17,6,5,5,6,,4,,,6,,,3,3,,4,12,,14,,4,,,,17,
Kenya,"5,884",306,112,12,161,181,60,67,439,261,215,25,46,142,292,50,28,75,617,37,9,40,21,115,48,45,22,40,14,121,35,3,8,3,30,13,80,19,96,7,106,16,17,8,,13,100,10,,17,15
Kiribati,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, North",142,15,27,,6,,5,5,3,4,,8,,5,5,,,6,,,,,,,4,,,,,,,,,5,,,,,,,,,,,,,,,,,
"Korea, South","20,423","3,288","4,670",109,"1,012",375,684,500,483,335,912,532,325,497,618,209,151,115,87,74,40,108,138,274,108,162,142,66,46,54,79,30,19,194,49,17,95,79,60,31,43,39,34,47,20,45,29,17,20,70,23
Kosovo,758,333,7,15,16,9,35,,14,14,13,,6,12,5,,28,10,,4,8,,3,,8,,4,,,,4,14,,,,,,6,,5,,5,6,,,3,,,,,8
Kuwait,"1,057",121,53,26,43,43,68,28,42,24,24,12,11,25,17,15,33,14,10,7,21,11,4,10,4,13,6,8,8,24,5,6,,,,4,5,12,8,,7,,3,16,,10,15,3,,6,13
Kyrgyzstan,707,177,33,10,22,7,80,20,6,11,10,10,6,31,22,4,,,4,16,10,13,,3,,15,5,,,4,,,,,,5,,,3,,,,,,,14,,,,5,
Laos,806,4,23,6,15,10,15,12,14,7,4,,16,9,16,10,4,5,143,,10,30,6,5,3,14,,13,,9,10,,,13,,18,,8,6,6,,,,,,,3,4,48,,24
Latvia,384,81,20,29,8,,24,15,,11,9,5,5,10,15,,4,5,5,3,5,5,,4,6,4,5,,,,,,,,,,,,,,,,,3,,,,,,,5
Lebanon,"3,245",214,379,71,109,161,99,30,80,186,30,24,77,38,27,54,747,27,31,32,31,23,8,12,,14,31,13,11,17,7,14,,,8,29,10,8,7,9,10,8,7,36,,8,38,,11,13,6
Lesotho,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,"3,874",302,18,4,271,72,37,18,117,110,142,3,5,817,12,6,26,23,495,,,32,7,120,21,16,10,111,6,34,14,5,3,,24,156,10,7,15,6,20,11,21,18,,,60,6,,11,10
Libya,524,35,8,7,10,46,8,11,17,7,17,3,8,15,15,10,17,22,4,,,3,9,3,18,15,,,5,4,,,,,,5,,11,6,,6,,3,4,,,6,,,,5
Lithuania,747,96,37,23,15,7,233,12,3,15,14,6,5,11,20,5,4,,5,11,9,4,3,9,13,,,3,,3,4,,,,3,,,4,,5,,,,4,,3,,,,,5
Luxembourg,26,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,105,23,17,,4,,,21,,,,4,,,7,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,960,301,14,30,19,8,152,7,8,11,,,3,8,,,59,8,6,3,6,,16,,,,5,,,35,3,7,,,3,,,,,,5,,,4,,3,,,3,,3
Madagascar,86,7,,3,30,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,172,9,3,,16,,,,9,8,8,,,3,6,,10,3,,,,,,,3,,,,,,8,,,,3,,,,,,,,5,,,,,,,,
Malaysia,"2,622",340,111,20,57,75,93,100,126,36,91,66,23,31,70,15,14,49,24,9,10,20,11,34,27,16,29,39,22,20,30,,,12,112,7,7,15,26,,14,31,9,13,,3,,,4,5,46
Maldives,13,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,604,258,3,,43,18,9,8,,3,17,,,62,11,,3,,5,,,,,25,5,,,9,,,,,,,7,6,,,,,,,,,,13,,,,6,
Malta,39,10,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,56,,,,,,,3,,,,,,,,,,,5,,,,,,,,,,,,,,,7,,,,4,,,3,,,,,,,,,,3
Mauritania,320,91,,,20,,,,,5,3,,,8,,,3,,,,,,,,5,,,,,51,,,,,4,,,,,,4,,12,,,37,,,,3,
Mauritius,81,7,6,5,12,,,,,,4,4,,3,5,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"134,052","2,817","16,053","1,199",711,"7,581","6,297","3,183","6,728",188,"1,501","1,530","5,607",595,"1,089","5,754",517,"4,218",750,337,492,"1,207","1,690",128,"1,770",988,"1,568",554,"2,321",117,420,128,"3,887",38,417,77,380,871,715,45,187,85,173,134,"2,676",131,48,852,"1,386",84,438
"Micronesia, Federated States",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,"2,341",269,72,80,68,26,269,39,14,54,24,20,14,41,121,3,8,11,55,182,15,164,27,22,16,84,,14,8,,,7,,,4,3,9,14,3,,6,,,13,,17,3,,,9,3
Monaco,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
