Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Sacramento--Arden-Arcade--Roseville, CA","Baltimore-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","El Paso, TX","Honolulu, HI","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Salt Lake City, UT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Indianapolis-Carmel, IN","Raleigh-Cary, NC","St. Louis, MO-IL","Jacksonville, FL","McAllen-Edinburg-Mission, TX","Worcester, MA","Tucson, AZ","Oxnard-Thousand Oaks-Ventura, CA","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Stockton, CA","Milwaukee-Waukesha-West Allis, WI","Cleveland-Elyria-Mentor, OH"
Kazakhstan,"1,235",220,48,33,58,38,30,46,11,25,20,15,28,19,52,9,14,,11,18,16,3,11,51,8,25,6,,,3,4,11,4,,4,,4,6,,,3,8,,,,5,,,,3,5
Kenya,"7,762",372,173,29,230,61,80,167,558,340,430,65,199,27,420,65,126,22,22,579,58,16,44,44,161,48,29,7,8,20,24,191,22,6,88,45,184,26,55,125,112,17,5,140,23,,,,11,25,14
"Korea, North",36,7,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South","22,824","3,195","5,432",81,"1,232",757,526,306,551,324,"1,018",384,422,548,739,320,146,152,71,105,127,41,153,112,338,126,126,26,210,53,50,76,41,48,59,94,63,78,51,88,105,54,47,15,40,59,19,,14,35,40
Kosovo,670,289,5,6,17,38,,10,23,9,17,5,8,,5,,5,15,3,3,7,6,6,,,,,,,,3,,,15,,,,5,,3,10,,,3,,,,,,10,
Kuwait,973,90,71,20,25,64,22,34,43,21,21,10,16,13,18,14,20,25,6,5,9,12,5,7,9,9,4,,,9,9,15,,,6,12,4,4,5,8,3,3,,4,19,,,3,,6,15
Kyrgyzstan,542,121,15,13,29,20,17,,4,13,6,7,21,9,13,,3,,5,27,,4,,19,5,20,,,,4,4,,,,,,,,,,4,,,,,,,,,,6
Laos,956,4,19,8,17,9,23,9,34,8,14,25,10,5,23,7,4,5,,173,3,11,5,31,5,15,3,,13,3,4,4,16,,8,12,8,4,,3,,,,9,,,48,,8,29,
Latvia,426,69,16,21,8,18,7,5,,17,25,11,13,4,10,,5,,3,5,4,,,4,9,,,,,,5,,,3,,,,,4,3,6,5,,,,,,,,,3
Lebanon,"3,295",256,300,67,96,80,44,159,79,144,55,73,59,24,27,58,57,649,31,28,17,34,28,22,12,8,22,4,,4,14,12,38,13,12,6,6,3,7,11,5,23,,35,7,5,11,6,,8,18
Lesotho,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,"4,151",306,19,6,244,64,29,71,87,81,197,10,793,,13,,58,37,6,564,16,5,10,25,126,24,14,,,4,85,40,149,10,22,8,23,25,38,13,20,25,,67,13,,,,5,7,7
Libya,357,28,15,5,14,9,4,18,5,8,10,5,13,,9,,4,8,4,6,20,7,,,4,13,,,,,,21,,,,,3,,,,3,3,,,,,,,,,3
Lithuania,936,113,32,28,32,308,10,4,6,38,15,4,36,6,8,,,5,7,12,6,16,5,,7,,,,,,9,,4,11,3,,3,14,,3,,,,,,,,,,7,12
Luxembourg,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,130,15,25,,,,39,8,,,,,,6,,,,,,,,,,3,,3,,,5,,,,,,,,,,,,,,,,,,,,,,
Macedonia,"1,078",378,9,32,17,143,4,8,17,9,4,6,7,,10,,17,54,6,3,3,6,10,,,,5,,,,,14,,6,,,,,,,,,,,,,,,,8,6
Madagascar,83,4,,,25,,,,,,,,,,,3,,,,6,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Malawi,123,3,,,16,,3,3,6,,6,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,3,,,,,,,,,,,,
Malaysia,"2,273",332,139,17,63,62,105,63,139,36,97,19,26,56,57,24,36,14,13,17,25,11,11,13,34,12,27,4,8,3,15,15,14,9,8,14,22,5,79,6,15,14,,,4,6,,,,12,3
Mali,629,240,5,,56,16,,19,,8,22,,63,4,16,,6,,,3,16,,,,22,,,,,,9,,9,,,,,,7,,,,,,,,,,,3,
Malta,51,7,5,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
Marshall Islands,38,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,393,91,,,7,4,,3,,4,3,,20,,6,,3,3,,,8,,,,4,,,,,,,66,,,,,6,,7,,7,,,,,,,,,,
Mauritius,101,17,10,,8,,,3,4,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"143,446","2,103","16,565","1,171",723,"7,049","2,469","7,792","7,492",161,"1,593","7,204",631,"1,459",816,"6,608","4,472",589,335,569,"2,161",443,"1,814","1,123",166,751,"1,732","5,083",22,"2,538",416,109,63,104,797,297,616,38,336,259,155,66,"2,987",17,"1,458","1,255","1,495",72,975,461,126
"Micronesia, Federated States",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,"2,258",206,69,53,54,94,27,12,10,47,37,21,53,14,238,9,24,9,41,52,35,10,21,317,15,101,7,,,3,27,,3,6,3,,5,,6,7,8,8,,,3,4,,,,,19
Monaco,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,774,13,72,,110,69,165,7,4,8,,4,7,3,56,,,,,3,50,,9,18,4,,,,,,,,,,5,3,4,,,,,,,,,,,,5,6,
Montenegro,204,124,5,,,16,,,,,,,,,,,,30,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,30,9,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"4,399",772,101,98,353,153,59,81,74,553,97,27,216,16,53,22,9,32,217,23,71,55,19,17,46,13,32,5,,15,17,72,28,43,3,8,15,20,14,98,6,13,,6,,4,,5,3,11,21
Mozambique,60,10,4,,4,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,43,5,3,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,"10,166",965,219,35,765,251,448,282,699,336,288,53,112,125,234,38,150,41,10,117,326,17,38,100,310,79,101,,13,77,58,76,37,31,121,117,56,58,10,44,74,34,,33,96,5,,,7,18,62
Netherlands,"1,085",136,43,47,32,24,38,29,21,43,33,17,14,44,22,10,12,9,6,8,12,11,8,12,9,7,10,,,6,10,,3,24,3,4,8,,,3,8,,,3,3,3,,5,,,
Netherlands Antilles,86,18,,22,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,803,67,69,17,24,29,37,12,17,11,12,17,6,19,14,7,9,,3,7,13,6,6,16,7,17,8,,9,4,,,7,4,12,7,6,,6,3,,,,,3,5,,,,,
Nicaragua,"3,401",174,343,"1,342",155,48,190,112,27,13,56,6,31,25,31,65,16,6,33,8,7,27,49,7,13,6,14,4,,4,32,3,6,7,8,9,5,,14,12,5,9,,4,3,4,,13,,8,
Niger,96,14,,,7,,,,,,,,3,,,,,,,,,,,,,,,,,,3,4,,,,,,,11,,,,,,,,,,,,
Nigeria,"11,824","1,699",420,117,"1,004",586,164,"1,277",732,296,900,35,372,33,54,139,84,147,53,218,70,68,36,63,555,33,80,16,,47,59,64,82,22,10,51,55,48,179,100,71,40,6,28,6,,16,,10,28,37
Norway,339,45,23,9,20,13,7,34,4,5,,6,9,,5,3,,,4,9,3,4,,,,3,,,,,,3,4,,3,,3,4,,,3,,,,,3,,,,,
Oman,60,12,,,3,,,,3,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,"15,546","3,932",503,324,"1,167","1,018",353,"1,106",657,242,329,70,331,158,163,134,90,239,83,58,35,47,43,271,342,32,104,,25,43,57,69,42,60,39,21,94,137,64,54,64,32,9,23,22,8,21,,157,61,42
Palau,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,"1,374",227,46,189,50,22,21,41,26,22,50,10,13,6,15,13,9,,31,6,8,35,8,13,9,,10,3,7,20,9,6,4,,9,9,,,5,5,5,17,,,,3,,8,3,,
Papua New Guinea,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,500,183,14,67,32,12,12,8,5,7,9,3,,5,,,3,3,8,,5,7,,,4,,,,,,3,,,7,,,4,,,,,,,,,,,,,,
Peru,"14,064","3,321","1,013","2,422","1,030",177,413,217,232,157,276,71,105,122,100,166,70,20,280,46,92,190,105,38,81,39,49,10,9,33,136,20,41,150,185,32,31,167,34,54,26,38,12,17,8,38,10,54,13,18,26
Philippines,"57,011","4,177","8,686",499,"1,543","2,052","4,130",884,612,256,242,"2,500",495,"1,632","1,469","1,734",627,302,417,215,167,309,"1,662",836,442,305,142,55,"3,117",189,91,89,87,116,80,72,115,65,84,80,159,341,122,34,74,403,181,6,610,56,118
Poland,"6,863","1,980",120,112,82,"2,184",54,39,34,99,53,27,141,32,38,12,36,99,23,20,33,67,22,19,22,9,9,,6,6,12,6,26,121,10,5,6,298,4,13,13,16,,51,,4,3,,,31,34
Portugal,821,281,18,31,26,4,5,8,5,75,6,6,12,13,5,,6,,9,,3,,,,5,,8,,,,,,118,27,,,,5,,,,,,3,,,,,,,5
Qatar,193,12,7,,19,15,4,12,13,4,5,4,10,,,,,15,4,,6,,,,,,,,,,,4,,4,,,3,,,7,,,,,,,,,,,
Romania,"3,882",473,190,222,110,405,66,71,52,84,127,38,73,47,112,53,115,176,20,24,22,22,46,53,38,106,19,,3,6,23,9,11,29,12,17,9,15,21,11,11,18,,13,3,9,3,,,4,70
Russia,"7,944","1,435",496,249,359,290,248,145,106,281,117,116,209,209,276,31,37,66,69,114,125,61,42,170,73,152,29,5,22,15,36,52,9,44,17,27,24,29,23,25,52,34,,19,8,13,15,8,7,26,51
Rwanda,520,10,5,,26,11,,16,33,18,11,7,4,,,6,23,,,,13,,,,,5,6,,,3,4,,3,3,14,13,,3,,,7,,,4,6,,,,,,
Saint Kitts-Nevis,350,88,,36,4,5,,5,4,5,11,,7,,,,,,5,,,9,,,,,,,,,3,,,,,,,3,,4,,3,,,,,,8,,,
Saint Lucia,785,332,7,43,17,3,3,35,,11,24,,16,,,,,,25,,,9,,,6,,,,,,,,,6,,,4,31,7,,,,,,,,,,,,
Saint Vincent and the Grenadines,468,318,,11,10,5,,3,,7,5,,16,,,,,,9,,,5,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,
Samoa,267,,24,,,,11,,,,,5,,6,31,6,3,,,,,,3,9,,,,,55,,,,,,26,,3,,,,,,,,,,,,,,
Sao Tome and Principe,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,"1,396",151,93,26,94,112,34,46,56,24,20,18,27,14,28,23,20,42,12,26,29,13,5,6,9,6,4,4,,5,11,15,6,6,,11,11,4,7,4,7,,,,,,,,5,8,5
Senegal,"1,424",450,22,8,111,24,10,21,21,32,88,6,30,,14,3,6,34,4,10,7,5,4,,20,7,,,,,5,65,49,5,,9,4,,26,18,11,3,,,,,,,,7,7
Serbia,244,32,5,21,12,36,7,,3,7,,3,,6,5,,5,3,4,,,,3,,4,,,,,,,,,5,,,4,,,,,3,,,,,,,,,3
Serbia and Montenegro 1,"1,398",415,37,38,45,194,14,17,15,22,12,23,27,8,11,3,28,61,8,4,7,20,14,3,8,,3,,,3,6,,,18,5,8,7,9,3,,13,5,,5,,,,,,8,18
Seychelles,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,"1,985",322,26,8,572,16,16,33,35,46,86,7,228,17,23,9,24,13,5,40,9,8,3,14,36,6,,,,,21,84,5,,4,5,8,9,,21,4,7,,6,,3,,,5,3,
Singapore,690,121,56,11,13,28,57,31,16,18,9,12,10,40,13,8,7,3,,7,5,7,5,,,6,6,,10,,,,5,3,,,3,,6,3,6,,,3,,3,,,,6,
Slovakia,594,176,19,18,17,49,25,,,9,5,4,10,7,6,5,4,4,3,5,7,4,,,3,,,,5,,4,3,3,11,,,,,,4,4,,,,,,,,,5,4
Slovenia,69,14,5,3,,6,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,"4,451",7,25,,75,48,8,18,78,91,79,105,5,14,352,,121,,3,733,94,,9,,6,95,5,,,7,10,396,,,76,85,67,11,7,7,28,,,8,23,,,,,25,11
South Africa,"2,649",226,170,148,98,54,63,60,74,48,113,55,44,13,40,13,45,23,40,16,51,42,18,27,23,17,12,,7,18,30,12,6,25,30,22,12,3,7,17,15,19,,5,13,12,11,,4,6,9
"Soviet Union, former","3,687",774,284,172,100,127,102,61,22,103,51,71,96,50,104,16,27,25,36,33,52,45,33,77,45,57,17,5,11,8,15,17,10,21,20,3,8,9,9,8,10,14,,6,,7,4,,,14,20
Spain,"1,890",290,96,309,50,50,64,60,25,65,45,29,15,36,14,7,14,12,23,11,24,24,5,11,6,5,15,6,3,6,10,6,9,9,5,5,15,9,10,15,11,10,,3,3,5,,28,,,7
Sri Lanka,"2,053",541,245,13,149,42,78,39,62,41,32,17,28,36,38,28,12,14,11,25,16,8,26,17,12,8,11,,6,11,3,11,,9,7,3,,19,5,11,4,3,,4,4,8,,,,8,12
Sudan,"2,628",162,67,15,303,54,20,52,89,55,83,19,91,16,41,16,55,17,6,40,88,,11,,20,7,9,,,13,10,26,,,45,56,35,12,3,8,10,9,,,21,,3,,,19,
Suriname,196,98,3,33,4,,3,,,,4,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,19,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,979,124,68,47,28,40,57,19,11,25,31,30,21,16,26,11,14,6,7,18,7,11,9,7,4,4,11,,10,4,10,,,19,8,3,,4,,8,,4,,,,3,,,,,
Switzerland,615,101,51,35,25,18,31,15,4,14,11,13,4,9,11,,10,6,,12,4,3,,,,6,6,,7,,3,,4,8,4,,,,,,,,,,7,5,,,,,
Syria,"2,785",225,458,33,61,266,37,50,60,65,26,53,43,19,16,109,47,131,26,11,8,31,8,13,26,16,6,6,,5,12,20,48,31,5,5,9,13,10,11,11,52,,21,12,22,,,4,15,40
Taiwan,"6,154",686,"1,411",33,193,109,458,173,192,129,102,117,67,512,210,153,50,38,20,27,32,13,34,50,41,103,50,14,43,7,13,24,8,17,20,5,28,7,27,32,17,8,9,8,6,22,16,,3,10,15
Tajikistan,382,137,11,,33,9,9,,3,,8,,8,,6,,,,,4,29,,,,3,6,,,,,,3,,,,,,,,,,,,,,,,,,,
Tanzania,"1,427",66,31,11,68,24,15,64,63,25,45,20,22,4,30,4,26,,12,21,15,4,7,,14,16,15,,,12,,31,19,,6,5,19,6,4,7,7,4,,11,33,3,,,,9,5
Thailand,"9,962",251,734,136,257,198,170,267,359,121,289,139,125,60,181,86,299,35,28,366,230,57,102,59,35,125,86,,52,100,33,12,18,15,105,89,111,69,116,85,36,47,,42,37,16,24,,10,167,30
Togo,"1,506",246,6,,217,57,10,9,32,8,111,10,45,,10,,7,12,,83,31,13,8,,12,,,,,4,33,15,4,7,11,3,12,12,8,13,6,3,,3,8,,,,,,7
Tonga,408,4,50,,,,75,,8,,,,,34,7,14,11,,,,,,5,17,,3,,,27,,,,,,61,,,,,,,,,,,,,,,,
Trinidad and Tobago,"5,023","2,657",22,523,185,31,7,119,31,91,112,5,139,3,10,4,11,9,163,17,10,75,,4,101,,6,,6,7,17,3,7,15,,6,4,27,7,13,,18,,5,3,,3,3,,,5
Tunisia,440,61,25,14,51,11,20,10,10,8,7,3,17,3,8,3,,10,19,9,5,7,,5,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Turkey,"4,403","1,148",233,159,215,147,142,167,48,136,75,91,201,52,74,18,57,36,43,31,32,45,19,15,48,22,30,5,5,16,18,34,12,16,10,11,12,32,14,20,16,28,,7,10,4,5,,,7,26
Turkmenistan,260,59,16,11,5,9,10,7,,11,,,5,7,13,3,,,,,5,,,,,6,,,,3,,,3,3,3,,,,,,3,,,,,,,,,19,
Turks and Caicos Islands,33,,,16,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,"1,239",47,63,5,86,44,27,25,35,239,18,15,27,,31,7,9,15,3,24,27,3,6,8,14,6,3,,,,5,11,4,3,9,11,14,5,7,3,8,,,17,,4,,,,6,6
Ukraine,"8,292","1,751",271,168,150,774,125,78,74,142,99,72,348,65,363,32,47,167,41,82,74,54,47,387,63,214,17,5,11,34,46,41,15,71,32,14,22,53,25,47,44,19,3,10,11,8,14,,,35,177
United Arab Emirates,707,118,43,14,44,37,8,64,39,15,7,16,9,11,13,10,7,15,9,10,3,10,,5,9,,,,,3,3,4,,,4,3,6,3,,4,4,,,,,,,,3,,5
United Kingdom,"11,572","1,479",781,350,387,285,466,513,270,391,261,182,210,174,220,74,174,167,252,105,98,159,74,86,67,102,126,9,30,42,90,53,62,129,26,60,33,48,51,64,62,46,4,51,29,63,13,8,13,24,35
United States,269,36,24,19,23,6,8,14,7,5,4,14,7,,,5,,3,,,,,3,,,,,5,,5,,,,,3,,,,,,,,6,,,,,,,,
Uruguay,"1,553",399,27,409,46,8,7,22,18,16,126,6,9,,,17,5,,27,3,4,12,8,,,3,,,,,16,,4,15,15,,3,6,3,,,5,,66,,,,13,,3,7
Uzbekistan,"5,056","3,158",136,46,81,97,53,18,25,30,32,39,226,11,45,4,37,28,41,15,26,4,5,36,65,24,,,,5,12,25,5,,,33,8,9,,8,43,5,,,,4,,,,8,30
Vanuatu,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,"9,183",604,137,"3,897",156,83,51,689,136,135,271,34,68,22,30,29,26,18,569,28,36,173,23,19,24,13,45,13,,16,44,20,36,41,55,34,18,22,33,50,22,51,7,16,,4,,105,5,12,10
Vietnam,"34,157",507,"5,761",290,991,490,"1,164","2,337","1,496",799,931,983,774,"2,777","1,525",545,480,140,317,513,429,405,123,538,179,680,256,18,136,139,334,46,30,32,151,70,121,73,55,173,165,111,,135,95,72,37,,115,31,49
Yemen,"3,361","1,316",8,3,29,95,215,4,7,,4,4,16,,26,3,,570,3,13,,,,10,4,6,,,,,,8,,,,22,,20,,5,4,,,,,,62,,18,,
Zambia,652,59,23,,33,22,6,12,51,7,45,6,12,,20,,22,3,9,14,5,3,,7,9,,,,,,,3,,,7,,6,,8,7,13,6,,,7,,,,,,6
Zimbabwe,"1,016",67,15,21,40,23,11,15,158,49,65,9,23,3,9,9,12,7,8,10,10,8,3,,9,8,7,,,4,3,17,,,4,9,6,3,38,8,3,,,10,,6,,,,,4
