Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA"
Egypt,"9,826","2,740",107,800,395,236,195,149,291,227,91,65,149,79,270,207,167,134,103,46,133,37,27,27,22,34,84,67,15,37,19,45,47,707,48,21,22,12,,4,36,21,28,32,31,50,,80,13,,5
El Salvador,"28,326","3,762",609,"4,819","4,062","2,050",188,"1,383","1,116",867,423,275,149,63,103,646,86,141,100,86,34,141,139,147,399,99,365,53,92,316,20,97,99,112,127,61,49,35,14,7,26,59,161,6,30,42,35,79,12,19,50
Equatorial Guinea,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,"2,428",23,4,37,194,86,40,186,132,39,80,33,226,35,22,4,,102,6,59,,8,26,91,56,32,40,63,25,33,21,6,32,13,15,17,10,22,,,20,15,,11,,5,,6,6,,
Estonia,151,22,3,10,4,,12,8,,4,,8,4,,,,3,,5,,3,,,,4,3,,,,,,,,,,,3,,,,7,3,,,,,,,,,
Eswatini (formerly Swaziland),18,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Ethiopia,"12,403",147,14,251,"2,433",187,166,233,537,234,690,163,854,185,106,11,42,"1,261",17,116,23,37,63,549,337,153,151,364,24,86,98,8,66,113,45,160,13,51,3,,68,54,4,58,12,13,,18,41,,4
Fiji,730,9,,38,,3,,122,3,,,17,72,,,7,,3,,14,,190,,3,,52,,,,,,,,,,,,,,4,,4,5,,,,,,,,24
Finland,442,31,20,17,28,9,8,30,16,6,,54,83,4,8,,3,11,,,,,5,3,,,,,,,,,,,,,,,,,5,,,,,,4,,,,
France,"4,276",993,276,358,149,102,104,372,34,182,63,188,138,103,50,14,28,30,27,15,51,26,33,32,26,30,35,13,17,17,,15,5,9,9,3,17,11,5,13,13,11,,9,8,8,5,6,12,,
French Polynesia,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,112,19,,3,12,4,5,,6,,7,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
Gambia,"1,023",273,7,,48,4,6,3,16,4,88,,131,,10,,,37,,5,17,,,6,,12,13,42,3,12,17,16,,4,21,10,4,,,,6,3,,,6,,,4,,,
Georgia,"1,643",949,13,123,47,5,22,17,,13,14,22,22,7,120,,5,,9,,7,11,3,5,5,13,18,,3,,,4,,,,3,25,,,,13,,,4,5,8,,,,,
Germany,"4,443",524,125,238,149,69,127,272,53,131,72,180,113,120,73,36,49,27,35,34,99,23,35,48,24,68,24,17,32,35,8,13,14,14,20,14,18,25,14,24,15,17,,21,13,17,34,8,17,,6
Ghana,"8,394","2,195",35,74,"1,115",132,275,41,209,137,409,6,54,27,226,42,39,136,20,41,24,11,33,105,15,34,172,453,11,58,13,53,22,40,21,27,28,14,12,10,119,12,5,23,149,17,,332,6,,7
Greece,"1,214",344,43,49,37,13,81,36,13,72,15,32,14,10,48,3,21,3,8,4,21,4,7,5,3,11,7,8,3,5,,8,,,6,,6,7,,,3,,3,7,11,8,3,6,11,,
Grenada,501,348,16,3,11,13,,,3,8,7,,3,,,,,,7,3,,,,,,,4,,,,,,3,,,,,,,,,,,,3,3,,,,,
Guatemala,"15,638","1,496",679,"2,567",824,381,329,"1,214",225,499,275,91,86,197,165,394,82,109,66,163,16,65,76,63,152,193,108,25,62,119,46,426,56,69,35,66,203,29,6,,86,79,17,11,15,22,109,47,8,13,55
Guinea,"1,282",585,,8,75,4,13,3,19,33,60,4,24,,85,,,27,,8,14,,4,4,,3,9,80,,3,3,8,33,,,5,,4,,,11,,,3,,,,,7,,
Guinea-Bissau,27,4,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Guyana,"5,165","3,734",134,11,126,9,5,10,11,19,95,,4,,81,4,40,52,153,9,,,8,3,3,,30,,,7,,7,,,5,,6,13,,,,,,3,56,18,3,5,,,
Haiti,"21,360","5,195","6,875",18,220,34,103,35,23,"1,946",324,4,20,38,457,10,302,24,"1,325",29,10,12,6,9,17,23,34,44,4,25,42,157,35,29,16,29,279,211,,,5,9,3,7,29,,267,63,,,
Honduras,"13,794","2,101","1,449",915,849,900,219,295,429,275,307,77,89,51,124,174,234,79,160,59,29,18,192,73,61,39,129,42,113,297,32,67,89,87,121,77,93,68,6,3,25,18,44,23,19,16,68,14,6,19,12
Hong Kong,"2,075",368,37,337,63,50,31,321,27,72,28,137,92,16,20,28,,10,9,16,7,18,18,12,24,20,13,11,3,7,,9,,,,3,4,4,,29,3,6,,6,9,4,4,,,,
Hungary,917,148,73,65,21,11,15,31,11,24,8,33,21,21,9,5,30,,19,9,15,5,13,12,28,15,,,3,,,3,,3,5,4,7,8,,,,,,4,,11,,8,,,
Iceland,89,8,3,14,4,,,,,,,,14,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,"59,821","9,143",462,"1,941","1,949","2,154","3,692","3,079","2,340","1,272","1,902","2,562","1,642",454,"2,108",583,531,635,419,612,"1,078",960,557,288,119,411,643,398,182,562,155,139,467,273,532,247,261,171,18,24,367,119,667,324,404,277,30,244,271,31,623
Indonesia,"1,756",177,17,210,76,75,43,70,30,33,48,45,82,25,51,100,4,18,6,13,8,25,18,51,17,16,12,18,10,,,3,7,6,4,8,,8,,12,,4,,9,3,,,,5,,
Iran,"10,116",321,61,"3,003",517,320,284,316,327,221,284,444,371,315,90,50,32,48,46,140,116,168,110,69,126,89,98,26,109,38,19,13,18,38,40,24,12,30,7,5,16,42,16,39,24,38,,13,17,,21
Iraq,"14,351",89,21,291,291,710,430,69,625,85,182,62,443,"1,391",95,51,77,123,68,527,"1,563",374,275,235,47,271,78,261,172,32,177,32,29,267,61,147,5,88,6,,16,174,6,184,34,97,,160,83,,
Ireland,"1,401",362,19,50,43,18,81,81,13,130,13,50,40,17,32,3,11,10,14,8,5,10,15,11,4,7,3,,,16,,10,5,6,6,4,11,6,,,5,5,,3,3,8,,4,3,,
Israel,"3,706",880,170,303,83,40,98,206,67,164,69,339,139,110,77,24,32,40,32,27,16,35,23,30,59,49,16,10,4,,4,6,3,12,9,9,7,5,3,4,7,3,5,30,12,24,,5,10,,10
Italy,"3,329",708,346,209,100,73,105,144,26,130,32,68,39,94,53,19,53,14,36,22,64,29,23,22,21,25,15,23,15,21,4,11,7,13,9,6,22,14,5,8,,7,,9,12,13,5,8,6,,3
Jamaica,"20,347","7,018","3,370",132,494,140,145,26,90,334,845,5,39,36,516,41,276,39,750,37,67,14,30,33,26,17,248,31,43,91,13,64,20,44,36,33,328,104,9,8,35,7,,18,528,71,114,30,26,,
Japan,"4,317",536,35,663,85,42,96,185,55,96,46,194,147,146,39,44,17,26,33,26,63,20,38,32,20,42,24,36,20,17,7,9,13,22,8,17,27,10,10,318,22,9,8,14,7,12,3,5,10,4,3
Jordan,"5,322",405,73,239,96,208,557,110,206,52,85,43,50,113,84,85,79,46,41,82,220,70,39,36,12,31,41,103,41,45,37,12,58,27,56,34,4,38,6,,50,18,21,57,20,98,8,18,50,,14
Kazakhstan,"1,378",266,62,87,52,63,52,43,18,18,25,43,58,15,27,8,8,21,7,12,,45,6,11,4,48,9,12,4,24,3,4,,,7,3,8,3,,,7,3,,,,9,7,,,,
Kenya,"7,190",204,18,73,159,134,54,52,471,242,211,28,337,84,100,31,13,810,132,90,18,39,27,41,13,58,133,340,35,15,66,12,39,39,68,165,,24,6,3,68,27,,97,,15,,96,20,7,8
"Korea, North",41,4,,10,3,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
"Korea, South","17,676","2,790",65,"3,581",805,271,562,525,560,322,635,787,603,383,292,235,57,98,34,100,278,74,147,135,98,185,230,74,51,46,8,54,42,52,92,70,36,20,29,164,61,31,21,47,34,26,5,8,17,30,8
Kosovo,886,329,,3,12,16,50,4,23,10,16,4,17,3,9,,11,,,16,41,,,7,,6,7,,,7,8,,,,,3,13,16,,,,,,3,7,6,,3,5,,
Kuwait,"1,090",95,14,60,46,41,69,32,55,23,12,15,25,22,19,16,9,27,15,11,51,6,9,4,6,10,12,16,6,5,3,,8,12,15,8,,4,,,11,4,7,5,5,7,,4,3,,6
Kyrgyzstan,908,227,11,26,34,10,188,19,8,6,7,17,13,3,57,,,5,4,,3,30,,9,,30,,,,5,6,,,3,,3,,,,,30,,,11,,7,,,,,
Laos,863,,,15,12,6,10,11,7,4,13,3,17,15,4,7,11,177,,5,9,27,,12,3,18,,8,,9,,5,,13,,9,,,,11,,3,81,,12,,3,3,18,,3
Latvia,356,64,14,20,5,5,23,4,8,8,6,3,13,4,7,,8,9,,4,4,7,3,4,4,5,5,,,8,,,,,,,3,,,,,,,4,,,,,5,,
Lebanon,"2,581",168,72,289,87,142,41,41,63,127,24,36,32,45,23,72,21,27,18,29,526,10,16,7,8,20,4,13,8,22,3,14,10,,10,3,8,12,,,11,7,10,9,7,38,,16,5,,3
Lesotho,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,"3,101",194,6,8,170,38,38,16,64,55,129,,12,,558,,8,485,,26,12,18,9,24,6,11,88,47,,76,29,129,35,8,11,16,3,8,6,,5,11,,8,9,16,4,40,5,,
Libya,499,21,8,15,14,17,14,6,19,14,3,8,10,7,7,3,5,7,7,8,39,4,,28,,12,3,10,,,,,4,3,,5,,,,,10,,,4,4,,,3,,,3
Lithuania,658,73,21,31,10,6,243,11,5,12,10,11,13,6,19,,14,,6,,5,3,,10,4,3,4,,,3,,,3,,,,4,,,3,3,,,,,3,4,4,4,,
Luxembourg,30,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Macau,91,6,,17,,4,,27,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,"1,082",321,31,15,21,10,244,6,10,14,4,,3,,8,,6,,3,8,56,,,,4,4,3,5,,,,,3,,,5,6,,,,,,,7,4,7,,,12,,
Madagascar,79,7,,,15,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
Malawi,257,9,6,3,19,5,8,,8,3,10,,6,,7,,,3,,5,,,5,9,,,5,7,,8,5,4,4,3,,3,,5,,,,,,,,,,,,,
Malaysia,"3,051",230,5,88,52,82,149,74,187,30,124,95,54,30,23,12,6,30,6,80,14,28,18,51,4,55,46,21,49,35,22,9,189,27,11,32,4,13,,3,4,15,,7,4,11,,,201,,4
Mali,488,196,,,27,10,12,6,,6,13,,16,,60,,,,,4,,,,12,,,22,4,,5,,3,8,,,,,,,,23,,,,,3,,3,,,
Malta,58,3,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,212,45,,,11,,4,,,,,,,,9,,,,,3,,,,,,,,28,,,7,,5,,,,,,,,55,,,,,,,,,,
Mauritius,67,11,,,,4,,4,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"161,858","3,417","1,178","17,289",803,"7,740","9,030","3,863","7,874",239,"2,155","2,188","1,386","6,827",750,"6,902",695,"1,154",405,"4,536",900,"1,521","2,431","2,586","1,944","1,445",184,235,"3,265","1,072",217,73,634,487,545,910,105,125,"3,785",32,211,906,"1,825",243,46,126,249,31,599,"2,868","1,076"
"Micronesia, Federated States",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,"2,206",155,53,56,46,27,317,38,35,42,58,16,198,22,28,4,22,83,56,16,13,176,3,12,28,105,9,3,,15,,4,10,6,9,4,6,10,,,7,4,,,,34,4,,7,,
Monaco,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,636,11,,41,116,,96,123,3,3,4,7,29,,3,,,,,6,,13,,37,5,3,6,,,4,,,,,,6,,,,,,8,,5,,,,,,,
Montenegro,299,154,3,6,3,,20,,6,4,,,,,,,,,,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Montserrat,20,10,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"3,077",530,64,79,277,30,97,48,53,289,53,22,29,23,121,14,49,31,134,20,23,16,29,45,12,9,29,49,14,9,13,24,20,6,65,7,13,9,,10,37,3,,8,18,13,,8,8,4,3
Mozambique,100,4,,,7,,6,,,3,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,3,,,5,,
Namibia,75,4,,,,,,,,,3,,3,,,,,,,3,,,,5,,,,,,,,,8,,,,,,,,,,,,3,,,,,,
Nauru,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,"11,953","1,280",35,239,909,244,277,497,908,406,223,123,228,24,128,45,9,158,11,75,49,87,190,275,18,63,469,413,37,78,126,33,31,73,102,80,19,13,5,48,102,64,4,68,46,76,3,55,20,4,6
Netherlands,998,115,27,75,36,47,32,66,7,30,15,44,30,11,10,11,20,21,6,17,9,17,3,5,4,9,7,5,6,5,,,3,,4,4,8,5,,3,,,,5,5,6,4,,3,,
Netherlands Antilles (former),7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,719,78,10,72,17,7,20,40,6,21,8,25,25,19,5,8,3,8,8,9,4,11,11,25,6,11,5,,,5,,,,10,,3,,,,8,8,4,,,,5,,,,,
Nicaragua,"3,061",203,"1,057",247,131,94,28,175,40,17,53,32,14,20,25,58,22,23,39,12,5,8,19,10,38,9,12,6,14,27,5,7,20,10,3,,16,16,7,,8,6,,4,,,18,,5,4,4
Niger,93,14,,,5,,,,,,,,,,7,,,,,,,,,,,,3,,,,,,8,,,,,,,,3,,,,,,,,,,
Nigeria,"13,952","1,781",117,417,"1,002","1,353",655,187,822,360,957,53,103,75,321,164,72,284,97,63,163,73,138,47,53,78,661,134,82,74,30,117,367,56,106,76,20,58,28,,86,8,24,80,27,63,,17,45,9,25
Norway,284,37,12,16,6,29,6,13,8,8,6,10,10,11,3,,,5,10,,,3,9,3,,7,,,,,,,,,,,,,,3,,,,,,,,,,,
Oman,110,9,,7,4,9,4,4,5,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,"15,802","3,523",165,459,"1,329","1,087",910,401,631,187,416,173,197,63,401,174,44,69,84,103,236,325,123,66,39,41,362,116,51,59,31,52,83,25,89,83,48,35,8,,42,31,30,60,111,26,,47,85,10,225
Palau,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,897,168,108,27,41,26,12,13,19,11,17,5,8,7,9,12,37,,27,3,,3,14,7,9,5,5,,12,5,3,,5,3,8,,,11,,,5,7,,,,,4,6,,,
Papua New Guinea,27,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Paraguay,389,173,27,15,29,4,3,4,6,,5,,,,3,,4,,3,5,,,,8,,,5,,,7,,3,,,,,11,,,,,,,,,,,,,,
Peru,"9,878","2,672","1,211",522,820,132,155,327,138,121,169,72,84,64,69,106,166,44,164,44,21,52,43,97,67,23,40,32,32,73,14,30,31,31,42,24,124,32,6,9,21,107,3,32,142,15,22,11,17,5,18
Philippines,"47,258","3,301",678,"5,205","1,209",869,"1,631","2,827",462,211,255,"1,238","1,064","1,818",339,"1,209",307,360,420,427,250,645,135,156,"1,267",284,421,111,312,188,107,72,103,318,61,133,93,328,37,"2,394",730,65,153,135,45,79,37,27,40,41,433
Poland,"4,357","1,235",69,106,59,23,"1,397",76,24,49,22,69,69,30,72,9,34,14,12,26,58,6,12,36,10,23,15,8,13,5,8,10,11,3,5,,59,9,,3,6,8,,8,97,13,,15,13,,
Portugal,889,243,68,20,17,18,20,19,11,61,5,25,10,12,12,3,6,,10,,5,5,3,,3,,4,,,,,125,,,3,,8,,3,3,,,5,3,6,,,4,,,11
Qatar,236,27,,4,24,10,6,3,12,3,7,3,,7,6,6,,4,,7,9,,3,,,,4,5,,,,,,,,5,,,,,7,,3,,,,,,,,
Romania,"2,448",281,126,147,85,43,252,57,30,51,75,57,88,25,30,28,33,22,21,57,89,45,9,19,24,52,12,6,7,15,3,11,9,4,5,,14,12,3,5,5,,3,8,3,39,12,6,7,,
Russia,"8,621","1,554",395,676,278,199,316,420,100,277,134,440,402,140,196,40,128,87,78,64,31,251,90,98,81,175,51,27,20,114,11,21,13,13,72,21,32,28,,17,26,20,,24,12,40,11,17,24,,4
Rwanda,"1,620",7,5,,9,63,25,5,145,18,58,,7,9,3,6,,7,,57,,5,30,14,4,14,14,32,8,12,65,12,8,46,11,21,11,10,,,6,43,,23,5,24,,,5,,
Saint Kitts and Nevis,250,74,25,,8,5,,,,6,8,,,,,,8,,9,,,,,,,,,,,,,3,,,,,,,,,,,,4,7,,,,,,
Saint Lucia,696,287,39,,12,42,3,,4,8,20,,,,11,,20,3,34,3,,,,,,,3,,,4,,,,,,,4,6,,,,,,,34,,,,3,,
Saint Vincent and the Grenadines,333,217,8,,5,,,3,,11,5,,,,19,,3,,8,,3,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
Samoa,179,,,24,,,,3,,,,,25,7,,9,,,,3,,,,,4,5,,,,,,,,,,,,,,19,,14,,,,,,,,,
Sao Tome and Principe,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,"2,100",205,35,125,173,111,142,67,65,37,31,31,46,21,34,24,26,34,12,25,63,29,10,16,6,24,28,26,3,8,,3,9,11,20,9,,8,,3,14,,14,7,7,26,,10,14,,5
Senegal,"1,420",437,5,16,79,18,14,12,16,13,93,,20,7,24,5,9,6,3,3,27,,4,15,4,,35,94,,11,24,37,16,6,15,,,,,,63,,,9,3,,,,3,,
Serbia,"1,217",211,64,57,60,8,211,18,16,32,9,18,10,36,12,5,23,9,10,10,16,7,9,12,19,4,3,3,7,6,,3,,,,3,6,3,,,3,,,7,,18,,,6,,
Serbia and Montenegro (former),132,46,,5,,,14,4,,4,,,4,,,,,,,,7,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Seychelles,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,"1,527",196,,20,467,33,10,11,39,25,57,14,19,5,143,9,5,41,,16,6,7,4,5,,5,25,88,,18,,3,8,13,14,4,,,4,,5,,,4,3,,,3,3,,
Singapore,801,125,8,70,23,30,26,76,15,15,14,74,39,6,12,5,,5,5,6,3,,11,8,3,8,6,,6,4,,3,,5,6,,7,3,,3,4,,,4,,,,,,,
Sint Maarten,27,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,370,84,17,12,9,5,31,10,,7,7,6,4,3,6,,7,8,,8,,,3,8,,4,,,,,,,,,4,,11,4,,,,,,,,,,,,,
Slovenia,95,15,,5,3,,3,4,3,4,,5,,6,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,3,,,,,
Somalia,"7,557",3,,12,27,16,36,,128,61,78,7,323,87,,,,"1,537",5,95,,,9,94,,133,,826,6,15,267,12,34,114,27,116,,,,,47,99,,71,,15,,17,92,,
South Africa,"3,010",238,117,180,103,83,71,92,67,31,64,41,135,39,37,16,27,186,48,23,17,16,27,54,9,24,15,23,12,61,9,7,17,7,26,37,31,9,,12,14,17,7,8,5,7,6,,9,,
South Sudan,185,,,,,,,,4,,7,,5,4,,,,8,,9,,,,3,,,,,,,4,,,7,,5,,,,,,7,,,,,,,,,
Soviet Union (former),"1,022",253,34,69,48,17,34,71,4,38,9,50,26,24,24,4,11,21,6,3,6,18,5,7,3,11,10,4,5,4,,,,,,,5,5,,,5,,,3,,4,,3,3,,
Spain,"2,841",441,427,128,91,91,94,145,52,127,32,103,64,60,26,13,43,11,32,17,21,16,21,13,21,23,13,10,14,19,3,10,18,5,22,10,24,13,,3,5,3,,5,5,14,20,7,,8,
Sri Lanka,"1,594",302,13,192,164,50,38,39,43,41,19,26,10,9,26,18,12,25,12,10,19,6,13,7,19,23,18,14,4,3,12,,4,,14,3,8,6,,,,5,,4,15,7,,9,3,,
Sudan,"3,658",159,26,41,291,77,126,51,144,64,68,15,63,30,97,8,40,29,8,61,10,11,23,101,22,,93,39,21,26,41,,52,63,26,39,13,47,,,10,40,,15,23,16,,15,25,,
Suriname,182,91,24,,6,3,,,,,3,,,,,,,,9,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,889,117,24,77,26,14,36,72,12,13,10,64,34,33,20,5,17,14,7,9,4,8,11,9,,7,5,,5,9,,3,,4,6,,5,7,,5,,3,,4,4,,12,,,,
