Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-Pompano Beach, FL","San Francisco-Oakland-Berkeley, CA","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","Washington-Arlington-Alexandria, DC-VA-MD-WV","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Seattle-Tacoma-Bellevue, WA","San Jose-Sunnyvale-Santa Clara, CA","Atlanta-Sandy Springs-Alpharetta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Detroit-Warren-Dearborn, MI","Phoenix-Mesa-Chandler, AZ","San Diego-Chula Vista-Carlsbad, CA","Riverside-San Bernardino-Ontario, CA","Orlando-Kissimmee-Sanford, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Tampa-Saint Petersburg-Clearwater, FL","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Columbus, OH","Raleigh-Cary, NC","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Salt Lake City, UT","Bridgeport-Stamford-Norwalk, CT","Providence-Warwick, RI-MA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Cleveland-Elyria, OH","Hartford-East Hartford-Middletown, CT","El Paso, TX","McAllen-Edinburg-Mission, TX","Stockton, CA","Jacksonville, FL","Worcester, MA-CT","Pittsburgh, PA","Urban Honolulu, HI","Milwaukee-Waukesha, WI","Louisville/Jefferson County, KY-IN","Fresno, CA"
Panama,601,92,22,89,13,21,20,22,27,24,4,3,16,6,,5,9,5,14,10,,11,3,6,,6,6,3,4,,,,4,4,,3,,,3,,,,,,6,3,,,,,
Papua New Guinea,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,256,87,5,28,4,4,,26,8,,,,,6,,3,,,,,,3,3,4,,,,,,,,,,,3,3,,,,,,,,,,,3,,,,
Peru,"5,626","1,154",349,772,235,111,79,401,97,81,60,54,111,28,9,37,33,64,77,30,13,33,44,67,57,16,46,18,53,8,24,18,30,10,98,46,21,15,15,19,89,,17,7,16,6,10,7,8,,
Philippines,"25,491","1,856","3,011",308,"1,605",510,881,637,343,166,553,591,161,220,152,332,708,570,212,195,270,115,92,156,703,156,173,142,147,62,44,54,179,89,79,74,44,118,202,44,27,31,35,243,135,31,67,665,41,44,55
Poland,"3,341",807,81,59,95,26,"1,079",44,35,37,70,64,22,47,44,22,18,3,21,14,25,22,16,33,11,17,8,7,12,6,14,4,7,9,6,30,10,6,7,7,53,,,,8,13,8,5,3,4,
Portugal,679,142,11,59,28,21,17,16,8,69,11,21,8,11,6,,6,,7,,,7,,,,,5,,6,,,,,,,10,70,4,,,4,4,,5,4,3,3,,4,,
Qatar,215,17,12,,3,14,6,8,10,,,6,5,6,16,,5,,6,,,,,,,,3,,3,,10,,6,,,,,,4,3,,,,,,,,,,,
Romania,"1,994",207,123,108,78,55,223,33,33,53,89,47,42,15,77,54,12,26,15,12,29,15,15,21,23,30,9,8,15,5,12,4,9,4,6,5,,4,4,33,,,,6,9,,4,9,,,
Russia,"7,967","1,343",721,415,419,191,330,231,94,243,462,469,102,179,40,51,114,24,50,81,175,98,93,107,45,138,44,21,90,27,81,13,6,12,25,64,19,26,27,38,15,,,8,18,34,41,7,18,,7
Rwanda,"1,084",8,6,,3,54,14,14,76,6,9,,58,13,,49,,3,,8,,17,12,6,4,9,8,10,5,20,4,13,10,9,40,,3,16,8,8,,,,,,3,16,,,63,
Saint Kitts and Nevis,106,23,,10,,5,,,,,,,11,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,6,,,,,,,,,,
Saint Lucia,463,234,,20,,12,,5,6,4,,,13,4,,,,,20,,,,,9,4,,5,,5,,,,,,,4,,4,,,12,,,,,,,,,,
Saint Vincent and the Grenadines,196,128,,5,,4,,4,,,,,5,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Samoa,154,,14,,7,,,,,,28,4,,,,,,10,,,,,,,,,,,,,,3,,3,15,,,,,,,,,,,,,12,,,
Sao Tome and Principe,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,"1,854",158,110,26,65,101,119,107,78,29,61,33,25,32,87,21,17,16,22,26,12,16,20,14,5,22,16,18,12,30,10,24,12,9,,8,11,12,17,17,12,,,7,11,,8,,12,3,7
Senegal,999,316,9,4,11,23,8,63,11,21,10,,52,24,22,,4,,3,8,3,,11,,5,,27,,3,52,18,15,,3,,,23,3,55,3,4,,,,,3,,,,6,
Serbia,"1,077",150,48,84,27,26,240,40,10,18,16,18,19,8,12,26,9,8,4,4,4,5,16,15,30,,,,7,,,,3,,5,3,,9,,9,,,,,,,7,,4,,
Serbia and Montenegro (former),149,45,5,4,11,5,11,7,,,3,4,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,
Seychelles,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,713,81,9,,4,11,,226,10,17,4,,22,87,3,6,,,,17,5,,8,4,,,24,3,,52,6,,8,,,,4,3,,,3,,,,,,,,,,
Singapore,807,114,53,7,103,47,29,21,6,31,62,55,11,9,,12,8,6,,4,9,11,4,4,4,16,3,,,5,14,,4,,3,9,,3,7,,3,,,,,,3,4,,,
Sint Maarten,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,343,68,22,15,7,5,29,8,4,7,11,8,,8,5,3,5,,,,,,3,6,4,,,,3,,7,,,3,,,,,,7,5,,,,,,,,,,
Slovenia,76,11,4,,4,,4,,,3,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Somalia,"2,024",5,3,,6,10,27,23,21,31,100,7,31,,3,24,39,,,599,,,24,,,28,4,7,,228,,20,24,24,14,,6,18,12,9,,,,,,,5,,20,21,
South Africa,"2,733",206,121,110,78,114,73,92,102,54,121,26,105,34,21,43,22,18,19,29,12,40,26,16,9,25,12,9,57,9,24,12,10,29,32,27,12,22,39,9,,,,3,14,5,6,5,8,13,4
South Sudan,117,,,,,,,,3,,4,,,,,6,,,,,,,,,,,,,,,,4,,,3,,,,,,,,,,4,3,3,,,6,
Soviet Union (former),"1,070",174,140,74,100,19,52,27,5,42,34,44,9,33,6,,14,,3,11,19,3,10,17,8,9,6,,6,7,6,,3,,4,6,,4,6,4,,,,,,3,,,,,
Spain,"2,620",440,112,434,119,75,77,89,71,114,57,62,38,21,22,19,37,9,38,19,7,36,16,30,15,9,13,9,27,6,8,4,8,6,8,22,8,20,5,,,4,4,,7,6,13,,6,,
Sri Lanka,"1,463",229,124,11,24,61,49,114,44,46,40,44,17,26,18,15,20,15,5,22,9,13,11,19,21,29,14,8,10,18,11,,5,5,3,6,4,20,12,,11,,,,,10,11,,4,4,4
Sudan,"1,867",94,33,9,24,39,47,158,101,38,41,3,18,49,15,43,9,5,,26,8,13,63,13,5,7,33,8,12,22,14,24,30,18,17,,,,,11,16,,,,14,,6,,,5,
Suriname,117,69,,10,,,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,835,119,93,26,86,20,12,20,26,46,30,38,12,8,10,8,21,3,7,12,,12,6,5,5,6,5,,,,3,3,5,,3,8,,6,,,,,,,4,,,,4,,
Switzerland,592,94,46,40,46,5,14,18,9,27,10,19,7,6,3,26,12,3,3,11,,6,11,5,4,5,,,3,,5,5,9,,6,8,,,,5,,,,,3,,3,6,,,
Syria,"3,176",228,394,50,32,51,158,88,98,51,21,21,24,45,173,27,57,182,41,15,19,11,13,22,9,33,14,23,8,36,9,24,8,35,10,13,20,18,11,74,11,,,7,133,21,12,,11,,10
Taiwan,"4,759",416,723,29,478,118,87,111,121,156,276,697,55,36,33,61,95,97,14,24,59,82,16,15,16,102,28,6,9,14,20,9,8,12,12,11,6,12,8,13,9,17,,8,,3,19,23,4,,3
Tajikistan,523,272,12,4,3,5,21,27,4,4,5,5,,35,,,,,,9,,,17,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Tanzania,"2,312",26,8,,6,85,10,46,109,16,15,,112,9,5,162,10,,13,14,4,4,16,5,13,17,35,24,12,33,17,21,94,105,27,8,21,19,4,24,4,,,,,7,15,,23,99,
Thailand,"4,177",238,340,63,198,97,158,138,93,101,141,72,62,34,25,50,51,49,24,169,13,32,43,31,72,82,18,22,30,15,15,17,33,41,16,14,14,20,11,17,5,,,6,13,11,13,34,68,7,8
Togo,"1,276",147,,,3,30,36,161,28,4,5,,61,35,,10,6,7,,47,,,11,,10,,5,6,25,22,9,30,,9,,8,4,16,12,,11,,,,,,,,,28,
Tonga,202,,7,,44,,,,,,5,14,,,,6,,13,,,,,,,,7,,,,,,,,,25,,,,,,,,,,,,,24,,,
Trinidad and Tobago,"1,718",829,11,165,13,76,14,55,8,24,3,,58,41,,11,5,,38,6,,6,,23,3,4,34,,6,4,4,,,,,5,,3,,,,,,3,8,,9,,,,
Tunisia,463,55,35,22,24,21,19,22,11,10,11,16,4,18,8,5,4,3,6,3,,,4,11,,8,6,4,,3,5,6,,,,,,3,,3,,,,,,,3,,4,8,
Turkey,"4,359",807,284,151,203,234,141,189,69,142,106,133,77,135,31,23,57,6,44,33,11,43,15,52,22,32,24,26,21,33,29,32,22,15,,23,21,30,24,36,16,4,3,4,19,12,53,,21,,4
Turkmenistan,250,61,13,5,,11,17,8,6,3,13,,,12,6,,,,,10,,6,,,9,,,,,,,,,,,,,,,,3,,,,10,,,,8,,
Turks and Caicos Islands,33,6,,11,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,"1,802",28,67,,30,50,52,57,52,151,26,8,32,14,8,62,14,3,,28,,7,25,11,14,4,23,5,8,24,30,48,16,75,37,5,7,33,3,26,5,,,,14,16,17,,3,41,
Ukraine,"9,886","1,258",350,188,210,85,821,146,91,120,"1,145",157,68,300,112,41,87,21,28,130,650,70,68,70,41,527,54,20,85,110,45,13,19,17,18,66,9,24,22,216,46,,,3,61,13,32,5,15,,30
United Arab Emirates,"1,251",119,65,32,41,101,64,69,40,30,34,34,23,16,55,15,15,9,41,19,14,8,14,6,8,11,8,6,17,10,10,,9,,,6,4,8,6,5,5,3,,,4,,5,,5,,
United Kingdom,"9,655","1,516",728,224,539,467,335,242,225,317,302,190,201,139,66,102,130,70,149,78,43,97,101,107,98,109,75,28,81,34,57,47,49,27,45,148,29,42,51,31,26,5,,11,54,17,38,10,23,17,4
United States,187,39,15,10,8,9,,12,4,3,,,,7,,5,,7,4,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Uruguay,699,132,9,174,11,31,8,29,16,5,,,34,6,,3,5,,16,,,3,,5,3,,3,,6,,5,,3,,8,8,,,,,,,,,,31,,,,,
Uzbekistan,"1,347",556,50,29,35,7,35,30,14,13,36,14,10,93,,10,15,3,11,6,30,9,11,4,,,21,,7,12,5,,27,3,,,,11,34,8,8,,,,,,25,,3,,
Venezuela,"12,136",681,186,"4,591",116,950,326,155,244,110,67,46,271,86,54,88,33,48,851,50,22,91,93,230,61,56,15,43,58,75,41,99,59,50,162,50,18,25,26,16,10,12,29,,51,13,29,,29,11,4
Vietnam,"29,995",515,"4,587",390,"1,008","2,229",564,821,"1,428",778,"1,243","2,314","1,030",530,171,474,595,410,296,422,547,264,428,333,192,420,136,123,207,100,125,87,95,152,129,47,17,148,60,88,60,18,16,138,104,112,45,100,57,51,59
"Virgin Islands, British",29,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Yemen,"5,908","1,524",15,,497,10,133,24,17,4,21,13,,47,"1,746",,5,4,,8,8,4,4,5,4,6,15,5,10,5,36,5,23,,,,,6,,4,44,,,31,,,,,,,93
Zambia,401,24,6,,3,4,14,26,23,6,8,,25,3,3,6,,,11,,,3,3,8,3,9,4,,3,4,10,16,,5,5,,,,,5,,,,,,3,3,,3,,
Zimbabwe,674,33,16,8,15,50,18,43,69,11,9,4,31,11,4,5,,7,11,10,4,,16,7,4,4,8,,7,10,8,16,7,3,,,,4,13,3,,,,,,,3,,,6,5
