Country,Total,NAME_LONG,ISO_A3
Afghanistan,"1,617",Afghanistan,AFG
Albania,"3,364",Albania,ALB
Algeria,"1,369",Algeria,DZA
Angola,187,Angola,AGO
Anguilla,23,Anguilla,AIA
Antigua and Barbuda,337,Antigua and Barbuda,ATG
Argentina,"4,359",Argentina,ARG
Armenia,"2,681",Armenia,ARM
Aruba,54,Aruba,ABW
Australia,"2,414",Australia,AUS
Austria,407,Austria,AUT
Azerbaijan,663,Azerbaijan,AZE
Bahamas,619,Bahamas,BHS
Bahrain,104,Bahrain,BHR
Bangladesh,"14,705",Bangladesh,BGD
Barbados,460,Barbados,BRB
Belarus,"1,659",Belarus,BLR
Belgium,574,Belgium,BEL
Belize,847,Belize,BLZ
Benin,415,Benin,BEN
Bermuda,85,Bermuda,BMU
Bhutan,"10,198",Bhutan,BTN
Bolivia,"1,948",Bolivia,BOL
Bosnia and Herzegovina,815,Bosnia and Herzegovina,BIH
Botswana,80,Botswana,BWA
Brazil,"11,441",Brazil,BRA
"Virgin Islands, British",39,"Virgin Islands, British",VGB
Brunei,19,Brunei,BRN
Bulgaria,"2,440",Bulgaria,BGR
Burkina Faso,558,Burkina Faso,BFA
Burma,"17,383",Burma,MMR
Burundi,535,Burundi,BDI
Cambodia,"2,473",Cambodia,KHM
Cameroon,"3,815",Cameroon,CMR
Canada,"12,932",Canada,CAN
Cabo Verde,"1,684",Cabo Verde,CIV
Cayman Islands,44,Cayman Islands,CYM
Central African Republic,116,Central African Republic,CAF
Chad,155,Chad,TCD
Chile,"1,673",Chile,CHL
"China, People's Republic","81,784","China, People's Republic",CHN
Colombia,"20,931",Colombia,COL
Comoros,10,Comoros,COM
"Congo, Democratic Republic","3,731","Congo, Democratic Republic",COD
"Congo, Republic","1,461","Congo, Republic",COG
Costa Rica,"2,020",Costa Rica,CRI
Croatia,336,Croatia,HRV
Cuba,"32,820",Cuba,CUB
Cyprus,107,Cyprus,CYP
Czechia,677,Czechia,CZE
Denmark,459,Denmark,DNK
Djibouti,106,Djibouti,DJI
Dominica,125,Dominica,DMA
Dominican Republic,"41,566",Dominican Republic,DOM
Ecuador,"9,342",Ecuador,ECU
Egypt,"8,988",Egypt,EGY
El Salvador,"16,256",El Salvador,SLV
Equatorial Guinea,20,Equatorial Guinea,GNQ
Eritrea,"2,643",Eritrea,ERI
Estonia,227,Estonia,EST
Ethiopia,"14,544",Ethiopia,ETH
Fiji,853,Fiji,FJI
Finland,348,Finland,FIN
French Polynesia,30,French Polynesia,PYF
Gabon,197,Gabon,GAB
Gambia,"1,159",Gambia,GMB
