Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Los Angeles-Long Beach-Anaheim, CA","Miami-Fort Lauderdale-West Palm Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Naperville-Elgin, IL-IN-WI","Houston-The Woodlands-Sugar Land, TX","San Francisco-Oakland-Hayward, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Roswell, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Scottsdale, AZ","Detroit-Warren-Dearborn, MI","Minneapolis-Saint Paul-Bloomington, MN-WI","Tampa-Saint Petersburg-Clearwater, FL","Orlando-Kissimmee-Sanford, FL","Las Vegas-Henderson-Paradise, NV","Sacramento--Roseville--Arden-Arcade, CA","Denver-Aurora-Lakewood, CO","Baltimore-Columbia-Towson, MD","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock, TX","Columbus, OH","Charlotte-Concord-Gastonia, NC-SC","San Antonio-New Braunfels, TX","El Paso, TX","Nashville-Davidson--Murfreesboro--Franklin, TN","Urban Honolulu, HI","Providence-Warwick, RI-MA","Salt Lake City, UT","Indianapolis-Carmel-Anderson, IN","Bridgeport-Stamford-Norwalk, CT","Raleigh, NC","Kansas City, MO-KS","Hartford-West Hartford-East Hartford, CT","Jacksonville, FL","Fresno, CA","Saint Louis, MO-IL","Cincinnati, OH-KY-IN","Stockton-Lodi, CA","Cleveland-Elyria, OH","Milwaukee-Waukesha-West Allis, WI","Louisville/Jefferson County, KY-IN","McAllen-Edinburg-Mission, TX","San Juan-Carolina-Caguas, PR","Worcester, MA-CT"
Iran,"13,114",440,"4,020",144,847,287,627,558,455,214,282,635,318,485,75,163,176,58,47,45,62,137,257,100,126,108,94,43,37,108,7,75,,17,79,23,10,66,44,18,15,36,40,24,18,40,18,24,,,26
Iraq,"21,107",153,645,55,509,995,993,85,922,269,275,48,520,"2,282",218,90,894,"3,263",103,149,79,119,447,368,96,348,392,282,27,223,18,328,,28,321,42,15,104,115,28,154,,108,31,,98,132,225,,,226
Ireland,"1,607",298,72,53,35,81,35,114,16,117,18,55,91,18,39,12,15,9,3,14,11,5,8,11,16,18,17,5,5,3,,7,,13,5,4,14,5,,7,12,,,,,10,5,3,4,,9
Israel,"3,965",921,365,281,76,127,65,188,52,157,101,429,143,76,61,33,22,20,19,29,18,81,24,29,22,20,15,10,11,13,,11,6,5,4,4,11,20,7,5,5,6,19,10,4,22,9,5,,7,7
Italy,"3,544",660,273,433,94,129,81,174,36,138,53,81,59,83,66,19,31,63,25,41,53,27,7,22,20,24,9,16,15,13,6,4,10,15,10,14,19,14,4,18,14,,12,14,,8,6,,,6,15
Jamaica,"17,642","6,512",99,"3,306",476,136,148,45,88,232,741,6,32,22,490,57,35,61,35,240,446,26,16,13,179,15,14,31,69,25,11,12,12,50,3,22,317,16,30,430,74,6,21,19,,42,18,9,,,40
Japan,"5,395",644,808,54,101,120,52,304,72,83,51,241,207,217,36,45,48,83,49,32,30,54,32,26,27,66,30,29,19,23,8,19,458,8,21,33,19,18,15,7,18,8,17,24,,17,9,11,,,6
Jordan,"4,664",462,205,111,157,487,165,141,207,66,43,18,63,65,70,106,60,106,42,70,62,10,38,35,33,20,25,94,18,27,9,23,4,9,20,18,6,37,37,10,44,7,65,67,9,52,48,33,3,12,20
Kazakhstan,"1,201",279,79,42,50,42,55,32,8,30,7,37,46,11,24,7,5,,8,13,19,8,38,15,8,26,8,4,11,,,,,,5,,5,4,,4,,,7,,,4,8,,,,
Kenya,"5,602",280,98,10,176,50,135,89,452,217,196,26,332,49,117,45,89,14,508,13,44,16,36,53,108,56,35,136,25,23,9,30,3,15,23,41,3,108,103,3,3,,55,15,,12,5,22,,,63
Kiribati,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, North",55,12,10,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South","17,138","2,458","3,747",90,789,611,242,421,506,224,764,654,558,400,311,206,154,160,80,46,57,116,82,112,183,192,133,45,64,44,21,39,217,15,50,33,39,63,61,39,15,19,59,62,10,28,23,21,29,,4
Kosovo,814,335,4,4,11,33,14,3,16,11,17,,,4,8,6,14,29,,18,4,,,4,3,,6,,6,,,,,,,,12,,,6,,,5,,,,5,9,,,7
Kuwait,"1,055",100,61,19,48,50,52,35,52,14,26,27,30,25,19,17,11,44,11,13,7,,10,3,5,13,7,15,9,8,,8,,3,12,5,,6,7,,,,3,7,,9,9,5,,,11
Kyrgyzstan,790,177,27,18,18,112,14,14,8,10,11,14,19,12,41,8,,,6,4,20,10,11,11,6,23,,5,,4,,,4,,,,,4,,,,,,12,,,,,,,
Laos,917,,19,6,15,5,10,16,19,7,15,,28,18,8,7,,15,182,8,,5,25,12,,14,,4,3,,,22,5,13,6,,,,6,5,,49,,,8,,38,,,,10
Latvia,480,66,31,13,12,21,12,15,,10,21,7,7,6,,,7,,6,10,6,,4,18,4,5,4,,3,,,,,,,,4,6,,5,,,,,,4,3,,,,
Lebanon,"2,813",217,274,67,118,62,138,54,52,149,36,27,41,74,23,79,33,542,21,31,18,20,8,5,6,16,22,13,30,11,5,3,3,40,6,6,,15,9,4,12,3,9,13,,37,8,3,,,9
Lesotho,23,4,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,"3,795",297,11,3,216,27,58,28,114,88,160,,13,10,842,,31,28,496,13,6,6,24,13,81,11,,63,89,4,,6,,154,,29,3,10,19,10,4,,13,,5,15,8,20,,,44
Libya,734,26,17,4,12,10,36,10,16,18,30,4,16,14,7,8,5,20,,7,6,4,8,31,,13,3,24,4,3,,,,,21,10,,8,4,,3,,13,4,,15,5,,,,
Lithuania,750,97,35,36,13,254,4,11,,11,11,9,9,9,23,,,,6,14,4,,3,4,5,,,4,3,,,,,,3,,4,,,5,,,,5,,7,,,,,
Luxembourg,27,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macau,99,17,14,3,5,,,20,,9,,6,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Macedonia,"1,060",307,6,41,5,211,17,11,5,8,4,6,3,4,8,,10,36,,12,6,21,,,,5,4,24,,,,,,,,,6,,,5,4,,8,,,,6,3,,,
Madagascar,72,12,,,16,,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,160,7,3,3,14,3,3,,5,,4,,,,3,3,,3,,,,,,10,3,4,6,,3,4,,,,,,4,,8,3,,,,,3,,,,,,,
Malaysia,"2,749",278,116,12,42,118,104,104,139,30,107,90,59,23,33,22,29,20,36,8,8,12,27,67,37,26,32,18,50,18,3,37,9,,23,141,,9,50,5,19,,7,9,,4,54,7,,,
Maldives,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,587,267,,,38,15,15,,9,,14,,11,,58,,,3,3,,,,,12,43,,,5,4,,,,,4,6,8,,,,,,,,10,,,,,,,
Malta,58,6,3,,,,,3,,,,,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,32,,,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,298,70,,,27,4,4,,,,4,,,,11,,,3,,,,,,,,,,38,,,,,,,,7,,,,,,,,44,,,,12,,,
Mauritius,96,9,4,3,7,,7,3,,,4,3,6,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"158,619","2,841","18,680","1,249",715,"8,843","8,001","3,744","8,075",186,"2,059","1,967","1,166","6,421",746,"7,529","4,795",687,"1,006",555,428,"1,980","1,412","2,144",150,"1,338","1,913",180,717,"2,706","4,291",418,46,63,"1,077",476,120,416,801,54,77,"1,613",212,177,"1,119",131,514,234,"2,679",60,49
"Micronesia, Federated States",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,"2,496",255,78,92,81,379,26,49,16,46,52,27,148,17,46,3,23,6,25,12,165,31,157,36,19,50,4,,21,9,,3,,7,6,,3,9,,,4,,8,15,,28,,,,,
Monaco,10,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,644,7,58,3,75,103,3,141,5,,3,5,40,,4,,,,8,,,11,13,31,4,3,,,,,,,5,,9,,,,,,,,3,,,,,,,,
Montenegro,251,136,5,6,3,26,,,5,,,3,,,,,,23,,4,,,,,,,,,,,,,,,,,7,,,3,,,,,,4,,,,,
Montserrat,14,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"3,710",651,82,86,301,108,73,52,74,411,73,24,31,27,160,24,20,19,31,58,187,28,18,65,46,18,21,52,25,8,,7,,28,6,9,42,73,10,14,13,,10,35,,11,7,10,,,15
Mozambique,107,8,,5,3,,,,5,5,,,,6,,,3,,,,3,,,5,,,,,,,,,,6,,,,,4,,,,,,,,,5,,,
Namibia,86,7,,,8,,,,,,,,3,,,,,,,,3,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,
Nepal,"12,926","1,311",289,34,"1,010",267,352,401,"1,073",389,337,164,208,30,166,33,64,51,155,28,10,26,76,305,455,100,192,257,104,37,,114,42,53,105,24,22,105,88,102,15,,96,80,3,155,36,70,,,49
Netherlands,"1,309",129,72,59,49,50,71,71,22,40,16,44,53,18,16,12,11,,14,14,18,11,7,16,4,29,13,7,6,4,,11,,5,4,6,12,15,3,6,4,,9,3,,6,3,,,3,
Netherlands Antilles (former),22,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,855,90,85,21,18,18,11,61,12,20,14,20,41,16,6,8,11,21,9,3,6,7,13,13,3,16,13,3,,8,,5,13,3,8,,3,,3,,,,,,6,,,,,,4
Nicaragua,"3,324",196,264,"1,267",138,35,122,172,48,13,38,21,18,9,48,75,13,,15,23,42,41,12,21,8,15,19,4,44,15,4,10,,4,3,11,5,10,3,,13,,3,3,,,11,,3,8,
Niger,55,7,,,7,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Nigeria,"11,542","1,576",410,113,950,538,"1,186",138,647,279,874,36,68,39,335,140,63,121,229,59,41,41,61,42,505,35,74,96,61,47,16,57,6,88,11,210,10,72,56,34,29,37,59,56,16,51,44,19,,,16
Norway,310,38,29,13,7,8,18,15,6,5,,10,9,9,3,,4,,5,3,4,,3,,,6,4,,,3,,,3,,,,,,,,,,,,,,,,,,
Oman,85,7,9,,,4,4,4,7,,4,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,"18,057","4,462",577,246,"1,495","1,219","1,167",451,762,247,387,183,252,63,465,173,81,276,103,58,107,34,402,53,410,34,103,86,55,66,,18,9,68,42,52,54,78,81,119,25,19,75,45,281,40,72,34,,,53
Palau,15,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,"1,052",175,31,132,44,16,30,15,14,13,29,4,12,11,12,12,,,10,27,31,8,4,5,11,,4,5,4,19,4,10,3,,6,4,3,3,4,,9,,,,3,,5,5,3,12,4
Papua New Guinea,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,382,148,7,45,29,4,5,8,,3,6,,,,7,,3,,4,6,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,
Peru,"10,148","2,485",688,"1,525",746,173,176,376,132,136,181,87,77,45,90,119,54,9,49,137,181,84,24,73,59,43,44,21,77,31,12,31,,32,118,21,110,21,22,152,27,,19,17,11,18,12,14,6,21,11
Philippines,"56,478","4,445","7,257",768,"1,419","2,238","1,156","3,565",764,239,288,"1,450","1,374","2,012",430,"1,531",560,297,290,427,473,"1,598",761,140,438,343,139,101,161,241,79,349,"2,566",101,84,104,95,102,151,69,308,156,160,304,555,75,70,76,91,4,59
Poland,"5,275","1,334",117,107,67,"1,773",32,75,33,68,46,69,91,45,132,22,22,65,19,60,17,19,17,28,21,12,15,5,17,13,,5,8,7,5,12,63,9,,127,10,3,4,5,,12,26,,,4,28
Portugal,857,215,16,53,28,14,12,33,15,69,8,28,17,5,11,,8,7,3,8,6,5,3,6,,,6,,,,,,,99,,3,12,3,,3,,,,3,,,,,,4,
Qatar,229,21,11,,24,9,15,3,10,3,6,13,3,,4,,,14,5,3,,,,,3,,4,6,,,,,,,,,,5,4,3,,,,,,,,,,,
Romania,"3,376",324,187,219,122,358,60,87,55,52,125,42,124,31,57,44,102,131,15,24,19,37,57,15,18,82,18,10,20,16,3,13,3,7,,7,30,16,6,7,19,9,12,13,,60,11,,,,10
Russia,"8,799","1,619",741,483,290,364,186,431,117,264,119,377,479,130,223,29,45,39,81,95,94,69,121,90,54,104,33,31,45,19,4,15,8,16,20,22,38,67,23,23,26,3,21,25,4,56,22,8,3,5,27
Rwanda,732,10,6,,17,17,39,8,78,14,20,,5,7,7,4,44,,,,,,,13,11,7,9,,,4,,11,,3,20,11,4,,,,,,,9,,,,13,,,3
Saint Kitts-Nevis,222,56,,23,,,,,3,,6,,,,3,,,,,,3,,,,,,,,,5,,,,3,,,,,,3,,,,,,,,,,,
Saint Lucia,739,380,4,39,16,,29,,6,9,21,,,,5,,,,,11,18,,,,8,,3,3,,,,,,3,,,,,,29,,,,,,,4,,,,
Saint Vincent and the Grenadines,415,252,,21,12,4,,,3,8,16,,,4,19,,,,,7,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,
Samoa,207,,17,,,,,10,,,,3,18,4,,7,,,,,,3,,,,4,,,,,,,35,,26,6,,,3,,,,,,,,,,,,
Sao Tome and Principe,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,"1,744",178,105,50,141,123,95,45,72,25,31,21,39,23,25,20,7,47,44,22,14,7,13,11,19,16,9,31,8,11,,11,,4,5,8,4,10,12,4,6,,3,5,,12,12,6,,,5
Senegal,"1,244",337,11,5,91,10,11,7,15,20,79,,17,,35,,3,16,8,6,,4,,22,28,7,,68,7,,,5,,29,,19,,11,12,,,,12,59,,5,6,15,,,
Serbia,"1,278",180,55,107,46,254,18,33,20,33,11,20,28,19,17,4,18,14,8,18,11,17,,5,11,8,8,5,6,5,,,5,3,7,8,,,4,3,11,,9,,,13,18,3,,3,
Serbia and Montenegro (former),232,108,7,11,5,15,,4,3,,,5,,,,,3,8,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Seychelles,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,"1,599",234,26,8,490,11,35,12,39,51,57,14,18,,166,7,12,4,39,10,6,,7,,25,3,,75,10,,,7,,,5,5,,8,,3,5,,,,3,,,,,,6
Singapore,781,105,68,5,23,23,43,83,22,22,8,65,35,6,8,14,7,3,4,4,3,8,4,,,7,6,3,3,6,,,7,8,11,3,3,5,3,,6,,4,3,,,,,,,
Sint Maarten,45,14,,4,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Slovakia,424,93,25,20,8,25,3,11,4,12,7,8,7,5,10,,8,4,4,7,,3,,4,4,4,,,,,,,5,,3,,10,,,,3,,,,,,4,,,,
Slovenia,107,17,10,3,,3,,10,4,,4,3,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Somalia,"6,796",5,18,,63,60,51,3,99,69,104,5,397,65,,,85,5,"1,292",4,,11,,100,,94,21,555,11,17,,105,,3,122,17,,17,66,7,,,35,33,,24,40,165,,,16
South Africa,"2,907",234,167,135,74,84,88,82,110,51,122,30,87,51,59,24,38,14,90,45,29,10,24,29,22,30,23,39,31,10,,15,9,12,27,13,13,24,34,10,12,9,8,15,5,8,8,,,,4
South Sudan,127,,,,3,5,4,,5,8,5,4,3,3,,,3,,3,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,3,,,
Soviet Union (former),"1,022",257,101,68,23,55,19,61,6,28,10,38,24,20,28,7,,5,8,12,10,6,11,9,6,9,3,6,,,,,3,,6,5,4,,3,,,,6,3,,6,,3,,,
Spain,"3,303",411,189,822,100,76,123,161,64,84,59,82,48,50,40,21,25,18,26,58,40,22,14,17,16,22,28,7,11,14,5,12,6,6,18,11,23,13,4,7,10,,13,10,,5,7,3,,29,4
Sri Lanka,"1,763",352,202,31,97,47,46,75,55,37,26,31,52,23,19,27,8,19,16,5,13,27,20,13,24,18,31,9,8,,,8,,8,11,4,6,18,8,20,7,3,4,4,7,6,8,,,,10
Sudan,"3,580",211,38,16,230,103,71,38,162,51,85,16,42,27,91,8,73,21,29,27,6,15,13,81,70,4,36,45,15,23,,46,,8,83,31,,21,35,29,37,,15,4,,30,25,51,,,
Suriname,134,74,,8,,,,,3,,,,,,5,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,"1,066",129,121,51,23,34,14,101,24,29,12,55,26,26,13,10,17,15,10,15,7,7,6,12,8,8,13,4,10,,,3,7,,5,,6,6,5,3,3,,,3,,,3,4,,,
Switzerland,640,95,54,54,14,18,7,44,8,27,11,31,15,3,14,15,3,,7,5,11,4,3,8,3,,4,,3,,,3,6,,,,8,,,,,,,3,,,,,,,
Syria,"3,840",362,568,54,122,312,108,44,84,69,41,22,26,73,55,165,77,209,27,21,36,13,20,15,26,18,14,31,17,20,,9,,32,7,18,31,24,9,6,64,16,16,16,10,52,19,6,,,18
Taiwan,"4,888",450,978,47,139,93,145,399,114,122,41,555,180,132,40,136,35,14,28,16,18,37,32,22,39,105,41,21,13,11,14,5,34,7,20,15,8,14,11,6,3,15,21,8,5,17,,7,,,5
Tajikistan,595,279,20,6,30,11,12,20,,,9,9,3,3,24,,4,,7,4,5,,,39,4,4,,,,,3,,,,,,,,6,,5,,,,,,,,,,
Tanzania,799,49,18,4,41,24,53,12,51,21,22,3,21,6,11,,12,,13,,10,,,6,13,12,,30,,5,,,,,5,,,5,9,3,,,,4,3,13,3,7,,,4
Thailand,"7,502",208,610,93,166,168,157,201,186,109,153,75,138,139,80,89,95,33,508,47,30,97,40,112,25,112,53,20,22,90,,66,105,10,73,56,4,32,59,25,35,15,26,13,,34,152,39,,,3
Togo,"1,547",243,15,4,248,35,10,8,19,8,86,,8,7,41,,12,7,64,7,,3,,7,17,4,3,12,25,6,,,4,5,6,7,7,14,17,34,5,,18,22,,,,16,,,3
Tonga,327,,18,,,,,69,19,,,6,13,,,9,6,,,,,,14,,,3,,,,,,,26,,59,,,,,,,,,,,,,7,,,
Trinidad and Tobago,"3,212","1,618",20,349,113,4,135,10,16,65,99,6,7,6,93,6,8,6,18,34,67,,,,53,,4,5,10,5,,6,3,12,,,9,6,,18,21,,5,4,,3,4,,,,5
Tunisia,518,76,32,19,41,16,16,16,6,11,4,4,9,,22,,,14,6,11,17,,,3,4,6,4,,,3,,4,,,,10,,4,,,,,,,,,6,3,,,5
Turkey,"4,201","1,039",241,142,204,133,167,161,69,103,104,112,93,81,178,19,28,38,30,30,21,20,14,16,28,23,19,24,12,14,5,12,3,12,11,19,20,21,12,28,15,,17,14,,26,11,5,,,8
Turkmenistan,226,72,15,3,,15,8,11,3,3,,3,3,5,,,,,,3,3,,7,3,,,,6,,4,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,38,5,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,"1,664",52,67,,99,41,36,18,33,264,33,,68,20,17,13,4,16,72,3,8,16,5,71,16,12,9,31,8,6,,8,,7,9,10,3,6,6,3,10,3,6,10,,8,8,6,,,18
Ukraine,"7,987","1,578",346,214,184,944,86,261,57,126,90,189,307,82,323,32,32,141,81,87,62,34,223,83,73,159,22,14,38,21,6,17,4,3,19,19,64,36,23,44,34,10,35,43,5,113,36,9,12,5,10
United Arab Emirates,"1,193",125,78,22,67,63,86,36,70,28,19,30,36,32,14,30,20,30,29,7,8,3,13,5,,6,11,12,13,5,3,12,,,,9,4,6,9,10,5,,,5,,5,3,5,,,3
United Kingdom,"12,592","1,503","1,062",326,383,415,586,679,248,384,268,312,296,196,218,94,123,133,100,170,263,94,59,121,85,137,122,51,90,53,4,57,16,53,45,47,126,86,50,50,46,6,47,68,9,46,53,26,4,6,32
United States,370,51,26,15,30,10,6,9,15,3,12,,8,7,5,8,3,,,4,4,3,,,4,3,4,3,,5,5,,,,4,,,,,,,,,,,,,,5,,
Uruguay,"1,078",243,16,314,47,10,22,6,4,5,58,5,3,7,12,3,,,,23,23,6,,,3,,,,8,,,,,,13,3,9,7,,,7,,,,,4,,,,4,40
Uzbekistan,"3,977","2,179",102,32,69,90,22,41,29,13,26,30,59,47,162,3,33,17,11,10,46,16,52,38,81,6,,7,8,,,37,,6,3,,6,15,3,9,6,,22,43,8,25,9,3,,,
Vanuatu,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,"9,144",550,133,"4,204",153,91,777,73,143,114,208,30,39,33,57,13,33,20,20,146,545,25,8,25,26,28,44,12,34,23,9,15,7,25,63,28,14,38,24,14,30,,22,25,,17,16,,12,118,14
Vietnam,"30,832",503,"4,931",381,988,479,"2,032",945,"1,284",745,"1,054","2,405","1,209",787,704,440,390,154,377,341,220,163,604,360,116,531,248,57,272,142,10,107,160,37,195,55,48,98,123,57,85,29,153,66,142,63,55,65,13,6,116
Yemen,"3,194",883,16,4,31,102,8,206,13,10,12,,32,3,19,13,6,826,8,,3,,5,3,8,18,,8,6,,,11,,,5,7,4,9,3,6,,60,8,,20,,,,,,
Zambia,460,27,10,5,31,14,11,3,46,9,36,,19,,7,4,6,,6,,11,,4,12,11,4,,,3,,,,,,,5,,,7,,3,,,,,,,,,,3
Zimbabwe,779,47,17,12,73,18,31,10,76,15,46,7,15,,20,8,10,4,,8,6,,12,12,5,9,8,8,6,,3,14,,,,21,4,10,12,,,,3,12,,3,,10,,,4
